	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035691_Candida_salmanticensis
831	OG0000831	YDL148C	augustus_masked-flattened_line_10-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-5.91&CDS=1-2355
832	OG0000832	YDL149W	maker-flattened_line_10-augustus-gene-5.19-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-5.19&CDS=1-2373
833	OG0000833	YDL150W	snap_masked-flattened_line_14-processed-gene-1.30-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.30&CDS=1-1302
834	OG0000834	YDL153C	augustus_masked-flattened_line_0-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.142&CDS=1-1635
835	OG0000835	YDL154W	snap_masked-flattened_line_0-processed-gene-1.111-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.111&CDS=1-2247
836	OG0000836	YDL156W	genemark-flattened_line_30-processed-gene-0.134-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.134&CDS=1-1545
837	OG0000837	YDL159W	genemark-flattened_line_30-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.135&CDS=1-1161
838	OG0000838	YDL160C	genemark-flattened_line_30-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.112&CDS=1-1518
839	OG0000839	YDL164C	augustus_masked-flattened_line_6-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.77&CDS=1-2013
840	OG0000840	YDL165W	maker-flattened_line_10-augustus-gene-4.133-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-4.133&CDS=1-1158
841	OG0000841	YDL166C	genemark-flattened_line_10-processed-gene-4.115-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-4.115&CDS=1-519
842	OG0000842	YDL168W	augustus_masked-flattened_line_22-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.61&CDS=1-1059
843	OG0000843	YDL170W	genemark-flattened_line_22-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.43&CDS=1-1572
844	OG0000844	YDL171C	augustus_masked-flattened_line_10-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.55&CDS=1-6363
845	OG0000845	YDL174C	genemark-flattened_line_22-processed-gene-1.117-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.117&CDS=1-1755
846	OG0000846	YDL178W	genemark-flattened_line_54-processed-gene-0.162-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.162&CDS=1-1605
847	OG0000847	YDL183C	genemark-flattened_line_0-processed-gene-3.143-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.143&CDS=1-837
848	OG0000848	YDL185W	genemark-flattened_line_14-processed-gene-3.210-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.210&CDS=1-1851
849	OG0000849	YDL189W	augustus_masked-flattened_line_14-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.90&CDS=1-1836
850	OG0000850	YDL190C	genemark-flattened_line_14-processed-gene-3.205-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.205&CDS=1-3168
851	OG0000851	YDL193W	maker-flattened_line_24-snap-gene-0.47-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-0.47&CDS=1-1140
852	OG0000852	YDL195W	genemark-flattened_line_46-processed-gene-0.287-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.287&CDS=1-3867
853	OG0000853	YDL198C	genemark-flattened_line_46-processed-gene-0.238-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.238&CDS=1-909
854	OG0000854	YDL201W	genemark-flattened_line_46-processed-gene-0.281-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.281&CDS=1-855
855	OG0000855	YDL202W	genemark-flattened_line_34-processed-gene-1.225-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.225&CDS=1-738
856	OG0000856	YDL205C	maker-flattened_line_34-snap-gene-0.91-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-0.91&CDS=1-1062
857	OG0000857	YDL206W	genemark-flattened_line_34-processed-gene-0.125-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.125&CDS=1-2397
858	OG0000858	YDL207W	genemark-flattened_line_20-processed-gene-1.119-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.119&CDS=1-1806
859	OG0000859	YDL208W	genemark-flattened_line_20-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.34&CDS=1-459
860	OG0000860	YDL209C	genemark-flattened_line_34-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.127&CDS=1-1104
861	OG0000861	YDL212W	genemark-flattened_line_8-processed-gene-5.216-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.216&CDS=1-633
862	OG0000862	YDL213C	genemark-flattened_line_16-processed-gene-2.281-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.281&CDS=1-753
863	OG0000863	YDL215C	genemark-flattened_line_6-processed-gene-1.36-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.36&CDS=1-3231
864	OG0000864	YDL216C	genemark-flattened_line_22-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.39&CDS=1-1020
865	OG0000865	YDL217C	genemark-flattened_line_0-processed-gene-2.17-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.17&CDS=1-546
866	OG0000866	YDL219W	genemark-flattened_line_0-processed-gene-1.50-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.50&CDS=1-462
867	OG0000867	YDL226C	genemark-flattened_line_4-processed-gene-6.46-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.46&CDS=1-1038
868	OG0000868	YDL230W	genemark-flattened_line_56-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.114&CDS=1-939
869	OG0000869	YDL231C	maker-flattened_line_56-snap-gene-0.86-mRNA-1_1&gene=maker-flattened_line_56-snap-gene-0.86&CDS=1-3369
870	OG0000870	YDL234C	genemark-flattened_line_56-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.94&CDS=1-2238
871	OG0000871	YDL235C	genemark-flattened_line_42-processed-gene-0.319-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.319&CDS=1-510
872	OG0000872	YDL236W	genemark-flattened_line_6-processed-gene-5.26-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.26&CDS=1-912
873	OG0000873	YDL238C	genemark-flattened_line_10-processed-gene-5.240-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-5.240&CDS=1-1368
874	OG0000874	YDL240W	snap_masked-flattened_line_8-processed-gene-4.42-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.42&CDS=1-4425
875	OG0000875	YDR002W	genemark-flattened_line_22-processed-gene-1.126-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.126&CDS=1-720
876	OG0000876	YDR004W	maker-flattened_line_30-snap-gene-0.150-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-0.150&CDS=1-1137
877	OG0000877	YDR005C	augustus_masked-flattened_line_62-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.54&CDS=1-1065
878	OG0000878	YDR006C	genemark-flattened_line_2-processed-gene-6.14-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.14&CDS=1-2568
879	OG0000879	YDR007W	genemark-flattened_line_62-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.98&CDS=1-1431
880	OG0000880	YDR011W	augustus_masked-flattened_line_0-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.63&CDS=1-4701
881	OG0000881	YDR013W	genemark-flattened_line_14-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.19&CDS=1-585
882	OG0000882	YDR016C	genemark-flattened_line_4-processed-gene-5.142-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.142&CDS=1-246
883	OG0000883	YDR017C	genemark-flattened_line_4-processed-gene-1.10-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.10&CDS=1-4119
884	OG0000884	YDR019C	augustus_masked-flattened_line_30-processed-gene-1.162-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.162&CDS=1-1200
885	OG0000885	YDR020C	genemark-flattened_line_0-processed-gene-6.152-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.152&CDS=1-765
886	OG0000886	YDR023W	genemark-flattened_line_0-processed-gene-6.126-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.126&CDS=1-1362
887	OG0000887	YDR026C	genemark-flattened_line_66-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.94&CDS=1-1194
888	OG0000888	YDR027C	augustus_masked-flattened_line_30-processed-gene-1.149-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.149&CDS=1-4209
889	OG0000889	YDR028C	augustus_masked-flattened_line_30-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.150&CDS=1-3195
890	OG0000890	YDR030C	genemark-flattened_line_0-processed-gene-6.147-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.147&CDS=1-1224
891	OG0000891	YDR031W	genemark-flattened_line_40-processed-gene-0.91-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.91&CDS=1-300
892	OG0000892	YDR034C	genemark-flattened_line_2-processed-gene-6.66-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.66&CDS=1-1923
893	OG0000893	YDR035W	snap_masked-flattened_line_46-processed-gene-0.105-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.105&CDS=1-1119
894	OG0000894	YDR036C	genemark-flattened_line_46-processed-gene-0.246-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.246&CDS=1-1365
895	OG0000895	YDR037W	genemark-flattened_line_24-processed-gene-1.139-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.139&CDS=1-1734
896	OG0000896	YDR041W	genemark-flattened_line_90-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.40&CDS=1-891
897	OG0000897	YDR044W	snap_masked-flattened_line_66-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.56&CDS=1-996
898	OG0000898	YDR045C	augustus_masked-flattened_line_24-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.94&CDS=1-336
899	OG0000899	YDR047W	genemark-flattened_line_18-processed-gene-2.45-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.45&CDS=1-1098
900	OG0000900	YDR049W	genemark-flattened_line_14-processed-gene-3.185-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.185&CDS=1-1818
901	OG0000901	YDR050C	genemark-flattened_line_2-processed-gene-3.134-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.134&CDS=1-750
902	OG0000902	YDR051C	genemark-flattened_line_24-processed-gene-1.123-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.123&CDS=1-855
903	OG0000903	YDR052C	genemark-flattened_line_38-processed-gene-1.43-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.43&CDS=1-2274
904	OG0000904	YDR054C	maker-flattened_line_48-augustus-gene-0.76-mRNA-1_1&gene=maker-flattened_line_48-augustus-gene-0.76&CDS=1-717
905	OG0000905	YDR057W	snap_masked-flattened_line_26-processed-gene-1.174-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.174&CDS=1-864
906	OG0000906	YDR058C	genemark-flattened_line_58-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.114&CDS=1-861
907	OG0000907	YDR059C	genemark-flattened_line_40-processed-gene-0.126-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.126&CDS=1-441
908	OG0000908	YDR060W	genemark-flattened_line_4-processed-gene-6.63-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.63&CDS=1-3378
909	OG0000909	YDR061W	genemark-flattened_line_74-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.34&CDS=1-1476
910	OG0000910	YDR062W	genemark-flattened_line_74-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.0&CDS=1-1692
911	OG0000911	YDR064W	maker-flattened_line_74-snap-gene-0.45-mRNA-1_1&gene=maker-flattened_line_74-snap-gene-0.45&CDS=1-804
912	OG0000912	YDR067C	genemark-flattened_line_74-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.2&CDS=1-564
913	OG0000913	YDR068W	genemark-flattened_line_74-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.24&CDS=1-1173
914	OG0000914	YDR071C	genemark-flattened_line_74-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.27&CDS=1-714
915	OG0000915	YDR074W	genemark-flattened_line_0-processed-gene-8.25-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.25&CDS=1-2724
916	OG0000916	YDR079C-A	genemark-flattened_line_14-processed-gene-1.162-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.162&CDS=1-210
917	OG0000917	YDR079W	genemark-flattened_line_26-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.87&CDS=1-324
918	OG0000918	YDR080W	genemark-flattened_line_14-processed-gene-1.139-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.139&CDS=1-3003
919	OG0000919	YDR083W	genemark-flattened_line_14-processed-gene-1.160-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.160&CDS=1-1146
920	OG0000920	YDR084C	genemark-flattened_line_26-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.88&CDS=1-552
921	OG0000921	YDR086C	genemark-flattened_line_58-processed-gene-0.149-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.149&CDS=1-207
922	OG0000922	YDR087C	genemark-flattened_line_58-processed-gene-0.150-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.150&CDS=1-762
923	OG0000923	YDR088C	genemark-flattened_line_58-processed-gene-0.148-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.148&CDS=1-1068
924	OG0000924	YDR090C	genemark-flattened_line_86-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.10&CDS=1-768
925	OG0000925	YDR091C	maker-flattened_line_52-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_52-snap-gene-0.3&CDS=1-2007
926	OG0000926	YDR092W	genemark-flattened_line_18-processed-gene-1.104-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.104&CDS=1-471
927	OG0000927	YDR097C	genemark-flattened_line_20-processed-gene-2.39-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.39&CDS=1-3579
928	OG0000928	YDR100W	maker-flattened_line_0-snap-gene-0.142-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-0.142&CDS=1-390
929	OG0000929	YDR101C	genemark-flattened_line_78-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.82&CDS=1-1416
930	OG0000930	YDR104C	genemark-flattened_line_0-processed-gene-3.144-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.144&CDS=1-3753
931	OG0000931	YDR105C	genemark-flattened_line_50-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.8&CDS=1-1413
932	OG0000932	YDR106W	augustus_masked-flattened_line_50-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.114&CDS=1-1056
933	OG0000933	YDR108W	augustus_masked-flattened_line_50-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.117&CDS=1-2052
934	OG0000934	YDR109C	genemark-flattened_line_4-processed-gene-5.146-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.146&CDS=1-1737
935	OG0000935	YDR115W	genemark-flattened_line_4-processed-gene-2.99-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.99&CDS=1-378
936	OG0000936	YDR116C	genemark-flattened_line_4-processed-gene-2.98-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.98&CDS=1-873
937	OG0000937	YDR117C	snap_masked-flattened_line_4-processed-gene-2.2-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.2&CDS=1-1719
938	OG0000938	YDR120C	genemark-flattened_line_56-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.118&CDS=1-1608
939	OG0000939	YDR124W	augustus_masked-flattened_line_34-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.111&CDS=1-1500
940	OG0000940	YDR126W	genemark-flattened_line_56-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.103&CDS=1-1032
941	OG0000941	YDR127W	genemark-flattened_line_0-processed-gene-4.122-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.122&CDS=1-4698
942	OG0000942	YDR128W	maker-flattened_line_0-snap-gene-5.148-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-5.148&CDS=1-4203
943	OG0000943	YDR129C	genemark-flattened_line_30-processed-gene-1.201-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.201&CDS=1-1947
944	OG0000944	YDR135C	genemark-flattened_line_10-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.104&CDS=1-4668
945	OG0000945	YDR137W	augustus_masked-flattened_line_14-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.138&CDS=1-2238
946	OG0000946	YDR140W	genemark-flattened_line_42-processed-gene-0.246-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.246&CDS=1-705
947	OG0000947	YDR141C	genemark-flattened_line_42-processed-gene-0.296-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.296&CDS=1-5118
948	OG0000948	YDR142C	genemark-flattened_line_42-processed-gene-0.290-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.290&CDS=1-1050
949	OG0000949	YDR143C	snap_masked-flattened_line_56-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.48&CDS=1-2382
950	OG0000950	YDR145W	augustus_masked-flattened_line_16-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.79&CDS=1-2241
951	OG0000951	YDR148C	genemark-flattened_line_2-processed-gene-1.161-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.161&CDS=1-1386
952	OG0000952	YDR150W	snap_masked-flattened_line_12-processed-gene-5.71-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-5.71&CDS=1-7617
953	OG0000953	YDR152W	genemark-flattened_line_76-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.78&CDS=1-834
954	OG0000954	YDR155C	genemark-flattened_line_76-processed-gene-0.79-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.79&CDS=1-489
955	OG0000955	YDR158W	genemark-flattened_line_4-processed-gene-2.102-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.102&CDS=1-1065
956	OG0000956	YDR159W	genemark-flattened_line_4-processed-gene-2.103-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.103&CDS=1-3804
957	OG0000957	YDR160W	genemark-flattened_line_26-processed-gene-1.1-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.1&CDS=1-2700
958	OG0000958	YDR161W	genemark-flattened_line_76-processed-gene-0.90-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.90&CDS=1-1014
959	OG0000959	YDR162C	maker-flattened_line_76-snap-gene-0.102-mRNA-1_1&gene=maker-flattened_line_76-snap-gene-0.102&CDS=1-753
960	OG0000960	YDR164C	genemark-flattened_line_10-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.108&CDS=1-2103
961	OG0000961	YDR165W	genemark-flattened_line_32-processed-gene-1.8-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.8&CDS=1-1113
962	OG0000962	YDR166C	augustus_masked-flattened_line_0-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.72&CDS=1-2790
963	OG0000963	YDR167W	genemark-flattened_line_24-processed-gene-2.8-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.8&CDS=1-846
964	OG0000964	YDR168W	genemark-flattened_line_24-processed-gene-2.9-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.9&CDS=1-1374
965	OG0000965	YDR169C	genemark-flattened_line_6-processed-gene-1.51-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.51&CDS=1-2034
966	OG0000966	YDR170C	genemark-flattened_line_30-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.119&CDS=1-5580
967	OG0000967	YDR172W	genemark-flattened_line_18-processed-gene-2.48-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.48&CDS=1-2136
968	OG0000968	YDR173C	genemark-flattened_line_64-processed-gene-0.101-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.101&CDS=1-1074
969	OG0000969	YDR175C	genemark-flattened_line_48-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.20&CDS=1-954
970	OG0000970	YDR176W	genemark-flattened_line_48-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.56&CDS=1-1791
971	OG0000971	YDR177W	genemark-flattened_line_10-processed-gene-2.17-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.17&CDS=1-642
972	OG0000972	YDR180W	augustus_masked-flattened_line_48-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.105&CDS=1-4314
973	OG0000973	YDR181C	augustus_masked-flattened_line_48-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.142&CDS=1-1017
974	OG0000974	YDR182W	genemark-flattened_line_48-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.13&CDS=1-1431
975	OG0000975	YDR188W	genemark-flattened_line_22-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.44&CDS=1-1611
976	OG0000976	YDR189W	genemark-flattened_line_22-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.42&CDS=1-1935
977	OG0000977	YDR190C	genemark-flattened_line_22-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.13&CDS=1-1368
978	OG0000978	YDR191W	augustus_masked-flattened_line_22-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.129&CDS=1-1143
979	OG0000979	YDR194C	genemark-flattened_line_22-processed-gene-1.135-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.135&CDS=1-1989
980	OG0000980	YDR196C	genemark-flattened_line_22-processed-gene-1.110-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.110&CDS=1-702
981	OG0000981	YDR198C	genemark-flattened_line_22-processed-gene-1.109-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.109&CDS=1-1053
982	OG0000982	YDR204W	genemark-flattened_line_22-processed-gene-1.106-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.106&CDS=1-711
983	OG0000983	YDR205W	genemark-flattened_line_22-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.11&CDS=1-2106
984	OG0000984	YDR208W	snap_masked-flattened_line_0-processed-gene-6.67-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.67&CDS=1-2460
985	OG0000985	YDR211W	genemark-flattened_line_6-processed-gene-1.47-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.47&CDS=1-2139
986	OG0000986	YDR212W	genemark-flattened_line_6-processed-gene-1.45-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.45&CDS=1-1671
987	OG0000987	YDR214W	genemark-flattened_line_6-processed-gene-1.43-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.43&CDS=1-954
988	OG0000988	YDR217C	augustus_masked-flattened_line_52-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.66&CDS=1-2793
989	OG0000989	YDR221W	genemark-flattened_line_12-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.31&CDS=1-1494
990	OG0000990	YDR226W	genemark-flattened_line_46-processed-gene-0.237-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.237&CDS=1-747
991	OG0000991	YDR228C	genemark-flattened_line_46-processed-gene-0.279-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.279&CDS=1-1878
992	OG0000992	YDR229W	augustus_masked-flattened_line_10-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.18&CDS=1-1362
993	OG0000993	YDR232W	genemark-flattened_line_20-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.16&CDS=1-1689
994	OG0000994	YDR234W	genemark-flattened_line_20-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.14&CDS=1-2037
995	OG0000995	YDR236C	genemark-flattened_line_4-processed-gene-6.87-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.87&CDS=1-558
996	OG0000996	YDR237W	genemark-flattened_line_20-processed-gene-1.122-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.122&CDS=1-885
997	OG0000997	YDR238C	genemark-flattened_line_20-processed-gene-1.118-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.118&CDS=1-2889
998	OG0000998	YDR243C	genemark-flattened_line_34-processed-gene-0.152-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.152&CDS=1-1821
999	OG0000999	YDR244W	genemark-flattened_line_34-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.130&CDS=1-1815
1000	OG0001000	YDR245W	genemark-flattened_line_34-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.131&CDS=1-1050
1001	OG0001001	YDR246W	genemark-flattened_line_34-processed-gene-1.183-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.183&CDS=1-408
1002	OG0001002	YDR248C	augustus_masked-flattened_line_34-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.104&CDS=1-417
1003	OG0001003	YDR253C, YPL038W	
1004	OG0001004	YDR254W	augustus_masked-flattened_line_40-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.27&CDS=1-1212
1005	OG0001005	YDR255C	genemark-flattened_line_40-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.93&CDS=1-1137
