	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034957_Hanseniaspora_osmophila
700	OG0000700	YBR248C	augustus_masked-flattened_line_186-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_186-processed-gene-0.18&CDS=1-2751
701	OG0000701	YBR251W	snap_masked-flattened_line_388-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_388-processed-gene-0.1&CDS=1-930
702	OG0000702	YBR253W	augustus_masked-flattened_line_62-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.73&CDS=1-522
703	OG0000703	YBR254C	genemark-flattened_line_62-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.98&CDS=1-618
704	OG0000704	YBR255C-A	genemark-flattened_line_62-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.97&CDS=1-354
705	OG0000705	YBR256C	genemark-flattened_line_138-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_138-processed-gene-0.53&CDS=1-642
706	OG0000706	YBR257W	genemark-flattened_line_162-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_162-processed-gene-0.32&CDS=1-861
707	OG0000707	YBR260C	genemark-flattened_line_29-processed-gene-0.102-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.102&CDS=1-2250
708	OG0000708	YBR261C	genemark-flattened_line_29-processed-gene-0.101-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.101&CDS=1-768
709	OG0000709	YBR262C	augustus_masked-flattened_line_29-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.28&CDS=1-297
710	OG0000710	YBR263W	snap_masked-flattened_line_29-processed-gene-0.203-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.203&CDS=1-1467
711	OG0000711	YBR265W	genemark-flattened_line_29-processed-gene-0.129-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.129&CDS=1-975
712	OG0000712	YBR267W	genemark-flattened_line_29-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.128&CDS=1-1383
713	OG0000713	YBR269C	genemark-flattened_line_29-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.93&CDS=1-426
714	OG0000714	YBR271W	augustus_masked-flattened_line_29-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.52&CDS=1-1362
715	OG0000715	YBR272C	augustus_masked-flattened_line_29-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.47&CDS=1-1416
716	OG0000716	YBR274W	genemark-flattened_line_29-processed-gene-0.90-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.90&CDS=1-1605
717	OG0000717	YBR275C	snap_masked-flattened_line_29-processed-gene-0.202-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.202&CDS=1-5277
718	OG0000718	YBR276C	genemark-flattened_line_29-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.131&CDS=1-2709
719	OG0000719	YBR279W	genemark-flattened_line_29-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.97&CDS=1-1191
720	OG0000720	YBR280C	snap_masked-flattened_line_29-processed-gene-0.216-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.216&CDS=1-1623
721	OG0000721	YBR281C	genemark-flattened_line_29-processed-gene-0.133-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.133&CDS=1-2883
722	OG0000722	YBR282W	genemark-flattened_line_29-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.99&CDS=1-456
723	OG0000723	YBR283C	genemark-flattened_line_29-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.135&CDS=1-1449
724	OG0000724	YBR286W	genemark-flattened_line_29-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.114&CDS=1-1689
725	OG0000725	YBR287W	snap_masked-flattened_line_29-processed-gene-0.197-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.197&CDS=1-1299
726	OG0000726	YBR288C	augustus_masked-flattened_line_190-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_190-processed-gene-0.18&CDS=1-1770
727	OG0000727	YBR289W	genemark-flattened_line_2-processed-gene-2.144-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.144&CDS=1-3555
728	OG0000728	YBR290W	genemark-flattened_line_2-processed-gene-2.143-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.143&CDS=1-1992
729	OG0000729	YCL001W	genemark-flattened_line_105-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_105-processed-gene-0.19&CDS=1-609
730	OG0000730	YCL002C	snap_masked-flattened_line_105-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_105-processed-gene-0.67&CDS=1-399
731	OG0000731	YCL004W	genemark-flattened_line_105-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_105-processed-gene-0.7&CDS=1-1509
732	OG0000732	YCL005W-A	snap_masked-flattened_line_105-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_105-processed-gene-0.65&CDS=1-228
733	OG0000733	YCL008C	snap_masked-flattened_line_105-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_105-processed-gene-0.53&CDS=1-1692
734	OG0000734	YCL009C	genemark-flattened_line_111-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_111-processed-gene-0.50&CDS=1-906
735	OG0000735	YCL010C	maker-flattened_line_111-snap-gene-0.55-mRNA-1_1&gene=maker-flattened_line_111-snap-gene-0.55&CDS=1-1020
736	OG0000736	YCL014W	genemark-flattened_line_111-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_111-processed-gene-0.37&CDS=1-3285
737	OG0000737	YCL016C	augustus_masked-flattened_line_111-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_111-processed-gene-0.0&CDS=1-1200
738	OG0000738	YCL017C	genemark-flattened_line_111-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_111-processed-gene-0.27&CDS=1-1530
739	OG0000739	YCL018W	genemark-flattened_line_111-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_111-processed-gene-0.39&CDS=1-1098
740	OG0000740	YCL026C-B	genemark-flattened_line_8-processed-gene-2.153-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.153&CDS=1-582
741	OG0000741	YCL027W	augustus_masked-flattened_line_8-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.79&CDS=1-1428
742	OG0000742	YCL029C	genemark-flattened_line_8-processed-gene-2.107-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.107&CDS=1-1125
743	OG0000743	YCL030C	genemark-flattened_line_8-processed-gene-2.108-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.108&CDS=1-2406
744	OG0000744	YCL031C	genemark-flattened_line_8-processed-gene-2.110-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.110&CDS=1-942
745	OG0000745	YCL032W	genemark-flattened_line_8-processed-gene-2.134-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.134&CDS=1-954
746	OG0000746	YCL033C	genemark-flattened_line_8-processed-gene-2.111-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.111&CDS=1-426
747	OG0000747	YCL034W	augustus_masked-flattened_line_8-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.83&CDS=1-1158
748	OG0000748	YCL037C	snap_masked-flattened_line_8-processed-gene-2.16-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.16&CDS=1-1536
749	OG0000749	YCL038C	genemark-flattened_line_8-processed-gene-2.114-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.114&CDS=1-1923
750	OG0000750	YCL039W	snap_masked-flattened_line_8-processed-gene-2.38-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.38&CDS=1-2580
751	OG0000751	YCL043C	snap_masked-flattened_line_8-processed-gene-2.20-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.20&CDS=1-1629
752	OG0000752	YCL044C	augustus_masked-flattened_line_8-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.68&CDS=1-1452
753	OG0000753	YCL045C	snap_masked-flattened_line_8-processed-gene-2.22-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.22&CDS=1-2280
754	OG0000754	YCL054W	genemark-flattened_line_8-processed-gene-2.147-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.147&CDS=1-2499
755	OG0000755	YCL055W	snap_masked-flattened_line_8-processed-gene-2.46-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.46&CDS=1-909
756	OG0000756	YCL057C-A	augustus_masked-flattened_line_8-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.75&CDS=1-258
757	OG0000757	YCL057W	genemark-flattened_line_8-processed-gene-2.150-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.150&CDS=1-2142
758	OG0000758	YCL059C	snap_masked-flattened_line_8-processed-gene-2.30-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.30&CDS=1-1074
759	OG0000759	YCL061C	snap_masked-flattened_line_8-processed-gene-2.31-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.31&CDS=1-3372
760	OG0000760	YCR002C	genemark-flattened_line_105-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_105-processed-gene-0.20&CDS=1-1005
761	OG0000761	YCR003W	snap_masked-flattened_line_105-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_105-processed-gene-0.60&CDS=1-636
762	OG0000762	YCR009C	genemark-flattened_line_105-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_105-processed-gene-0.24&CDS=1-792
763	OG0000763	YCR011C	snap_masked-flattened_line_105-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_105-processed-gene-0.63&CDS=1-2943
764	OG0000764	YCR012W	genemark-flattened_line_77-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_77-processed-gene-0.16&CDS=1-1248
765	OG0000765	YCR014C	augustus_masked-flattened_line_154-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_154-processed-gene-0.0&CDS=1-1782
766	OG0000766	YCR015C	snap_masked-flattened_line_77-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_77-processed-gene-0.102&CDS=1-1995
767	OG0000767	YCR016W	genemark-flattened_line_77-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_77-processed-gene-0.17&CDS=1-909
768	OG0000768	YCR017C	genemark-flattened_line_77-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_77-processed-gene-0.33&CDS=1-3111
769	OG0000769	YCR019W	genemark-flattened_line_29-processed-gene-0.105-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.105&CDS=1-1128
770	OG0000770	YCR021C	snap_masked-flattened_line_87-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_87-processed-gene-0.103&CDS=1-1074
771	OG0000771	YCR024C	genemark-flattened_line_77-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_77-processed-gene-0.7&CDS=1-1455
772	OG0000772	YCR028C	snap_masked-flattened_line_37-processed-gene-0.196-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.196&CDS=1-1689
773	OG0000773	YCR028C-A	genemark-flattened_line_37-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.123&CDS=1-375
774	OG0000774	YCR030C	snap_masked-flattened_line_37-processed-gene-0.199-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.199&CDS=1-2745
775	OG0000775	YCR032W	augustus_masked-flattened_line_37-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.24&CDS=1-6123
776	OG0000776	YCR033W	augustus_masked-flattened_line_37-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.25&CDS=1-4761
777	OG0000777	YCR034W	genemark-flattened_line_37-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.93&CDS=1-1017
778	OG0000778	YCR035C	genemark-flattened_line_37-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.128&CDS=1-1110
779	OG0000779	YCR036W	genemark-flattened_line_37-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.94&CDS=1-1002
780	OG0000780	YCR042C	augustus_masked-flattened_line_8-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.58&CDS=1-4788
781	OG0000781	YCR043C	genemark-flattened_line_8-processed-gene-1.25-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.25&CDS=1-612
782	OG0000782	YCR045C	genemark-flattened_line_64-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.119&CDS=1-1695
783	OG0000783	YCR046C	genemark-flattened_line_64-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.118&CDS=1-534
784	OG0000784	YCR047C	genemark-flattened_line_64-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.117&CDS=1-813
785	OG0000785	YCR051W	genemark-flattened_line_64-processed-gene-0.143-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.143&CDS=1-657
786	OG0000786	YCR053W	genemark-flattened_line_64-processed-gene-0.140-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.140&CDS=1-1533
787	OG0000787	YCR054C	genemark-flattened_line_64-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.114&CDS=1-1626
788	OG0000788	YCR057C	genemark-flattened_line_64-processed-gene-0.113-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.113&CDS=1-2778
789	OG0000789	YCR059C	genemark-flattened_line_64-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.112&CDS=1-837
790	OG0000790	YCR060W	snap_masked-flattened_line_64-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.34&CDS=1-423
791	OG0000791	YCR061W	snap_masked-flattened_line_64-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.33&CDS=1-2079
792	OG0000792	YCR063W	snap_masked-flattened_line_64-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.32&CDS=1-606
793	OG0000793	YCR065W	genemark-flattened_line_64-processed-gene-0.136-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.136&CDS=1-2367
794	OG0000794	YCR066W	genemark-flattened_line_64-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.135&CDS=1-1422
795	OG0000795	YCR068W	genemark-flattened_line_64-processed-gene-0.133-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.133&CDS=1-1722
796	OG0000796	YCR069W	genemark-flattened_line_15-processed-gene-1.101-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.101&CDS=1-1014
797	OG0000797	YCR071C	genemark-flattened_line_15-processed-gene-1.74-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.74&CDS=1-492
798	OG0000798	YCR072C	snap_masked-flattened_line_15-processed-gene-1.139-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.139&CDS=1-1539
799	OG0000799	YCR075C	augustus_masked-flattened_line_15-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-1.12&CDS=1-870
800	OG0000800	YCR075W-A	snap_masked-flattened_line_15-processed-gene-1.163-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.163&CDS=1-267
801	OG0000801	YCR076C	snap_masked-flattened_line_15-processed-gene-1.135-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.135&CDS=1-888
802	OG0000802	YCR077C	genemark-flattened_line_15-processed-gene-1.69-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.69&CDS=1-2565
803	OG0000803	YCR079W	genemark-flattened_line_15-processed-gene-1.95-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.95&CDS=1-1437
804	OG0000804	YCR081W	snap_masked-flattened_line_15-processed-gene-1.130-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.130&CDS=1-4230
805	OG0000805	YCR084C	genemark-flattened_line_15-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-0.46&CDS=1-2661
806	OG0000806	YCR086W	augustus_masked-flattened_line_15-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.91&CDS=1-828
807	OG0000807	YCR087C-A	genemark-flattened_line_15-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-0.45&CDS=1-504
808	OG0000808	YCR088W	genemark-flattened_line_15-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-0.57&CDS=1-2064
809	OG0000809	YCR090C	augustus_masked-flattened_line_15-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.76&CDS=1-594
810	OG0000810	YCR092C	genemark-flattened_line_15-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-0.43&CDS=1-3366
811	OG0000811	YCR093W	genemark-flattened_line_15-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-0.52&CDS=1-7653
812	OG0000812	YCR095C	genemark-flattened_line_15-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-0.39&CDS=1-1761
813	OG0000813	YCR098C	augustus_masked-flattened_line_206-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_206-processed-gene-0.14&CDS=1-3441
814	OG0000814	YDL001W	genemark-flattened_line_144-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_144-processed-gene-0.30&CDS=1-1323
815	OG0000815	YDL002C	genemark-flattened_line_144-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_144-processed-gene-0.23&CDS=1-792
816	OG0000816	YDL003W	snap_masked-flattened_line_144-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_144-processed-gene-0.52&CDS=1-1911
817	OG0000817	YDL004W	genemark-flattened_line_168-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_168-processed-gene-0.34&CDS=1-468
818	OG0000818	YDL005C	augustus_masked-flattened_line_168-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_168-processed-gene-0.6&CDS=1-1077
819	OG0000819	YDL006W	genemark-flattened_line_168-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_168-processed-gene-0.35&CDS=1-1521
820	OG0000820	YDL007W	genemark-flattened_line_144-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_144-processed-gene-0.24&CDS=1-1308
821	OG0000821	YDL008W	genemark-flattened_line_41-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_41-processed-gene-0.18&CDS=1-438
822	OG0000822	YDL012C	genemark-flattened_line_168-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_168-processed-gene-0.20&CDS=1-378
823	OG0000823	YDL013W	augustus_masked-flattened_line_168-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_168-processed-gene-0.10&CDS=1-2316
824	OG0000824	YDL014W	genemark-flattened_line_168-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_168-processed-gene-0.29&CDS=1-996
825	OG0000825	YDL015C	snap_masked-flattened_line_168-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_168-processed-gene-0.40&CDS=1-918
826	OG0000826	YDL017W	genemark-flattened_line_168-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_168-processed-gene-0.30&CDS=1-1944
827	OG0000827	YDL018C	augustus_masked-flattened_line_168-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_168-processed-gene-0.3&CDS=1-663
828	OG0000828	YDL020C	augustus_masked-flattened_line_41-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-0.114&CDS=1-1527
829	OG0000829	YDL028C	genemark-flattened_line_62-processed-gene-0.102-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.102&CDS=1-2406
830	OG0000830	YDL029W	maker-flattened_line_62-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_62-snap-gene-0.0&CDS=1-4074
831	OG0000831	YDL030W	snap_masked-flattened_line_144-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_144-processed-gene-0.55&CDS=1-1698
832	OG0000832	YDL031W	snap_masked-flattened_line_144-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_144-processed-gene-0.56&CDS=1-3030
833	OG0000833	YDL033C	genemark-flattened_line_144-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_144-processed-gene-0.25&CDS=1-1188
834	OG0000834	YDL035C	snap_masked-flattened_line_168-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_168-processed-gene-0.43&CDS=1-3015
835	OG0000835	YDL040C	genemark-flattened_line_57-processed-gene-0.170-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.170&CDS=1-2628
836	OG0000836	YDL043C	snap_masked-flattened_line_57-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.50&CDS=1-888
837	OG0000837	YDL044C	augustus_masked-flattened_line_41-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-0.110&CDS=1-1473
838	OG0000838	YDL045C	augustus_masked-flattened_line_41-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-0.111&CDS=1-1032
839	OG0000839	YDL045W-A	snap_masked-flattened_line_41-processed-gene-0.220-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.220&CDS=1-285
840	OG0000840	YDL046W	genemark-flattened_line_41-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_41-processed-gene-0.16&CDS=1-558
841	OG0000841	YDL047W	genemark-flattened_line_41-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_41-processed-gene-0.15&CDS=1-975
842	OG0000842	YDL051W	snap_masked-flattened_line_99-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_99-processed-gene-0.87&CDS=1-999
843	OG0000843	YDL052C	genemark-flattened_line_99-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_99-processed-gene-0.30&CDS=1-972
844	OG0000844	YDL054C	genemark-flattened_line_240-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_240-processed-gene-0.9&CDS=1-1512
845	OG0000845	YDL055C	genemark-flattened_line_212-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_212-processed-gene-0.16&CDS=1-1083
846	OG0000846	YDL056W	snap_masked-flattened_line_212-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_212-processed-gene-0.7&CDS=1-3078
847	OG0000847	YDL057W	augustus_masked-flattened_line_364-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_364-processed-gene-0.1&CDS=1-1935
848	OG0000848	YDL058W	maker-flattened_line_212-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_212-snap-gene-0.0&CDS=1-6219
849	OG0000849	YDL059C	genemark-flattened_line_212-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_212-processed-gene-0.14&CDS=1-705
850	OG0000850	YDL060W	genemark-flattened_line_53-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_53-processed-gene-0.74&CDS=1-2376
851	OG0000851	YDL063C	snap_masked-flattened_line_53-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.2&CDS=1-1989
852	OG0000852	YDL064W	genemark-flattened_line_53-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_53-processed-gene-0.76&CDS=1-471
853	OG0000853	YDL065C	snap_masked-flattened_line_53-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.3&CDS=1-1158
854	OG0000854	YDL066W	genemark-flattened_line_53-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_53-processed-gene-0.77&CDS=1-1275
855	OG0000855	YDL067C	augustus_masked-flattened_line_53-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.103&CDS=1-270
856	OG0000856	YDL072C	genemark-flattened_line_53-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_53-processed-gene-0.61&CDS=1-645
857	OG0000857	YDL073W	augustus_masked-flattened_line_53-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.130&CDS=1-3177
858	OG0000858	YDL076C	snap_masked-flattened_line_53-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.12&CDS=1-1218
859	OG0000859	YDL077C	snap_masked-flattened_line_53-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.14&CDS=1-3090
860	OG0000860	YDL081C	genemark-flattened_line_23-processed-gene-1.69-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.69&CDS=1-321
861	OG0000861	YDL084W	genemark-flattened_line_23-processed-gene-1.95-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.95&CDS=1-1332
862	OG0000862	YDL087C	snap_masked-flattened_line_23-processed-gene-1.172-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-1.172&CDS=1-1170
863	OG0000863	YDL089W	augustus_masked-flattened_line_23-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.20&CDS=1-1065
864	OG0000864	YDL090C	genemark-flattened_line_23-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.105&CDS=1-1407
865	OG0000865	YDL091C	augustus_masked-flattened_line_25-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.178&CDS=1-846
866	OG0000866	YDL092W	genemark-flattened_line_23-processed-gene-1.79-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.79&CDS=1-483
867	OG0000867	YDL095W	genemark-flattened_line_23-processed-gene-1.78-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.78&CDS=1-2868
868	OG0000868	YDL097C	genemark-flattened_line_23-processed-gene-1.103-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.103&CDS=1-1368
869	OG0000869	YDL098C	augustus_masked-flattened_line_23-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.41&CDS=1-669
870	OG0000870	YDL099W	augustus_masked-flattened_line_23-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.14&CDS=1-1032
871	OG0000871	YDL100C	genemark-flattened_line_23-processed-gene-1.100-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.100&CDS=1-1053
