	OrthologID	Saccharomyces_cerevisiae	Yarrowia_keelungensis
249	OG0000249	YER131W, YGL189C	-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-gi|1002317704|dbj|BCJD01000011.1|-processed-gene-4.92&CDS=1-369
250	OG0000250	YER175C, YHR209W	-processed-gene-5.52-mRNA-1_1&gene=snap_masked-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-5.52&CDS=1-795
251	OG0000251	YFL025C	-processed-gene-18.20-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-18.20&CDS=1-1470, -processed-gene-24.137-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-24.137&CDS=1-2865
252	OG0000252	YFL034C-A, YLR061W	-processed-gene-3.57-mRNA-1_1&gene=snap_masked-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-3.57&CDS=1-378
253	OG0000253	YFL042C, YLR072W	-processed-gene-8.17-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-8.17&CDS=1-2466
254	OG0000254	YFL054C	-processed-gene-0.38-mRNA-1_1&gene=genemark-gi|1002317702|dbj|BCJD01000013.1|-processed-gene-0.38&CDS=1-969, -processed-gene-15.71-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-15.71&CDS=1-1140
255	OG0000255	YFR022W, YOR018W	-processed-gene-17.16-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-17.16&CDS=1-1848
256	OG0000256	YFR024C-A, YHR016C	-processed-gene-15.69-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-15.69&CDS=1-1509
257	OG0000257	YFR031C-A, YIL018W	-processed-gene-17.102-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-17.102&CDS=1-762
258	OG0000258	YFR053C, YGL253W	-processed-gene-1.73-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-1.73&CDS=1-1602
259	OG0000259	YGL031C, YGR148C	-processed-gene-2.55-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-2.55&CDS=1-465
260	OG0000260	YGL049C, YGR162W	-processed-gene-8.10-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-8.10&CDS=1-2703
261	OG0000261	YGL066W	-processed-gene-4.34-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-4.34&CDS=1-1008, -processed-gene-5.27-mRNA-1_1&gene=snap_masked-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-5.27&CDS=1-693
262	OG0000262	YGL076C, YPL198W	-processed-gene-11.30-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-11.30&CDS=1-750
263	OG0000263	YGL082W, YPL191C	-processed-gene-11.91-mRNA-1_1&gene=augustus_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-11.91&CDS=1-1737
264	OG0000264	YGL096W, YPL177C	-processed-gene-7.33-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-7.33&CDS=1-1089
265	OG0000265	YGL133W, YPL216W	-processed-gene-25.38-mRNA-1_1&gene=augustus_masked-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-25.38&CDS=1-2838
266	OG0000266	YGL135W, YPL220W	-processed-gene-4.32-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-4.32&CDS=1-651
267	OG0000267	YGL147C, YNL067W	-processed-gene-7.21-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-7.21&CDS=1-564
268	OG0000268	YGR008C, YLR327C	-processed-gene-13.11-mRNA-1_1&gene=augustus_masked-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-13.11&CDS=1-279
269	OG0000269	YGR010W, YLR328W	-processed-gene-5.76-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-5.76&CDS=1-1410
270	OG0000270	YGR027C, YLR333C	-processed-gene-7.13-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-7.13&CDS=1-336
271	OG0000271	YGR034W, YLR344W	-processed-gene-4.51-mRNA-1_1&gene=genemark-gi|1002317704|dbj|BCJD01000011.1|-processed-gene-4.51&CDS=1-384
272	OG0000272	YGR038W, YLR350W	-processed-gene-14.83-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-14.83&CDS=1-552
273	OG0000273	YGR056W, YLR357W	-processed-gene-4.54-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-4.54&CDS=1-2274
274	OG0000274	YGR070W, YLR371W	-processed-gene-4.9-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-4.9&CDS=1-3963
275	OG0000275	YGR085C, YPR102C	-processed-gene-6.40-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-6.40&CDS=1-534
276	OG0000276	YGR088W	-processed-gene-0.40-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-0.40&CDS=1-1596, -processed-gene-1.46-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-1.46&CDS=1-1602
277	OG0000277	YGR092W, YPR111W	-processed-gene-5.94-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-5.94&CDS=1-1740
278	OG0000278	YGR108W, YPR119W	-processed-gene-6.42-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-6.42&CDS=1-1563
279	OG0000279	YGR118W, YPR132W	-processed-gene-32.166-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-32.166&CDS=1-435
280	OG0000280	YGR121C, YPR138C	-processed-gene-7.74-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-7.74&CDS=1-1551
281	OG0000281	YGR131W, YPR149W	-processed-gene-12.64-mRNA-1_1&gene=augustus_masked-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-12.64&CDS=1-522
282	OG0000282	YGR136W, YPR154W	-processed-gene-7.29-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-7.29&CDS=1-921
283	OG0000283	YGR138C, YPR156C	-processed-gene-3.0-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-3.0&CDS=1-1650
284	OG0000284	YGR141W, YPR157W	-processed-gene-16.58-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-16.58&CDS=1-1089
285	OG0000285	YGR188C, YJL013C	-processed-gene-0.8-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-0.8&CDS=1-2865
286	OG0000286	YGR189C	-processed-gene-4.31-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-4.31&CDS=1-1800, -processed-gene-5.13-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-5.13&CDS=1-1482
287	OG0000287	YGR209C, YLR043C	-processed-gene-2.63-mRNA-1_1&gene=genemark-gi|1002317702|dbj|BCJD01000013.1|-processed-gene-2.63&CDS=1-312
288	OG0000288	YGR214W, YLR048W	-processed-gene-29.16-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-29.16&CDS=1-810
289	OG0000289	YGR238C, YHR158C	-processed-gene-2.75-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-2.75&CDS=1-4716
290	OG0000290	YGR241C, YHR161C	-snap-gene-18.35-mRNA-1_1&gene=maker-gi|1002317709|dbj|BCJD01000006.1|-snap-gene-18.35&CDS=1-2109
291	OG0000291	YGR243W, YHR162W	-processed-gene-6.13-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-6.13&CDS=1-405
292	OG0000292	YGR248W, YHR163W	-processed-gene-13.33-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-13.33&CDS=1-744
293	OG0000293	YGR254W, YHR174W	-processed-gene-7.72-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-7.72&CDS=1-1314
294	OG0000294	YGR273C, YMR295C	-processed-gene-16.24-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-16.24&CDS=1-657
295	OG0000295	YGR283C, YMR310C	-processed-gene-4.144-mRNA-1_1&gene=augustus_masked-gi|1002317704|dbj|BCJD01000011.1|-processed-gene-4.144&CDS=1-1155
296	OG0000296	YHL001W, YKL006W	-processed-gene-27.34-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-27.34&CDS=1-417
297	OG0000297	YHL003C, YKL008C	-processed-gene-0.10-mRNA-1_1&gene=genemark-gi|1002317707|dbj|BCJD01000008.1|-processed-gene-0.10&CDS=1-1290
298	OG0000298	YHL017W, YKL039W	-processed-gene-30.24-mRNA-1_1&gene=snap_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-30.24&CDS=1-1656
299	OG0000299	YHL033C, YLL045C	-processed-gene-17.124-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-17.124&CDS=1-789
300	OG0000300	YHR001W, YKR003W	-processed-gene-4.63-mRNA-1_1&gene=genemark-gi|1002317705|dbj|BCJD01000010.1|-processed-gene-4.63&CDS=1-1482
301	OG0000301	YHR021C, YKL156W	-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-0.60&CDS=1-246
302	OG0000302	YHR047C, YKL157W	-processed-gene-5.122-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-5.122&CDS=1-2652
303	OG0000303	YHR048W	-processed-gene-1.19-mRNA-1_1&gene=genemark-gi|1002317707|dbj|BCJD01000008.1|-processed-gene-1.19&CDS=1-1605, -processed-gene-30.50-mRNA-1_1&gene=augustus_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-30.50&CDS=1-1662
304	OG0000304	YHR101C	-processed-gene-23.76-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-23.76&CDS=1-972, -processed-gene-4.4-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-4.4&CDS=1-852
305	OG0000305	YHR115C, YNL116W	-processed-gene-9.89-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-9.89&CDS=1-1875
306	OG0000306	YHR117W, YNL121C	-processed-gene-0.68-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-0.68&CDS=1-1857
307	OG0000307	YHR123W, YNL130C	-processed-gene-16.16-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-16.16&CDS=1-1182
308	OG0000308	YHR131C, YNL144C	-processed-gene-11.1-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-11.1&CDS=1-1575
309	OG0000309	YHR132W-A, YNL157W	-processed-gene-20.39-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-20.39&CDS=1-348
310	OG0000310	YHR133C, YNL156C	-processed-gene-5.71-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-5.71&CDS=1-855
311	OG0000311	YHR141C, YNL162W	-processed-gene-9.7-mRNA-1_1&gene=augustus_masked-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-9.7&CDS=1-318
312	OG0000312	YHR155W, YNL257C	-processed-gene-2.11-mRNA-1_1&gene=snap_masked-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-2.11&CDS=1-4224
313	OG0000313	YHR177W	-processed-gene-10.49-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-10.49&CDS=1-1689, -processed-gene-10.74-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-10.74&CDS=1-954
314	OG0000314	YHR198C, YHR199C	-processed-gene-6.83-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-6.83&CDS=1-909
315	OG0000315	YHR203C, YJR145C	-processed-gene-17.17-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-17.17&CDS=1-780
316	OG0000316	YIL038C, YPR072W	-processed-gene-16.72-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-16.72&CDS=1-1869
317	OG0000317	YIL085C, YNL029C	-processed-gene-18.15-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-18.15&CDS=1-1539
318	OG0000318	YIL095W, YNL020C	-augustus-gene-1.80-mRNA-1_1&gene=maker-gi|1002317714|dbj|BCJD01000001.1|-augustus-gene-1.80&CDS=1-3276
319	OG0000319	YIL105C, YNL047C	-processed-gene-21.68-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-21.68&CDS=1-2400
320	OG0000320	YIL111W, YNL052W	-processed-gene-0.21-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-0.21&CDS=1-507
321	OG0000321	YIL114C, YNL055C	-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-8.25&CDS=1-864
322	OG0000322	YIL120W, YIL121W	-snap-gene-1.23-mRNA-1_1&gene=maker-gi|1002317713|dbj|BCJD01000002.1|-snap-gene-1.23&CDS=1-1593
323	OG0000323	YIL130W	-processed-gene-0.17-mRNA-1_1&gene=snap_masked-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-0.17&CDS=1-1929, -processed-gene-25.79-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-25.79&CDS=1-2541
324	OG0000324	YIL131C, YNL068C	-snap-gene-9.86-mRNA-1_1&gene=maker-gi|1002317709|dbj|BCJD01000006.1|-snap-gene-9.86&CDS=1-2064
325	OG0000325	YIL149C, YKR095W	-processed-gene-12.19-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-12.19&CDS=1-5838
326	OG0000326	YIL154C	-processed-gene-11.73-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-11.73&CDS=1-1944, -processed-gene-19.75-mRNA-1_1&gene=snap_masked-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-19.75&CDS=1-993
327	OG0000327	YIR007W	-processed-gene-1.109-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-1.109&CDS=1-2418, -processed-gene-16.68-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-16.68&CDS=1-2364
328	OG0000328	YIR009W	-processed-gene-13.26-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-13.26&CDS=1-435, -processed-gene-3.87-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-3.87&CDS=1-678
329	OG0000329	YIR031C, YNL117W	-processed-gene-9.82-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-9.82&CDS=1-1659
330	OG0000330	YJL081C	-processed-gene-19.9-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-19.9&CDS=1-1281, -processed-gene-20.89-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-20.89&CDS=1-1296
331	OG0000331	YJL082W, YKR018C	-processed-gene-22.65-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-22.65&CDS=1-2163
332	OG0000332	YJL083W, YKR019C	-processed-gene-7.23-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-7.23&CDS=1-3030
333	OG0000333	YJL084C, YKR021W	-processed-gene-1.17-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-1.17&CDS=1-2322
334	OG0000334	YJL093C	-processed-gene-14.38-mRNA-1_1&gene=augustus_masked-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-14.38&CDS=1-2241, -processed-gene-24.92-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-24.92&CDS=1-2502
335	OG0000335	YJL105W, YKR029C	-processed-gene-3.157-mRNA-1_1&gene=genemark-gi|1002317702|dbj|BCJD01000013.1|-processed-gene-3.157&CDS=1-1926
336	OG0000336	YJL133W, YKR052C	-processed-gene-2.76-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-2.76&CDS=1-951
337	OG0000337	YJL134W, YKR053C	-processed-gene-4.84-mRNA-1_1&gene=genemark-gi|1002317704|dbj|BCJD01000011.1|-processed-gene-4.84&CDS=1-1872
338	OG0000338	YJL136C, YKR057W	-processed-gene-16.29-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-16.29&CDS=1-261
339	OG0000339	YJL137C, YKR058W	-processed-gene-22.20-mRNA-1_1&gene=augustus_masked-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-22.20&CDS=1-1611
340	OG0000340	YJL138C, YKR059W	-processed-gene-3.25-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-3.25&CDS=1-1185
341	OG0000341	YJL139C, YKR061W	-processed-gene-10.53-mRNA-1_1&gene=augustus_masked-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-10.53&CDS=1-1302
342	OG0000342	YJL177W, YKL180W	-processed-gene-15.29-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-15.29&CDS=1-552
343	OG0000343	YJL190C	-processed-gene-15.17-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-15.17&CDS=1-390, -processed-gene-18.20-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-18.20&CDS=1-390
344	OG0000344	YJL218W	-processed-gene-1.87-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-1.87&CDS=1-660, -processed-gene-6.11-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-6.11&CDS=1-660
345	OG0000345	YJR054W, YML047C	-processed-gene-1.58-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-1.58&CDS=1-1713
346	OG0000346	YJR061W, YKL201C	-processed-gene-15.24-mRNA-1_1&gene=snap_masked-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-15.24&CDS=1-1884
347	OG0000347	YJR076C	-processed-gene-4.40-mRNA-1_1&gene=snap_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-4.40&CDS=1-1275, -processed-gene-6.79-mRNA-1_1&gene=snap_masked-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-6.79&CDS=1-1161
348	OG0000348	YJR091C, YPR042C	-processed-gene-31.102-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-31.102&CDS=1-2517
349	OG0000349	YJR092W	-processed-gene-12.50-mRNA-1_1&gene=augustus_masked-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-12.50&CDS=1-6315, -processed-gene-13.62-mRNA-1_1&gene=augustus_masked-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-13.62&CDS=1-3330
350	OG0000350	YJR094W-A, YPR043W	-processed-gene-1.37-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-1.37&CDS=1-339
351	OG0000351	YJR096W	-processed-gene-0.19-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-0.19&CDS=1-852, -processed-gene-31.90-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-31.90&CDS=1-861
352	OG0000352	YJR124C	-processed-gene-10.43-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-10.43&CDS=1-1356, -processed-gene-7.82-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-7.82&CDS=1-1398
353	OG0000353	YJR127C, YML081W	-processed-gene-9.5-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-9.5&CDS=1-3267
354	OG0000354	YJR130C, YML082W	-processed-gene-7.76-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-7.76&CDS=1-1647
355	OG0000355	YKL050C, YMR031C	-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-4.34&CDS=1-3801
356	OG0000356	YKL068W, YMR047C	-processed-gene-21.14-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-21.14&CDS=1-3276
357	OG0000357	YKL072W, YMR053C	-processed-gene-21.41-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-21.41&CDS=1-2661
358	OG0000358	YKL103C	-processed-gene-12.20-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-12.20&CDS=1-1395, -processed-gene-15.42-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-15.42&CDS=1-1479
359	OG0000359	YKL121W, YMR102C	-processed-gene-24.81-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-24.81&CDS=1-2688
360	OG0000360	YKL122C	-processed-gene-0.0-mRNA-1_1&gene=snap_masked-gi|1002317688|dbj|BCJD01000027.1|-processed-gene-0.0&CDS=1-273, -processed-gene-30.80-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-30.80&CDS=1-546
361	OG0000361	YKL141W, YMR118C	-processed-gene-7.24-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-7.24&CDS=1-513
362	OG0000362	YKL192C	-processed-gene-11.100-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-11.100&CDS=1-327, -processed-gene-17.4-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-17.4&CDS=1-393
363	OG0000363	YKL221W	-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-0.58&CDS=1-1419, -processed-gene-18.101-mRNA-1_1&gene=augustus_masked-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-18.101&CDS=1-1500
364	OG0000364	YKR066C	-processed-gene-12.18-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-12.18&CDS=1-1029, -processed-gene-27.12-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-27.12&CDS=1-855
365	OG0000365	YKR076W, YMR251W	-processed-gene-3.20-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-3.20&CDS=1-960
366	OG0000366	YKR089C, YOR081C	-processed-gene-3.17-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-3.17&CDS=1-2361
367	OG0000367	YLL012W, YLR020C	-processed-gene-27.102-mRNA-1_1&gene=snap_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-27.102&CDS=1-1353
368	OG0000368	YLL016W, YLR310C	-processed-gene-9.38-mRNA-1_1&gene=snap_masked-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-9.38&CDS=1-3579
369	OG0000369	YLR059C	-processed-gene-1.9-mRNA-1_1&gene=genemark-gi|1002317704|dbj|BCJD01000011.1|-processed-gene-1.9&CDS=1-546, -processed-gene-9.12-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-9.12&CDS=1-540
370	OG0000370	YLR260W, YOR171C	-processed-gene-1.86-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-1.86&CDS=1-1389
371	OG0000371	YLR264W, YOR167C	-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-4.88&CDS=1-207
372	OG0000372	YLR270W, YOR173W	-processed-gene-24.176-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-24.176&CDS=1-921
373	OG0000373	YLR287C-A, YOR182C	-snap-gene-4.8-mRNA-1_1&gene=maker-gi|1002317711|dbj|BCJD01000004.1|-snap-gene-4.8&CDS=1-723
374	OG0000374	YLR300W, YOR190W	-processed-gene-4.48-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-4.48&CDS=1-1263
375	OG0000375	YLR318W	-processed-gene-18.12-mRNA-1_1&gene=snap_masked-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-18.12&CDS=1-2112, -processed-gene-8.41-mRNA-1_1&gene=augustus_masked-gi|1002317707|dbj|BCJD01000008.1|-processed-gene-8.41&CDS=1-2001
376	OG0000376	YLR398C	-processed-gene-8.11-mRNA-1_1&gene=genemark-gi|1002317707|dbj|BCJD01000008.1|-processed-gene-8.11&CDS=1-3738, -processed-gene-8.44-mRNA-1_1&gene=augustus_masked-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-8.44&CDS=1-3888
377	OG0000377	YLR450W, YML075C	-processed-gene-22.97-mRNA-1_1&gene=augustus_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-22.97&CDS=1-3000
378	OG0000378	YLR456W, YPR172W	-processed-gene-9.61-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-9.61&CDS=1-474
379	OG0000379	YML046W	-processed-gene-19.15-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-19.15&CDS=1-1719, -processed-gene-3.27-mRNA-1_1&gene=augustus_masked-gi|1002317705|dbj|BCJD01000010.1|-processed-gene-3.27&CDS=1-1920
380	OG0000380	YML100W, YMR261C	-processed-gene-5.29-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-5.29&CDS=1-3147
381	OG0000381	YML106W, YMR271C	-processed-gene-13.45-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-13.45&CDS=1-657
382	OG0000382	YML109W, YMR273C	-processed-gene-0.35-mRNA-1_1&gene=snap_masked-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-0.35&CDS=1-4299
383	OG0000383	YML118W, YMR285C	-processed-gene-9.79-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-9.79&CDS=1-1371
