	OrthologID	Saccharomyces_cerevisiae	Spathaspora_gorwiae
219	OG0000219	YDL224C, YNL197C	augustus_masked-LQMZ01002476.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LQMZ01002476.1-processed-gene-0.10&CDS=1-2133
220	OG0000220	YDL229W, YNL209W	augustus_masked-LQMZ01002297.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-LQMZ01002297.1-processed-gene-0.63&CDS=1-1839
221	OG0000221	YDR027C	augustus_masked-LQMZ01000768.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LQMZ01000768.1-processed-gene-0.16&CDS=1-4365, augustus_masked-LQMZ01000799.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LQMZ01000799.1-processed-gene-0.15&CDS=1-468
222	OG0000222	YDR066C, YER139C	augustus_masked-LQMZ01001935.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01001935.1-processed-gene-0.0&CDS=1-825
223	OG0000223	YDR069C, YER144C	maker-LQMZ01002478.1-snap-gene-0.113-mRNA-1_1&gene=maker-LQMZ01002478.1-snap-gene-0.113&CDS=1-2784
224	OG0000224	YDR072C	augustus_masked-LQMZ01000925.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01000925.1-processed-gene-0.0&CDS=1-1191, genemark-LQMZ01001578.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQMZ01001578.1-processed-gene-0.2&CDS=1-1281
225	OG0000225	YDR098C, YER174C	augustus_masked-LQMZ01001309.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01001309.1-processed-gene-0.0&CDS=1-765
226	OG0000226	YDR099W, YER177W	augustus_masked-LQMZ01001448.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMZ01001448.1-processed-gene-0.1&CDS=1-774
227	OG0000227	YDR107C, YLR083C	augustus_masked-LQMZ01000007.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LQMZ01000007.1-processed-gene-0.9&CDS=1-1905
228	OG0000228	YDR108W	augustus_masked-LQMZ01000747.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01000747.1-processed-gene-0.2&CDS=1-288, genemark-LQMZ01001829.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQMZ01001829.1-processed-gene-0.2&CDS=1-2106
229	OG0000229	YDR111C, YLR089C	genemark-LQMZ01002388.1-processed-gene-0.40-mRNA-1_1&gene=genemark-LQMZ01002388.1-processed-gene-0.40&CDS=1-1539
230	OG0000230	YDR117C	augustus_masked-LQMZ01000237.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQMZ01000237.1-processed-gene-0.3&CDS=1-987, augustus_masked-LQMZ01002207.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LQMZ01002207.1-processed-gene-0.20&CDS=1-1836
231	OG0000231	YDR122W, YLR096W	maker-LQMZ01000355.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMZ01000355.1-snap-gene-0.0&CDS=1-3960
232	OG0000232	YDR132C, YLR108C	augustus_masked-LQMZ01000973.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LQMZ01000973.1-processed-gene-0.8&CDS=1-1287
233	OG0000233	YDR134C, YLR110C	augustus_masked-LQMZ01002316.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LQMZ01002316.1-processed-gene-0.9&CDS=1-492
234	OG0000234	YDR141C	augustus_masked-LQMZ01000287.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMZ01000287.1-processed-gene-0.4&CDS=1-2250, augustus_masked-LQMZ01000353.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMZ01000353.1-processed-gene-0.1&CDS=1-270
235	OG0000235	YDR143C	augustus_masked-LQMZ01001287.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMZ01001287.1-processed-gene-0.4&CDS=1-1557, snap_masked-LQMZ01002238.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-LQMZ01002238.1-processed-gene-0.10&CDS=1-2172
236	OG0000236	YDR146C, YLR131C	genemark-LQMZ01002045.1-processed-gene-0.18-mRNA-1_1&gene=genemark-LQMZ01002045.1-processed-gene-0.18&CDS=1-2148
237	OG0000237	YDR147W, YLR133W	augustus_masked-LQMZ01000992.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQMZ01000992.1-processed-gene-0.5&CDS=1-819
238	OG0000238	YDR178W, YLR164W	augustus_masked-LQMZ01002414.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LQMZ01002414.1-processed-gene-0.12&CDS=1-462
239	OG0000239	YDR180W	augustus_masked-LQMZ01002023.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LQMZ01002023.1-processed-gene-0.14&CDS=1-2208, snap_masked-LQMZ01001568.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMZ01001568.1-processed-gene-0.1&CDS=1-1320
240	OG0000240	YDR200C, YLR238W	genemark-LQMZ01002414.1-processed-gene-0.39-mRNA-1_1&gene=genemark-LQMZ01002414.1-processed-gene-0.39&CDS=1-2010
241	OG0000241	YDR206W, YLR233C	augustus_masked-LQMZ01002473.1-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-LQMZ01002473.1-processed-gene-0.98&CDS=1-2808
242	OG0000242	YDR207C	augustus_masked-LQMZ01000007.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LQMZ01000007.1-processed-gene-0.10&CDS=1-1296, genemark-LQMZ01001430.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQMZ01001430.1-processed-gene-0.0&CDS=1-1365
243	OG0000243	YDR213W, YLR228C	genemark-LQMZ01000989.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQMZ01000989.1-processed-gene-0.0&CDS=1-2274
244	OG0000244	YDR216W	augustus_masked-LQMZ01002116.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01002116.1-processed-gene-0.2&CDS=1-2604, augustus_masked-LQMZ01002164.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01002164.1-processed-gene-0.0&CDS=1-3957
245	OG0000245	YDR247W, YPL026C	augustus_masked-LQMZ01001873.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01001873.1-processed-gene-0.2&CDS=1-1563
246	OG0000246	YDR251W, YPL032C	augustus_masked-LQMZ01000513.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LQMZ01000513.1-processed-gene-0.9&CDS=1-2517
247	OG0000247	YDR252W, YPL037C	augustus_masked-LQMZ01001001.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LQMZ01001001.1-processed-gene-0.9&CDS=1-468
248	OG0000248	YDR263C, YOR033C	genemark-LQMZ01001027.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQMZ01001027.1-processed-gene-0.21&CDS=1-2007
249	OG0000249	YDR264C, YOR034C	maker-LQMZ01001962.1-augustus-gene-0.0-mRNA-1_1&gene=maker-LQMZ01001962.1-augustus-gene-0.0&CDS=1-2871
250	OG0000250	YDR272W, YOR040W	augustus_masked-LQMZ01002449.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-LQMZ01002449.1-processed-gene-0.32&CDS=1-810
251	OG0000251	YDR277C, YOR047C	augustus_masked-LQMZ01000993.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LQMZ01000993.1-processed-gene-0.6&CDS=1-1044
252	OG0000252	YDR286C	augustus_masked-LQMZ01001091.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQMZ01001091.1-processed-gene-0.3&CDS=1-339, augustus_masked-LQMZ01002223.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-LQMZ01002223.1-processed-gene-0.19&CDS=1-339
253	OG0000253	YDR288W	augustus_masked-LQMZ01001898.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LQMZ01001898.1-processed-gene-0.8&CDS=1-255, augustus_masked-LQMZ01001898.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LQMZ01001898.1-processed-gene-0.9&CDS=1-1056
254	OG0000254	YDR300C, YHR033W	maker-LQMZ01000750.1-augustus-gene-0.46-mRNA-1_1&gene=maker-LQMZ01000750.1-augustus-gene-0.46&CDS=1-3825
255	OG0000255	YDR312W, YHR066W	augustus_masked-LQMZ01002261.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-LQMZ01002261.1-processed-gene-0.59&CDS=1-1257
256	OG0000256	YDR326C, YHR080C	augustus_masked-LQMZ01002318.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LQMZ01002318.1-processed-gene-0.13&CDS=1-3015
257	OG0000257	YDR348C, YHR097C	maker-LQMZ01000012.1-augustus-gene-0.13-mRNA-1_1&gene=maker-LQMZ01000012.1-augustus-gene-0.13&CDS=1-1515
258	OG0000258	YDR358W, YHR108W	maker-LQMZ01002414.1-augustus-gene-0.52-mRNA-1_1&gene=maker-LQMZ01002414.1-augustus-gene-0.52&CDS=1-2466
259	OG0000259	YDR368W, YOR120W	augustus_masked-LQMZ01002197.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LQMZ01002197.1-processed-gene-0.13&CDS=1-903
260	OG0000260	YDR379W, YOR127W	genemark-LQMZ01002195.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQMZ01002195.1-processed-gene-0.3&CDS=1-3174
261	OG0000261	YDR385W, YOR133W	augustus_masked-LQMZ01002158.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQMZ01002158.1-processed-gene-0.3&CDS=1-2526
262	OG0000262	YDR386W	augustus_masked-LQMZ01001907.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQMZ01001907.1-processed-gene-0.5&CDS=1-1629, snap_masked-LQMZ01001930.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LQMZ01001930.1-processed-gene-0.7&CDS=1-3471
263	OG0000263	YDR389W, YOR134W	augustus_masked-LQMZ01002500.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQMZ01002500.1-processed-gene-0.5&CDS=1-1926
264	OG0000264	YDR409W, YOR156C	snap_masked-LQMZ01001415.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-LQMZ01001415.1-processed-gene-0.40&CDS=1-2652
265	OG0000265	YDR418W, YEL054C	genemark-LQMZ01002220.1-processed-gene-0.34-mRNA-1_1&gene=genemark-LQMZ01002220.1-processed-gene-0.34&CDS=1-495
266	OG0000266	YDR435C	augustus_masked-LQMZ01002229.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMZ01002229.1-processed-gene-0.1&CDS=1-771, snap_masked-LQMZ01000888.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQMZ01000888.1-processed-gene-0.0&CDS=1-216
267	OG0000267	YDR447C, YML024W	augustus_masked-LQMZ01002339.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LQMZ01002339.1-processed-gene-0.23&CDS=1-1314
268	OG0000268	YDR450W, YML026C	augustus_masked-LQMZ01000969.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LQMZ01000969.1-processed-gene-0.16&CDS=1-438
269	OG0000269	YDR451C, YML027W	augustus_masked-LQMZ01000949.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01000949.1-processed-gene-0.0&CDS=1-1272
270	OG0000270	YDR453C, YML028W	augustus_masked-LQMZ01001009.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LQMZ01001009.1-processed-gene-0.13&CDS=1-585
271	OG0000271	YDR454C	augustus_masked-LQMZ01000889.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQMZ01000889.1-processed-gene-0.3&CDS=1-555, augustus_masked-LQMZ01001346.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01001346.1-processed-gene-0.0&CDS=1-555
272	OG0000272	YDR458C, YML034W	maker-LQMZ01001394.1-augustus-gene-0.9-mRNA-1_1&gene=maker-LQMZ01001394.1-augustus-gene-0.9&CDS=1-2727
273	OG0000273	YDR463W, YHR006W	augustus_masked-LQMZ01000839.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LQMZ01000839.1-processed-gene-0.14&CDS=1-1689
274	OG0000274	YDR471W, YHR010W	augustus_masked-LQMZ01000652.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01000652.1-processed-gene-0.0&CDS=1-4428
275	OG0000275	YDR473C	genemark-LQMZ01000918.1-processed-gene-0.16-mRNA-1_1&gene=genemark-LQMZ01000918.1-processed-gene-0.16&CDS=1-1380, snap_masked-LQMZ01000438.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQMZ01000438.1-processed-gene-0.0&CDS=1-213
276	OG0000276	YDR475C, YOR019W	augustus_masked-LQMZ01001233.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01001233.1-processed-gene-0.2&CDS=1-2157
277	OG0000277	YDR497C, YOL103W	maker-LQMZ01002299.1-augustus-gene-0.37-mRNA-1_1&gene=maker-LQMZ01002299.1-augustus-gene-0.37&CDS=1-3615
278	OG0000278	YDR500C, YLR185W	genemark-LQMZ01001545.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQMZ01001545.1-processed-gene-0.0&CDS=1-255
279	OG0000279	YDR501W, YLR183C	augustus_masked-LQMZ01002188.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LQMZ01002188.1-processed-gene-0.12&CDS=1-1518
280	OG0000280	YDR505C, YLR177W	augustus_masked-LQMZ01001868.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01001868.1-processed-gene-0.0&CDS=1-2025
281	OG0000281	YEL006W, YIL006W	augustus_masked-LQMZ01001031.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LQMZ01001031.1-processed-gene-0.8&CDS=1-1134
282	OG0000282	YEL022W, YJR031C	augustus_masked-LQMZ01002238.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-LQMZ01002238.1-processed-gene-0.31&CDS=1-5025
283	OG0000283	YEL039C, YJR048W	maker-LQMZ01002381.1-snap-gene-0.11-mRNA-1_1&gene=maker-LQMZ01002381.1-snap-gene-0.11&CDS=1-1560
284	OG0000284	YEL041W, YJR049C	augustus_masked-LQMZ01001934.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LQMZ01001934.1-processed-gene-0.7&CDS=1-2037
285	OG0000285	YEL047C, YJR051W	genemark-LQMZ01002211.1-processed-gene-0.35-mRNA-1_1&gene=genemark-LQMZ01002211.1-processed-gene-0.35&CDS=1-1455
286	OG0000286	YER004W	augustus_masked-LQMZ01002083.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01002083.1-processed-gene-0.0&CDS=1-510, augustus_masked-LQMZ01002084.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01002084.1-processed-gene-0.2&CDS=1-354
287	OG0000287	YER031C, YGL210W	augustus_masked-LQMZ01001537.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LQMZ01001537.1-processed-gene-0.8&CDS=1-660
288	OG0000288	YER037W, YGL224C	snap_masked-LQMZ01002406.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-LQMZ01002406.1-processed-gene-0.25&CDS=1-1581
289	OG0000289	YER042W	maker-LQMZ01001426.1-snap-gene-0.25-mRNA-1_1&gene=maker-LQMZ01001426.1-snap-gene-0.25&CDS=1-2625, maker-LQMZ01002456.1-snap-gene-0.3-mRNA-1_1&gene=maker-LQMZ01002456.1-snap-gene-0.3&CDS=1-2700
290	OG0000290	YER048C	augustus_masked-LQMZ01001400.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMZ01001400.1-processed-gene-0.4&CDS=1-1407, genemark-LQMZ01001401.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQMZ01001401.1-processed-gene-0.0&CDS=1-519
291	OG0000291	YER056C-A, YIL052C	genemark-LQMZ01001924.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQMZ01001924.1-processed-gene-0.13&CDS=1-513
292	OG0000292	YER057C, YIL051C	augustus_masked-LQMZ01001924.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LQMZ01001924.1-processed-gene-0.21&CDS=1-4185
293	OG0000293	YER059W, YIL050W	genemark-LQMZ01001431.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQMZ01001431.1-processed-gene-0.0&CDS=1-1989
294	OG0000294	YER062C, YIL053W	augustus_masked-LQMZ01002361.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01002361.1-processed-gene-0.2&CDS=1-762
295	OG0000295	YER064C, YIL056W	augustus_masked-LQMZ01000746.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LQMZ01000746.1-processed-gene-0.18&CDS=1-2088
296	OG0000296	YER066W, YFL009W	augustus_masked-LQMZ01002234.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LQMZ01002234.1-processed-gene-0.17&CDS=1-2304
297	OG0000297	YER067W, YIL057C	augustus_masked-LQMZ01000683.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01000683.1-processed-gene-0.0&CDS=1-351
298	OG0000298	YER074W, YIL069C	snap_masked-LQMZ01002151.1-processed-gene-0.49-mRNA-1_1&gene=snap_masked-LQMZ01002151.1-processed-gene-0.49&CDS=1-561
299	OG0000299	YER129W, YGL179C	augustus_masked-LQMZ01002027.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMZ01002027.1-processed-gene-0.4&CDS=1-2454
300	OG0000300	YER131W, YGL189C	augustus_masked-LQMZ01002506.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-LQMZ01002506.1-processed-gene-0.51&CDS=1-357
301	OG0000301	YER132C, YGL197W	augustus_masked-LQMZ01002193.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LQMZ01002193.1-processed-gene-0.14&CDS=1-4626
302	OG0000302	YER145C	augustus_masked-LQMZ01000254.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01000254.1-processed-gene-0.0&CDS=1-1140, maker-LQMZ01000800.1-snap-gene-0.39-mRNA-1_1&gene=maker-LQMZ01000800.1-snap-gene-0.39&CDS=1-2226
303	OG0000303	YER151C	augustus_masked-LQMZ01000352.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01000352.1-processed-gene-0.2&CDS=1-771, genemark-LQMZ01001622.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQMZ01001622.1-processed-gene-0.1&CDS=1-2742
304	OG0000304	YER162C	augustus_masked-LQMZ01002155.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LQMZ01002155.1-processed-gene-0.22&CDS=1-1521, genemark-LQMZ01002176.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQMZ01002176.1-processed-gene-0.0&CDS=1-2328
305	OG0000305	YER175C	augustus_masked-LQMZ01002281.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LQMZ01002281.1-processed-gene-0.17&CDS=1-921, genemark-LQMZ01002187.1-processed-gene-0.7-mRNA-1_1&gene=genemark-LQMZ01002187.1-processed-gene-0.7&CDS=1-966
306	OG0000306	YER176W	maker-LQMZ01000585.1-snap-gene-0.1-mRNA-1_1&gene=maker-LQMZ01000585.1-snap-gene-0.1&CDS=1-1884, maker-LQMZ01002433.1-augustus-gene-0.0-mRNA-1_1&gene=maker-LQMZ01002433.1-augustus-gene-0.0&CDS=1-4833
307	OG0000307	YFL004W, YPL019C	augustus_masked-LQMZ01001792.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01001792.1-processed-gene-0.0&CDS=1-1077
308	OG0000308	YFL011W, YMR011W	augustus_masked-LQMZ01000217.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LQMZ01000217.1-processed-gene-0.16&CDS=1-1638
309	OG0000309	YFL034C-A, YLR061W	augustus_masked-LQMZ01001652.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01001652.1-processed-gene-0.0&CDS=1-348
310	OG0000310	YFL042C, YLR072W	maker-LQMZ01002451.1-snap-gene-0.3-mRNA-1_1&gene=maker-LQMZ01002451.1-snap-gene-0.3&CDS=1-3006
311	OG0000311	YFL048C, YLR080W	augustus_masked-LQMZ01001664.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LQMZ01001664.1-processed-gene-0.23&CDS=1-1461
312	OG0000312	YFL053W, YML070W	augustus_masked-LQMZ01002316.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LQMZ01002316.1-processed-gene-0.10&CDS=1-3597
313	OG0000313	YFL061W, YNL335W	maker-LQMZ01002149.1-augustus-gene-0.72-mRNA-1_1&gene=maker-LQMZ01002149.1-augustus-gene-0.72&CDS=1-933
314	OG0000314	YFR013W, YOL017W	maker-LQMZ01002334.1-snap-gene-0.113-mRNA-1_1&gene=maker-LQMZ01002334.1-snap-gene-0.113&CDS=1-2631
315	OG0000315	YFR016C	augustus_masked-LQMZ01000351.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01000351.1-processed-gene-0.0&CDS=1-387, augustus_masked-LQMZ01002451.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LQMZ01002451.1-processed-gene-0.9&CDS=1-2646
316	OG0000316	YFR031C-A, YIL018W	augustus_masked-LQMZ01002251.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LQMZ01002251.1-processed-gene-0.11&CDS=1-885
317	OG0000317	YFR040W, YGL229C	genemark-LQMZ01002008.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQMZ01002008.1-processed-gene-0.17&CDS=1-2658
318	OG0000318	YGL009C	augustus_masked-LQMZ01001630.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMZ01001630.1-processed-gene-0.4&CDS=1-2298, augustus_masked-LQMZ01002492.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LQMZ01002492.1-processed-gene-0.20&CDS=1-2298
319	OG0000319	YGL031C, YGR148C	augustus_masked-LQMZ01000078.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01000078.1-processed-gene-0.0&CDS=1-471
320	OG0000320	YGL049C, YGR162W	augustus_masked-LQMZ01002334.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-LQMZ01002334.1-processed-gene-0.30&CDS=1-3033
321	OG0000321	YGL071W, YPL202C	augustus_masked-LQMZ01001040.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LQMZ01001040.1-processed-gene-0.10&CDS=1-2106
322	OG0000322	YGL076C, YPL198W	augustus_masked-LQMZ01002281.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LQMZ01002281.1-processed-gene-0.21&CDS=1-723
323	OG0000323	YGL082W, YPL191C	augustus_masked-LQMZ01000731.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LQMZ01000731.1-processed-gene-0.27&CDS=1-1302
324	OG0000324	YGL096W, YPL177C	augustus_masked-LQMZ01000056.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQMZ01000056.1-processed-gene-0.5&CDS=1-897
325	OG0000325	YGL113W	snap_masked-LQMZ01000143.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMZ01000143.1-processed-gene-0.1&CDS=1-270, snap_masked-LQMZ01001106.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMZ01001106.1-processed-gene-0.1&CDS=1-2775
326	OG0000326	YGL133W, YPL216W	augustus_masked-LQMZ01000284.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LQMZ01000284.1-processed-gene-0.16&CDS=1-3993
327	OG0000327	YGL135W, YPL220W	augustus_masked-LQMZ01000908.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-LQMZ01000908.1-processed-gene-0.79&CDS=1-651
328	OG0000328	YGL139W, YPL221W	augustus_masked-LQMZ01002249.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LQMZ01002249.1-processed-gene-0.28&CDS=1-2178
329	OG0000329	YGL147C, YNL067W	augustus_masked-LQMZ01001659.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMZ01001659.1-processed-gene-0.1&CDS=1-573
330	OG0000330	YGL161C	augustus_masked-LQMZ01001732.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01001732.1-processed-gene-0.2&CDS=1-1626, genemark-LQMZ01001900.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQMZ01001900.1-processed-gene-0.4&CDS=1-2202
331	OG0000331	YGL162W, YPR009W	augustus_masked-LQMZ01002526.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMZ01002526.1-processed-gene-0.1&CDS=1-1089
332	OG0000332	YGL202W	augustus_masked-LQMZ01000838.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LQMZ01000838.1-processed-gene-0.13&CDS=1-1479, augustus_masked-LQMZ01002231.1-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-LQMZ01002231.1-processed-gene-0.121&CDS=1-4335
333	OG0000333	YGL205W	augustus_masked-LQMZ01001445.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQMZ01001445.1-processed-gene-0.3&CDS=1-2172, genemark-LQMZ01001445.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQMZ01001445.1-processed-gene-0.6&CDS=1-2127
334	OG0000334	YGL238W	augustus_masked-LQMZ01001690.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LQMZ01001690.1-processed-gene-0.8&CDS=1-1239, genemark-LQMZ01002441.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQMZ01002441.1-processed-gene-0.2&CDS=1-2007
335	OG0000335	YGR008C, YLR327C	augustus_masked-LQMZ01002231.1-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-LQMZ01002231.1-processed-gene-0.90&CDS=1-273
336	OG0000336	YGR027C, YLR333C	augustus_masked-LQMZ01001282.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LQMZ01001282.1-processed-gene-0.6&CDS=1-315
337	OG0000337	YGR034W, YLR344W	genemark-LQMZ01000977.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQMZ01000977.1-processed-gene-0.4&CDS=1-396
338	OG0000338	YGR038W, YLR350W	augustus_masked-LQMZ01002390.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LQMZ01002390.1-processed-gene-0.25&CDS=1-714
339	OG0000339	YGR042W	genemark-LQMZ01002461.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQMZ01002461.1-processed-gene-0.12&CDS=1-1101, snap_masked-LQMZ01000670.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMZ01000670.1-processed-gene-0.1&CDS=1-267
340	OG0000340	YGR056W, YLR357W	augustus_masked-LQMZ01002452.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LQMZ01002452.1-processed-gene-0.29&CDS=1-2403
341	OG0000341	YGR070W, YLR371W	augustus_masked-LQMZ01001574.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LQMZ01001574.1-processed-gene-0.7&CDS=1-3747
342	OG0000342	YGR085C, YPR102C	genemark-LQMZ01002305.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQMZ01002305.1-processed-gene-0.8&CDS=1-498
343	OG0000343	YGR092W, YPR111W	augustus_masked-LQMZ01001479.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LQMZ01001479.1-processed-gene-0.7&CDS=1-921
