	OrthologID	Dekkera_bruxellensis	Saccharomyces_cerevisiae
440	OG0000440	genemark-scaffold_7-processed-gene-1.20-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.20&CDS=1-1404	YGR108W, YPR119W
441	OG0000441	genemark-scaffold_7-processed-gene-1.35-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.35&CDS=1-927	YDL222C, YNL194C
442	OG0000442	genemark-scaffold_7-processed-gene-1.25-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.25&CDS=1-2754	YHR203C, YJR145C
443	OG0000443	genemark-scaffold_7-processed-gene-2.9-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.9&CDS=1-2871	YGR056W, YLR357W
444	OG0000444	genemark-scaffold_7-processed-gene-2.33-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.33&CDS=1-651	YGL135W, YPL220W
445	OG0000445	genemark-scaffold_7-processed-gene-2.42-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.42&CDS=1-1557	YGR121C, YPR138C
446	OG0000446	genemark-scaffold_7-processed-gene-3.35-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.35&CDS=1-855	YIL114C, YNL055C
447	OG0000447	snap_masked-scaffold_7-processed-gene-3.97-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.97&CDS=1-1359	YOR231W, YPL140C
448	OG0000448	genemark-scaffold_7-processed-gene-3.72-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.72&CDS=1-315	YGR209C, YLR043C
449	OG0000449	genemark-scaffold_7-processed-gene-4.111-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.111&CDS=1-585	YDR453C, YML028W
450	OG0000450	genemark-scaffold_8-processed-gene-0.72-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-0.72&CDS=1-1500	YDR125C, YLR099C
451	OG0000451	genemark-scaffold_8-processed-gene-1.44-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.44&CDS=1-2541	YDR351W, YHR103W
452	OG0000452	genemark-scaffold_8-processed-gene-2.91-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.91&CDS=1-2448	YKR072C, YOR054C
453	OG0000453	genemark-scaffold_8-processed-gene-2.93-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.93&CDS=1-819	YDR272W, YOR040W
454	OG0000454	genemark-scaffold_8-processed-gene-3.81-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.81&CDS=1-1380	YBR177C, YPL095C
455	OG0000455	genemark-scaffold_8-processed-gene-3.122-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.122&CDS=1-3042	YJL076W, YKR010C
456	OG0000456	genemark-scaffold_8-processed-gene-3.135-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.135&CDS=1-2712	YNL298W, YOL113W
457	OG0000457	snap_masked-scaffold_8-processed-gene-3.182-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.182&CDS=1-408	YDR471W, YHR010W
458	OG0000458	genemark-scaffold_9-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.16&CDS=1-1713	YER059W, YIL050W
459	OG0000459	maker-scaffold_9-snap-gene-0.87-mRNA-1_1&gene=maker-scaffold_9-snap-gene-0.87&CDS=1-1278	YPL159C, YPR151C
460	OG0000460	genemark-scaffold_9-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.18&CDS=1-378	YER056C-A, YIL052C
461	OG0000461	genemark-scaffold_9-processed-gene-0.19-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.19&CDS=1-477	YER057C, YIL051C
462	OG0000462	genemark-scaffold_9-processed-gene-1.52-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.52&CDS=1-588	YKL141W, YMR118C
463	OG0000463	genemark-scaffold_9-processed-gene-1.72-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.72&CDS=1-1770	YJR130C, YML082W
464	OG0000464	maker-scaffold_9-augustus-gene-3.0-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-3.0&CDS=1-5373	YCL068C, YCR038C
465	OG0000465	genemark-scaffold_9-processed-gene-3.52-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.52&CDS=1-2166	YER045C, YIL036W
466	OG0000466	augustus_masked-scaffold_9-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-3.84&CDS=1-5559	YMR237W, YOR299W
467	OG0000467	snap_masked-scaffold_9-processed-gene-3.150-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-3.150&CDS=1-1542, snap_masked-scaffold_9-processed-gene-3.152-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-3.152&CDS=1-1542	YOL119C
468	OG0000468	maker-scaffold_9-augustus-gene-3.3-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-3.3&CDS=1-444, maker-scaffold_9-augustus-gene-3.5-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-3.5&CDS=1-444	YBR173C
469	OG0000469	maker-scaffold_9-augustus-gene-3.6-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-3.6&CDS=1-2457	YBR172C, YPL105C
470	OG0000470		YHL009W-B, YJL113W, YPL060C-A
471	OG0000471	genemark-scaffold_1-processed-gene-0.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.44&CDS=1-594	YJR074W
472	OG0000472	genemark-scaffold_1-processed-gene-0.64-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.64&CDS=1-1011	YBR046C
473	OG0000473	genemark-scaffold_1-processed-gene-0.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.45&CDS=1-1341	YDR057W
474	OG0000474	maker-scaffold_1-augustus-gene-0.119-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.119&CDS=1-5496	YMR128W
475	OG0000475	genemark-scaffold_1-processed-gene-0.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.46&CDS=1-1080	YMR127C
476	OG0000476	genemark-scaffold_1-processed-gene-0.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.67&CDS=1-3405	YLR032W
477	OG0000477	genemark-scaffold_1-processed-gene-0.68-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.68&CDS=1-1557	YOR355W
478	OG0000478	genemark-scaffold_1-processed-gene-0.69-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.69&CDS=1-1422	YOR274W
479	OG0000479	genemark-scaffold_1-processed-gene-0.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.48&CDS=1-1884	YPL030W
480	OG0000480	genemark-scaffold_1-processed-gene-0.70-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.70&CDS=1-2328	YPL043W
481	OG0000481	genemark-scaffold_1-processed-gene-0.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.49&CDS=1-1395	YDR254W
482	OG0000482	genemark-scaffold_1-processed-gene-0.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.71&CDS=1-2532	YPL045W
483	OG0000483	genemark-scaffold_1-processed-gene-0.50-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.50&CDS=1-309	YPL046C
484	OG0000484	genemark-scaffold_1-processed-gene-0.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.72&CDS=1-2652	YPL084W
485	OG0000485	genemark-scaffold_1-processed-gene-0.54-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.54&CDS=1-1140	YML008C
486	OG0000486	genemark-scaffold_1-processed-gene-0.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.73&CDS=1-993	YLR220W
487	OG0000487	genemark-scaffold_1-processed-gene-0.55-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.55&CDS=1-591	YOR052C
488	OG0000488	genemark-scaffold_1-processed-gene-0.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.74&CDS=1-1218	YKR070W
489	OG0000489	genemark-scaffold_1-processed-gene-0.56-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.56&CDS=1-2469	YDR258C
490	OG0000490	augustus_masked-scaffold_1-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.112&CDS=1-2250	YJL091C
491	OG0000491	genemark-scaffold_1-processed-gene-0.58-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.58&CDS=1-5340	YDR283C
492	OG0000492	genemark-scaffold_1-processed-gene-0.59-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.59&CDS=1-738	YJR099W
493	OG0000493	maker-scaffold_1-augustus-gene-0.121-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.121&CDS=1-1917	YPR045C
494	OG0000494	genemark-scaffold_1-processed-gene-0.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.78&CDS=1-1968	YHL010C
495	OG0000495	genemark-scaffold_1-processed-gene-1.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.91&CDS=1-5211	YMR229C
496	OG0000496	genemark-scaffold_1-processed-gene-1.89-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.89&CDS=1-2706	YKR079C
497	OG0000497	genemark-scaffold_1-processed-gene-1.107-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.107&CDS=1-1200	YDR124W
498	OG0000498	genemark-scaffold_1-processed-gene-1.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.92&CDS=1-1191	YLR097C
499	OG0000499	genemark-scaffold_1-processed-gene-1.111-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.111&CDS=1-1206	YDR083W
500	OG0000500	genemark-scaffold_1-processed-gene-1.112-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.112&CDS=1-1506	YKL043W
501	OG0000501	augustus_masked-scaffold_1-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.61&CDS=1-2847	YDL167C
502	OG0000502	genemark-scaffold_1-processed-gene-1.113-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.113&CDS=1-1479	YLR195C
503	OG0000503	genemark-scaffold_1-processed-gene-1.96-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.96&CDS=1-1746	YLR196W
504	OG0000504	genemark-scaffold_1-processed-gene-1.97-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.97&CDS=1-6867	YDL171C
505	OG0000505	maker-scaffold_1-snap-gene-1.6-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.6&CDS=1-1263	YHR004C
506	OG0000506	genemark-scaffold_1-processed-gene-1.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.100&CDS=1-1647	YMR067C
507	OG0000507	snap_masked-scaffold_1-processed-gene-1.48-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.48&CDS=1-1338	YDR153C
508	OG0000508	maker-scaffold_1-augustus-gene-1.3-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-1.3&CDS=1-483	YDR155C
509	OG0000509	snap_masked-scaffold_1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.25&CDS=1-2487	YLR141W
510	OG0000510	genemark-scaffold_1-processed-gene-1.118-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.118&CDS=1-759	YDR152W
511	OG0000511	genemark-scaffold_1-processed-gene-1.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.103&CDS=1-1209	YDR161W
512	OG0000512	genemark-scaffold_1-processed-gene-1.120-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.120&CDS=1-1407	YLR142W
513	OG0000513	genemark-scaffold_1-processed-gene-1.105-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.105&CDS=1-1839	YLR143W
514	OG0000514	genemark-scaffold_1-processed-gene-1.106-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.106&CDS=1-528	YML073C
515	OG0000515	genemark-scaffold_1-processed-gene-2.68-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.68&CDS=1-1305	YDR165W
516	OG0000516	genemark-scaffold_1-processed-gene-2.69-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.69&CDS=1-795	YLR145W
517	OG0000517	genemark-scaffold_1-processed-gene-2.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.84&CDS=1-510	YER134C
518	OG0000518	genemark-scaffold_1-processed-gene-2.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.71&CDS=1-975	YKL080W
519	OG0000519	maker-scaffold_1-augustus-gene-2.30-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.30&CDS=1-1332	YGL171W
520	OG0000520	maker-scaffold_1-augustus-gene-2.33-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.33&CDS=1-324	YPR020W
521	OG0000521	genemark-scaffold_1-processed-gene-2.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.86&CDS=1-2847	YPR019W
522	OG0000522	augustus_masked-scaffold_1-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.59&CDS=1-1986	YPR018W
523	OG0000523	genemark-scaffold_1-processed-gene-2.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.76&CDS=1-648	YGR147C
524	OG0000524	genemark-scaffold_1-processed-gene-2.89-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.89&CDS=1-1332	YKL027W
525	OG0000525	snap_masked-scaffold_1-processed-gene-2.11-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.11&CDS=1-3744	YDR407C
526	OG0000526	maker-scaffold_1-snap-gene-2.36-mRNA-1_1&gene=maker-scaffold_1-snap-gene-2.36&CDS=1-5055	YBL104C
527	OG0000527	snap_masked-scaffold_1-processed-gene-2.26-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.26&CDS=1-294	YDR529C
528	OG0000528	augustus_masked-scaffold_1-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.52&CDS=1-3963	YBR121C
529	OG0000529	augustus_masked-scaffold_1-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.62&CDS=1-516	YKL089W
530	OG0000530	genemark-scaffold_1-processed-gene-2.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.91&CDS=1-750	YKL009W
531	OG0000531	genemark-scaffold_1-processed-gene-2.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.83&CDS=1-5028	YKL010C
532	OG0000532	genemark-scaffold_1-processed-gene-3.32-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.32&CDS=1-4410	YNL088W
533	OG0000533	genemark-scaffold_1-processed-gene-3.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.35&CDS=1-1008	YIL134W
534	OG0000534	genemark-scaffold_1-processed-gene-3.40-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.40&CDS=1-720	YOR095C
535	OG0000535	genemark-scaffold_1-processed-gene-3.56-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.56&CDS=1-1707	YDL020C
536	OG0000536	genemark-scaffold_1-processed-gene-3.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.42&CDS=1-2106	YDR172W
537	OG0000537	genemark-scaffold_1-processed-gene-3.58-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.58&CDS=1-1065	YOR042W
538	OG0000538	genemark-scaffold_1-processed-gene-3.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.46&CDS=1-738	YGR195W
539	OG0000539	genemark-scaffold_1-processed-gene-3.65-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.65&CDS=1-1158	YBR236C
540	OG0000540	genemark-scaffold_1-processed-gene-3.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.47&CDS=1-1281	YPL181W
541	OG0000541	genemark-scaffold_1-processed-gene-3.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.66&CDS=1-1836	YGL095C
542	OG0000542	maker-scaffold_1-snap-gene-4.44-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.44&CDS=1-5403	YGL094C
543	OG0000543	genemark-scaffold_1-processed-gene-4.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.49&CDS=1-1077	YNL317W
544	OG0000544	maker-scaffold_1-snap-gene-4.45-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.45&CDS=1-2679	YOL136C
545	OG0000545	genemark-scaffold_1-processed-gene-4.53-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.53&CDS=1-783	YNL282W
546	OG0000546	genemark-scaffold_1-processed-gene-4.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.67&CDS=1-2229	YOL095C
547	OG0000547	genemark-scaffold_1-processed-gene-4.54-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.54&CDS=1-1044	YPL031C
548	OG0000548	genemark-scaffold_1-processed-gene-4.69-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.69&CDS=1-621	YPL067C
549	OG0000549	snap_masked-scaffold_1-processed-gene-4.6-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.6&CDS=1-4371	YBR235W
550	OG0000550	genemark-scaffold_1-processed-gene-4.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.71&CDS=1-921	YDL230W
551	OG0000551	snap_masked-scaffold_1-processed-gene-4.10-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.10&CDS=1-522	YKL117W
552	OG0000552	genemark-scaffold_1-processed-gene-4.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.76&CDS=1-1284	YNL207W
553	OG0000553	genemark-scaffold_1-processed-gene-4.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.77&CDS=1-1845	YNL209W
554	OG0000554	genemark-scaffold_1-processed-gene-4.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.60&CDS=1-2067	YNL094W
555	OG0000555	genemark-scaffold_1-processed-gene-4.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.78&CDS=1-1068	YOR091W
556	OG0000556	genemark-scaffold_1-processed-gene-4.61-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.61&CDS=1-981	YOR090C
557	OG0000557	genemark-scaffold_1-processed-gene-4.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.79&CDS=1-648	YOR089C
558	OG0000558	maker-scaffold_1-snap-gene-4.43-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.43&CDS=1-4854	YPR122W
559	OG0000559	genemark-scaffold_1-processed-gene-4.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.80&CDS=1-1230	YNL092W
560	OG0000560	genemark-scaffold_1-processed-gene-4.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.81&CDS=1-1953	YOR087W
561	OG0000561	genemark-scaffold_1-processed-gene-4.64-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.64&CDS=1-1473	YNL206C
562	OG0000562	augustus_masked-scaffold_1-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.115&CDS=1-1908	YMR023C
563	OG0000563	genemark-scaffold_1-processed-gene-5.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.8&CDS=1-657	YEL024W
564	OG0000564	maker-scaffold_1-snap-gene-5.120-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.120&CDS=1-2823	YJR040W
565	OG0000565	genemark-scaffold_1-processed-gene-5.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.10&CDS=1-2796	YDR256C
566	OG0000566	genemark-scaffold_1-processed-gene-5.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.11&CDS=1-1038	YBR187W
567	OG0000567	genemark-scaffold_1-processed-gene-5.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.35&CDS=1-660	YFL045C
568	OG0000568	augustus_masked-scaffold_1-processed-gene-5.51-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.51&CDS=1-5142	YJL145W
569	OG0000569	genemark-scaffold_1-processed-gene-5.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.36&CDS=1-1410	YGL065C
570	OG0000570	augustus_masked-scaffold_1-processed-gene-5.52-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.52&CDS=1-1512	YCR095C
571	OG0000571	maker-scaffold_1-augustus-gene-5.2-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.2&CDS=1-2262	YNR050C
572	OG0000572	genemark-scaffold_1-processed-gene-5.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.19&CDS=1-1095	YDR158W
573	OG0000573	maker-scaffold_1-augustus-gene-5.7-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.7&CDS=1-1746	YBR102C
574	OG0000574	maker-scaffold_1-snap-gene-5.127-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.127&CDS=1-1041	YOR250C
575	OG0000575	genemark-scaffold_1-processed-gene-5.40-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.40&CDS=1-987	YMR075W
576	OG0000576	genemark-scaffold_1-processed-gene-5.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.41&CDS=1-885	YBR291C
577	OG0000577	genemark-scaffold_1-processed-gene-5.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.42&CDS=1-2025	YLR214W
578	OG0000578	genemark-scaffold_1-processed-gene-5.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.43&CDS=1-1704	YKL028W
579	OG0000579	genemark-scaffold_1-processed-gene-5.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.27&CDS=1-1494	YHR009C
580	OG0000580	genemark-scaffold_1-processed-gene-5.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.28&CDS=1-1062	YDR346C
581	OG0000581	genemark-scaffold_1-processed-gene-5.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.44&CDS=1-1569	YLR212C
582	OG0000582	genemark-scaffold_1-processed-gene-5.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.30&CDS=1-2847	YBR229C
583	OG0000583	augustus_masked-scaffold_1-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.78&CDS=1-2235	YHR175W
584	OG0000584	genemark-scaffold_1-processed-gene-5.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.47&CDS=1-1602	YDR470C
585	OG0000585	genemark-scaffold_1-processed-gene-5.33-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.33&CDS=1-837	YHR192W
586	OG0000586	genemark-scaffold_1-processed-gene-5.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.48&CDS=1-594	YHR193C
587	OG0000587	maker-scaffold_1-augustus-gene-6.116-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.116&CDS=1-1245	YER109C
588	OG0000588	genemark-scaffold_1-processed-gene-6.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.42&CDS=1-1413	YER107C
589	OG0000589	maker-scaffold_1-augustus-gene-6.119-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.119&CDS=1-3876	YBL076C
590	OG0000590	genemark-scaffold_1-processed-gene-6.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.44&CDS=1-1146	YPL138C
591	OG0000591	genemark-scaffold_1-processed-gene-6.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.45&CDS=1-1227	YJL026W
592	OG0000592	genemark-scaffold_1-processed-gene-6.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.46&CDS=1-3324	YER110C
593	OG0000593	genemark-scaffold_1-processed-gene-6.58-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.58&CDS=1-918	YGR231C
594	OG0000594	genemark-scaffold_1-processed-gene-6.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.47&CDS=1-786	YGR232W
595	OG0000595	genemark-scaffold_1-processed-gene-6.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.48&CDS=1-1512	YGR211W
596	OG0000596	genemark-scaffold_1-processed-gene-6.59-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.59&CDS=1-7482	YGR217W
597	OG0000597	genemark-scaffold_1-processed-gene-6.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.60&CDS=1-369	YKL137W
598	OG0000598	genemark-scaffold_1-processed-gene-6.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.49&CDS=1-600	YMR117C
599	OG0000599	genemark-scaffold_1-processed-gene-6.61-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.61&CDS=1-330	YKL138C
600	OG0000600	snap_masked-scaffold_1-processed-gene-6.12-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.12&CDS=1-3990	YDR293C
601	OG0000601	genemark-scaffold_1-processed-gene-6.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.62&CDS=1-7176	YDR150W
602	OG0000602	genemark-scaffold_1-processed-gene-6.51-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.51&CDS=1-534	YLR306W
603	OG0000603	genemark-scaffold_1-processed-gene-6.52-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.52&CDS=1-543	YNL260C
604	OG0000604	genemark-scaffold_1-processed-gene-6.65-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.65&CDS=1-1488	YNL261W
605	OG0000605	genemark-scaffold_1-processed-gene-6.68-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.68&CDS=1-2424	YLR222C
606	OG0000606	maker-scaffold_1-augustus-gene-6.122-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.122&CDS=1-2640	YDR223W
607	OG0000607	maker-scaffold_1-snap-gene-6.114-mRNA-1_1&gene=maker-scaffold_1-snap-gene-6.114&CDS=1-4686	YOR356W
608	OG0000608	genemark-scaffold_1-processed-gene-6.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.72&CDS=1-1236	YAL042W
609	OG0000609	genemark-scaffold_1-processed-gene-6.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.73&CDS=1-2085	YNL251C
610	OG0000610	genemark-scaffold_1-processed-gene-7.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.31&CDS=1-1035	YLR377C
611	OG0000611	genemark-scaffold_1-processed-gene-7.32-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.32&CDS=1-1440	YLR378C
612	OG0000612	genemark-scaffold_1-processed-gene-7.34-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.34&CDS=1-669	YNL107W
613	OG0000613	genemark-scaffold_1-processed-gene-7.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.36&CDS=1-1827	YKL047W
614	OG0000614	maker-scaffold_1-snap-gene-7.60-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.60&CDS=1-828	YAL039C
615	OG0000615	genemark-scaffold_1-processed-gene-7.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.37&CDS=1-963	YHL013C
616	OG0000616	genemark-scaffold_1-processed-gene-7.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.49&CDS=1-1206	YHL014C
