	OrthologID	Candida_albicans	Saccharomyces_cerevisiae
403	OG0000403	C7_00710W_A	YLR264W, YOR167C
404	OG0000404	C4_04390W_A	YFL034C-A, YLR061W
405	OG0000405	C5_04260W_A, C5_04400W_A	YPL123C
406	OG0000406	CR_02130W_A	YKR076W, YMR251W
407	OG0000407	C7_00670C_A	YNL106C, YOR109W
408	OG0000408	C1_07440W_A	YDR326C, YHR080C
409	OG0000409	C1_14250C_A	YKL121W, YMR102C
410	OG0000410	C1_11310C_A	YDR505C, YLR177W
411	OG0000411	C7_00960W_A	YDR450W, YML026C
412	OG0000412	C2_06670C_A	YGR092W, YPR111W
413	OG0000413	C2_05580W_A	YLR031W, YMR124W
414	OG0000414	C2_08890W_A	YPR013C, YPR015C
415	OG0000415	C2_05700W_A	YEL047C, YJR051W
416	OG0000416	C1_06580W_A	YGR118W, YPR132W
417	OG0000417	CR_01240C_A	YBL085W, YER114C
418	OG0000418	C6_03660C_A	YCR094W, YNR048W
419	OG0000419	CR_03860C_A	YKL133C, YMR115W
420	OG0000420	C1_03220C_A	YDR099W, YER177W
421	OG0000421	CR_05120W_A	YFR040W, YGL229C
422	OG0000422	C4_05980C_A	YCR026C, YEL016C
423	OG0000423	C4_04460C_A	YER129W, YGL179C
424	OG0000424	C1_11360W_A	YDR500C, YLR185W
425	OG0000425	C2_01450C_A	YFL061W, YNL335W
426	OG0000426	C2_02530W_A	YIR013C, YLR013W
427	OG0000427	C3_02310W_A	YGR121C, YPR138C
428	OG0000428	C7_01520W_A, C7_04250W_A	YLL028W
429	OG0000429	C2_10280C_A	YIR033W, YKL020C
430	OG0000430	C4_05100C_A	YKL129C, YMR109W
431	OG0000431	C5_02500C_A	YJR091C, YPR042C
432	OG0000432	CR_03610C_A	YFL004W, YPL019C
433	OG0000433	CR_00650W_A, CR_00660W_A	YCR045C
434	OG0000434	C1_09790C_A	YDL175C, YIL079C
435	OG0000435	CR_00350W_A	YGR010W, YLR328W
436	OG0000436	C1_10180C_B&Allele&of&C1_10180C_A	YBL101C, YPR030W
437	OG0000437	C7_01620C_A	YJR054W, YML047C
438	OG0000438	C2_07160W_A, C4_00990W_A	YOL122C
439	OG0000439	C4_01520C_A	YMR242C, YOR312C
440	OG0000440	C4_00590C_B&Allele&of&C4_00590C_A	YGR241C, YHR161C
441	OG0000441	CR_00560W_A	YBR001C, YDR001C
442	OG0000442	CR_07630C_A	YHR021C, YKL156W
443	OG0000443	C1_13880C_A	YJR127C, YML081W
444	OG0000444	CR_01680C_A	YER066W, YFL009W
445	OG0000445	C3_06620W_A	YAL017W, YOL045W
446	OG0000446	C4_06570C_A	YLR044C, YLR134W
447	OG0000447	C1_02330C_A	YGR034W, YLR344W
448	OG0000448	C3_02760C_A	YJL076W, YKR010C
449	OG0000449	C7_00080C_A	YDR389W, YOR134W
450	OG0000450	C7_03060C_A	YJL099W, YKR027W
451	OG0000451	C2_04940C_A	YDR497C, YOL103W
452	OG0000452	C1_04980C_B&Allele&of&C1_04980C_A	YMR177W, YPL224C
453	OG0000453	C5_03510C_A	YHR131C, YNL144C
454	OG0000454	C1_03020C_A	YDL082W, YMR142C
455	OG0000455	C6_03770C_A	YGR038W, YLR350W
456	OG0000456	C4_01700C_A	YBR089C-A, YPR052C
457	OG0000457	C3_01890C_A	YDR348C, YHR097C
458	OG0000458		YBL005W, YER184C, YGL013C
459	OG0000459		YBL068W-A, YBL069W, YER101C
460	OG0000460		YHL009W-B, YJL113W, YPL060C-A
461	OG0000461	C7_02860C_A	YIL030C
462	OG0000462	C3_05180W_A	YCR027C
463	OG0000463	C3_07440W_A	YDR050C
464	OG0000464	CR_04450C_A	YBR198C
465	OG0000465	C4_01370W_B&Allele&of&C4_01370W_A	YCL009C
466	OG0000466	C7_03770C_A	YNL107W
467	OG0000467	CR_10410C_A	YOR145C
468	OG0000468	C6_03170C_A	YBR008C
469	OG0000469	C6_03630W_A	YDR538W
470	OG0000470	C4_00810C_A	YDL104C
471	OG0000471	C5_00750C_A	YDL057W
472	OG0000472	C1_09850C_A	YPL260W
473	OG0000473	C1_02200C_A	YPL149W
474	OG0000474	C2_08600W_A	YML121W
475	OG0000475	C1_07240W_A	YDL235C
476	OG0000476	C6_00540W_A	YDR386W
477	OG0000477	C3_01400W_A	YNL084C
478	OG0000478	C5_01490C_A	YLR253W
479	OG0000479	C4_03410W_A	YNL177C
480	OG0000480	C1_02150W_A	YBR019C
481	OG0000481	CR_01960C_A	YOR334W
482	OG0000482	CR_10470C_A	YDR299W
483	OG0000483	C1_10330C_A	YLR085C
484	OG0000484	C1_08320W_A	YPR074C
485	OG0000485	C6_01290C_A	YBR043C
486	OG0000486	C1_10880W_A	YDR449C
487	OG0000487	C7_03120W_A	YJL054W
488	OG0000488	C7_02320W_A	YDR164C
489	OG0000489	C7_03780C_A	YJR149W
490	OG0000490	C1_14340C_A	YHL027W
491	OG0000491	C6_02090C_B&Allele&of&C6_02090C_A	YKR090W
492	OG0000492	C1_08870C_A	YPR169W
493	OG0000493	C2_00260C_A	YGR007W
494	OG0000494	C4_04120C_A	YDR311W
495	OG0000495	C6_01280W_A	YBR102C
496	OG0000496	C2_10250C_A	YJL168C
497	OG0000497	C2_02860W_A	YDR297W
498	OG0000498	C7_03330C_A	YBR263W
499	OG0000499	C6_02780C_A	YKL089W
500	OG0000500	CR_04750W_A	YLR363W-A
501	OG0000501	C2_02590W_A	YLR130C
502	OG0000502	C1_01600W_A	YDR405W
503	OG0000503	C1_09870W_A	YCR065W
504	OG0000504	C2_03310C_A	YMR077C
505	OG0000505	C4_06000W_A	YBR110W
506	OG0000506	C5_00240W_A	YHR206W
507	OG0000507	C3_04300C_A	YNL102W
508	OG0000508	CR_06690C_A	YGR247W
509	OG0000509	C2_01740C_A	YKL138C
510	OG0000510	C5_00280C_A	YJL208C
511	OG0000511	C4_02140C_A	YHR005C-A
512	OG0000512	CR_06950C_A	YNL259C
513	OG0000513	C1_12750C_A	YDR364C
514	OG0000514	CR_05980W_A	YOR124C
515	OG0000515	C1_01860W_A	YGL043W
516	OG0000516	C2_10590W_A	YPL248C
517	OG0000517	C7_04020C_A	YMR314W
518	OG0000518	C1_05500W_A	YKL155C
519	OG0000519	C6_01950C_A	YNL193W
520	OG0000520	C4_00970C_A	YLR106C
521	OG0000521	CR_02580W_A	YIL145C
522	OG0000522	C4_04170C_A	YIL140W
523	OG0000523	CR_00800C_A	YCR057C
524	OG0000524	CR_03220C_A	YNL223W
525	OG0000525	C2_08780W_A	YGL048C
526	OG0000526	C5_05140W_A	YHR063C
527	OG0000527	C2_05210W_A	YKR083C
528	OG0000528	CR_06490C_A	YLR259C
529	OG0000529	C4_03920W_A	YDL091C
530	OG0000530	C2_03150C_A	YIL067C
531	OG0000531	C1_08020W_A	YDR390C
532	OG0000532	C3_01680C_B&Allele&of&C3_01680C_A	YDL183C
533	OG0000533	C4_00420C_A	YCR030C
534	OG0000534	CR_09790W_A	YML086C
535	OG0000535	C7_03320C_A	YNL236W
536	OG0000536	C6_04280W_A	YDR177W
537	OG0000537	C1_07710C_A	YMR300C
538	OG0000538	C5_04490C_A	YPL111W
539	OG0000539	C1_12760W_A	YDR361C
540	OG0000540	C3_01700W_A	YDL132W
541	OG0000541	C1_09750W_A	YER083C
542	OG0000542	CR_02990C_A	YBL033C
543	OG0000543	CR_05580C_A	YPL121C
544	OG0000544	C2_03430W_A	YHR090C
545	OG0000545	CR_00060C_A	YHR031C
546	OG0000546	C4_06980W_A	YOL154W
547	OG0000547	CR_07620W_A	YLR027C
548	OG0000548	C2_10700C_A	YML112W
549	OG0000549	C7_01740C_A	YHL031C
550	OG0000550	C4_01770W_A	YBR088C
551	OG0000551	C1_09190C_A	YFL053W
552	OG0000552	C4_00430W_A	YNL142W
553	OG0000553	C3_05520C_A	YLL001W
554	OG0000554	C1_07830C_A	YFR027W
555	OG0000555	C7_02050C_A	YJL085W
556	OG0000556	C2_04240C_A	YKL189W
557	OG0000557	C2_09930W_A	YMR067C
558	OG0000558	C3_02290W_A	YDR282C
559	OG0000559	C1_03250C_A	YPL138C
560	OG0000560	C2_08820C_A	YHL022C
561	OG0000561	C1_02080W_A	YPL165C
562	OG0000562	C6_03440W_A	YGR150C
563	OG0000563	C7_00230W_A	YJR001W
564	OG0000564	C4_03730C_A	YHR070W
565	OG0000565	C4_05760W_A	YGL130W
566	OG0000566	C5_00950C_A	YHR207C
567	OG0000567	C1_03920C_A	YLR246W
568	OG0000568	CR_08330W_A	YOL032W
569	OG0000569	C1_03320C_A	YDR036C
570	OG0000570	C5_03860W_A	YJR069C
571	OG0000571	C2_09370C_A	YPR141C
572	OG0000572	CR_02170W_A	YNL277W
573	OG0000573	C3_06760W_A	YDR087C
574	OG0000574	C3_06090C_A	YGL038C
575	OG0000575	C7_04040C_A	YOR209C
576	OG0000576	C6_04250W_A	YLR038C
577	OG0000577	C5_04710W_A	YMR293C
578	OG0000578	CR_04650W_A	YOR265W
579	OG0000579	C6_02650C_A	YCR028C
580	OG0000580	C4_00940W_B&Allele&of&C4_00940W_A	YMR312W
581	OG0000581	C4_05190C_A	YEL015W
582	OG0000582	CR_02890C_A	YPR190C
583	OG0000583	C5_04770W_A	YER182W
584	OG0000584	C7_02950C_A	YDR052C
585	OG0000585	C5_04100W_A	YBR029C
586	OG0000586	CR_01140C_A	YLR100W
587	OG0000587	C5_01700W_A	YBR122C
588	OG0000588	CR_00980C_A	YKL088W
589	OG0000589	C3_07020W_A	YBR112C
590	OG0000590	CR_02720C_A	YNL151C
591	OG0000591	C5_05220W_A	YHR005C
592	OG0000592	C4_01550C_A	YOR303W
593	OG0000593	CR_03210C_A	YNL222W
594	OG0000594	C1_05270C_A	YDR296W
595	OG0000595	CR_06110C_A	YLR176C
596	OG0000596	CR_04290W_A	YBL021C
597	OG0000597	C7_00790W_A	YMR004W
598	OG0000598	CR_06150C_A	YLR359W
599	OG0000599	C7_00300W_A	YLR290C
600	OG0000600	C1_04560W_A	YDR255C
601	OG0000601	C1_01850C_A	YGL044C
602	OG0000602	CR_00590W_A	YGR233C
603	OG0000603	C4_06600W_A	YNL088W
604	OG0000604	C1_07950C_A	YDR412W
605	OG0000605	C6_04440C_A	YDR104C
606	OG0000606	CR_10500C_A	YNL320W
607	OG0000607	C3_01090W_A	YPL189C-A
608	OG0000608	C3_04870W_A	YGR225W
609	OG0000609	CR_07720C_A	YLR103C
610	OG0000610	CR_01000C_A	YIL147C
611	OG0000611	C2_02120W_A	YMR228W
612	OG0000612	C3_05760W_A	YIL083C
613	OG0000613	C6_03930W_A	YGL114W
614	OG0000614	C2_00930C_A	YKL041W
615	OG0000615	C2_00070C_A	YJR002W
616	OG0000616	C2_03280W_A	YJL041W
617	OG0000617	C6_00820W_A	YNL066W
618	OG0000618	C3_01730C_A	YEL040W
619	OG0000619	C7_01840W_A	YPL242C
620	OG0000620	C2_01670C_A	YGL022W
621	OG0000621	C4_04260C_A	YBR179C
622	OG0000622	C6_01920C_A	YDR228C
623	OG0000623	C4_00380W_A	YMR041C
624	OG0000624	C2_00790C_A	YOR311C
625	OG0000625	CR_06560C_A	YNL305C
626	OG0000626	C4_00740W_A	YBR167C
627	OG0000627	CR_08980C_A	YOR329C
628	OG0000628	CR_09590W_A	YLR201C
629	OG0000629	C4_06850C_A	YLR244C
630	OG0000630	C1_04190C_A	YFL025C
631	OG0000631	C1_09390W_A	YOR274W
632	OG0000632	C5_03070W_A	YJR123W
633	OG0000633	C7_03860W_A	YEL060C
634	OG0000634	C1_04710C_A	YLR221C
635	OG0000635	CR_01260W_A	YER113C
636	OG0000636	C4_00950C_A	YMR313C
637	OG0000637	C1_09640W_A	YNL220W
638	OG0000638	C2_06390C_A	YML056C
639	OG0000639	C7_03940C_A	YDL155W
640	OG0000640	CR_05830C_A	YER019W
641	OG0000641	C6_04340W_A	YBL082C
642	OG0000642	C1_06010W_A	YHR142W
643	OG0000643	C1_09290C_A	YER069W
644	OG0000644	C2_04220C_A	YPL129W
645	OG0000645	C1_01470W_A	YGL122C
646	OG0000646	C2_08670C_A	YMR093W
647	OG0000647	C7_01630W_A	YNL072W
648	OG0000648	C3_06370C_A	YER127W
649	OG0000649	C3_07750W_A	YHR196W
650	OG0000650	C3_07390C_A	YDR041W
651	OG0000651	C4_04650W_A	YOR077W
652	OG0000652	C2_05680W_A	YPR105C
653	OG0000653	C2_03940C_A	YHR205W
654	OG0000654	CR_04740C_A	YGR061C
655	OG0000655	C3_00370C_A	YOR078W
656	OG0000656	C4_05640C_A	YIL020C
657	OG0000657	CR_04660C_A	YKL035W
658	OG0000658	C2_01060C_A	YJR097W
659	OG0000659	C3_07670W_A	YDR090C
660	OG0000660	C3_06150W_A	YPR022C
661	OG0000661	C1_00180W_A	YIL133C
662	OG0000662	CR_08410W_A	YLR387C
663	OG0000663	CR_00670C_A	YOL125W
664	OG0000664	C4_03460C_A	YHL024W
665	OG0000665	C3_06210C_A	YMR100W
666	OG0000666	C1_10910C_A	YDR363W
667	OG0000667	C2_06520C_A	YGR096W
668	OG0000668	C6_02970C_B&Allele&of&C6_02970C_A	YPL112C
669	OG0000669	C3_02830W_A	YGR047C
670	OG0000670	C1_03210C_A	YHR107C
671	OG0000671	C5_01050C_A	YCR046C
672	OG0000672	CR_08520C_A	YLR390W
673	OG0000673	C1_00940W_A	YOL005C
674	OG0000674	C1_04230W_A	YLR421C
675	OG0000675	C1_00500C_A	YML004C
676	OG0000676	C2_03070C_A	YOR149C
677	OG0000677	C1_01950C_A	YLR065C
678	OG0000678	C4_02720C_A	YKL051W
679	OG0000679	C6_00550W_A	YOR158W
680	OG0000680	C1_00380C_A	YOL076W
681	OG0000681	C5_05450C_A	YBR057C
682	OG0000682	C1_00110W_A	YJL008C
683	OG0000683	C6_00900C_A	YGR053C
684	OG0000684	C1_11870W_A	YGR055W
685	OG0000685	C3_06990W_A	YNL326C
686	OG0000686	C5_01130W_A	YAL039C
687	OG0000687	C5_04620C_A	YGR062C
688	OG0000688	C4_04150C_A	YBR221C
689	OG0000689	C1_13060C_A	YLR069C
690	OG0000690	C1_08640W_A	YOL067C
691	OG0000691	CR_10250C_A	YDL168W
692	OG0000692	C6_01320W_A	YHR099W
693	OG0000693	C1_11040W_A	YFR032C-A
694	OG0000694	C2_05470W_A	YML110C
695	OG0000695	C7_02060W_A	YJL087C
696	OG0000696	C4_06010C_A	YPR068C
697	OG0000697	C5_03600W_A	YFL016C
698	OG0000698	C4_02800W_A	YDL150W
699	OG0000699	C4_05210W_A	YPR113W
700	OG0000700	CR_10680W_A	YDL140C
701	OG0000701	C7_00170W_A	YJR126C
702	OG0000702	C3_06830C_A	YLR419W
703	OG0000703	C1_00510W_A	YBR176W
704	OG0000704	C2_07070W_A	YBR046C
705	OG0000705	C7_04050W_A	YMR161W
706	OG0000706	C7_04190C_A	YJL069C
707	OG0000707	C1_05330C_A	YDR306C
708	OG0000708	C6_03380W_A	YBL032W
709	OG0000709	C3_00620C_A	YJR034W
710	OG0000710	C6_00500C_A	YPR066W
711	OG0000711	C5_03580C_A	YML102W
712	OG0000712	C6_03800C_A	YLR023C
713	OG0000713	C2_00840W_A	YPR048W
714	OG0000714	C3_04530C_A	YBR083W
715	OG0000715	C1_01150C_A	YOL141W
716	OG0000716	CR_08360C_A	YOL039W
717	OG0000717	C1_07910C_A	YMR024W
718	OG0000718	C4_07220C_A	YDR180W
719	OG0000719	C5_04750C_A	YMR290C
720	OG0000720	CR_06180W_A	YBR234C
721	OG0000721	C3_07170C_A	YOR370C
722	OG0000722	C1_08950W_A	YIL107C
723	OG0000723	C2_09670C_A	YIL003W
724	OG0000724	C2_00360C_A	YLL029W
725	OG0000725	C2_03180C_A	YDR457W
726	OG0000726	C5_04440C_A	YJR095W
727	OG0000727	C6_01340C_A	YHR100C
728	OG0000728	C2_03130W_A	YOR021C
729	OG0000729	CR_09740W_A	YHR065C
730	OG0000730	CR_02920C_A	YPR192W
731	OG0000731	C3_00810C_A	YKR009C
732	OG0000732	C4_03790W_A	YDL097C
733	OG0000733	CR_03750C_A	YDR235W
734	OG0000734	CR_03920C_A	YOR273C
735	OG0000735	CR_09510C_A	YGR207C
736	OG0000736	C4_06130W_A	YDR150W
737	OG0000737	C3_02220W_A	YML007W
738	OG0000738	C3_01850W_A	YDR347W
739	OG0000739	C3_07110W_A	YOR373W
740	OG0000740	C1_00460W_A	YPL098C
741	OG0000741	C1_01290C_A	YBR255W
742	OG0000742	C1_10850W_A	YDR446W
743	OG0000743	C1_10140C_A	YBR203W
744	OG0000744	C1_01090C_A	YGR215W
745	OG0000745	C7_02470C_A	YKL207W
746	OG0000746	C2_05590C_A	YLR126C
747	OG0000747	C1_07180W_A	YMR038C
748	OG0000748	C4_05820W_A	YER048W-A
749	OG0000749	C1_07140C_A	YNL163C
750	OG0000750	CR_00410W_A	YLL002W
751	OG0000751	C1_02250W_A	YGR036C
752	OG0000752	C2_10360C_A	YDL205C
753	OG0000753	CR_07420W_A	YDR148C
754	OG0000754	C7_01270C_A	YDL156W
755	OG0000755	C2_07630C_A	YHR087W
756	OG0000756	C1_04880C_A	YBR268W
757	OG0000757	C1_13690C_A	YOR327C
758	OG0000758	CR_09750C_A	YDR313C
759	OG0000759	C5_02760W_A	YOR039W
760	OG0000760	C3_02280C_A	YKL104C
761	OG0000761	C3_06040W_A	YPL054W
762	OG0000762	C1_01530C_A	YDR341C
763	OG0000763	C1_02020W_A	YER183C
764	OG0000764	C5_01280C_A	YOL069W
765	OG0000765	C2_07120W_A	YNL312W
766	OG0000766	C6_01550C_A	YOR330C
767	OG0000767	C1_05290W_A	YBR121C
768	OG0000768	C5_00660C_A	YHR007C
769	OG0000769	C1_14150C_A	YJL104W
770	OG0000770	C4_03280W_A	YDR335W
771	OG0000771	CR_03540W_A	YPR147C
772	OG0000772	C3_03650W_A	YOR056C
773	OG0000773	C1_03770W_A	YNL167C
774	OG0000774	C2_04350C_A	YPL029W
775	OG0000775	C4_04480C_A	YAL003W
776	OG0000776	CR_09520C_A	YLR045C
777	OG0000777	CR_08350W_A	YOL031C
778	OG0000778	C6_04030W_A	YGL065C
779	OG0000779	C1_00710C_A	YFL037W
780	OG0000780	C2_00960C_A	YER042W
781	OG0000781	C2_06360C_A	YAL025C
782	OG0000782	C1_00990C_A	YNL123W
783	OG0000783	C1_09510W_A	YOR272W
784	OG0000784	C3_06080W_A	YPL167C
785	OG0000785	C7_01810W_A	YPL235W
786	OG0000786	C2_05280C_A	YDR437W
787	OG0000787	C4_04840C_A	YFL055W
788	OG0000788	C2_07750W_A	YNL090W
789	OG0000789	C6_03230W_A	YJL088W
790	OG0000790	C7_03660C_A	YHR020W
791	OG0000791	C1_06600W_A	YPR129W
792	OG0000792	C2_09250W_A	YNL056W
793	OG0000793	C1_13410W_A	YLL018C-A
794	OG0000794	C1_05370C_A	YJL057C
795	OG0000795	C2_02030W_A	YDR035W
796	OG0000796	CR_08370W_A	YOL049W
797	OG0000797	CR_08500W_A	YDL063C
798	OG0000798	C5_04860C_A	YMR292W
799	OG0000799	CR_10800C_A	YNL321W
800	OG0000800	C3_07130W_A	YGL054C
801	OG0000801	C2_04340C_A	YDR248C
802	OG0000802	C1_01450W_A	YGL119W
803	OG0000803	C3_04080W_A	YFR033C
804	OG0000804	C1_06070W_A	YNR036C
805	OG0000805	C4_06650W_A	YOR069W
806	OG0000806	C2_04020C_A	YKL193C
807	OG0000807	C2_02510W_A	YHL011C
808	OG0000808	C2_10440C_A	YPL022W
809	OG0000809	C3_01190C_A	YDL001W
810	OG0000810	C3_02020W_B&Allele&of&C3_02020W_A	YPR112C
811	OG0000811	C5_00370W_A	YLL050C
812	OG0000812	C1_07380C_A	YHR082C
813	OG0000813	C2_06770W_B&Allele&of&C2_06770W_A	YGR080W
814	OG0000814	C1_02420C_A	YGR032W
815	OG0000815	C7_02110W_A	YMR075W
816	OG0000816	C4_04920W_A	YKR038C
817	OG0000817	C1_14400C_A	YPL164C
818	OG0000818	CR_02910W_A	YPR185W
819	OG0000819	CR_04310C_A	YBL025W
820	OG0000820	C1_12430W_A	YOL078W
821	OG0000821	C6_00740W_A	YBR041W
822	OG0000822	C4_01490W_A	YMR309C
823	OG0000823	C4_05170C_B&Allele&of&C4_05170C_A	YGL091C
824	OG0000824	C1_13910C_A	YDR061W
825	OG0000825	C6_01860C_A	YNL281W
826	OG0000826	C1_02920W_A	YLR418C
827	OG0000827	C3_07400W_A	YBR061C
828	OG0000828	CR_01180W_A	YKL007W
829	OG0000829	C1_01550W_A	YOR132W
830	OG0000830	C7_04310C_A	YHL021C
831	OG0000831	C1_12550C_A	YPR019W
832	OG0000832	C7_01720W_A	YPR037C
833	OG0000833	C1_08890C_A	YIR009W
834	OG0000834	C2_09160W_A	YDR280W
835	OG0000835	C1_05460W_A	YHR186C
836	OG0000836	C7_03240W_A	YCL039W
837	OG0000837	C1_02400C_B&Allele&of&C1_02400C_A	YJL183W
838	OG0000838	C6_01050W_A	YPL097W
839	OG0000839	C2_09720W_A	YDR172W
840	OG0000840	C2_01490C_A	YLR005W
841	OG0000841	C7_03630C_A	YEL020W-A
842	OG0000842	C6_02910W_A	YBR257W
843	OG0000843	C2_02270C_A	YMR158W
844	OG0000844	C1_00950C_A	YMR001C
845	OG0000845	C3_02950C_A	YGL125W
846	OG0000846	C1_06420C_A	YBR007C
847	OG0000847	C3_02570W_A	YIL108W
848	OG0000848	C5_01230C_A	YMR099C
849	OG0000849	C1_03680W_B&Allele&of&C1_03680W_A	YNR067C
850	OG0000850	C1_00930C_A	YOL004W
851	OG0000851	C3_03170W_A	YLR208W
852	OG0000852	CR_03960C_A	YGL124C
853	OG0000853	C1_00800C_A	YMR202W
854	OG0000854	C1_04860W_A	YPR089W
855	OG0000855	C4_07190W_A	YLR166C
856	OG0000856	CR_03600C_A	YPL010W
857	OG0000857	C5_02300C_A	YFR051C
858	OG0000858	C1_14460W_A	YFR004W
859	OG0000859	C6_02220W_A	YPL218W
860	OG0000860	C1_02500W_A	YFL046W
861	OG0000861	C3_02160C_A	YML017W
862	OG0000862	C6_01460C_A	YMR214W
863	OG0000863	CR_05650W_A	YGR246C
864	OG0000864	C7_02770W_A	YBR038W
865	OG0000865	C2_09380W_A	YPR143W
866	OG0000866	C7_02150C_A	YMR062C
867	OG0000867	C7_03130C_A	YOR236W
868	OG0000868	C2_06170C_A	YJR137C
869	OG0000869	C3_05530W_A	YJL002C
870	OG0000870	C5_00070W_A	YJR076C
871	OG0000871	C2_00580C_A	YLR034C
872	OG0000872	C1_09470C_A	YOR271C
873	OG0000873	C1_10360C_B&Allele&of&C1_10360C_A	YCR061W
874	OG0000874	C4_05070C_A	YOL140W
875	OG0000875	C2_10030C_A	YGR279C
876	OG0000876	C1_04550W_A	YPL046C
877	OG0000877	CR_08910C_A	YPR108W
878	OG0000878	C7_02490W_B&Allele&of&C7_02490W_A	YKL197C
879	OG0000879	C4_05960W_A	YGL221C
880	OG0000880	C6_04270W_A	YCR093W
881	OG0000881	C5_03310C_A	YNL289W
882	OG0000882	C7_03540C_A	YGR145W
883	OG0000883	C7_00150W_A	YJL121C
884	OG0000884	C4_01680W_A	YKL058W
885	OG0000885	C5_00110C_A	YIL078W
886	OG0000886	C4_06740C_A	YML013W
887	OG0000887	C4_02840C_A	YHR041C
888	OG0000888	C7_00870W_A	YDL238C
889	OG0000889	C3_00110C_A	YIL068C
890	OG0000890	C4_02860W_A	YMR311C
891	OG0000891	CR_06470W_A	YOL013C
892	OG0000892	C1_06770W_A	YNL181W
893	OG0000893	C3_02770C_A	YDR030C
894	OG0000894	C4_01470W_A	YLR097C
895	OG0000895	C4_05850C_A	YGR111W
896	OG0000896	C2_09910C_A	YDL232W
897	OG0000897	C7_03850W_A	YLR002C
898	OG0000898	C6_00950C_A	YOL006C
899	OG0000899	C1_02960C_A	YHR194W
900	OG0000900	C4_00240C_A	YER023W
901	OG0000901	CR_09370W_A	YPL226W
902	OG0000902	C1_02410C_A	YOL107W
903	OG0000903	C7_00720W_A	YGL244W
904	OG0000904	C2_00270C_A	YLR326W
905	OG0000905	CR_01410C_A	YNL035C
906	OG0000906	C2_02000W_A	YDR372C
907	OG0000907	C5_02290W_A	YGL248W
908	OG0000908	C1_04090C_A	YJL006C
909	OG0000909	C6_02500C_A	YDR019C
910	OG0000910	C4_00140C_A	YCL030C
911	OG0000911	C5_03290C_A	YDL045W-A
912	OG0000912	CR_04580W_A	YCR003W
913	OG0000913	C2_05050C_A	YOR320C
914	OG0000914	C3_01500C_A	YHR114W
915	OG0000915	C2_03250W_A	YIL088C
916	OG0000916	C1_01540W_A	YOR138C
917	OG0000917	C1_03740W_A	YML076C
918	OG0000918	CR_01310W_A	YBR039W
919	OG0000919	CR_05310W_A	YLR170C
920	OG0000920	C2_07190C_A	YGL068W
921	OG0000921	C3_00630W_A	YJR033C
922	OG0000922	C4_05180C_B&Allele&of&C4_05180C_A	YGL092W
923	OG0000923	C2_09590C_A	YER053C
924	OG0000924	C3_05580C_A	YKR039W
925	OG0000925	C1_01100W_A	YGR217W
926	OG0000926	C4_00150C_A	YDR244W
927	OG0000927	C2_01660C_A	YGL010W
928	OG0000928	C2_09580W_A	YIL044C
929	OG0000929	C3_02970C_A	YHR134W
930	OG0000930	C7_00410C_A	YCL014W
931	OG0000931	C6_02440C_A	YAL032C
932	OG0000932	C1_05060W_A	YBR267W
933	OG0000933	C2_04030C_A	YKL192C
934	OG0000934	C4_03780C_A	YDR316W
935	OG0000935	C1_05280W_A	YHR078W
936	OG0000936	C2_07740W_A	YNL091W
937	OG0000937	C4_00890W_A	YDR127W
938	OG0000938	C7_03610C_A	YOL098C
939	OG0000939	C1_10790W_A	YDL126C
940	OG0000940	C4_04230W_A	YLR004C
941	OG0000941	C7_01470C_A	YOR362C
942	OG0000942	C2_03200W_A	YDR473C
943	OG0000943	C3_03800W_A	YKR093W
944	OG0000944	CR_07040W_A	YJL127C
945	OG0000945	CR_05890C_A	YNL246W
946	OG0000946	C4_02120W_A	YGR284C
947	OG0000947	C4_04510W_A	YAL001C
948	OG0000948	C2_07380W_A	YJR045C
949	OG0000949	C3_06770W_A	YDR088C
950	OG0000950	C4_02050W_A	YGR187C
951	OG0000951	C6_03350C_B&Allele&of&C6_03350C_A	YJL081C
952	OG0000952	C4_06870W_A	YOR117W
953	OG0000953	C2_08500W_A	YER125W
954	OG0000954	C3_01510W_A	YNL094W
955	OG0000955	C1_04280C_A	YBR004C
956	OG0000956	C3_04780C_A	YML067C
957	OG0000957	C7_03810W_A	YNL243W
958	OG0000958	C3_04740C_A	YLR234W
959	OG0000959	CR_03200C_A	YNL221C
960	OG0000960	C1_04790W_A	YPL178W
961	OG0000961	CR_03160W_A	YGL050W
962	OG0000962	C1_13870W_A	YJR010W
963	OG0000963	C1_03640C_A	YBR278W
964	OG0000964	C6_02560W_A	YMR315W
965	OG0000965	C6_00390W_A	YHR011W
966	OG0000966	C4_00020W_A	YLR447C
967	OG0000967	C1_04690C_A	YPR007C
968	OG0000968	C4_00090W_A	YOL132W
969	OG0000969	CR_08340W_A	YAL012W
970	OG0000970	C2_01950C_B&Allele&of&C2_01950C_A	YBR158W
971	OG0000971	C3_07620C_A	YMR283C
972	OG0000972	C1_06800W_A	YGL246C
973	OG0000973	C2_10850C_A	YDR049W
974	OG0000974	C1_04500W_A	YER065C
975	OG0000975	C2_10220C_B&Allele&of&C2_10220C_A	YNL097C
976	OG0000976	C6_00590W_A	YOR307C
977	OG0000977	CR_09970W_A	YBR082C
978	OG0000978	C5_04700C_A	YGR264C
979	OG0000979	C2_05000C_A	YNL284C
980	OG0000980	C1_11480W_A	YML123C
981	OG0000981	CR_01800C_A	YPL015C
982	OG0000982	C4_07180W_A	YLR167W
