	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035686_Cyberlindnera_saturnus
512	OG0000512	YAL026C	augustus_masked-flattened_line_2-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.102&CDS=1-3888
513	OG0000513	YAL031C	snap_masked-flattened_line_32-processed-gene-1.107-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.107&CDS=1-2601
514	OG0000514	YAL032C	augustus_masked-flattened_line_2-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.63&CDS=1-1290
515	OG0000515	YAL033W	augustus_masked-flattened_line_2-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.46&CDS=1-468
516	OG0000516	YAL034W-A	augustus_masked-flattened_line_32-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.65&CDS=1-918
517	OG0000517	YAL035W	snap_masked-flattened_line_13-processed-gene-2.67-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.67&CDS=1-2985
518	OG0000518	YAL036C	maker-flattened_line_13-augustus-gene-2.6-mRNA-1_1&gene=maker-flattened_line_13-augustus-gene-2.6&CDS=1-1098
519	OG0000519	YAL038W	augustus_masked-flattened_line_21-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.97&CDS=1-1518
520	OG0000520	YAL039C	maker-flattened_line_104-augustus-gene-0.76-mRNA-1_1&gene=maker-flattened_line_104-augustus-gene-0.76&CDS=1-810
521	OG0000521	YAL041W	augustus_masked-flattened_line_29-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-2.87&CDS=1-2277
522	OG0000522	YAL042W	augustus_masked-flattened_line_29-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-2.98&CDS=1-1206
523	OG0000523	YAL043C	augustus_masked-flattened_line_32-processed-gene-1.235-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.235&CDS=1-2157
524	OG0000524	YAL044C	maker-flattened_line_27-augustus-gene-2.62-mRNA-1_1&gene=maker-flattened_line_27-augustus-gene-2.62&CDS=1-501
525	OG0000525	YAL044W-A	genemark-flattened_line_27-processed-gene-2.144-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-2.144&CDS=1-306
526	OG0000526	YAL046C	augustus_masked-flattened_line_32-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.67&CDS=1-303
527	OG0000527	YAL048C	augustus_masked-flattened_line_0-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.79&CDS=1-2865
528	OG0000528	YAL049C	maker-flattened_line_21-augustus-gene-2.72-mRNA-1_1&gene=maker-flattened_line_21-augustus-gene-2.72&CDS=1-711
529	OG0000529	YAL053W	snap_masked-flattened_line_21-processed-gene-2.53-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-2.53&CDS=1-2247
530	OG0000530	YAL054C	augustus_masked-flattened_line_21-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.134&CDS=1-2019
531	OG0000531	YAL055W	augustus_masked-flattened_line_96-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-flattened_line_96-processed-gene-0.103&CDS=1-543
532	OG0000532	YAL058W	augustus_masked-flattened_line_4-processed-gene-4.195-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.195&CDS=1-1674
533	OG0000533	YAL059W	maker-flattened_line_4-augustus-gene-4.185-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-4.185&CDS=1-495
534	OG0000534	YAL060W	augustus_masked-flattened_line_25-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.81&CDS=1-1260
535	OG0000535	YAL067C	augustus_masked-flattened_line_56-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.115&CDS=1-1683
536	OG0000536	YAR002C-A	augustus_masked-flattened_line_62-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.28&CDS=1-645
537	OG0000537	YAR002W	snap_masked-flattened_line_68-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.92&CDS=1-1341
538	OG0000538	YAR003W	augustus_masked-flattened_line_62-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.0&CDS=1-1200
539	OG0000539	YAR007C	augustus_masked-flattened_line_29-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.70&CDS=1-1821
540	OG0000540	YAR008W	augustus_masked-flattened_line_29-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.72&CDS=1-804
541	OG0000541	YAR014C	augustus_masked-flattened_line_11-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.97&CDS=1-1413
542	OG0000542	YAR015W	augustus_masked-flattened_line_54-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.163&CDS=1-903
543	OG0000543	YAR018C	augustus_masked-flattened_line_54-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.191&CDS=1-1434
544	OG0000544	YAR035W	augustus_masked-flattened_line_21-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.140&CDS=1-2121
545	OG0000545	YBL001C	maker-flattened_line_6-snap-gene-4.105-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-4.105&CDS=1-339
546	OG0000546	YBL004W	augustus_masked-flattened_line_110-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.26&CDS=1-7386
547	OG0000547	YBL007C	augustus_masked-flattened_line_11-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.51&CDS=1-3528
548	OG0000548	YBL008W	augustus_masked-flattened_line_11-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.90&CDS=1-2490
549	OG0000549	YBL010C	augustus_masked-flattened_line_32-processed-gene-1.265-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.265&CDS=1-942
550	OG0000550	YBL011W	augustus_masked-flattened_line_32-processed-gene-1.269-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.269&CDS=1-1998
551	OG0000551	YBL013W	augustus_masked-flattened_line_104-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.55&CDS=1-1047
552	OG0000552	YBL014C	augustus_masked-flattened_line_19-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.30&CDS=1-2163
553	OG0000553	YBL015W	augustus_masked-flattened_line_15-processed-gene-3.164-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-3.164&CDS=1-1569
554	OG0000554	YBL016W	augustus_masked-flattened_line_54-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.172&CDS=1-1065
555	OG0000555	YBL019W	augustus_masked-flattened_line_4-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.91&CDS=1-1575
556	OG0000556	YBL020W	augustus_masked-flattened_line_34-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.55&CDS=1-1614
557	OG0000557	YBL021C	augustus_masked-flattened_line_4-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.97&CDS=1-729
558	OG0000558	YBL022C	augustus_masked-flattened_line_4-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.73&CDS=1-3246
559	OG0000559	YBL023C	maker-flattened_line_84-augustus-gene-0.43-mRNA-1_1&gene=maker-flattened_line_84-augustus-gene-0.43&CDS=1-3765
560	OG0000560	YBL024W	augustus_masked-flattened_line_70-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.7&CDS=1-1974
561	OG0000561	YBL028C	augustus_masked-flattened_line_27-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-2.40&CDS=1-297
562	OG0000562	YBL029C-A	snap_masked-flattened_line_66-processed-gene-0.136-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.136&CDS=1-255
563	OG0000563	YBL029W	augustus_masked-flattened_line_66-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.75&CDS=1-987
564	OG0000564	YBL030C	augustus_masked-flattened_line_0-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.15&CDS=1-912
565	OG0000565	YBL032W	augustus_masked-flattened_line_0-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.37&CDS=1-957
566	OG0000566	YBL033C	augustus_masked-flattened_line_13-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-1.118&CDS=1-999
567	OG0000567	YBL034C	snap_masked-flattened_line_21-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.2&CDS=1-3939
568	OG0000568	YBL035C	augustus_masked-flattened_line_0-processed-gene-9.26-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.26&CDS=1-1863
569	OG0000569	YBL036C	snap_masked-flattened_line_0-processed-gene-9.83-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.83&CDS=1-714
570	OG0000570	YBL037W	augustus_masked-flattened_line_0-processed-gene-9.45-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.45&CDS=1-2577
571	OG0000571	YBL039C	augustus_masked-flattened_line_9-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-0.67&CDS=1-1722
572	OG0000572	YBL040C	maker-flattened_line_9-augustus-gene-0.114-mRNA-1_1&gene=maker-flattened_line_9-augustus-gene-0.114&CDS=1-636
573	OG0000573	YBL041W	augustus_masked-flattened_line_11-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-0.113&CDS=1-711
574	OG0000574	YBL045C	augustus_masked-flattened_line_19-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.138&CDS=1-1341
575	OG0000575	YBL047C	augustus_masked-flattened_line_19-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.136&CDS=1-3993
576	OG0000576	YBL049W	snap_masked-flattened_line_19-processed-gene-2.64-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-2.64&CDS=1-342
577	OG0000577	YBL050W	augustus_masked-flattened_line_19-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.105&CDS=1-873
578	OG0000578	YBL051C	augustus_masked-flattened_line_9-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-2.89&CDS=1-1830
579	OG0000579	YBL052C	augustus_masked-flattened_line_9-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-2.88&CDS=1-2094
580	OG0000580	YBL055C	augustus_masked-flattened_line_13-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.84&CDS=1-1068
581	OG0000581	YBL057C	augustus_masked-flattened_line_23-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.98&CDS=1-621
582	OG0000582	YBL058W	augustus_masked-flattened_line_23-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.78&CDS=1-1092
583	OG0000583	YBL059C-A	augustus_masked-flattened_line_23-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.72&CDS=1-303
584	OG0000584	YBL060W	augustus_masked-flattened_line_23-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.90&CDS=1-1779
585	OG0000585	YBL061C	augustus_masked-flattened_line_23-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.75&CDS=1-1914
586	OG0000586	YBL063W	augustus_masked-flattened_line_23-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.74&CDS=1-3156
587	OG0000587	YBL064C	augustus_masked-flattened_line_23-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.92&CDS=1-759
588	OG0000588	YBL066C	augustus_masked-flattened_line_23-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.91&CDS=1-2868
589	OG0000589	YBL071W-A	augustus_masked-flattened_line_0-processed-gene-11.282-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.282&CDS=1-213
590	OG0000590	YBL074C	augustus_masked-flattened_line_127-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_127-processed-gene-0.19&CDS=1-1053
591	OG0000591	YBL076C	augustus_masked-flattened_line_127-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_127-processed-gene-0.24&CDS=1-3222
592	OG0000592	YBL078C	augustus_masked-flattened_line_127-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_127-processed-gene-0.23&CDS=1-384
593	OG0000593	YBL079W	augustus_masked-flattened_line_21-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.75&CDS=1-4134
594	OG0000594	YBL080C	augustus_masked-flattened_line_32-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.88&CDS=1-1542
595	OG0000595	YBL082C	augustus_masked-flattened_line_21-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.69&CDS=1-1371
596	OG0000596	YBL084C	augustus_masked-flattened_line_17-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-1.89&CDS=1-2010
597	OG0000597	YBL086C	augustus_masked-flattened_line_80-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.94&CDS=1-888
598	OG0000598	YBL088C	snap_masked-flattened_line_80-processed-gene-0.135-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.135&CDS=1-8265
599	OG0000599	YBL090W	augustus_masked-flattened_line_80-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.96&CDS=1-477
600	OG0000600	YBL091C	maker-flattened_line_80-augustus-gene-0.56-mRNA-1_1&gene=maker-flattened_line_80-augustus-gene-0.56&CDS=1-1251
601	OG0000601	YBL092W	augustus_masked-flattened_line_80-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.97&CDS=1-393
602	OG0000602	YBL093C	augustus_masked-flattened_line_80-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.80&CDS=1-468
603	OG0000603	YBL095W	augustus_masked-flattened_line_104-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.56&CDS=1-666
604	OG0000604	YBL097W	augustus_masked-flattened_line_19-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.85&CDS=1-2031
605	OG0000605	YBL098W	maker-flattened_line_42-augustus-gene-0.104-mRNA-1_1&gene=maker-flattened_line_42-augustus-gene-0.104&CDS=1-1326
606	OG0000606	YBL099W	maker-flattened_line_19-augustus-gene-0.141-mRNA-1_1&gene=maker-flattened_line_19-augustus-gene-0.141&CDS=1-1644
607	OG0000607	YBL102W	augustus_masked-flattened_line_25-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.8&CDS=1-561
608	OG0000608	YBL105C	snap_masked-flattened_line_9-processed-gene-3.38-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-3.38&CDS=1-2301
609	OG0000609	YBL107C	augustus_masked-flattened_line_11-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-2.89&CDS=1-552
610	OG0000610	YBR001C	augustus_masked-flattened_line_94-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.61&CDS=1-2253
611	OG0000611	YBR002C	augustus_masked-flattened_line_94-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.60&CDS=1-798
612	OG0000612	YBR003W	augustus_masked-flattened_line_94-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.77&CDS=1-1392
613	OG0000613	YBR004C	augustus_masked-flattened_line_25-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.38&CDS=1-1086
614	OG0000614	YBR006W	augustus_masked-flattened_line_25-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.5&CDS=1-1470
615	OG0000615	YBR011C	augustus_masked-flattened_line_68-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.142&CDS=1-855
616	OG0000616	YBR017C	augustus_masked-flattened_line_11-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.96&CDS=1-2628
617	OG0000617	YBR022W	augustus_masked-flattened_line_6-processed-gene-4.190-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.190&CDS=1-486
618	OG0000618	YBR023C	augustus_masked-flattened_line_25-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.25&CDS=1-3495
619	OG0000619	YBR025C	augustus_masked-flattened_line_36-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.54&CDS=1-1182
620	OG0000620	YBR026C	augustus_masked-flattened_line_11-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-1.72&CDS=1-1122
621	OG0000621	YBR029C	augustus_masked-flattened_line_25-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.72&CDS=1-1281
622	OG0000622	YBR030W	snap_masked-flattened_line_23-processed-gene-2.38-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-2.38&CDS=1-1713
623	OG0000623	YBR034C	augustus_masked-flattened_line_23-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.104&CDS=1-1032
624	OG0000624	YBR035C	snap_masked-flattened_line_17-processed-gene-2.92-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.92&CDS=1-636
625	OG0000625	YBR037C	augustus_masked-flattened_line_36-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.77&CDS=1-870
626	OG0000626	YBR038W	augustus_masked-flattened_line_36-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.55&CDS=1-2952
627	OG0000627	YBR039W	augustus_masked-flattened_line_4-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.105&CDS=1-876
628	OG0000628	YBR040W	augustus_masked-flattened_line_4-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.130&CDS=1-777
629	OG0000629	YBR041W	snap_masked-flattened_line_66-processed-gene-0.174-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.174&CDS=1-1935
630	OG0000630	YBR042C	augustus_masked-flattened_line_66-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.111&CDS=1-1194
631	OG0000631	YBR043C	augustus_masked-flattened_line_4-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.84&CDS=1-1803
632	OG0000632	YBR046C	maker-flattened_line_11-augustus-gene-3.7-mRNA-1_1&gene=maker-flattened_line_11-augustus-gene-3.7&CDS=1-2070
633	OG0000633	YBR047W	augustus_masked-flattened_line_112-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.28&CDS=1-678
634	OG0000634	YBR053C	augustus_masked-flattened_line_50-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.144&CDS=1-945
635	OG0000635	YBR055C	augustus_masked-flattened_line_46-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.35&CDS=1-2583
636	OG0000636	YBR056W	augustus_masked-flattened_line_23-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.84&CDS=1-1449
637	OG0000637	YBR057C	augustus_masked-flattened_line_11-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.37&CDS=1-705
638	OG0000638	YBR058C	augustus_masked-flattened_line_11-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.39&CDS=1-2151
639	OG0000639	YBR058C-A	augustus_masked-flattened_line_52-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.151&CDS=1-309
640	OG0000640	YBR060C	augustus_masked-flattened_line_80-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.100&CDS=1-2148
641	OG0000641	YBR061C	maker-flattened_line_50-augustus-gene-0.163-mRNA-1_1&gene=maker-flattened_line_50-augustus-gene-0.163&CDS=1-909
642	OG0000642	YBR062C	maker-flattened_line_50-augustus-gene-0.164-mRNA-1_1&gene=maker-flattened_line_50-augustus-gene-0.164&CDS=1-531
643	OG0000643	YBR065C	augustus_masked-flattened_line_50-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.123&CDS=1-993
644	OG0000644	YBR067C	augustus_masked-flattened_line_40-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.17&CDS=1-627
645	OG0000645	YBR070C	augustus_masked-flattened_line_21-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.87&CDS=1-642
646	OG0000646	YBR073W	augustus_masked-flattened_line_52-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.157&CDS=1-2577
647	OG0000647	YBR074W	augustus_masked-flattened_line_0-processed-gene-8.109-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.109&CDS=1-2943
648	OG0000648	YBR076W	snap_masked-flattened_line_50-processed-gene-0.213-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.213&CDS=1-1119
649	OG0000649	YBR079C	augustus_masked-flattened_line_66-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.73&CDS=1-2733
650	OG0000650	YBR080C	augustus_masked-flattened_line_4-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.128&CDS=1-2271
651	OG0000651	YBR081C	augustus_masked-flattened_line_34-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.124&CDS=1-3084
652	OG0000652	YBR082C	maker-flattened_line_27-augustus-gene-2.60-mRNA-1_1&gene=maker-flattened_line_27-augustus-gene-2.60&CDS=1-441
653	OG0000653	YBR084W	augustus_masked-flattened_line_4-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.97&CDS=1-2862
654	OG0000654	YBR085W	augustus_masked-flattened_line_34-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.116&CDS=1-900
655	OG0000655	YBR086C	augustus_masked-flattened_line_0-processed-gene-9.44-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.44&CDS=1-2706
656	OG0000656	YBR096W	augustus_masked-flattened_line_15-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-2.125&CDS=1-648
657	OG0000657	YBR097W	maker-flattened_line_38-snap-gene-0.204-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-0.204&CDS=1-4863
658	OG0000658	YBR102C	augustus_masked-flattened_line_54-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.185&CDS=1-2010
659	OG0000659	YBR105C	augustus_masked-flattened_line_25-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.93&CDS=1-780
660	OG0000660	YBR106W	augustus_masked-flattened_line_11-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-0.140&CDS=1-567
661	OG0000661	YBR109C	augustus_masked-flattened_line_9-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-4.120&CDS=1-441
662	OG0000662	YBR110W	augustus_masked-flattened_line_9-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-4.88&CDS=1-1332
663	OG0000663	YBR111C	snap_masked-flattened_line_9-processed-gene-4.49-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-4.49&CDS=1-624
664	OG0000664	YBR111W-A	maker-flattened_line_9-augustus-gene-4.71-mRNA-1_1&gene=maker-flattened_line_9-augustus-gene-4.71&CDS=1-288
665	OG0000665	YBR112C	snap_masked-flattened_line_9-processed-gene-4.50-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-4.50&CDS=1-2031
666	OG0000666	YBR114W	augustus_masked-flattened_line_90-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.95&CDS=1-2439
667	OG0000667	YBR115C	augustus_masked-flattened_line_90-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.82&CDS=1-4161
668	OG0000668	YBR120C	snap_masked-flattened_line_2-processed-gene-4.124-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.124&CDS=1-423
669	OG0000669	YBR121C	augustus_masked-flattened_line_9-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-3.58&CDS=1-1971
670	OG0000670	YBR122C	augustus_masked-flattened_line_2-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.30&CDS=1-543
671	OG0000671	YBR123C	snap_masked-flattened_line_2-processed-gene-4.189-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.189&CDS=1-1506
672	OG0000672	YBR125C	augustus_masked-flattened_line_17-processed-gene-2.258-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-2.258&CDS=1-1002
673	OG0000673	YBR126C	augustus_masked-flattened_line_2-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.38&CDS=1-1413
674	OG0000674	YBR127C	maker-flattened_line_17-augustus-gene-2.178-mRNA-1_1&gene=maker-flattened_line_17-augustus-gene-2.178&CDS=1-2598
675	OG0000675	YBR131W	augustus_masked-flattened_line_29-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-2.74&CDS=1-1626
676	OG0000676	YBR132C	augustus_masked-flattened_line_29-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-2.78&CDS=1-1752
677	OG0000677	YBR133C	augustus_masked-flattened_line_29-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-2.96&CDS=1-1941
