	OrthologID	Candida_parapsilosis	Saccharomyces_cerevisiae
375	OG0000375	augustus_masked-Contig006372-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-0.103&CDS=1-411, augustus_masked-Contig006372-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-0.83&CDS=1-1029	YJR055W
376	OG0000376	snap_masked-Contig006372-processed-gene-1.63-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-1.63&CDS=1-666, snap_masked-Contig006372-processed-gene-1.90-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-1.90&CDS=1-666	YGR167W
377	OG0000377	snap_masked-Contig006372-processed-gene-1.71-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-1.71&CDS=1-3516	YAL056W, YOR371C
378	OG0000378	genemark-Contig006372-processed-gene-2.87-mRNA-1_1&gene=genemark-Contig006372-processed-gene-2.87&CDS=1-516	YMR242C, YOR312C
379	OG0000379	snap_masked-Contig006372-processed-gene-2.56-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.56&CDS=1-4125	YDR379W, YOR127W
380	OG0000380	maker-Contig006372-snap-gene-2.126-mRNA-1_1&gene=maker-Contig006372-snap-gene-2.126&CDS=1-3921	YIL151C, YKR096W
381	OG0000381	snap_masked-Contig006372-processed-gene-3.7-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.7&CDS=1-5730	YIL149C, YKR095W
382	OG0000382	maker-Contig006372-augustus-gene-3.72-mRNA-1_1&gene=maker-Contig006372-augustus-gene-3.72&CDS=1-2607	YGR283C, YMR310C
383	OG0000383	snap_masked-Contig006372-processed-gene-4.5-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.5&CDS=1-465	YGL031C, YGR148C
384	OG0000384	snap_masked-Contig006372-processed-gene-5.103-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.103&CDS=1-2481	YOR256C, YPL176C
385	OG0000385	snap_masked-Contig006372-processed-gene-5.136-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.136&CDS=1-1995	YGR241C, YHR161C
386	OG0000386	snap_masked-Contig006372-processed-gene-5.119-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.119&CDS=1-600	YBR089C-A, YPR052C
387	OG0000387	snap_masked-Contig006372-processed-gene-5.121-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.121&CDS=1-522, snap_masked-Contig006372-processed-gene-7.26-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-7.26&CDS=1-522	YLR109W
388	OG0000388	genemark-Contig006372-processed-gene-6.94-mRNA-1_1&gene=genemark-Contig006372-processed-gene-6.94&CDS=1-579	YKL065C, YMR040W
389	OG0000389	snap_masked-Contig006372-processed-gene-8.79-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.79&CDS=1-1386	YDL088C, YMR153W
390	OG0000390	snap_masked-Contig006372-processed-gene-8.68-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.68&CDS=1-1779	YBR015C, YJL186W
391	OG0000391	augustus_masked-Contig006372-processed-gene-9.97-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-9.97&CDS=1-1629	YDL049C, YJL174W
392	OG0000392	snap_masked-Contig006372-processed-gene-9.71-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.71&CDS=1-612	YER067W, YIL057C
393	OG0000393	snap_masked-Contig006372-processed-gene-9.77-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.77&CDS=1-3519	YGL049C, YGR162W
394	OG0000394	snap_masked-Contig006372-processed-gene-10.15-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-10.15&CDS=1-3396	YKL068W, YMR047C
395	OG0000395	augustus_masked-Contig006372-processed-gene-11.50-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-11.50&CDS=1-588	YDR453C, YML028W
396	OG0000396	snap_masked-Contig006372-processed-gene-11.25-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-11.25&CDS=1-495	YDR418W, YEL054C
397	OG0000397	snap_masked-Contig006372-processed-gene-11.30-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-11.30&CDS=1-1815	YEL041W, YJR049C
398	OG0000398	snap_masked-Contig006372-processed-gene-11.20-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-11.20&CDS=1-1098	YCR073W-A, YNR034W
399	OG0000399	snap_masked-Contig006372-processed-gene-11.22-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-11.22&CDS=1-1599	YBR161W, YPL057C
400	OG0000400	maker-Contig006372-snap-gene-12.1-mRNA-1_1&gene=maker-Contig006372-snap-gene-12.1&CDS=1-2310	YNL301C, YOL120C
401	OG0000401	snap_masked-Contig006372-processed-gene-12.74-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-12.74&CDS=1-513	YGR131W, YPR149W
402	OG0000402	snap_masked-Contig006372-processed-gene-12.57-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-12.57&CDS=1-543	YDL137W, YDL192W
403	OG0000403	augustus_masked-Contig006372-processed-gene-12.94-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-12.94&CDS=1-360	YDL136W, YDL191W
404	OG0000404	maker-Contig006372-snap-gene-13.44-mRNA-1_1&gene=maker-Contig006372-snap-gene-13.44&CDS=1-783	YGR214W, YLR048W
405	OG0000405	snap_masked-Contig006372-processed-gene-13.24-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-13.24&CDS=1-870	YKR075C, YOR062C
406	OG0000406	snap_masked-Contig006372-processed-gene-13.29-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-13.29&CDS=1-3900	YIR033W, YKL020C
407	OG0000407	augustus_masked-Contig006372-processed-gene-13.128-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-13.128&CDS=1-942	YMR183C, YPL232W
408	OG0000408	augustus_masked-Contig006372-processed-gene-14.6-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-14.6&CDS=1-3180	YEL006W, YIL006W
409	OG0000409	augustus_masked-Contig006372-processed-gene-14.9-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-14.9&CDS=1-1536	YGR121C, YPR138C
410	OG0000410	snap_masked-Contig006372-processed-gene-14.81-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-14.81&CDS=1-1200	YOR390W, YPL279C
411	OG0000411	snap_masked-Contig006372-processed-gene-14.63-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-14.63&CDS=1-2424	YGL071W, YPL202C
412	OG0000412	snap_masked-Contig006372-processed-gene-15.54-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-15.54&CDS=1-2325	YFR013W, YOL017W
413	OG0000413	snap_masked-Contig006372-processed-gene-15.89-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-15.89&CDS=1-1926	YCR048W, YNR019W
414	OG0000414	snap_masked-Contig006372-processed-gene-15.66-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-15.66&CDS=1-1335, snap_masked-Contig006372-processed-gene-15.91-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-15.91&CDS=1-1257	YBR279W
415	OG0000415	snap_masked-Contig006372-processed-gene-15.79-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-15.79&CDS=1-765	YDR272W, YOR040W
416	OG0000416	augustus_masked-Contig006372-processed-gene-16.180-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-16.180&CDS=1-1332	YAL034C, YOR338W
417	OG0000417	snap_masked-Contig006372-processed-gene-16.98-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-16.98&CDS=1-1989	YDR253C, YPL038W
418	OG0000418	snap_masked-Contig006372-processed-gene-16.112-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-16.112&CDS=1-834	YNL098C, YOR101W
419	OG0000419	snap_masked-Contig006372-processed-gene-16.153-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-16.153&CDS=1-333	YEL039C, YJR048W
420	OG0000420	maker-Contig006372-snap-gene-16.93-mRNA-1_1&gene=maker-Contig006372-snap-gene-16.93&CDS=1-357	YMR230W, YOR293W
421	OG0000421	snap_masked-Contig006372-processed-gene-16.160-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-16.160&CDS=1-975	YJL133W, YKR052C
422	OG0000422	snap_masked-Contig006372-processed-gene-16.128-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-16.128&CDS=1-2229	YML100W, YMR261C
423	OG0000423	snap_masked-Contig006372-processed-gene-16.173-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-16.173&CDS=1-792	YHR203C, YJR145C
424	OG0000424	snap_masked-Contig006372-processed-gene-16.178-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-16.178&CDS=1-795	YDR151C, YLR136C
425	OG0000425		YAL051W, YLL054C, YOR363C
426	OG0000426	snap_masked-Contig005504-processed-gene-0.43-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.43&CDS=1-2448	YPR097W
427	OG0000427	maker-Contig005504-augustus-gene-0.1-mRNA-1_1&gene=maker-Contig005504-augustus-gene-0.1&CDS=1-5544	YDR129C
428	OG0000428	snap_masked-Contig005504-processed-gene-0.44-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.44&CDS=1-2760	YLR148W
429	OG0000429	snap_masked-Contig005504-processed-gene-0.45-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.45&CDS=1-2025	YGL114W
430	OG0000430	snap_masked-Contig005504-processed-gene-0.60-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.60&CDS=1-1821	YBR233W
431	OG0000431	snap_masked-Contig005504-processed-gene-0.61-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.61&CDS=1-2439	YCL054W
432	OG0000432	snap_masked-Contig005504-processed-gene-0.62-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.62&CDS=1-1008	YGL115W
433	OG0000433	augustus_masked-Contig005504-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-0.83&CDS=1-1221	YGL213C
434	OG0000434	snap_masked-Contig005504-processed-gene-0.66-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.66&CDS=1-1080	YBR231C
435	OG0000435	snap_masked-Contig005504-processed-gene-0.47-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.47&CDS=1-2067	YOL057W
436	OG0000436	snap_masked-Contig005504-processed-gene-0.48-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.48&CDS=1-2340	YPL270W
437	OG0000437	maker-Contig005504-augustus-gene-0.2-mRNA-1_1&gene=maker-Contig005504-augustus-gene-0.2&CDS=1-3135	YEL055C
438	OG0000438	augustus_masked-Contig005504-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-0.86&CDS=1-1023	YPR085C
439	OG0000439	snap_masked-Contig005504-processed-gene-0.49-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.49&CDS=1-1047	YJR105W
440	OG0000440	snap_masked-Contig005504-processed-gene-0.70-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.70&CDS=1-2007	YLR023C
441	OG0000441	snap_masked-Contig005504-processed-gene-0.71-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.71&CDS=1-822	YMR234W
442	OG0000442	snap_masked-Contig005504-processed-gene-0.74-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.74&CDS=1-1545	YNR051C
443	OG0000443	snap_masked-Contig005504-processed-gene-0.75-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.75&CDS=1-675	YDR177W
444	OG0000444	snap_masked-Contig005504-processed-gene-0.76-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.76&CDS=1-6660	YCR093W
445	OG0000445	snap_masked-Contig005504-processed-gene-0.77-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.77&CDS=1-642	YMR132C
446	OG0000446	snap_masked-Contig005504-processed-gene-0.78-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.78&CDS=1-249	YLR038C
447	OG0000447	snap_masked-Contig005504-processed-gene-1.31-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-1.31&CDS=1-1257	YFL030W
448	OG0000448	snap_masked-Contig005504-processed-gene-1.32-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-1.32&CDS=1-2151	YMR301C
449	OG0000449	maker-Contig005504-snap-gene-1.65-mRNA-1_1&gene=maker-Contig005504-snap-gene-1.65&CDS=1-3315	YDR536W
450	OG0000450	snap_masked-Contig005504-processed-gene-1.49-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-1.49&CDS=1-1410	YLR058C
451	OG0000451	snap_masked-Contig005504-processed-gene-1.51-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-1.51&CDS=1-3006	YNL325C
452	OG0000452	maker-Contig005504-snap-gene-1.66-mRNA-1_1&gene=maker-Contig005504-snap-gene-1.66&CDS=1-3321	YJL081C
453	OG0000453	snap_masked-Contig005504-processed-gene-1.41-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-1.41&CDS=1-2046	YEL011W
454	OG0000454	snap_masked-Contig005504-processed-gene-1.42-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-1.42&CDS=1-1875	YKL089W
455	OG0000455	augustus_masked-Contig005504-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-1.20&CDS=1-789	YKL009W
456	OG0000456	snap_masked-Contig005504-processed-gene-1.43-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-1.43&CDS=1-1905	YGL095C
457	OG0000457	maker-Contig005504-snap-gene-1.71-mRNA-1_1&gene=maker-Contig005504-snap-gene-1.71&CDS=1-1446	YPL181W
458	OG0000458	maker-Contig005504-snap-gene-1.72-mRNA-1_1&gene=maker-Contig005504-snap-gene-1.72&CDS=1-1752	YLR380W
459	OG0000459	snap_masked-Contig005504-processed-gene-1.44-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-1.44&CDS=1-2754	YLR382C
460	OG0000460	snap_masked-Contig005504-processed-gene-1.45-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-1.45&CDS=1-3186	YLR389C
461	OG0000461	maker-Contig005504-snap-gene-1.67-mRNA-1_1&gene=maker-Contig005504-snap-gene-1.67&CDS=1-2739	YML034W
462	OG0000462	snap_masked-Contig005504-processed-gene-1.59-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-1.59&CDS=1-1149	YDR202C
463	OG0000463	snap_masked-Contig005504-processed-gene-1.47-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-1.47&CDS=1-1749	YKL100C
464	OG0000464	snap_masked-Contig005504-processed-gene-2.2-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-2.2&CDS=1-912	YMR178W
465	OG0000465	snap_masked-Contig005504-processed-gene-2.3-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-2.3&CDS=1-810	YLR348C
466	OG0000466	augustus_masked-Contig005504-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-2.87&CDS=1-1311	YDR529C
467	OG0000467	snap_masked-Contig005504-processed-gene-2.16-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-2.16&CDS=1-4629	YOR093C
468	OG0000468	snap_masked-Contig005504-processed-gene-2.5-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-2.5&CDS=1-2094	YGR150C
469	OG0000469	snap_masked-Contig005504-processed-gene-2.17-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-2.17&CDS=1-1533	YDR026C
470	OG0000470	snap_masked-Contig005504-processed-gene-2.19-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-2.19&CDS=1-2520	YOL063C
471	OG0000471	snap_masked-Contig005504-processed-gene-2.8-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-2.8&CDS=1-609	YKL069W
472	OG0000472	snap_masked-Contig005504-processed-gene-2.20-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-2.20&CDS=1-1125	YBL032W
473	OG0000473	maker-Contig005504-snap-gene-2.70-mRNA-1_1&gene=maker-Contig005504-snap-gene-2.70&CDS=1-1686	YLR224W
474	OG0000474	maker-Contig005504-augustus-gene-2.31-mRNA-1_1&gene=maker-Contig005504-augustus-gene-2.31&CDS=1-1167	YER120W
475	OG0000475	snap_masked-Contig005504-processed-gene-2.12-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-2.12&CDS=1-1329	YPR201W
476	OG0000476	snap_masked-Contig005504-processed-gene-2.13-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-2.13&CDS=1-3417	YMR164C
477	OG0000477	augustus_masked-Contig005504-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-3.50&CDS=1-3519	YBL082C
478	OG0000478	snap_masked-Contig005504-processed-gene-3.2-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.2&CDS=1-705	YOL147C
479	OG0000479	snap_masked-Contig005504-processed-gene-3.30-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.30&CDS=1-1389	YJL046W
480	OG0000480	snap_masked-Contig005504-processed-gene-3.7-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.7&CDS=1-888	YBR257W
481	OG0000481	snap_masked-Contig005504-processed-gene-3.9-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.9&CDS=1-2883	YOR335C
482	OG0000482	snap_masked-Contig005504-processed-gene-3.32-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.32&CDS=1-1368	YHL004W
483	OG0000483	snap_masked-Contig005504-processed-gene-3.33-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.33&CDS=1-762	YKL117W
484	OG0000484	snap_masked-Contig005504-processed-gene-3.35-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.35&CDS=1-1320	YBL091C
485	OG0000485	augustus_masked-Contig005504-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-3.58&CDS=1-4584	YGL137W
486	OG0000486	snap_masked-Contig005504-processed-gene-3.38-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.38&CDS=1-1974	YGL099W
487	OG0000487	maker-Contig005504-augustus-gene-3.96-mRNA-1_1&gene=maker-Contig005504-augustus-gene-3.96&CDS=1-570	YPL218W
488	OG0000488	snap_masked-Contig005504-processed-gene-3.40-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.40&CDS=1-1386	YGL065C
489	OG0000489	snap_masked-Contig005504-processed-gene-3.41-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.41&CDS=1-2223	YPL207W
490	OG0000490	snap_masked-Contig005504-processed-gene-3.15-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.15&CDS=1-1701	YGL066W
491	OG0000491	augustus_masked-Contig005504-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-3.90&CDS=1-1581	YPL209C
492	OG0000492	snap_masked-Contig005504-processed-gene-3.16-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.16&CDS=1-1242	YPL204W
493	OG0000493	snap_masked-Contig005504-processed-gene-3.45-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.45&CDS=1-1650	YPL212C
494	OG0000494	snap_masked-Contig005504-processed-gene-3.17-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.17&CDS=1-543	YPL211W
495	OG0000495	snap_masked-Contig005504-processed-gene-3.46-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.46&CDS=1-1431	YGL129C
496	OG0000496	snap_masked-Contig005504-processed-gene-3.18-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.18&CDS=1-1737	YGL064C
497	OG0000497	snap_masked-Contig005504-processed-gene-3.19-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.19&CDS=1-1413	YGL067W
498	OG0000498	snap_masked-Contig005504-processed-gene-3.20-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.20&CDS=1-1263	YPL206C
499	OG0000499	snap_masked-Contig005504-processed-gene-3.47-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.47&CDS=1-957	YNR003C
500	OG0000500	snap_masked-Contig005504-processed-gene-3.22-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.22&CDS=1-1047	YJL088W
501	OG0000501	snap_masked-Contig005504-processed-gene-3.26-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.26&CDS=1-3312	YPL183C
502	OG0000502	snap_masked-Contig005504-processed-gene-3.48-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.48&CDS=1-3264	YBL076C
503	OG0000503	snap_masked-Contig005504-processed-gene-4.48-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.48&CDS=1-4038	YCR042C
504	OG0000504	augustus_masked-Contig005504-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-4.93&CDS=1-2748	YML097C
505	OG0000505	augustus_masked-Contig005504-processed-gene-4.94-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-4.94&CDS=1-1893	YDR168W
506	OG0000506	snap_masked-Contig005504-processed-gene-4.52-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.52&CDS=1-2541	YPL190C
507	OG0000507	snap_masked-Contig005504-processed-gene-4.53-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.53&CDS=1-831	YIL106W
508	OG0000508	snap_masked-Contig005504-processed-gene-4.73-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.73&CDS=1-1491	YMR285C
509	OG0000509	snap_masked-Contig005504-processed-gene-4.54-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.54&CDS=1-969	YDR498C
510	OG0000510	snap_masked-Contig005504-processed-gene-4.74-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.74&CDS=1-1044	YMR315W
511	OG0000511	snap_masked-Contig005504-processed-gene-4.75-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.75&CDS=1-876	YLL027W
512	OG0000512	snap_masked-Contig005504-processed-gene-4.57-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.57&CDS=1-1083	YKR088C
513	OG0000513	snap_masked-Contig005504-processed-gene-4.81-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.81&CDS=1-1083	YKL151C
514	OG0000514	snap_masked-Contig005504-processed-gene-4.59-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.59&CDS=1-894	YKL150W
515	OG0000515	snap_masked-Contig005504-processed-gene-4.60-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.60&CDS=1-1251	YKL149C
516	OG0000516	augustus_masked-Contig005504-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-4.106&CDS=1-8514	YBL088C
517	OG0000517	snap_masked-Contig005504-processed-gene-4.65-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.65&CDS=1-2121	YPL184C
518	OG0000518	maker-Contig005504-snap-gene-4.0-mRNA-1_1&gene=maker-Contig005504-snap-gene-4.0&CDS=1-1269	YOR008C
519	OG0000519	snap_masked-Contig005504-processed-gene-4.89-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.89&CDS=1-1890	YPL210C
520	OG0000520	snap_masked-Contig005504-processed-gene-4.70-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.70&CDS=1-987	YPL215W
521	OG0000521	snap_masked-Contig005504-processed-gene-4.71-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.71&CDS=1-930	YAL032C
522	OG0000522	snap_masked-Contig005504-processed-gene-5.41-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.41&CDS=1-1734	YDR531W
523	OG0000523	snap_masked-Contig005504-processed-gene-5.43-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.43&CDS=1-1626	YPL112C
524	OG0000524	snap_masked-Contig005504-processed-gene-5.45-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.45&CDS=1-1179	YGR012W
525	OG0000525	augustus_masked-Contig005504-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-5.5&CDS=1-636	YDR318W
526	OG0000526	snap_masked-Contig005504-processed-gene-5.47-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.47&CDS=1-756	YDR226W
527	OG0000527	snap_masked-Contig005504-processed-gene-5.61-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.61&CDS=1-1530	YDR228C
528	OG0000528	augustus_masked-Contig005504-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-5.7&CDS=1-1143	YDL198C
529	OG0000529	augustus_masked-Contig005504-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-5.21&CDS=1-1587	YNL193W
530	OG0000530	maker-Contig005504-snap-gene-5.85-mRNA-1_1&gene=maker-Contig005504-snap-gene-5.85&CDS=1-1140	YOL127W
531	OG0000531	snap_masked-Contig005504-processed-gene-5.50-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.50&CDS=1-1215	YNL307C
532	OG0000532	snap_masked-Contig005504-processed-gene-5.64-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.64&CDS=1-549	YOL129W
533	OG0000533	snap_masked-Contig005504-processed-gene-5.51-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.51&CDS=1-1026	YBR175W
534	OG0000534	snap_masked-Contig005504-processed-gene-5.65-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.65&CDS=1-1524	YDR523C
535	OG0000535	snap_masked-Contig005504-processed-gene-5.52-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.52&CDS=1-1257	YPL060W
536	OG0000536	snap_masked-Contig005504-processed-gene-5.66-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.66&CDS=1-4905	YGL206C
537	OG0000537	snap_masked-Contig005504-processed-gene-5.53-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.53&CDS=1-3453	YKR090W
538	OG0000538	snap_masked-Contig005504-processed-gene-5.68-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.68&CDS=1-1908	YKL029C
539	OG0000539	snap_masked-Contig005504-processed-gene-5.54-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.54&CDS=1-2193	YLR144C
540	OG0000540	snap_masked-Contig005504-processed-gene-5.70-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.70&CDS=1-2520	YDR485C
541	OG0000541	snap_masked-Contig005504-processed-gene-5.55-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.55&CDS=1-954	YOL096C
542	OG0000542	snap_masked-Contig005504-processed-gene-5.71-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.71&CDS=1-654	YDR486C
543	OG0000543	augustus_masked-Contig005504-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-5.31&CDS=1-447	YNL281W
544	OG0000544	snap_masked-Contig005504-processed-gene-5.73-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.73&CDS=1-1719	YLR276C
545	OG0000545	snap_masked-Contig005504-processed-gene-5.74-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.74&CDS=1-1293	YHL008C
546	OG0000546	snap_masked-Contig005504-processed-gene-5.75-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-5.75&CDS=1-1083	YCR066W
