	OrthologID	Kuraishia_capsulata	Saccharomyces_cerevisiae
717	OG0000717	genemark-HG793125-processed-gene-10.99-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.99&CDS=1-2799	YPL268W
718	OG0000718	genemark-HG793125-processed-gene-10.101-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.101&CDS=1-921	YNR003C
719	OG0000719	genemark-HG793125-processed-gene-10.103-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.103&CDS=1-1083	YDR354W
720	OG0000720	maker-HG793125-snap-gene-10.0-mRNA-1_1&gene=maker-HG793125-snap-gene-10.0&CDS=1-1554	YHR107C
721	OG0000721	genemark-HG793125-processed-gene-10.105-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.105&CDS=1-366	YER072W
722	OG0000722	maker-HG793125-augustus-gene-10.65-mRNA-1_1&gene=maker-HG793125-augustus-gene-10.65&CDS=1-3318	YJL088W
723	OG0000723	genemark-HG793125-processed-gene-10.78-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.78&CDS=1-2559	YLR166C
724	OG0000724	snap_masked-HG793125-processed-gene-10.44-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-10.44&CDS=1-4602	YDR180W
725	OG0000725	genemark-HG793125-processed-gene-10.79-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.79&CDS=1-1104	YDR202C
726	OG0000726	genemark-HG793125-processed-gene-10.111-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.111&CDS=1-1668	YDL225W
727	OG0000727	genemark-HG793125-processed-gene-10.80-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.80&CDS=1-702	YNL200C
728	OG0000728	genemark-HG793125-processed-gene-10.81-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.81&CDS=1-2616	YNL201C
729	OG0000729	genemark-HG793125-processed-gene-10.82-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.82&CDS=1-849	YNL202W
730	OG0000730	genemark-HG793125-processed-gene-10.83-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.83&CDS=1-1020	YDL226C
731	OG0000731	genemark-HG793125-processed-gene-10.84-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.84&CDS=1-564	YMR134W
732	OG0000732	genemark-HG793125-processed-gene-10.113-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.113&CDS=1-1023	YMR135C
733	OG0000733	genemark-HG793125-processed-gene-10.114-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.114&CDS=1-1248	YLR027C
734	OG0000734	genemark-HG793125-processed-gene-10.85-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.85&CDS=1-630	YDR183W
735	OG0000735	genemark-HG793125-processed-gene-10.87-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.87&CDS=1-894	YDR204W
736	OG0000736	maker-HG793125-snap-gene-10.1-mRNA-1_1&gene=maker-HG793125-snap-gene-10.1&CDS=1-360	YLR245C
737	OG0000737	genemark-HG793125-processed-gene-10.117-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.117&CDS=1-705	YDR196C
738	OG0000738	snap_masked-HG793125-processed-gene-10.26-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-10.26&CDS=1-1224	YDR198C
739	OG0000739	genemark-HG793125-processed-gene-10.119-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.119&CDS=1-528	YMR035W
740	OG0000740	genemark-HG793125-processed-gene-10.91-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.91&CDS=1-705	YMR038C
741	OG0000741	genemark-HG793125-processed-gene-10.122-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.122&CDS=1-1293	YGL215W
742	OG0000742	augustus_masked-HG793125-processed-gene-10.176-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-10.176&CDS=1-438	YDR357C
743	OG0000743	genemark-HG793125-processed-gene-10.93-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.93&CDS=1-1746	YHR108W
744	OG0000744	genemark-HG793125-processed-gene-10.124-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.124&CDS=1-2397	YML035C
745	OG0000745	genemark-HG793125-processed-gene-10.94-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.94&CDS=1-2832	YDL031W
746	OG0000746	genemark-HG793125-processed-gene-10.96-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.96&CDS=1-1182	YNL175C
747	OG0000747	genemark-HG793125-processed-gene-10.125-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.125&CDS=1-915	YKR026C
748	OG0000748	augustus_masked-HG793125-processed-gene-10.152-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-10.152&CDS=1-2532	YJL102W
749	OG0000749	genemark-HG793125-processed-gene-10.98-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.98&CDS=1-741	YNL312W
750	OG0000750	genemark-HG793125-processed-gene-11.11-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.11&CDS=1-4641	YLR247C
751	OG0000751	genemark-HG793125-processed-gene-11.9-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.9&CDS=1-3144	YNL014W
752	OG0000752	maker-HG793125-augustus-gene-11.64-mRNA-1_1&gene=maker-HG793125-augustus-gene-11.64&CDS=1-2289	YNL011C
753	OG0000753	genemark-HG793125-processed-gene-11.12-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.12&CDS=1-726	YNL010W
754	OG0000754	genemark-HG793125-processed-gene-11.13-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.13&CDS=1-1941	YDL028C
755	OG0000755	genemark-HG793125-processed-gene-11.41-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.41&CDS=1-1161	YDL029W
756	OG0000756	genemark-HG793125-processed-gene-11.14-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.14&CDS=1-1206	YPR108W
757	OG0000757	maker-HG793125-snap-gene-11.3-mRNA-1_1&gene=maker-HG793125-snap-gene-11.3&CDS=1-1266	YCL008C
758	OG0000758	augustus_masked-HG793125-processed-gene-11.74-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-11.74&CDS=1-228	YCL005W-A
759	OG0000759	genemark-HG793125-processed-gene-11.44-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.44&CDS=1-1713	YBR293W
760	OG0000760	genemark-HG793125-processed-gene-11.16-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.16&CDS=1-1113	YER107C
761	OG0000761	genemark-HG793125-processed-gene-11.17-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.17&CDS=1-2163	YER109C
762	OG0000762	genemark-HG793125-processed-gene-11.47-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.47&CDS=1-1419	YBL082C
763	OG0000763	genemark-HG793125-processed-gene-11.48-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.48&CDS=1-3297	YER110C
764	OG0000764	genemark-HG793125-processed-gene-11.49-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.49&CDS=1-867	YNL229C
765	OG0000765	genemark-HG793125-processed-gene-11.19-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.19&CDS=1-579	YMR043W
766	OG0000766	genemark-HG793125-processed-gene-11.50-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.50&CDS=1-1068	YKL114C
767	OG0000767	snap_masked-HG793125-processed-gene-11.131-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-11.131&CDS=1-1515	YNL193W
768	OG0000768	genemark-HG793125-processed-gene-11.22-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.22&CDS=1-933	YMR003W
769	OG0000769	genemark-HG793125-processed-gene-11.23-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.23&CDS=1-1452	YOL049W
770	OG0000770	genemark-HG793125-processed-gene-11.54-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.54&CDS=1-1257	YOL041C
771	OG0000771	maker-HG793125-snap-gene-11.2-mRNA-1_1&gene=maker-HG793125-snap-gene-11.2&CDS=1-1071	YAL013W
772	OG0000772	genemark-HG793125-processed-gene-11.55-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.55&CDS=1-420	YOL040C
773	OG0000773	genemark-HG793125-processed-gene-11.28-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.28&CDS=1-1176	YAL012W
774	OG0000774	snap_masked-HG793125-processed-gene-11.166-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-11.166&CDS=1-1752	YIL072W
775	OG0000775	genemark-HG793125-processed-gene-11.30-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.30&CDS=1-1833	YER080W
776	OG0000776	genemark-HG793125-processed-gene-11.34-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.34&CDS=1-333	YKL138C
777	OG0000777	genemark-HG793125-processed-gene-11.35-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.35&CDS=1-285	YKL137W
778	OG0000778	genemark-HG793125-processed-gene-11.37-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.37&CDS=1-5610	YGR217W
779	OG0000779	genemark-HG793125-processed-gene-11.59-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.59&CDS=1-2241	YGR211W
780	OG0000780	genemark-HG793125-processed-gene-11.38-mRNA-1_1&gene=genemark-HG793125-processed-gene-11.38&CDS=1-1320	YEL036C
781	OG0000781	snap_masked-HG793125-processed-gene-11.171-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-11.171&CDS=1-1713	YJL163C
782	OG0000782	genemark-HG793125-processed-gene-12.51-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.51&CDS=1-1350	YLR403W
783	OG0000783	augustus_masked-HG793125-processed-gene-12.2-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-12.2&CDS=1-3636	YOR191W
784	OG0000784	genemark-HG793125-processed-gene-12.52-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.52&CDS=1-2484	YDL040C
785	OG0000785	maker-HG793125-augustus-gene-12.158-mRNA-1_1&gene=maker-HG793125-augustus-gene-12.158&CDS=1-1398	YOL067C
786	OG0000786	genemark-HG793125-processed-gene-12.57-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.57&CDS=1-1479	YDR168W
787	OG0000787	genemark-HG793125-processed-gene-12.79-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.79&CDS=1-423	YOL071W
788	OG0000788	genemark-HG793125-processed-gene-12.58-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.58&CDS=1-1737	YAL058W
789	OG0000789	genemark-HG793125-processed-gene-12.80-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.80&CDS=1-939	YBR228W
790	OG0000790	genemark-HG793125-processed-gene-12.81-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.81&CDS=1-660	YDL043C
791	OG0000791	genemark-HG793125-processed-gene-12.60-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.60&CDS=1-687	YKL195W
792	OG0000792	snap_masked-HG793125-processed-gene-12.135-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-12.135&CDS=1-2265	YLR424W
793	OG0000793	snap_masked-HG793125-processed-gene-12.114-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-12.114&CDS=1-1371	YLR423C
794	OG0000794	genemark-HG793125-processed-gene-12.62-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.62&CDS=1-612	YDL072C
795	OG0000795	genemark-HG793125-processed-gene-12.83-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.83&CDS=1-1902	YLR401C
796	OG0000796	genemark-HG793125-processed-gene-12.63-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.63&CDS=1-1053	YLR405W
797	OG0000797	genemark-HG793125-processed-gene-12.64-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.64&CDS=1-1641	YDL076C
798	OG0000798	genemark-HG793125-processed-gene-12.65-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.65&CDS=1-816	YLR407W
799	OG0000799	snap_masked-HG793125-processed-gene-12.119-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-12.119&CDS=1-3015	YDL077C
800	OG0000800	genemark-HG793125-processed-gene-12.87-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.87&CDS=1-2820	YLR409C
801	OG0000801	genemark-HG793125-processed-gene-12.67-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.67&CDS=1-3144	YLR410W
802	OG0000802	genemark-HG793125-processed-gene-12.88-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.88&CDS=1-918	YDR352W
803	OG0000803	genemark-HG793125-processed-gene-12.89-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.89&CDS=1-1725	YDR294C
804	OG0000804	genemark-HG793125-processed-gene-12.71-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.71&CDS=1-1434	YML007W
805	OG0000805	snap_masked-HG793125-processed-gene-12.148-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-12.148&CDS=1-2391	YEL053C
806	OG0000806	genemark-HG793125-processed-gene-12.96-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.96&CDS=1-615	YDR298C
807	OG0000807	genemark-HG793125-processed-gene-12.72-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.72&CDS=1-1134	YEL050C
808	OG0000808	genemark-HG793125-processed-gene-12.98-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.98&CDS=1-774	YEL051W
809	OG0000809	snap_masked-HG793125-processed-gene-12.126-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-12.126&CDS=1-2571	YDR416W
810	OG0000810	genemark-HG793125-processed-gene-12.99-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.99&CDS=1-1455	YEL052W
811	OG0000811	genemark-HG793125-processed-gene-12.74-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.74&CDS=1-2286	YDR324C
812	OG0000812	genemark-HG793125-processed-gene-12.75-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.75&CDS=1-693	YMR087W
813	OG0000813	genemark-HG793125-processed-gene-12.101-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.101&CDS=1-1602	YMR088C
814	OG0000814	genemark-HG793125-processed-gene-12.102-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.102&CDS=1-2532	YMR049C
815	OG0000815	genemark-HG793125-processed-gene-12.78-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.78&CDS=1-936	YOR239W
816	OG0000816	maker-HG793125-snap-gene-13.2-mRNA-1_1&gene=maker-HG793125-snap-gene-13.2&CDS=1-864	YPL149W
817	OG0000817	genemark-HG793125-processed-gene-13.56-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.56&CDS=1-2307	YPL150W
818	OG0000818	genemark-HG793125-processed-gene-13.59-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.59&CDS=1-441	YPL170W
819	OG0000819	genemark-HG793125-processed-gene-13.61-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.61&CDS=1-1317	YPL175W
820	OG0000820	genemark-HG793125-processed-gene-13.62-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.62&CDS=1-486	YOR257W
821	OG0000821	genemark-HG793125-processed-gene-13.63-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.63&CDS=1-942	YPL173W
822	OG0000822	genemark-HG793125-processed-gene-13.82-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.82&CDS=1-1236	YOR259C
823	OG0000823	genemark-HG793125-processed-gene-13.64-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.64&CDS=1-1350	YOR260W
824	OG0000824	snap_masked-HG793125-processed-gene-13.33-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-13.33&CDS=1-1995	YBR163W
825	OG0000825	genemark-HG793125-processed-gene-13.68-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.68&CDS=1-3291	YPL160W
826	OG0000826	genemark-HG793125-processed-gene-13.84-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.84&CDS=1-978	YOR246C
827	OG0000827	genemark-HG793125-processed-gene-13.69-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.69&CDS=1-738	YGR195W
828	OG0000828	genemark-HG793125-processed-gene-13.86-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.86&CDS=1-2337	YHL023C
829	OG0000829	genemark-HG793125-processed-gene-13.87-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.87&CDS=1-2898	YLL032C
830	OG0000830	genemark-HG793125-processed-gene-13.71-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.71&CDS=1-327	YLR364W
831	OG0000831	genemark-HG793125-processed-gene-13.88-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.88&CDS=1-2352	YKL134C
832	OG0000832	genemark-HG793125-processed-gene-13.89-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.89&CDS=1-1659	YPL086C
833	OG0000833	snap_masked-HG793125-processed-gene-13.24-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-13.24&CDS=1-6033	YPL085W
834	OG0000834	genemark-HG793125-processed-gene-13.75-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.75&CDS=1-1377	YJL203W
835	OG0000835	genemark-HG793125-processed-gene-13.92-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.92&CDS=1-1542	YBR182C
836	OG0000836	augustus_masked-HG793125-processed-gene-13.140-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-13.140&CDS=1-1791	YMR036C
837	OG0000837	genemark-HG793125-processed-gene-13.94-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.94&CDS=1-1086	YER130C
838	OG0000838	genemark-HG793125-processed-gene-13.96-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.96&CDS=1-1344	YMR033W
839	OG0000839	genemark-HG793125-processed-gene-13.77-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.77&CDS=1-234	YHR001W-A
840	OG0000840	genemark-HG793125-processed-gene-13.99-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.99&CDS=1-2910	YJL156C
841	OG0000841	genemark-HG793125-processed-gene-13.78-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.78&CDS=1-945	YLR393W
842	OG0000842	genemark-HG793125-processed-gene-13.100-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.100&CDS=1-1356	YJL155C
843	OG0000843	maker-HG793125-snap-gene-13.1-mRNA-1_1&gene=maker-HG793125-snap-gene-13.1&CDS=1-3945	YLR398C
844	OG0000844	genemark-HG793125-processed-gene-14.53-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.53&CDS=1-1332	YDR448W
845	OG0000845	genemark-HG793125-processed-gene-14.77-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.77&CDS=1-1245	YDR449C
846	OG0000846	genemark-HG793125-processed-gene-14.57-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.57&CDS=1-825	YML025C
847	OG0000847	augustus_masked-HG793125-processed-gene-14.16-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-14.16&CDS=1-468	YDR286C
848	OG0000848	genemark-HG793125-processed-gene-14.65-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.65&CDS=1-921	YDR284C
849	OG0000849	genemark-HG793125-processed-gene-14.84-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.84&CDS=1-1974	YMR224C
850	OG0000850	genemark-HG793125-processed-gene-14.67-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.67&CDS=1-5070	YDR283C
851	OG0000851	genemark-HG793125-processed-gene-14.68-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.68&CDS=1-2853	YJL020C
852	OG0000852	genemark-HG793125-processed-gene-14.85-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.85&CDS=1-1752	YLR006C
853	OG0000853	genemark-HG793125-processed-gene-14.86-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.86&CDS=1-1080	YGR169C
854	OG0000854	augustus_masked-HG793125-processed-gene-14.21-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-14.21&CDS=1-2793	YBR229C
855	OG0000855	maker-HG793125-snap-gene-14.156-mRNA-1_1&gene=maker-HG793125-snap-gene-14.156&CDS=1-444	YHR175W
856	OG0000856	genemark-HG793125-processed-gene-14.88-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.88&CDS=1-1449	YGR175C
857	OG0000857	maker-HG793125-augustus-gene-14.147-mRNA-1_1&gene=maker-HG793125-augustus-gene-14.147&CDS=1-2142	YBR094W
858	OG0000858	genemark-HG793125-processed-gene-14.89-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.89&CDS=1-987	YBR095C
859	OG0000859	genemark-HG793125-processed-gene-14.90-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.90&CDS=1-2217	YMR165C
860	OG0000860	genemark-HG793125-processed-gene-14.71-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.71&CDS=1-774	YBR088C
861	OG0000861	genemark-HG793125-processed-gene-14.91-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.91&CDS=1-537	YPR051W
862	OG0000862	snap_masked-HG793125-processed-gene-14.122-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-14.122&CDS=1-4044	YPR049C
863	OG0000863	maker-HG793125-snap-gene-14.159-mRNA-1_1&gene=maker-HG793125-snap-gene-14.159&CDS=1-2994	YPR047W
864	OG0000864	genemark-HG793125-processed-gene-14.74-mRNA-1_1&gene=genemark-HG793125-processed-gene-14.74&CDS=1-654	YBL038W
865	OG0000865	genemark-HG793125-processed-gene-15.4-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.4&CDS=1-1068	YBR087W
866	OG0000866	snap_masked-HG793125-processed-gene-15.47-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-15.47&CDS=1-1299	YHL020C
867	OG0000867	genemark-HG793125-processed-gene-15.1-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.1&CDS=1-666	YKL041W
868	OG0000868	augustus_masked-HG793125-processed-gene-15.116-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-15.116&CDS=1-1050	YHR083W
869	OG0000869	genemark-HG793125-processed-gene-15.7-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.7&CDS=1-1590	YHR084W
870	OG0000870	genemark-HG793125-processed-gene-15.8-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.8&CDS=1-2484	YHR082C
871	OG0000871	snap_masked-HG793125-processed-gene-15.76-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-15.76&CDS=1-1881	YOR138C
872	OG0000872	augustus_masked-HG793125-processed-gene-15.140-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-15.140&CDS=1-564	YDR339C
873	OG0000873	maker-HG793125-augustus-gene-15.96-mRNA-1_1&gene=maker-HG793125-augustus-gene-15.96&CDS=1-13044	YHR099W
874	OG0000874	genemark-HG793125-processed-gene-15.30-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.30&CDS=1-615	YHR100C
875	OG0000875	genemark-HG793125-processed-gene-15.12-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.12&CDS=1-1851	YDR266C
876	OG0000876	genemark-HG793125-processed-gene-15.31-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.31&CDS=1-1014	YDR265W
877	OG0000877	augustus_masked-HG793125-processed-gene-15.125-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-15.125&CDS=1-606	YOR021C
878	OG0000878	snap_masked-HG793125-processed-gene-15.80-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-15.80&CDS=1-1974	YOR022C
879	OG0000879	genemark-HG793125-processed-gene-15.34-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.34&CDS=1-426	YML030W
880	OG0000880	genemark-HG793125-processed-gene-15.35-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.35&CDS=1-564	YDR454C
881	OG0000881	genemark-HG793125-processed-gene-15.15-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.15&CDS=1-1884	YDR456W
882	OG0000882	genemark-HG793125-processed-gene-15.17-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.17&CDS=1-2457	YOL023W
883	OG0000883	augustus_masked-HG793125-processed-gene-15.148-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-15.148&CDS=1-1089	YER046W
884	OG0000884	genemark-HG793125-processed-gene-15.18-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.18&CDS=1-1665	YCR023C
885	OG0000885	snap_masked-HG793125-processed-gene-15.66-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-15.66&CDS=1-1200	YOR352W
886	OG0000886	genemark-HG793125-processed-gene-15.41-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.41&CDS=1-801	YEL021W
887	OG0000887	genemark-HG793125-processed-gene-15.22-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.22&CDS=1-261	YEL020W-A
888	OG0000888	genemark-HG793125-processed-gene-15.23-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.23&CDS=1-831	YEL019C
889	OG0000889	augustus_masked-HG793125-processed-gene-15.153-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-15.153&CDS=1-1026	YMR146C
890	OG0000890	genemark-HG793125-processed-gene-15.25-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.25&CDS=1-1974	YIL046W
891	OG0000891	genemark-HG793125-processed-gene-15.27-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.27&CDS=1-381	YPR153W
892	OG0000892	snap_masked-HG793125-processed-gene-15.75-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-15.75&CDS=1-1356	YGL175C
893	OG0000893	augustus_masked-HG793125-processed-gene-15.154-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-15.154&CDS=1-4224	YHR079C
894	OG0000894	genemark-HG793125-processed-gene-16.94-mRNA-1_1&gene=genemark-HG793125-processed-gene-16.94&CDS=1-2328	YLR386W
895	OG0000895	snap_masked-HG793125-processed-gene-16.48-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-16.48&CDS=1-1998	YER077C
896	OG0000896	genemark-HG793125-processed-gene-16.98-mRNA-1_1&gene=genemark-HG793125-processed-gene-16.98&CDS=1-1524	YER078C
897	OG0000897	genemark-HG793125-processed-gene-16.96-mRNA-1_1&gene=genemark-HG793125-processed-gene-16.96&CDS=1-351	YGR215W
898	OG0000898	augustus_masked-HG793125-processed-gene-16.28-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-16.28&CDS=1-1668	YGR216C
899	OG0000899	genemark-HG793125-processed-gene-16.100-mRNA-1_1&gene=genemark-HG793125-processed-gene-16.100&CDS=1-2265	YLR047C
900	OG0000900	maker-HG793125-snap-gene-16.150-mRNA-1_1&gene=maker-HG793125-snap-gene-16.150&CDS=1-1473	YGR225W
901	OG0000901	augustus_masked-HG793125-processed-gene-16.30-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-16.30&CDS=1-1644	YHR151C
902	OG0000902	genemark-HG793125-processed-gene-16.102-mRNA-1_1&gene=genemark-HG793125-processed-gene-16.102&CDS=1-1386	YGR227W
903	OG0000903	genemark-HG793125-processed-gene-16.105-mRNA-1_1&gene=genemark-HG793125-processed-gene-16.105&CDS=1-450	YOR298C-A
904	OG0000904	genemark-HG793125-processed-gene-16.106-mRNA-1_1&gene=genemark-HG793125-processed-gene-16.106&CDS=1-1224	YMR235C
905	OG0000905	genemark-HG793125-processed-gene-16.107-mRNA-1_1&gene=genemark-HG793125-processed-gene-16.107&CDS=1-2136	YAL053W
906	OG0000906	genemark-HG793125-processed-gene-16.131-mRNA-1_1&gene=genemark-HG793125-processed-gene-16.131&CDS=1-717	YAL049C
