	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035325_Cyberlindnera_petersonii
871	OG0000871	YDL074C	augustus_masked-NODE_15_length_211478_cov_17.7056_ID_25865-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_15_length_211478_cov_17.7056_ID_25865-processed-gene-0.95&CDS=1-2022
872	OG0000872	YDL076C	augustus_masked-NODE_15_length_211478_cov_17.7056_ID_25865-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NODE_15_length_211478_cov_17.7056_ID_25865-processed-gene-0.101&CDS=1-1815
873	OG0000873	YDL077C	augustus_masked-NODE_15_length_211478_cov_17.7056_ID_25865-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_15_length_211478_cov_17.7056_ID_25865-processed-gene-0.99&CDS=1-2463
874	OG0000874	YDL081C	augustus_masked-NODE_70_length_27900_cov_18.9237_ID_34954-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_70_length_27900_cov_18.9237_ID_34954-processed-gene-0.36&CDS=1-321
875	OG0000875	YDL084W	augustus_masked-NODE_47_length_89825_cov_18.2994_ID_21436-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_47_length_89825_cov_18.2994_ID_21436-processed-gene-0.64&CDS=1-1272
876	OG0000876	YDL086W	augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.92&CDS=1-816
877	OG0000877	YDL087C	augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.100&CDS=1-708
878	OG0000878	YDL088C	augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.75&CDS=1-1392
879	OG0000879	YDL090C	augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.72&CDS=1-1356
880	OG0000880	YDL092W	augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.69&CDS=1-399
881	OG0000881	YDL095W	augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.79&CDS=1-2223
882	OG0000882	YDL097C	augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.99&CDS=1-1257
883	OG0000883	YDL098C	augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.133&CDS=1-600
884	OG0000884	YDL099W	augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.96&CDS=1-936
885	OG0000885	YDL100C	augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.90&CDS=1-1011
886	OG0000886	YDL101C	augustus_masked-NODE_20_length_193200_cov_17.5901_ID_27403-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_20_length_193200_cov_17.5901_ID_27403-processed-gene-0.67&CDS=1-1464
887	OG0000887	YDL102W	augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-0.106&CDS=1-3333
888	OG0000888	YDL104C	augustus_masked-NODE_43_length_92930_cov_18.5896_ID_19939-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_43_length_92930_cov_18.5896_ID_19939-processed-gene-0.39&CDS=1-1164
889	OG0000889	YDL105W	augustus_masked-NODE_43_length_92930_cov_18.5896_ID_19939-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_43_length_92930_cov_18.5896_ID_19939-processed-gene-0.20&CDS=1-1242
890	OG0000890	YDL106C	augustus_masked-NODE_5_length_397984_cov_19.4042_ID_26889-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-NODE_5_length_397984_cov_19.4042_ID_26889-processed-gene-2.20&CDS=1-1407
891	OG0000891	YDL107W	augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-0.95&CDS=1-1170
892	OG0000892	YDL110C	augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.54&CDS=1-462
893	OG0000893	YDL111C	augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.56&CDS=1-792
894	OG0000894	YDL112W	augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.98&CDS=1-4083
895	OG0000895	YDL115C	maker-NODE_3_length_431969_cov_17.8048_ID_21979-snap-gene-3.86-mRNA-1_1&gene=maker-NODE_3_length_431969_cov_17.8048_ID_21979-snap-gene-3.86&CDS=1-957
896	OG0000896	YDL116W	augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.74&CDS=1-2157
897	OG0000897	YDL117W	maker-NODE_2_length_519856_cov_18.5175_ID_27830-augustus-gene-1.54-mRNA-1_1&gene=maker-NODE_2_length_519856_cov_18.5175_ID_27830-augustus-gene-1.54&CDS=1-4407
898	OG0000898	YDL119C	augustus_masked-NODE_28_length_160419_cov_18.3281_ID_24031-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-NODE_28_length_160419_cov_18.3281_ID_24031-processed-gene-0.145&CDS=1-1740
899	OG0000899	YDL120W	augustus_masked-NODE_22_length_190147_cov_18.853_ID_25064-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-NODE_22_length_190147_cov_18.853_ID_25064-processed-gene-0.136&CDS=1-498
900	OG0000900	YDL122W	maker-NODE_5_length_397984_cov_19.4042_ID_26889-snap-gene-1.148-mRNA-1_1&gene=maker-NODE_5_length_397984_cov_19.4042_ID_26889-snap-gene-1.148&CDS=1-2496
901	OG0000901	YDL124W	augustus_masked-NODE_10_length_296761_cov_18.6106_ID_21319-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_10_length_296761_cov_18.6106_ID_21319-processed-gene-0.3&CDS=1-885
902	OG0000902	YDL125C	augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.145&CDS=1-447
903	OG0000903	YDL126C	augustus_masked-NODE_44_length_92623_cov_18.0955_ID_23592-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_44_length_92623_cov_18.0955_ID_23592-processed-gene-0.23&CDS=1-2475
904	OG0000904	YDL128W	augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-4.2&CDS=1-1203
905	OG0000905	YDL130W	maker-NODE_46_length_90933_cov_17.3215_ID_19787-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_46_length_90933_cov_17.3215_ID_19787-augustus-gene-0.0&CDS=1-321
906	OG0000906	YDL131W	augustus_masked-NODE_37_length_113152_cov_18.0236_ID_25423-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-NODE_37_length_113152_cov_18.0236_ID_25423-processed-gene-0.153&CDS=1-1356
907	OG0000907	YDL132W	augustus_masked-NODE_37_length_113152_cov_18.0236_ID_25423-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-NODE_37_length_113152_cov_18.0236_ID_25423-processed-gene-0.140&CDS=1-2352
908	OG0000908	YDL134C	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.76&CDS=1-1062
909	OG0000909	YDL135C	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.77&CDS=1-600
910	OG0000910	YDL139C	snap_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-3.138-mRNA-1_1&gene=snap_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-3.138&CDS=1-1074
911	OG0000911	YDL140C	maker-NODE_4_length_409325_cov_17.9207_ID_19404-augustus-gene-1.0-mRNA-1_1&gene=maker-NODE_4_length_409325_cov_17.9207_ID_19404-augustus-gene-1.0&CDS=1-5295
912	OG0000912	YDL141W	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.70&CDS=1-2007
913	OG0000913	YDL143W	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.68&CDS=1-1578
914	OG0000914	YDL144C	augustus_masked-NODE_61_length_45559_cov_17.5679_ID_23401-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_61_length_45559_cov_17.5679_ID_23401-processed-gene-0.3&CDS=1-1020
915	OG0000915	YDL145C	maker-NODE_4_length_409325_cov_17.9207_ID_19404-augustus-gene-1.3-mRNA-1_1&gene=maker-NODE_4_length_409325_cov_17.9207_ID_19404-augustus-gene-1.3&CDS=1-3591
916	OG0000916	YDL146W	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.66&CDS=1-1311
917	OG0000917	YDL147W	maker-NODE_4_length_409325_cov_17.9207_ID_19404-augustus-gene-1.1-mRNA-1_1&gene=maker-NODE_4_length_409325_cov_17.9207_ID_19404-augustus-gene-1.1&CDS=1-1335
918	OG0000918	YDL148C	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.82&CDS=1-2451
919	OG0000919	YDL149W	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.64&CDS=1-2520
920	OG0000920	YDL150W	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.67&CDS=1-1167
921	OG0000921	YDL153C	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.63&CDS=1-1749
922	OG0000922	YDL154W	snap_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.129-mRNA-1_1&gene=snap_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.129&CDS=1-2346
923	OG0000923	YDL156W	augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-2.96&CDS=1-1557
924	OG0000924	YDL157C	augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-2.70&CDS=1-303
925	OG0000925	YDL159W	augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-2.97&CDS=1-1395
926	OG0000926	YDL160C	augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-2.71&CDS=1-1734
927	OG0000927	YDL164C	augustus_masked-NODE_15_length_211478_cov_17.7056_ID_25865-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-NODE_15_length_211478_cov_17.7056_ID_25865-processed-gene-1.152&CDS=1-2325
928	OG0000928	YDL165W	augustus_masked-NODE_31_length_147104_cov_19.6141_ID_21515-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_31_length_147104_cov_19.6141_ID_21515-processed-gene-0.79&CDS=1-669
929	OG0000929	YDL166C	augustus_masked-NODE_31_length_147104_cov_19.6141_ID_21515-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_31_length_147104_cov_19.6141_ID_21515-processed-gene-0.110&CDS=1-552
930	OG0000930	YDL167C	augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.86&CDS=1-1701
931	OG0000931	YDL168W	augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.88&CDS=1-1143
932	OG0000932	YDL169C	augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.67&CDS=1-780
933	OG0000933	YDL170W	augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-2.93&CDS=1-2196
934	OG0000934	YDL171C	augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-2.69&CDS=1-6390
935	OG0000935	YDL177C	augustus_masked-NODE_19_length_205038_cov_20.2467_ID_287426-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-NODE_19_length_205038_cov_20.2467_ID_287426-processed-gene-1.80&CDS=1-441
936	OG0000936	YDL178W	augustus_masked-NODE_19_length_205038_cov_20.2467_ID_287426-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-NODE_19_length_205038_cov_20.2467_ID_287426-processed-gene-1.111&CDS=1-1632
937	OG0000937	YDL180W	augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-4.0&CDS=1-1083
938	OG0000938	YDL181W	augustus_masked-NODE_37_length_113152_cov_18.0236_ID_25423-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-NODE_37_length_113152_cov_18.0236_ID_25423-processed-gene-0.129&CDS=1-258
939	OG0000939	YDL183C	augustus_masked-NODE_26_length_167395_cov_18.7791_ID_26584-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-NODE_26_length_167395_cov_18.7791_ID_26584-processed-gene-0.196&CDS=1-930
940	OG0000940	YDL185W	augustus_masked-NODE_26_length_167395_cov_18.7791_ID_26584-processed-gene-0.197-mRNA-1_1&gene=augustus_masked-NODE_26_length_167395_cov_18.7791_ID_26584-processed-gene-0.197&CDS=1-3183
941	OG0000941	YDL189W	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.93&CDS=1-1296
942	OG0000942	YDL190C	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.78&CDS=1-3126
943	OG0000943	YDL193W	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.96&CDS=1-984
944	OG0000944	YDL195W	augustus_masked-NODE_26_length_167395_cov_18.7791_ID_26584-processed-gene-0.183-mRNA-1_1&gene=augustus_masked-NODE_26_length_167395_cov_18.7791_ID_26584-processed-gene-0.183&CDS=1-3618
945	OG0000945	YDL198C	augustus_masked-NODE_7_length_378302_cov_18.1305_ID_20891-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-NODE_7_length_378302_cov_18.1305_ID_20891-processed-gene-1.83&CDS=1-906
946	OG0000946	YDL201W	augustus_masked-NODE_27_length_163733_cov_18.9882_ID_21625-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-NODE_27_length_163733_cov_18.9882_ID_21625-processed-gene-0.154&CDS=1-885
947	OG0000947	YDL202W	augustus_masked-NODE_7_length_378302_cov_18.1305_ID_20891-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-NODE_7_length_378302_cov_18.1305_ID_20891-processed-gene-1.88&CDS=1-714
948	OG0000948	YDL203C	snap_masked-NODE_28_length_160419_cov_18.3281_ID_24031-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NODE_28_length_160419_cov_18.3281_ID_24031-processed-gene-0.56&CDS=1-1500
949	OG0000949	YDL205C	augustus_masked-NODE_22_length_190147_cov_18.853_ID_25064-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-NODE_22_length_190147_cov_18.853_ID_25064-processed-gene-0.148&CDS=1-1227
950	OG0000950	YDL207W	augustus_masked-NODE_23_length_186255_cov_22.018_ID_27142-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_23_length_186255_cov_22.018_ID_27142-processed-gene-0.72&CDS=1-1716
951	OG0000951	YDL208W	augustus_masked-NODE_40_length_99991_cov_20.3342_ID_23277-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NODE_40_length_99991_cov_20.3342_ID_23277-processed-gene-0.132&CDS=1-456
952	OG0000952	YDL209C	augustus_masked-NODE_22_length_190147_cov_18.853_ID_25064-processed-gene-0.197-mRNA-1_1&gene=augustus_masked-NODE_22_length_190147_cov_18.853_ID_25064-processed-gene-0.197&CDS=1-957
953	OG0000953	YDL210W	augustus_masked-NODE_26_length_167395_cov_18.7791_ID_26584-processed-gene-0.223-mRNA-1_1&gene=augustus_masked-NODE_26_length_167395_cov_18.7791_ID_26584-processed-gene-0.223&CDS=1-1716
954	OG0000954	YDL212W	maker-NODE_46_length_90933_cov_17.3215_ID_19787-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_46_length_90933_cov_17.3215_ID_19787-augustus-gene-0.3&CDS=1-666
955	OG0000955	YDL213C	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-0.32&CDS=1-636
956	OG0000956	YDL215C	augustus_masked-NODE_18_length_205397_cov_17.6361_ID_19358-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-NODE_18_length_205397_cov_17.6361_ID_19358-processed-gene-1.135&CDS=1-3057
957	OG0000957	YDL217C	maker-NODE_9_length_306428_cov_22.0078_ID_53533-augustus-gene-0.144-mRNA-1_1&gene=maker-NODE_9_length_306428_cov_22.0078_ID_53533-augustus-gene-0.144&CDS=1-555
958	OG0000958	YDL219W	maker-NODE_9_length_306428_cov_22.0078_ID_53533-augustus-gene-2.178-mRNA-1_1&gene=maker-NODE_9_length_306428_cov_22.0078_ID_53533-augustus-gene-2.178&CDS=1-453
959	OG0000959	YDL225W	augustus_masked-NODE_9_length_306428_cov_22.0078_ID_53533-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NODE_9_length_306428_cov_22.0078_ID_53533-processed-gene-1.48&CDS=1-1485
960	OG0000960	YDL226C	augustus_masked-NODE_9_length_306428_cov_22.0078_ID_53533-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-NODE_9_length_306428_cov_22.0078_ID_53533-processed-gene-2.36&CDS=1-1101
961	OG0000961	YDL230W	snap_masked-NODE_25_length_173309_cov_21.0407_ID_21139-processed-gene-0.204-mRNA-1_1&gene=snap_masked-NODE_25_length_173309_cov_21.0407_ID_21139-processed-gene-0.204&CDS=1-945
962	OG0000962	YDL231C	augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-2.8&CDS=1-3240
963	OG0000963	YDL233W	augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-4.107&CDS=1-1581
964	OG0000964	YDL234C	maker-NODE_2_length_519856_cov_18.5175_ID_27830-augustus-gene-4.66-mRNA-1_1&gene=maker-NODE_2_length_519856_cov_18.5175_ID_27830-augustus-gene-4.66&CDS=1-3117
965	OG0000965	YDL235C	augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-4.106&CDS=1-393
966	OG0000966	YDL236W	augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-4.77&CDS=1-888
967	OG0000967	YDL238C	snap_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-4.0-mRNA-1_1&gene=snap_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-4.0&CDS=1-1398
968	OG0000968	YDL240W	augustus_masked-NODE_105_length_6438_cov_23.133_ID_323931-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_105_length_6438_cov_23.133_ID_323931-processed-gene-0.5&CDS=1-2448
969	OG0000969	YDR001C	augustus_masked-NODE_11_length_266742_cov_18.2589_ID_24963-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_11_length_266742_cov_18.2589_ID_24963-processed-gene-0.119&CDS=1-2319
970	OG0000970	YDR002W	augustus_masked-NODE_11_length_266742_cov_18.2589_ID_24963-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-NODE_11_length_266742_cov_18.2589_ID_24963-processed-gene-0.143&CDS=1-618
971	OG0000971	YDR004W	augustus_masked-NODE_13_length_223642_cov_19.6583_ID_20753-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NODE_13_length_223642_cov_19.6583_ID_20753-processed-gene-0.117&CDS=1-786
972	OG0000972	YDR005C	maker-NODE_13_length_223642_cov_19.6583_ID_20753-augustus-gene-0.139-mRNA-1_1&gene=maker-NODE_13_length_223642_cov_19.6583_ID_20753-augustus-gene-0.139&CDS=1-858
973	OG0000973	YDR006C	augustus_masked-NODE_61_length_45559_cov_17.5679_ID_23401-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_61_length_45559_cov_17.5679_ID_23401-processed-gene-0.14&CDS=1-2148
974	OG0000974	YDR007W	augustus_masked-NODE_27_length_163733_cov_18.9882_ID_21625-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NODE_27_length_163733_cov_18.9882_ID_21625-processed-gene-0.132&CDS=1-687
975	OG0000975	YDR013W	augustus_masked-NODE_7_length_378302_cov_18.1305_ID_20891-processed-gene-2.275-mRNA-1_1&gene=augustus_masked-NODE_7_length_378302_cov_18.1305_ID_20891-processed-gene-2.275&CDS=1-543
976	OG0000976	YDR016C	augustus_masked-NODE_7_length_378302_cov_18.1305_ID_20891-processed-gene-2.237-mRNA-1_1&gene=augustus_masked-NODE_7_length_378302_cov_18.1305_ID_20891-processed-gene-2.237&CDS=1-345
977	OG0000977	YDR017C	augustus_masked-NODE_12_length_266441_cov_18.2673_ID_22134-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-NODE_12_length_266441_cov_18.2673_ID_22134-processed-gene-1.54&CDS=1-2550
978	OG0000978	YDR019C	augustus_masked-NODE_46_length_90933_cov_17.3215_ID_19787-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_46_length_90933_cov_17.3215_ID_19787-processed-gene-0.73&CDS=1-1164
979	OG0000979	YDR020C	maker-NODE_1_length_520433_cov_19.9166_ID_24536-augustus-gene-4.132-mRNA-1_1&gene=maker-NODE_1_length_520433_cov_19.9166_ID_24536-augustus-gene-4.132&CDS=1-660
980	OG0000980	YDR021W	augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-4.39&CDS=1-1188
981	OG0000981	YDR023W	augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-0.72&CDS=1-1380
982	OG0000982	YDR026C	augustus_masked-NODE_31_length_147104_cov_19.6141_ID_21515-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_31_length_147104_cov_19.6141_ID_21515-processed-gene-0.86&CDS=1-1785
983	OG0000983	YDR027C	augustus_masked-NODE_31_length_147104_cov_19.6141_ID_21515-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_31_length_147104_cov_19.6141_ID_21515-processed-gene-0.116&CDS=1-2400
984	OG0000984	YDR031W	maker-NODE_23_length_186255_cov_22.018_ID_27142-augustus-gene-0.102-mRNA-1_1&gene=maker-NODE_23_length_186255_cov_22.018_ID_27142-augustus-gene-0.102&CDS=1-333
985	OG0000985	YDR034C	augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.85&CDS=1-1788
986	OG0000986	YDR036C	augustus_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-0.65&CDS=1-1431
987	OG0000987	YDR041W	augustus_masked-NODE_30_length_148411_cov_18.2798_ID_19616-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_30_length_148411_cov_18.2798_ID_19616-processed-gene-0.7&CDS=1-765
988	OG0000988	YDR043C	genemark-NODE_30_length_148411_cov_18.2798_ID_19616-processed-gene-0.116-mRNA-1_1&gene=genemark-NODE_30_length_148411_cov_18.2798_ID_19616-processed-gene-0.116&CDS=1-711
