	OrthologID	Pichia_membranifaciens	Saccharomyces_cerevisiae
201	OG0000201	maker-scaffold_1-snap-gene-24.3-mRNA-1_1&gene=maker-scaffold_1-snap-gene-24.3&CDS=1-4515, snap_masked-scaffold_2-processed-gene-1.55-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.55&CDS=1-1047	YMR287C
202	OG0000202	snap_masked-scaffold_1-processed-gene-24.70-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.70&CDS=1-1002	YHR198C, YHR199C
203	OG0000203	maker-scaffold_1-snap-gene-24.5-mRNA-1_1&gene=maker-scaffold_1-snap-gene-24.5&CDS=1-3996	YHL003C, YKL008C
204	OG0000204	snap_masked-scaffold_1-processed-gene-24.78-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.78&CDS=1-3639	YDR122W, YLR096W
205	OG0000205	snap_masked-scaffold_1-processed-gene-25.129-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.129&CDS=1-3201	YKL068W, YMR047C
206	OG0000206	snap_masked-scaffold_1-processed-gene-25.180-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.180&CDS=1-1044	YJL158C, YJL160C
207	OG0000207	snap_masked-scaffold_1-processed-gene-25.183-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.183&CDS=1-561	YOR226C, YPL135W
208	OG0000208	augustus_masked-scaffold_1-processed-gene-25.233-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.233&CDS=1-1077	YDL246C, YJR159W
209	OG0000209	snap_masked-scaffold_1-processed-gene-25.136-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.136&CDS=1-654	YML106W, YMR271C
210	OG0000210	maker-scaffold_1-snap-gene-25.6-mRNA-1_1&gene=maker-scaffold_1-snap-gene-25.6&CDS=1-1887	YOR231W, YPL140C
211	OG0000211	snap_masked-scaffold_1-processed-gene-25.163-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.163&CDS=1-831	YGR136W, YPR154W
212	OG0000212	snap_masked-scaffold_1-processed-gene-25.215-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.215&CDS=1-1488	YCL036W, YDR514C
213	OG0000213	augustus_masked-scaffold_1-processed-gene-25.266-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.266&CDS=1-5049	YBR001C, YDR001C
214	OG0000214	genemark-scaffold_2-processed-gene-0.32-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.32&CDS=1-3543, snap_masked-scaffold_4-processed-gene-7.71-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.71&CDS=1-2475	YOR140W
215	OG0000215	augustus_masked-scaffold_2-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.107&CDS=1-498	YBL027W, YBR084C-A
216	OG0000216	snap_masked-scaffold_2-processed-gene-1.54-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.54&CDS=1-1377	YBR118W, YPR080W
217	OG0000217	maker-scaffold_2-snap-gene-2.51-mRNA-1_1&gene=maker-scaffold_2-snap-gene-2.51&CDS=1-1515	YBR181C, YPL090C
218	OG0000218	snap_masked-scaffold_2-processed-gene-2.120-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.120&CDS=1-2313	YBR182C, YPL089C
219	OG0000219	snap_masked-scaffold_2-processed-gene-2.104-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.104&CDS=1-2244	YCR026C, YEL016C
220	OG0000220	snap_masked-scaffold_2-processed-gene-2.108-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.108&CDS=1-1389	YGR141W, YPR157W
221	OG0000221	snap_masked-scaffold_2-processed-gene-2.127-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.127&CDS=1-837	YBR183W, YPL087W
222	OG0000222	augustus_masked-scaffold_2-processed-gene-6.43-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.43&CDS=1-2727, maker-scaffold_5-snap-gene-3.43-mRNA-1_1&gene=maker-scaffold_5-snap-gene-3.43&CDS=1-2529, snap_masked-scaffold_2-processed-gene-2.115-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.115&CDS=1-1557	
223	OG0000223	genemark-scaffold_3-processed-gene-8.96-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.96&CDS=1-1443, snap_masked-scaffold_2-processed-gene-2.133-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.133&CDS=1-2400	YGR237C
224	OG0000224	augustus_masked-scaffold_2-processed-gene-23.4-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-23.4&CDS=1-1422, augustus_masked-scaffold_2-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.60&CDS=1-972	YOR049C
225	OG0000225	genemark-scaffold_2-processed-gene-3.35-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.35&CDS=1-2760	YDR272W, YOR040W
226	OG0000226	snap_masked-scaffold_2-processed-gene-3.120-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.120&CDS=1-2028	YKR072C, YOR054C
227	OG0000227	maker-scaffold_2-snap-gene-4.46-mRNA-1_1&gene=maker-scaffold_2-snap-gene-4.46&CDS=1-795	YGR214W, YLR048W
228	OG0000228	snap_masked-scaffold_2-processed-gene-4.120-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.120&CDS=1-1314, snap_masked-scaffold_6-processed-gene-5.93-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.93&CDS=1-1245	YDL131W
229	OG0000229	snap_masked-scaffold_2-processed-gene-4.127-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.127&CDS=1-492	YDL137W, YDL192W
230	OG0000230	snap_masked-scaffold_2-processed-gene-4.129-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.129&CDS=1-2433	YDL138W, YDL194W
231	OG0000231	snap_masked-scaffold_2-processed-gene-4.107-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.107&CDS=1-1755, snap_masked-scaffold_6-processed-gene-5.95-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.95&CDS=1-1752	YNL104C
232	OG0000232	snap_masked-scaffold_2-processed-gene-4.110-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.110&CDS=1-2511	YJL105W, YKR029C
233	OG0000233	augustus_masked-scaffold_2-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.89&CDS=1-2403	YJL082W, YKR018C
234	OG0000234	snap_masked-scaffold_2-processed-gene-5.67-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.67&CDS=1-3648, snap_masked-scaffold_7-processed-gene-2.57-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.57&CDS=1-2826	YJL108C
235	OG0000235	snap_masked-scaffold_2-processed-gene-6.26-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.26&CDS=1-726, snap_masked-scaffold_4-processed-gene-11.81-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.81&CDS=1-675	YDR054C
236	OG0000236	snap_masked-scaffold_2-processed-gene-6.24-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.24&CDS=1-471	YEL034W, YJR047C
237	OG0000237	snap_masked-scaffold_2-processed-gene-7.45-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.45&CDS=1-771	YMR222C, YOR280C
238	OG0000238	snap_masked-scaffold_2-processed-gene-12.63-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.63&CDS=1-1707, snap_masked-scaffold_2-processed-gene-7.52-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.52&CDS=1-1707	YML054C
239	OG0000239	genemark-scaffold_2-processed-gene-7.94-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.94&CDS=1-1254	YOR390W, YPL279C
240	OG0000240	snap_masked-scaffold_2-processed-gene-8.30-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.30&CDS=1-3321	YDR326C, YHR080C
241	OG0000241	snap_masked-scaffold_2-processed-gene-8.13-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.13&CDS=1-1398	YFR053C, YGL253W
242	OG0000242	snap_masked-scaffold_2-processed-gene-8.22-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.22&CDS=1-330	YEL039C, YJR048W
243	OG0000243	augustus_masked-scaffold_2-processed-gene-9.30-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.30&CDS=1-732	YHR203C, YJR145C
244	OG0000244	snap_masked-scaffold_2-processed-gene-18.46-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.46&CDS=1-2151, snap_masked-scaffold_2-processed-gene-9.59-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.59&CDS=1-2400	YLR144C
245	OG0000245	snap_masked-scaffold_2-processed-gene-9.81-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.81&CDS=1-1074	YHR090C, YOR064C
246	OG0000246	augustus_masked-scaffold_2-processed-gene-10.68-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.68&CDS=1-1407	YBL089W, YER119C
247	OG0000247	augustus_masked-scaffold_4-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.3&CDS=1-2574, snap_masked-scaffold_2-processed-gene-10.19-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.19&CDS=1-1323	YNR029C
248	OG0000248	maker-scaffold_2-snap-gene-11.52-mRNA-1_1&gene=maker-scaffold_2-snap-gene-11.52&CDS=1-4212	YLL016W, YLR310C
249	OG0000249	maker-scaffold_2-snap-gene-12.12-mRNA-1_1&gene=maker-scaffold_2-snap-gene-12.12&CDS=1-600	YIL133C, YNL069C
250	OG0000250	augustus_masked-scaffold_2-processed-gene-12.121-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.121&CDS=1-564	YNL096C, YOR096W
251	OG0000251	snap_masked-scaffold_2-processed-gene-12.90-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.90&CDS=1-1398	YDL088C, YMR153W
252	OG0000252	snap_masked-scaffold_2-processed-gene-12.76-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.76&CDS=1-726	YGL076C, YPL198W
253	OG0000253	augustus_masked-scaffold_2-processed-gene-12.131-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.131&CDS=1-6549	YMR177W, YPL224C
254	OG0000254	snap_masked-scaffold_2-processed-gene-12.94-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.94&CDS=1-2208	YER064C, YIL056W
255	OG0000255	snap_masked-scaffold_2-processed-gene-12.95-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.95&CDS=1-2109	YGR138C, YPR156C
256	OG0000256	maker-scaffold_2-augustus-gene-13.46-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-13.46&CDS=1-351	YFL034C-A, YLR061W
257	OG0000257	snap_masked-scaffold_2-processed-gene-14.35-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.35&CDS=1-486	YGR209C, YLR043C
258	OG0000258	snap_masked-scaffold_2-processed-gene-15.11-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.11&CDS=1-1884	YKR091W, YOR083W
259	OG0000259	snap_masked-scaffold_2-processed-gene-15.19-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.19&CDS=1-1446	YBR241C, YGL104C
260	OG0000260	snap_masked-scaffold_2-processed-gene-15.43-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.43&CDS=1-456	YIL111W, YNL052W
261	OG0000261	augustus_masked-scaffold_2-processed-gene-16.12-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.12&CDS=1-606, augustus_masked-scaffold_3-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.119&CDS=1-594	YDR032C
262	OG0000262	snap_masked-scaffold_2-processed-gene-17.0-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.0&CDS=1-687	YDR066C, YER139C
263	OG0000263	maker-scaffold_2-augustus-gene-17.76-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-17.76&CDS=1-1761	YDR300C, YHR033W
264	OG0000264	snap_masked-scaffold_2-processed-gene-17.16-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.16&CDS=1-834	YLR284C, YOR180C
265	OG0000265	snap_masked-scaffold_2-processed-gene-18.23-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.23&CDS=1-1266	YDR132C, YLR108C
266	OG0000266	augustus_masked-scaffold_2-processed-gene-18.87-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.87&CDS=1-9138	YIR033W, YKL020C
267	OG0000267	snap_masked-scaffold_2-processed-gene-19.97-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.97&CDS=1-2568	YDR223W, YLR223C
268	OG0000268	augustus_masked-scaffold_2-processed-gene-19.144-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.144&CDS=1-1656	YBR273C, YJL048C
269	OG0000269	maker-scaffold_2-augustus-gene-20.146-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-20.146&CDS=1-9132	YDR406W, YOR153W
270	OG0000270	augustus_masked-scaffold_2-processed-gene-20.5-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-20.5&CDS=1-1026	YCR073W-A, YNR034W
271	OG0000271	snap_masked-scaffold_2-processed-gene-20.54-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.54&CDS=1-1254	YOR237W, YPL145C
272	OG0000272	maker-scaffold_2-snap-gene-20.140-mRNA-1_1&gene=maker-scaffold_2-snap-gene-20.140&CDS=1-5046	YCR073C, YNR031C
273	OG0000273	genemark-scaffold_2-processed-gene-21.88-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.88&CDS=1-3882, snap_masked-scaffold_6-processed-gene-2.68-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.68&CDS=1-660	YDR295C
274	OG0000274	genemark-scaffold_2-processed-gene-21.125-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.125&CDS=1-5652	YDR409W, YOR156C
275	OG0000275	snap_masked-scaffold_2-processed-gene-22.124-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-22.124&CDS=1-600, snap_masked-scaffold_2-processed-gene-22.125-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-22.125&CDS=1-600	YPR165W
276	OG0000276	snap_masked-scaffold_2-processed-gene-22.153-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-22.153&CDS=1-873, snap_masked-scaffold_4-processed-gene-1.44-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.44&CDS=1-954	YDL015C
277	OG0000277	maker-scaffold_2-snap-gene-23.111-mRNA-1_1&gene=maker-scaffold_2-snap-gene-23.111&CDS=1-2496	YDR247W, YPL026C
278	OG0000278	genemark-scaffold_2-processed-gene-23.108-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-23.108&CDS=1-4107	YBL101C, YPR030W
279	OG0000279	augustus_masked-scaffold_2-processed-gene-24.62-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-24.62&CDS=1-321	YER019C-A, YER087C-B
280	OG0000280	augustus_masked-scaffold_5-processed-gene-9.72-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.72&CDS=1-7617, maker-scaffold_2-snap-gene-24.75-mRNA-1_1&gene=maker-scaffold_2-snap-gene-24.75&CDS=1-4644	YGR281W
281	OG0000281	snap_masked-scaffold_2-processed-gene-24.33-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-24.33&CDS=1-1209	YEL006W, YIL006W
282	OG0000282	maker-scaffold_2-snap-gene-25.9-mRNA-1_1&gene=maker-scaffold_2-snap-gene-25.9&CDS=1-1785	YLR260W, YOR171C
283	OG0000283	snap_masked-scaffold_2-processed-gene-25.151-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-25.151&CDS=1-1344	YDR273W, YOR042W
284	OG0000284	snap_masked-scaffold_2-processed-gene-25.185-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-25.185&CDS=1-4212	YOR227W, YPL137C
285	OG0000285	snap_masked-scaffold_3-processed-gene-0.59-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.59&CDS=1-1209, snap_masked-scaffold_5-processed-gene-0.118-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.118&CDS=1-1212	YPR201W
286	OG0000286	snap_masked-scaffold_3-processed-gene-0.44-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.44&CDS=1-1017	YJL133W, YKR052C
287	OG0000287	genemark-scaffold_3-processed-gene-1.14-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.14&CDS=1-2055	YDL048C, YLR375W
288	OG0000288	snap_masked-scaffold_3-processed-gene-2.88-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.88&CDS=1-1680, snap_masked-scaffold_5-processed-gene-2.163-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.163&CDS=1-1683	YER086W
289	OG0000289	augustus_masked-scaffold_3-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.134&CDS=1-2502	YHR208W, YJR148W
290	OG0000290	snap_masked-scaffold_3-processed-gene-2.76-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.76&CDS=1-1767	YJR130C, YML082W
291	OG0000291	snap_masked-scaffold_3-processed-gene-2.100-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.100&CDS=1-513	YKL141W, YMR118C
292	OG0000292	snap_masked-scaffold_3-processed-gene-2.101-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.101&CDS=1-1851, snap_masked-scaffold_6-processed-gene-0.114-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.114&CDS=1-1770	YKR039W
293	OG0000293	snap_masked-scaffold_3-processed-gene-4.127-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.127&CDS=1-246	YHR021C, YKL156W
294	OG0000294	snap_masked-scaffold_3-processed-gene-4.108-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.108&CDS=1-4278	YGR070W, YLR371W
295	OG0000295	snap_masked-scaffold_3-processed-gene-4.119-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.119&CDS=1-462	YGL031C, YGR148C
296	OG0000296	augustus_masked-scaffold_3-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.65&CDS=1-534	YCL066W, YCR040W
297	OG0000297	augustus_masked-scaffold_3-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.88&CDS=1-1896	YDL042C, YOL068C
298	OG0000298	augustus_masked-scaffold_3-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.95&CDS=1-588	YDR453C, YML028W
299	OG0000299	maker-scaffold_3-snap-gene-6.100-mRNA-1_1&gene=maker-scaffold_3-snap-gene-6.100&CDS=1-963	YNL301C, YOL120C
300	OG0000300	maker-scaffold_3-snap-gene-7.140-mRNA-1_1&gene=maker-scaffold_3-snap-gene-7.140&CDS=1-396	YHL001W, YKL006W
301	OG0000301	snap_masked-scaffold_3-processed-gene-7.72-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.72&CDS=1-1530	YGR243W, YHR162W
302	OG0000302	snap_masked-scaffold_3-processed-gene-7.53-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.53&CDS=1-2838	YKL050C, YMR031C
303	OG0000303	snap_masked-scaffold_3-processed-gene-7.63-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.63&CDS=1-1383	YDR253C, YPL038W
304	OG0000304	snap_masked-scaffold_3-processed-gene-7.64-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.64&CDS=1-468	YDR252W, YPL037C
305	OG0000305	snap_masked-scaffold_3-processed-gene-8.0-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.0&CDS=1-2595	YOR256C, YPL176C
306	OG0000306	augustus_masked-scaffold_3-processed-gene-8.52-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.52&CDS=1-522	YGR085C, YPR102C
307	OG0000307	maker-scaffold_3-augustus-gene-8.43-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-8.43&CDS=1-4497	YNL087W, YOR086C
308	OG0000308	maker-scaffold_3-snap-gene-8.86-mRNA-1_1&gene=maker-scaffold_3-snap-gene-8.86&CDS=1-780	YLR287C-A, YOR182C
309	OG0000309	augustus_masked-scaffold_3-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.64&CDS=1-201	YLR264W, YOR167C
310	OG0000310	snap_masked-scaffold_3-processed-gene-9.78-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.78&CDS=1-1335	YBR078W, YDR055W
311	OG0000311	augustus_masked-scaffold_3-processed-gene-9.62-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.62&CDS=1-2130	YGR121C, YPR138C
312	OG0000312	genemark-scaffold_3-processed-gene-14.103-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-14.103&CDS=1-1413, snap_masked-scaffold_3-processed-gene-10.96-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.96&CDS=1-1419	YJR124C
313	OG0000313	snap_masked-scaffold_3-processed-gene-10.123-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.123&CDS=1-435	YGR118W, YPR132W
314	OG0000314	snap_masked-scaffold_3-processed-gene-10.127-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.127&CDS=1-1845	YDL229W, YNL209W
315	OG0000315	genemark-scaffold_3-processed-gene-10.24-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.24&CDS=1-1050	YCL050C, YDR530C
316	OG0000316	snap_masked-scaffold_3-processed-gene-11.27-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.27&CDS=1-1716	YDL085W, YMR145C
317	OG0000317	snap_masked-scaffold_3-processed-gene-13.76-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.76&CDS=1-1527	YEL041W, YJR049C
318	OG0000318	augustus_masked-scaffold_3-processed-gene-14.7-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.7&CDS=1-5598	YEL022W, YJR031C
319	OG0000319	augustus_masked-scaffold_3-processed-gene-14.25-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.25&CDS=1-2460, maker-scaffold_6-augustus-gene-5.170-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-5.170&CDS=1-2772	YOR270C
320	OG0000320	genemark-scaffold_3-processed-gene-14.93-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-14.93&CDS=1-612	YLR029C, YMR121C
321	OG0000321	genemark-scaffold_3-processed-gene-15.188-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-15.188&CDS=1-4476	YNL108C, YOR110W
322	OG0000322	maker-scaffold_3-snap-gene-15.276-mRNA-1_1&gene=maker-scaffold_3-snap-gene-15.276&CDS=1-1953	YGR108W, YPR119W
323	OG0000323	maker-scaffold_3-augustus-gene-15.180-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-15.180&CDS=1-3597	YJR094W-A, YPR043W
324	OG0000324	augustus_masked-scaffold_3-processed-gene-15.44-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.44&CDS=1-1128	YDR185C, YLR168C
325	OG0000325	genemark-scaffold_3-processed-gene-15.202-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-15.202&CDS=1-2040	YKL126W, YMR104C
326	OG0000326	snap_masked-scaffold_3-processed-gene-15.144-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-15.144&CDS=1-1938	YGR009C, YMR017W
327	OG0000327	augustus_masked-scaffold_3-processed-gene-15.74-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.74&CDS=1-3957	YJR091C, YPR042C
328	OG0000328	augustus_masked-scaffold_8-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.59&CDS=1-978, snap_masked-scaffold_3-processed-gene-15.168-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-15.168&CDS=1-3510	YDR378C
329	OG0000329	snap_masked-scaffold_3-processed-gene-15.124-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-15.124&CDS=1-1299, snap_masked-scaffold_3-processed-gene-15.169-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-15.169&CDS=1-1005	YOR245C
330	OG0000330	maker-scaffold_4-snap-gene-0.0-mRNA-1_1&gene=maker-scaffold_4-snap-gene-0.0&CDS=1-5361	YJR061W, YKL201C
331	OG0000331	snap_masked-scaffold_4-processed-gene-0.59-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.59&CDS=1-750	YDR098C, YER174C
332	OG0000332	snap_masked-scaffold_4-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.45&CDS=1-750	YLR178C, YLR179C
333	OG0000333	snap_masked-scaffold_4-processed-gene-1.36-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.36&CDS=1-3861	YML109W, YMR273C
334	OG0000334	augustus_masked-scaffold_4-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.96&CDS=1-564, snap_masked-scaffold_6-processed-gene-2.65-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.65&CDS=1-888	YNL322C
335	OG0000335	snap_masked-scaffold_4-processed-gene-1.47-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.47&CDS=1-1683	YDR497C, YOL103W
336	OG0000336	snap_masked-scaffold_4-processed-gene-1.30-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.30&CDS=1-426	YCR031C, YJL191W
337	OG0000337	augustus_masked-scaffold_4-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.4&CDS=1-543	YLR456W, YPR172W
338	OG0000338	maker-scaffold_4-snap-gene-2.91-mRNA-1_1&gene=maker-scaffold_4-snap-gene-2.91&CDS=1-2958	YGR010W, YLR328W
339	OG0000339	maker-scaffold_4-augustus-gene-2.43-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-2.43&CDS=1-3192	YDR399W, YJR133W
340	OG0000340	snap_masked-scaffold_4-processed-gene-3.53-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.53&CDS=1-1782	YGL162W, YPR009W
341	OG0000341	snap_masked-scaffold_4-processed-gene-3.86-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.86&CDS=1-1353	YFR014C, YOL016C
342	OG0000342	snap_masked-scaffold_4-processed-gene-3.60-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.60&CDS=1-921	YLR270W, YOR173W
343	OG0000343	snap_masked-scaffold_4-processed-gene-3.62-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.62&CDS=1-1677	YIL121W, YNL065W
344	OG0000344	augustus_masked-scaffold_4-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.41&CDS=1-1668	YDR358W, YHR108W
