	OrthologID	Saccharomyces_cerevisiae	Sugiyamaella_lignohabitans
446	OG0000446	YAL044W-A	genemark-CP014503.1-processed-gene-37.141-mRNA-1_1&gene=genemark-CP014503.1-processed-gene-37.141&CDS=1-327
447	OG0000447	YAL046C	augustus_masked-CP014500.1-processed-gene-19.110-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-19.110&CDS=1-369
448	OG0000448	YAL048C	augustus_masked-CP014501.1-processed-gene-38.24-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-38.24&CDS=1-1986
449	OG0000449	YAL053W	augustus_masked-CP014500.1-processed-gene-17.20-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-17.20&CDS=1-2334
450	OG0000450	YAL058W	augustus_masked-CP014501.1-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-4.15&CDS=1-1728
451	OG0000451	YAR003W	augustus_masked-CP014501.1-processed-gene-34.43-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-34.43&CDS=1-1365
452	OG0000452	YAR007C	augustus_masked-CP014500.1-processed-gene-9.116-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-9.116&CDS=1-1788
453	OG0000453	YAR008W	augustus_masked-CP014503.1-processed-gene-26.56-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-26.56&CDS=1-1047
454	OG0000454	YAR014C	augustus_masked-CP014503.1-processed-gene-43.101-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-43.101&CDS=1-3057
455	OG0000455	YAR015W	augustus_masked-CP014500.1-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-7.45&CDS=1-918
456	OG0000456	YAR018C	augustus_masked-CP014500.1-processed-gene-5.46-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-5.46&CDS=1-1749
457	OG0000457	YAR035W	augustus_masked-CP014503.1-processed-gene-38.65-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-38.65&CDS=1-2229
458	OG0000458	YBL004W	maker-CP014500.1-augustus-gene-4.9-mRNA-1_1&gene=maker-CP014500.1-augustus-gene-4.9&CDS=1-7704
459	OG0000459	YBL007C	maker-CP014502.1-augustus-gene-21.128-mRNA-1_1&gene=maker-CP014502.1-augustus-gene-21.128&CDS=1-3615
460	OG0000460	YBL008W	maker-CP014501.1-augustus-gene-27.52-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-27.52&CDS=1-3279
461	OG0000461	YBL011W	augustus_masked-CP014501.1-processed-gene-43.41-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-43.41&CDS=1-2079
462	OG0000462	YBL013W	augustus_masked-CP014503.1-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-3.47&CDS=1-1131
463	OG0000463	YBL015W	augustus_masked-CP014503.1-processed-gene-29.13-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-29.13&CDS=1-1563
464	OG0000464	YBL016W	augustus_masked-CP014500.1-processed-gene-25.39-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-25.39&CDS=1-1068
465	OG0000465	YBL018C	augustus_masked-CP014501.1-processed-gene-39.126-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-39.126&CDS=1-384
466	OG0000466	YBL019W	genemark-CP014501.1-processed-gene-14.126-mRNA-1_1&gene=genemark-CP014501.1-processed-gene-14.126&CDS=1-2106
467	OG0000467	YBL020W	augustus_masked-CP014501.1-processed-gene-28.38-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-28.38&CDS=1-2733
468	OG0000468	YBL021C	augustus_masked-CP014500.1-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-3.36&CDS=1-741
469	OG0000469	YBL022C	augustus_masked-CP014503.1-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-3.48&CDS=1-3669
470	OG0000470	YBL023C	augustus_masked-CP014503.1-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-1.62&CDS=1-2505
471	OG0000471	YBL024W	augustus_masked-CP014503.1-processed-gene-26.50-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-26.50&CDS=1-2163
472	OG0000472	YBL029C-A	genemark-CP014501.1-processed-gene-24.92-mRNA-1_1&gene=genemark-CP014501.1-processed-gene-24.92&CDS=1-264
473	OG0000473	YBL029W	augustus_masked-CP014501.1-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-4.37&CDS=1-1332
474	OG0000474	YBL033C	augustus_masked-CP014500.1-processed-gene-22.45-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-22.45&CDS=1-2229
475	OG0000475	YBL034C	snap_masked-CP014501.1-processed-gene-30.27-mRNA-1_1&gene=snap_masked-CP014501.1-processed-gene-30.27&CDS=1-4470
476	OG0000476	YBL035C	augustus_masked-CP014502.1-processed-gene-21.100-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-21.100&CDS=1-1950
477	OG0000477	YBL036C	augustus_masked-CP014502.1-processed-gene-21.99-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-21.99&CDS=1-744
478	OG0000478	YBL037W	augustus_masked-CP014502.1-processed-gene-21.73-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-21.73&CDS=1-2859
479	OG0000479	YBL038W	augustus_masked-CP014503.1-processed-gene-9.9-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-9.9&CDS=1-714
480	OG0000480	YBL039C	augustus_masked-CP014500.1-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-4.32&CDS=1-1737
481	OG0000481	YBL040C	augustus_masked-CP014503.1-processed-gene-36.119-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-36.119&CDS=1-642
482	OG0000482	YBL041W	augustus_masked-CP014503.1-processed-gene-36.99-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-36.99&CDS=1-708
483	OG0000483	YBL047C	maker-CP014503.1-augustus-gene-31.83-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-31.83&CDS=1-4380
484	OG0000484	YBL049W	maker-CP014500.1-augustus-gene-26.173-mRNA-1_1&gene=maker-CP014500.1-augustus-gene-26.173&CDS=1-330
485	OG0000485	YBL050W	augustus_masked-CP014503.1-processed-gene-31.94-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-31.94&CDS=1-876
486	OG0000486	YBL051C	maker-CP014501.1-snap-gene-10.39-mRNA-1_1&gene=maker-CP014501.1-snap-gene-10.39&CDS=1-1527
487	OG0000487	YBL054W	augustus_masked-CP014501.1-processed-gene-10.50-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-10.50&CDS=1-1821
488	OG0000488	YBL055C	augustus_masked-CP014501.1-processed-gene-35.81-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-35.81&CDS=1-999
489	OG0000489	YBL057C	snap_masked-CP014503.1-processed-gene-29.47-mRNA-1_1&gene=snap_masked-CP014503.1-processed-gene-29.47&CDS=1-510
490	OG0000490	YBL058W	maker-CP014501.1-augustus-gene-26.45-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-26.45&CDS=1-3060
491	OG0000491	YBL063W	augustus_masked-CP014501.1-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-4.35&CDS=1-3258
492	OG0000492	YBL064C	augustus_masked-CP014501.1-processed-gene-9.53-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-9.53&CDS=1-675
493	OG0000493	YBL066C	augustus_masked-CP014503.1-processed-gene-20.77-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-20.77&CDS=1-3513
494	OG0000494	YBL071W-A	snap_masked-CP014502.1-processed-gene-8.135-mRNA-1_1&gene=snap_masked-CP014502.1-processed-gene-8.135&CDS=1-246
495	OG0000495	YBL076C	augustus_masked-CP014500.1-processed-gene-13.105-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-13.105&CDS=1-3213
496	OG0000496	YBL078C	augustus_masked-CP014500.1-processed-gene-13.104-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-13.104&CDS=1-366
497	OG0000497	YBL080C	maker-CP014502.1-augustus-gene-17.8-mRNA-1_1&gene=maker-CP014502.1-augustus-gene-17.8&CDS=1-1572
498	OG0000498	YBL082C	augustus_masked-CP014501.1-processed-gene-54.108-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-54.108&CDS=1-1128
499	OG0000499	YBL084C	augustus_masked-CP014501.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-0.100&CDS=1-2385
500	OG0000500	YBL086C	maker-CP014501.1-augustus-gene-38.46-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-38.46&CDS=1-768
501	OG0000501	YBL088C	maker-CP014501.1-snap-gene-55.3-mRNA-1_1&gene=maker-CP014501.1-snap-gene-55.3&CDS=1-4398
502	OG0000502	YBL090W	augustus_masked-CP014500.1-processed-gene-10.56-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-10.56&CDS=1-558
503	OG0000503	YBL091C	augustus_masked-CP014502.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-0.26&CDS=1-1344
504	OG0000504	YBL092W	genemark-CP014501.1-processed-gene-46.95-mRNA-1_1&gene=genemark-CP014501.1-processed-gene-46.95&CDS=1-393
505	OG0000505	YBL093C	genemark-CP014501.1-processed-gene-46.94-mRNA-1_1&gene=genemark-CP014501.1-processed-gene-46.94&CDS=1-687
506	OG0000506	YBL097W	genemark-CP014502.1-processed-gene-3.148-mRNA-1_1&gene=genemark-CP014502.1-processed-gene-3.148&CDS=1-2367
507	OG0000507	YBL098W	augustus_masked-CP014501.1-processed-gene-6.88-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-6.88&CDS=1-1512
508	OG0000508	YBL099W	maker-CP014502.1-augustus-gene-15.5-mRNA-1_1&gene=maker-CP014502.1-augustus-gene-15.5&CDS=1-1623
509	OG0000509	YBL102W	maker-CP014501.1-snap-gene-22.83-mRNA-1_1&gene=maker-CP014501.1-snap-gene-22.83&CDS=1-675
510	OG0000510	YBL104C	maker-CP014501.1-augustus-gene-16.79-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-16.79&CDS=1-2919
511	OG0000511	YBL105C	maker-CP014501.1-augustus-gene-27.46-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-27.46&CDS=1-2415
512	OG0000512	YBR003W	augustus_masked-CP014501.1-processed-gene-12.40-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-12.40&CDS=1-1398
513	OG0000513	YBR004C	genemark-CP014502.1-processed-gene-12.48-mRNA-1_1&gene=genemark-CP014502.1-processed-gene-12.48&CDS=1-1626
514	OG0000514	YBR006W	augustus_masked-CP014503.1-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-1.60&CDS=1-1473
515	OG0000515	YBR008C	augustus_masked-CP014501.1-processed-gene-41.14-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-41.14&CDS=1-1695
516	OG0000516	YBR011C	augustus_masked-CP014503.1-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-1.64&CDS=1-909
517	OG0000517	YBR017C	augustus_masked-CP014503.1-processed-gene-43.102-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-43.102&CDS=1-2769
518	OG0000518	YBR018C	augustus_masked-CP014502.1-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-7.22&CDS=1-1107
519	OG0000519	YBR019C	augustus_masked-CP014500.1-processed-gene-20.78-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-20.78&CDS=1-1098
520	OG0000520	YBR023C	augustus_masked-CP014502.1-processed-gene-7.30-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-7.30&CDS=1-3753
521	OG0000521	YBR025C	maker-CP014500.1-augustus-gene-26.170-mRNA-1_1&gene=maker-CP014500.1-augustus-gene-26.170&CDS=1-1182
522	OG0000522	YBR026C	augustus_masked-CP014501.1-processed-gene-51.34-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-51.34&CDS=1-1152
523	OG0000523	YBR029C	augustus_masked-CP014501.1-processed-gene-45.94-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-45.94&CDS=1-1281
524	OG0000524	YBR030W	augustus_masked-CP014503.1-processed-gene-46.74-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-46.74&CDS=1-1623
525	OG0000525	YBR034C	augustus_masked-CP014502.1-processed-gene-8.60-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-8.60&CDS=1-1038
526	OG0000526	YBR035C	augustus_masked-CP014502.1-processed-gene-16.0-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-16.0&CDS=1-669
527	OG0000527	YBR038W	maker-CP014501.1-augustus-gene-36.86-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-36.86&CDS=1-3039
528	OG0000528	YBR039W	augustus_masked-CP014501.1-processed-gene-49.59-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-49.59&CDS=1-864
529	OG0000529	YBR040W	maker-CP014501.1-augustus-gene-49.49-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-49.49&CDS=1-741
530	OG0000530	YBR041W	augustus_masked-CP014503.1-processed-gene-23.64-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-23.64&CDS=1-1902
531	OG0000531	YBR043C	augustus_masked-CP014501.1-processed-gene-49.63-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-49.63&CDS=1-1848
532	OG0000532	YBR046C	genemark-CP014503.1-processed-gene-6.26-mRNA-1_1&gene=genemark-CP014503.1-processed-gene-6.26&CDS=1-1071
533	OG0000533	YBR053C	augustus_masked-CP014501.1-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-5.32&CDS=1-984
534	OG0000534	YBR055C	augustus_masked-CP014502.1-processed-gene-10.27-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-10.27&CDS=1-2937
535	OG0000535	YBR056W	augustus_masked-CP014501.1-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-2.103&CDS=1-1548
536	OG0000536	YBR057C	augustus_masked-CP014502.1-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-7.10&CDS=1-939
537	OG0000537	YBR058C	maker-CP014502.1-augustus-gene-13.80-mRNA-1_1&gene=maker-CP014502.1-augustus-gene-13.80&CDS=1-2415
538	OG0000538	YBR060C	augustus_masked-CP014500.1-processed-gene-16.63-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-16.63&CDS=1-1686
539	OG0000539	YBR061C	augustus_masked-CP014500.1-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-4.27&CDS=1-894
540	OG0000540	YBR062C	augustus_masked-CP014502.1-processed-gene-8.52-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-8.52&CDS=1-591
541	OG0000541	YBR065C	maker-CP014502.1-snap-gene-13.37-mRNA-1_1&gene=maker-CP014502.1-snap-gene-13.37&CDS=1-1851
542	OG0000542	YBR070C	augustus_masked-CP014501.1-processed-gene-23.99-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-23.99&CDS=1-648
543	OG0000543	YBR072W	augustus_masked-CP014503.1-processed-gene-22.108-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-22.108&CDS=1-795
544	OG0000544	YBR073W	augustus_masked-CP014503.1-processed-gene-24.68-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-24.68&CDS=1-2697
545	OG0000545	YBR074W	augustus_masked-CP014503.1-processed-gene-22.93-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-22.93&CDS=1-2997
546	OG0000546	YBR078W	snap_masked-CP014501.1-processed-gene-45.24-mRNA-1_1&gene=snap_masked-CP014501.1-processed-gene-45.24&CDS=1-1218
547	OG0000547	YBR079C	augustus_masked-CP014503.1-processed-gene-48.145-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-48.145&CDS=1-2898
548	OG0000548	YBR080C	augustus_masked-CP014503.1-processed-gene-21.39-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-21.39&CDS=1-2337
549	OG0000549	YBR081C	genemark-CP014503.1-processed-gene-21.66-mRNA-1_1&gene=genemark-CP014503.1-processed-gene-21.66&CDS=1-3750
550	OG0000550	YBR083W	augustus_masked-CP014500.1-processed-gene-19.126-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-19.126&CDS=1-2661
551	OG0000551	YBR084W	augustus_masked-CP014501.1-processed-gene-52.107-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-52.107&CDS=1-2937
552	OG0000552	YBR085W	augustus_masked-CP014500.1-processed-gene-26.204-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-26.204&CDS=1-906
553	OG0000553	YBR086C	augustus_masked-CP014502.1-processed-gene-21.74-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-21.74&CDS=1-2196
554	OG0000554	YBR087W	augustus_masked-CP014503.1-processed-gene-9.26-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-9.26&CDS=1-1065
555	OG0000555	YBR088C	augustus_masked-CP014501.1-processed-gene-34.36-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-34.36&CDS=1-777
556	OG0000556	YBR094W	maker-CP014503.1-augustus-gene-44.6-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-44.6&CDS=1-2229
557	OG0000557	YBR095C	maker-CP014503.1-augustus-gene-48.105-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-48.105&CDS=1-1086
558	OG0000558	YBR096W	augustus_masked-CP014501.1-processed-gene-33.7-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-33.7&CDS=1-645
559	OG0000559	YBR097W	maker-CP014501.1-augustus-gene-13.37-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-13.37&CDS=1-4653
560	OG0000560	YBR101C	augustus_masked-CP014503.1-processed-gene-10.98-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-10.98&CDS=1-861
561	OG0000561	YBR102C	maker-CP014502.1-snap-gene-9.47-mRNA-1_1&gene=maker-CP014502.1-snap-gene-9.47&CDS=1-2334
562	OG0000562	YBR103W	maker-CP014502.1-snap-gene-9.53-mRNA-1_1&gene=maker-CP014502.1-snap-gene-9.53&CDS=1-1827
563	OG0000563	YBR106W	augustus_masked-CP014503.1-processed-gene-44.42-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-44.42&CDS=1-561
564	OG0000564	YBR109C	maker-CP014502.1-augustus-gene-4.104-mRNA-1_1&gene=maker-CP014502.1-augustus-gene-4.104&CDS=1-450
565	OG0000565	YBR110W	augustus_masked-CP014502.1-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-4.88&CDS=1-1488
566	OG0000566	YBR111C	augustus_masked-CP014503.1-processed-gene-34.60-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-34.60&CDS=1-612
567	OG0000567	YBR111W-A	maker-CP014503.1-augustus-gene-34.14-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-34.14&CDS=1-294
568	OG0000568	YBR112C	maker-CP014503.1-snap-gene-45.6-mRNA-1_1&gene=maker-CP014503.1-snap-gene-45.6&CDS=1-2910
569	OG0000569	YBR114W	augustus_masked-CP014502.1-processed-gene-10.7-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-10.7&CDS=1-2811
570	OG0000570	YBR115C	genemark-CP014503.1-processed-gene-30.132-mRNA-1_1&gene=genemark-CP014503.1-processed-gene-30.132&CDS=1-4194
571	OG0000571	YBR120C	maker-CP014503.1-augustus-gene-28.15-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-28.15&CDS=1-357
572	OG0000572	YBR121C	augustus_masked-CP014503.1-processed-gene-28.41-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-28.41&CDS=1-1974
573	OG0000573	YBR122C	augustus_masked-CP014500.1-processed-gene-25.14-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-25.14&CDS=1-588
574	OG0000574	YBR126C	augustus_masked-CP014501.1-processed-gene-35.64-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-35.64&CDS=1-1452
575	OG0000575	YBR127C	augustus_masked-CP014503.1-processed-gene-29.30-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-29.30&CDS=1-1557
576	OG0000576	YBR129C	augustus_masked-CP014503.1-processed-gene-35.94-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-35.94&CDS=1-2382
577	OG0000577	YBR132C	augustus_masked-CP014501.1-processed-gene-11.20-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-11.20&CDS=1-1677
578	OG0000578	YBR133C	snap_masked-CP014500.1-processed-gene-9.26-mRNA-1_1&gene=snap_masked-CP014500.1-processed-gene-9.26&CDS=1-2334
579	OG0000579	YBR135W	maker-CP014500.1-augustus-gene-11.11-mRNA-1_1&gene=maker-CP014500.1-augustus-gene-11.11&CDS=1-318
580	OG0000580	YBR136W	maker-CP014502.1-augustus-gene-20.41-mRNA-1_1&gene=maker-CP014502.1-augustus-gene-20.41&CDS=1-7182
581	OG0000581	YBR141C	genemark-CP014500.1-processed-gene-2.44-mRNA-1_1&gene=genemark-CP014500.1-processed-gene-2.44&CDS=1-831
582	OG0000582	YBR142W	augustus_masked-CP014503.1-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-8.12&CDS=1-2214
583	OG0000583	YBR143C	augustus_masked-CP014503.1-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-8.30&CDS=1-1314
584	OG0000584	YBR146W	augustus_masked-CP014501.1-processed-gene-41.18-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-41.18&CDS=1-1017
585	OG0000585	YBR151W	augustus_masked-CP014502.1-processed-gene-14.19-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-14.19&CDS=1-894
586	OG0000586	YBR153W	augustus_masked-CP014503.1-processed-gene-36.118-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-36.118&CDS=1-765
587	OG0000587	YBR154C	maker-CP014503.1-augustus-gene-36.138-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-36.138&CDS=1-639
588	OG0000588	YBR155W	augustus_masked-CP014501.1-processed-gene-34.34-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-34.34&CDS=1-1170
589	OG0000589	YBR156C	augustus_masked-CP014501.1-processed-gene-34.21-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-34.21&CDS=1-3384
590	OG0000590	YBR158W	augustus_masked-CP014501.1-processed-gene-32.36-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-32.36&CDS=1-1896
591	OG0000591	YBR159W	augustus_masked-CP014501.1-processed-gene-56.114-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-56.114&CDS=1-1074
592	OG0000592	YBR160W	augustus_masked-CP014503.1-processed-gene-32.91-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-32.91&CDS=1-963
593	OG0000593	YBR162C	augustus_masked-CP014501.1-processed-gene-23.83-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-23.83&CDS=1-1440
594	OG0000594	YBR162W-A	genemark-CP014501.1-processed-gene-34.102-mRNA-1_1&gene=genemark-CP014501.1-processed-gene-34.102&CDS=1-192
595	OG0000595	YBR166C	augustus_masked-CP014500.1-processed-gene-24.8-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-24.8&CDS=1-1323
596	OG0000596	YBR167C	augustus_masked-CP014502.1-processed-gene-12.116-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-12.116&CDS=1-633
597	OG0000597	YBR171W	augustus_masked-CP014502.1-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-7.18&CDS=1-567
598	OG0000598	YBR173C	augustus_masked-CP014502.1-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-7.38&CDS=1-432
599	OG0000599	YBR176W	augustus_masked-CP014503.1-processed-gene-14.31-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-14.31&CDS=1-1017
600	OG0000600	YBR179C	augustus_masked-CP014501.1-processed-gene-36.55-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-36.55&CDS=1-2898
601	OG0000601	YBR185C	maker-CP014501.1-augustus-gene-17.68-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-17.68&CDS=1-876
602	OG0000602	YBR187W	augustus_masked-CP014501.1-processed-gene-13.26-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-13.26&CDS=1-1683
603	OG0000603	YBR192W	snap_masked-CP014501.1-processed-gene-13.70-mRNA-1_1&gene=snap_masked-CP014501.1-processed-gene-13.70&CDS=1-1137
604	OG0000604	YBR193C	augustus_masked-CP014503.1-processed-gene-25.113-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-25.113&CDS=1-618
605	OG0000605	YBR196C	augustus_masked-CP014501.1-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-3.26&CDS=1-1653
606	OG0000606	YBR198C	augustus_masked-CP014502.1-processed-gene-15.13-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-15.13&CDS=1-2424
607	OG0000607	YBR200W	maker-CP014503.1-snap-gene-14.50-mRNA-1_1&gene=maker-CP014503.1-snap-gene-14.50&CDS=1-1866
608	OG0000608	YBR201W	augustus_masked-CP014503.1-processed-gene-15.51-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-15.51&CDS=1-639
609	OG0000609	YBR202W	augustus_masked-CP014501.1-processed-gene-48.94-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-48.94&CDS=1-2367
610	OG0000610	YBR208C	augustus_masked-CP014502.1-processed-gene-18.91-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-18.91&CDS=1-5427
611	OG0000611	YBR213W	genemark-CP014500.1-processed-gene-20.120-mRNA-1_1&gene=genemark-CP014500.1-processed-gene-20.120&CDS=1-756
612	OG0000612	YBR215W	genemark-CP014503.1-processed-gene-12.29-mRNA-1_1&gene=genemark-CP014503.1-processed-gene-12.29&CDS=1-1434
613	OG0000613	YBR217W	maker-CP014503.1-augustus-gene-12.80-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-12.80&CDS=1-411
614	OG0000614	YBR218C	snap_masked-CP014503.1-processed-gene-31.0-mRNA-1_1&gene=snap_masked-CP014503.1-processed-gene-31.0&CDS=1-3381
615	OG0000615	YBR220C	augustus_masked-CP014501.1-processed-gene-55.45-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-55.45&CDS=1-1623
616	OG0000616	YBR221C	maker-CP014501.1-augustus-gene-55.15-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-55.15&CDS=1-1167
617	OG0000617	YBR222C	augustus_masked-CP014502.1-processed-gene-12.158-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-12.158&CDS=1-1533
