	OrthologID	Ambrosiozyma_monospora	Saccharomyces_cerevisiae
83	OG0000083	-processed-gene-0.123-mRNA-1_1&gene=genemark-gi|1002318518|dbj|BCIP01000043.1|-processed-gene-0.123&CDS=1-1974, -processed-gene-0.20-mRNA-1_1&gene=snap_masked-gi|1002318514|dbj|BCIP01000047.1|-processed-gene-0.20&CDS=1-1941, -processed-gene-0.81-mRNA-1_1&gene=augustus_masked-gi|1002318514|dbj|BCIP01000047.1|-processed-gene-0.81&CDS=1-1953	YBR043C
84	OG0000084	-processed-gene-0.115-mRNA-1_1&gene=genemark-gi|1002318518|dbj|BCIP01000043.1|-processed-gene-0.115&CDS=1-1101, -processed-gene-4.30-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-4.30&CDS=1-1101, -processed-gene-6.79-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-6.79&CDS=1-1158	YML131W
85	OG0000085	-processed-gene-0.40-mRNA-1_1&gene=genemark-gi|1002318519|dbj|BCIP01000042.1|-processed-gene-0.40&CDS=1-1821, -processed-gene-2.23-mRNA-1_1&gene=genemark-gi|1002318536|dbj|BCIP01000025.1|-processed-gene-2.23&CDS=1-1881, -processed-gene-2.65-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-2.65&CDS=1-1773	YLL028W
86	OG0000086	-processed-gene-0.108-mRNA-1_1&gene=genemark-gi|1002318520|dbj|BCIP01000041.1|-processed-gene-0.108&CDS=1-2217, -processed-gene-0.90-mRNA-1_1&gene=genemark-gi|1002318520|dbj|BCIP01000041.1|-processed-gene-0.90&CDS=1-1863, -processed-gene-3.3-mRNA-1_1&gene=genemark-gi|1002318555|dbj|BCIP01000006.1|-processed-gene-3.3&CDS=1-1722, -processed-gene-6.142-mRNA-1_1&gene=genemark-gi|1002318552|dbj|BCIP01000009.1|-processed-gene-6.142&CDS=1-1821	
87	OG0000087	-processed-gene-0.101-mRNA-1_1&gene=genemark-gi|1002318520|dbj|BCIP01000041.1|-processed-gene-0.101&CDS=1-1386, -processed-gene-2.58-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-2.58&CDS=1-1710	YLR260W, YOR171C
88	OG0000088	-processed-gene-0.132-mRNA-1_1&gene=genemark-gi|1002318520|dbj|BCIP01000041.1|-processed-gene-0.132&CDS=1-798, -processed-gene-2.26-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-2.26&CDS=1-744, -snap-gene-2.4-mRNA-1_1&gene=maker-gi|1002318536|dbj|BCIP01000025.1|-snap-gene-2.4&CDS=1-1473	YKL033W-A
89	OG0000089	-processed-gene-0.107-mRNA-1_1&gene=genemark-gi|1002318522|dbj|BCIP01000039.1|-processed-gene-0.107&CDS=1-1512, -processed-gene-1.54-mRNA-1_1&gene=snap_masked-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-1.54&CDS=1-1350, -processed-gene-12.8-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-12.8&CDS=1-1359	YBR199W
90	OG0000090	-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-gi|1002318522|dbj|BCIP01000039.1|-processed-gene-0.70&CDS=1-1635, -processed-gene-1.36-mRNA-1_1&gene=snap_masked-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-1.36&CDS=1-1551, -processed-gene-1.46-mRNA-1_1&gene=snap_masked-gi|1002318552|dbj|BCIP01000009.1|-processed-gene-1.46&CDS=1-2952	YOR320C
91	OG0000091	-processed-gene-0.128-mRNA-1_1&gene=genemark-gi|1002318522|dbj|BCIP01000039.1|-processed-gene-0.128&CDS=1-672, -processed-gene-3.100-mRNA-1_1&gene=genemark-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.100&CDS=1-744	YBR067C, YIL011W
92	OG0000092	-processed-gene-0.132-mRNA-1_1&gene=genemark-gi|1002318522|dbj|BCIP01000039.1|-processed-gene-0.132&CDS=1-561, -processed-gene-2.0-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-2.0&CDS=1-504	YDR178W, YLR164W
93	OG0000093	-processed-gene-0.14-mRNA-1_1&gene=genemark-gi|1002318523|dbj|BCIP01000038.1|-processed-gene-0.14&CDS=1-2301, -snap-gene-2.1-mRNA-1_1&gene=maker-gi|1002318556|dbj|BCIP01000005.1|-snap-gene-2.1&CDS=1-1509	YER054C, YIL045W
94	OG0000094	-processed-gene-0.72-mRNA-1_1&gene=genemark-gi|1002318524|dbj|BCIP01000037.1|-processed-gene-0.72&CDS=1-1596, -processed-gene-9.124-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.124&CDS=1-1986, -processed-gene-9.147-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.147&CDS=1-2139	YJL194W
95	OG0000095	-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-gi|1002318525|dbj|BCIP01000036.1|-processed-gene-0.72&CDS=1-1029, -processed-gene-1.6-mRNA-1_1&gene=genemark-gi|1002318536|dbj|BCIP01000025.1|-processed-gene-1.6&CDS=1-1029, -processed-gene-2.37-mRNA-1_1&gene=genemark-gi|1002318535|dbj|BCIP01000026.1|-processed-gene-2.37&CDS=1-1035	YDL144C
96	OG0000096	-processed-gene-1.3-mRNA-1_1&gene=snap_masked-gi|1002318525|dbj|BCIP01000036.1|-processed-gene-1.3&CDS=1-2052, -processed-gene-3.114-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-3.114&CDS=1-2094, -processed-gene-3.51-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-3.51&CDS=1-2049	YKL104C
97	OG0000097	-processed-gene-1.39-mRNA-1_1&gene=snap_masked-gi|1002318526|dbj|BCIP01000035.1|-processed-gene-1.39&CDS=1-1191, -processed-gene-1.74-mRNA-1_1&gene=augustus_masked-gi|1002318526|dbj|BCIP01000035.1|-processed-gene-1.74&CDS=1-1188, -processed-gene-3.62-mRNA-1_1&gene=genemark-gi|1002318552|dbj|BCIP01000009.1|-processed-gene-3.62&CDS=1-1227	YLL057C
98	OG0000098	-processed-gene-1.48-mRNA-1_1&gene=genemark-gi|1002318527|dbj|BCIP01000034.1|-processed-gene-1.48&CDS=1-582, -processed-gene-4.5-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-4.5&CDS=1-582	YGL147C, YNL067W
99	OG0000099	-processed-gene-1.72-mRNA-1_1&gene=genemark-gi|1002318531|dbj|BCIP01000030.1|-processed-gene-1.72&CDS=1-915, -processed-gene-7.5-mRNA-1_1&gene=snap_masked-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-7.5&CDS=1-909	YDR368W, YOR120W
100	OG0000100	-processed-gene-2.15-mRNA-1_1&gene=genemark-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-2.15&CDS=1-1836, -processed-gene-2.38-mRNA-1_1&gene=genemark-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-2.38&CDS=1-1944, -processed-gene-2.53-mRNA-1_1&gene=genemark-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-2.53&CDS=1-1860	YNL125C
101	OG0000101	-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-gi|1002318534|dbj|BCIP01000027.1|-processed-gene-2.119&CDS=1-1257, -processed-gene-4.110-mRNA-1_1&gene=genemark-gi|1002318555|dbj|BCIP01000006.1|-processed-gene-4.110&CDS=1-1371, -snap-gene-1.2-mRNA-1_1&gene=maker-gi|1002318537|dbj|BCIP01000024.1|-snap-gene-1.2&CDS=1-3939	YOR049C
102	OG0000102	-processed-gene-0.37-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-0.37&CDS=1-1686, -processed-gene-1.85-mRNA-1_1&gene=genemark-gi|1002318535|dbj|BCIP01000026.1|-processed-gene-1.85&CDS=1-1620, -processed-gene-6.121-mRNA-1_1&gene=genemark-gi|1002318552|dbj|BCIP01000009.1|-processed-gene-6.121&CDS=1-1491	YKL217W
103	OG0000103	-processed-gene-2.23-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-2.23&CDS=1-2325, -processed-gene-2.27-mRNA-1_1&gene=genemark-gi|1002318535|dbj|BCIP01000026.1|-processed-gene-2.27&CDS=1-2394	YDL025C, YOR267C
104	OG0000104	-processed-gene-0.8-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-0.8&CDS=1-582, -processed-gene-5.6-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-5.6&CDS=1-582	YER067W, YIL057C
105	OG0000105	-processed-gene-0.15-mRNA-1_1&gene=genemark-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-0.15&CDS=1-1971, -snap-gene-1.119-mRNA-1_1&gene=maker-gi|1002318538|dbj|BCIP01000023.1|-snap-gene-1.119&CDS=1-2481	YJR059W, YKL198C
106	OG0000106	-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-1.37&CDS=1-1335, -processed-gene-4.97-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-4.97&CDS=1-1095	YGR009C, YMR017W
107	OG0000107	-processed-gene-1.64-mRNA-1_1&gene=snap_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-1.64&CDS=1-1725, -processed-gene-2.6-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-2.6&CDS=1-609, -processed-gene-2.7-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-2.7&CDS=1-603, -snap-gene-2.39-mRNA-1_1&gene=maker-gi|1002318539|dbj|BCIP01000022.1|-snap-gene-2.39&CDS=1-831	
108	OG0000108	-snap-gene-0.99-mRNA-1_1&gene=maker-gi|1002318540|dbj|BCIP01000021.1|-snap-gene-0.99&CDS=1-4818	YIL120W, YIL121W, YNL065W
109	OG0000109	-processed-gene-2.34-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.34&CDS=1-408, -processed-gene-3.121-mRNA-1_1&gene=augustus_masked-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-3.121&CDS=1-408	YBR010W, YNL031C
110	OG0000110	-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-4.50&CDS=1-978, -processed-gene-6.78-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-6.78&CDS=1-1107, -processed-gene-6.80-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-6.80&CDS=1-816	YKL051W
111	OG0000111	-processed-gene-1.4-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-1.4&CDS=1-1539, -processed-gene-1.54-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-1.54&CDS=1-1404, -processed-gene-1.68-mRNA-1_1&gene=genemark-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-1.68&CDS=1-2541	YML038C
112	OG0000112	-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-3.7&CDS=1-1377, -processed-gene-5.34-mRNA-1_1&gene=genemark-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-5.34&CDS=1-1377	YBR118W, YPR080W
113	OG0000113	-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-3.21&CDS=1-759, -processed-gene-3.28-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-3.28&CDS=1-948, -processed-gene-5.93-mRNA-1_1&gene=genemark-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-5.93&CDS=1-954	YBR149W
114	OG0000114	-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-4.91&CDS=1-1185, -processed-gene-7.44-mRNA-1_1&gene=augustus_masked-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-7.44&CDS=1-1785	YOR390W, YPL279C
115	OG0000115	-processed-gene-0.2-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-0.2&CDS=1-1065, -processed-gene-4.62-mRNA-1_1&gene=genemark-gi|1002318557|dbj|BCIP01000004.1|-processed-gene-4.62&CDS=1-930, -processed-gene-6.135-mRNA-1_1&gene=genemark-gi|1002318552|dbj|BCIP01000009.1|-processed-gene-6.135&CDS=1-996	YDR284C
116	OG0000116	-processed-gene-3.70-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-3.70&CDS=1-1866, -processed-gene-3.77-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-3.77&CDS=1-1851	YJL172W, YOL153C
117	OG0000117	-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-2.85&CDS=1-765, -processed-gene-5.21-mRNA-1_1&gene=augustus_masked-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-5.21&CDS=1-765	YFR031C-A, YIL018W
118	OG0000118	-processed-gene-1.12-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-1.12&CDS=1-1113, -processed-gene-4.63-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-4.63&CDS=1-1119	YCR105W, YMR318C
119	OG0000119	-processed-gene-5.141-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-5.141&CDS=1-1464, -processed-gene-6.17-mRNA-1_1&gene=augustus_masked-gi|1002318550|dbj|BCIP01000011.1|-processed-gene-6.17&CDS=1-1665, -processed-gene-9.93-mRNA-1_1&gene=augustus_masked-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-9.93&CDS=1-1455	YDL103C
120	OG0000120	-processed-gene-5.51-mRNA-1_1&gene=augustus_masked-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-5.51&CDS=1-1110, -processed-gene-5.82-mRNA-1_1&gene=augustus_masked-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-5.82&CDS=1-1071	YDR197W, YHR063C
121	OG0000121	-processed-gene-0.10-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-0.10&CDS=1-1758, -processed-gene-0.8-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-0.8&CDS=1-1761, -processed-gene-2.55-mRNA-1_1&gene=snap_masked-gi|1002318552|dbj|BCIP01000009.1|-processed-gene-2.55&CDS=1-1761	YPL265W
122	OG0000122	-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-2.88&CDS=1-1083, -snap-gene-0.1-mRNA-1_1&gene=maker-gi|1002318547|dbj|BCIP01000014.1|-snap-gene-0.1&CDS=1-3666	YER066W, YFL009W
123	OG0000123	-processed-gene-0.11-mRNA-1_1&gene=snap_masked-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-0.11&CDS=1-1734	YOL055C, YPL258C, YPR121W
124	OG0000124	-processed-gene-2.23-mRNA-1_1&gene=genemark-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-2.23&CDS=1-3072, -processed-gene-6.107-mRNA-1_1&gene=snap_masked-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-6.107&CDS=1-2061	YGL257C, YNR059W
125	OG0000125	-snap-gene-6.118-mRNA-1_1&gene=maker-gi|1002318549|dbj|BCIP01000012.1|-snap-gene-6.118&CDS=1-1923	YGR154C, YKR076W, YMR251W
126	OG0000126	-processed-gene-4.82-mRNA-1_1&gene=genemark-gi|1002318550|dbj|BCIP01000011.1|-processed-gene-4.82&CDS=1-1269, -processed-gene-5.110-mRNA-1_1&gene=genemark-gi|1002318552|dbj|BCIP01000009.1|-processed-gene-5.110&CDS=1-1161	YBR207W, YER145C
127	OG0000127	-processed-gene-2.2-mRNA-1_1&gene=genemark-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-2.2&CDS=1-3255, -processed-gene-6.124-mRNA-1_1&gene=genemark-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-6.124&CDS=1-2970	YBR150C, YOL089C
128	OG0000128	-snap-gene-7.197-mRNA-1_1&gene=maker-gi|1002318555|dbj|BCIP01000006.1|-snap-gene-7.197&CDS=1-2652, -snap-gene-7.201-mRNA-1_1&gene=maker-gi|1002318555|dbj|BCIP01000006.1|-snap-gene-7.201&CDS=1-4716	YIL151C, YKR096W
129	OG0000129	-processed-gene-1.86-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-1.86&CDS=1-855, -processed-gene-6.14-mRNA-1_1&gene=augustus_masked-gi|1002318557|dbj|BCIP01000004.1|-processed-gene-6.14&CDS=1-1326	YMR183C, YPL232W
130	OG0000130	-processed-gene-15.98-mRNA-1_1&gene=snap_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-15.98&CDS=1-1557, -processed-gene-5.65-mRNA-1_1&gene=snap_masked-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-5.65&CDS=1-990	YAL004W, YDL228C
131	OG0000131	-processed-gene-9.14-mRNA-1_1&gene=genemark-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-9.14&CDS=1-1680, -processed-gene-9.29-mRNA-1_1&gene=genemark-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-9.29&CDS=1-1704	YDR497C, YOL103W
132	OG0000132	-processed-gene-10.84-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-10.84&CDS=1-1722	YIR013C, YLR013W, YPL021W
133	OG0000133	-processed-gene-15.11-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-15.11&CDS=1-1530, -processed-gene-15.12-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-15.12&CDS=1-1635, -processed-gene-15.66-mRNA-1_1&gene=snap_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-15.66&CDS=1-1584	YOR245C
134	OG0000134		YCL069W, YGR224W, YKR105C, YPR198W
135	OG0000135		YKL222C, YLR266C, YOR162C, YOR172W
136	OG0000136	-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-gi|1002318465|dbj|BCIP01000096.1|-processed-gene-0.0&CDS=1-1047, -processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|1002318491|dbj|BCIP01000070.1|-processed-gene-0.2&CDS=1-1047	YLR174W
137	OG0000137	-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|1002318477|dbj|BCIP01000084.1|-processed-gene-0.2&CDS=1-4935, -snap-gene-0.3-mRNA-1_1&gene=maker-gi|1002318481|dbj|BCIP01000080.1|-snap-gene-0.3&CDS=1-7740	YGR281W
138	OG0000138	-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-gi|1002318485|dbj|BCIP01000076.1|-processed-gene-0.10&CDS=1-1710, -processed-gene-5.9-mRNA-1_1&gene=genemark-gi|1002318555|dbj|BCIP01000006.1|-processed-gene-5.9&CDS=1-1674	YDL174C
139	OG0000139	-processed-gene-0.10-mRNA-1_1&gene=genemark-gi|1002318486|dbj|BCIP01000075.1|-processed-gene-0.10&CDS=1-684, -processed-gene-2.89-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-2.89&CDS=1-666	YBR096W
140	OG0000140	-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-3.33&CDS=1-1389, -snap-gene-0.9-mRNA-1_1&gene=maker-gi|1002318487|dbj|BCIP01000074.1|-snap-gene-0.9&CDS=1-2763	YMR027W
141	OG0000141	-snap-gene-0.1-mRNA-1_1&gene=maker-gi|1002318492|dbj|BCIP01000069.1|-snap-gene-0.1&CDS=1-3483, -snap-gene-0.123-mRNA-1_1&gene=maker-gi|1002318515|dbj|BCIP01000046.1|-snap-gene-0.123&CDS=1-3483	YLL032C
142	OG0000142	-processed-gene-0.101-mRNA-1_1&gene=genemark-gi|1002318515|dbj|BCIP01000046.1|-processed-gene-0.101&CDS=1-840, -processed-gene-0.5-mRNA-1_1&gene=genemark-gi|1002318492|dbj|BCIP01000069.1|-processed-gene-0.5&CDS=1-840	YGR271C-A
143	OG0000143	-processed-gene-0.29-mRNA-1_1&gene=genemark-gi|1002318496|dbj|BCIP01000065.1|-processed-gene-0.29&CDS=1-1173, -processed-gene-0.8-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-0.8&CDS=1-2133	YPR048W
144	OG0000144	-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-gi|1002318497|dbj|BCIP01000064.1|-processed-gene-0.36&CDS=1-4212	YAR042W, YDL019C
145	OG0000145	-processed-gene-0.39-mRNA-1_1&gene=genemark-gi|1002318498|dbj|BCIP01000063.1|-processed-gene-0.39&CDS=1-1761	YHL017W, YKL039W
146	OG0000146	-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-gi|1002318498|dbj|BCIP01000063.1|-processed-gene-0.28&CDS=1-2574, -processed-gene-6.74-mRNA-1_1&gene=genemark-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-6.74&CDS=1-2442	YDL106C
147	OG0000147	-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-gi|1002318498|dbj|BCIP01000063.1|-processed-gene-0.29&CDS=1-4704, -processed-gene-6.41-mRNA-1_1&gene=snap_masked-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-6.41&CDS=1-6063	YJL049W
148	OG0000148	-processed-gene-0.5-mRNA-1_1&gene=snap_masked-gi|1002318498|dbj|BCIP01000063.1|-processed-gene-0.5&CDS=1-1020, -processed-gene-6.27-mRNA-1_1&gene=augustus_masked-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-6.27&CDS=1-1131	YHR144C
149	OG0000149	-processed-gene-0.52-mRNA-1_1&gene=genemark-gi|1002318499|dbj|BCIP01000062.1|-processed-gene-0.52&CDS=1-795	YIR035C, YIR036C
150	OG0000150	-processed-gene-0.15-mRNA-1_1&gene=snap_masked-gi|1002318500|dbj|BCIP01000061.1|-processed-gene-0.15&CDS=1-2070	YBR273C, YJL048C
151	OG0000151	-processed-gene-0.37-mRNA-1_1&gene=genemark-gi|1002318501|dbj|BCIP01000060.1|-processed-gene-0.37&CDS=1-963, -processed-gene-5.141-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-5.141&CDS=1-963	YHR104W
152	OG0000152	-processed-gene-0.9-mRNA-1_1&gene=snap_masked-gi|1002318501|dbj|BCIP01000060.1|-processed-gene-0.9&CDS=1-2226	YDR351W, YHR103W
153	OG0000153	-augustus-gene-0.34-mRNA-1_1&gene=maker-gi|1002318501|dbj|BCIP01000060.1|-augustus-gene-0.34&CDS=1-3258, -processed-gene-1.68-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.68&CDS=1-1464	YKL221W
154	OG0000154	-processed-gene-0.25-mRNA-1_1&gene=genemark-gi|1002318503|dbj|BCIP01000058.1|-processed-gene-0.25&CDS=1-2043, -processed-gene-0.67-mRNA-1_1&gene=genemark-gi|1002318528|dbj|BCIP01000033.1|-processed-gene-0.67&CDS=1-2178	YCL057W
155	OG0000155	-processed-gene-0.20-mRNA-1_1&gene=genemark-gi|1002318503|dbj|BCIP01000058.1|-processed-gene-0.20&CDS=1-1770, -processed-gene-4.50-mRNA-1_1&gene=genemark-gi|1002318552|dbj|BCIP01000009.1|-processed-gene-4.50&CDS=1-1803	YBR296C
156	OG0000156	-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-gi|1002318504|dbj|BCIP01000057.1|-processed-gene-0.28&CDS=1-1191, -processed-gene-0.43-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.43&CDS=1-1845	YFL053W
157	OG0000157	-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-gi|1002318504|dbj|BCIP01000057.1|-processed-gene-0.13&CDS=1-2553, -snap-gene-0.2-mRNA-1_1&gene=maker-gi|1002318560|dbj|BCIP01000001.1|-snap-gene-0.2&CDS=1-2322	YIL038C
158	OG0000158	-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-gi|1002318504|dbj|BCIP01000057.1|-processed-gene-0.14&CDS=1-3240, -processed-gene-0.89-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.89&CDS=1-1488	YHR065C
159	OG0000159	-snap-gene-0.3-mRNA-1_1&gene=maker-gi|1002318504|dbj|BCIP01000057.1|-snap-gene-0.3&CDS=1-945	YBR014C, YDL010W
160	OG0000160	-processed-gene-0.83-mRNA-1_1&gene=genemark-gi|1002318504|dbj|BCIP01000057.1|-processed-gene-0.83&CDS=1-465	YBR048W, YDR025W
161	OG0000161	-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-gi|1002318505|dbj|BCIP01000056.1|-processed-gene-0.40&CDS=1-3261	YLR450W, YML075C
162	OG0000162	-processed-gene-0.51-mRNA-1_1&gene=genemark-gi|1002318506|dbj|BCIP01000055.1|-processed-gene-0.51&CDS=1-2013	YGR138C, YPR156C
163	OG0000163	-processed-gene-0.69-mRNA-1_1&gene=genemark-gi|1002318506|dbj|BCIP01000055.1|-processed-gene-0.69&CDS=1-2259	YER064C, YIL056W
164	OG0000164	-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-gi|1002318506|dbj|BCIP01000055.1|-processed-gene-0.24&CDS=1-4566, -processed-gene-1.47-mRNA-1_1&gene=augustus_masked-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-1.47&CDS=1-2655	YMR066W
165	OG0000165	-processed-gene-0.61-mRNA-1_1&gene=genemark-gi|1002318507|dbj|BCIP01000054.1|-processed-gene-0.61&CDS=1-975	YDL048C, YLR375W
166	OG0000166	-processed-gene-0.92-mRNA-1_1&gene=genemark-gi|1002318507|dbj|BCIP01000054.1|-processed-gene-0.92&CDS=1-603, -snap-gene-0.27-mRNA-1_1&gene=maker-gi|1002318508|dbj|BCIP01000053.1|-snap-gene-0.27&CDS=1-588	YDR032C
167	OG0000167	-processed-gene-0.11-mRNA-1_1&gene=genemark-gi|1002318509|dbj|BCIP01000052.1|-processed-gene-0.11&CDS=1-360	YMR230W, YOR293W
168	OG0000168	-processed-gene-0.90-mRNA-1_1&gene=genemark-gi|1002318510|dbj|BCIP01000051.1|-processed-gene-0.90&CDS=1-804, -processed-gene-0.97-mRNA-1_1&gene=genemark-gi|1002318510|dbj|BCIP01000051.1|-processed-gene-0.97&CDS=1-747	YLR326W
169	OG0000169	-processed-gene-0.104-mRNA-1_1&gene=genemark-gi|1002318510|dbj|BCIP01000051.1|-processed-gene-0.104&CDS=1-600	YBL072C, YER102W
170	OG0000170	-processed-gene-0.85-mRNA-1_1&gene=genemark-gi|1002318510|dbj|BCIP01000051.1|-processed-gene-0.85&CDS=1-978	YBL068W, YER099C
