	OrthologID	Saccharomyces_cerevisiae	Saccharomyces_eubayanus
1048	OG0001048	YDR249C	augustus_masked-chrII-processed-gene-7.137-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-7.137&CDS=1-1683
1049	OG0001049	YDR251W	augustus_masked-chrII-processed-gene-7.123-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-7.123&CDS=1-2556
1050	OG0001050	YDR252W	augustus_masked-chrII-processed-gene-7.124-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-7.124&CDS=1-447
1051	OG0001051	YDR253C	augustus_masked-chrII-processed-gene-7.138-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-7.138&CDS=1-567
1052	OG0001052	YDR254W	augustus_masked-chrII-processed-gene-7.125-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-7.125&CDS=1-1374
1053	OG0001053	YDR256C	augustus_masked-chrII-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-7.139&CDS=1-4281
1054	OG0001054	YDR258C	snap_masked-chrII-processed-gene-7.41-mRNA-1_1&gene=snap_masked-chrII-processed-gene-7.41&CDS=1-2433
1055	OG0001055	YDR259C	snap_masked-chrII-processed-gene-7.42-mRNA-1_1&gene=snap_masked-chrII-processed-gene-7.42&CDS=1-1158
1056	OG0001056	YDR261C	snap_masked-chrII-processed-gene-7.43-mRNA-1_1&gene=snap_masked-chrII-processed-gene-7.43&CDS=1-2154
1057	OG0001057	YDR262W	augustus_masked-chrII-processed-gene-7.126-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-7.126&CDS=1-828
1058	OG0001058	YDR263C	augustus_masked-chrII-processed-gene-7.141-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-7.141&CDS=1-987
1059	OG0001059	YDR264C	augustus_masked-chrII-processed-gene-7.142-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-7.142&CDS=1-2286
1060	OG0001060	YDR265W	augustus_masked-chrII-processed-gene-7.127-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-7.127&CDS=1-1011
1061	OG0001061	YDR266C	snap_masked-chrII-processed-gene-7.46-mRNA-1_1&gene=snap_masked-chrII-processed-gene-7.46&CDS=1-1929
1062	OG0001062	YDR267C	snap_masked-chrII-processed-gene-7.47-mRNA-1_1&gene=snap_masked-chrII-processed-gene-7.47&CDS=1-990
1063	OG0001063	YDR270W	maker-chrII-augustus-gene-7.49-mRNA-1_1&gene=maker-chrII-augustus-gene-7.49&CDS=1-5973
1064	OG0001064	YDR275W	snap_masked-chrII-processed-gene-7.27-mRNA-1_1&gene=snap_masked-chrII-processed-gene-7.27&CDS=1-714
1065	OG0001065	YDR277C	snap_masked-chrII-processed-gene-7.48-mRNA-1_1&gene=snap_masked-chrII-processed-gene-7.48&CDS=1-1299
1066	OG0001066	YDR279W	augustus_masked-chrII-processed-gene-8.44-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.44&CDS=1-1050
1067	OG0001067	YDR280W	augustus_masked-chrII-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.45&CDS=1-915
1068	OG0001068	YDR281C	augustus_masked-chrII-processed-gene-8.46-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.46&CDS=1-306
1069	OG0001069	YDR282C	augustus_masked-chrII-processed-gene-8.47-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.47&CDS=1-1251
1070	OG0001070	YDR283C	augustus_masked-chrII-processed-gene-8.48-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.48&CDS=1-5010
1071	OG0001071	YDR284C	snap_masked-chrII-processed-gene-8.104-mRNA-1_1&gene=snap_masked-chrII-processed-gene-8.104&CDS=1-873
1072	OG0001072	YDR285W	augustus_masked-chrII-processed-gene-8.49-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.49&CDS=1-2628
1073	OG0001073	YDR286C	snap_masked-chrII-processed-gene-8.105-mRNA-1_1&gene=snap_masked-chrII-processed-gene-8.105&CDS=1-348
1074	OG0001074	YDR287W	augustus_masked-chrII-processed-gene-8.50-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.50&CDS=1-1800
1075	OG0001075	YDR289C	augustus_masked-chrII-processed-gene-8.66-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.66&CDS=1-1248
1076	OG0001076	YDR291W	augustus_masked-chrII-processed-gene-8.51-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.51&CDS=1-3231
1077	OG0001077	YDR292C	augustus_masked-chrII-processed-gene-8.67-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.67&CDS=1-1863
1078	OG0001078	YDR293C	augustus_masked-chrII-processed-gene-8.68-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.68&CDS=1-3762
1079	OG0001079	YDR294C	snap_masked-chrII-processed-gene-8.108-mRNA-1_1&gene=snap_masked-chrII-processed-gene-8.108&CDS=1-1755
1080	OG0001080	YDR295C	snap_masked-chrII-processed-gene-8.109-mRNA-1_1&gene=snap_masked-chrII-processed-gene-8.109&CDS=1-2028
1081	OG0001081	YDR296W	augustus_masked-chrII-processed-gene-8.52-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.52&CDS=1-678
1082	OG0001082	YDR297W	augustus_masked-chrII-processed-gene-8.53-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.53&CDS=1-1047
1083	OG0001083	YDR298C	augustus_masked-chrII-processed-gene-8.70-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.70&CDS=1-636
1084	OG0001084	YDR299W	augustus_masked-chrII-processed-gene-8.54-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.54&CDS=1-1617
1085	OG0001085	YDR300C	augustus_masked-chrII-processed-gene-8.71-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.71&CDS=1-1284
1086	OG0001086	YDR301W	augustus_masked-chrII-processed-gene-8.55-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.55&CDS=1-4068
1087	OG0001087	YDR302W	augustus_masked-chrII-processed-gene-8.56-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.56&CDS=1-657
1088	OG0001088	YDR303C	genemark-chrII-processed-gene-8.32-mRNA-1_1&gene=genemark-chrII-processed-gene-8.32&CDS=1-2613
1089	OG0001089	YDR304C	snap_masked-chrII-processed-gene-8.112-mRNA-1_1&gene=snap_masked-chrII-processed-gene-8.112&CDS=1-684
1090	OG0001090	YDR305C	maker-chrII-augustus-gene-8.127-mRNA-1_1&gene=maker-chrII-augustus-gene-8.127&CDS=1-618
1091	OG0001091	YDR306C	snap_masked-chrII-processed-gene-8.114-mRNA-1_1&gene=snap_masked-chrII-processed-gene-8.114&CDS=1-1431
1092	OG0001092	YDR307W	augustus_masked-chrII-processed-gene-8.57-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.57&CDS=1-2052
1093	OG0001093	YDR308C	augustus_masked-chrII-processed-gene-8.73-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.73&CDS=1-420
1094	OG0001094	YDR309C	augustus_masked-chrII-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.74&CDS=1-1200
1095	OG0001095	YDR310C	snap_masked-chrII-processed-gene-8.117-mRNA-1_1&gene=snap_masked-chrII-processed-gene-8.117&CDS=1-3225
1096	OG0001096	YDR311W	augustus_masked-chrII-processed-gene-8.58-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.58&CDS=1-1929
1097	OG0001097	YDR314C	augustus_masked-chrII-processed-gene-8.76-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.76&CDS=1-3615
1098	OG0001098	YDR316W	augustus_masked-chrII-processed-gene-8.60-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.60&CDS=1-1413
1099	OG0001099	YDR317W	augustus_masked-chrII-processed-gene-8.61-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.61&CDS=1-2304
1100	OG0001100	YDR320C	augustus_masked-chrII-processed-gene-8.77-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.77&CDS=1-1980
1101	OG0001101	YDR320C-A	augustus_masked-chrII-processed-gene-8.78-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.78&CDS=1-216
1102	OG0001102	YDR321W	augustus_masked-chrII-processed-gene-8.62-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.62&CDS=1-1143
1103	OG0001103	YDR322W	augustus_masked-chrII-processed-gene-8.63-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.63&CDS=1-1158
1104	OG0001104	YDR323C	genemark-chrII-processed-gene-8.42-mRNA-1_1&gene=genemark-chrII-processed-gene-8.42&CDS=1-1866
1105	OG0001105	YDR324C	genemark-chrII-processed-gene-8.43-mRNA-1_1&gene=genemark-chrII-processed-gene-8.43&CDS=1-2217
1106	OG0001106	YDR325W	augustus_masked-chrII-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.64&CDS=1-3099
1107	OG0001107	YDR328C	augustus_masked-chrII-processed-gene-9.106-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.106&CDS=1-594
1108	OG0001108	YDR329C	augustus_masked-chrII-processed-gene-9.107-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.107&CDS=1-1320
1109	OG0001109	YDR332W	augustus_masked-chrII-processed-gene-9.104-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.104&CDS=1-4452
1110	OG0001110	YDR333C	augustus_masked-chrII-processed-gene-9.108-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.108&CDS=1-2160
1111	OG0001111	YDR334W	augustus_masked-chrII-processed-gene-9.109-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.109&CDS=1-4542
1112	OG0001112	YDR335W	augustus_masked-chrII-processed-gene-9.110-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.110&CDS=1-5403
1113	OG0001113	YDR338C	augustus_masked-chrII-processed-gene-9.126-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.126&CDS=1-2085
1114	OG0001114	YDR339C	augustus_masked-chrII-processed-gene-9.127-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.127&CDS=1-567
1115	OG0001115	YDR341C	snap_masked-chrII-processed-gene-9.31-mRNA-1_1&gene=snap_masked-chrII-processed-gene-9.31&CDS=1-1821
1116	OG0001116	YDR346C	augustus_masked-chrII-processed-gene-9.131-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.131&CDS=1-1440
1117	OG0001117	YDR347W	augustus_masked-chrII-processed-gene-9.111-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.111&CDS=1-963
1118	OG0001118	YDR348C	augustus_masked-chrII-processed-gene-9.132-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.132&CDS=1-1518
1119	OG0001119	YDR349C	snap_masked-chrII-processed-gene-9.37-mRNA-1_1&gene=snap_masked-chrII-processed-gene-9.37&CDS=1-1545
1120	OG0001120	YDR350C	genemark-chrII-processed-gene-9.93-mRNA-1_1&gene=genemark-chrII-processed-gene-9.93&CDS=1-2007
1121	OG0001121	YDR351W	snap_masked-chrII-processed-gene-9.15-mRNA-1_1&gene=snap_masked-chrII-processed-gene-9.15&CDS=1-2571
1122	OG0001122	YDR352W	snap_masked-chrII-processed-gene-9.16-mRNA-1_1&gene=snap_masked-chrII-processed-gene-9.16&CDS=1-963
1123	OG0001123	YDR354W	augustus_masked-chrII-processed-gene-9.114-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.114&CDS=1-1152
1124	OG0001124	YDR356W	augustus_masked-chrII-processed-gene-9.115-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.115&CDS=1-2832
1125	OG0001125	YDR357C	augustus_masked-chrII-processed-gene-9.134-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.134&CDS=1-366
1126	OG0001126	YDR359C	snap_masked-chrII-processed-gene-9.39-mRNA-1_1&gene=snap_masked-chrII-processed-gene-9.39&CDS=1-2958
1127	OG0001127	YDR362C	snap_masked-chrII-processed-gene-9.40-mRNA-1_1&gene=snap_masked-chrII-processed-gene-9.40&CDS=1-2757
1128	OG0001128	YDR363W	augustus_masked-chrII-processed-gene-9.117-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.117&CDS=1-1371
1129	OG0001129	YDR363W-A	augustus_masked-chrII-processed-gene-9.118-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.118&CDS=1-279
1130	OG0001130	YDR364C	augustus_masked-chrII-processed-gene-9.136-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.136&CDS=1-3246
1131	OG0001131	YDR367W	maker-chrII-augustus-gene-9.53-mRNA-1_1&gene=maker-chrII-augustus-gene-9.53&CDS=1-687
1132	OG0001132	YDR368W	augustus_masked-chrII-processed-gene-9.120-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.120&CDS=1-936
1133	OG0001133	YDR370C	genemark-chrII-processed-gene-9.100-mRNA-1_1&gene=genemark-chrII-processed-gene-9.100&CDS=1-3885
1134	OG0001134	YDR371W	genemark-chrII-processed-gene-9.79-mRNA-1_1&gene=genemark-chrII-processed-gene-9.79&CDS=1-1533
1135	OG0001135	YDR372C	augustus_masked-chrII-processed-gene-9.139-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.139&CDS=1-1038
1136	OG0001136	YDR373W	augustus_masked-chrII-processed-gene-9.122-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.122&CDS=1-570
1137	OG0001137	YDR374C	augustus_masked-chrII-processed-gene-9.140-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.140&CDS=1-924
1138	OG0001138	YDR374W-A	augustus_masked-chrII-processed-gene-9.123-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.123&CDS=1-306
1139	OG0001139	YDR375C	augustus_masked-chrII-processed-gene-9.141-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.141&CDS=1-1368
1140	OG0001140	YDR376W	augustus_masked-chrII-processed-gene-9.124-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.124&CDS=1-1479
1141	OG0001141	YDR377W	augustus_masked-chrII-processed-gene-9.125-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-9.125&CDS=1-303
1142	OG0001142	YDR378C	augustus_masked-chrII-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.64&CDS=1-258
1143	OG0001143	YDR379C-A	augustus_masked-chrII-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.65&CDS=1-237
1144	OG0001144	YDR379W	augustus_masked-chrII-processed-gene-10.62-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.62&CDS=1-3027
1145	OG0001145	YDR380W	snap_masked-chrII-processed-gene-10.15-mRNA-1_1&gene=snap_masked-chrII-processed-gene-10.15&CDS=1-1905
1146	OG0001146	YDR381C-A	augustus_masked-chrII-processed-gene-10.66-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.66&CDS=1-342
1147	OG0001147	YDR381W	maker-chrII-augustus-gene-10.0-mRNA-1_1&gene=maker-chrII-augustus-gene-10.0&CDS=1-678
1148	OG0001148	YDR382W	augustus_masked-chrII-processed-gene-10.67-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.67&CDS=1-333
1149	OG0001149	YDR383C	augustus_masked-chrII-processed-gene-10.89-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.89&CDS=1-720
1150	OG0001150	YDR384C	augustus_masked-chrII-processed-gene-10.90-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.90&CDS=1-828
1151	OG0001151	YDR387C	augustus_masked-chrII-processed-gene-10.91-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.91&CDS=1-1665
1152	OG0001152	YDR388W	augustus_masked-chrII-processed-gene-10.69-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.69&CDS=1-1395
1153	OG0001153	YDR389W	augustus_masked-chrII-processed-gene-10.70-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.70&CDS=1-1968
1154	OG0001154	YDR390C	snap_masked-chrII-processed-gene-10.45-mRNA-1_1&gene=snap_masked-chrII-processed-gene-10.45&CDS=1-1893
1155	OG0001155	YDR392W	augustus_masked-chrII-processed-gene-10.71-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.71&CDS=1-1011
1156	OG0001156	YDR394W	genemark-chrII-processed-gene-10.114-mRNA-1_1&gene=genemark-chrII-processed-gene-10.114&CDS=1-2514
1157	OG0001157	YDR395W	maker-chrII-snap-gene-10.6-mRNA-1_1&gene=maker-chrII-snap-gene-10.6&CDS=1-3195
1158	OG0001158	YDR397C	augustus_masked-chrII-processed-gene-10.93-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.93&CDS=1-387
1159	OG0001159	YDR398W	augustus_masked-chrII-processed-gene-10.74-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.74&CDS=1-1929
1160	OG0001160	YDR400W	maker-chrII-augustus-gene-10.2-mRNA-1_1&gene=maker-chrII-augustus-gene-10.2&CDS=1-1644
1161	OG0001161	YDR402C	augustus_masked-chrII-processed-gene-10.94-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.94&CDS=1-1467
1162	OG0001162	YDR403W	augustus_masked-chrII-processed-gene-10.77-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.77&CDS=1-1608
1163	OG0001163	YDR404C	augustus_masked-chrII-processed-gene-10.95-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.95&CDS=1-450
1164	OG0001164	YDR405W	augustus_masked-chrII-processed-gene-10.78-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.78&CDS=1-792
1165	OG0001165	YDR407C	augustus_masked-chrII-processed-gene-10.96-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.96&CDS=1-4485
1166	OG0001166	YDR409W	augustus_masked-chrII-processed-gene-10.80-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.80&CDS=1-2694
1167	OG0001167	YDR410C	snap_masked-chrII-processed-gene-10.51-mRNA-1_1&gene=snap_masked-chrII-processed-gene-10.51&CDS=1-726
1168	OG0001168	YDR411C	augustus_masked-chrII-processed-gene-10.97-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.97&CDS=1-1023
1169	OG0001169	YDR412W	augustus_masked-chrII-processed-gene-10.81-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.81&CDS=1-705
1170	OG0001170	YDR414C	augustus_masked-chrII-processed-gene-10.98-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.98&CDS=1-1086
1171	OG0001171	YDR415C	augustus_masked-chrII-processed-gene-10.99-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.99&CDS=1-1125
1172	OG0001172	YDR416W	snap_masked-chrII-processed-gene-10.35-mRNA-1_1&gene=snap_masked-chrII-processed-gene-10.35&CDS=1-2547
1173	OG0001173	YDR419W	augustus_masked-chrII-processed-gene-10.84-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.84&CDS=1-1893
1174	OG0001174	YDR421W	maker-chrII-augustus-gene-10.3-mRNA-1_1&gene=maker-chrII-augustus-gene-10.3&CDS=1-7335
1175	OG0001175	YDR422C	augustus_masked-chrII-processed-gene-10.100-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.100&CDS=1-3279
1176	OG0001176	YDR425W	augustus_masked-chrII-processed-gene-10.87-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.87&CDS=1-1890
1177	OG0001177	YDR427W	augustus_masked-chrII-processed-gene-10.88-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.88&CDS=1-1179
1178	OG0001178	YDR428C	augustus_masked-chrII-processed-gene-10.101-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.101&CDS=1-783
1179	OG0001179	YDR429C	augustus_masked-chrII-processed-gene-10.102-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.102&CDS=1-825
1180	OG0001180	YDR430C	augustus_masked-chrII-processed-gene-10.103-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.103&CDS=1-2967
1181	OG0001181	YDR432W	augustus_masked-chrII-processed-gene-11.190-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.190&CDS=1-1344
1182	OG0001182	YDR434W	augustus_masked-chrII-processed-gene-11.191-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.191&CDS=1-1602
1183	OG0001183	YDR435C	augustus_masked-chrII-processed-gene-11.194-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.194&CDS=1-984
1184	OG0001184	YDR437W	snap_masked-chrII-processed-gene-11.5-mRNA-1_1&gene=snap_masked-chrII-processed-gene-11.5&CDS=1-420
1185	OG0001185	YDR438W	augustus_masked-chrII-processed-gene-11.193-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.193&CDS=1-1158
1186	OG0001186	YDR439W	augustus_masked-chrII-processed-gene-11.195-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.195&CDS=1-1047
1187	OG0001187	YDR440W	augustus_masked-chrII-processed-gene-11.196-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.196&CDS=1-1767
1188	OG0001188	YDR441C	augustus_masked-chrII-processed-gene-11.228-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.228&CDS=1-543
1189	OG0001189	YDR443C	augustus_masked-chrII-processed-gene-11.229-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.229&CDS=1-4296
1190	OG0001190	YDR444W	augustus_masked-chrII-processed-gene-11.197-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.197&CDS=1-2028
1191	OG0001191	YDR446W	augustus_masked-chrII-processed-gene-11.198-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.198&CDS=1-912
1192	OG0001192	YDR448W	augustus_masked-chrII-processed-gene-11.199-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.199&CDS=1-1302
1193	OG0001193	YDR449C	augustus_masked-chrII-processed-gene-11.231-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.231&CDS=1-1320
1194	OG0001194	YDR451C	augustus_masked-chrII-processed-gene-11.232-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.232&CDS=1-1071
1195	OG0001195	YDR452W	snap_masked-chrII-processed-gene-11.13-mRNA-1_1&gene=snap_masked-chrII-processed-gene-11.13&CDS=1-2049
1196	OG0001196	YDR454C	augustus_masked-chrII-processed-gene-11.234-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.234&CDS=1-561
1197	OG0001197	YDR456W	snap_masked-chrII-processed-gene-11.14-mRNA-1_1&gene=snap_masked-chrII-processed-gene-11.14&CDS=1-1911
1198	OG0001198	YDR457W	snap_masked-chrII-processed-gene-11.15-mRNA-1_1&gene=snap_masked-chrII-processed-gene-11.15&CDS=1-9798
1199	OG0001199	YDR458C	augustus_masked-chrII-processed-gene-11.235-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.235&CDS=1-1986
1200	OG0001200	YDR459C	augustus_masked-chrII-processed-gene-11.236-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.236&CDS=1-930
1201	OG0001201	YDR460W	augustus_masked-chrII-processed-gene-11.203-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.203&CDS=1-963
1202	OG0001202	YDR461C-A	snap_masked-chrII-processed-gene-11.55-mRNA-1_1&gene=snap_masked-chrII-processed-gene-11.55&CDS=1-231
1203	OG0001203	YDR463W	augustus_masked-chrII-processed-gene-11.204-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.204&CDS=1-1962
1204	OG0001204	YDR464W	augustus_masked-chrII-processed-gene-11.205-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.205&CDS=1-4461
1205	OG0001205	YDR465C	augustus_masked-chrII-processed-gene-11.237-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.237&CDS=1-1230
1206	OG0001206	YDR466W	augustus_masked-chrII-processed-gene-11.206-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.206&CDS=1-2934
1207	OG0001207	YDR468C	augustus_masked-chrII-processed-gene-11.238-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.238&CDS=1-663
1208	OG0001208	YDR469W	augustus_masked-chrII-processed-gene-11.207-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.207&CDS=1-525
1209	OG0001209	YDR470C	augustus_masked-chrII-processed-gene-11.239-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.239&CDS=1-1497
1210	OG0001210	YDR472W	augustus_masked-chrII-processed-gene-11.209-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.209&CDS=1-852
1211	OG0001211	YDR473C	augustus_masked-chrII-processed-gene-11.240-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.240&CDS=1-1395
1212	OG0001212	YDR475C	maker-chrII-snap-gene-11.101-mRNA-1_1&gene=maker-chrII-snap-gene-11.101&CDS=1-3375
1213	OG0001213	YDR477W	augustus_masked-chrII-processed-gene-11.210-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.210&CDS=1-2493
1214	OG0001214	YDR479C	augustus_masked-chrII-processed-gene-11.242-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.242&CDS=1-1647
1215	OG0001215	YDR480W	genemark-chrII-processed-gene-11.127-mRNA-1_1&gene=genemark-chrII-processed-gene-11.127&CDS=1-990
1216	OG0001216	YDR481C	augustus_masked-chrII-processed-gene-11.243-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.243&CDS=1-1695
1217	OG0001217	YDR482C	augustus_masked-chrII-processed-gene-11.244-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.244&CDS=1-408
1218	OG0001218	YDR483W	augustus_masked-chrII-processed-gene-11.212-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.212&CDS=1-1377
1219	OG0001219	YDR484W	augustus_masked-chrII-processed-gene-11.213-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.213&CDS=1-1917
1220	OG0001220	YDR487C	augustus_masked-chrII-processed-gene-11.245-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.245&CDS=1-3711
1221	OG0001221	YDR488C	augustus_masked-chrII-processed-gene-11.246-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.246&CDS=1-1602
1222	OG0001222	YDR489W	augustus_masked-chrII-processed-gene-11.214-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.214&CDS=1-882
1223	OG0001223	YDR490C	augustus_masked-chrII-processed-gene-11.247-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.247&CDS=1-2280
1224	OG0001224	YDR492W	augustus_masked-chrII-processed-gene-11.215-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.215&CDS=1-2376
1225	OG0001225	YDR495C	augustus_masked-chrII-processed-gene-11.248-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.248&CDS=1-3015
1226	OG0001226	YDR496C	augustus_masked-chrII-processed-gene-11.249-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.249&CDS=1-1974
1227	OG0001227	YDR498C	augustus_masked-chrII-processed-gene-11.251-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.251&CDS=1-1155
1228	OG0001228	YDR499W	augustus_masked-chrII-processed-gene-11.216-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.216&CDS=1-2238
