	OrthologID	Saccharomyces_cerevisiae	Zygosaccharomyces_rouxii
214	OG0000214	YJL043W, YKR015C	snap_masked-Zyro0E-processed-gene-4.33-mRNA-1_1&gene=snap_masked-Zyro0E-processed-gene-4.33&CDS=1-1518
215	OG0000215	YJL079C, YKR013W	augustus_masked-Zyro0G-processed-gene-17.106-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-17.106&CDS=1-1086
216	OG0000216	YJL099W, YKR027W	augustus_masked-Zyro0F-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-1.22&CDS=1-3813
217	OG0000217	YJL134W, YKR053C	augustus_masked-Zyro0D-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-2.66&CDS=1-1206
218	OG0000218	YJL138C, YKR059W	maker-Zyro0D-augustus-gene-2.48-mRNA-1_1&gene=maker-Zyro0D-augustus-gene-2.48&CDS=1-3231
219	OG0000219	YJL172W	augustus_masked-Zyro0F-processed-gene-10.14-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-10.14&CDS=1-1725, augustus_masked-Zyro0G-processed-gene-15.81-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-15.81&CDS=1-1716
220	OG0000220	YJL177W, YKL180W	augustus_masked-Zyro0C-processed-gene-6.145-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-6.145&CDS=1-552
221	OG0000221	YJL190C, YLR367W	augustus_masked-Zyro0C-processed-gene-9.110-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-9.110&CDS=1-390
222	OG0000222	YJR016C	augustus_masked-Zyro0B-processed-gene-12.146-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-12.146&CDS=1-1749, augustus_masked-Zyro0G-processed-gene-9.18-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-9.18&CDS=1-1749
223	OG0000223	YJR019C	augustus_masked-Zyro0G-processed-gene-9.15-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-9.15&CDS=1-1011, snap_masked-Zyro0F-processed-gene-11.11-mRNA-1_1&gene=snap_masked-Zyro0F-processed-gene-11.11&CDS=1-948
224	OG0000224	YJR094W-A, YPR043W	augustus_masked-Zyro0G-processed-gene-14.72-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-14.72&CDS=1-303
225	OG0000225	YKL068W, YMR047C	augustus_masked-Zyro0F-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-0.14&CDS=1-3669
226	OG0000226	YKL127W, YMR105C	augustus_masked-Zyro0G-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-2.98&CDS=1-1707
227	OG0000227	YKL129C, YMR109W	augustus_masked-Zyro0G-processed-gene-16.130-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-16.130&CDS=1-6684
228	OG0000228	YKL215C	augustus_masked-Zyro0C-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-3.4&CDS=1-3846, augustus_masked-Zyro0G-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-0.88&CDS=1-3864
229	OG0000229	YKR072C, YOR054C	maker-Zyro0B-augustus-gene-12.190-mRNA-1_1&gene=maker-Zyro0B-augustus-gene-12.190&CDS=1-3261
230	OG0000230	YKR075C, YOR062C	augustus_masked-Zyro0B-processed-gene-12.161-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-12.161&CDS=1-687
231	OG0000231	YLR004C	augustus_masked-Zyro0A-processed-gene-10.158-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-10.158&CDS=1-1569, augustus_masked-Zyro0A-processed-gene-9.9-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-9.9&CDS=1-1569
232	OG0000232	YLR028C, YMR120C	maker-Zyro0A-augustus-gene-7.46-mRNA-1_1&gene=maker-Zyro0A-augustus-gene-7.46&CDS=1-2313
233	OG0000233	YLR044C, YLR134W	augustus_masked-Zyro0F-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-1.32&CDS=1-1689
234	OG0000234	YLR098C	augustus_masked-Zyro0D-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-5.67&CDS=1-2778, genemark-Zyro0G-processed-gene-14.148-mRNA-1_1&gene=genemark-Zyro0G-processed-gene-14.148&CDS=1-1569
235	OG0000235	YLR138W	augustus_masked-Zyro0F-processed-gene-11.69-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-11.69&CDS=1-2982, genemark-Zyro0D-processed-gene-12.52-mRNA-1_1&gene=genemark-Zyro0D-processed-gene-12.52&CDS=1-2418
236	OG0000236	YLR249W, YNL014W	maker-Zyro0E-augustus-gene-4.2-mRNA-1_1&gene=maker-Zyro0E-augustus-gene-4.2&CDS=1-5466
237	OG0000237	YLR264W, YOR167C	augustus_masked-Zyro0C-processed-gene-5.96-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-5.96&CDS=1-201
238	OG0000238	YLR270W, YOR173W	augustus_masked-Zyro0D-processed-gene-12.2-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-12.2&CDS=1-1686
239	OG0000239	YLR287C-A, YOR182C	snap_masked-Zyro0D-processed-gene-12.140-mRNA-1_1&gene=snap_masked-Zyro0D-processed-gene-12.140&CDS=1-195
240	OG0000240	YLR293C, YOR185C	maker-Zyro0D-augustus-gene-12.153-mRNA-1_1&gene=maker-Zyro0D-augustus-gene-12.153&CDS=1-1218
241	OG0000241	YLR448W, YML073C	augustus_masked-Zyro0B-processed-gene-12.92-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-12.92&CDS=1-1878
242	OG0000242	YML111W, YMR275C	genemark-Zyro0G-processed-gene-11.84-mRNA-1_1&gene=genemark-Zyro0G-processed-gene-11.84&CDS=1-3510
243	OG0000243	YMR183C, YPL232W	augustus_masked-Zyro0E-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-Zyro0E-processed-gene-6.27&CDS=1-960
244	OG0000244	YMR186W, YPL240C	maker-Zyro0E-augustus-gene-6.135-mRNA-1_1&gene=maker-Zyro0E-augustus-gene-6.135&CDS=1-4818
245	OG0000245	YMR230W, YOR293W	maker-Zyro0G-augustus-gene-12.75-mRNA-1_1&gene=maker-Zyro0G-augustus-gene-12.75&CDS=1-315
246	OG0000246	YMR253C, YPL264C	augustus_masked-Zyro0G-processed-gene-10.120-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-10.120&CDS=1-1119
247	OG0000247	YMR316W, YOR385W	snap_masked-Zyro0F-processed-gene-1.140-mRNA-1_1&gene=snap_masked-Zyro0F-processed-gene-1.140&CDS=1-837
248	OG0000248	YNL098C, YOR101W	maker-Zyro0B-augustus-gene-7.0-mRNA-1_1&gene=maker-Zyro0B-augustus-gene-7.0&CDS=1-1800
249	OG0000249	YNL108C, YOR110W	snap_masked-Zyro0B-processed-gene-7.28-mRNA-1_1&gene=snap_masked-Zyro0B-processed-gene-7.28&CDS=1-1959
250	OG0000250	YNL283C, YOL105C	augustus_masked-Zyro0B-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-5.78&CDS=1-1371
251	OG0000251	YNL299W, YOL115W	augustus_masked-Zyro0C-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-2.125&CDS=1-2274
252	OG0000252	YNL327W	augustus_masked-Zyro0C-processed-gene-2.168-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-2.168&CDS=1-6588, snap_masked-Zyro0G-processed-gene-9.170-mRNA-1_1&gene=snap_masked-Zyro0G-processed-gene-9.170&CDS=1-891
253	OG0000253	YOL082W, YOL083W	augustus_masked-Zyro0B-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-4.106&CDS=1-1413
254	OG0000254	YOR226C, YPL135W	augustus_masked-Zyro0F-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-5.101&CDS=1-546
255	OG0000255	YOR229W, YOR230W	augustus_masked-Zyro0F-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-5.75&CDS=1-1296
256	OG0000256	YOR231W, YPL140C	maker-Zyro0F-snap-gene-5.0-mRNA-1_1&gene=maker-Zyro0F-snap-gene-5.0&CDS=1-3909
257	OG0000257	YOR234C, YPL143W	snap_masked-Zyro0F-processed-gene-5.162-mRNA-1_1&gene=snap_masked-Zyro0F-processed-gene-5.162&CDS=1-315
258	OG0000258	YOR279C	augustus_masked-Zyro0A-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-4.92&CDS=1-1062, augustus_masked-Zyro0F-processed-gene-11.89-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-11.89&CDS=1-1014
259	OG0000259	YOR386W	augustus_masked-Zyro0A-processed-gene-10.177-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-10.177&CDS=1-1674, genemark-Zyro0G-processed-gene-17.84-mRNA-1_1&gene=genemark-Zyro0G-processed-gene-17.84&CDS=1-1671
260	OG0000260	YOR390W, YPL279C	augustus_masked-Zyro0F-processed-gene-12.32-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-12.32&CDS=1-1083
261	OG0000261	YPL048W	augustus_masked-Zyro0E-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-Zyro0E-processed-gene-0.53&CDS=1-1239, snap_masked-Zyro0F-processed-gene-6.170-mRNA-1_1&gene=snap_masked-Zyro0F-processed-gene-6.170&CDS=1-1233
262	OG0000262	YPR086W	augustus_masked-Zyro0B-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-0.87&CDS=1-1071, augustus_masked-Zyro0C-processed-gene-13.103-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-13.103&CDS=1-1038
263	OG0000263	YPR194C	augustus_masked-Zyro0D-processed-gene-11.39-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-11.39&CDS=1-3216, augustus_masked-Zyro0D-processed-gene-8.136-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-8.136&CDS=1-2766
264	OG0000264	R0020C	augustus_masked-Zyro0C-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-3.49&CDS=1-1230, snap_masked-Zyro0C-processed-gene-11.132-mRNA-1_1&gene=snap_masked-Zyro0C-processed-gene-11.132&CDS=1-216
265	OG0000265	YAL001C	augustus_masked-Zyro0G-processed-gene-8.115-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-8.115&CDS=1-3486
266	OG0000266	YAL002W	augustus_masked-Zyro0G-processed-gene-8.132-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-8.132&CDS=1-3810
267	OG0000267	YAL003W	augustus_masked-Zyro0G-processed-gene-8.134-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-8.134&CDS=1-609
268	OG0000268	YAL008W	augustus_masked-Zyro0G-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-1.28&CDS=1-600
269	OG0000269	YAL009W	augustus_masked-Zyro0G-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-1.32&CDS=1-816
270	OG0000270	YAL010C	augustus_masked-Zyro0G-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-1.10&CDS=1-1344
271	OG0000271	YAL011W	augustus_masked-Zyro0G-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-1.33&CDS=1-1845
272	OG0000272	YAL012W	augustus_masked-Zyro0D-processed-gene-5.49-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-5.49&CDS=1-1173
273	OG0000273	YAL013W	snap_masked-Zyro0D-processed-gene-4.75-mRNA-1_1&gene=snap_masked-Zyro0D-processed-gene-4.75&CDS=1-1245
274	OG0000274	YAL014C	augustus_masked-Zyro0D-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-4.139&CDS=1-849
275	OG0000275	YAL016W	augustus_masked-Zyro0D-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-4.120&CDS=1-1833
276	OG0000276	YAL018C	snap_masked-Zyro0D-processed-gene-4.93-mRNA-1_1&gene=snap_masked-Zyro0D-processed-gene-4.93&CDS=1-897
277	OG0000277	YAL019W	augustus_masked-Zyro0D-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-4.115&CDS=1-3279
278	OG0000278	YAL020C	augustus_masked-Zyro0D-processed-gene-4.133-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-4.133&CDS=1-1011
279	OG0000279	YAL021C	augustus_masked-Zyro0D-processed-gene-4.132-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-4.132&CDS=1-3816
280	OG0000280	YAL024C	genemark-Zyro0D-processed-gene-4.40-mRNA-1_1&gene=genemark-Zyro0D-processed-gene-4.40&CDS=1-5436
281	OG0000281	YAL026C	augustus_masked-Zyro0D-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-4.129&CDS=1-4020
282	OG0000282	YAL027W	augustus_masked-Zyro0D-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-4.112&CDS=1-2160
283	OG0000283	YAL031C	genemark-Zyro0D-processed-gene-3.65-mRNA-1_1&gene=genemark-Zyro0D-processed-gene-3.65&CDS=1-2757
284	OG0000284	YAL032C	genemark-Zyro0D-processed-gene-3.66-mRNA-1_1&gene=genemark-Zyro0D-processed-gene-3.66&CDS=1-1341
285	OG0000285	YAL033W	augustus_masked-Zyro0D-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-3.32&CDS=1-504
286	OG0000286	YAL035W	augustus_masked-Zyro0D-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-3.36&CDS=1-3027
287	OG0000287	YAL036C	augustus_masked-Zyro0D-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-3.22&CDS=1-1107
288	OG0000288	YAL037W	snap_masked-Zyro0D-processed-gene-3.141-mRNA-1_1&gene=snap_masked-Zyro0D-processed-gene-3.141&CDS=1-738
289	OG0000289	YAL038W	augustus_masked-Zyro0D-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-4.101&CDS=1-1509
290	OG0000290	YAL039C	augustus_masked-Zyro0D-processed-gene-4.104-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-4.104&CDS=1-828
291	OG0000291	YAL040C	augustus_masked-Zyro0D-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-4.105&CDS=1-1551
292	OG0000292	YAL042W	augustus_masked-Zyro0D-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-4.126&CDS=1-3438
293	OG0000293	YAL043C	augustus_masked-Zyro0D-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-4.110&CDS=1-2322
294	OG0000294	YAL044C	augustus_masked-Zyro0C-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-0.87&CDS=1-501
295	OG0000295	YAL044W-A	genemark-Zyro0C-processed-gene-0.111-mRNA-1_1&gene=genemark-Zyro0C-processed-gene-0.111&CDS=1-363
296	OG0000296	YAL046C	augustus_masked-Zyro0C-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-0.86&CDS=1-297
297	OG0000297	YAL047C	augustus_masked-Zyro0C-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-0.85&CDS=1-2139
298	OG0000298	YAL048C	augustus_masked-Zyro0C-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-0.84&CDS=1-1956
299	OG0000299	YAL049C	augustus_masked-Zyro0C-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-0.83&CDS=1-741
300	OG0000300	YAL051W	augustus_masked-Zyro0C-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-0.62&CDS=1-3105
301	OG0000301	YAL053W	augustus_masked-Zyro0C-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-0.61&CDS=1-2319
302	OG0000302	YAL055W	snap_masked-Zyro0C-processed-gene-0.11-mRNA-1_1&gene=snap_masked-Zyro0C-processed-gene-0.11&CDS=1-495
303	OG0000303	YAL058W	augustus_masked-Zyro0C-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-0.56&CDS=1-1752
304	OG0000304	YAL067C	augustus_masked-Zyro0E-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-Zyro0E-processed-gene-6.17&CDS=1-1860
305	OG0000305	YAR002C-A	augustus_masked-Zyro0G-processed-gene-8.114-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-8.114&CDS=1-654
306	OG0000306	YAR002W	snap_masked-Zyro0G-processed-gene-8.34-mRNA-1_1&gene=snap_masked-Zyro0G-processed-gene-8.34&CDS=1-1536
307	OG0000307	YAR003W	augustus_masked-Zyro0G-processed-gene-8.129-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-8.129&CDS=1-1296
308	OG0000308	YAR007C	augustus_masked-Zyro0G-processed-gene-8.112-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-8.112&CDS=1-1845
309	OG0000309	YAR008W	augustus_masked-Zyro0G-processed-gene-8.126-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-8.126&CDS=1-615
310	OG0000310	YAR014C	augustus_masked-Zyro0A-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-4.98&CDS=1-2058
311	OG0000311	YAR015W	augustus_masked-Zyro0A-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-4.75&CDS=1-921
312	OG0000312	YAR018C	augustus_masked-Zyro0A-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-4.99&CDS=1-1245
313	OG0000313	YAR019C	augustus_masked-Zyro0A-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-4.100&CDS=1-2823
314	OG0000314	YAR035W	augustus_masked-Zyro0A-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-4.76&CDS=1-2043
315	OG0000315	YAR042W	maker-Zyro0A-snap-gene-4.60-mRNA-1_1&gene=maker-Zyro0A-snap-gene-4.60&CDS=1-4191
316	OG0000316	YBL001C	augustus_masked-Zyro0A-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-3.41&CDS=1-318
317	OG0000317	YBL003C	augustus_masked-Zyro0A-processed-gene-7.124-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-7.124&CDS=1-396
318	OG0000318	YBL004W	augustus_masked-Zyro0A-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-3.21&CDS=1-7467
319	OG0000319	YBL006C	genemark-Zyro0G-processed-gene-8.77-mRNA-1_1&gene=genemark-Zyro0G-processed-gene-8.77&CDS=1-594
320	OG0000320	YBL007C	augustus_masked-Zyro0G-processed-gene-8.122-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-8.122&CDS=1-4176
321	OG0000321	YBL008W	augustus_masked-Zyro0G-processed-gene-8.106-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-8.106&CDS=1-2526
322	OG0000322	YBL009W	snap_masked-Zyro0G-processed-gene-8.0-mRNA-1_1&gene=snap_masked-Zyro0G-processed-gene-8.0&CDS=1-2397
323	OG0000323	YBL010C	augustus_masked-Zyro0G-processed-gene-8.103-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-8.103&CDS=1-945
324	OG0000324	YBL011W	genemark-Zyro0G-processed-gene-7.34-mRNA-1_1&gene=genemark-Zyro0G-processed-gene-7.34&CDS=1-2274
325	OG0000325	YBL013W	augustus_masked-Zyro0G-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-7.91&CDS=1-1086
326	OG0000326	YBL014C	augustus_masked-Zyro0G-processed-gene-7.110-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-7.110&CDS=1-2727
327	OG0000327	YBL015W	augustus_masked-Zyro0C-processed-gene-10.95-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-10.95&CDS=1-1578
328	OG0000328	YBL016W	augustus_masked-Zyro0C-processed-gene-10.96-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-10.96&CDS=1-1044
329	OG0000329	YBL020W	maker-Zyro0C-augustus-gene-10.54-mRNA-1_1&gene=maker-Zyro0C-augustus-gene-10.54&CDS=1-3156
330	OG0000330	YBL021C	augustus_masked-Zyro0G-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-7.73&CDS=1-510
331	OG0000331	YBL022C	augustus_masked-Zyro0G-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-7.74&CDS=1-3363
332	OG0000332	YBL023C	augustus_masked-Zyro0G-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-7.76&CDS=1-2613
333	OG0000333	YBL024W	augustus_masked-Zyro0G-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-7.98&CDS=1-2049
334	OG0000334	YBL025W	augustus_masked-Zyro0G-processed-gene-7.99-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-7.99&CDS=1-414
335	OG0000335	YBL028C	augustus_masked-Zyro0G-processed-gene-10.99-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-10.99&CDS=1-285
336	OG0000336	YBL029C-A	snap_masked-Zyro0G-processed-gene-10.14-mRNA-1_1&gene=snap_masked-Zyro0G-processed-gene-10.14&CDS=1-282
337	OG0000337	YBL029W	augustus_masked-Zyro0G-processed-gene-10.114-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-10.114&CDS=1-1029
338	OG0000338	YBL031W	augustus_masked-Zyro0G-processed-gene-10.115-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-10.115&CDS=1-912
339	OG0000339	YBL032W	augustus_masked-Zyro0G-processed-gene-10.116-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-10.116&CDS=1-1116
340	OG0000340	YBL033C	augustus_masked-Zyro0G-processed-gene-10.101-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-10.101&CDS=1-912
341	OG0000341	YBL034C	augustus_masked-Zyro0G-processed-gene-10.102-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-10.102&CDS=1-4392
342	OG0000342	YBL035C	augustus_masked-Zyro0G-processed-gene-10.103-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-10.103&CDS=1-1953
343	OG0000343	YBL036C	augustus_masked-Zyro0F-processed-gene-10.12-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-10.12&CDS=1-822
344	OG0000344	YBL037W	augustus_masked-Zyro0F-processed-gene-10.32-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-10.32&CDS=1-3108
345	OG0000345	YBL038W	augustus_masked-Zyro0F-processed-gene-10.33-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-10.33&CDS=1-678
346	OG0000346	YBL039C	augustus_masked-Zyro0G-processed-gene-14.78-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-14.78&CDS=1-1725
347	OG0000347	YBL040C	augustus_masked-Zyro0G-processed-gene-14.79-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-14.79&CDS=1-657
348	OG0000348	YBL041W	augustus_masked-Zyro0G-processed-gene-14.102-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-14.102&CDS=1-732
349	OG0000349	YBL043W	augustus_masked-Zyro0G-processed-gene-14.103-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-14.103&CDS=1-630
350	OG0000350	YBL045C	augustus_masked-Zyro0G-processed-gene-14.81-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-14.81&CDS=1-1344
351	OG0000351	YBL046W	augustus_masked-Zyro0G-processed-gene-14.104-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-14.104&CDS=1-1281
352	OG0000352	YBL047C	augustus_masked-Zyro0G-processed-gene-14.83-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-14.83&CDS=1-4251
353	OG0000353	YBL049W	genemark-Zyro0G-processed-gene-14.159-mRNA-1_1&gene=genemark-Zyro0G-processed-gene-14.159&CDS=1-450
354	OG0000354	YBL050W	augustus_masked-Zyro0G-processed-gene-14.108-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-14.108&CDS=1-876
355	OG0000355	YBL051C	augustus_masked-Zyro0B-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-2.66&CDS=1-2064
356	OG0000356	YBL055C	augustus_masked-Zyro0B-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-2.68&CDS=1-1113
357	OG0000357	YBL056W	augustus_masked-Zyro0B-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-2.86&CDS=1-1419
358	OG0000358	YBL057C	augustus_masked-Zyro0B-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-2.70&CDS=1-618
359	OG0000359	YBL058W	augustus_masked-Zyro0B-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-2.87&CDS=1-1203
360	OG0000360	YBL059C-A	augustus_masked-Zyro0B-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-2.72&CDS=1-306
361	OG0000361	YBL060W	augustus_masked-Zyro0B-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-2.91&CDS=1-2499
362	OG0000362	YBL061C	augustus_masked-Zyro0B-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-2.74&CDS=1-2043
363	OG0000363	YBL064C	augustus_masked-Zyro0B-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-2.75&CDS=1-762
364	OG0000364	YBL066C	augustus_masked-Zyro0B-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-2.76&CDS=1-3717
365	OG0000365	YBL067C	augustus_masked-Zyro0B-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-2.77&CDS=1-2439
366	OG0000366	YBL071W-A	augustus_masked-Zyro0B-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-2.95&CDS=1-246
367	OG0000367	YBL076C	augustus_masked-Zyro0B-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-3.55&CDS=1-3213
368	OG0000368	YBL078C	augustus_masked-Zyro0B-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-3.57&CDS=1-354
369	OG0000369	YBL079W	augustus_masked-Zyro0B-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-3.59&CDS=1-4368
