	OrthologID	Priceomyces_haplophilus	Saccharomyces_cerevisiae
165	OG0000165	-processed-gene-2.87-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-2.87&CDS=1-327, -processed-gene-9.16-mRNA-1_1&gene=augustus_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-9.16&CDS=1-468	YDR382W, YOL039W
166	OG0000166	-processed-gene-10.149-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-10.149&CDS=1-1218, -processed-gene-4.99-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-4.99&CDS=1-3225	YOL087C, YOR212W
167	OG0000167	-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-0.24&CDS=1-2340, -processed-gene-5.42-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-5.42&CDS=1-1746	YFR021W, YPL094C
168	OG0000168	-processed-gene-0.70-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-0.70&CDS=1-1782, -processed-gene-7.40-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-7.40&CDS=1-2343	YGR068C, YOR018W
169	OG0000169	-processed-gene-0.93-mRNA-1_1&gene=genemark-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-0.93&CDS=1-3498, -processed-gene-10.70-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-10.70&CDS=1-1542	YGR059W, YHR107C
170	OG0000170	-processed-gene-1.114-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-1.114&CDS=1-1446, -processed-gene-7.54-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-7.54&CDS=1-1278	YJL193W, YOR307C
171	OG0000171	-processed-gene-2.92-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-2.92&CDS=1-1377, -processed-gene-9.76-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-9.76&CDS=1-1494	YDR463W, YHR006W
172	OG0000172	-processed-gene-15.24-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-15.24&CDS=1-1293, -processed-gene-3.84-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-3.84&CDS=1-1194	YBR025C, YHL014C
173	OG0000173	-processed-gene-5.77-mRNA-1_1&gene=augustus_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-5.77&CDS=1-4917, -processed-gene-7.65-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-7.65&CDS=1-2538	YDR466W, YOL097C
174	OG0000174	-processed-gene-5.49-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-5.49&CDS=1-3234	YDR038C, YDR039C, YDR040C
175	OG0000175	-processed-gene-9.3-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-9.3&CDS=1-1221, -processed-gene-9.94-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-9.94&CDS=1-2217	YDR109C, YNL249C
176	OG0000176	-processed-gene-12.120-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.120&CDS=1-2046, -processed-gene-14.123-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-14.123&CDS=1-1188	YKL005C, YPL181W
177	OG0000177	-processed-gene-12.105-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-12.105&CDS=1-1701, -processed-gene-12.131-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.131&CDS=1-1764	YGL003C, YGL116W
178	OG0000178	-processed-gene-12.136-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.136&CDS=1-1752	YOL055C, YPL258C, YPR121W
179	OG0000179	-processed-gene-12.153-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.153&CDS=1-2394, -processed-gene-7.66-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-7.66&CDS=1-2700	YDR258C, YLL026W
180	OG0000180	-processed-gene-2.106-mRNA-1_1&gene=genemark-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.106&CDS=1-2925, -processed-gene-8.23-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-8.23&CDS=1-2349	YER017C, YMR089C
181	OG0000181	-processed-gene-2.72-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.72&CDS=1-645	YCL067C, YCR039C, YCR096C
182	OG0000182	-processed-gene-3.97-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.97&CDS=1-1005	YGR192C, YJL052W, YJR009C
183	OG0000183	-processed-gene-8.52-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-8.52&CDS=1-999	YLL062C, YMR321C, YPL273W
184	OG0000184	-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-5.17&CDS=1-2061, -processed-gene-9.51-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-9.51&CDS=1-2427	YBL011W, YKR067W
185	OG0000185	-augustus-gene-11.4-mRNA-1_1&gene=maker-gi|1002316138|dbj|BCIF01000002.1|-augustus-gene-11.4&CDS=1-1584	YDL246C, YJR159W, YLR070C
186	OG0000186	-processed-gene-14.62-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-14.62&CDS=1-6030, -processed-gene-8.30-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-8.30&CDS=1-3462	YLR389C, YPR122W
187	OG0000187	-processed-gene-15.34-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-15.34&CDS=1-1374, -processed-gene-9.22-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-9.22&CDS=1-1374	YBR118W, YPR080W
188	OG0000188	-processed-gene-17.173-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-17.173&CDS=1-1692	YOR389W, YPL277C, YPL278C
189	OG0000189	-processed-gene-1.67-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-1.67&CDS=1-1731	YGR087C, YLR044C, YLR134W
190	OG0000190	-processed-gene-17.43-mRNA-1_1&gene=augustus_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-17.43&CDS=1-1326, -processed-gene-3.50-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-3.50&CDS=1-1137	YOR334W, YPL060W
191	OG0000191	-processed-gene-4.122-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-4.122&CDS=1-738, -processed-gene-9.30-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-9.30&CDS=1-2790	YNL148C, YPL174C
192	OG0000192		YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
193	OG0000193	-processed-gene-0.51-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-0.51&CDS=1-1662, -processed-gene-9.123-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-9.123&CDS=1-1701	YDR242W
194	OG0000194	-processed-gene-0.70-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-0.70&CDS=1-453	YEL066W, YPR193C
195	OG0000195	-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-0.127&CDS=1-3042	YHR198C, YHR199C
196	OG0000196	-processed-gene-0.63-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-0.63&CDS=1-672, -processed-gene-10.163-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-10.163&CDS=1-774	YBL064C
197	OG0000197	-processed-gene-0.89-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-0.89&CDS=1-768, -processed-gene-3.46-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-3.46&CDS=1-768	YLR441C
198	OG0000198	-processed-gene-0.92-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-0.92&CDS=1-483	YBR244W, YIR037W
199	OG0000199	-processed-gene-0.66-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-0.66&CDS=1-1053	YDR253C, YPL038W
200	OG0000200	-processed-gene-0.67-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-0.67&CDS=1-1152, -processed-gene-3.16-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-3.16&CDS=1-1113	YDL022W
201	OG0000201	-processed-gene-1.74-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.74&CDS=1-1254, -processed-gene-4.152-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-4.152&CDS=1-1323	YDL131W
202	OG0000202	-processed-gene-1.96-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.96&CDS=1-555	YJL177W, YKL180W
203	OG0000203	-processed-gene-2.108-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.108&CDS=1-3540	YLR031W, YMR124W
204	OG0000204	-processed-gene-2.109-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.109&CDS=1-1044, -processed-gene-9.265-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-9.265&CDS=1-1056	YPR127W
205	OG0000205	-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.85&CDS=1-870, -processed-gene-5.86-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-5.86&CDS=1-867	YJR116W
206	OG0000206	-processed-gene-2.119-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.119&CDS=1-2154	YER066W, YFL009W
207	OG0000207	-processed-gene-2.144-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.144&CDS=1-654	YML106W, YMR271C
208	OG0000208	-processed-gene-2.146-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.146&CDS=1-3870	YML109W, YMR273C
209	OG0000209	-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.72&CDS=1-1707, -processed-gene-7.37-mRNA-1_1&gene=augustus_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-7.37&CDS=1-2094	YDL174C
210	OG0000210	-processed-gene-3.23-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.23&CDS=1-4101	YER132C, YGL197W
211	OG0000211	-augustus-gene-3.48-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-augustus-gene-3.48&CDS=1-1194	YBR210W, YGL054C
212	OG0000212	-processed-gene-4.127-mRNA-1_1&gene=genemark-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.127&CDS=1-1494	YER028C, YGL209W
213	OG0000213	-processed-gene-4.43-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.43&CDS=1-636	YDR151C, YLR136C
214	OG0000214	-processed-gene-18.35-mRNA-1_1&gene=genemark-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-18.35&CDS=1-2313, -processed-gene-4.21-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.21&CDS=1-1257	YPL248C
215	OG0000215	-processed-gene-4.29-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.29&CDS=1-3309	YML100W, YMR261C
216	OG0000216	-processed-gene-5.43-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.43&CDS=1-1557	YBR273C, YJL048C
217	OG0000217	-processed-gene-5.44-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.44&CDS=1-1815	YGR092W, YPR111W
218	OG0000218	-processed-gene-5.59-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.59&CDS=1-1254	YHR179W, YPL171C
219	OG0000219	-processed-gene-0.66-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-0.66&CDS=1-954, -processed-gene-5.25-mRNA-1_1&gene=genemark-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.25&CDS=1-1608	YKL043W
220	OG0000220	-processed-gene-7.68-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.68&CDS=1-942	YCR073W-A, YNR034W
221	OG0000221	-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.24&CDS=1-2877	YEL039C, YJR048W
222	OG0000222	-processed-gene-7.76-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.76&CDS=1-969	YJL133W, YKR052C
223	OG0000223	-augustus-gene-7.93-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-augustus-gene-7.93&CDS=1-2634, -processed-gene-2.31-mRNA-1_1&gene=genemark-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-2.31&CDS=1-1383	YBR286W
224	OG0000224	-snap-gene-7.39-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-snap-gene-7.39&CDS=1-2919	YGL049C, YGR162W
225	OG0000225	-processed-gene-12.89-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-12.89&CDS=1-627, -processed-gene-7.88-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.88&CDS=1-1008	YIR017C
226	OG0000226	-augustus-gene-7.92-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-augustus-gene-7.92&CDS=1-1404, -processed-gene-8.134-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-8.134&CDS=1-546	YGL126W
227	OG0000227	-processed-gene-8.6-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-8.6&CDS=1-4224	YCR073C, YNR031C
228	OG0000228	-processed-gene-7.23-mRNA-1_1&gene=genemark-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-7.23&CDS=1-2823, -snap-gene-8.87-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-snap-gene-8.87&CDS=1-2436	YOR270C
229	OG0000229	-processed-gene-9.108-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-9.108&CDS=1-6441, -snap-gene-17.72-mRNA-1_1&gene=maker-gi|1002316138|dbj|BCIF01000002.1|-snap-gene-17.72&CDS=1-3177	YBR245C
230	OG0000230	-processed-gene-5.89-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-5.89&CDS=1-606, -processed-gene-9.17-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-9.17&CDS=1-591	YIR001C
231	OG0000231	-processed-gene-9.18-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-9.18&CDS=1-1158	YOR390W, YPL279C
232	OG0000232	-augustus-gene-9.65-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-augustus-gene-9.65&CDS=1-1749, -processed-gene-1.86-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-1.86&CDS=1-1755	YAL067C
233	OG0000233	-processed-gene-16.78-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-16.78&CDS=1-1077, -processed-gene-9.24-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-9.24&CDS=1-1077	YLL056C
234	OG0000234	-processed-gene-9.58-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-9.58&CDS=1-654	YDR391C, YOR013W
235	OG0000235	-processed-gene-9.34-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-9.34&CDS=1-480, -processed-gene-9.51-mRNA-1_1&gene=genemark-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-9.51&CDS=1-480	YML079W
236	OG0000236	-processed-gene-0.84-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-0.84&CDS=1-3825, -snap-gene-17.69-mRNA-1_1&gene=maker-gi|1002316138|dbj|BCIF01000002.1|-snap-gene-17.69&CDS=1-2100	YJR045C
237	OG0000237	-processed-gene-0.86-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-0.86&CDS=1-567	YOR226C, YPL135W
238	OG0000238	-processed-gene-1.150-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-1.150&CDS=1-1611, -snap-gene-8.40-mRNA-1_1&gene=maker-gi|1002316136|dbj|BCIF01000004.1|-snap-gene-8.40&CDS=1-1374	YOR059C
239	OG0000239	-processed-gene-1.156-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-1.156&CDS=1-840, -processed-gene-5.65-mRNA-1_1&gene=augustus_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-5.65&CDS=1-1959	YPL123C
240	OG0000240	-processed-gene-2.26-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-2.26&CDS=1-2556, -processed-gene-8.3-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-8.3&CDS=1-2613	YER070W
241	OG0000241	-processed-gene-1.109-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-1.109&CDS=1-2484, -snap-gene-2.108-mRNA-1_1&gene=maker-gi|1002316133|dbj|BCIF01000007.1|-snap-gene-2.108&CDS=1-3141	YHR028C
242	OG0000242	-processed-gene-2.33-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-2.33&CDS=1-798	YDL049C, YJL174W
243	OG0000243	-processed-gene-18.82-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-18.82&CDS=1-1545, -processed-gene-3.51-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-3.51&CDS=1-1590	YMR221C
244	OG0000244	-processed-gene-10.228-mRNA-1_1&gene=genemark-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.228&CDS=1-2373, -snap-gene-3.154-mRNA-1_1&gene=maker-gi|1002316133|dbj|BCIF01000007.1|-snap-gene-3.154&CDS=1-1683	YDL210W
245	OG0000245	-processed-gene-3.68-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-3.68&CDS=1-867, -processed-gene-9.130-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-9.130&CDS=1-861	YNL202W
246	OG0000246	-processed-gene-5.13-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-5.13&CDS=1-855	YER037W, YGL224C
247	OG0000247	-processed-gene-5.14-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-5.14&CDS=1-816	YMR222C, YOR280C
248	OG0000248	-processed-gene-5.18-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-5.18&CDS=1-2256	YJL076W, YKR010C
249	OG0000249	-processed-gene-6.108-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-6.108&CDS=1-1323	YGR141W, YPR157W
250	OG0000250	-processed-gene-6.121-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-6.121&CDS=1-1680	YDR497C, YOL103W
251	OG0000251	-processed-gene-6.131-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-6.131&CDS=1-1653	YFL011W, YMR011W
252	OG0000252	-augustus-gene-6.160-mRNA-1_1&gene=maker-gi|1002316133|dbj|BCIF01000007.1|-augustus-gene-6.160&CDS=1-3000	YKL127W, YMR105C
253	OG0000253	-processed-gene-0.61-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-0.61&CDS=1-1092, -processed-gene-7.52-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-7.52&CDS=1-1176	YBR026C
254	OG0000254	-processed-gene-7.59-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-7.59&CDS=1-2262	YIL105C, YNL047C
255	OG0000255	-processed-gene-7.81-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-7.81&CDS=1-411	YBL087C, YER117W
256	OG0000256	-processed-gene-8.144-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-8.144&CDS=1-651	YGL135W, YPL220W
257	OG0000257	-processed-gene-10.211-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-10.211&CDS=1-1137, -processed-gene-8.128-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-8.128&CDS=1-1155	YLL057C
258	OG0000258	-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-6.54&CDS=1-3846, -processed-gene-8.135-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-8.135&CDS=1-3630	YDR270W
259	OG0000259	-processed-gene-9.125-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-9.125&CDS=1-1551	YBR020W, YDR009W
260	OG0000260	-augustus-gene-9.75-mRNA-1_1&gene=maker-gi|1002316133|dbj|BCIF01000007.1|-augustus-gene-9.75&CDS=1-3093	YGR056W, YLR357W
261	OG0000261	-processed-gene-9.68-mRNA-1_1&gene=augustus_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-9.68&CDS=1-969	YDR277C, YOR047C
262	OG0000262	-processed-gene-0.39-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-0.39&CDS=1-1578, -processed-gene-11.43-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-11.43&CDS=1-1662	YBR008C
263	OG0000263	-processed-gene-0.76-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-0.76&CDS=1-5313, -processed-gene-6.17-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-6.17&CDS=1-5154	YNL271C
264	OG0000264	-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-0.94&CDS=1-6768, -processed-gene-7.57-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-7.57&CDS=1-2220	YML061C
265	OG0000265	-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-1.61&CDS=1-3657	YIL151C, YKR096W
266	OG0000266	-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-1.44&CDS=1-5358	YIL149C, YKR095W
267	OG0000267	-processed-gene-2.94-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-2.94&CDS=1-4479	YCL068C, YCR038C
268	OG0000268	-processed-gene-3.54-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-3.54&CDS=1-945	YCL050C, YDR530C
269	OG0000269	-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-3.29&CDS=1-1227	YHL003C, YKL008C
270	OG0000270	-processed-gene-3.81-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-3.81&CDS=1-1143, -processed-gene-7.79-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-7.79&CDS=1-1062	YBL016W
271	OG0000271	-processed-gene-4.32-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-4.32&CDS=1-2481	YOR256C, YPL176C
272	OG0000272	-processed-gene-7.30-mRNA-1_1&gene=genemark-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-7.30&CDS=1-1941, -snap-gene-5.48-mRNA-1_1&gene=maker-gi|1002316134|dbj|BCIF01000006.1|-snap-gene-5.48&CDS=1-3405	YMR058W
273	OG0000273	-processed-gene-5.13-mRNA-1_1&gene=genemark-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-5.13&CDS=1-624	YGL162W, YPR009W
274	OG0000274	-processed-gene-5.117-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-5.117&CDS=1-465	YBR048W, YDR025W
275	OG0000275	-processed-gene-5.42-mRNA-1_1&gene=genemark-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-5.42&CDS=1-606	YBR014C, YDL010W
276	OG0000276	-processed-gene-5.143-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-5.143&CDS=1-264	YDR500C, YLR185W
277	OG0000277	-processed-gene-6.6-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-6.6&CDS=1-2070	YDR505C, YLR177W
278	OG0000278	-processed-gene-6.31-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-6.31&CDS=1-1497	YDL042C, YOL068C
