	OrthologID	Eremothecium_sinecaudum	Saccharomyces_cerevisiae
415	OG0000415	augustus_masked-CP014242.1-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.56&CDS=1-1344	YGR212W
416	OG0000416	augustus_masked-CP014242.1-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.57&CDS=1-1431	YGR211W
417	OG0000417	augustus_masked-CP014242.1-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.53&CDS=1-1227	YGR210C
418	OG0000418	augustus_masked-CP014242.1-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.54&CDS=1-1773	YPL265W
419	OG0000419	augustus_masked-CP014242.1-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.82&CDS=1-2727	YLR045C
420	OG0000420	augustus_masked-CP014242.1-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.83&CDS=1-948	YGR208W
421	OG0000421	augustus_masked-CP014242.1-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.60&CDS=1-774	YGR207C
422	OG0000422	augustus_masked-CP014242.1-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.84&CDS=1-228	YGR206W
423	OG0000423	augustus_masked-CP014242.1-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.61&CDS=1-1329	YJR024C
424	OG0000424	augustus_masked-CP014242.1-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.85&CDS=1-321	YJR022W
425	OG0000425	augustus_masked-CP014242.1-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.62&CDS=1-750	YJR021C
426	OG0000426	augustus_masked-CP014242.1-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.63&CDS=1-489	YJR017C
427	OG0000427	augustus_masked-CP014242.1-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.87&CDS=1-441	YGR203W
428	OG0000428	augustus_masked-CP014242.1-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.88&CDS=1-1263	YGR202C
429	OG0000429	maker-CP014242.1-augustus-gene-3.101-mRNA-1_1&gene=maker-CP014242.1-augustus-gene-3.101&CDS=1-4053	YJR016C
430	OG0000430	genemark-CP014242.1-processed-gene-3.41-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-3.41&CDS=1-2220	YGR198W
431	OG0000431	augustus_masked-CP014242.1-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.91&CDS=1-609	YJR014W
432	OG0000432	augustus_masked-CP014242.1-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.68&CDS=1-597	YKL159C
433	OG0000433	augustus_masked-CP014242.1-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.69&CDS=1-450	YHR051W
434	OG0000434	augustus_masked-CP014242.1-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.92&CDS=1-441	YKL160W
435	OG0000435	augustus_masked-CP014242.1-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.70&CDS=1-1167	YHR052W
436	OG0000436	augustus_masked-CP014242.1-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.93&CDS=1-1815	YHR032W
437	OG0000437	augustus_masked-CP014242.1-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.73&CDS=1-1425	YHR030C
438	OG0000438	augustus_masked-CP014242.1-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.94&CDS=1-1365	YLR015W
439	OG0000439	genemark-CP014242.1-processed-gene-3.46-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-3.46&CDS=1-4191	YAL024C
440	OG0000440	augustus_masked-CP014242.1-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.74&CDS=1-2256	YOR322C
441	OG0000441	augustus_masked-CP014242.1-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.97&CDS=1-1332	YAL022C
442	OG0000442	augustus_masked-CP014242.1-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.75&CDS=1-1140	YKL113C
443	OG0000443	augustus_masked-CP014242.1-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.76&CDS=1-1074	YKL114C
444	OG0000444	augustus_masked-CP014242.1-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.77&CDS=1-2313	YMR099C
445	OG0000445	augustus_masked-CP014242.1-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.99&CDS=1-642	YKL117W
446	OG0000446	snap_masked-CP014242.1-processed-gene-3.136-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-3.136&CDS=1-4632	YMR247C
447	OG0000447	snap_masked-CP014242.1-processed-gene-3.137-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-3.137&CDS=1-1458	YOR320C
448	OG0000448	augustus_masked-CP014242.1-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.100&CDS=1-609	YOR319W
449	OG0000449	augustus_masked-CP014242.1-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.79&CDS=1-1170	YOL052C
450	OG0000450	snap_masked-CP014242.1-processed-gene-3.140-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-3.140&CDS=1-1224	YBR078W
451	OG0000451	augustus_masked-CP014242.1-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.62&CDS=1-4986	YBR080C
452	OG0000452	maker-CP014242.1-augustus-gene-4.110-mRNA-1_1&gene=maker-CP014242.1-augustus-gene-4.110&CDS=1-651	YDR056C
453	OG0000453	augustus_masked-CP014242.1-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.60&CDS=1-1326	YDR057W
454	OG0000454	augustus_masked-CP014242.1-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.64&CDS=1-3756	YBR081C
455	OG0000455	augustus_masked-CP014242.1-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.65&CDS=1-441	YBR082C
456	OG0000456	genemark-CP014242.1-processed-gene-4.118-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-4.118&CDS=1-3069	YDR060W
457	OG0000457	augustus_masked-CP014242.1-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.67&CDS=1-1785	YBR083W
458	OG0000458	augustus_masked-CP014242.1-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.69&CDS=1-294	YBL028C
459	OG0000459	augustus_masked-CP014242.1-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.91&CDS=1-999	YBL029W
460	OG0000460	genemark-CP014242.1-processed-gene-4.122-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-4.122&CDS=1-300	YBL029C-A
461	OG0000461	augustus_masked-CP014242.1-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.70&CDS=1-906	YBR085W
462	OG0000462	snap_masked-CP014242.1-processed-gene-4.45-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-4.45&CDS=1-1461	YBL031W
463	OG0000463	augustus_masked-CP014242.1-processed-gene-4.94-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.94&CDS=1-1014	YBL032W
464	OG0000464	augustus_masked-CP014242.1-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.71&CDS=1-903	YBL033C
465	OG0000465	augustus_masked-CP014242.1-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.72&CDS=1-4266	YBL034C
466	OG0000466	augustus_masked-CP014242.1-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.73&CDS=1-1971	YBL035C
467	OG0000467	augustus_masked-CP014242.1-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.95&CDS=1-2925	YBR086C
468	OG0000468	augustus_masked-CP014242.1-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.74&CDS=1-741	YBL036C
469	OG0000469	augustus_masked-CP014242.1-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.96&CDS=1-2820	YBL037W
470	OG0000470	augustus_masked-CP014242.1-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.75&CDS=1-1074	YBR087W
471	OG0000471	augustus_masked-CP014242.1-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.97&CDS=1-660	YBL038W
472	OG0000472	augustus_masked-CP014242.1-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.76&CDS=1-1365	YPR047W
473	OG0000473	augustus_masked-CP014242.1-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.77&CDS=1-1857	YPR048W
474	OG0000474	augustus_masked-CP014242.1-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.98&CDS=1-3258	YPR049C
475	OG0000475	genemark-CP014242.1-processed-gene-4.132-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-4.132&CDS=1-522	YPR051W
476	OG0000476	augustus_masked-CP014242.1-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.99&CDS=1-777	YBR088C
477	OG0000477	snap_masked-CP014242.1-processed-gene-4.53-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-4.53&CDS=1-312	YBR091C
478	OG0000478	augustus_masked-CP014242.1-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.78&CDS=1-2127	YBR094W
479	OG0000479	augustus_masked-CP014242.1-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.101&CDS=1-1104	YBR095C
480	OG0000480	augustus_masked-CP014242.1-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.79&CDS=1-693	YBR096W
481	OG0000481	augustus_masked-CP014242.1-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.80&CDS=1-1305	YPR054W
482	OG0000482	genemark-CP014242.1-processed-gene-4.136-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-4.136&CDS=1-7104	YBR097W
483	OG0000483	augustus_masked-CP014242.1-processed-gene-4.83-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.83&CDS=1-2133	YBR098W
484	OG0000484	augustus_masked-CP014242.1-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.102&CDS=1-867	YBR101C
485	OG0000485	augustus_masked-CP014242.1-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.103&CDS=1-2076	YBR102C
486	OG0000486	augustus_masked-CP014242.1-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.85&CDS=1-2454	YPR056W
487	OG0000487	augustus_masked-CP014242.1-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.86&CDS=1-990	YPR057W
488	OG0000488	augustus_masked-CP014242.1-processed-gene-4.104-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.104&CDS=1-762	YPR060C
489	OG0000489	augustus_masked-CP014242.1-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.105&CDS=1-783	YPR061C
490	OG0000490	augustus_masked-CP014242.1-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-4.106&CDS=1-1311	YBR105C
491	OG0000491	genemark-CP014242.1-processed-gene-4.143-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-4.143&CDS=1-567	YBR106W
492	OG0000492	maker-CP014242.1-augustus-gene-4.108-mRNA-1_1&gene=maker-CP014242.1-augustus-gene-4.108&CDS=1-1485	YPR066W
493	OG0000493	snap_masked-CP014242.1-processed-gene-5.4-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-5.4&CDS=1-1713	YBR108W
494	OG0000494	augustus_masked-CP014242.1-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.70&CDS=1-441	YBR109C
495	OG0000495	genemark-CP014242.1-processed-gene-5.118-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-5.118&CDS=1-1260	YBR110W
496	OG0000496	augustus_masked-CP014242.1-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.71&CDS=1-1341	YPR068C
497	OG0000497	augustus_masked-CP014242.1-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.72&CDS=1-882	YPR069C
498	OG0000498	augustus_masked-CP014242.1-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.68&CDS=1-1284	YPR070W
499	OG0000499	augustus_masked-CP014242.1-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.73&CDS=1-639	YBR111C
500	OG0000500	augustus_masked-CP014242.1-processed-gene-5.69-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.69&CDS=1-294	YBR111W-A
501	OG0000501	maker-CP014242.1-snap-gene-5.1-mRNA-1_1&gene=maker-CP014242.1-snap-gene-5.1&CDS=1-2565	YBR112C
502	OG0000502	augustus_masked-CP014242.1-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.91&CDS=1-4155	YBR115C
503	OG0000503	augustus_masked-CP014242.1-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.75&CDS=1-1530	YPR072W
504	OG0000504	augustus_masked-CP014242.1-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.92&CDS=1-471	YPR073C
505	OG0000505	genemark-CP014242.1-processed-gene-5.145-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-5.145&CDS=1-2040	YPR074C
506	OG0000506	snap_masked-CP014242.1-processed-gene-5.33-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-5.33&CDS=1-957	YPR075C
507	OG0000507	augustus_masked-CP014242.1-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.76&CDS=1-1071	YPR079W
508	OG0000508	augustus_masked-CP014242.1-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.78&CDS=1-864	YBR119W
509	OG0000509	augustus_masked-CP014242.1-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.95&CDS=1-477	YBR120C
510	OG0000510	augustus_masked-CP014242.1-processed-gene-5.96-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.96&CDS=1-1974	YBR121C
511	OG0000511	augustus_masked-CP014242.1-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.97&CDS=1-429	YPR082C
512	OG0000512	augustus_masked-CP014242.1-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.98&CDS=1-504	YBR122C
513	OG0000513	augustus_masked-CP014242.1-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.99&CDS=1-1833	YBR123C
514	OG0000514	augustus_masked-CP014242.1-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.100&CDS=1-1287	YBR125C
515	OG0000515	augustus_masked-CP014242.1-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.101&CDS=1-1518	YBR126C
516	OG0000516	snap_masked-CP014242.1-processed-gene-5.17-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-5.17&CDS=1-1491	YPR083W
517	OG0000517	maker-CP014242.1-augustus-gene-5.65-mRNA-1_1&gene=maker-CP014242.1-augustus-gene-5.65&CDS=1-2505	YBR127C
518	OG0000518	augustus_masked-CP014242.1-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.80&CDS=1-1296	YPR084W
519	OG0000519	augustus_masked-CP014242.1-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.103&CDS=1-1215	YPR085C
520	OG0000520	augustus_masked-CP014242.1-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.104&CDS=1-1029	YBR129C
521	OG0000521	augustus_masked-CP014242.1-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.105&CDS=1-1404	YBR130C
522	OG0000522	augustus_masked-CP014242.1-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.106&CDS=1-1584	YPR088C
523	OG0000523	augustus_masked-CP014242.1-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.81&CDS=1-1977	YBR131W
524	OG0000524	augustus_masked-CP014242.1-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.108&CDS=1-1656	YBR132C
525	OG0000525	augustus_masked-CP014242.1-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.82&CDS=1-2334	YPR089W
526	OG0000526	augustus_masked-CP014242.1-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.109&CDS=1-2403	YBR133C
527	OG0000527	augustus_masked-CP014242.1-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.83&CDS=1-363	YBR135W
528	OG0000528	augustus_masked-CP014242.1-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.84&CDS=1-7002	YBR136W
529	OG0000529	augustus_masked-CP014242.1-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.110&CDS=1-2553	YPR091C
530	OG0000530	augustus_masked-CP014242.1-processed-gene-5.85-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.85&CDS=1-1869	YGR080W
531	OG0000531	snap_masked-CP014242.1-processed-gene-5.25-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-5.25&CDS=1-321	YPR094W
532	OG0000532	snap_masked-CP014242.1-processed-gene-5.55-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-5.55&CDS=1-2784	YPR095C
533	OG0000533	augustus_masked-CP014242.1-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.86&CDS=1-483	YPR098C
534	OG0000534	augustus_masked-CP014242.1-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.112&CDS=1-582	YGR082W
535	OG0000535	augustus_masked-CP014242.1-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.87&CDS=1-606	YGR081C
536	OG0000536	snap_masked-CP014242.1-processed-gene-5.57-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-5.57&CDS=1-2865	YPR097W
537	OG0000537	augustus_masked-CP014242.1-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.88&CDS=1-426	YPR100W
538	OG0000538	augustus_masked-CP014242.1-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.114&CDS=1-1824	YGR083C
539	OG0000539	snap_masked-CP014242.1-processed-gene-5.59-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-5.59&CDS=1-909	YGR084C
540	OG0000540	augustus_masked-CP014242.1-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.89&CDS=1-627	YPR101W
541	OG0000541	augustus_masked-CP014242.1-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.53&CDS=1-855	YPR103W
542	OG0000542	augustus_masked-CP014242.1-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.55&CDS=1-3258	YPR104C
543	OG0000543	genemark-CP014242.1-processed-gene-6.105-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-6.105&CDS=1-2493	YPR105C
544	OG0000544	augustus_masked-CP014242.1-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.57&CDS=1-918	YGR086C
545	OG0000545	augustus_masked-CP014242.1-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.54&CDS=1-1239	YPR106W
546	OG0000546	augustus_masked-CP014242.1-processed-gene-6.78-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.78&CDS=1-627	YPR107C
547	OG0000547	genemark-CP014242.1-processed-gene-6.129-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-6.129&CDS=1-603	YAL008W
548	OG0000548	snap_masked-CP014242.1-processed-gene-6.29-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-6.29&CDS=1-2001	YOR014W
549	OG0000549	augustus_masked-CP014242.1-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.80&CDS=1-834	YAL009W
550	OG0000550	snap_masked-CP014242.1-processed-gene-6.5-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-6.5&CDS=1-1383	YAL010C
551	OG0000551	augustus_masked-CP014242.1-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.81&CDS=1-2238	YAL011W
552	OG0000552	augustus_masked-CP014242.1-processed-gene-6.59-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.59&CDS=1-4830	YOL034W
553	OG0000553	augustus_masked-CP014242.1-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.60&CDS=1-699	YOL032W
554	OG0000554	augustus_masked-CP014242.1-processed-gene-6.82-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.82&CDS=1-1179	YOL031C
555	OG0000555	augustus_masked-CP014242.1-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.83&CDS=1-1173	YAL012W
556	OG0000556	augustus_masked-CP014242.1-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.84&CDS=1-321	YOL039W
557	OG0000557	augustus_masked-CP014242.1-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.61&CDS=1-426	YOL040C
558	OG0000558	augustus_masked-CP014242.1-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.85&CDS=1-1428	YAL013W
559	OG0000559	augustus_masked-CP014242.1-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.62&CDS=1-1368	YOL041C
560	OG0000560	augustus_masked-CP014242.1-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.63&CDS=1-810	YAL014C
561	OG0000561	augustus_masked-CP014242.1-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.64&CDS=1-1074	YOL043C
562	OG0000562	augustus_masked-CP014242.1-processed-gene-6.87-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.87&CDS=1-1809	YAL016W
563	OG0000563	augustus_masked-CP014242.1-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.89&CDS=1-3771	YAL017W
564	OG0000564	augustus_masked-CP014242.1-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.65&CDS=1-402	YOL048C
565	OG0000565	augustus_masked-CP014242.1-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.91&CDS=1-1449	YOL049W
566	OG0000566	maker-CP014242.1-snap-gene-6.52-mRNA-1_1&gene=maker-CP014242.1-snap-gene-6.52&CDS=1-2991	YOL051W
567	OG0000567	augustus_masked-CP014242.1-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.93&CDS=1-3231	YAL019W
568	OG0000568	augustus_masked-CP014242.1-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.66&CDS=1-954	YAL020C
569	OG0000569	augustus_masked-CP014242.1-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.67&CDS=1-2193	YAL021C
570	OG0000570	augustus_masked-CP014242.1-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.68&CDS=1-1293	YKL112W
571	OG0000571	augustus_masked-CP014242.1-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.69&CDS=1-1758	YMR098C
572	OG0000572	augustus_masked-CP014242.1-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.94&CDS=1-936	YKL110C
573	OG0000573	augustus_masked-CP014242.1-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.70&CDS=1-1065	YMR097C
574	OG0000574	augustus_masked-CP014242.1-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.95&CDS=1-1185	YMR094W
575	OG0000575	augustus_masked-CP014242.1-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.72&CDS=1-1056	YKL108W
576	OG0000576	augustus_masked-CP014242.1-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.96&CDS=1-1557	YMR093W
577	OG0000577	augustus_masked-CP014242.1-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.73&CDS=1-1818	YMR092C
578	OG0000578	augustus_masked-CP014242.1-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.74&CDS=1-1524	YMR091C
579	OG0000579	augustus_masked-CP014242.1-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.97&CDS=1-771	YMR087W
580	OG0000580	genemark-CP014242.1-processed-gene-6.126-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-6.126&CDS=1-1308	YKL106W
581	OG0000581	augustus_masked-CP014242.1-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.99&CDS=1-2109	YKL104C
582	OG0000582	augustus_masked-CP014242.1-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.100&CDS=1-1539	YKL103C
583	OG0000583	augustus_masked-CP014242.1-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-7.5&CDS=1-744	YKL099C
584	OG0000584	augustus_masked-CP014242.1-processed-gene-7.0-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-7.0&CDS=1-846	YKL098W
