	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035033_Candida_cretensis
230	OG0000230	YDL137W, YDL192W	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-6.62-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-6.62&CDS=1-543
231	OG0000231	YDL161W, YLR206W	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-3.19-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-3.19&CDS=1-1551
232	OG0000232	YDL206W	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-1.56-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-1.56&CDS=1-2235, genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-11.28-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-11.28&CDS=1-1118
233	OG0000233	YDL224C, YNL197C	augustus_masked-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-3.22&CDS=1-2151
234	OG0000234	YDL229W, YNL209W	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-1.21-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-1.21&CDS=1-1839
235	OG0000235	YDL246C, YJR159W	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-0.34&CDS=1-1101
236	OG0000236	YDR005C	augustus_masked-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-6.48-mRNA-1_1&gene=augustus_masked-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-6.48&CDS=1-3492, genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-0.77&CDS=1-1110
237	OG0000237	YDR034C	augustus_masked-NODE_9_length_512680_cov_37.0436_ID_17-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-NODE_9_length_512680_cov_37.0436_ID_17-processed-gene-2.51&CDS=1-4116, augustus_masked-NODE_9_length_512680_cov_37.0436_ID_17-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-NODE_9_length_512680_cov_37.0436_ID_17-processed-gene-2.72&CDS=1-1884
238	OG0000238	YDR066C, YER139C	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-5.70-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-5.70&CDS=1-816
239	OG0000239	YDR069C, YER144C	genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-0.73&CDS=1-2490
240	OG0000240	YDR098C, YER174C	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-3.86-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-3.86&CDS=1-756
241	OG0000241	YDR099W, YER177W	genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-1.156-mRNA-1_1&gene=genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-1.156&CDS=1-780
242	OG0000242	YDR107C, YLR083C	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-3.47-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-3.47&CDS=1-1884
243	OG0000243	YDR122W, YLR096W	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-4.58-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-4.58&CDS=1-3798
244	OG0000244	YDR132C, YLR108C	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-3.53-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-3.53&CDS=1-1302
245	OG0000245	YDR146C, YLR131C	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-0.108-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-0.108&CDS=1-1881
246	OG0000246	YDR151C, YLR136C	genemark-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-0.109&CDS=1-906
247	OG0000247	YDR185C, YLR168C	maker-NODE_1_length_1718446_cov_29.5161_ID_1-augustus-gene-16.64-mRNA-1_1&gene=maker-NODE_1_length_1718446_cov_29.5161_ID_1-augustus-gene-16.64&CDS=1-1554
248	OG0000248	YDR200C, YLR238W	genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-1.125-mRNA-1_1&gene=genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-1.125&CDS=1-1926
249	OG0000249	YDR206W, YLR233C	genemark-NODE_7_length_636414_cov_30.2886_ID_13-processed-gene-5.212-mRNA-1_1&gene=genemark-NODE_7_length_636414_cov_30.2886_ID_13-processed-gene-5.212&CDS=1-2787
250	OG0000250	YDR216W	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-3.67-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-3.67&CDS=1-3744, genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-5.101-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-5.101&CDS=1-762
251	OG0000251	YDR247W, YPL026C	snap_masked-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-8.22-mRNA-1_1&gene=snap_masked-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-8.22&CDS=1-1404
252	OG0000252	YDR251W, YPL032C	genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-2.108-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-2.108&CDS=1-2682
253	OG0000253	YDR252W, YPL037C	genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-2.65-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-2.65&CDS=1-462
254	OG0000254	YDR259C, YOR028C	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-4.32-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-4.32&CDS=1-666
255	OG0000255	YDR264C, YOR034C	genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-15.127-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-15.127&CDS=1-2499
256	OG0000256	YDR272W, YOR040W	maker-NODE_10_length_462220_cov_36.8041_ID_19-augustus-gene-1.150-mRNA-1_1&gene=maker-NODE_10_length_462220_cov_36.8041_ID_19-augustus-gene-1.150&CDS=1-1893
257	OG0000257	YDR277C, YOR047C	genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-1.129-mRNA-1_1&gene=genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-1.129&CDS=1-1020
258	OG0000258	YDR300C, YHR033W	maker-NODE_4_length_1487040_cov_29.706_ID_7-augustus-gene-0.131-mRNA-1_1&gene=maker-NODE_4_length_1487040_cov_29.706_ID_7-augustus-gene-0.131&CDS=1-4239
259	OG0000259	YDR312W, YHR066W	genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.141-mRNA-1_1&gene=genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.141&CDS=1-1197
260	OG0000260	YDR351W, YHR103W	genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-15.119-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-15.119&CDS=1-2751
261	OG0000261	YDR353W, YHR106W	maker-NODE_1_length_1718446_cov_29.5161_ID_1-augustus-gene-8.168-mRNA-1_1&gene=maker-NODE_1_length_1718446_cov_29.5161_ID_1-augustus-gene-8.168&CDS=1-1779
262	OG0000262	YDR368W, YOR120W	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.46-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.46&CDS=1-927
263	OG0000263	YDR379W, YOR127W	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-1.109-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-1.109&CDS=1-3669
264	OG0000264	YDR385W, YOR133W	snap_masked-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.183-mRNA-1_1&gene=snap_masked-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.183&CDS=1-2526
265	OG0000265	YDR389W, YOR134W	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-15.168-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-15.168&CDS=1-1839
266	OG0000266	YDR418W, YEL054C	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-12.17-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-12.17&CDS=1-495
267	OG0000267	YDR447C, YML024W	augustus_masked-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-9.92-mRNA-1_1&gene=augustus_masked-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-9.92&CDS=1-1839
268	OG0000268	YDR450W, YML026C	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-12.17-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-12.17&CDS=1-435
269	OG0000269	YDR451C, YML027W	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-12.38-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-12.38&CDS=1-1167
270	OG0000270	YDR453C, YML028W	genemark-NODE_6_length_679914_cov_30.7648_ID_11-processed-gene-2.73-mRNA-1_1&gene=genemark-NODE_6_length_679914_cov_30.7648_ID_11-processed-gene-2.73&CDS=1-588
271	OG0000271	YDR458C, YML034W	maker-NODE_3_length_1568754_cov_25.1773_ID_5-augustus-gene-6.116-mRNA-1_1&gene=maker-NODE_3_length_1568754_cov_25.1773_ID_5-augustus-gene-6.116&CDS=1-2316
272	OG0000272	YDR490C	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.30-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.30&CDS=1-2496, genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-6.94-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-6.94&CDS=1-3297
273	OG0000273	YDR497C, YOL103W	genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-5.35-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-5.35&CDS=1-1650
274	OG0000274	YDR500C, YLR185W	genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.40-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.40&CDS=1-264
275	OG0000275	YDR501W, YLR183C	genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.18-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.18&CDS=1-1512
276	OG0000276	YDR505C, YLR177W	genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.20-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.20&CDS=1-2133
277	OG0000277	YDR536W	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-5.144-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-5.144&CDS=1-1686, genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-6.86-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-6.86&CDS=1-1665
278	OG0000278	YEL006W, YIL006W	genemark-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-2.133-mRNA-1_1&gene=genemark-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-2.133&CDS=1-1122
279	OG0000279	YEL007W, YHR177W	genemark-NODE_9_length_512680_cov_37.0436_ID_17-processed-gene-2.130-mRNA-1_1&gene=genemark-NODE_9_length_512680_cov_37.0436_ID_17-processed-gene-2.130&CDS=1-1956
280	OG0000280	YEL022W, YJR031C	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-8.39-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-8.39&CDS=1-4368
281	OG0000281	YEL034W, YJR047C	genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-10.50-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-10.50&CDS=1-1599
282	OG0000282	YEL039C, YJR048W	maker-NODE_10_length_462220_cov_36.8041_ID_19-snap-gene-1.153-mRNA-1_1&gene=maker-NODE_10_length_462220_cov_36.8041_ID_19-snap-gene-1.153&CDS=1-1938
283	OG0000283	YEL046C	augustus_masked-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-14.162-mRNA-1_1&gene=augustus_masked-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-14.162&CDS=1-1884, genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-6.77-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-6.77&CDS=1-1134
284	OG0000284	YEL047C, YJR051W	snap_masked-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-7.13-mRNA-1_1&gene=snap_masked-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-7.13&CDS=1-1587
285	OG0000285	YEL060C	genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.152-mRNA-1_1&gene=genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.152&CDS=1-1413, genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-8.5-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-8.5&CDS=1-1626
286	OG0000286	YER017C	genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-13.105-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-13.105&CDS=1-2337, genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-13.242-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-13.242&CDS=1-2958
287	OG0000287	YER019C-A, YER087C-B	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-10.48-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-10.48&CDS=1-261
288	OG0000288	YER031C, YGL210W	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-15.140-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-15.140&CDS=1-654
289	OG0000289	YER037W, YGL224C	maker-NODE_1_length_1718446_cov_29.5161_ID_1-augustus-gene-9.173-mRNA-1_1&gene=maker-NODE_1_length_1718446_cov_29.5161_ID_1-augustus-gene-9.173&CDS=1-1812
290	OG0000290	YER045C, YIL036W	genemark-NODE_9_length_512680_cov_37.0436_ID_17-processed-gene-2.111-mRNA-1_1&gene=genemark-NODE_9_length_512680_cov_37.0436_ID_17-processed-gene-2.111&CDS=1-1368
291	OG0000291	YER056C-A, YIL052C	maker-NODE_1_length_1718446_cov_29.5161_ID_1-snap-gene-5.100-mRNA-1_1&gene=maker-NODE_1_length_1718446_cov_29.5161_ID_1-snap-gene-5.100&CDS=1-363
292	OG0000292	YER057C, YIL051C	snap_masked-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-5.116-mRNA-1_1&gene=snap_masked-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-5.116&CDS=1-420
293	OG0000293	YER059W, YIL050W	genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-5.83-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-5.83&CDS=1-1833
294	OG0000294	YER064C, YIL056W	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-5.58-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-5.58&CDS=1-1683
295	OG0000295	YER066W, YFL009W	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-10.19-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-10.19&CDS=1-2193
296	OG0000296	YER067W, YIL057C	genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-6.84-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-6.84&CDS=1-618
297	OG0000297	YER081W, YIL074C	augustus_masked-NODE_6_length_679914_cov_30.7648_ID_11-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_6_length_679914_cov_30.7648_ID_11-processed-gene-0.73&CDS=1-4257
298	OG0000298	YER131W, YGL189C	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-5.156-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-5.156&CDS=1-363
299	OG0000299	YER166W	augustus_masked-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-13.14-mRNA-1_1&gene=augustus_masked-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-13.14&CDS=1-7605, genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-1.103-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-1.103&CDS=1-5136
300	OG0000300	YFL004W, YPL019C	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-11.43-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-11.43&CDS=1-2400
301	OG0000301	YFL034C-A, YLR061W	snap_masked-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-5.7-mRNA-1_1&gene=snap_masked-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-5.7&CDS=1-360
302	OG0000302	YFL050C, YOL130W	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-10.60-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-10.60&CDS=1-2289
303	OG0000303	YFL059W, YNL333W	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-7.94-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-7.94&CDS=1-882
304	OG0000304	YFL061W, YNL335W	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-3.40-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-3.40&CDS=1-681
305	OG0000305	YFR007W	augustus_masked-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-3.26&CDS=1-642, genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-0.34&CDS=1-684
306	OG0000306	YFR013W, YOL017W	genemark-NODE_12_length_373043_cov_22.0375_ID_23-processed-gene-1.16-mRNA-1_1&gene=genemark-NODE_12_length_373043_cov_22.0375_ID_23-processed-gene-1.16&CDS=1-2499
307	OG0000307	YGL031C, YGR148C	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-4.69-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-4.69&CDS=1-468
308	OG0000308	YGL049C, YGR162W	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-10.25-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-10.25&CDS=1-3180
309	OG0000309	YGL071W, YPL202C	genemark-NODE_12_length_373043_cov_22.0375_ID_23-processed-gene-1.44-mRNA-1_1&gene=genemark-NODE_12_length_373043_cov_22.0375_ID_23-processed-gene-1.44&CDS=1-1398
310	OG0000310	YGL076C, YPL198W	genemark-NODE_7_length_636414_cov_30.2886_ID_13-processed-gene-5.170-mRNA-1_1&gene=genemark-NODE_7_length_636414_cov_30.2886_ID_13-processed-gene-5.170&CDS=1-723
311	OG0000311	YGL082W, YPL191C	genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.127-mRNA-1_1&gene=genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.127&CDS=1-1140
312	OG0000312	YGL133W, YPL216W	genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-11.89-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-11.89&CDS=1-3597
313	OG0000313	YGL135W, YPL220W	genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-11.99-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-11.99&CDS=1-651
314	OG0000314	YGL139W, YPL221W	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-13.262-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-13.262&CDS=1-2346
315	OG0000315	YGL147C, YNL067W	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-10.64-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-10.64&CDS=1-573
316	OG0000316	YGL162W, YPR009W	genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.2-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.2&CDS=1-1095
317	OG0000317	YGL205W	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-12.9-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-12.9&CDS=1-2175, snap_masked-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-12.137-mRNA-1_1&gene=snap_masked-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-12.137&CDS=1-2121
318	OG0000318	YGR008C, YLR327C	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-2.171-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-2.171&CDS=1-261
319	OG0000319	YGR019W	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-3.27-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-3.27&CDS=1-1464, maker-NODE_1_length_1718446_cov_29.5161_ID_1-augustus-gene-7.56-mRNA-1_1&gene=maker-NODE_1_length_1718446_cov_29.5161_ID_1-augustus-gene-7.56&CDS=1-2547
320	OG0000320	YGR027C, YLR333C	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-9.17-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-9.17&CDS=1-312
321	OG0000321	YGR034W, YLR344W	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-8.66-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-8.66&CDS=1-375
322	OG0000322	YGR038W, YLR350W	augustus_masked-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-6.64&CDS=1-2418
323	OG0000323	YGR043C, YLR354C	maker-NODE_3_length_1568754_cov_25.1773_ID_5-augustus-gene-11.10-mRNA-1_1&gene=maker-NODE_3_length_1568754_cov_25.1773_ID_5-augustus-gene-11.10&CDS=1-1500
324	OG0000324	YGR056W, YLR357W	maker-NODE_3_length_1568754_cov_25.1773_ID_5-augustus-gene-7.176-mRNA-1_1&gene=maker-NODE_3_length_1568754_cov_25.1773_ID_5-augustus-gene-7.176&CDS=1-3267
325	OG0000325	YGR070W, YLR371W	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.56-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.56&CDS=1-4029
326	OG0000326	YGR085C, YPR102C	genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-0.89-mRNA-1_1&gene=genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-0.89&CDS=1-498
327	OG0000327	YGR092W, YPR111W	genemark-NODE_12_length_373043_cov_22.0375_ID_23-processed-gene-0.101-mRNA-1_1&gene=genemark-NODE_12_length_373043_cov_22.0375_ID_23-processed-gene-0.101&CDS=1-1851
328	OG0000328	YGR108W, YPR119W	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-3.37-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-3.37&CDS=1-1419
329	OG0000329	YGR118W, YPR132W	genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-4.119-mRNA-1_1&gene=genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-4.119&CDS=1-435
330	OG0000330	YGR121C, YPR138C	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-12.29-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-12.29&CDS=1-1524
331	OG0000331	YGR131W, YPR149W	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-5.102-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-5.102&CDS=1-513
332	OG0000332	YGR138C, YPR156C	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-6.98-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-6.98&CDS=1-1776
333	OG0000333	YGR141W, YPR157W	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-11.75-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-11.75&CDS=1-1299
334	OG0000334	YGR189C	genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-3.71-mRNA-1_1&gene=genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-3.71&CDS=1-1242, genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-4.66-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-4.66&CDS=1-1266
335	OG0000335	YGR209C, YLR043C	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-1.76-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-1.76&CDS=1-309
336	OG0000336	YGR214W, YLR048W	maker-NODE_4_length_1487040_cov_29.706_ID_7-augustus-gene-6.58-mRNA-1_1&gene=maker-NODE_4_length_1487040_cov_29.706_ID_7-augustus-gene-6.58&CDS=1-2787
