	OrthologID	Metschnikowia_borealis	Saccharomyces_cerevisiae
139	OG0000139	augustus_masked-bor_s345-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.1&CDS=1-1422, augustus_masked-bor_s635-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-bor_s635-processed-gene-0.74&CDS=1-1386	YJL081C, YPR034W
140	OG0000140	augustus_masked-bor_s928-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bor_s928-processed-gene-0.11&CDS=1-2346, augustus_masked-bor_s96-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-bor_s96-processed-gene-0.30&CDS=1-279, genemark-bor_s346-processed-gene-0.47-mRNA-1_1&gene=genemark-bor_s346-processed-gene-0.47&CDS=1-2040	YKL213C
141	OG0000141	augustus_masked-bor_s350-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.33&CDS=1-2172, augustus_masked-bor_s635-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-bor_s635-processed-gene-0.56&CDS=1-1797	YGR068C, YOR018W
142	OG0000142	augustus_masked-bor_s350-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.17&CDS=1-3249	YDR038C, YDR039C, YDR040C
143	OG0000143	augustus_masked-bor_s351-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.129&CDS=1-2046, augustus_masked-bor_s451-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-bor_s451-processed-gene-0.41&CDS=1-2139, augustus_masked-bor_s956-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-bor_s956-processed-gene-0.52&CDS=1-2109, snap_masked-bor_s899-processed-gene-0.2-mRNA-1_1&gene=snap_masked-bor_s899-processed-gene-0.2&CDS=1-1713	
144	OG0000144	augustus_masked-bor_s351-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.133&CDS=1-444	YBR067C, YIL011W, YOR010C
145	OG0000145	augustus_masked-bor_s936-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bor_s936-processed-gene-0.20&CDS=1-1548, maker-bor_s352-augustus-gene-0.12-mRNA-1_1&gene=maker-bor_s352-augustus-gene-0.12&CDS=1-1125	YHR030C, YPR054W
146	OG0000146	augustus_masked-bor_s352-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s352-processed-gene-0.3&CDS=1-2055, augustus_masked-bor_s687-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-bor_s687-processed-gene-0.49&CDS=1-2136	YJR005W, YKL135C
147	OG0000147	snap_masked-bor_s361-processed-gene-0.2-mRNA-1_1&gene=snap_masked-bor_s361-processed-gene-0.2&CDS=1-351, snap_masked-bor_s361-processed-gene-0.3-mRNA-1_1&gene=snap_masked-bor_s361-processed-gene-0.3&CDS=1-282, snap_masked-bor_s779-processed-gene-0.68-mRNA-1_1&gene=snap_masked-bor_s779-processed-gene-0.68&CDS=1-816	YCR081W
148	OG0000148	augustus_masked-bor_s370-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-bor_s370-processed-gene-1.105&CDS=1-1224, augustus_masked-bor_s704-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s704-processed-gene-0.16&CDS=1-1353	YLR090W, YNL064C
149	OG0000149	augustus_masked-bor_s44-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-bor_s44-processed-gene-0.54&CDS=1-2523, genemark-bor_s381-processed-gene-0.125-mRNA-1_1&gene=genemark-bor_s381-processed-gene-0.125&CDS=1-2745	YBR073W, YGL163C
150	OG0000150	augustus_masked-bor_s488-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bor_s488-processed-gene-0.18&CDS=1-804, augustus_masked-bor_s870-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-bor_s870-processed-gene-0.73&CDS=1-2295, snap_masked-bor_s384-processed-gene-0.2-mRNA-1_1&gene=snap_masked-bor_s384-processed-gene-0.2&CDS=1-795	YGL014W
151	OG0000151	augustus_masked-bor_s385-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bor_s385-processed-gene-0.7&CDS=1-342, augustus_masked-bor_s571-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-bor_s571-processed-gene-0.59&CDS=1-447, snap_masked-bor_s56-processed-gene-0.24-mRNA-1_1&gene=snap_masked-bor_s56-processed-gene-0.24&CDS=1-225	YFL017C
152	OG0000152	augustus_masked-bor_s785-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s785-processed-gene-0.9&CDS=1-1431, snap_masked-bor_s396-processed-gene-0.48-mRNA-1_1&gene=snap_masked-bor_s396-processed-gene-0.48&CDS=1-1461	YBR283C, YLR378C
153	OG0000153	augustus_masked-bor_s399-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bor_s399-processed-gene-0.18&CDS=1-2166, augustus_masked-bor_s568-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-0.78&CDS=1-2076, augustus_masked-bor_s628-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s628-processed-gene-0.0&CDS=1-2220	YER015W
154	OG0000154	augustus_masked-bor_s399-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-bor_s399-processed-gene-0.52&CDS=1-903	YIL009W, YMR246W, YOR317W
155	OG0000155	augustus_masked-bor_s405-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s405-processed-gene-0.4&CDS=1-1242, augustus_masked-bor_s864-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-bor_s864-processed-gene-0.41&CDS=1-1314	YOR334W, YPL060W
156	OG0000156	augustus_masked-bor_s415-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-bor_s415-processed-gene-0.38&CDS=1-2319, augustus_masked-bor_s561-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bor_s561-processed-gene-0.22&CDS=1-2679	YJL212C, YPR194C
157	OG0000157	augustus_masked-bor_s418-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-bor_s418-processed-gene-0.171&CDS=1-6624, augustus_masked-bor_s683-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bor_s683-processed-gene-0.12&CDS=1-3486	YJL130C, YJR109C
158	OG0000158	augustus_masked-bor_s418-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-bor_s418-processed-gene-0.145&CDS=1-2766, augustus_masked-bor_s93-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-bor_s93-processed-gene-0.90&CDS=1-762	YBL064C, YBR287W
159	OG0000159	augustus_masked-bor_s418-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-bor_s418-processed-gene-0.178&CDS=1-1500, augustus_masked-bor_s426-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-bor_s426-processed-gene-0.44&CDS=1-2274	YGR052W, YHR082C
160	OG0000160	augustus_masked-bor_s439-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s439-processed-gene-0.0&CDS=1-207, augustus_masked-bor_s649-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s649-processed-gene-0.0&CDS=1-207, augustus_masked-bor_s955-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bor_s955-processed-gene-0.37&CDS=1-1380	YDR316W
161	OG0000161	augustus_masked-bor_s44-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-bor_s44-processed-gene-0.42&CDS=1-4641, augustus_masked-bor_s733-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s733-processed-gene-0.1&CDS=1-5493	YHR023W, YOR326W
162	OG0000162	augustus_masked-bor_s440-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bor_s440-processed-gene-0.34&CDS=1-1305, augustus_masked-bor_s52-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-bor_s52-processed-gene-0.28&CDS=1-1782, augustus_masked-bor_s552-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s552-processed-gene-0.0&CDS=1-1068	YNL216W
163	OG0000163	augustus_masked-bor_s442-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-bor_s442-processed-gene-0.45&CDS=1-996	YGR192C, YJL052W, YJR009C
164	OG0000164	augustus_masked-bor_s449-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bor_s449-processed-gene-0.11&CDS=1-1359, genemark-bor_s482-processed-gene-0.63-mRNA-1_1&gene=genemark-bor_s482-processed-gene-0.63&CDS=1-1290	YKL046C, YMR238W
165	OG0000165	augustus_masked-bor_s451-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-bor_s451-processed-gene-0.59&CDS=1-1716, augustus_masked-bor_s527-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bor_s527-processed-gene-0.14&CDS=1-1893	YKR008W, YLR399C
166	OG0000166	augustus_masked-bor_s451-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-bor_s451-processed-gene-1.157&CDS=1-1548, augustus_masked-bor_s683-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bor_s683-processed-gene-0.8&CDS=1-1911, augustus_masked-bor_s845-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bor_s845-processed-gene-0.13&CDS=1-1944	YKR034W
167	OG0000167	augustus_masked-bor_s451-processed-gene-1.163-mRNA-1_1&gene=augustus_masked-bor_s451-processed-gene-1.163&CDS=1-1887, augustus_masked-bor_s568-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-1.56&CDS=1-2502, augustus_masked-bor_s870-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-bor_s870-processed-gene-0.70&CDS=1-1476	YEL061C
168	OG0000168	augustus_masked-bor_s691-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s691-processed-gene-0.0&CDS=1-447, genemark-bor_s464-processed-gene-0.6-mRNA-1_1&gene=genemark-bor_s464-processed-gene-0.6&CDS=1-438	YER039C, YGL225W
169	OG0000169	augustus_masked-bor_s477-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s477-processed-gene-0.5&CDS=1-723, augustus_masked-bor_s782-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s782-processed-gene-0.4&CDS=1-1797	YJL083W, YKR019C
170	OG0000170	augustus_masked-bor_s479-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s479-processed-gene-0.6&CDS=1-540, augustus_masked-bor_s563-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-bor_s563-processed-gene-1.4&CDS=1-486	YDR155C, YML078W
171	OG0000171	augustus_masked-bor_s480-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-bor_s480-processed-gene-0.51&CDS=1-1527, snap_masked-bor_s562-processed-gene-0.12-mRNA-1_1&gene=snap_masked-bor_s562-processed-gene-0.12&CDS=1-186	YDR200C, YLR238W
172	OG0000172	augustus_masked-bor_s482-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-bor_s482-processed-gene-0.72&CDS=1-3150, augustus_masked-bor_s860-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s860-processed-gene-0.16&CDS=1-3138	YLR389C, YPR122W
173	OG0000173	augustus_masked-bor_s500-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-bor_s500-processed-gene-0.93&CDS=1-1095, maker-bor_s482-augustus-gene-0.68-mRNA-1_1&gene=maker-bor_s482-augustus-gene-0.68&CDS=1-1119	YBR249C, YDR035W
174	OG0000174	augustus_masked-bor_s483-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-bor_s483-processed-gene-0.118&CDS=1-1818, augustus_masked-bor_s98-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bor_s98-processed-gene-0.20&CDS=1-1893	YGL125W, YPL023C
175	OG0000175	augustus_masked-bor_s493-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bor_s493-processed-gene-0.11&CDS=1-1467, augustus_masked-bor_s581-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-bor_s581-processed-gene-0.73&CDS=1-1410	YBR263W, YLR058C
176	OG0000176	augustus_masked-bor_s538-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-bor_s538-processed-gene-0.28&CDS=1-1215, augustus_masked-bor_s93-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-bor_s93-processed-gene-0.88&CDS=1-1011	YDR004W, YER095W
177	OG0000177	augustus_masked-bor_s557-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s557-processed-gene-0.6&CDS=1-240, augustus_masked-bor_s885-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s885-processed-gene-0.2&CDS=1-438, augustus_masked-bor_s962-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-bor_s962-processed-gene-0.69&CDS=1-1740	YKL100C
178	OG0000178	augustus_masked-bor_s784-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bor_s784-processed-gene-0.37&CDS=1-990, genemark-bor_s560-processed-gene-0.24-mRNA-1_1&gene=genemark-bor_s560-processed-gene-0.24&CDS=1-1044	YCL064C, YIL167W
179	OG0000179	augustus_masked-bor_s568-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-0.73&CDS=1-4137, augustus_masked-bor_s630-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s630-processed-gene-0.0&CDS=1-2748	YDR416W, YLR143W
180	OG0000180	augustus_masked-bor_s568-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-0.77&CDS=1-915, augustus_masked-bor_s779-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.102&CDS=1-1617	YDR352W, YOL092W
181	OG0000181	augustus_masked-bor_s568-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-1.15&CDS=1-2415, augustus_masked-bor_s671-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-bor_s671-processed-gene-0.60&CDS=1-3447	YHL007C, YNL298W
182	OG0000182	augustus_masked-bor_s568-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-1.39&CDS=1-2184, augustus_masked-bor_s586-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-bor_s586-processed-gene-0.103&CDS=1-1113	YEL007W, YHR177W
183	OG0000183	augustus_masked-bor_s583-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-bor_s583-processed-gene-0.50&CDS=1-954, genemark-bor_s581-processed-gene-0.78-mRNA-1_1&gene=genemark-bor_s581-processed-gene-0.78&CDS=1-984	YBR002C, YMR101C
184	OG0000184	augustus_masked-bor_s583-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-bor_s583-processed-gene-0.40&CDS=1-1362, augustus_masked-bor_s583-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s583-processed-gene-0.6&CDS=1-927	YDR463W, YHR006W
185	OG0000185	augustus_masked-bor_s583-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-bor_s583-processed-gene-0.45&CDS=1-993, augustus_masked-bor_s81-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s81-processed-gene-0.3&CDS=1-996	YCR034W, YLR372W
186	OG0000186	augustus_masked-bor_s632-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s632-processed-gene-0.3&CDS=1-318, augustus_masked-bor_s823-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-bor_s823-processed-gene-0.49&CDS=1-1917	YEL047C, YJR051W
187	OG0000187	genemark-bor_s635-processed-gene-0.40-mRNA-1_1&gene=genemark-bor_s635-processed-gene-0.40&CDS=1-2247, maker-bor_s881-augustus-gene-0.38-mRNA-1_1&gene=maker-bor_s881-augustus-gene-0.38&CDS=1-4293	YLR188W, YOL057W
188	OG0000188	augustus_masked-bor_s779-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.83&CDS=1-921, snap_masked-bor_s647-processed-gene-0.17-mRNA-1_1&gene=snap_masked-bor_s647-processed-gene-0.17&CDS=1-711	YDR319C, YGL126W
189	OG0000189	augustus_masked-bor_s834-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-bor_s834-processed-gene-0.60&CDS=1-1344, snap_masked-bor_s682-processed-gene-0.1-mRNA-1_1&gene=snap_masked-bor_s682-processed-gene-0.1&CDS=1-216	YCL011C, YNL004W
190	OG0000190	augustus_masked-bor_s687-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-bor_s687-processed-gene-0.41&CDS=1-1182, augustus_masked-bor_s772-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s772-processed-gene-0.6&CDS=1-1035	YGL038C, YJR075W
191	OG0000191	augustus_masked-bor_s737-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s737-processed-gene-0.6&CDS=1-1941, augustus_masked-bor_s857-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s857-processed-gene-0.5&CDS=1-561	YDR146C, YLR131C
192	OG0000192	augustus_masked-bor_s750-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s750-processed-gene-0.3&CDS=1-1290, augustus_masked-bor_s785-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s785-processed-gene-0.2&CDS=1-2391	YER047C, YPR173C
193	OG0000193	augustus_masked-bor_s777-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.80&CDS=1-1188, augustus_masked-bor_s834-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-bor_s834-processed-gene-0.48&CDS=1-1191	YBR025C, YHL014C
194	OG0000194	augustus_masked-bor_s857-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s857-processed-gene-0.1&CDS=1-1731, augustus_masked-bor_s96-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bor_s96-processed-gene-0.37&CDS=1-2685	YDR160W, YPL265W
195	OG0000195	augustus_masked-bor_s872-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bor_s872-processed-gene-0.8&CDS=1-6330, genemark-bor_s963-processed-gene-0.7-mRNA-1_1&gene=genemark-bor_s963-processed-gene-0.7&CDS=1-5217	YER172C, YGR271W
196	OG0000196	augustus_masked-bor_s910-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bor_s910-processed-gene-0.26&CDS=1-702	YFL060C, YMR095C, YNL334C
197	OG0000197	augustus_masked-bor_s97-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-bor_s97-processed-gene-0.89&CDS=1-1623, snap_masked-bor_s966-processed-gene-0.17-mRNA-1_1&gene=snap_masked-bor_s966-processed-gene-0.17&CDS=1-762	YFR031C-A, YIL018W
198	OG0000198	augustus_masked-bor_s97-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-bor_s97-processed-gene-0.78&CDS=1-1872	YOR389W, YPL277C, YPL278C
199	OG0000199		YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
200	OG0000200		YKL222C, YLR266C, YOR162C, YOR172W
201	OG0000201	augustus_masked-bor_C50206-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_C50206-processed-gene-0.0&CDS=1-1086	YGL049C, YGR162W
202	OG0000202	snap_masked-bor_C50254-processed-gene-0.1-mRNA-1_1&gene=snap_masked-bor_C50254-processed-gene-0.1&CDS=1-453, snap_masked-bor_s114-processed-gene-0.17-mRNA-1_1&gene=snap_masked-bor_s114-processed-gene-0.17&CDS=1-504	YCL074W
203	OG0000203	maker-bor_C53650-augustus-gene-0.2-mRNA-1_1&gene=maker-bor_C53650-augustus-gene-0.2&CDS=1-672	YGL076C, YPL198W
204	OG0000204	augustus_masked-bor_s80-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.28&CDS=1-3087, snap_masked-bor_s102-processed-gene-0.64-mRNA-1_1&gene=snap_masked-bor_s102-processed-gene-0.64&CDS=1-489	YGL241W
205	OG0000205	augustus_masked-bor_s102-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bor_s102-processed-gene-0.25&CDS=1-1929, augustus_masked-bor_s288-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s288-processed-gene-0.6&CDS=1-1458	YNL027W
206	OG0000206	augustus_masked-bor_s102-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bor_s102-processed-gene-0.8&CDS=1-939, augustus_masked-bor_s516-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-bor_s516-processed-gene-0.77&CDS=1-1137	YOR084W
207	OG0000207	augustus_masked-bor_s102-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bor_s102-processed-gene-0.10&CDS=1-1938, snap_masked-bor_s896-processed-gene-0.1-mRNA-1_1&gene=snap_masked-bor_s896-processed-gene-0.1&CDS=1-318	YDL122W
208	OG0000208	augustus_masked-bor_s482-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-bor_s482-processed-gene-0.78&CDS=1-1152, snap_masked-bor_s102-processed-gene-0.77-mRNA-1_1&gene=snap_masked-bor_s102-processed-gene-0.77&CDS=1-759	YOL018C
209	OG0000209	augustus_masked-bor_s106-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-bor_s106-processed-gene-0.40&CDS=1-1062, snap_masked-bor_s680-processed-gene-0.3-mRNA-1_1&gene=snap_masked-bor_s680-processed-gene-0.3&CDS=1-312	YPL236C
210	OG0000210	augustus_masked-bor_s964-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-bor_s964-processed-gene-0.52&CDS=1-3738, snap_masked-bor_s106-processed-gene-0.70-mRNA-1_1&gene=snap_masked-bor_s106-processed-gene-0.70&CDS=1-1404	YJR089W
211	OG0000211	augustus_masked-bor_s107-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s107-processed-gene-0.0&CDS=1-2886	YJL084C, YKR021W
212	OG0000212	augustus_masked-bor_s107-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s107-processed-gene-0.6&CDS=1-699, maker-bor_s212-augustus-gene-1.130-mRNA-1_1&gene=maker-bor_s212-augustus-gene-1.130&CDS=1-3324	YBR155W
213	OG0000213	augustus_masked-bor_s108-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s108-processed-gene-0.1&CDS=1-468, genemark-bor_s479-processed-gene-0.46-mRNA-1_1&gene=genemark-bor_s479-processed-gene-0.46&CDS=1-2229	YDL077C
214	OG0000214	augustus_masked-bor_s114-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s114-processed-gene-0.9&CDS=1-351, genemark-bor_s202-processed-gene-0.11-mRNA-1_1&gene=genemark-bor_s202-processed-gene-0.11&CDS=1-1926	YDR120C
215	OG0000215	augustus_masked-bor_s116-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s116-processed-gene-0.0&CDS=1-339	YER056C-A, YIL052C
216	OG0000216	augustus_masked-bor_s116-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s116-processed-gene-0.2&CDS=1-624, augustus_masked-bor_s860-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-bor_s860-processed-gene-0.17&CDS=1-1860	YGL095C
217	OG0000217	augustus_masked-bor_s116-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s116-processed-gene-0.9&CDS=1-2052, augustus_masked-bor_s537-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bor_s537-processed-gene-0.11&CDS=1-561	YDR103W
218	OG0000218	augustus_masked-bor_s12-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-bor_s12-processed-gene-0.21&CDS=1-333, augustus_masked-bor_s870-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-bor_s870-processed-gene-0.62&CDS=1-1272	YKR063C
219	OG0000219	augustus_masked-bor_s12-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s12-processed-gene-0.16&CDS=1-303	YCL035C, YDR513W
220	OG0000220	maker-bor_s122-augustus-gene-0.0-mRNA-1_1&gene=maker-bor_s122-augustus-gene-0.0&CDS=1-3393	YER057C, YIL051C
221	OG0000221	augustus_masked-bor_s123-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bor_s123-processed-gene-0.13&CDS=1-825, maker-bor_s445-augustus-gene-0.57-mRNA-1_1&gene=maker-bor_s445-augustus-gene-0.57&CDS=1-1764	YPL243W
222	OG0000222	snap_masked-bor_s126-processed-gene-0.7-mRNA-1_1&gene=snap_masked-bor_s126-processed-gene-0.7&CDS=1-459	YEL034W, YJR047C
223	OG0000223	augustus_masked-bor_s323-processed-gene-0.193-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.193&CDS=1-3663, snap_masked-bor_s128-processed-gene-0.10-mRNA-1_1&gene=snap_masked-bor_s128-processed-gene-0.10&CDS=1-264	YNL273W
224	OG0000224	augustus_masked-bor_s13-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bor_s13-processed-gene-0.13&CDS=1-2625, augustus_masked-bor_s501-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s501-processed-gene-0.5&CDS=1-420	YOR113W
225	OG0000225	snap_masked-bor_s13-processed-gene-0.50-mRNA-1_1&gene=snap_masked-bor_s13-processed-gene-0.50&CDS=1-3609	YHR155W, YNL257C
226	OG0000226	augustus_masked-bor_s137-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-bor_s137-processed-gene-0.41&CDS=1-447, augustus_masked-bor_s822-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s822-processed-gene-0.3&CDS=1-1812	YJL085W
227	OG0000227	augustus_masked-bor_s137-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-bor_s137-processed-gene-0.40&CDS=1-1170, augustus_masked-bor_s97-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-bor_s97-processed-gene-0.107&CDS=1-1113	YEL046C
228	OG0000228	augustus_masked-bor_s145-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s145-processed-gene-0.3&CDS=1-1959, augustus_masked-bor_s451-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-bor_s451-processed-gene-1.135&CDS=1-3657	YGR233C
229	OG0000229	augustus_masked-bor_s148-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-bor_s148-processed-gene-0.44&CDS=1-411	YDR447C, YML024W
230	OG0000230	augustus_masked-bor_s148-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bor_s148-processed-gene-0.37&CDS=1-327, augustus_masked-bor_s881-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-bor_s881-processed-gene-0.24&CDS=1-3171	YEL055C
231	OG0000231	genemark-bor_s149-processed-gene-0.3-mRNA-1_1&gene=genemark-bor_s149-processed-gene-0.3&CDS=1-1257	YAL015C, YOL043C
232	OG0000232	augustus_masked-bor_s149-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bor_s149-processed-gene-0.8&CDS=1-2952, augustus_masked-bor_s302-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-bor_s302-processed-gene-1.12&CDS=1-324	YMR280C
233	OG0000233	augustus_masked-bor_s149-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s149-processed-gene-0.9&CDS=1-927, augustus_masked-bor_s957-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s957-processed-gene-0.1&CDS=1-903	YER175C
234	OG0000234	augustus_masked-bor_s152-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bor_s152-processed-gene-0.26&CDS=1-804, augustus_masked-bor_s581-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-bor_s581-processed-gene-0.56&CDS=1-807	YMR226C
