	OrthologID	Lachancea_fermentati	Saccharomyces_cerevisiae
371	OG0000371	snap_masked-LAFE0A-processed-gene-3.109-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.109&CDS=1-4167	YLR419W
372	OG0000372	snap_masked-LAFE0A-processed-gene-3.132-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.132&CDS=1-1659	YGR088W
373	OG0000373	snap_masked-LAFE0A-processed-gene-3.133-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.133&CDS=1-1224	YPR108W
374	OG0000374	snap_masked-LAFE0A-processed-gene-3.134-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.134&CDS=1-630	YOR016C
375	OG0000375	snap_masked-LAFE0A-processed-gene-3.135-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.135&CDS=1-1134	YHL022C
376	OG0000376	snap_masked-LAFE0A-processed-gene-3.136-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.136&CDS=1-1359	YHL021C
377	OG0000377	snap_masked-LAFE0A-processed-gene-3.112-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.112&CDS=1-2190	YOR017W
378	OG0000378	snap_masked-LAFE0A-processed-gene-3.137-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.137&CDS=1-1047	YMR010W
379	OG0000379	snap_masked-LAFE0A-processed-gene-3.138-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.138&CDS=1-525	YMR009W
380	OG0000380	maker-LAFE0A-augustus-gene-3.49-mRNA-1_1&gene=maker-LAFE0A-augustus-gene-3.49&CDS=1-1272	YPL111W
381	OG0000381	snap_masked-LAFE0A-processed-gene-3.139-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.139&CDS=1-771	YMR244W
382	OG0000382	snap_masked-LAFE0A-processed-gene-3.115-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.115&CDS=1-1257	YMR243C
383	OG0000383	augustus_masked-LAFE0A-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-3.90&CDS=1-1050	YOR315W
384	OG0000384	snap_masked-LAFE0A-processed-gene-3.116-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.116&CDS=1-909	YOR313C
385	OG0000385	snap_masked-LAFE0A-processed-gene-3.118-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.118&CDS=1-852	YOR311C
386	OG0000386	augustus_masked-LAFE0A-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-3.73&CDS=1-1566	YOR310C
387	OG0000387	augustus_masked-LAFE0A-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-3.74&CDS=1-1704	YOR308C
388	OG0000388	snap_masked-LAFE0A-processed-gene-3.120-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.120&CDS=1-1347	YOR307C
389	OG0000389	snap_masked-LAFE0A-processed-gene-3.141-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.141&CDS=1-936	YMR241W
390	OG0000390	snap_masked-LAFE0A-processed-gene-3.142-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.142&CDS=1-708	YOR305W
391	OG0000391	maker-LAFE0A-augustus-gene-3.50-mRNA-1_1&gene=maker-LAFE0A-augustus-gene-3.50&CDS=1-1689	YMR240C
392	OG0000392	snap_masked-LAFE0A-processed-gene-3.123-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.123&CDS=1-1464	YMR239C
393	OG0000393	snap_masked-LAFE0A-processed-gene-3.146-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.146&CDS=1-1206	YOR303W
394	OG0000394	snap_masked-LAFE0A-processed-gene-3.147-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.147&CDS=1-1344	YOR301W
395	OG0000395	snap_masked-LAFE0A-processed-gene-3.124-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.124&CDS=1-498	YHR075C
396	OG0000396	snap_masked-LAFE0A-processed-gene-3.148-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.148&CDS=1-2142	YHR074W
397	OG0000397	snap_masked-LAFE0A-processed-gene-3.150-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.150&CDS=1-1122	YDR321W
398	OG0000398	snap_masked-LAFE0A-processed-gene-3.151-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.151&CDS=1-2658	YHR073W
399	OG0000399	snap_masked-LAFE0A-processed-gene-3.125-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.125&CDS=1-216	YDR320C-A
400	OG0000400	snap_masked-LAFE0A-processed-gene-3.152-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.152&CDS=1-177	YHR072W-A
401	OG0000401	augustus_masked-LAFE0A-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-3.79&CDS=1-1938	YDR320C
402	OG0000402	snap_masked-LAFE0A-processed-gene-3.153-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.153&CDS=1-2193	YHR072W
403	OG0000403	genemark-LAFE0A-processed-gene-3.18-mRNA-1_1&gene=genemark-LAFE0A-processed-gene-3.18&CDS=1-480	YDR319C
404	OG0000404	snap_masked-LAFE0A-processed-gene-3.154-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.154&CDS=1-1008	YDR318W
405	OG0000405	snap_masked-LAFE0A-processed-gene-3.155-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.155&CDS=1-1500	YDR317W
406	OG0000406	snap_masked-LAFE0A-processed-gene-3.156-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.156&CDS=1-684	YHR071W
407	OG0000407	augustus_masked-LAFE0A-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-3.104&CDS=1-876	YDR284C
408	OG0000408	augustus_masked-LAFE0A-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-3.80&CDS=1-2298	YDR285W
409	OG0000409	augustus_masked-LAFE0A-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-3.105&CDS=1-333	YDR286C
410	OG0000410	snap_masked-LAFE0A-processed-gene-3.128-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.128&CDS=1-888	YDR287W
411	OG0000411	augustus_masked-LAFE0A-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-3.82&CDS=1-1008	YDR288W
412	OG0000412	snap_masked-LAFE0A-processed-gene-3.130-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.130&CDS=1-3156	YHR042W
413	OG0000413	maker-LAFE0A-augustus-gene-4.51-mRNA-1_1&gene=maker-LAFE0A-augustus-gene-4.51&CDS=1-1896	YDR280W
414	OG0000414	snap_masked-LAFE0A-processed-gene-4.58-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.58&CDS=1-1665	YHR045W
415	OG0000415	snap_masked-LAFE0A-processed-gene-4.63-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.63&CDS=1-885	YHR046C
416	OG0000416	snap_masked-LAFE0A-processed-gene-4.64-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.64&CDS=1-2580	YKL157W
417	OG0000417	snap_masked-LAFE0A-processed-gene-4.59-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.59&CDS=1-702	YHR049W
418	OG0000418	snap_masked-LAFE0A-processed-gene-4.65-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.65&CDS=1-594	YKL159C
419	OG0000419	snap_masked-LAFE0A-processed-gene-4.66-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.66&CDS=1-444	YHR051W
420	OG0000420	snap_masked-LAFE0A-processed-gene-4.89-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.89&CDS=1-456	YKL160W
421	OG0000421	snap_masked-LAFE0A-processed-gene-4.67-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.67&CDS=1-1119	YHR052W
422	OG0000422	snap_masked-LAFE0A-processed-gene-4.90-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.90&CDS=1-1800	YHR032W
423	OG0000423	snap_masked-LAFE0A-processed-gene-4.70-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.70&CDS=1-1452	YHR030C
424	OG0000424	snap_masked-LAFE0A-processed-gene-4.71-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.71&CDS=1-867	YHR029C
425	OG0000425	snap_masked-LAFE0A-processed-gene-4.72-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.72&CDS=1-2457	YHR028C
426	OG0000426	snap_masked-LAFE0A-processed-gene-4.73-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.73&CDS=1-2922	YHR027C
427	OG0000427	snap_masked-LAFE0A-processed-gene-4.91-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.91&CDS=1-636	YHR026W
428	OG0000428	snap_masked-LAFE0A-processed-gene-4.92-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.92&CDS=1-1071	YHR025W
429	OG0000429	augustus_masked-LAFE0A-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-4.121&CDS=1-1524	YHR024C
430	OG0000430	genemark-LAFE0A-processed-gene-4.35-mRNA-1_1&gene=genemark-LAFE0A-processed-gene-4.35&CDS=1-5589	YHR023W
431	OG0000431	genemark-LAFE0A-processed-gene-4.36-mRNA-1_1&gene=genemark-LAFE0A-processed-gene-4.36&CDS=1-2172	YKL155C
432	OG0000432	snap_masked-LAFE0A-processed-gene-4.77-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.77&CDS=1-762	YKL154W
433	OG0000433	snap_masked-LAFE0A-processed-gene-4.78-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.78&CDS=1-4959	YJL039C
434	OG0000434	snap_masked-LAFE0A-processed-gene-4.95-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.95&CDS=1-6684	YJL042W
435	OG0000435	augustus_masked-LAFE0A-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-4.126&CDS=1-1116	YJL044C
436	OG0000436	snap_masked-LAFE0A-processed-gene-4.96-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.96&CDS=1-741	YKL152C
437	OG0000437	augustus_masked-LAFE0A-processed-gene-4.144-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-4.144&CDS=1-954	YKL151C
438	OG0000438	snap_masked-LAFE0A-processed-gene-4.80-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.80&CDS=1-876	YKL150W
439	OG0000439	genemark-LAFE0A-processed-gene-4.40-mRNA-1_1&gene=genemark-LAFE0A-processed-gene-4.40&CDS=1-1134	YKL149C
440	OG0000440	snap_masked-LAFE0A-processed-gene-4.99-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.99&CDS=1-1911	YKL148C
441	OG0000441	snap_masked-LAFE0A-processed-gene-4.81-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.81&CDS=1-1779	YKL146W
442	OG0000442	maker-LAFE0A-snap-gene-4.53-mRNA-1_1&gene=maker-LAFE0A-snap-gene-4.53&CDS=1-1335	YKL145W
443	OG0000443	snap_masked-LAFE0A-processed-gene-4.100-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.100&CDS=1-630	YKL144C
444	OG0000444	snap_masked-LAFE0A-processed-gene-4.83-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.83&CDS=1-1398	YKL143W
445	OG0000445	snap_masked-LAFE0A-processed-gene-4.84-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.84&CDS=1-645	YKL142W
446	OG0000446	snap_masked-LAFE0A-processed-gene-4.101-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.101&CDS=1-2007	YJL010C
447	OG0000447	snap_masked-LAFE0A-processed-gene-4.102-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.102&CDS=1-1692	YJL008C
448	OG0000448	snap_masked-LAFE0A-processed-gene-4.85-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.85&CDS=1-2421	YJL029C
449	OG0000449	snap_masked-LAFE0A-processed-gene-4.103-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.103&CDS=1-594	YJL030W
450	OG0000450	snap_masked-LAFE0A-processed-gene-4.86-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.86&CDS=1-999	YJL031C
451	OG0000451	augustus_masked-LAFE0A-processed-gene-4.151-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-4.151&CDS=1-978	YJL006C
452	OG0000452	snap_masked-LAFE0A-processed-gene-4.105-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.105&CDS=1-2292	YJL033W
453	OG0000453	snap_masked-LAFE0A-processed-gene-4.87-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.87&CDS=1-645	YLR016C
454	OG0000454	snap_masked-LAFE0A-processed-gene-4.88-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.88&CDS=1-747	YJL035C
455	OG0000455	snap_masked-LAFE0A-processed-gene-5.44-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.44&CDS=1-1266	YJL036W
456	OG0000456	snap_masked-LAFE0A-processed-gene-5.46-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.46&CDS=1-1509	YLR015W
457	OG0000457	snap_masked-LAFE0A-processed-gene-5.43-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.43&CDS=1-2688	YLR014C
458	OG0000458	augustus_masked-LAFE0A-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-5.23&CDS=1-582	YLR009W
459	OG0000459	snap_masked-LAFE0A-processed-gene-5.47-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.47&CDS=1-474	YLR008C
460	OG0000460	snap_masked-LAFE0A-processed-gene-5.71-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.71&CDS=1-831	YLR007W
461	OG0000461	snap_masked-LAFE0A-processed-gene-5.48-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.48&CDS=1-1848	YLR006C
462	OG0000462	snap_masked-LAFE0A-processed-gene-5.49-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.49&CDS=1-2088	YJR005W
463	OG0000463	snap_masked-LAFE0A-processed-gene-5.72-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.72&CDS=1-861	YLR003C
464	OG0000464	snap_masked-LAFE0A-processed-gene-5.73-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.73&CDS=1-1551	YLR004C
465	OG0000465	snap_masked-LAFE0A-processed-gene-5.51-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.51&CDS=1-1410	YLR005W
466	OG0000466	maker-LAFE0A-snap-gene-5.101-mRNA-1_1&gene=maker-LAFE0A-snap-gene-5.101&CDS=1-3600	YNR055C
467	OG0000467	snap_masked-LAFE0A-processed-gene-5.54-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.54&CDS=1-1542	YJR003C
468	OG0000468	snap_masked-LAFE0A-processed-gene-5.55-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.55&CDS=1-672	YEL072W
469	OG0000469	snap_masked-LAFE0A-processed-gene-5.56-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.56&CDS=1-1968	YLR002C
470	OG0000470	maker-LAFE0A-augustus-gene-5.98-mRNA-1_1&gene=maker-LAFE0A-augustus-gene-5.98&CDS=1-4038	YJR001W
471	OG0000471	snap_masked-LAFE0A-processed-gene-5.57-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.57&CDS=1-2667	YLR001C
472	OG0000472	snap_masked-LAFE0A-processed-gene-5.78-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.78&CDS=1-2319	YLL001W
473	OG0000473	snap_masked-LAFE0A-processed-gene-5.79-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.79&CDS=1-1284	YLL002W
474	OG0000474	maker-LAFE0A-snap-gene-5.102-mRNA-1_1&gene=maker-LAFE0A-snap-gene-5.102&CDS=1-645	YJL001W
475	OG0000475	snap_masked-LAFE0A-processed-gene-5.81-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.81&CDS=1-2889	YLL003W
476	OG0000476	snap_masked-LAFE0A-processed-gene-5.58-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.58&CDS=1-1407	YJL002C
477	OG0000477	snap_masked-LAFE0A-processed-gene-5.82-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.82&CDS=1-1902	YLL004W
478	OG0000478	snap_masked-LAFE0A-processed-gene-5.83-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.83&CDS=1-351	YJL003W
479	OG0000479	snap_masked-LAFE0A-processed-gene-5.59-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.59&CDS=1-2706	YLL005C
480	OG0000480	snap_masked-LAFE0A-processed-gene-5.84-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.84&CDS=1-1332	YLL006W
481	OG0000481	snap_masked-LAFE0A-processed-gene-5.60-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.60&CDS=1-1923	YLL007C
482	OG0000482	snap_masked-LAFE0A-processed-gene-5.85-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.85&CDS=1-2172	YLL008W
483	OG0000483	snap_masked-LAFE0A-processed-gene-5.61-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.61&CDS=1-579	YJL004C
484	OG0000484	snap_masked-LAFE0A-processed-gene-5.86-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.86&CDS=1-5403	YJL005W
485	OG0000485	snap_masked-LAFE0A-processed-gene-5.62-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.62&CDS=1-183	YLL009C
486	OG0000486	snap_masked-LAFE0A-processed-gene-5.63-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.63&CDS=1-960	YLR017W
487	OG0000487	augustus_masked-LAFE0A-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-5.36&CDS=1-1083	YLR018C
488	OG0000488	snap_masked-LAFE0A-processed-gene-5.64-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.64&CDS=1-1146	YLR019W
489	OG0000489	augustus_masked-LAFE0A-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-5.37&CDS=1-2952	YLL011W
490	OG0000490	snap_masked-LAFE0A-processed-gene-5.65-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.65&CDS=1-516	YLR021W
491	OG0000491	snap_masked-LAFE0A-processed-gene-5.90-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.90&CDS=1-732	YLR022C
492	OG0000492	snap_masked-LAFE0A-processed-gene-5.91-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.91&CDS=1-1671	YLR023C
493	OG0000493	snap_masked-LAFE0A-processed-gene-5.66-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.66&CDS=1-2301	YLL013C
494	OG0000494	snap_masked-LAFE0A-processed-gene-5.92-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.92&CDS=1-321	YLL014W
495	OG0000495	snap_masked-LAFE0A-processed-gene-5.67-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.67&CDS=1-1170	YGR187C
496	OG0000496	snap_masked-LAFE0A-processed-gene-5.93-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.93&CDS=1-1899	YGR186W
497	OG0000497	snap_masked-LAFE0A-processed-gene-5.68-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.68&CDS=1-1212	YGR185C
498	OG0000498	snap_masked-LAFE0A-processed-gene-5.94-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.94&CDS=1-5457	YLR024C
499	OG0000499	snap_masked-LAFE0A-processed-gene-6.161-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.161&CDS=1-5784	YGR184C
500	OG0000500	augustus_masked-LAFE0A-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-6.89&CDS=1-207	YGR183C
501	OG0000501	snap_masked-LAFE0A-processed-gene-6.164-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.164&CDS=1-309	YGR181W
502	OG0000502	snap_masked-LAFE0A-processed-gene-6.163-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.163&CDS=1-618	YJL024C
503	OG0000503	maker-LAFE0A-augustus-gene-6.83-mRNA-1_1&gene=maker-LAFE0A-augustus-gene-6.83&CDS=1-1923	YGR175C
504	OG0000504	snap_masked-LAFE0A-processed-gene-6.204-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.204&CDS=1-1515	YJL025W
505	OG0000505	snap_masked-LAFE0A-processed-gene-6.205-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.205&CDS=1-2124	YGR178C
506	OG0000506	augustus_masked-LAFE0A-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-6.126&CDS=1-1233	YGR179C
507	OG0000507	snap_masked-LAFE0A-processed-gene-6.167-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.167&CDS=1-969	YGR144W
508	OG0000508	snap_masked-LAFE0A-processed-gene-6.168-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.168&CDS=1-714	YIR042C
509	OG0000509	snap_masked-LAFE0A-processed-gene-6.209-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.209&CDS=1-1206	YJL026W
510	OG0000510	augustus_masked-LAFE0A-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-6.98&CDS=1-906	YJR007W
511	OG0000511	augustus_masked-LAFE0A-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-6.99&CDS=1-969	YJR008W
512	OG0000512	snap_masked-LAFE0A-processed-gene-6.173-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.173&CDS=1-1515	YJR010W
513	OG0000513	augustus_masked-LAFE0A-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-6.131&CDS=1-1143	YGR193C
514	OG0000514	snap_masked-LAFE0A-processed-gene-6.212-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.212&CDS=1-1743	YGR194C
515	OG0000515	snap_masked-LAFE0A-processed-gene-6.213-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.213&CDS=1-264	YJR010C-A
516	OG0000516	snap_masked-LAFE0A-processed-gene-6.214-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.214&CDS=1-735	YJR011C
517	OG0000517	snap_masked-LAFE0A-processed-gene-6.215-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.215&CDS=1-339	YJR012C
518	OG0000518	snap_masked-LAFE0A-processed-gene-6.175-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.175&CDS=1-930	YJR013W
519	OG0000519	snap_masked-LAFE0A-processed-gene-6.176-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.176&CDS=1-735	YGR195W
520	OG0000520	snap_masked-LAFE0A-processed-gene-6.216-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.216&CDS=1-2583	YGR196C
521	OG0000521	snap_masked-LAFE0A-processed-gene-6.177-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.177&CDS=1-588	YJR014W
522	OG0000522	snap_masked-LAFE0A-processed-gene-6.178-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.178&CDS=1-2190	YGR198W
523	OG0000523	snap_masked-LAFE0A-processed-gene-6.217-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.217&CDS=1-2358	YGR200C
524	OG0000524	snap_masked-LAFE0A-processed-gene-6.218-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.218&CDS=1-1770	YJR016C
525	OG0000525	snap_masked-LAFE0A-processed-gene-6.219-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.219&CDS=1-1152	YGR202C
526	OG0000526	snap_masked-LAFE0A-processed-gene-6.180-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.180&CDS=1-435	YGR203W
527	OG0000527	snap_masked-LAFE0A-processed-gene-6.220-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.220&CDS=1-483	YJR017C
528	OG0000528	snap_masked-LAFE0A-processed-gene-6.182-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.182&CDS=1-615	YGR205W
529	OG0000529	snap_masked-LAFE0A-processed-gene-6.221-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.221&CDS=1-228	YJR021C
530	OG0000530	augustus_masked-LAFE0A-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-6.108&CDS=1-357	YJR022W
531	OG0000531	augustus_masked-LAFE0A-processed-gene-6.140-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-6.140&CDS=1-768	YJR024C
532	OG0000532	snap_masked-LAFE0A-processed-gene-6.223-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.223&CDS=1-528	YJR025C
533	OG0000533	snap_masked-LAFE0A-processed-gene-6.184-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.184&CDS=1-294	YGR206W
534	OG0000534	snap_masked-LAFE0A-processed-gene-6.224-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.224&CDS=1-774	YGR207C
535	OG0000535	snap_masked-LAFE0A-processed-gene-6.185-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.185&CDS=1-936	YGR208W
536	OG0000536	snap_masked-LAFE0A-processed-gene-6.186-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.186&CDS=1-2616	YLR045C
537	OG0000537	augustus_masked-LAFE0A-processed-gene-6.146-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-6.146&CDS=1-1749	YPL265W
538	OG0000538	augustus_masked-LAFE0A-processed-gene-6.113-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-6.113&CDS=1-1791	YKL217W
539	OG0000539	augustus_masked-LAFE0A-processed-gene-6.147-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-6.147&CDS=1-1233	YGR210C
540	OG0000540	snap_masked-LAFE0A-processed-gene-6.230-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.230&CDS=1-651	YJR073C
541	OG0000541	augustus_masked-LAFE0A-processed-gene-6.114-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-6.114&CDS=1-3927	YKL209C
542	OG0000542	snap_masked-LAFE0A-processed-gene-6.231-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.231&CDS=1-3045	YKL210W
543	OG0000543	snap_masked-LAFE0A-processed-gene-6.189-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.189&CDS=1-582	YJR074W
