	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034671_Blastobotrys_peoriensis
439	OG0000439	YPR013C, YPR015C	genemark-NODE_158_length_9657_cov_10.5458_ID_315-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_158_length_9657_cov_10.5458_ID_315-processed-gene-0.9&CDS=1-915
440	OG0000440	YPR086W	genemark-NODE_18_length_201582_cov_12.1594_ID_35-processed-gene-1.20-mRNA-1_1&gene=genemark-NODE_18_length_201582_cov_12.1594_ID_35-processed-gene-1.20&CDS=1-1032, genemark-NODE_45_length_109254_cov_12.0209_ID_89-processed-gene-0.125-mRNA-1_1&gene=genemark-NODE_45_length_109254_cov_12.0209_ID_89-processed-gene-0.125&CDS=1-1023
441	OG0000441	YPR127W	genemark-NODE_42_length_114289_cov_11.7125_ID_83-processed-gene-0.118-mRNA-1_1&gene=genemark-NODE_42_length_114289_cov_11.7125_ID_83-processed-gene-0.118&CDS=1-1002, genemark-NODE_77_length_65578_cov_11.8323_ID_153-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_77_length_65578_cov_11.8323_ID_153-processed-gene-0.60&CDS=1-1002
442	OG0000442	YPR169W-A, YPR170W-B	genemark-NODE_113_length_36510_cov_11.3452_ID_225-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_113_length_36510_cov_11.3452_ID_225-processed-gene-0.53&CDS=1-252
443	OG0000443	YAL001C	genemark-NODE_23_length_169011_cov_11.9977_ID_45-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_23_length_169011_cov_11.9977_ID_45-processed-gene-0.99&CDS=1-4416
444	OG0000444	YAL002W	snap_masked-NODE_23_length_169011_cov_11.9977_ID_45-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_23_length_169011_cov_11.9977_ID_45-processed-gene-0.15&CDS=1-2943
445	OG0000445	YAL003W	genemark-NODE_7_length_280080_cov_11.8606_ID_13-processed-gene-1.60-mRNA-1_1&gene=genemark-NODE_7_length_280080_cov_11.8606_ID_13-processed-gene-1.60&CDS=1-663
446	OG0000446	YAL009W	genemark-NODE_65_length_80214_cov_12.9692_ID_129-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_65_length_80214_cov_12.9692_ID_129-processed-gene-0.45&CDS=1-810
447	OG0000447	YAL010C	augustus_masked-NODE_37_length_121468_cov_12.1133_ID_73-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_37_length_121468_cov_12.1133_ID_73-processed-gene-0.88&CDS=1-1167
448	OG0000448	YAL011W	genemark-NODE_37_length_121468_cov_12.1133_ID_73-processed-gene-0.184-mRNA-1_1&gene=genemark-NODE_37_length_121468_cov_12.1133_ID_73-processed-gene-0.184&CDS=1-2334
449	OG0000449	YAL012W	genemark-NODE_88_length_57437_cov_11.9221_ID_175-processed-gene-0.41-mRNA-1_1&gene=genemark-NODE_88_length_57437_cov_11.9221_ID_175-processed-gene-0.41&CDS=1-1167
450	OG0000450	YAL013W	genemark-NODE_5_length_295438_cov_11.9743_ID_9-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_5_length_295438_cov_11.9743_ID_9-processed-gene-0.97&CDS=1-1617
451	OG0000451	YAL014C	genemark-NODE_37_length_121468_cov_12.1133_ID_73-processed-gene-0.186-mRNA-1_1&gene=genemark-NODE_37_length_121468_cov_12.1133_ID_73-processed-gene-0.186&CDS=1-753
452	OG0000452	YAL016W	genemark-NODE_43_length_113857_cov_13.3362_ID_85-processed-gene-0.143-mRNA-1_1&gene=genemark-NODE_43_length_113857_cov_13.3362_ID_85-processed-gene-0.143&CDS=1-1812
453	OG0000453	YAL019W	genemark-NODE_88_length_57437_cov_11.9221_ID_175-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_88_length_57437_cov_11.9221_ID_175-processed-gene-0.28&CDS=1-3114
454	OG0000454	YAL020C	augustus_masked-NODE_88_length_57437_cov_11.9221_ID_175-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_88_length_57437_cov_11.9221_ID_175-processed-gene-0.56&CDS=1-1059
455	OG0000455	YAL021C	genemark-NODE_63_length_83352_cov_12.1533_ID_125-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_63_length_83352_cov_12.1533_ID_125-processed-gene-0.27&CDS=1-2082
456	OG0000456	YAL022C	genemark-NODE_23_length_169011_cov_11.9977_ID_45-processed-gene-0.134-mRNA-1_1&gene=genemark-NODE_23_length_169011_cov_11.9977_ID_45-processed-gene-0.134&CDS=1-1323
457	OG0000457	YAL023C	genemark-NODE_13_length_230157_cov_12.3957_ID_25-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_13_length_230157_cov_12.3957_ID_25-processed-gene-0.13&CDS=1-2205
458	OG0000458	YAL024C	genemark-NODE_1_length_329478_cov_12.9878_ID_1-processed-gene-1.134-mRNA-1_1&gene=genemark-NODE_1_length_329478_cov_12.9878_ID_1-processed-gene-1.134&CDS=1-3234
459	OG0000459	YAL025C	genemark-NODE_1_length_329478_cov_12.9878_ID_1-processed-gene-1.133-mRNA-1_1&gene=genemark-NODE_1_length_329478_cov_12.9878_ID_1-processed-gene-1.133&CDS=1-891
460	OG0000460	YAL026C	genemark-NODE_1_length_329478_cov_12.9878_ID_1-processed-gene-1.121-mRNA-1_1&gene=genemark-NODE_1_length_329478_cov_12.9878_ID_1-processed-gene-1.121&CDS=1-3996
461	OG0000461	YAL032C	genemark-NODE_18_length_201582_cov_12.1594_ID_35-processed-gene-1.18-mRNA-1_1&gene=genemark-NODE_18_length_201582_cov_12.1594_ID_35-processed-gene-1.18&CDS=1-1725
462	OG0000462	YAL033W	genemark-NODE_58_length_89598_cov_11.9073_ID_115-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_58_length_89598_cov_11.9073_ID_115-processed-gene-0.73&CDS=1-483
463	OG0000463	YAL034W-A	genemark-NODE_109_length_39861_cov_12.5601_ID_217-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_109_length_39861_cov_12.5601_ID_217-processed-gene-0.45&CDS=1-834
464	OG0000464	YAL035W	genemark-NODE_55_length_91178_cov_12.208_ID_109-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_55_length_91178_cov_12.208_ID_109-processed-gene-0.7&CDS=1-3168
465	OG0000465	YAL036C	genemark-NODE_55_length_91178_cov_12.208_ID_109-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_55_length_91178_cov_12.208_ID_109-processed-gene-0.28&CDS=1-1104
466	OG0000466	YAL038W	genemark-NODE_72_length_71234_cov_12.3934_ID_143-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_72_length_71234_cov_12.3934_ID_143-processed-gene-0.7&CDS=1-1551
467	OG0000467	YAL039C	genemark-NODE_31_length_135762_cov_11.5624_ID_61-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_31_length_135762_cov_11.5624_ID_61-processed-gene-0.71&CDS=1-1038
468	OG0000468	YAL041W	genemark-NODE_31_length_135762_cov_11.5624_ID_61-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_31_length_135762_cov_11.5624_ID_61-processed-gene-0.45&CDS=1-3162
469	OG0000469	YAL042W	genemark-NODE_31_length_135762_cov_11.5624_ID_61-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_31_length_135762_cov_11.5624_ID_61-processed-gene-0.44&CDS=1-1203
470	OG0000470	YAL043C	genemark-NODE_20_length_182759_cov_12.4136_ID_39-processed-gene-0.188-mRNA-1_1&gene=genemark-NODE_20_length_182759_cov_12.4136_ID_39-processed-gene-0.188&CDS=1-2073
471	OG0000471	YAL044C	genemark-NODE_96_length_51772_cov_12.7226_ID_191-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_96_length_51772_cov_12.7226_ID_191-processed-gene-0.0&CDS=1-522
472	OG0000472	YAL044W-A	genemark-NODE_33_length_131941_cov_12.6916_ID_65-processed-gene-0.141-mRNA-1_1&gene=genemark-NODE_33_length_131941_cov_12.6916_ID_65-processed-gene-0.141&CDS=1-321
473	OG0000473	YAL048C	genemark-NODE_25_length_159049_cov_11.7145_ID_49-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_25_length_159049_cov_11.7145_ID_49-processed-gene-0.40&CDS=1-1956
474	OG0000474	YAL049C	genemark-NODE_76_length_66447_cov_12.3715_ID_151-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_76_length_66447_cov_12.3715_ID_151-processed-gene-0.5&CDS=1-738
475	OG0000475	YAL053W	genemark-NODE_5_length_295438_cov_11.9743_ID_9-processed-gene-1.232-mRNA-1_1&gene=genemark-NODE_5_length_295438_cov_11.9743_ID_9-processed-gene-1.232&CDS=1-2277
476	OG0000476	YAL058W	genemark-NODE_62_length_84672_cov_12.3641_ID_123-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_62_length_84672_cov_12.3641_ID_123-processed-gene-0.48&CDS=1-1638
477	OG0000477	YAL067C	genemark-NODE_13_length_230157_cov_12.3957_ID_25-processed-gene-1.151-mRNA-1_1&gene=genemark-NODE_13_length_230157_cov_12.3957_ID_25-processed-gene-1.151&CDS=1-1644
478	OG0000478	YAR003W	genemark-NODE_22_length_171471_cov_11.5858_ID_43-processed-gene-0.146-mRNA-1_1&gene=genemark-NODE_22_length_171471_cov_11.5858_ID_43-processed-gene-0.146&CDS=1-1287
479	OG0000479	YAR007C	genemark-NODE_89_length_56946_cov_12.1427_ID_177-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_89_length_56946_cov_12.1427_ID_177-processed-gene-0.24&CDS=1-1803
480	OG0000480	YAR008W	genemark-NODE_37_length_121468_cov_12.1133_ID_73-processed-gene-0.165-mRNA-1_1&gene=genemark-NODE_37_length_121468_cov_12.1133_ID_73-processed-gene-0.165&CDS=1-849
481	OG0000481	YAR014C	genemark-NODE_103_length_42984_cov_11.423_ID_205-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_103_length_42984_cov_11.423_ID_205-processed-gene-0.13&CDS=1-3159
482	OG0000482	YAR015W	genemark-NODE_26_length_150816_cov_11.8845_ID_51-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_26_length_150816_cov_11.8845_ID_51-processed-gene-0.46&CDS=1-912
483	OG0000483	YAR018C	genemark-NODE_26_length_150816_cov_11.8845_ID_51-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_26_length_150816_cov_11.8845_ID_51-processed-gene-0.77&CDS=1-1674
484	OG0000484	YAR035W	genemark-NODE_10_length_248695_cov_12.5105_ID_19-processed-gene-1.59-mRNA-1_1&gene=genemark-NODE_10_length_248695_cov_12.5105_ID_19-processed-gene-1.59&CDS=1-2241
485	OG0000485	YBL004W	genemark-NODE_41_length_115665_cov_11.995_ID_81-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_41_length_115665_cov_11.995_ID_81-processed-gene-0.33&CDS=1-7797
486	OG0000486	YBL007C	genemark-NODE_137_length_23683_cov_11.3563_ID_273-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_137_length_23683_cov_11.3563_ID_273-processed-gene-0.3&CDS=1-3297
487	OG0000487	YBL008W	genemark-NODE_22_length_171471_cov_11.5858_ID_43-processed-gene-0.151-mRNA-1_1&gene=genemark-NODE_22_length_171471_cov_11.5858_ID_43-processed-gene-0.151&CDS=1-2970
488	OG0000488	YBL011W	genemark-NODE_50_length_98139_cov_11.6892_ID_99-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_50_length_98139_cov_11.6892_ID_99-processed-gene-0.33&CDS=1-2481
489	OG0000489	YBL013W	genemark-NODE_8_length_266187_cov_12.3814_ID_15-processed-gene-1.167-mRNA-1_1&gene=genemark-NODE_8_length_266187_cov_12.3814_ID_15-processed-gene-1.167&CDS=1-1221
490	OG0000490	YBL015W	genemark-NODE_2_length_299800_cov_11.8646_ID_3-processed-gene-1.11-mRNA-1_1&gene=genemark-NODE_2_length_299800_cov_11.8646_ID_3-processed-gene-1.11&CDS=1-1569
491	OG0000491	YBL016W	genemark-NODE_2_length_299800_cov_11.8646_ID_3-processed-gene-1.83-mRNA-1_1&gene=genemark-NODE_2_length_299800_cov_11.8646_ID_3-processed-gene-1.83&CDS=1-1131
492	OG0000492	YBL019W	augustus_masked-NODE_115_length_35191_cov_12.4779_ID_229-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_115_length_35191_cov_12.4779_ID_229-processed-gene-0.26&CDS=1-1143
493	OG0000493	YBL020W	genemark-NODE_32_length_132186_cov_12.7113_ID_63-processed-gene-0.151-mRNA-1_1&gene=genemark-NODE_32_length_132186_cov_12.7113_ID_63-processed-gene-0.151&CDS=1-1977
494	OG0000494	YBL021C	genemark-NODE_36_length_121507_cov_11.9739_ID_71-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_36_length_121507_cov_11.9739_ID_71-processed-gene-0.83&CDS=1-510
495	OG0000495	YBL022C	genemark-NODE_8_length_266187_cov_12.3814_ID_15-processed-gene-1.165-mRNA-1_1&gene=genemark-NODE_8_length_266187_cov_12.3814_ID_15-processed-gene-1.165&CDS=1-3264
496	OG0000496	YBL023C	genemark-NODE_8_length_266187_cov_12.3814_ID_15-processed-gene-1.162-mRNA-1_1&gene=genemark-NODE_8_length_266187_cov_12.3814_ID_15-processed-gene-1.162&CDS=1-2442
497	OG0000497	YBL024W	genemark-NODE_32_length_132186_cov_12.7113_ID_63-processed-gene-0.152-mRNA-1_1&gene=genemark-NODE_32_length_132186_cov_12.7113_ID_63-processed-gene-0.152&CDS=1-2115
498	OG0000498	YBL026W	genemark-NODE_94_length_53327_cov_12.4268_ID_187-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_94_length_53327_cov_12.4268_ID_187-processed-gene-0.49&CDS=1-303
499	OG0000499	YBL028C	genemark-NODE_97_length_50587_cov_11.5134_ID_193-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_97_length_50587_cov_11.5134_ID_193-processed-gene-0.5&CDS=1-324
500	OG0000500	YBL029C-A	genemark-NODE_77_length_65578_cov_11.8323_ID_153-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_77_length_65578_cov_11.8323_ID_153-processed-gene-0.44&CDS=1-249
501	OG0000501	YBL029W	genemark-NODE_20_length_182759_cov_12.4136_ID_39-processed-gene-0.197-mRNA-1_1&gene=genemark-NODE_20_length_182759_cov_12.4136_ID_39-processed-gene-0.197&CDS=1-1173
502	OG0000502	YBL033C	genemark-NODE_47_length_106780_cov_11.904_ID_93-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_47_length_106780_cov_11.904_ID_93-processed-gene-0.16&CDS=1-1359
503	OG0000503	YBL034C	snap_masked-NODE_77_length_65578_cov_11.8323_ID_153-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_77_length_65578_cov_11.8323_ID_153-processed-gene-0.86&CDS=1-4554
504	OG0000504	YBL035C	genemark-NODE_77_length_65578_cov_11.8323_ID_153-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_77_length_65578_cov_11.8323_ID_153-processed-gene-0.33&CDS=1-1974
505	OG0000505	YBL036C	genemark-NODE_77_length_65578_cov_11.8323_ID_153-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_77_length_65578_cov_11.8323_ID_153-processed-gene-0.34&CDS=1-720
506	OG0000506	YBL037W	genemark-NODE_77_length_65578_cov_11.8323_ID_153-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_77_length_65578_cov_11.8323_ID_153-processed-gene-0.51&CDS=1-2868
507	OG0000507	YBL038W	genemark-NODE_63_length_83352_cov_12.1533_ID_125-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_63_length_83352_cov_12.1533_ID_125-processed-gene-0.32&CDS=1-720
508	OG0000508	YBL039C	genemark-NODE_41_length_115665_cov_11.995_ID_81-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_41_length_115665_cov_11.995_ID_81-processed-gene-0.32&CDS=1-1722
509	OG0000509	YBL040C	genemark-NODE_42_length_114289_cov_11.7125_ID_83-processed-gene-0.116-mRNA-1_1&gene=genemark-NODE_42_length_114289_cov_11.7125_ID_83-processed-gene-0.116&CDS=1-639
510	OG0000510	YBL041W	genemark-NODE_42_length_114289_cov_11.7125_ID_83-processed-gene-0.117-mRNA-1_1&gene=genemark-NODE_42_length_114289_cov_11.7125_ID_83-processed-gene-0.117&CDS=1-708
511	OG0000511	YBL043W	genemark-NODE_69_length_73151_cov_12.5137_ID_137-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_69_length_73151_cov_12.5137_ID_137-processed-gene-0.92&CDS=1-573
512	OG0000512	YBL047C	genemark-NODE_108_length_40317_cov_11.7003_ID_215-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_108_length_40317_cov_11.7003_ID_215-processed-gene-0.16&CDS=1-4206
513	OG0000513	YBL049W	genemark-NODE_113_length_36510_cov_11.3452_ID_225-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_113_length_36510_cov_11.3452_ID_225-processed-gene-0.57&CDS=1-330
514	OG0000514	YBL050W	genemark-NODE_108_length_40317_cov_11.7003_ID_215-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_108_length_40317_cov_11.7003_ID_215-processed-gene-0.15&CDS=1-870
515	OG0000515	YBL051C	genemark-NODE_31_length_135762_cov_11.5624_ID_61-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_31_length_135762_cov_11.5624_ID_61-processed-gene-0.67&CDS=1-2694
516	OG0000516	YBL054W	genemark-NODE_31_length_135762_cov_11.5624_ID_61-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_31_length_135762_cov_11.5624_ID_61-processed-gene-0.31&CDS=1-1182
517	OG0000517	YBL055C	genemark-NODE_2_length_299800_cov_11.8646_ID_3-processed-gene-1.68-mRNA-1_1&gene=genemark-NODE_2_length_299800_cov_11.8646_ID_3-processed-gene-1.68&CDS=1-942
518	OG0000518	YBL057C	genemark-NODE_2_length_299800_cov_11.8646_ID_3-processed-gene-1.22-mRNA-1_1&gene=genemark-NODE_2_length_299800_cov_11.8646_ID_3-processed-gene-1.22&CDS=1-537
519	OG0000519	YBL058W	maker-NODE_2_length_299800_cov_11.8646_ID_3-augustus-gene-1.106-mRNA-1_1&gene=maker-NODE_2_length_299800_cov_11.8646_ID_3-augustus-gene-1.106&CDS=1-1134
520	OG0000520	YBL059C-A	genemark-NODE_66_length_79692_cov_11.7958_ID_131-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_66_length_79692_cov_11.7958_ID_131-processed-gene-0.97&CDS=1-333
521	OG0000521	YBL061C	genemark-NODE_26_length_150816_cov_11.8845_ID_51-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_26_length_150816_cov_11.8845_ID_51-processed-gene-0.73&CDS=1-2073
522	OG0000522	YBL066C	snap_masked-NODE_66_length_79692_cov_11.7958_ID_131-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_66_length_79692_cov_11.7958_ID_131-processed-gene-0.37&CDS=1-2364
523	OG0000523	YBL071W-A	snap_masked-NODE_57_length_89632_cov_11.3018_ID_113-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_57_length_89632_cov_11.3018_ID_113-processed-gene-0.39&CDS=1-237
524	OG0000524	YBL076C	genemark-NODE_73_length_71091_cov_11.6258_ID_145-processed-gene-0.66-mRNA-1_1&gene=genemark-NODE_73_length_71091_cov_11.6258_ID_145-processed-gene-0.66&CDS=1-3189
525	OG0000525	YBL078C	genemark-NODE_73_length_71091_cov_11.6258_ID_145-processed-gene-0.68-mRNA-1_1&gene=genemark-NODE_73_length_71091_cov_11.6258_ID_145-processed-gene-0.68&CDS=1-354
526	OG0000526	YBL080C	augustus_masked-NODE_76_length_66447_cov_12.3715_ID_151-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_76_length_66447_cov_12.3715_ID_151-processed-gene-0.35&CDS=1-2424
527	OG0000527	YBL082C	maker-NODE_51_length_97760_cov_11.4993_ID_101-snap-gene-0.162-mRNA-1_1&gene=maker-NODE_51_length_97760_cov_11.4993_ID_101-snap-gene-0.162&CDS=1-1230
528	OG0000528	YBL084C	genemark-NODE_68_length_76945_cov_12.2257_ID_135-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_68_length_76945_cov_12.2257_ID_135-processed-gene-0.18&CDS=1-2130
529	OG0000529	YBL086C	genemark-NODE_3_length_297376_cov_12.4251_ID_5-processed-gene-0.88-mRNA-1_1&gene=genemark-NODE_3_length_297376_cov_12.4251_ID_5-processed-gene-0.88&CDS=1-1236
530	OG0000530	YBL088C	augustus_masked-NODE_91_length_56542_cov_12.599_ID_181-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_91_length_56542_cov_12.599_ID_181-processed-gene-0.40&CDS=1-8238
531	OG0000531	YBL090W	genemark-NODE_114_length_36065_cov_13.4488_ID_227-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_114_length_36065_cov_13.4488_ID_227-processed-gene-0.12&CDS=1-474
532	OG0000532	YBL091C	genemark-NODE_90_length_56889_cov_12.2959_ID_179-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_90_length_56889_cov_12.2959_ID_179-processed-gene-0.37&CDS=1-1326
533	OG0000533	YBL092W	genemark-NODE_47_length_106780_cov_11.904_ID_93-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_47_length_106780_cov_11.904_ID_93-processed-gene-0.25&CDS=1-393
534	OG0000534	YBL093C	genemark-NODE_47_length_106780_cov_11.904_ID_93-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_47_length_106780_cov_11.904_ID_93-processed-gene-0.4&CDS=1-585
535	OG0000535	YBL097W	genemark-NODE_40_length_117566_cov_12.0694_ID_79-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_40_length_117566_cov_12.0694_ID_79-processed-gene-0.29&CDS=1-2343
536	OG0000536	YBL098W	genemark-NODE_15_length_224791_cov_11.9214_ID_29-processed-gene-1.131-mRNA-1_1&gene=genemark-NODE_15_length_224791_cov_11.9214_ID_29-processed-gene-1.131&CDS=1-1473
537	OG0000537	YBL099W	genemark-NODE_137_length_23683_cov_11.3563_ID_273-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_137_length_23683_cov_11.3563_ID_273-processed-gene-0.9&CDS=1-1626
538	OG0000538	YBL102W	genemark-NODE_33_length_131941_cov_12.6916_ID_65-processed-gene-0.167-mRNA-1_1&gene=genemark-NODE_33_length_131941_cov_12.6916_ID_65-processed-gene-0.167&CDS=1-660
539	OG0000539	YBL104C	genemark-NODE_14_length_227584_cov_11.4277_ID_27-processed-gene-1.82-mRNA-1_1&gene=genemark-NODE_14_length_227584_cov_11.4277_ID_27-processed-gene-1.82&CDS=1-2850
540	OG0000540	YBL105C	snap_masked-NODE_111_length_37675_cov_11.4428_ID_221-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_111_length_37675_cov_11.4428_ID_221-processed-gene-0.32&CDS=1-2334
541	OG0000541	YBL107C	genemark-NODE_14_length_227584_cov_11.4277_ID_27-processed-gene-1.55-mRNA-1_1&gene=genemark-NODE_14_length_227584_cov_11.4277_ID_27-processed-gene-1.55&CDS=1-534
542	OG0000542	YBR003W	genemark-NODE_29_length_143740_cov_12.1056_ID_57-processed-gene-0.108-mRNA-1_1&gene=genemark-NODE_29_length_143740_cov_12.1056_ID_57-processed-gene-0.108&CDS=1-1356
543	OG0000543	YBR004C	genemark-NODE_94_length_53327_cov_12.4268_ID_187-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_94_length_53327_cov_12.4268_ID_187-processed-gene-0.35&CDS=1-1176
544	OG0000544	YBR011C	genemark-NODE_42_length_114289_cov_11.7125_ID_83-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_42_length_114289_cov_11.7125_ID_83-processed-gene-0.109&CDS=1-861
545	OG0000545	YBR017C	genemark-NODE_103_length_42984_cov_11.423_ID_205-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_103_length_42984_cov_11.423_ID_205-processed-gene-0.12&CDS=1-2769
546	OG0000546	YBR019C	maker-NODE_68_length_76945_cov_12.2257_ID_135-augustus-gene-0.37-mRNA-1_1&gene=maker-NODE_68_length_76945_cov_12.2257_ID_135-augustus-gene-0.37&CDS=1-1074
547	OG0000547	YBR022W	genemark-NODE_18_length_201582_cov_12.1594_ID_35-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_18_length_201582_cov_12.1594_ID_35-processed-gene-0.53&CDS=1-519
548	OG0000548	YBR023C	genemark-NODE_25_length_159049_cov_11.7145_ID_49-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_25_length_159049_cov_11.7145_ID_49-processed-gene-0.58&CDS=1-3504
549	OG0000549	YBR025C	genemark-NODE_76_length_66447_cov_12.3715_ID_151-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_76_length_66447_cov_12.3715_ID_151-processed-gene-0.24&CDS=1-1182
550	OG0000550	YBR026C	genemark-NODE_69_length_73151_cov_12.5137_ID_137-processed-gene-0.70-mRNA-1_1&gene=genemark-NODE_69_length_73151_cov_12.5137_ID_137-processed-gene-0.70&CDS=1-1179
551	OG0000551	YBR029C	augustus_masked-NODE_13_length_230157_cov_12.3957_ID_25-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-NODE_13_length_230157_cov_12.3957_ID_25-processed-gene-1.142&CDS=1-1119
552	OG0000552	YBR030W	genemark-NODE_65_length_80214_cov_12.9692_ID_129-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_65_length_80214_cov_12.9692_ID_129-processed-gene-0.58&CDS=1-1518
553	OG0000553	YBR034C	genemark-NODE_87_length_58037_cov_11.6484_ID_173-processed-gene-0.50-mRNA-1_1&gene=genemark-NODE_87_length_58037_cov_11.6484_ID_173-processed-gene-0.50&CDS=1-1044
554	OG0000554	YBR035C	augustus_masked-NODE_130_length_28801_cov_12.5674_ID_259-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_130_length_28801_cov_12.5674_ID_259-processed-gene-0.7&CDS=1-687
555	OG0000555	YBR037C	genemark-NODE_76_length_66447_cov_12.3715_ID_151-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_76_length_66447_cov_12.3715_ID_151-processed-gene-0.20&CDS=1-897
556	OG0000556	YBR039W	genemark-NODE_40_length_117566_cov_12.0694_ID_79-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_40_length_117566_cov_12.0694_ID_79-processed-gene-0.7&CDS=1-855
557	OG0000557	YBR040W	augustus_masked-NODE_39_length_120692_cov_12.2275_ID_77-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-NODE_39_length_120692_cov_12.2275_ID_77-processed-gene-0.155&CDS=1-840
558	OG0000558	YBR041W	genemark-NODE_20_length_182759_cov_12.4136_ID_39-processed-gene-0.152-mRNA-1_1&gene=genemark-NODE_20_length_182759_cov_12.4136_ID_39-processed-gene-0.152&CDS=1-1920
559	OG0000559	YBR042C	genemark-NODE_40_length_117566_cov_12.0694_ID_79-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_40_length_117566_cov_12.0694_ID_79-processed-gene-0.36&CDS=1-1164
560	OG0000560	YBR043C	genemark-NODE_40_length_117566_cov_12.0694_ID_79-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_40_length_117566_cov_12.0694_ID_79-processed-gene-0.9&CDS=1-2007
561	OG0000561	YBR046C	genemark-NODE_39_length_120692_cov_12.2275_ID_77-processed-gene-0.52-mRNA-1_1&gene=genemark-NODE_39_length_120692_cov_12.2275_ID_77-processed-gene-0.52&CDS=1-993
