	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034709_Kluyveromyces_aestuarii
221	OG0000221	YDR160W	augustus_masked-NODE_13_length_344462_cov_51.4643_ID_25-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-NODE_13_length_344462_cov_51.4643_ID_25-processed-gene-2.51&CDS=1-3624, snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-2.122-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-2.122&CDS=1-2385
222	OG0000222	YDR277C, YOR047C	snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-1.53-mRNA-1_1&gene=snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-1.53&CDS=1-1347
223	OG0000223	YDR312W, YHR066W	snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-1.3-mRNA-1_1&gene=snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-1.3&CDS=1-1365
224	OG0000224	YDR351W, YHR103W	snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-2.56-mRNA-1_1&gene=snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-2.56&CDS=1-2256
225	OG0000225	YDR368W, YOR120W	snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-2.72-mRNA-1_1&gene=snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-2.72&CDS=1-912
226	OG0000226	YDR385W, YOR133W	snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-3.116-mRNA-1_1&gene=snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-3.116&CDS=1-2526
227	OG0000227	YDR409W, YOR156C	snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-1.58-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-1.58&CDS=1-2274
228	OG0000228	YDR418W, YEL054C	snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-1.63-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-1.63&CDS=1-495
229	OG0000229	YDR447C, YML024W	snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-2.33-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-2.33&CDS=1-426
230	OG0000230	YDR450W, YML026C	snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-2.16-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-2.16&CDS=1-438
231	OG0000231	YDR451C, YML027W	snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-2.36-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-2.36&CDS=1-1323
232	OG0000232	YDR471W, YHR010W	maker-NODE_14_length_314412_cov_27.9629_ID_27-snap-gene-2.83-mRNA-1_1&gene=maker-NODE_14_length_314412_cov_27.9629_ID_27-snap-gene-2.83&CDS=1-408
233	OG0000233	YDR475C, YOR019W	snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-2.161-mRNA-1_1&gene=snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-2.161&CDS=1-2304
234	OG0000234	YDR500C, YLR185W	genemark-NODE_18_length_231117_cov_28.1554_ID_35-processed-gene-1.13-mRNA-1_1&gene=genemark-NODE_18_length_231117_cov_28.1554_ID_35-processed-gene-1.13&CDS=1-258
235	OG0000235	YEL007W, YHR177W	snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-1.113-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-1.113&CDS=1-1152
236	OG0000236	YEL034W, YJR047C	snap_masked-NODE_20_length_127591_cov_27.0495_ID_39-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_20_length_127591_cov_27.0495_ID_39-processed-gene-0.14&CDS=1-471
237	OG0000237	YEL039C, YJR048W	snap_masked-NODE_20_length_127591_cov_27.0495_ID_39-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NODE_20_length_127591_cov_27.0495_ID_39-processed-gene-0.50&CDS=1-330
238	OG0000238	YEL047C, YJR051W	snap_masked-NODE_20_length_127591_cov_27.0495_ID_39-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_20_length_127591_cov_27.0495_ID_39-processed-gene-0.47&CDS=1-1374
239	OG0000239	YEL066W, YPR193C	snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.2-mRNA-1_1&gene=snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.2&CDS=1-444
240	OG0000240	YER054C, YIL045W	augustus_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-0.94&CDS=1-1368
241	OG0000241	YER056C-A, YIL052C	maker-NODE_7_length_533625_cov_27.154_ID_13-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_7_length_533625_cov_27.154_ID_13-augustus-gene-0.0&CDS=1-375
242	OG0000242	YER062C, YIL053W	snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-0.5&CDS=1-744
243	OG0000243	YER081W, YIL074C	snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-3.15-mRNA-1_1&gene=snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-3.15&CDS=1-1410
244	OG0000244	YER131W, YGL189C	snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-0.110-mRNA-1_1&gene=snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-0.110&CDS=1-357
245	OG0000245	YER187W	augustus_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-4.41&CDS=1-1083, augustus_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-1.141&CDS=1-738
246	OG0000246	YFL040W	snap_masked-NODE_15_length_291038_cov_28.0476_ID_29-processed-gene-1.290-mRNA-1_1&gene=snap_masked-NODE_15_length_291038_cov_28.0476_ID_29-processed-gene-1.290&CDS=1-1470, snap_masked-NODE_27_length_38662_cov_28.0228_ID_53-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_27_length_38662_cov_28.0228_ID_53-processed-gene-0.44&CDS=1-1665
247	OG0000247	YFL050C, YOL130W	snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-4.26-mRNA-1_1&gene=snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-4.26&CDS=1-2391
248	OG0000248	YFL059W, YNL333W	snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-6.88-mRNA-1_1&gene=snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-6.88&CDS=1-888
249	OG0000249	YFR031C-A, YIL018W	maker-NODE_13_length_344462_cov_51.4643_ID_25-augustus-gene-2.151-mRNA-1_1&gene=maker-NODE_13_length_344462_cov_51.4643_ID_25-augustus-gene-2.151&CDS=1-777
250	OG0000250	YGL031C, YGR148C	snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.2&CDS=1-465
251	OG0000251	YGL049C, YGR162W	snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-6.23-mRNA-1_1&gene=snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-6.23&CDS=1-2775
252	OG0000252	YGL076C, YPL198W	snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-3.42-mRNA-1_1&gene=snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-3.42&CDS=1-732
253	OG0000253	YGL089C, YPL187W	genemark-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-3.83-mRNA-1_1&gene=genemark-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-3.83&CDS=1-552
254	OG0000254	YGL134W, YPL219W	augustus_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-4.61&CDS=1-1314
255	OG0000255	YGL135W, YPL220W	snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-4.30-mRNA-1_1&gene=snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-4.30&CDS=1-651
256	OG0000256	YGL162W, YPR009W	augustus_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.152-mRNA-1_1&gene=augustus_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.152&CDS=1-891
257	OG0000257	YGL166W, YPR008W	snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.59-mRNA-1_1&gene=snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.59&CDS=1-1590
258	OG0000258	YGL202W	genemark-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-0.15&CDS=1-1491, snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-6.46-mRNA-1_1&gene=snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-6.46&CDS=1-1449
259	OG0000259	YGL256W	snap_masked-NODE_34_length_19288_cov_93.1695_ID_67-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_34_length_19288_cov_93.1695_ID_67-processed-gene-0.6&CDS=1-1146, snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-0.54&CDS=1-1278
260	OG0000260	YGR008C, YLR327C	snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-6.163-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-6.163&CDS=1-258
261	OG0000261	YGR014W	augustus_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-6.117&CDS=1-2523, snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-1.66-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-1.66&CDS=1-3744
262	OG0000262	YGR023W, YLR332W	snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.14-mRNA-1_1&gene=snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.14&CDS=1-1005
263	OG0000263	YGR027C, YLR333C	snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.39-mRNA-1_1&gene=snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.39&CDS=1-438
264	OG0000264	YGR034W, YLR344W	maker-NODE_9_length_479268_cov_27.3414_ID_17-snap-gene-3.281-mRNA-1_1&gene=maker-NODE_9_length_479268_cov_27.3414_ID_17-snap-gene-3.281&CDS=1-381
265	OG0000265	YGR044C	snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-4.182-mRNA-1_1&gene=snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-4.182&CDS=1-591, snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.27-mRNA-1_1&gene=snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.27&CDS=1-1536
266	OG0000266	YGR085C, YPR102C	snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-4.146-mRNA-1_1&gene=snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-4.146&CDS=1-522
267	OG0000267	YGR092W, YPR111W	snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.114&CDS=1-1704
268	OG0000268	YGR097W, YPR115W	snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.108-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.108&CDS=1-2868
269	OG0000269	YGR109C, YPR120C	snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.82&CDS=1-1056
270	OG0000270	YGR118W, YPR132W	snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-1.116-mRNA-1_1&gene=snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-1.116&CDS=1-435
271	OG0000271	YGR131W, YPR149W	snap_masked-NODE_13_length_344462_cov_51.4643_ID_25-processed-gene-2.224-mRNA-1_1&gene=snap_masked-NODE_13_length_344462_cov_51.4643_ID_25-processed-gene-2.224&CDS=1-507
272	OG0000272	YGR136W, YPR154W	snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-2.53-mRNA-1_1&gene=snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-2.53&CDS=1-690
273	OG0000273	YGR138C, YPR156C	snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-2.23-mRNA-1_1&gene=snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-2.23&CDS=1-1848
274	OG0000274	YGR192C, YJR009C	snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-2.123-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-2.123&CDS=1-990
275	OG0000275	YGR197C, YJR015W	snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-5.93-mRNA-1_1&gene=snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-5.93&CDS=1-1611
276	OG0000276	YGR209C, YLR043C	snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-5.48-mRNA-1_1&gene=snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-5.48&CDS=1-312
277	OG0000277	YGR214W, YLR048W	maker-NODE_4_length_706832_cov_27.5555_ID_7-snap-gene-5.113-mRNA-1_1&gene=maker-NODE_4_length_706832_cov_27.5555_ID_7-snap-gene-5.113&CDS=1-762
278	OG0000278	YGR221C, YHR149C	snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-5.54-mRNA-1_1&gene=snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-5.54&CDS=1-2199
279	OG0000279	YGR248W, YHR163W	augustus_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-6.111&CDS=1-1290
280	OG0000280	YGR254W, YHR174W	snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-4.112-mRNA-1_1&gene=snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-4.112&CDS=1-1311
281	OG0000281	YHL001W, YKL006W	maker-NODE_19_length_144936_cov_28.4494_ID_37-snap-gene-0.137-mRNA-1_1&gene=maker-NODE_19_length_144936_cov_28.4494_ID_37-snap-gene-0.137&CDS=1-414
282	OG0000282	YHL016C	snap_masked-NODE_32_length_28180_cov_37.9536_ID_63-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_32_length_28180_cov_37.9536_ID_63-processed-gene-0.26&CDS=1-2100, snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-6.175-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-6.175&CDS=1-2199
283	OG0000283	YHL033C, YLL045C	snap_masked-NODE_24_length_80013_cov_32.4726_ID_47-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_24_length_80013_cov_32.4726_ID_47-processed-gene-0.38&CDS=1-765
284	OG0000284	YHR021C, YKL156W	augustus_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-0.80&CDS=1-246
285	OG0000285	YHR043C, YHR044C	snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-1.120-mRNA-1_1&gene=snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-1.120&CDS=1-756
286	OG0000286	YHR123W, YNL130C	maker-NODE_6_length_597287_cov_27.2088_ID_11-augustus-gene-3.53-mRNA-1_1&gene=maker-NODE_6_length_597287_cov_27.2088_ID_11-augustus-gene-3.53&CDS=1-1812
287	OG0000287	YHR131C, YNL144C	genemark-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-5.224-mRNA-1_1&gene=genemark-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-5.224&CDS=1-2580
288	OG0000288	YHR141C, YNL162W	maker-NODE_5_length_653240_cov_27.0146_ID_9-snap-gene-5.171-mRNA-1_1&gene=maker-NODE_5_length_653240_cov_27.0146_ID_9-snap-gene-5.171&CDS=1-318
289	OG0000289	YHR155W, YNL257C	augustus_masked-NODE_18_length_231117_cov_28.1554_ID_35-processed-gene-1.175-mRNA-1_1&gene=augustus_masked-NODE_18_length_231117_cov_28.1554_ID_35-processed-gene-1.175&CDS=1-3555
290	OG0000290	YHR179W, YPL171C	snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-4.128-mRNA-1_1&gene=snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-4.128&CDS=1-1203
291	OG0000291	YHR203C, YJR145C	snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-0.9&CDS=1-783
292	OG0000292	YHR208W, YJR148W	augustus_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-0.104&CDS=1-1197
293	OG0000293	YIL085C, YNL029C	genemark-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-2.65-mRNA-1_1&gene=genemark-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-2.65&CDS=1-1506
294	OG0000294	YIL131C, YNL068C	snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-0.73&CDS=1-2313
295	OG0000295	YIL133C, YNL069C	snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-0.72&CDS=1-597
296	OG0000296	YJL079C, YKR013W	augustus_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-2.240-mRNA-1_1&gene=augustus_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-2.240&CDS=1-1446
297	OG0000297	YJL082W, YKR018C	snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-2.33-mRNA-1_1&gene=snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-2.33&CDS=1-2166
298	OG0000298	YJL099W, YKR027W	augustus_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-2.202-mRNA-1_1&gene=augustus_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-2.202&CDS=1-2148
299	OG0000299	YJL133W, YKR052C	snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-0.5&CDS=1-948
300	OG0000300	YJL134W, YKR053C	snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-0.4&CDS=1-1212
301	OG0000301	YJL138C, YKR059W	maker-NODE_16_length_247587_cov_27.0586_ID_31-snap-gene-0.121-mRNA-1_1&gene=maker-NODE_16_length_247587_cov_27.0586_ID_31-snap-gene-0.121&CDS=1-3159
302	OG0000302	YJL174W	genemark-NODE_23_length_83208_cov_26.9237_ID_45-processed-gene-0.126-mRNA-1_1&gene=genemark-NODE_23_length_83208_cov_26.9237_ID_45-processed-gene-0.126&CDS=1-810, snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-1.41-mRNA-1_1&gene=snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-1.41&CDS=1-792
303	OG0000303	YJL177W, YKL180W	maker-NODE_23_length_83208_cov_26.9237_ID_45-augustus-gene-0.48-mRNA-1_1&gene=maker-NODE_23_length_83208_cov_26.9237_ID_45-augustus-gene-0.48&CDS=1-663
304	OG0000304	YJL190C, YLR367W	snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-3.171-mRNA-1_1&gene=snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-3.171&CDS=1-390
305	OG0000305	YJR054W, YML047C	snap_masked-NODE_20_length_127591_cov_27.0495_ID_39-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_20_length_127591_cov_27.0495_ID_39-processed-gene-0.43&CDS=1-1083
306	OG0000306	YJR059W, YKL198C	snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.90-mRNA-1_1&gene=snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.90&CDS=1-2355
307	OG0000307	YJR061W, YKL201C	snap_masked-NODE_19_length_144936_cov_28.4494_ID_37-processed-gene-0.190-mRNA-1_1&gene=snap_masked-NODE_19_length_144936_cov_28.4494_ID_37-processed-gene-0.190&CDS=1-2862
308	OG0000308	YJR094W-A, YPR043W	augustus_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-7.12&CDS=1-300
309	OG0000309	YJR126C	snap_masked-NODE_13_length_344462_cov_51.4643_ID_25-processed-gene-2.216-mRNA-1_1&gene=snap_masked-NODE_13_length_344462_cov_51.4643_ID_25-processed-gene-2.216&CDS=1-2292, snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-1.16-mRNA-1_1&gene=snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-1.16&CDS=1-2319
310	OG0000310	YKL065C, YMR040W	snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-3.134-mRNA-1_1&gene=snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-3.134&CDS=1-552
311	OG0000311	YKL072W, YMR053C	snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-3.128-mRNA-1_1&gene=snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-3.128&CDS=1-2028
312	OG0000312	YKL121W, YMR102C	snap_masked-NODE_19_length_144936_cov_28.4494_ID_37-processed-gene-0.206-mRNA-1_1&gene=snap_masked-NODE_19_length_144936_cov_28.4494_ID_37-processed-gene-0.206&CDS=1-2241
313	OG0000313	YKL187C, YLR413W	snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-4.186-mRNA-1_1&gene=snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-4.186&CDS=1-2064
314	OG0000314	YKR076W, YMR251W	maker-NODE_3_length_740742_cov_27.1728_ID_5-snap-gene-4.47-mRNA-1_1&gene=maker-NODE_3_length_740742_cov_27.1728_ID_5-snap-gene-4.47&CDS=1-2166
315	OG0000315	YLR029C, YMR121C	snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-4.19-mRNA-1_1&gene=snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-4.19&CDS=1-612
316	OG0000316	YLR264W, YOR167C	augustus_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-0.109&CDS=1-1539
317	OG0000317	YLR270W, YOR173W	augustus_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-0.111&CDS=1-1701
318	OG0000318	YLR287C-A, YOR182C	snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-1.33-mRNA-1_1&gene=snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-1.33&CDS=1-210
319	OG0000319	YLR432W, YML056C	maker-NODE_4_length_706832_cov_27.5555_ID_7-augustus-gene-1.3-mRNA-1_1&gene=maker-NODE_4_length_706832_cov_27.5555_ID_7-augustus-gene-1.3&CDS=1-1614
320	OG0000320	YML111W, YMR275C	snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-1.133-mRNA-1_1&gene=snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-1.133&CDS=1-2697
321	OG0000321	YMR181C, YPL229W	augustus_masked-NODE_17_length_240136_cov_29.3823_ID_33-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-NODE_17_length_240136_cov_29.3823_ID_33-processed-gene-1.59&CDS=1-465
322	OG0000322	YMR186W, YPL240C	snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-2.132-mRNA-1_1&gene=snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-2.132&CDS=1-2115
323	OG0000323	YMR199W, YPL256C	snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-0.43&CDS=1-1578
324	OG0000324	YMR230W, YOR293W	snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-2.35-mRNA-1_1&gene=snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-2.35&CDS=1-318
325	OG0000325	YMR237W, YOR299W	maker-NODE_15_length_291038_cov_28.0476_ID_29-augustus-gene-1.310-mRNA-1_1&gene=maker-NODE_15_length_291038_cov_28.0476_ID_29-augustus-gene-1.310&CDS=1-2316
326	OG0000326	YMR242C, YOR312C	augustus_masked-NODE_15_length_291038_cov_28.0476_ID_29-processed-gene-1.174-mRNA-1_1&gene=augustus_masked-NODE_15_length_291038_cov_28.0476_ID_29-processed-gene-1.174&CDS=1-672
327	OG0000327	YMR265C	augustus_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.90&CDS=1-1323, augustus_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.91&CDS=1-1284
