	OrthologID	Saccharomyces_cerevisiae	Vanderwaltozyma_polyspora
584	OG0000584	YBR079C	augustus_masked-NW_001834660.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.78&CDS=1-2826
585	OG0000585	YBR080C	augustus_masked-NW_001834653.1-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NW_001834653.1-processed-gene-0.98&CDS=1-2289
586	OG0000586	YBR081C	genemark-NW_001834653.1-processed-gene-0.56-mRNA-1_1&gene=genemark-NW_001834653.1-processed-gene-0.56&CDS=1-4680
587	OG0000587	YBR082C	snap_masked-NW_001834653.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NW_001834653.1-processed-gene-0.6&CDS=1-444
588	OG0000588	YBR083W	snap_masked-NW_001834514.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NW_001834514.1-processed-gene-0.9&CDS=1-1599
589	OG0000589	YBR085C-A	snap_masked-NW_001834660.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NW_001834660.1-processed-gene-0.24&CDS=1-252
590	OG0000590	YBR085W	augustus_masked-NW_001834530.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NW_001834530.1-processed-gene-0.9&CDS=1-906
591	OG0000591	YBR086C	augustus_masked-NW_001834542.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NW_001834542.1-processed-gene-0.15&CDS=1-2757
592	OG0000592	YBR087W	augustus_masked-NW_001834542.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NW_001834542.1-processed-gene-0.12&CDS=1-1068
593	OG0000593	YBR088C	augustus_masked-NW_001834542.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NW_001834542.1-processed-gene-0.17&CDS=1-774
594	OG0000594	YBR091C	genemark-NW_001834583.1-processed-gene-0.10-mRNA-1_1&gene=genemark-NW_001834583.1-processed-gene-0.10&CDS=1-384
595	OG0000595	YBR094W	augustus_masked-NW_001834583.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NW_001834583.1-processed-gene-0.38&CDS=1-2190
596	OG0000596	YBR095C	augustus_masked-NW_001834583.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NW_001834583.1-processed-gene-0.48&CDS=1-1080
597	OG0000597	YBR096W	augustus_masked-NW_001834660.1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.94&CDS=1-690
598	OG0000598	YBR097W	augustus_masked-NW_001834660.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.93&CDS=1-4518
599	OG0000599	YBR098W	snap_masked-NW_001834583.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NW_001834583.1-processed-gene-0.22&CDS=1-1755
600	OG0000600	YBR101C	augustus_masked-NW_001834583.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NW_001834583.1-processed-gene-0.49&CDS=1-867
601	OG0000601	YBR102C	augustus_masked-NW_001834660.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.74&CDS=1-2181
602	OG0000602	YBR103W	genemark-NW_001834660.1-processed-gene-0.142-mRNA-1_1&gene=genemark-NW_001834660.1-processed-gene-0.142&CDS=1-1566
603	OG0000603	YBR105C	augustus_masked-NW_001834660.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.71&CDS=1-1080
604	OG0000604	YBR106W	augustus_masked-NW_001834660.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.89&CDS=1-567
605	OG0000605	YBR107C	augustus_masked-NW_001834660.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.70&CDS=1-723
606	OG0000606	YBR108W	augustus_masked-NW_001834583.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NW_001834583.1-processed-gene-0.44&CDS=1-2745
607	OG0000607	YBR109C	augustus_masked-NW_001834583.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NW_001834583.1-processed-gene-0.52&CDS=1-441
608	OG0000608	YBR110W	augustus_masked-NW_001834660.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.87&CDS=1-1353
609	OG0000609	YBR111C	augustus_masked-NW_001834583.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NW_001834583.1-processed-gene-0.54&CDS=1-690
610	OG0000610	YBR111W-A	augustus_masked-NW_001834583.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NW_001834583.1-processed-gene-0.46&CDS=1-300
611	OG0000611	YBR114W	augustus_masked-NW_001834620.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NW_001834620.1-processed-gene-0.19&CDS=1-2238
612	OG0000612	YBR115C	augustus_masked-NW_001834620.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NW_001834620.1-processed-gene-0.27&CDS=1-4143
613	OG0000613	YBR119W	augustus_masked-NW_001834681.1-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.35&CDS=1-810
614	OG0000614	YBR120C	augustus_masked-NW_001834665.1-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NW_001834665.1-processed-gene-0.118&CDS=1-480
615	OG0000615	YBR121C	augustus_masked-NW_001834681.1-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.12&CDS=1-1989
616	OG0000616	YBR122C	augustus_masked-NW_001834681.1-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.10&CDS=1-519
617	OG0000617	YBR123C	augustus_masked-NW_001834675.1-processed-gene-0.209-mRNA-1_1&gene=augustus_masked-NW_001834675.1-processed-gene-0.209&CDS=1-1935
618	OG0000618	YBR125C	augustus_masked-NW_001834675.1-processed-gene-0.210-mRNA-1_1&gene=augustus_masked-NW_001834675.1-processed-gene-0.210&CDS=1-1287
619	OG0000619	YBR126C	augustus_masked-NW_001834675.1-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-NW_001834675.1-processed-gene-0.211&CDS=1-1476
620	OG0000620	YBR127C	augustus_masked-NW_001834665.1-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NW_001834665.1-processed-gene-0.116&CDS=1-1530
621	OG0000621	YBR128C	augustus_masked-NW_001834670.1-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.147&CDS=1-915
622	OG0000622	YBR129C	augustus_masked-NW_001834665.1-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NW_001834665.1-processed-gene-0.114&CDS=1-1023
623	OG0000623	YBR130C	augustus_masked-NW_001834670.1-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.146&CDS=1-1494
624	OG0000624	YBR131W	snap_masked-NW_001834655.1-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NW_001834655.1-processed-gene-0.102&CDS=1-2031
625	OG0000625	YBR132C	augustus_masked-NW_001834655.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NW_001834655.1-processed-gene-0.31&CDS=1-1740
626	OG0000626	YBR133C	augustus_masked-NW_001834655.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NW_001834655.1-processed-gene-0.32&CDS=1-2577
627	OG0000627	YBR135W	augustus_masked-NW_001834665.1-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-NW_001834665.1-processed-gene-0.140&CDS=1-405
628	OG0000628	YBR136W	augustus_masked-NW_001834655.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NW_001834655.1-processed-gene-0.3&CDS=1-7176
629	OG0000629	YBR137W	genemark-NW_001834644.1-processed-gene-0.85-mRNA-1_1&gene=genemark-NW_001834644.1-processed-gene-0.85&CDS=1-537
630	OG0000630	YBR138C	snap_masked-NW_001834692.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NW_001834692.1-processed-gene-0.22&CDS=1-1440
631	OG0000631	YBR139W	augustus_masked-NW_001834692.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.44&CDS=1-1473
632	OG0000632	YBR141C	augustus_masked-NW_001834692.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.64&CDS=1-1044
633	OG0000633	YBR142W	augustus_masked-NW_001834692.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.45&CDS=1-2289
634	OG0000634	YBR143C	augustus_masked-NW_001834692.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.65&CDS=1-1320
635	OG0000635	YBR146W	augustus_masked-NW_001834692.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.47&CDS=1-870
636	OG0000636	YBR151W	augustus_masked-NW_001834644.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NW_001834644.1-processed-gene-0.20&CDS=1-906
637	OG0000637	YBR152W	augustus_masked-NW_001834692.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.67&CDS=1-783
638	OG0000638	YBR153W	augustus_masked-NW_001834644.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NW_001834644.1-processed-gene-0.21&CDS=1-726
639	OG0000639	YBR154C	augustus_masked-NW_001834692.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.49&CDS=1-645
640	OG0000640	YBR155W	augustus_masked-NW_001834649.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.38&CDS=1-1122
641	OG0000641	YBR156C	augustus_masked-NW_001834649.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.51&CDS=1-2394
642	OG0000642	YBR157C	augustus_masked-NW_001834649.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.52&CDS=1-480
643	OG0000643	YBR158W	augustus_masked-NW_001834649.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.39&CDS=1-1485
644	OG0000644	YBR159W	augustus_masked-NW_001834649.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.40&CDS=1-1041
645	OG0000645	YBR160W	augustus_masked-NW_001834649.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.41&CDS=1-888
646	OG0000646	YBR162C	augustus_masked-NW_001834649.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.53&CDS=1-1386
647	OG0000647	YBR162W-A	augustus_masked-NW_001834608.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NW_001834608.1-processed-gene-0.34&CDS=1-198
648	OG0000648	YBR163W	augustus_masked-NW_001834649.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.43&CDS=1-1662
649	OG0000649	YBR164C	augustus_masked-NW_001834616.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NW_001834616.1-processed-gene-0.31&CDS=1-420
650	OG0000650	YBR165W	augustus_masked-NW_001834685.1-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.46&CDS=1-753
651	OG0000651	YBR166C	augustus_masked-NW_001834685.1-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.50&CDS=1-1329
652	OG0000652	YBR167C	augustus_masked-NW_001834513.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NW_001834513.1-processed-gene-0.12&CDS=1-426
653	OG0000653	YBR168W	augustus_masked-NW_001834685.1-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.48&CDS=1-1206
654	OG0000654	YBR170C	augustus_masked-NW_001834513.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NW_001834513.1-processed-gene-0.14&CDS=1-1704
655	OG0000655	YBR171W	augustus_masked-NW_001834513.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NW_001834513.1-processed-gene-0.9&CDS=1-594
656	OG0000656	YBR173C	augustus_masked-NW_001834685.1-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.72&CDS=1-453
657	OG0000657	YBR176W	augustus_masked-NW_001834513.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NW_001834513.1-processed-gene-0.10&CDS=1-966
658	OG0000658	YBR179C	augustus_masked-NW_001834464.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NW_001834464.1-processed-gene-0.11&CDS=1-1821
659	OG0000659	YBR180W	augustus_masked-NW_001834685.1-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.55&CDS=1-1944
660	OG0000660	YBR185C	augustus_masked-NW_001834657.1-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.88&CDS=1-828
661	OG0000661	YBR186W	augustus_masked-NW_001834685.1-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.59&CDS=1-1656
662	OG0000662	YBR187W	augustus_masked-NW_001834657.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.69&CDS=1-843
663	OG0000663	YBR192W	augustus_masked-NW_001834657.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.72&CDS=1-1119
664	OG0000664	YBR193C	augustus_masked-NW_001834657.1-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.90&CDS=1-693
665	OG0000665	YBR194W	augustus_masked-NW_001834685.1-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.62&CDS=1-306
666	OG0000666	YBR195C	genemark-NW_001834657.1-processed-gene-0.140-mRNA-1_1&gene=genemark-NW_001834657.1-processed-gene-0.140&CDS=1-1236
667	OG0000667	YBR196C	augustus_masked-NW_001834657.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.93&CDS=1-1665
668	OG0000668	YBR198C	augustus_masked-NW_001834657.1-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.95&CDS=1-2529
669	OG0000669	YBR199W	genemark-NW_001834685.1-processed-gene-1.21-mRNA-1_1&gene=genemark-NW_001834685.1-processed-gene-1.21&CDS=1-1422
670	OG0000670	YBR200W	augustus_masked-NW_001834657.1-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.75&CDS=1-1662
671	OG0000671	YBR201W	augustus_masked-NW_001834608.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NW_001834608.1-processed-gene-0.45&CDS=1-681
672	OG0000672	YBR202W	augustus_masked-NW_001834608.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NW_001834608.1-processed-gene-0.44&CDS=1-2520
673	OG0000673	YBR203W	snap_masked-NW_001834545.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NW_001834545.1-processed-gene-0.6&CDS=1-2709
674	OG0000674	YBR204C	augustus_masked-NW_001834545.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NW_001834545.1-processed-gene-0.16&CDS=1-1047
675	OG0000675	YBR205W	augustus_masked-NW_001834545.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NW_001834545.1-processed-gene-0.19&CDS=1-1329
676	OG0000676	YBR207W	genemark-NW_001834545.1-processed-gene-0.11-mRNA-1_1&gene=genemark-NW_001834545.1-processed-gene-0.11&CDS=1-1353
677	OG0000677	YBR208C	augustus_masked-NW_001834545.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NW_001834545.1-processed-gene-0.15&CDS=1-5496
678	OG0000678	YBR211C	augustus_masked-NW_001834627.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NW_001834627.1-processed-gene-0.9&CDS=1-939
679	OG0000679	YBR212W	augustus_masked-NW_001834661.1-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NW_001834661.1-processed-gene-0.106&CDS=1-1761
680	OG0000680	YBR213W	augustus_masked-NW_001834661.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NW_001834661.1-processed-gene-0.105&CDS=1-837
681	OG0000681	YBR214W	snap_masked-NW_001834661.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NW_001834661.1-processed-gene-0.47&CDS=1-1575
682	OG0000682	YBR215W	augustus_masked-NW_001834670.1-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.189&CDS=1-1470
683	OG0000683	YBR216C	augustus_masked-NW_001834670.1-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.163&CDS=1-2013
684	OG0000684	YBR217W	augustus_masked-NW_001834670.1-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.188&CDS=1-630
685	OG0000685	YBR220C	augustus_masked-NW_001834602.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NW_001834602.1-processed-gene-0.0&CDS=1-1647
686	OG0000686	YBR221C	augustus_masked-NW_001834670.1-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.161&CDS=1-1086
687	OG0000687	YBR222C	augustus_masked-NW_001834670.1-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.160&CDS=1-1614
688	OG0000688	YBR223C	augustus_masked-NW_001834670.1-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.159&CDS=1-1704
689	OG0000689	YBR225W	augustus_masked-NW_001834508.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NW_001834508.1-processed-gene-0.3&CDS=1-2253
690	OG0000690	YBR227C	augustus_masked-NW_001834508.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834508.1-processed-gene-0.1&CDS=1-1488
691	OG0000691	YBR228W	augustus_masked-NW_001834508.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001834508.1-processed-gene-0.2&CDS=1-957
692	OG0000692	YBR229C	genemark-NW_001834670.1-processed-gene-0.98-mRNA-1_1&gene=genemark-NW_001834670.1-processed-gene-0.98&CDS=1-2805
693	OG0000693	YBR230C	snap_masked-NW_001834670.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NW_001834670.1-processed-gene-0.33&CDS=1-1008
694	OG0000694	YBR231C	augustus_masked-NW_001834693.1-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.126&CDS=1-915
695	OG0000695	YBR233W	augustus_masked-NW_001834670.1-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.184&CDS=1-1446
696	OG0000696	YBR233W-A	augustus_masked-NW_001834693.1-processed-gene-2.145-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.145&CDS=1-252
697	OG0000697	YBR234C	augustus_masked-NW_001834693.1-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.124&CDS=1-1137
698	OG0000698	YBR235W	augustus_masked-NW_001834670.1-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.182&CDS=1-3333
699	OG0000699	YBR236C	augustus_masked-NW_001834670.1-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.154&CDS=1-1257
700	OG0000700	YBR237W	augustus_masked-NW_001834670.1-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.181&CDS=1-2616
701	OG0000701	YBR239C	maker-NW_001834670.1-snap-gene-0.6-mRNA-1_1&gene=maker-NW_001834670.1-snap-gene-0.6&CDS=1-1509
702	OG0000702	YBR240C	augustus_masked-NW_001834670.1-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.151&CDS=1-1305
703	OG0000703	YBR241C	augustus_masked-NW_001834670.1-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.150&CDS=1-1506
704	OG0000704	YBR243C	augustus_masked-NW_001834670.1-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.149&CDS=1-1356
705	OG0000705	YBR245C	augustus_masked-NW_001834693.1-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.120&CDS=1-3210
706	OG0000706	YBR246W	augustus_masked-NW_001834693.1-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.139&CDS=1-1137
707	OG0000707	YBR247C	augustus_masked-NW_001834692.1-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.123&CDS=1-1425
708	OG0000708	YBR248C	augustus_masked-NW_001834693.1-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.119&CDS=1-723
709	OG0000709	YBR249C	maker-NW_001834693.1-snap-gene-2.4-mRNA-1_1&gene=maker-NW_001834693.1-snap-gene-2.4&CDS=1-1923
710	OG0000710	YBR250W	augustus_masked-NW_001834692.1-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.86&CDS=1-1857
711	OG0000711	YBR251W	augustus_masked-NW_001834447.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NW_001834447.1-processed-gene-0.0&CDS=1-951
712	OG0000712	YBR253W	genemark-NW_001834598.1-processed-gene-0.18-mRNA-1_1&gene=genemark-NW_001834598.1-processed-gene-0.18&CDS=1-378
713	OG0000713	YBR254C	augustus_masked-NW_001834462.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834462.1-processed-gene-0.1&CDS=1-528
714	OG0000714	YBR255C-A	maker-NW_001834462.1-augustus-gene-0.7-mRNA-1_1&gene=maker-NW_001834462.1-augustus-gene-0.7&CDS=1-372
715	OG0000715	YBR255W	augustus_masked-NW_001834462.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NW_001834462.1-processed-gene-0.0&CDS=1-1866
716	OG0000716	YBR256C	augustus_masked-NW_001834598.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NW_001834598.1-processed-gene-0.12&CDS=1-705
717	OG0000717	YBR257W	augustus_masked-NW_001834664.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.63&CDS=1-840
718	OG0000718	YBR258C	augustus_masked-NW_001834648.1-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.119&CDS=1-381
719	OG0000719	YBR259W	snap_masked-NW_001834648.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NW_001834648.1-processed-gene-0.5&CDS=1-1845
720	OG0000720	YBR260C	augustus_masked-NW_001834648.1-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.120&CDS=1-2034
721	OG0000721	YBR261C	augustus_masked-NW_001834664.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.89&CDS=1-696
722	OG0000722	YBR262C	augustus_masked-NW_001834648.1-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.121&CDS=1-300
723	OG0000723	YBR263W	snap_masked-NW_001834664.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NW_001834664.1-processed-gene-0.6&CDS=1-1443
724	OG0000724	YBR265W	augustus_masked-NW_001834664.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.97&CDS=1-978
725	OG0000725	YBR267W	augustus_masked-NW_001834664.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.96&CDS=1-1221
726	OG0000726	YBR269C	augustus_masked-NW_001834648.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.103&CDS=1-432
727	OG0000727	YBR270C	augustus_masked-NW_001834648.1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.102&CDS=1-1575
728	OG0000728	YBR271W	augustus_masked-NW_001834648.1-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.127&CDS=1-1305
729	OG0000729	YBR272C	augustus_masked-NW_001834664.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.68&CDS=1-1446
730	OG0000730	YBR273C	augustus_masked-NW_001834664.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.67&CDS=1-1251
731	OG0000731	YBR274W	augustus_masked-NW_001834664.1-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.90&CDS=1-1593
732	OG0000732	YBR275C	snap_masked-NW_001834664.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NW_001834664.1-processed-gene-0.7&CDS=1-5184
733	OG0000733	YBR276C	augustus_masked-NW_001834648.1-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.129&CDS=1-2508
734	OG0000734	YBR278W	augustus_masked-NW_001834612.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NW_001834612.1-processed-gene-0.58&CDS=1-720
735	OG0000735	YBR279W	augustus_masked-NW_001834648.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.104&CDS=1-1374
736	OG0000736	YBR280C	augustus_masked-NW_001834612.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NW_001834612.1-processed-gene-0.69&CDS=1-1824
737	OG0000737	YBR281C	augustus_masked-NW_001834612.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NW_001834612.1-processed-gene-0.62&CDS=1-2652
738	OG0000738	YBR282W	augustus_masked-NW_001834612.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NW_001834612.1-processed-gene-0.50&CDS=1-435
739	OG0000739	YBR283C	maker-NW_001834612.1-augustus-gene-0.23-mRNA-1_1&gene=maker-NW_001834612.1-augustus-gene-0.23&CDS=1-1218
740	OG0000740	YBR286W	augustus_masked-NW_001834612.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NW_001834612.1-processed-gene-0.53&CDS=1-1707
741	OG0000741	YBR287W	augustus_masked-NW_001834694.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-0.74&CDS=1-1290
742	OG0000742	YBR288C	augustus_masked-NW_001834694.1-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-1.36&CDS=1-1725
743	OG0000743	YBR289W	maker-NW_001834694.1-snap-gene-1.64-mRNA-1_1&gene=maker-NW_001834694.1-snap-gene-1.64&CDS=1-2409
744	OG0000744	YBR290W	augustus_masked-NW_001834694.1-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-1.50&CDS=1-1011
745	OG0000745	YBR291C	augustus_masked-NW_001834573.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NW_001834573.1-processed-gene-0.6&CDS=1-903
