	OrthologID	Meyerozyma_guilliermondii	Saccharomyces_cerevisiae
432	OG0000432	genemark-NW_001809800.1-processed-gene-18.115-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-18.115&CDS=1-1293	YBR273C, YJL048C
433	OG0000433	genemark-NW_001809800.1-processed-gene-19.285-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-19.285&CDS=1-885	YER045C, YIL036W
434	OG0000434	augustus_masked-NW_001809800.1-processed-gene-19.64-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-19.64&CDS=1-1260	YDR300C, YHR033W
435	OG0000435	augustus_masked-NW_001809800.1-processed-gene-19.36-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-19.36&CDS=1-3210	YGR056W, YLR357W
436	OG0000436	augustus_masked-NW_001809800.1-processed-gene-19.84-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-19.84&CDS=1-1011	YDR277C, YOR047C
437	OG0000437		YCR102C, YLR460C, YNL134C
438	OG0000438	maker-NW_001809792.1-snap-gene-0.24-mRNA-1_1&gene=maker-NW_001809792.1-snap-gene-0.24&CDS=1-363	Q0250
439	OG0000439	maker-NW_001809792.1-snap-gene-0.27-mRNA-1_1&gene=maker-NW_001809792.1-snap-gene-0.27&CDS=1-2259	Q0085
440	OG0000440	augustus_masked-NW_001809793.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.69&CDS=1-447	YDR092W
441	OG0000441	augustus_masked-NW_001809793.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.71&CDS=1-897	YBR085W
442	OG0000442	augustus_masked-NW_001809793.1-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.90&CDS=1-1296	YOL052C
443	OG0000443	augustus_masked-NW_001809793.1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.91&CDS=1-2088	YKR001C
444	OG0000444	augustus_masked-NW_001809793.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.92&CDS=1-1857	YBR028C
445	OG0000445	augustus_masked-NW_001809793.1-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.95&CDS=1-2319	YMR078C
446	OG0000446	augustus_masked-NW_001809793.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.74&CDS=1-2847	YMR080C
447	OG0000447	augustus_masked-NW_001809793.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.100&CDS=1-1458	YDR299W
448	OG0000448	maker-NW_001809793.1-augustus-gene-0.3-mRNA-1_1&gene=maker-NW_001809793.1-augustus-gene-0.3&CDS=1-1035	YOL139C
449	OG0000449	augustus_masked-NW_001809793.1-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.101&CDS=1-834	YNL320W
450	OG0000450	augustus_masked-NW_001809793.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.78&CDS=1-2283	YOL138C
451	OG0000451	augustus_masked-NW_001809793.1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.102&CDS=1-681	YDR489W
452	OG0000452	augustus_masked-NW_001809793.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.103&CDS=1-1353	YDL003W
453	OG0000453	augustus_masked-NW_001809793.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.83&CDS=1-462	YGR076C
454	OG0000454	augustus_masked-NW_001809793.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.104&CDS=1-363	YGR074W
455	OG0000455	augustus_masked-NW_001809793.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.84&CDS=1-1020	YDR411C
456	OG0000456	snap_masked-NW_001809793.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NW_001809793.1-processed-gene-0.33&CDS=1-3009	YNL321W
457	OG0000457	maker-NW_001809793.1-augustus-gene-1.54-mRNA-1_1&gene=maker-NW_001809793.1-augustus-gene-1.54&CDS=1-741	YOR126C
458	OG0000458	augustus_masked-NW_001809793.1-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.108&CDS=1-4062	YOL004W
459	OG0000459	augustus_masked-NW_001809793.1-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.111&CDS=1-4422	YOR296W
460	OG0000460	maker-NW_001809793.1-augustus-gene-1.56-mRNA-1_1&gene=maker-NW_001809793.1-augustus-gene-1.56&CDS=1-2649	YAL048C
461	OG0000461	augustus_masked-NW_001809793.1-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.112&CDS=1-324	YAL046C
462	OG0000462	augustus_masked-NW_001809793.1-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.129&CDS=1-2148	YOR361C
463	OG0000463	augustus_masked-NW_001809793.1-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.131&CDS=1-744	YOR362C
464	OG0000464	maker-NW_001809793.1-snap-gene-1.152-mRNA-1_1&gene=maker-NW_001809793.1-snap-gene-1.152&CDS=1-1023	YOL003C
465	OG0000465	snap_masked-NW_001809793.1-processed-gene-1.30-mRNA-1_1&gene=snap_masked-NW_001809793.1-processed-gene-1.30&CDS=1-8172	YBL088C
466	OG0000466	augustus_masked-NW_001809793.1-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.115&CDS=1-1179	YDR019C
467	OG0000467	augustus_masked-NW_001809793.1-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.134&CDS=1-981	YPL215W
468	OG0000468	augustus_masked-NW_001809793.1-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.119&CDS=1-3384	YGL133W
469	OG0000469	augustus_masked-NW_001809793.1-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.141&CDS=1-1980	YPL206C
470	OG0000470	maker-NW_001809793.1-augustus-gene-1.57-mRNA-1_1&gene=maker-NW_001809793.1-augustus-gene-1.57&CDS=1-2946	YGL064C
471	OG0000471	augustus_masked-NW_001809793.1-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.120&CDS=1-1482	YGL129C
472	OG0000472	augustus_masked-NW_001809793.1-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.143&CDS=1-543	YPL211W
473	OG0000473	augustus_masked-NW_001809793.1-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.121&CDS=1-1626	YPL212C
474	OG0000474	augustus_masked-NW_001809793.1-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.144&CDS=1-1290	YPL204W
475	OG0000475	snap_masked-NW_001809793.1-processed-gene-1.16-mRNA-1_1&gene=snap_masked-NW_001809793.1-processed-gene-1.16&CDS=1-630	YPL209C
476	OG0000476	augustus_masked-NW_001809793.1-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.146&CDS=1-1269	YGL066W
477	OG0000477	augustus_masked-NW_001809793.1-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.123&CDS=1-2139	YPL207W
478	OG0000478	augustus_masked-NW_001809793.1-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.124&CDS=1-1416	YGL065C
479	OG0000479	maker-NW_001809793.1-augustus-gene-1.53-mRNA-1_1&gene=maker-NW_001809793.1-augustus-gene-1.53&CDS=1-570	YPL218W
480	OG0000480	augustus_masked-NW_001809793.1-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.126&CDS=1-1932	YGL099W
481	OG0000481	genemark-NW_001809793.1-processed-gene-1.105-mRNA-1_1&gene=genemark-NW_001809793.1-processed-gene-1.105&CDS=1-2700	YGL137W
482	OG0000482	genemark-NW_001809793.1-processed-gene-1.106-mRNA-1_1&gene=genemark-NW_001809793.1-processed-gene-1.106&CDS=1-1767	YNL048W
483	OG0000483	genemark-NW_001809793.1-processed-gene-2.1-mRNA-1_1&gene=genemark-NW_001809793.1-processed-gene-2.1&CDS=1-1248	YBL091C
484	OG0000484	augustus_masked-NW_001809793.1-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.106&CDS=1-843	YER118C
485	OG0000485	augustus_masked-NW_001809793.1-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.112&CDS=1-981	YGR031W
486	OG0000486	augustus_masked-NW_001809793.1-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.130&CDS=1-900	YLR351C
487	OG0000487	augustus_masked-NW_001809793.1-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.113&CDS=1-1866	YPL222W
488	OG0000488	maker-NW_001809793.1-snap-gene-2.146-mRNA-1_1&gene=maker-NW_001809793.1-snap-gene-2.146&CDS=1-2238	YKR084C
489	OG0000489	snap_masked-NW_001809793.1-processed-gene-2.90-mRNA-1_1&gene=snap_masked-NW_001809793.1-processed-gene-2.90&CDS=1-1035	YOR075W
490	OG0000490	augustus_masked-NW_001809793.1-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.118&CDS=1-549	YGR129W
491	OG0000491	augustus_masked-NW_001809793.1-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.119&CDS=1-4326	YGR116W
492	OG0000492	maker-NW_001809793.1-augustus-gene-2.50-mRNA-1_1&gene=maker-NW_001809793.1-augustus-gene-2.50&CDS=1-4164	YJL108C
493	OG0000493	maker-NW_001809793.1-augustus-gene-2.51-mRNA-1_1&gene=maker-NW_001809793.1-augustus-gene-2.51&CDS=1-3243	YOL023W
494	OG0000494	augustus_masked-NW_001809793.1-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.140&CDS=1-1446	YDR052C
495	OG0000495	augustus_masked-NW_001809793.1-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.141&CDS=1-720	YDR054C
496	OG0000496	augustus_masked-NW_001809793.1-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.121&CDS=1-2370	YFR016C
497	OG0000497	augustus_masked-NW_001809793.1-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.122&CDS=1-3573	YJL080C
498	OG0000498	augustus_masked-NW_001809793.1-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.142&CDS=1-1674	YOR386W
499	OG0000499	augustus_masked-NW_001809793.1-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.123&CDS=1-1614	YGR055W
500	OG0000500	augustus_masked-NW_001809793.1-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.124&CDS=1-420	YPR100W
501	OG0000501	maker-NW_001809793.1-snap-gene-2.147-mRNA-1_1&gene=maker-NW_001809793.1-snap-gene-2.147&CDS=1-2283	YLL057C
502	OG0000502	augustus_masked-NW_001809793.1-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.143&CDS=1-3807	YBL047C
503	OG0000503	augustus_masked-NW_001809793.1-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.127&CDS=1-600	YHR089C
504	OG0000504	augustus_masked-NW_001809793.1-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.144&CDS=1-981	YDR336W
505	OG0000505	augustus_masked-NW_001809793.1-processed-gene-3.151-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.151&CDS=1-5205	YKR031C
506	OG0000506	augustus_masked-NW_001809793.1-processed-gene-3.152-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.152&CDS=1-648	YHR181W
507	OG0000507	augustus_masked-NW_001809793.1-processed-gene-3.157-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.157&CDS=1-1089	YDL006W
508	OG0000508	genemark-NW_001809793.1-processed-gene-3.85-mRNA-1_1&gene=genemark-NW_001809793.1-processed-gene-3.85&CDS=1-4419	YKL094W
509	OG0000509	augustus_masked-NW_001809793.1-processed-gene-3.180-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.180&CDS=1-303	YDR079W
510	OG0000510	augustus_masked-NW_001809793.1-processed-gene-3.158-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.158&CDS=1-708	YDR084C
511	OG0000511	augustus_masked-NW_001809793.1-processed-gene-3.181-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.181&CDS=1-2877	YDR080W
512	OG0000512	augustus_masked-NW_001809793.1-processed-gene-3.159-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.159&CDS=1-207	YDR079C-A
513	OG0000513	augustus_masked-NW_001809793.1-processed-gene-3.182-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.182&CDS=1-2457	YER157W
514	OG0000514	snap_masked-NW_001809793.1-processed-gene-3.11-mRNA-1_1&gene=snap_masked-NW_001809793.1-processed-gene-3.11&CDS=1-1500	YIL150C
515	OG0000515	augustus_masked-NW_001809793.1-processed-gene-3.162-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.162&CDS=1-996	YER156C
516	OG0000516	maker-NW_001809793.1-augustus-gene-3.76-mRNA-1_1&gene=maker-NW_001809793.1-augustus-gene-3.76&CDS=1-2664	YBR019C
517	OG0000517	augustus_masked-NW_001809793.1-processed-gene-3.164-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.164&CDS=1-1113	YBR018C
518	OG0000518	augustus_masked-NW_001809793.1-processed-gene-3.165-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.165&CDS=1-945	YOR239W
519	OG0000519	augustus_masked-NW_001809793.1-processed-gene-3.166-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.166&CDS=1-2637	YGR003W
520	OG0000520	augustus_masked-NW_001809793.1-processed-gene-3.167-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.167&CDS=1-1647	YGR002C
521	OG0000521	snap_masked-NW_001809793.1-processed-gene-3.20-mRNA-1_1&gene=snap_masked-NW_001809793.1-processed-gene-3.20&CDS=1-1371	YAR002W
522	OG0000522	genemark-NW_001809793.1-processed-gene-3.99-mRNA-1_1&gene=genemark-NW_001809793.1-processed-gene-3.99&CDS=1-1038	YGL001C
523	OG0000523	snap_masked-NW_001809793.1-processed-gene-3.53-mRNA-1_1&gene=snap_masked-NW_001809793.1-processed-gene-3.53&CDS=1-858	YGR280C
524	OG0000524	snap_masked-NW_001809793.1-processed-gene-3.54-mRNA-1_1&gene=snap_masked-NW_001809793.1-processed-gene-3.54&CDS=1-3462	YAL001C
525	OG0000525	augustus_masked-NW_001809793.1-processed-gene-3.170-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.170&CDS=1-1209	YAL003W
526	OG0000526	genemark-NW_001809793.1-processed-gene-3.131-mRNA-1_1&gene=genemark-NW_001809793.1-processed-gene-3.131&CDS=1-1089	YLR321C
527	OG0000527	genemark-NW_001809793.1-processed-gene-3.132-mRNA-1_1&gene=genemark-NW_001809793.1-processed-gene-3.132&CDS=1-1011	YLR316C
528	OG0000528	snap_masked-NW_001809793.1-processed-gene-3.26-mRNA-1_1&gene=snap_masked-NW_001809793.1-processed-gene-3.26&CDS=1-2346	YLR318W
529	OG0000529	augustus_masked-NW_001809793.1-processed-gene-3.194-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.194&CDS=1-2034	YLR319C
530	OG0000530	augustus_masked-NW_001809793.1-processed-gene-3.195-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.195&CDS=1-2718	YMR308C
531	OG0000531	augustus_masked-NW_001809793.1-processed-gene-3.196-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.196&CDS=1-1101	YAL036C
532	OG0000532	augustus_masked-NW_001809793.1-processed-gene-3.172-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.172&CDS=1-3009	YAL035W
533	OG0000533	augustus_masked-NW_001809793.1-processed-gene-3.173-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.173&CDS=1-1692	YDL236W
534	OG0000534	augustus_masked-NW_001809793.1-processed-gene-3.174-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.174&CDS=1-1386	YDR072C
535	OG0000535	augustus_masked-NW_001809794.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-0.56&CDS=1-1086	YBR087W
536	OG0000536	maker-NW_001809794.1-augustus-gene-0.91-mRNA-1_1&gene=maker-NW_001809794.1-augustus-gene-0.91&CDS=1-651	YKL041W
537	OG0000537	augustus_masked-NW_001809794.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-0.78&CDS=1-699	YBL038W
538	OG0000538	maker-NW_001809794.1-augustus-gene-0.96-mRNA-1_1&gene=maker-NW_001809794.1-augustus-gene-0.96&CDS=1-3141	YPR047W
539	OG0000539	augustus_masked-NW_001809794.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-0.58&CDS=1-1683	YKR008W
540	OG0000540	genemark-NW_001809794.1-processed-gene-0.42-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-0.42&CDS=1-1509	YMR023C
541	OG0000541	genemark-NW_001809794.1-processed-gene-0.17-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-0.17&CDS=1-1551	YOR311C
542	OG0000542	augustus_masked-NW_001809794.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-0.81&CDS=1-627	YOR289W
543	OG0000543	maker-NW_001809794.1-augustus-gene-1.114-mRNA-1_1&gene=maker-NW_001809794.1-augustus-gene-1.114&CDS=1-300	YDR377W
544	OG0000544	maker-NW_001809794.1-augustus-gene-1.115-mRNA-1_1&gene=maker-NW_001809794.1-augustus-gene-1.115&CDS=1-255	YPR182W
545	OG0000545	genemark-NW_001809794.1-processed-gene-1.119-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-1.119&CDS=1-1533	YDR376W
546	OG0000546	genemark-NW_001809794.1-processed-gene-1.122-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-1.122&CDS=1-1677	YKL053C-A
547	OG0000547	genemark-NW_001809794.1-processed-gene-1.124-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-1.124&CDS=1-1854	YML042W
548	OG0000548	augustus_masked-NW_001809794.1-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-1.31&CDS=1-3249	YPR049C
549	OG0000549	augustus_masked-NW_001809794.1-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-1.14&CDS=1-501	YBR137W
550	OG0000550	augustus_masked-NW_001809794.1-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-1.15&CDS=1-909	YBR095C
551	OG0000551	augustus_masked-NW_001809794.1-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-1.16&CDS=1-777	YBR088C
552	OG0000552	augustus_masked-NW_001809794.1-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-1.32&CDS=1-531	YPR051W
553	OG0000553	genemark-NW_001809794.1-processed-gene-1.132-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-1.132&CDS=1-1047	YKL060C
554	OG0000554	augustus_masked-NW_001809794.1-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-1.33&CDS=1-288	YBR091C
555	OG0000555	genemark-NW_001809794.1-processed-gene-1.133-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-1.133&CDS=1-2052	YBR094W
556	OG0000556	genemark-NW_001809794.1-processed-gene-1.134-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-1.134&CDS=1-726	YKL054C
557	OG0000557	augustus_masked-NW_001809794.1-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-1.20&CDS=1-1344	YMR027W
558	OG0000558	genemark-NW_001809794.1-processed-gene-1.158-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-1.158&CDS=1-369	YKL058W
559	OG0000559	genemark-NW_001809794.1-processed-gene-1.138-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-1.138&CDS=1-1314	YKL059C
560	OG0000560	maker-NW_001809794.1-augustus-gene-1.111-mRNA-1_1&gene=maker-NW_001809794.1-augustus-gene-1.111&CDS=1-2286	YOR303W
561	OG0000561	maker-NW_001809794.1-augustus-gene-1.112-mRNA-1_1&gene=maker-NW_001809794.1-augustus-gene-1.112&CDS=1-2088	YMR226C
562	OG0000562	augustus_masked-NW_001809794.1-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-1.36&CDS=1-1107	YGL211W
563	OG0000563	augustus_masked-NW_001809794.1-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-1.37&CDS=1-3828	YMR309C
564	OG0000564	augustus_masked-NW_001809794.1-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-1.23&CDS=1-2991	YLR196W
565	OG0000565	augustus_masked-NW_001809794.1-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-1.39&CDS=1-1827	YER036C
566	OG0000566	augustus_masked-NW_001809794.1-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-1.24&CDS=1-6585	YFL007W
567	OG0000567	maker-NW_001809794.1-snap-gene-1.51-mRNA-1_1&gene=maker-NW_001809794.1-snap-gene-1.51&CDS=1-1026	YGR058W
568	OG0000568	snap_masked-NW_001809794.1-processed-gene-1.88-mRNA-1_1&gene=snap_masked-NW_001809794.1-processed-gene-1.88&CDS=1-1044	YLR363C
569	OG0000569	genemark-NW_001809794.1-processed-gene-1.151-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-1.151&CDS=1-1080	YMR228W
570	OG0000570	augustus_masked-NW_001809794.1-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.7&CDS=1-2175	YMR061W
571	OG0000571	genemark-NW_001809794.1-processed-gene-2.45-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-2.45&CDS=1-969	YMR060C
572	OG0000572	genemark-NW_001809794.1-processed-gene-2.46-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-2.46&CDS=1-1314	YKL077W
573	OG0000573	augustus_masked-NW_001809794.1-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.4&CDS=1-1404	YKL175W
574	OG0000574	augustus_masked-NW_001809794.1-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.6&CDS=1-1203	YMR243C
575	OG0000575	augustus_masked-NW_001809794.1-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.20&CDS=1-1266	YHL020C
576	OG0000576	augustus_masked-NW_001809794.1-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.23&CDS=1-5022	YMR229C
577	OG0000577	augustus_masked-NW_001809794.1-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.24&CDS=1-1683	YHL010C
578	OG0000578	maker-NW_001809794.1-snap-gene-2.1-mRNA-1_1&gene=maker-NW_001809794.1-snap-gene-2.1&CDS=1-3957	YML131W
579	OG0000579	genemark-NW_001809794.1-processed-gene-2.75-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-2.75&CDS=1-1266	YNL323W
580	OG0000580	augustus_masked-NW_001809794.1-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.9&CDS=1-1305	YBR143C
581	OG0000581	augustus_masked-NW_001809794.1-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.29&CDS=1-2211	YBR142W
582	OG0000582	augustus_masked-NW_001809794.1-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.10&CDS=1-1005	YBR141C
583	OG0000583	augustus_masked-NW_001809794.1-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.13&CDS=1-903	YDR337W
584	OG0000584	augustus_masked-NW_001809794.1-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.31&CDS=1-579	YJR112W
585	OG0000585	augustus_masked-NW_001809794.1-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.14&CDS=1-882	YBL050W
586	OG0000586	snap_masked-NW_001809794.1-processed-gene-2.128-mRNA-1_1&gene=snap_masked-NW_001809794.1-processed-gene-2.128&CDS=1-3444	YJR109C
587	OG0000587	snap_masked-NW_001809794.1-processed-gene-2.108-mRNA-1_1&gene=snap_masked-NW_001809794.1-processed-gene-2.108&CDS=1-468	YDR437W
588	OG0000588	augustus_masked-NW_001809794.1-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.33&CDS=1-2772	YBR017C
589	OG0000589	augustus_masked-NW_001809794.1-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.34&CDS=1-1833	YAR014C
590	OG0000590	maker-NW_001809794.1-augustus-gene-2.146-mRNA-1_1&gene=maker-NW_001809794.1-augustus-gene-2.146&CDS=1-3420	YGR125W
591	OG0000591	augustus_masked-NW_001809794.1-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.38&CDS=1-1662	YDL017W
592	OG0000592	maker-NW_001809794.1-augustus-gene-2.143-mRNA-1_1&gene=maker-NW_001809794.1-augustus-gene-2.143&CDS=1-978	YGR165W
593	OG0000593	genemark-NW_001809794.1-processed-gene-2.63-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-2.63&CDS=1-657	YDL018C
594	OG0000594	augustus_masked-NW_001809794.1-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.39&CDS=1-999	YPR110C
595	OG0000595	snap_masked-NW_001809794.1-processed-gene-2.137-mRNA-1_1&gene=snap_masked-NW_001809794.1-processed-gene-2.137&CDS=1-3483	YGR090W
596	OG0000596	augustus_masked-NW_001809794.1-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.19&CDS=1-2184	YHR072W
