	OrthologID	Saccharomyces_cerevisiae	yHAB132_Kazachstania_martiniae
178	OG0000178	YBR126W-A	snap_masked-scf7180000029937-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000029937-processed-gene-0.0&CDS=1-204, snap_masked-scf7180000030023-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000030023-processed-gene-0.0&CDS=1-204
179	OG0000179	YBR161W, YPL057C	genemark-scf7180000030493-processed-gene-2.172-mRNA-1_1&gene=genemark-scf7180000030493-processed-gene-2.172&CDS=1-1218
180	OG0000180	YBR182C	genemark-scf7180000030525-processed-gene-2.178-mRNA-1_1&gene=genemark-scf7180000030525-processed-gene-2.178&CDS=1-1896, snap_masked-scf7180000030493-processed-gene-2.114-mRNA-1_1&gene=snap_masked-scf7180000030493-processed-gene-2.114&CDS=1-1335
181	OG0000181	YBR218C, YGL062W	maker-scf7180000030455-snap-gene-0.91-mRNA-1_1&gene=maker-scf7180000030455-snap-gene-0.91&CDS=1-3498
182	OG0000182	YBR244W, YIR037W	genemark-scf7180000030516-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000030516-processed-gene-0.62&CDS=1-486
183	OG0000183	YBR245C	augustus_masked-scf7180000030442-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scf7180000030442-processed-gene-0.85&CDS=1-3615, genemark-scf7180000030455-processed-gene-0.105-mRNA-1_1&gene=genemark-scf7180000030455-processed-gene-0.105&CDS=1-3165
184	OG0000184	YCL025C	genemark-scf7180000030494-processed-gene-0.145-mRNA-1_1&gene=genemark-scf7180000030494-processed-gene-0.145&CDS=1-1968, snap_masked-scf7180000030475-processed-gene-0.54-mRNA-1_1&gene=snap_masked-scf7180000030475-processed-gene-0.54&CDS=1-1926
185	OG0000185	YCL026C-A, YCL026C-B	genemark-scf7180000030475-processed-gene-0.84-mRNA-1_1&gene=genemark-scf7180000030475-processed-gene-0.84&CDS=1-582
186	OG0000186	YCL040W	snap_masked-scf7180000030475-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scf7180000030475-processed-gene-0.14&CDS=1-1485, snap_masked-scf7180000030494-processed-gene-0.106-mRNA-1_1&gene=snap_masked-scf7180000030494-processed-gene-0.106&CDS=1-1500
187	OG0000187	YCL049C	augustus_masked-scf7180000030399-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000030399-processed-gene-0.0&CDS=1-2058, snap_masked-scf7180000030408-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scf7180000030408-processed-gene-0.45&CDS=1-195
188	OG0000188	YCL064C	genemark-scf7180000030475-processed-gene-0.88-mRNA-1_1&gene=genemark-scf7180000030475-processed-gene-0.88&CDS=1-1065, snap_masked-scf7180000030468-processed-gene-0.35-mRNA-1_1&gene=snap_masked-scf7180000030468-processed-gene-0.35&CDS=1-1029
189	OG0000189	YCL068C, YCR038C	genemark-scf7180000030525-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000030525-processed-gene-0.43&CDS=1-4206
190	OG0000190	YCR004C	snap_masked-scf7180000030490-processed-gene-1.183-mRNA-1_1&gene=snap_masked-scf7180000030490-processed-gene-1.183&CDS=1-780, snap_masked-scf7180000030518-processed-gene-0.67-mRNA-1_1&gene=snap_masked-scf7180000030518-processed-gene-0.67&CDS=1-762
191	OG0000191	YCR010C, YNR002C	genemark-scf7180000030518-processed-gene-0.33-mRNA-1_1&gene=genemark-scf7180000030518-processed-gene-0.33&CDS=1-888
192	OG0000192	YCR031C, YJL191W	augustus_masked-scf7180000030429-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scf7180000030429-processed-gene-0.50&CDS=1-402
193	OG0000193	YCR037C	augustus_masked-scf7180000030429-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scf7180000030429-processed-gene-0.53&CDS=1-2802, genemark-scf7180000030525-processed-gene-0.42-mRNA-1_1&gene=genemark-scf7180000030525-processed-gene-0.42&CDS=1-2808
194	OG0000194	YCR045C	genemark-scf7180000030486-processed-gene-1.66-mRNA-1_1&gene=genemark-scf7180000030486-processed-gene-1.66&CDS=1-1527, snap_masked-scf7180000030088-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000030088-processed-gene-0.2&CDS=1-486
195	OG0000195	YCR084C	snap_masked-scf7180000030439-processed-gene-1.207-mRNA-1_1&gene=snap_masked-scf7180000030439-processed-gene-1.207&CDS=1-1974, snap_masked-scf7180000030498-processed-gene-0.54-mRNA-1_1&gene=snap_masked-scf7180000030498-processed-gene-0.54&CDS=1-2058
196	OG0000196	YCR091W	augustus_masked-scf7180000030439-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-scf7180000030439-processed-gene-1.37&CDS=1-3507, snap_masked-scf7180000030498-processed-gene-0.44-mRNA-1_1&gene=snap_masked-scf7180000030498-processed-gene-0.44&CDS=1-2367
197	OG0000197	YDL004W	genemark-scf7180000030479-processed-gene-0.35-mRNA-1_1&gene=genemark-scf7180000030479-processed-gene-0.35&CDS=1-477, snap_masked-scf7180000030378-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000030378-processed-gene-0.0&CDS=1-477
198	OG0000198	YDL022W	genemark-scf7180000030479-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000030479-processed-gene-0.5&CDS=1-1260, snap_masked-scf7180000030474-processed-gene-0.73-mRNA-1_1&gene=snap_masked-scf7180000030474-processed-gene-0.73&CDS=1-1170
199	OG0000199	YDL061C, YLR388W	snap_masked-scf7180000030489-processed-gene-1.173-mRNA-1_1&gene=snap_masked-scf7180000030489-processed-gene-1.173&CDS=1-216
200	OG0000200	YDL075W, YLR406C	snap_masked-scf7180000030480-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000030480-processed-gene-0.19&CDS=1-339
201	OG0000201	YDL082W, YMR142C	augustus_masked-scf7180000030481-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-scf7180000030481-processed-gene-0.113&CDS=1-597
202	OG0000202	YDL083C, YMR143W	snap_masked-scf7180000030452-processed-gene-1.302-mRNA-1_1&gene=snap_masked-scf7180000030452-processed-gene-1.302&CDS=1-429
203	OG0000203	YDL086W	genemark-scf7180000030414-processed-gene-0.100-mRNA-1_1&gene=genemark-scf7180000030414-processed-gene-0.100&CDS=1-819, genemark-scf7180000030481-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000030481-processed-gene-0.2&CDS=1-819
204	OG0000204	YDL087C	genemark-scf7180000030414-processed-gene-0.81-mRNA-1_1&gene=genemark-scf7180000030414-processed-gene-0.81&CDS=1-714, genemark-scf7180000030481-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000030481-processed-gene-0.25&CDS=1-714
205	OG0000205	YDL089W	snap_masked-scf7180000030414-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scf7180000030414-processed-gene-0.27&CDS=1-1167, snap_masked-scf7180000030481-processed-gene-0.61-mRNA-1_1&gene=snap_masked-scf7180000030481-processed-gene-0.61&CDS=1-1167
206	OG0000206	YDL093W, YDL095W	maker-scf7180000030414-snap-gene-0.5-mRNA-1_1&gene=maker-scf7180000030414-snap-gene-0.5&CDS=1-4899
207	OG0000207	YDL106C	snap_masked-scf7180000030085-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000030085-processed-gene-0.2&CDS=1-540, snap_masked-scf7180000030414-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000030414-processed-gene-0.19&CDS=1-1518
208	OG0000208	YDL122W	genemark-scf7180000030414-processed-gene-0.117-mRNA-1_1&gene=genemark-scf7180000030414-processed-gene-0.117&CDS=1-1929, genemark-scf7180000030484-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000030484-processed-gene-0.26&CDS=1-1338
209	OG0000209	YDL136W, YDL191W	genemark-scf7180000030510-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000030510-processed-gene-0.3&CDS=1-360
210	OG0000210	YDL145C	genemark-scf7180000030486-processed-gene-1.2-mRNA-1_1&gene=genemark-scf7180000030486-processed-gene-1.2&CDS=1-3555, maker-scf7180000030438-augustus-gene-0.66-mRNA-1_1&gene=maker-scf7180000030438-augustus-gene-0.66&CDS=1-6276
211	OG0000211	YDL155W, YLR210W	maker-scf7180000030438-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000030438-snap-gene-0.0&CDS=1-1167
212	OG0000212	YDL175C, YIL079C	snap_masked-scf7180000030510-processed-gene-0.123-mRNA-1_1&gene=snap_masked-scf7180000030510-processed-gene-0.123&CDS=1-708
213	OG0000213	YDL229W, YNL209W	snap_masked-scf7180000030492-processed-gene-1.95-mRNA-1_1&gene=snap_masked-scf7180000030492-processed-gene-1.95&CDS=1-1839
214	OG0000214	YDL233W	augustus_masked-scf7180000030494-processed-gene-0.240-mRNA-1_1&gene=augustus_masked-scf7180000030494-processed-gene-0.240&CDS=1-1437, snap_masked-scf7180000030492-processed-gene-1.97-mRNA-1_1&gene=snap_masked-scf7180000030492-processed-gene-1.97&CDS=1-2526
215	OG0000215	YDL239C	snap_masked-scf7180000030492-processed-gene-1.64-mRNA-1_1&gene=snap_masked-scf7180000030492-processed-gene-1.64&CDS=1-1986, snap_masked-scf7180000030494-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scf7180000030494-processed-gene-0.27&CDS=1-1527
216	OG0000216	YDR011W, YNR070W	maker-scf7180000030479-augustus-gene-0.131-mRNA-1_1&gene=maker-scf7180000030479-augustus-gene-0.131&CDS=1-6030
217	OG0000217	YDR046C	genemark-scf7180000030478-processed-gene-0.192-mRNA-1_1&gene=genemark-scf7180000030478-processed-gene-0.192&CDS=1-1794, maker-scf7180000030484-snap-gene-0.69-mRNA-1_1&gene=maker-scf7180000030484-snap-gene-0.69&CDS=1-3606
218	OG0000218	YDR107C, YLR083C	maker-scf7180000030513-augustus-gene-1.109-mRNA-1_1&gene=maker-scf7180000030513-augustus-gene-1.109&CDS=1-5148
219	OG0000219	YDR122W	genemark-scf7180000030513-processed-gene-1.41-mRNA-1_1&gene=genemark-scf7180000030513-processed-gene-1.41&CDS=1-3735, genemark-scf7180000030522-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000030522-processed-gene-0.12&CDS=1-2952
220	OG0000220	YDR151C, YLR136C	genemark-scf7180000030493-processed-gene-0.29-mRNA-1_1&gene=genemark-scf7180000030493-processed-gene-0.29&CDS=1-1107
221	OG0000221	YDR185C, YLR168C	maker-scf7180000030525-augustus-gene-0.92-mRNA-1_1&gene=maker-scf7180000030525-augustus-gene-0.92&CDS=1-1158
222	OG0000222	YDR213W	maker-scf7180000030493-snap-gene-1.2-mRNA-1_1&gene=maker-scf7180000030493-snap-gene-1.2&CDS=1-2073, maker-scf7180000030525-snap-gene-1.150-mRNA-1_1&gene=maker-scf7180000030525-snap-gene-1.150&CDS=1-1785
223	OG0000223	YDR222W, YLR225C	genemark-scf7180000030493-processed-gene-1.126-mRNA-1_1&gene=genemark-scf7180000030493-processed-gene-1.126&CDS=1-1203
224	OG0000224	YDR224C	snap_masked-scf7180000030479-processed-gene-0.61-mRNA-1_1&gene=snap_masked-scf7180000030479-processed-gene-0.61&CDS=1-393, snap_masked-scf7180000030493-processed-gene-1.97-mRNA-1_1&gene=snap_masked-scf7180000030493-processed-gene-1.97&CDS=1-393
225	OG0000225	YDR256C	genemark-scf7180000030493-processed-gene-2.196-mRNA-1_1&gene=genemark-scf7180000030493-processed-gene-2.196&CDS=1-1509, snap_masked-scf7180000030409-processed-gene-0.41-mRNA-1_1&gene=snap_masked-scf7180000030409-processed-gene-0.41&CDS=1-1509
226	OG0000226	YDR307W	snap_masked-scf7180000030203-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000030203-processed-gene-0.0&CDS=1-207, snap_masked-scf7180000030496-processed-gene-0.97-mRNA-1_1&gene=snap_masked-scf7180000030496-processed-gene-0.97&CDS=1-2145
227	OG0000227	YDR312W, YHR066W	snap_masked-scf7180000030481-processed-gene-1.133-mRNA-1_1&gene=snap_masked-scf7180000030481-processed-gene-1.133&CDS=1-1392
228	OG0000228	YDR320C	snap_masked-scf7180000030051-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000030051-processed-gene-0.0&CDS=1-846, snap_masked-scf7180000030481-processed-gene-1.90-mRNA-1_1&gene=snap_masked-scf7180000030481-processed-gene-1.90&CDS=1-2043
229	OG0000229	YDR326C	genemark-scf7180000030481-processed-gene-1.180-mRNA-1_1&gene=genemark-scf7180000030481-processed-gene-1.180&CDS=1-4062, snap_masked-scf7180000030517-processed-gene-0.73-mRNA-1_1&gene=snap_masked-scf7180000030517-processed-gene-0.73&CDS=1-3909
230	OG0000230	YDR348C, YHR097C	genemark-scf7180000030454-processed-gene-0.73-mRNA-1_1&gene=genemark-scf7180000030454-processed-gene-0.73&CDS=1-1308
231	OG0000231	YDR385W, YOR133W	snap_masked-scf7180000030451-processed-gene-0.187-mRNA-1_1&gene=snap_masked-scf7180000030451-processed-gene-0.187&CDS=1-2526
232	OG0000232	YDR418W, YEL054C	snap_masked-scf7180000030519-processed-gene-0.73-mRNA-1_1&gene=snap_masked-scf7180000030519-processed-gene-0.73&CDS=1-495
233	OG0000233	YDR447C, YML024W	augustus_masked-scf7180000030451-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-scf7180000030451-processed-gene-0.172&CDS=1-414
234	OG0000234	YDR450W, YML026C	snap_masked-scf7180000030519-processed-gene-1.215-mRNA-1_1&gene=snap_masked-scf7180000030519-processed-gene-1.215&CDS=1-438
235	OG0000235	YDR451C, YML027W	augustus_masked-scf7180000030451-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-scf7180000030451-processed-gene-0.173&CDS=1-1260
236	OG0000236	YDR453C, YML028W	snap_masked-scf7180000030451-processed-gene-0.256-mRNA-1_1&gene=snap_masked-scf7180000030451-processed-gene-0.256&CDS=1-588
237	OG0000237	YDR463W	genemark-scf7180000030500-processed-gene-0.153-mRNA-1_1&gene=genemark-scf7180000030500-processed-gene-0.153&CDS=1-1326, snap_masked-scf7180000030451-processed-gene-0.217-mRNA-1_1&gene=snap_masked-scf7180000030451-processed-gene-0.217&CDS=1-1281
238	OG0000238	YDR477W	maker-scf7180000030500-augustus-gene-0.99-mRNA-1_1&gene=maker-scf7180000030500-augustus-gene-0.99&CDS=1-1860, snap_masked-scf7180000030507-processed-gene-0.72-mRNA-1_1&gene=snap_masked-scf7180000030507-processed-gene-0.72&CDS=1-1812
239	OG0000239	YDR483W	snap_masked-scf7180000030493-processed-gene-2.98-mRNA-1_1&gene=snap_masked-scf7180000030493-processed-gene-2.98&CDS=1-1347, snap_masked-scf7180000030497-processed-gene-0.127-mRNA-1_1&gene=snap_masked-scf7180000030497-processed-gene-0.127&CDS=1-1344
240	OG0000240	YDR500C, YLR185W	snap_masked-scf7180000030494-processed-gene-0.97-mRNA-1_1&gene=snap_masked-scf7180000030494-processed-gene-0.97&CDS=1-264
241	OG0000241	YDR524C	augustus_masked-scf7180000030039-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000030039-processed-gene-0.1&CDS=1-741, snap_masked-scf7180000030494-processed-gene-0.109-mRNA-1_1&gene=snap_masked-scf7180000030494-processed-gene-0.109&CDS=1-978
242	OG0000242	YDR533C	genemark-scf7180000030428-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000030428-processed-gene-0.1&CDS=1-714, genemark-scf7180000030453-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000030453-processed-gene-0.21&CDS=1-714
243	OG0000243	YEL017W	snap_masked-scf7180000030056-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000030056-processed-gene-0.0&CDS=1-330, snap_masked-scf7180000030518-processed-gene-0.81-mRNA-1_1&gene=snap_masked-scf7180000030518-processed-gene-0.81&CDS=1-870
244	OG0000244	YEL027W	genemark-scf7180000030515-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000030515-processed-gene-0.26&CDS=1-480, snap_masked-scf7180000030525-processed-gene-2.56-mRNA-1_1&gene=snap_masked-scf7180000030525-processed-gene-2.56&CDS=1-480
245	OG0000245	YEL034W, YJR047C	genemark-scf7180000030525-processed-gene-2.230-mRNA-1_1&gene=genemark-scf7180000030525-processed-gene-2.230&CDS=1-468
246	OG0000246	YEL046C	augustus_masked-scf7180000030423-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000030423-processed-gene-0.27&CDS=1-1791, snap_masked-scf7180000030525-processed-gene-2.21-mRNA-1_1&gene=snap_masked-scf7180000030525-processed-gene-2.21&CDS=1-1161
247	OG0000247	YER026C	snap_masked-scf7180000030019-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000030019-processed-gene-0.2&CDS=1-807, snap_masked-scf7180000030020-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000030020-processed-gene-0.1&CDS=1-807
248	OG0000248	YER031C, YGL210W	genemark-scf7180000030513-processed-gene-0.60-mRNA-1_1&gene=genemark-scf7180000030513-processed-gene-0.60&CDS=1-663
249	OG0000249	YER043C	genemark-scf7180000030513-processed-gene-0.70-mRNA-1_1&gene=genemark-scf7180000030513-processed-gene-0.70&CDS=1-1347, snap_masked-scf7180000030497-processed-gene-0.136-mRNA-1_1&gene=snap_masked-scf7180000030497-processed-gene-0.136&CDS=1-1347
250	OG0000250	YER056C-A, YIL052C	snap_masked-scf7180000030486-processed-gene-0.56-mRNA-1_1&gene=snap_masked-scf7180000030486-processed-gene-0.56&CDS=1-351
251	OG0000251	YER057C, YIL051C	snap_masked-scf7180000030486-processed-gene-0.55-mRNA-1_1&gene=snap_masked-scf7180000030486-processed-gene-0.55&CDS=1-558
252	OG0000252	YER059W, YIL050W	genemark-scf7180000030510-processed-gene-1.4-mRNA-1_1&gene=genemark-scf7180000030510-processed-gene-1.4&CDS=1-1119
253	OG0000253	YER070W	maker-scf7180000030486-augustus-gene-0.99-mRNA-1_1&gene=maker-scf7180000030486-augustus-gene-0.99&CDS=1-4560, snap_masked-scf7180000030510-processed-gene-0.130-mRNA-1_1&gene=snap_masked-scf7180000030510-processed-gene-0.130&CDS=1-2667
254	OG0000254	YER074W, YIL069C	snap_masked-scf7180000030486-processed-gene-0.65-mRNA-1_1&gene=snap_masked-scf7180000030486-processed-gene-0.65&CDS=1-507
255	OG0000255	YER081W, YIL074C	snap_masked-scf7180000030510-processed-gene-0.124-mRNA-1_1&gene=snap_masked-scf7180000030510-processed-gene-0.124&CDS=1-1398
256	OG0000256	YER088C	maker-scf7180000030479-snap-gene-0.136-mRNA-1_1&gene=maker-scf7180000030479-snap-gene-0.136&CDS=1-1740, snap_masked-scf7180000030481-processed-gene-1.122-mRNA-1_1&gene=snap_masked-scf7180000030481-processed-gene-1.122&CDS=1-1782
257	OG0000257	YER098W	genemark-scf7180000030499-processed-gene-0.85-mRNA-1_1&gene=genemark-scf7180000030499-processed-gene-0.85&CDS=1-2154, snap_masked-scf7180000030481-processed-gene-1.154-mRNA-1_1&gene=snap_masked-scf7180000030481-processed-gene-1.154&CDS=1-2148
258	OG0000258	YER109C	augustus_masked-scf7180000030481-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-scf7180000030481-processed-gene-1.35&CDS=1-1851, snap_masked-scf7180000030499-processed-gene-0.34-mRNA-1_1&gene=snap_masked-scf7180000030499-processed-gene-0.34&CDS=1-2700
259	OG0000259	YER111C	maker-scf7180000030499-augustus-gene-0.80-mRNA-1_1&gene=maker-scf7180000030499-augustus-gene-0.80&CDS=1-2571, snap_masked-scf7180000030481-processed-gene-1.110-mRNA-1_1&gene=snap_masked-scf7180000030481-processed-gene-1.110&CDS=1-2889
260	OG0000260	YER130C	snap_masked-scf7180000030524-processed-gene-3.6-mRNA-1_1&gene=snap_masked-scf7180000030524-processed-gene-3.6&CDS=1-612, snap_masked-scf7180000030526-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scf7180000030526-processed-gene-0.12&CDS=1-1380
261	OG0000261	YER166W	snap_masked-scf7180000030508-processed-gene-0.95-mRNA-1_1&gene=snap_masked-scf7180000030508-processed-gene-0.95&CDS=1-4749, snap_masked-scf7180000030522-processed-gene-0.132-mRNA-1_1&gene=snap_masked-scf7180000030522-processed-gene-0.132&CDS=1-4617
262	OG0000262	YER177W	snap_masked-scf7180000030508-processed-gene-0.89-mRNA-1_1&gene=snap_masked-scf7180000030508-processed-gene-0.89&CDS=1-759, snap_masked-scf7180000030522-processed-gene-0.129-mRNA-1_1&gene=snap_masked-scf7180000030522-processed-gene-0.129&CDS=1-777
263	OG0000263	YER185W, YGR213C	maker-scf7180000030435-snap-gene-0.49-mRNA-1_1&gene=maker-scf7180000030435-snap-gene-0.49&CDS=1-1899
264	OG0000264	YFL007W	augustus_masked-scf7180000030524-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-scf7180000030524-processed-gene-3.57&CDS=1-6372, snap_masked-scf7180000030458-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000030458-processed-gene-0.9&CDS=1-6786
265	OG0000265	YFL036W	augustus_masked-scf7180000030018-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000030018-processed-gene-0.1&CDS=1-1344, genemark-scf7180000030524-processed-gene-4.34-mRNA-1_1&gene=genemark-scf7180000030524-processed-gene-4.34&CDS=1-3930
266	OG0000266	YFL039C	augustus_masked-scf7180000030510-processed-gene-2.215-mRNA-1_1&gene=augustus_masked-scf7180000030510-processed-gene-2.215&CDS=1-1125, snap_masked-scf7180000030524-processed-gene-4.79-mRNA-1_1&gene=snap_masked-scf7180000030524-processed-gene-4.79&CDS=1-1125
267	OG0000267	YFL048C	genemark-scf7180000030510-processed-gene-2.46-mRNA-1_1&gene=genemark-scf7180000030510-processed-gene-2.46&CDS=1-1290, genemark-scf7180000030524-processed-gene-4.23-mRNA-1_1&gene=genemark-scf7180000030524-processed-gene-4.23&CDS=1-1320
268	OG0000268	YFL050C, YOL130W	snap_masked-scf7180000030524-processed-gene-5.214-mRNA-1_1&gene=snap_masked-scf7180000030524-processed-gene-5.214&CDS=1-2538
269	OG0000269	YFL059W, YNL333W	snap_masked-scf7180000030514-processed-gene-0.119-mRNA-1_1&gene=snap_masked-scf7180000030514-processed-gene-0.119&CDS=1-891
270	OG0000270	YFR023W, YHR015W	augustus_masked-scf7180000030490-processed-gene-1.255-mRNA-1_1&gene=augustus_masked-scf7180000030490-processed-gene-1.255&CDS=1-1812
271	OG0000271	YFR031C-A, YIL018W	maker-scf7180000030510-snap-gene-1.151-mRNA-1_1&gene=maker-scf7180000030510-snap-gene-1.151&CDS=1-762
272	OG0000272	YFR040W	genemark-scf7180000030497-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000030497-processed-gene-0.18&CDS=1-2751, genemark-scf7180000030513-processed-gene-0.48-mRNA-1_1&gene=genemark-scf7180000030513-processed-gene-0.48&CDS=1-2496
273	OG0000273	YGL008C	snap_masked-scf7180000030480-processed-gene-1.196-mRNA-1_1&gene=snap_masked-scf7180000030480-processed-gene-1.196&CDS=1-2727, snap_masked-scf7180000030500-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scf7180000030500-processed-gene-0.30&CDS=1-2682
274	OG0000274	YGL009C	genemark-scf7180000030480-processed-gene-1.34-mRNA-1_1&gene=genemark-scf7180000030480-processed-gene-1.34&CDS=1-2316, snap_masked-scf7180000030519-processed-gene-1.208-mRNA-1_1&gene=snap_masked-scf7180000030519-processed-gene-1.208&CDS=1-2322
275	OG0000275	YGL031C, YGR148C	genemark-scf7180000030480-processed-gene-1.76-mRNA-1_1&gene=genemark-scf7180000030480-processed-gene-1.76&CDS=1-456
276	OG0000276	YGL049C	snap_masked-scf7180000030514-processed-gene-0.95-mRNA-1_1&gene=snap_masked-scf7180000030514-processed-gene-0.95&CDS=1-2754, snap_masked-scf7180000030519-processed-gene-1.180-mRNA-1_1&gene=snap_masked-scf7180000030519-processed-gene-1.180&CDS=1-2493
277	OG0000277	YGL089C, YPL187W	snap_masked-scf7180000030492-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scf7180000030492-processed-gene-0.33&CDS=1-627
278	OG0000278	YGL135W, YPL220W	snap_masked-scf7180000030439-processed-gene-0.78-mRNA-1_1&gene=snap_masked-scf7180000030439-processed-gene-0.78&CDS=1-654
279	OG0000279	YGL197W	augustus_masked-scf7180000030524-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-scf7180000030524-processed-gene-3.44&CDS=1-6273, maker-scf7180000030526-snap-gene-0.3-mRNA-1_1&gene=maker-scf7180000030526-snap-gene-0.3&CDS=1-4677
280	OG0000280	YGL243W	augustus_masked-scf7180000030037-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000030037-processed-gene-0.1&CDS=1-993, maker-scf7180000030513-snap-gene-0.130-mRNA-1_1&gene=maker-scf7180000030513-snap-gene-0.130&CDS=1-3531
281	OG0000281	YGL251C	snap_masked-scf7180000030000-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000030000-processed-gene-0.2&CDS=1-693, snap_masked-scf7180000030437-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000030437-processed-gene-0.9&CDS=1-3675
282	OG0000282	YGR021W	genemark-scf7180000030480-processed-gene-1.68-mRNA-1_1&gene=genemark-scf7180000030480-processed-gene-1.68&CDS=1-663, snap_masked-scf7180000030269-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000030269-processed-gene-0.0&CDS=1-204
283	OG0000283	YGR023W, YLR332W	genemark-scf7180000030500-processed-gene-0.136-mRNA-1_1&gene=genemark-scf7180000030500-processed-gene-0.136&CDS=1-1224
284	OG0000284	YGR027C, YLR333C	snap_masked-scf7180000030500-processed-gene-0.52-mRNA-1_1&gene=snap_masked-scf7180000030500-processed-gene-0.52&CDS=1-324
285	OG0000285	YGR041W	snap_masked-scf7180000030480-processed-gene-1.161-mRNA-1_1&gene=snap_masked-scf7180000030480-processed-gene-1.161&CDS=1-1824, snap_masked-scf7180000030489-processed-gene-0.99-mRNA-1_1&gene=snap_masked-scf7180000030489-processed-gene-0.99&CDS=1-2058
286	OG0000286	YGR048W	genemark-scf7180000030494-processed-gene-0.177-mRNA-1_1&gene=genemark-scf7180000030494-processed-gene-0.177&CDS=1-1020, snap_masked-scf7180000030475-processed-gene-0.50-mRNA-1_1&gene=snap_masked-scf7180000030475-processed-gene-0.50&CDS=1-1050
287	OG0000287	YGR055W	genemark-scf7180000030480-processed-gene-1.51-mRNA-1_1&gene=genemark-scf7180000030480-processed-gene-1.51&CDS=1-1743, genemark-scf7180000030489-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000030489-processed-gene-0.12&CDS=1-1725
288	OG0000288	YGR059W	genemark-scf7180000030480-processed-gene-1.48-mRNA-1_1&gene=genemark-scf7180000030480-processed-gene-1.48&CDS=1-1452, snap_masked-scf7180000030053-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000030053-processed-gene-0.0&CDS=1-381
289	OG0000289	YGR085C, YPR102C	snap_masked-scf7180000030496-processed-gene-0.86-mRNA-1_1&gene=snap_masked-scf7180000030496-processed-gene-0.86&CDS=1-522
290	OG0000290	YGR086C	snap_masked-scf7180000030409-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scf7180000030409-processed-gene-0.27&CDS=1-942, snap_masked-scf7180000030496-processed-gene-0.83-mRNA-1_1&gene=snap_masked-scf7180000030496-processed-gene-0.83&CDS=1-948
291	OG0000291	YGR092W, YPR111W	maker-scf7180000030409-augustus-gene-0.71-mRNA-1_1&gene=maker-scf7180000030409-augustus-gene-0.71&CDS=1-3225
