	OrthologID	Naumovozyma_dairenensis	Saccharomyces_cerevisiae
534	OG0000534	augustus_masked-NC_016479.1-processed-gene-6.5-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.5&CDS=1-1317	YIL042C
535	OG0000535	augustus_masked-NC_016479.1-processed-gene-6.2-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.2&CDS=1-1092	YIL041W
536	OG0000536	snap_masked-NC_016479.1-processed-gene-6.93-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-6.93&CDS=1-381	YIL040W
537	OG0000537	augustus_masked-NC_016479.1-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.6&CDS=1-1413	YIL039W
538	OG0000538	augustus_masked-NC_016479.1-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.26&CDS=1-2514	YIL038C
539	OG0000539	augustus_masked-NC_016479.1-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.27&CDS=1-2040	YIL037C
540	OG0000540	maker-NC_016479.1-snap-gene-6.137-mRNA-1_1&gene=maker-NC_016479.1-snap-gene-6.137&CDS=1-1611	YIL036W
541	OG0000541	snap_masked-NC_016479.1-processed-gene-6.117-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-6.117&CDS=1-1023	YIL035C
542	OG0000542	snap_masked-NC_016479.1-processed-gene-6.118-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-6.118&CDS=1-333	YIL034C
543	OG0000543	augustus_masked-NC_016479.1-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.29&CDS=1-960	YIL033C
544	OG0000544	snap_masked-NC_016479.1-processed-gene-6.120-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-6.120&CDS=1-768	YIL024C
545	OG0000545	augustus_masked-NC_016479.1-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.31&CDS=1-1176	YIL023C
546	OG0000546	augustus_masked-NC_016479.1-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.8&CDS=1-468	YIL027C
547	OG0000547	augustus_masked-NC_016479.1-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.9&CDS=1-3945	YIL030C
548	OG0000548	genemark-NC_016479.1-processed-gene-6.73-mRNA-1_1&gene=genemark-NC_016479.1-processed-gene-6.73&CDS=1-3216	YIL031W
549	OG0000549	maker-NC_016479.1-augustus-gene-6.136-mRNA-1_1&gene=maker-NC_016479.1-augustus-gene-6.136&CDS=1-1773	YIR004W
550	OG0000550	augustus_masked-NC_016479.1-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.34&CDS=1-1101	YLR215C
551	OG0000551	augustus_masked-NC_016479.1-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.35&CDS=1-672	YDL142C
552	OG0000552	augustus_masked-NC_016479.1-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.36&CDS=1-1113	YLR216C
553	OG0000553	augustus_masked-NC_016479.1-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.37&CDS=1-285	YLR218C
554	OG0000554	augustus_masked-NC_016479.1-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.12&CDS=1-3867	YDL195W
555	OG0000555	augustus_masked-NC_016479.1-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.14&CDS=1-1104	YDL193W
556	OG0000556	augustus_masked-NC_016479.1-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.15&CDS=1-543	YDL137W
557	OG0000557	augustus_masked-NC_016479.1-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.39&CDS=1-2973	YDL190C
558	OG0000558	augustus_masked-NC_016479.1-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.17&CDS=1-1575	YDL189W
559	OG0000559	augustus_masked-NC_016479.1-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.18&CDS=1-867	YDL186W
560	OG0000560	augustus_masked-NC_016479.1-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.41&CDS=1-972	YDL183C
561	OG0000561	augustus_masked-NC_016479.1-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.20&CDS=1-261	YDL181W
562	OG0000562	maker-NC_016479.1-augustus-gene-6.135-mRNA-1_1&gene=maker-NC_016479.1-augustus-gene-6.135&CDS=1-318	YDL130W
563	OG0000563	augustus_masked-NC_016479.1-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.22&CDS=1-1455	YDL180W
564	OG0000564	augustus_masked-NC_016479.1-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.23&CDS=1-1239	YDL128W
565	OG0000565	augustus_masked-NC_016479.1-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.25&CDS=1-1521	YDL178W
566	OG0000566	augustus_masked-NC_016479.1-processed-gene-7.36-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.36&CDS=1-831	YER083C
567	OG0000567	augustus_masked-NC_016479.1-processed-gene-7.37-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.37&CDS=1-1668	YER082C
568	OG0000568	augustus_masked-NC_016479.1-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.38&CDS=1-2817	YIL075C
569	OG0000569	augustus_masked-NC_016479.1-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.54&CDS=1-1893	YER080W
570	OG0000570	maker-NC_016479.1-snap-gene-7.73-mRNA-1_1&gene=maker-NC_016479.1-snap-gene-7.73&CDS=1-3447	YER078C
571	OG0000571	augustus_masked-NC_016479.1-processed-gene-7.42-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.42&CDS=1-2814	YER075C
572	OG0000572	maker-NC_016479.1-augustus-gene-7.75-mRNA-1_1&gene=maker-NC_016479.1-augustus-gene-7.75&CDS=1-252	YER074W-A
573	OG0000573	augustus_masked-NC_016479.1-processed-gene-7.57-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.57&CDS=1-2571	YKR079C
574	OG0000574	augustus_masked-NC_016479.1-processed-gene-7.43-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.43&CDS=1-444	YKR083C
575	OG0000575	snap_masked-NC_016479.1-processed-gene-7.97-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-7.97&CDS=1-3951	YKR082W
576	OG0000576	augustus_masked-NC_016479.1-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.44&CDS=1-618	YKR085C
577	OG0000577	augustus_masked-NC_016479.1-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.45&CDS=1-987	YKR080W
578	OG0000578	augustus_masked-NC_016479.1-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.46&CDS=1-1080	YOR075W
579	OG0000579	augustus_masked-NC_016479.1-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.59&CDS=1-1827	YKR084C
580	OG0000580	augustus_masked-NC_016479.1-processed-gene-7.60-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.60&CDS=1-1365	YKR077W
581	OG0000581	augustus_masked-NC_016479.1-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.62&CDS=1-1110	YKR076W
582	OG0000582	augustus_masked-NC_016479.1-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.47&CDS=1-1140	YBL013W
583	OG0000583	augustus_masked-NC_016479.1-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.48&CDS=1-2208	YBL011W
584	OG0000584	augustus_masked-NC_016479.1-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.63&CDS=1-1011	YBL010C
585	OG0000585	augustus_masked-NC_016479.1-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.49&CDS=1-2745	YBL009W
586	OG0000586	augustus_masked-NC_016479.1-processed-gene-7.50-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.50&CDS=1-2451	YBL008W
587	OG0000587	augustus_masked-NC_016479.1-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.64&CDS=1-3678	YBL007C
588	OG0000588	augustus_masked-NC_016479.1-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.65&CDS=1-600	YBL006C
589	OG0000589	augustus_masked-NC_016479.1-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.67&CDS=1-1410	YGL012W
590	OG0000590	augustus_masked-NC_016479.1-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.68&CDS=1-2586	YLR347C
591	OG0000591	augustus_masked-NC_016479.1-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.69&CDS=1-891	YLR348C
592	OG0000592	augustus_masked-NC_016479.1-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.52&CDS=1-2646	YLR352W
593	OG0000593	augustus_masked-NC_016479.1-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.72&CDS=1-1569	YLR345W
594	OG0000594	augustus_masked-NC_016479.1-processed-gene-8.51-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.51&CDS=1-1824	YDR091C
595	OG0000595	snap_masked-NC_016479.1-processed-gene-8.4-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-8.4&CDS=1-2961	YDR089W
596	OG0000596	augustus_masked-NC_016479.1-processed-gene-8.56-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.56&CDS=1-1152	YDR088C
597	OG0000597	augustus_masked-NC_016479.1-processed-gene-8.57-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.57&CDS=1-855	YDR087C
598	OG0000598	snap_masked-NC_016479.1-processed-gene-8.7-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-8.7&CDS=1-1410	YDR085C
599	OG0000599	augustus_masked-NC_016479.1-processed-gene-8.59-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.59&CDS=1-612	YDR084C
600	OG0000600	augustus_masked-NC_016479.1-processed-gene-8.79-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.79&CDS=1-1176	YDR083W
601	OG0000601	augustus_masked-NC_016479.1-processed-gene-8.80-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.80&CDS=1-1560	YDR082W
602	OG0000602	augustus_masked-NC_016479.1-processed-gene-8.60-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.60&CDS=1-2520	YDR081C
603	OG0000603	augustus_masked-NC_016479.1-processed-gene-8.81-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.81&CDS=1-2994	YDR080W
604	OG0000604	augustus_masked-NC_016479.1-processed-gene-8.61-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.61&CDS=1-216	YDR079C-A
605	OG0000605	augustus_masked-NC_016479.1-processed-gene-8.82-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.82&CDS=1-372	YDR079W
606	OG0000606	augustus_masked-NC_016479.1-processed-gene-8.62-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.62&CDS=1-906	YDR078C
607	OG0000607	snap_masked-NC_016479.1-processed-gene-8.31-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-8.31&CDS=1-1698	YDR076W
608	OG0000608	augustus_masked-NC_016479.1-processed-gene-8.85-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.85&CDS=1-2760	YDR074W
609	OG0000609	augustus_masked-NC_016479.1-processed-gene-8.86-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.86&CDS=1-609	YDR073W
610	OG0000610	maker-NC_016479.1-snap-gene-8.48-mRNA-1_1&gene=maker-NC_016479.1-snap-gene-8.48&CDS=1-1275	YDR072C
611	OG0000611	augustus_masked-NC_016479.1-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.64&CDS=1-618	YDR071C
612	OG0000612	augustus_masked-NC_016479.1-processed-gene-8.65-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.65&CDS=1-327	YDR070C
613	OG0000613	augustus_masked-NC_016479.1-processed-gene-8.66-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.66&CDS=1-3321	YDR069C
614	OG0000614	augustus_masked-NC_016479.1-processed-gene-8.87-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.87&CDS=1-1047	YDR068W
615	OG0000615	augustus_masked-NC_016479.1-processed-gene-8.67-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.67&CDS=1-765	YDR067C
616	OG0000616	augustus_masked-NC_016479.1-processed-gene-8.88-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.88&CDS=1-1017	YDR065W
617	OG0000617	augustus_masked-NC_016479.1-processed-gene-8.89-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.89&CDS=1-456	YDR063W
618	OG0000618	augustus_masked-NC_016479.1-processed-gene-8.90-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.90&CDS=1-1683	YDR062W
619	OG0000619	augustus_masked-NC_016479.1-processed-gene-8.91-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.91&CDS=1-1605	YDR061W
620	OG0000620	maker-NC_016479.1-augustus-gene-8.47-mRNA-1_1&gene=maker-NC_016479.1-augustus-gene-8.47&CDS=1-285	YBL026W
621	OG0000621	augustus_masked-NC_016479.1-processed-gene-8.92-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.92&CDS=1-558	YER137C
622	OG0000622	augustus_masked-NC_016479.1-processed-gene-8.70-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.70&CDS=1-696	YJR074W
623	OG0000623	augustus_masked-NC_016479.1-processed-gene-8.71-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.71&CDS=1-1185	YJR075W
624	OG0000624	augustus_masked-NC_016479.1-processed-gene-8.95-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.95&CDS=1-936	YJR077C
625	OG0000625	augustus_masked-NC_016479.1-processed-gene-8.96-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.96&CDS=1-861	YHL004W
626	OG0000626	snap_masked-NC_016479.1-processed-gene-8.19-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-8.19&CDS=1-525	YHL006C
627	OG0000627	augustus_masked-NC_016479.1-processed-gene-8.98-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.98&CDS=1-714	YKL009W
628	OG0000628	augustus_masked-NC_016479.1-processed-gene-8.76-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.76&CDS=1-684	YJR073C
629	OG0000629	snap_masked-NC_016479.1-processed-gene-8.46-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-8.46&CDS=1-963	YKL206C
630	OG0000630	snap_masked-NC_016479.1-processed-gene-8.25-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-8.25&CDS=1-2142	YKL204W
631	OG0000631	augustus_masked-NC_016479.1-processed-gene-9.44-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.44&CDS=1-1062	YJR068W
632	OG0000632	augustus_masked-NC_016479.1-processed-gene-8.78-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.78&CDS=1-444	YJR067C
633	OG0000633	augustus_masked-NC_016479.1-processed-gene-9.43-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.43&CDS=1-1386	YJR065C
634	OG0000634	augustus_masked-NC_016479.1-processed-gene-9.46-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.46&CDS=1-1683	YJR064W
635	OG0000635	augustus_masked-NC_016479.1-processed-gene-9.47-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.47&CDS=1-378	YJR063W
636	OG0000636	augustus_masked-NC_016479.1-processed-gene-9.49-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.49&CDS=1-1239	YJR062C
637	OG0000637	augustus_masked-NC_016479.1-processed-gene-9.65-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.65&CDS=1-1065	YJR060W
638	OG0000638	augustus_masked-NC_016479.1-processed-gene-9.66-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.66&CDS=1-2343	YJR059W
639	OG0000639	augustus_masked-NC_016479.1-processed-gene-9.67-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.67&CDS=1-1929	YDR419W
640	OG0000640	augustus_masked-NC_016479.1-processed-gene-9.69-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.69&CDS=1-2544	YDR416W
641	OG0000641	augustus_masked-NC_016479.1-processed-gene-9.52-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.52&CDS=1-807	YEL051W
642	OG0000642	augustus_masked-NC_016479.1-processed-gene-9.53-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.53&CDS=1-1152	YDR415C
643	OG0000643	augustus_masked-NC_016479.1-processed-gene-9.54-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.54&CDS=1-1068	YDR414C
644	OG0000644	augustus_masked-NC_016479.1-processed-gene-9.70-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.70&CDS=1-768	YDR412W
645	OG0000645	augustus_masked-NC_016479.1-processed-gene-9.55-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.55&CDS=1-1179	YDR411C
646	OG0000646	augustus_masked-NC_016479.1-processed-gene-9.56-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.56&CDS=1-780	YDR410C
647	OG0000647	augustus_masked-NC_016479.1-processed-gene-9.57-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.57&CDS=1-642	YDR408C
648	OG0000648	augustus_masked-NC_016479.1-processed-gene-9.58-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.58&CDS=1-3771	YDR407C
649	OG0000649	genemark-NC_016479.1-processed-gene-9.100-mRNA-1_1&gene=genemark-NC_016479.1-processed-gene-9.100&CDS=1-513	YDR404C
650	OG0000650	augustus_masked-NC_016479.1-processed-gene-9.73-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.73&CDS=1-1665	YDR403W
651	OG0000651	augustus_masked-NC_016479.1-processed-gene-9.60-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.60&CDS=1-1521	YDR402C
652	OG0000652	maker-NC_016479.1-augustus-gene-9.40-mRNA-1_1&gene=maker-NC_016479.1-augustus-gene-9.40&CDS=1-1662	YDR400W
653	OG0000653	augustus_masked-NC_016479.1-processed-gene-9.76-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.76&CDS=1-2853	YDR395W
654	OG0000654	augustus_masked-NC_016479.1-processed-gene-9.77-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.77&CDS=1-1278	YDR394W
655	OG0000655	augustus_masked-NC_016479.1-processed-gene-9.78-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.78&CDS=1-1395	YDR393W
656	OG0000656	augustus_masked-NC_016479.1-processed-gene-9.61-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.61&CDS=1-822	YOR145C
657	OG0000657	augustus_masked-NC_016479.1-processed-gene-9.79-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.79&CDS=1-963	YDR392W
658	OG0000658	augustus_masked-NC_016479.1-processed-gene-9.62-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.62&CDS=1-1896	YDR390C
659	OG0000659	augustus_masked-NC_016479.1-processed-gene-9.80-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.80&CDS=1-2052	YDR389W
660	OG0000660	augustus_masked-NC_016479.1-processed-gene-9.81-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.81&CDS=1-1377	YDR388W
661	OG0000661	augustus_masked-NC_016479.1-processed-gene-9.63-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.63&CDS=1-1632	YDR387C
662	OG0000662	augustus_masked-NC_016479.1-processed-gene-9.82-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.82&CDS=1-1863	YDR386W
663	OG0000663	augustus_masked-NC_016479.1-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.83&CDS=1-813	YDR384C
664	OG0000664	maker-NC_016479.1-augustus-gene-10.3-mRNA-1_1&gene=maker-NC_016479.1-augustus-gene-10.3&CDS=1-663	YDR381W
665	OG0000665	augustus_masked-NC_016479.1-processed-gene-10.95-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.95&CDS=1-1794	YDR380W
666	OG0000666	augustus_masked-NC_016479.1-processed-gene-10.87-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.87&CDS=1-237	YDR379C-A
667	OG0000667	snap_masked-NC_016479.1-processed-gene-10.12-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-10.12&CDS=1-249	YDR378C
668	OG0000668	augustus_masked-NC_016479.1-processed-gene-10.98-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.98&CDS=1-318	YDR377W
669	OG0000669	augustus_masked-NC_016479.1-processed-gene-10.99-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.99&CDS=1-1392	YDR376W
670	OG0000670	snap_masked-NC_016479.1-processed-gene-10.27-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-10.27&CDS=1-228	YDR374W-A
671	OG0000671	augustus_masked-NC_016479.1-processed-gene-10.88-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.88&CDS=1-999	YDR374C
672	OG0000672	augustus_masked-NC_016479.1-processed-gene-10.89-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.89&CDS=1-1452	YPR138C
673	OG0000673	augustus_masked-NC_016479.1-processed-gene-10.100-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.100&CDS=1-4497	YPR137W
674	OG0000674	augustus_masked-NC_016479.1-processed-gene-10.101-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.101&CDS=1-777	YPR133W-A
675	OG0000675	augustus_masked-NC_016479.1-processed-gene-10.90-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.90&CDS=1-1311	YPR133C
676	OG0000676	genemark-NC_016479.1-processed-gene-10.60-mRNA-1_1&gene=genemark-NC_016479.1-processed-gene-10.60&CDS=1-585	YPR131C
677	OG0000677	genemark-NC_016479.1-processed-gene-10.61-mRNA-1_1&gene=genemark-NC_016479.1-processed-gene-10.61&CDS=1-981	YPR128C
678	OG0000678	augustus_masked-NC_016479.1-processed-gene-10.103-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.103&CDS=1-1044	YPR127W
679	OG0000679	augustus_masked-NC_016479.1-processed-gene-10.104-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.104&CDS=1-1362	YPR125W
680	OG0000680	augustus_masked-NC_016479.1-processed-gene-10.105-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.105&CDS=1-4356	YGR116W
681	OG0000681	augustus_masked-NC_016479.1-processed-gene-10.106-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.106&CDS=1-1260	YPR124W
682	OG0000682	augustus_masked-NC_016479.1-processed-gene-10.107-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.107&CDS=1-3597	YPR122W
683	OG0000683	augustus_masked-NC_016479.1-processed-gene-10.92-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.92&CDS=1-1449	YPR119W
684	OG0000684	augustus_masked-NC_016479.1-processed-gene-10.109-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.109&CDS=1-1245	YPR118W
685	OG0000685	snap_masked-NC_016479.1-processed-gene-10.43-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-10.43&CDS=1-6909	YPR117W
686	OG0000686	snap_masked-NC_016479.1-processed-gene-10.44-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-10.44&CDS=1-858	YPR116W
687	OG0000687	genemark-NC_016479.1-processed-gene-10.80-mRNA-1_1&gene=genemark-NC_016479.1-processed-gene-10.80&CDS=1-972	YPR114W
688	OG0000688	augustus_masked-NC_016479.1-processed-gene-10.111-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.111&CDS=1-672	YPR113W
689	OG0000689	augustus_masked-NC_016479.1-processed-gene-10.112-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.112&CDS=1-3189	YGR094W
690	OG0000690	genemark-NC_016479.1-processed-gene-10.63-mRNA-1_1&gene=genemark-NC_016479.1-processed-gene-10.63&CDS=1-2583	YPR112C
691	OG0000691	augustus_masked-NC_016479.1-processed-gene-11.94-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-11.94&CDS=1-1005	YPR110C
692	OG0000692	augustus_masked-NC_016479.1-processed-gene-11.97-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-11.97&CDS=1-984	YPR109W
693	OG0000693	augustus_masked-NC_016479.1-processed-gene-11.98-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-11.98&CDS=1-1260	YPR108W
694	OG0000694	augustus_masked-NC_016479.1-processed-gene-11.95-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-11.95&CDS=1-645	YPR107C
695	OG0000695	augustus_masked-NC_016479.1-processed-gene-11.99-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-11.99&CDS=1-1425	YPR106W
696	OG0000696	augustus_masked-NC_016479.1-processed-gene-11.101-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-11.101&CDS=1-2811	YPR105C
697	OG0000697	augustus_masked-NC_016479.1-processed-gene-11.102-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-11.102&CDS=1-3993	YPR104C
698	OG0000698	augustus_masked-NC_016479.1-processed-gene-11.121-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-11.121&CDS=1-861	YPR103W
699	OG0000699	augustus_masked-NC_016479.1-processed-gene-11.122-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-11.122&CDS=1-633	YPR101W
