	OrthologID	Candida_homilentoma	Saccharomyces_cerevisiae
771	OG0000771	-processed-gene-2.77-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.77&CDS=1-1662	YFR051C
772	OG0000772	-processed-gene-2.148-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.148&CDS=1-1158	YGL248W
773	OG0000773	-processed-gene-2.99-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.99&CDS=1-1092	YFR050C
774	OG0000774	-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.129&CDS=1-939	YOR164C
775	OG0000775	-processed-gene-2.150-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.150&CDS=1-534	YOR163W
776	OG0000776	-processed-gene-2.80-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.80&CDS=1-648	YLR250W
777	OG0000777	-processed-gene-2.100-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.100&CDS=1-300	YDR031W
778	OG0000778	-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.131&CDS=1-534	YMR035W
779	OG0000779	-processed-gene-2.153-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.153&CDS=1-651	YGR057C
780	OG0000780	-processed-gene-2.105-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.105&CDS=1-2253	YBR198C
781	OG0000781	-processed-gene-2.106-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.106&CDS=1-888	YPL076W
782	OG0000782	-processed-gene-2.83-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.83&CDS=1-1446	YGL253W
783	OG0000783	-processed-gene-2.84-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.84&CDS=1-384	YOL026C
784	OG0000784	-processed-gene-2.107-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.107&CDS=1-2715	YHR073W
785	OG0000785	-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.40&CDS=1-288	YDL157C
786	OG0000786	-processed-gene-3.5-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.5&CDS=1-1818	YDL159W
787	OG0000787	-processed-gene-3.21-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.21&CDS=1-1980	YOR273C
788	OG0000788	-processed-gene-3.6-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.6&CDS=1-1089	YHR085W
789	OG0000789	-processed-gene-3.24-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.24&CDS=1-714	YGL044C
790	OG0000790	-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.46&CDS=1-885	YGL043W
791	OG0000791	-processed-gene-3.26-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.26&CDS=1-1482	YGR155W
792	OG0000792	-processed-gene-3.27-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.27&CDS=1-2211	YFR029W
793	OG0000793	-processed-gene-3.8-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.8&CDS=1-1542	YEL015W
794	OG0000794	-processed-gene-3.10-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.10&CDS=1-978	YGL091C
795	OG0000795	-processed-gene-3.11-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.11&CDS=1-1353	YJL049W
796	OG0000796	-processed-gene-3.29-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.29&CDS=1-1680	YEL013W
797	OG0000797	-processed-gene-3.30-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.30&CDS=1-2121	YNL258C
798	OG0000798	-processed-gene-3.32-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.32&CDS=1-3225	YER176W
799	OG0000799	-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.73&CDS=1-1533	YBR127C
800	OG0000800	-processed-gene-3.35-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.35&CDS=1-1287	YPR084W
801	OG0000801	-processed-gene-3.18-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.18&CDS=1-1116	YBR125C
802	OG0000802	-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.77&CDS=1-1434	YBR126C
803	OG0000803	-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.59&CDS=1-7662	YNL262W
804	OG0000804	-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.60&CDS=1-1434	YNL261W
805	OG0000805	-processed-gene-3.38-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.38&CDS=1-1170	YHR156C
806	OG0000806	-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.61&CDS=1-486	YNL260C
807	OG0000807	-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.49&CDS=1-1035	YOR261C
808	OG0000808	-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.50&CDS=1-1041	YOR262W
809	OG0000809	-processed-gene-4.110-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.110&CDS=1-288	YOR265W
810	OG0000810	-augustus-gene-4.139-mRNA-1_1&gene=maker-gi|1002316226|dbj|BCGB01000007.1|-augustus-gene-4.139&CDS=1-2487	YFL023W
811	OG0000811	-augustus-gene-4.140-mRNA-1_1&gene=maker-gi|1002316226|dbj|BCGB01000007.1|-augustus-gene-4.140&CDS=1-2664	YBL015W
812	OG0000812	-processed-gene-4.98-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.98&CDS=1-606	YOL008W
813	OG0000813	-processed-gene-4.100-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.100&CDS=1-1464	YCR054C
814	OG0000814	-processed-gene-4.114-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.114&CDS=1-1551	YCR053W
815	OG0000815	-processed-gene-4.101-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.101&CDS=1-1167	YGR046W
816	OG0000816	-processed-gene-4.102-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.102&CDS=1-456	YMR263W
817	OG0000817	-processed-gene-4.103-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.103&CDS=1-531	YMR264W
818	OG0000818	-processed-gene-4.116-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.116&CDS=1-1506	YML102W
819	OG0000819	-processed-gene-4.119-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.119&CDS=1-1458	YGR009C
820	OG0000820	-processed-gene-4.123-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.123&CDS=1-726	YGR195W
821	OG0000821	-processed-gene-4.124-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.124&CDS=1-1200	YJR013W
822	OG0000822	-processed-gene-4.107-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.107&CDS=1-1638	YGR186W
823	OG0000823	-snap-gene-4.136-mRNA-1_1&gene=maker-gi|1002316226|dbj|BCGB01000007.1|-snap-gene-4.136&CDS=1-1431	YAL049C
824	OG0000824	-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.86&CDS=1-1317	YMR220W
825	OG0000825	-processed-gene-4.108-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.108&CDS=1-1314	YBR166C
826	OG0000826	-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.87&CDS=1-555	YBR164C
827	OG0000827	-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.66&CDS=1-588	YMR311C
828	OG0000828	-processed-gene-4.132-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.132&CDS=1-1269	YGR285C
829	OG0000829	-processed-gene-4.133-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.133&CDS=1-759	YLR022C
830	OG0000830	-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.4&CDS=1-3552	YGL156W
831	OG0000831	-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.1&CDS=1-462	YJR104C
832	OG0000832	-processed-gene-5.55-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.55&CDS=1-948	YHR067W
833	OG0000833	-processed-gene-5.50-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.50&CDS=1-888	YHR088W
834	OG0000834	-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.3&CDS=1-3714	YDR335W
835	OG0000835	-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.7&CDS=1-2475	YNL085W
836	OG0000836	-processed-gene-5.58-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.58&CDS=1-1143	YDR315C
837	OG0000837	-processed-gene-5.75-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.75&CDS=1-2040	YHR042W
838	OG0000838	-processed-gene-5.134-mRNA-1_1&gene=genemark-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.134&CDS=1-429	YIR015W
839	OG0000839	-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.11&CDS=1-750	YOL038W
840	OG0000840	-snap-gene-5.104-mRNA-1_1&gene=maker-gi|1002316226|dbj|BCGB01000007.1|-snap-gene-5.104&CDS=1-1128	YKL113C
841	OG0000841	-processed-gene-5.80-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.80&CDS=1-1116	YKL114C
842	OG0000842	-processed-gene-5.61-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.61&CDS=1-2637	YGR099W
843	OG0000843	-processed-gene-5.85-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.85&CDS=1-2406	YJR126C
844	OG0000844	-processed-gene-5.64-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.64&CDS=1-1206	YHR002W
845	OG0000845	-processed-gene-5.86-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.86&CDS=1-657	YGR147C
846	OG0000846	-processed-gene-5.87-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.87&CDS=1-1308	YKL027W
847	OG0000847	-processed-gene-5.88-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.88&CDS=1-741	YBR261C
848	OG0000848	-processed-gene-5.65-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.65&CDS=1-528	YOL146W
849	OG0000849	-processed-gene-5.89-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.89&CDS=1-3288	YOL145C
850	OG0000850	-processed-gene-5.66-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.66&CDS=1-684	YOL147C
851	OG0000851	-processed-gene-5.67-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.67&CDS=1-1788	YOL144W
852	OG0000852	-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.19&CDS=1-1437	YBL082C
853	OG0000853	-processed-gene-5.70-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.70&CDS=1-1137	YBL074C
854	OG0000854	-processed-gene-5.97-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.97&CDS=1-1227	YPL154C
855	OG0000855	-processed-gene-5.74-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-5.74&CDS=1-1092	YGR156W
856	OG0000856	-processed-gene-6.48-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.48&CDS=1-783	YER126C
857	OG0000857	-processed-gene-6.47-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.47&CDS=1-1026	YER127W
858	OG0000858	-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.4&CDS=1-2715	YGL178W
859	OG0000859	-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.21&CDS=1-1473	YGL175C
860	OG0000860	-processed-gene-6.50-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.50&CDS=1-1344	YGL172W
861	OG0000861	-processed-gene-6.51-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.51&CDS=1-768	YGL174W
862	OG0000862	-processed-gene-6.68-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.68&CDS=1-2184	YPR021C
863	OG0000863	-processed-gene-6.52-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.52&CDS=1-342	YLL018C-A
864	OG0000864	-processed-gene-6.69-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.69&CDS=1-4317	YGL173C
865	OG0000865	-processed-gene-6.53-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.53&CDS=1-2025	YLL019C
866	OG0000866	-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.27&CDS=1-399	YBR217W
867	OG0000867	-processed-gene-6.72-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.72&CDS=1-993	YBR215W
868	OG0000868	-processed-gene-6.73-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.73&CDS=1-1485	YGL059W
869	OG0000869	-processed-gene-6.74-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.74&CDS=1-477	YGL058W
870	OG0000870	-processed-gene-6.77-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.77&CDS=1-3183	YOL098C
871	OG0000871	-snap-gene-6.135-mRNA-1_1&gene=maker-gi|1002316226|dbj|BCGB01000007.1|-snap-gene-6.135&CDS=1-1491	YEL020W-A
872	OG0000872	-processed-gene-6.79-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.79&CDS=1-1479	YCR024C
873	OG0000873	-processed-gene-6.60-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.60&CDS=1-939	YFR025C
874	OG0000874	-processed-gene-6.80-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.80&CDS=1-2037	YHR020W
875	OG0000875	-processed-gene-6.61-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.61&CDS=1-1653	YHR019C
876	OG0000876	-processed-gene-6.62-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.62&CDS=1-1392	YHR018C
877	OG0000877	-processed-gene-6.106-mRNA-1_1&gene=genemark-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.106&CDS=1-2751	YGR145W
878	OG0000878	-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.19&CDS=1-846	YJR050W
879	OG0000879	-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.38&CDS=1-693	YGL037C
880	OG0000880	-processed-gene-6.82-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.82&CDS=1-1137	YGL038C
881	OG0000881	-processed-gene-6.83-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.83&CDS=1-1896	YOR204W
882	OG0000882	-processed-gene-6.85-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-6.85&CDS=1-1737	YEL042W
883	OG0000883	-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.2&CDS=1-3621	YPL147W
884	OG0000884	-processed-gene-7.48-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.48&CDS=1-993	YKL120W
885	OG0000885	-processed-gene-7.43-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.43&CDS=1-3159	YDR430C
886	OG0000886	-processed-gene-7.44-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.44&CDS=1-645	YML012W
887	OG0000887	-processed-gene-7.52-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.52&CDS=1-3261	YDR440W
888	OG0000888	-processed-gene-7.67-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.67&CDS=1-1050	YML021C
889	OG0000889	-processed-gene-7.68-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.68&CDS=1-1062	YML019W
890	OG0000890	-processed-gene-7.69-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.69&CDS=1-1269	YML018C
891	OG0000891	-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.8&CDS=1-1833	YJR001W
892	OG0000892	-processed-gene-7.70-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.70&CDS=1-3036	YLR071C
893	OG0000893	-processed-gene-7.71-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.71&CDS=1-1806	YKL116C
894	OG0000894	-snap-gene-7.134-mRNA-1_1&gene=maker-gi|1002316226|dbj|BCGB01000007.1|-snap-gene-7.134&CDS=1-1323	YOL070C
895	OG0000895	-processed-gene-7.56-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.56&CDS=1-1698	YDR257C
896	OG0000896	-processed-gene-7.74-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.74&CDS=1-282	YDL045W-A
897	OG0000897	-processed-gene-7.76-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.76&CDS=1-966	YNL289W
898	OG0000898	-processed-gene-7.57-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.57&CDS=1-3696	YNL273W
899	OG0000899	-processed-gene-7.79-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.79&CDS=1-1473	YEL064C
900	OG0000900	-processed-gene-7.58-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.58&CDS=1-567	YLR068W
901	OG0000901	-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.35&CDS=1-4794	YLR253W
902	OG0000902	-processed-gene-7.59-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.59&CDS=1-318	YLR147C
903	OG0000903	-processed-gene-7.36-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.36&CDS=1-1557	YPL091W
904	OG0000904	-processed-gene-7.64-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.64&CDS=1-816	YOL067C
905	OG0000905	-processed-gene-7.41-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.41&CDS=1-1446	YDL045C
906	OG0000906	-processed-gene-8.144-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.144&CDS=1-2346	YLR182W
907	OG0000907	-processed-gene-7.42-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.42&CDS=1-573	YDR373W
908	OG0000908	-processed-gene-8.145-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.145&CDS=1-432	YOL071W
909	OG0000909	-processed-gene-8.78-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.78&CDS=1-1236	YLR181C
910	OG0000910	-processed-gene-8.119-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.119&CDS=1-1827	YER036C
911	OG0000911	-processed-gene-8.82-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.82&CDS=1-6552	YFL007W
912	OG0000912	-processed-gene-8.84-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.84&CDS=1-1395	YDL238C
913	OG0000913	-processed-gene-8.85-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.85&CDS=1-3330	YLR383W
914	OG0000914	-processed-gene-8.86-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.86&CDS=1-1119	YER154W
915	OG0000915	-processed-gene-8.123-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.123&CDS=1-660	YNL107W
916	OG0000916	-augustus-gene-8.65-mRNA-1_1&gene=maker-gi|1002316226|dbj|BCGB01000007.1|-augustus-gene-8.65&CDS=1-1065	YIL134W
917	OG0000917	-processed-gene-8.92-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.92&CDS=1-1074	YNL072W
918	OG0000918	-processed-gene-8.93-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.93&CDS=1-1422	YNL071W
919	OG0000919	-processed-gene-8.95-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.95&CDS=1-645	YOR111W
920	OG0000920	-processed-gene-8.96-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.96&CDS=1-705	YNL110C
921	OG0000921	-processed-gene-8.97-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.97&CDS=1-369	YNL111C
922	OG0000922	-processed-gene-8.125-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.125&CDS=1-1125	YHR112C
923	OG0000923	-processed-gene-8.127-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.127&CDS=1-1617	YLR324W
924	OG0000924	-processed-gene-8.98-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.98&CDS=1-717	YGR006W
925	OG0000925	-processed-gene-8.99-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.99&CDS=1-234	YLR325C
926	OG0000926	-processed-gene-8.128-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.128&CDS=1-1194	YGR005C
927	OG0000927	-processed-gene-8.167-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.167&CDS=1-1683	YGL017W
928	OG0000928	-snap-gene-8.75-mRNA-1_1&gene=maker-gi|1002316226|dbj|BCGB01000007.1|-snap-gene-8.75&CDS=1-1155	YGR007W
929	OG0000929	-processed-gene-8.130-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.130&CDS=1-744	YLR326W
930	OG0000930	-processed-gene-8.131-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.131&CDS=1-711	YLR323C
931	OG0000931	-processed-gene-8.102-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.102&CDS=1-696	YGL018C
932	OG0000932	-processed-gene-8.132-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.132&CDS=1-846	YGL019W
933	OG0000933	-processed-gene-8.103-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.103&CDS=1-645	YGL020C
934	OG0000934	-processed-gene-8.134-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.134&CDS=1-1461	YGL202W
