	OrthologID	Saccharomyces_cerevisiae	Wickerhamia_fluorescens
246	OG0000246	YDL136W, YDL191W	-processed-gene-12.99-mRNA-1_1&gene=genemark-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-12.99&CDS=1-363
247	OG0000247	YDL137W, YDL192W	-processed-gene-12.50-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-12.50&CDS=1-543
248	OG0000248	YDL138W, YDL194W	-processed-gene-12.72-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-12.72&CDS=1-2058
249	OG0000249	YDL161W, YLR206W	-processed-gene-9.18-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-9.18&CDS=1-1560
250	OG0000250	YDL174C	-processed-gene-0.24-mRNA-1_1&gene=snap_masked-gi|1002316296|dbj|BCGE01000008.1|-processed-gene-0.24&CDS=1-1755, -processed-gene-14.76-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-14.76&CDS=1-1692
251	OG0000251	YDL175C, YIL079C	-snap-gene-6.39-mRNA-1_1&gene=maker-gi|1002316303|dbj|BCGE01000001.1|-snap-gene-6.39&CDS=1-1377
252	OG0000252	YDL206W	-processed-gene-10.84-mRNA-1_1&gene=genemark-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-10.84&CDS=1-1020, -processed-gene-5.40-mRNA-1_1&gene=genemark-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-5.40&CDS=1-2187
253	OG0000253	YDL224C, YNL197C	-processed-gene-17.75-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-17.75&CDS=1-2607
254	OG0000254	YDL236W	-processed-gene-4.7-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-4.7&CDS=1-942, -processed-gene-6.66-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-6.66&CDS=1-924
255	OG0000255	YDR066C, YER139C	-processed-gene-11.19-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-11.19&CDS=1-798
256	OG0000256	YDR069C, YER144C	-processed-gene-21.24-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-21.24&CDS=1-2619
257	OG0000257	YDR098C, YER174C	-processed-gene-20.16-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-20.16&CDS=1-747
258	OG0000258	YDR099W, YER177W	-processed-gene-14.113-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-14.113&CDS=1-801
259	OG0000259	YDR111C, YLR089C	-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-5.44&CDS=1-1548
260	OG0000260	YDR122W, YLR096W	-processed-gene-28.105-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-28.105&CDS=1-4422
261	OG0000261	YDR132C, YLR108C	-processed-gene-20.49-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-20.49&CDS=1-1323
262	OG0000262	YDR145W	-augustus-gene-10.139-mRNA-1_1&gene=maker-gi|1002316299|dbj|BCGE01000005.1|-augustus-gene-10.139&CDS=1-3288, -processed-gene-12.40-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-12.40&CDS=1-1512
263	OG0000263	YDR146C, YLR131C	-processed-gene-13.15-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-13.15&CDS=1-2175
264	OG0000264	YDR151C, YLR136C	-processed-gene-3.104-mRNA-1_1&gene=snap_masked-gi|1002316296|dbj|BCGE01000008.1|-processed-gene-3.104&CDS=1-453
265	OG0000265	YDR178W, YLR164W	-processed-gene-7.66-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-7.66&CDS=1-459
266	OG0000266	YDR185C, YLR168C	-processed-gene-0.6-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-0.6&CDS=1-630
267	OG0000267	YDR200C, YLR238W	-processed-gene-14.120-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-14.120&CDS=1-1848
268	OG0000268	YDR206W, YLR233C	-processed-gene-0.28-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-0.28&CDS=1-2937
269	OG0000269	YDR213W, YLR228C	-processed-gene-11.58-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-11.58&CDS=1-2100
270	OG0000270	YDR247W, YPL026C	-processed-gene-23.86-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-23.86&CDS=1-1440
271	OG0000271	YDR251W, YPL032C	-snap-gene-3.96-mRNA-1_1&gene=maker-gi|1002316297|dbj|BCGE01000007.1|-snap-gene-3.96&CDS=1-2802
272	OG0000272	YDR252W, YPL037C	-processed-gene-3.16-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-3.16&CDS=1-462
273	OG0000273	YDR253C, YPL038W	-processed-gene-2.63-mRNA-1_1&gene=snap_masked-gi|1002316296|dbj|BCGE01000008.1|-processed-gene-2.63&CDS=1-1116
274	OG0000274	YDR259C, YOR028C	-processed-gene-10.70-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-10.70&CDS=1-858
275	OG0000275	YDR263C, YOR033C	-processed-gene-3.113-mRNA-1_1&gene=genemark-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-3.113&CDS=1-2124
276	OG0000276	YDR264C, YOR034C	-processed-gene-2.52-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-2.52&CDS=1-2667
277	OG0000277	YDR270W	-processed-gene-1.63-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-1.63&CDS=1-3549, -processed-gene-15.165-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-15.165&CDS=1-3591
278	OG0000278	YDR272W, YOR040W	-snap-gene-1.154-mRNA-1_1&gene=maker-gi|1002316296|dbj|BCGE01000008.1|-snap-gene-1.154&CDS=1-2112
279	OG0000279	YDR277C, YOR047C	-processed-gene-7.79-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-7.79&CDS=1-1074
280	OG0000280	YDR300C, YHR033W	-processed-gene-15.90-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-15.90&CDS=1-1227
281	OG0000281	YDR312W, YHR066W	-processed-gene-14.65-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-14.65&CDS=1-1218
282	OG0000282	YDR348C, YHR097C	-snap-gene-9.127-mRNA-1_1&gene=maker-gi|1002316301|dbj|BCGE01000003.1|-snap-gene-9.127&CDS=1-1503
283	OG0000283	YDR351W, YHR103W	-processed-gene-1.76-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-1.76&CDS=1-2964
284	OG0000284	YDR368W, YOR120W	-processed-gene-8.61-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-8.61&CDS=1-927
285	OG0000285	YDR379W, YOR127W	-processed-gene-13.73-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-13.73&CDS=1-3951
286	OG0000286	YDR389W, YOR134W	-snap-gene-0.31-mRNA-1_1&gene=maker-gi|1002316299|dbj|BCGE01000005.1|-snap-gene-0.31&CDS=1-1656
287	OG0000287	YDR409W, YOR156C	-processed-gene-19.19-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-19.19&CDS=1-4824
288	OG0000288	YDR418W, YEL054C	-processed-gene-9.24-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-9.24&CDS=1-495
289	OG0000289	YDR447C, YML024W	-processed-gene-11.137-mRNA-1_1&gene=genemark-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-11.137&CDS=1-411
290	OG0000290	YDR450W, YML026C	-processed-gene-4.19-mRNA-1_1&gene=genemark-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-4.19&CDS=1-1155
291	OG0000291	YDR451C, YML027W	-processed-gene-4.76-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-4.76&CDS=1-1215
292	OG0000292	YDR453C, YML028W	-processed-gene-8.63-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-8.63&CDS=1-588
293	OG0000293	YDR458C, YML034W	-snap-gene-26.39-mRNA-1_1&gene=maker-gi|1002316303|dbj|BCGE01000001.1|-snap-gene-26.39&CDS=1-3189
294	OG0000294	YDR492W, YOL002C	-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-3.49&CDS=1-1542
295	OG0000295	YDR497C, YOL103W	-processed-gene-11.34-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-11.34&CDS=1-1689
296	OG0000296	YDR500C, YLR185W	-processed-gene-4.75-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-4.75&CDS=1-264
297	OG0000297	YDR501W, YLR183C	-processed-gene-4.56-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-4.56&CDS=1-1518
298	OG0000298	YDR505C, YLR177W	-processed-gene-4.60-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-4.60&CDS=1-2169
299	OG0000299	YDR536W	-processed-gene-26.20-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-26.20&CDS=1-1662, -processed-gene-27.27-mRNA-1_1&gene=augustus_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-27.27&CDS=1-1656
300	OG0000300	YEL006W, YIL006W	-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-gi|1002316296|dbj|BCGE01000008.1|-processed-gene-1.86&CDS=1-3459
301	OG0000301	YEL007W, YHR177W	-processed-gene-6.75-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-6.75&CDS=1-1959
302	OG0000302	YEL022W, YJR031C	-processed-gene-16.106-mRNA-1_1&gene=augustus_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-16.106&CDS=1-6486
303	OG0000303	YEL034W, YJR047C	-processed-gene-12.40-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-12.40&CDS=1-468
304	OG0000304	YEL039C, YJR048W	-snap-gene-2.107-mRNA-1_1&gene=maker-gi|1002316296|dbj|BCGE01000008.1|-snap-gene-2.107&CDS=1-2127
305	OG0000305	YEL041W, YJR049C	-processed-gene-8.53-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-8.53&CDS=1-1767
306	OG0000306	YEL046C	-processed-gene-12.63-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-12.63&CDS=1-1122, -processed-gene-8.57-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-8.57&CDS=1-1089
307	OG0000307	YEL047C, YJR051W	-processed-gene-2.42-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-2.42&CDS=1-1329
308	OG0000308	YER019C-A, YER087C-B	-processed-gene-21.81-mRNA-1_1&gene=augustus_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-21.81&CDS=1-276
309	OG0000309	YER027C, YGL208W	-processed-gene-7.129-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-7.129&CDS=1-1365
310	OG0000310	YER037W, YGL224C	-processed-gene-6.113-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-6.113&CDS=1-843
311	OG0000311	YER045C, YIL036W	-snap-gene-6.80-mRNA-1_1&gene=maker-gi|1002316297|dbj|BCGE01000007.1|-snap-gene-6.80&CDS=1-1611
312	OG0000312	YER056C-A, YIL052C	-processed-gene-17.60-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-17.60&CDS=1-339
313	OG0000313	YER057C, YIL051C	-processed-gene-17.102-mRNA-1_1&gene=augustus_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-17.102&CDS=1-399
314	OG0000314	YER059W, YIL050W	-processed-gene-14.125-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-14.125&CDS=1-1668
315	OG0000315	YER062C, YIL053W	-processed-gene-3.8-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-3.8&CDS=1-753
316	OG0000316	YER064C, YIL056W	-processed-gene-17.68-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-17.68&CDS=1-1935
317	OG0000317	YER066W, YFL009W	-processed-gene-7.150-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-7.150&CDS=1-2283
318	OG0000318	YER067W, YIL057C	-processed-gene-15.91-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-15.91&CDS=1-588
319	OG0000319	YER070W	-processed-gene-2.2-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-2.2&CDS=1-2568, -processed-gene-7.18-mRNA-1_1&gene=genemark-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-7.18&CDS=1-2655
320	OG0000320	YER131W, YGL189C	-processed-gene-27.64-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-27.64&CDS=1-357
321	OG0000321	YER132C, YGL197W	-processed-gene-13.26-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-13.26&CDS=1-4890
322	OG0000322	YER166W	-processed-gene-1.53-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-1.53&CDS=1-4884, -processed-gene-13.80-mRNA-1_1&gene=genemark-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-13.80&CDS=1-8031
323	OG0000323	YFL004W, YPL019C	-processed-gene-11.82-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-11.82&CDS=1-2502
324	OG0000324	YFL034C-A, YLR061W	-processed-gene-28.17-mRNA-1_1&gene=augustus_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-28.17&CDS=1-345
325	OG0000325	YFL048C, YLR080W	-processed-gene-7.174-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-7.174&CDS=1-1434
326	OG0000326	YFL050C, YOL130W	-processed-gene-11.45-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-11.45&CDS=1-2418
327	OG0000327	YFL059W, YNL333W	-processed-gene-24.23-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-24.23&CDS=1-879
328	OG0000328	YFL061W, YNL335W	-processed-gene-9.37-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-9.37&CDS=1-684
329	OG0000329	YFR013W, YOL017W	-processed-gene-9.33-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-9.33&CDS=1-2526
330	OG0000330	YFR014C, YOL016C	-processed-gene-2.42-mRNA-1_1&gene=snap_masked-gi|1002316296|dbj|BCGE01000008.1|-processed-gene-2.42&CDS=1-1323
331	OG0000331	YGL031C, YGR148C	-processed-gene-28.69-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-28.69&CDS=1-462
332	OG0000332	YGL049C, YGR162W	-processed-gene-7.128-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-7.128&CDS=1-3189
333	OG0000333	YGL071W, YPL202C	-processed-gene-9.59-mRNA-1_1&gene=augustus_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-9.59&CDS=1-1161
334	OG0000334	YGL076C, YPL198W	-augustus-gene-1.107-mRNA-1_1&gene=maker-gi|1002316298|dbj|BCGE01000006.1|-augustus-gene-1.107&CDS=1-714
335	OG0000335	YGL082W, YPL191C	-processed-gene-14.119-mRNA-1_1&gene=genemark-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-14.119&CDS=1-1203
336	OG0000336	YGL084C	-processed-gene-0.48-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-0.48&CDS=1-1617, -processed-gene-5.64-mRNA-1_1&gene=augustus_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-5.64&CDS=1-1983
337	OG0000337	YGL096W, YPL177C	-processed-gene-14.22-mRNA-1_1&gene=genemark-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-14.22&CDS=1-603
338	OG0000338	YGL133W, YPL216W	-processed-gene-13.67-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-13.67&CDS=1-3816
339	OG0000339	YGL135W, YPL220W	-processed-gene-14.74-mRNA-1_1&gene=genemark-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-14.74&CDS=1-651
340	OG0000340	YGL147C, YNL067W	-processed-gene-11.41-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-11.41&CDS=1-570
341	OG0000341	YGL162W, YPR009W	-processed-gene-3.62-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-3.62&CDS=1-1143
342	OG0000342	YGL179C	-processed-gene-12.63-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-12.63&CDS=1-3678, -processed-gene-5.50-mRNA-1_1&gene=augustus_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-5.50&CDS=1-2559
343	OG0000343	YGL205W	-processed-gene-9.30-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-9.30&CDS=1-2130, -processed-gene-9.7-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-9.7&CDS=1-2139
344	OG0000344	YGR008C, YLR327C	-processed-gene-8.31-mRNA-1_1&gene=genemark-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-8.31&CDS=1-258
345	OG0000345	YGR010W, YLR328W	-processed-gene-28.102-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-28.102&CDS=1-1323
346	OG0000346	YGR019W	-processed-gene-3.65-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-3.65&CDS=1-1413, -processed-gene-9.41-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-9.41&CDS=1-1500
347	OG0000347	YGR027C, YLR333C	-augustus-gene-3.143-mRNA-1_1&gene=maker-gi|1002316299|dbj|BCGE01000005.1|-augustus-gene-3.143&CDS=1-852
348	OG0000348	YGR034W, YLR344W	-snap-gene-24.50-mRNA-1_1&gene=maker-gi|1002316303|dbj|BCGE01000001.1|-snap-gene-24.50&CDS=1-381
349	OG0000349	YGR038W, YLR350W	-processed-gene-26.6-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-26.6&CDS=1-693
350	OG0000350	YGR056W, YLR357W	-processed-gene-24.16-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-24.16&CDS=1-2487
351	OG0000351	YGR060W	-processed-gene-11.124-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-11.124&CDS=1-957, -processed-gene-13.84-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-13.84&CDS=1-915
352	OG0000352	YGR070W, YLR371W	-processed-gene-1.62-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-1.62&CDS=1-4017
353	OG0000353	YGR085C, YPR102C	-processed-gene-11.4-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-11.4&CDS=1-549
354	OG0000354	YGR086C	-processed-gene-11.33-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-11.33&CDS=1-933, -snap-gene-3.95-mRNA-1_1&gene=maker-gi|1002316298|dbj|BCGE01000006.1|-snap-gene-3.95&CDS=1-2193
355	OG0000355	YGR092W, YPR111W	-processed-gene-10.101-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-10.101&CDS=1-1698
356	OG0000356	YGR108W, YPR119W	-processed-gene-9.34-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-9.34&CDS=1-1671
357	OG0000357	YGR118W, YPR132W	-processed-gene-7.103-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-7.103&CDS=1-435
358	OG0000358	YGR121C, YPR138C	-processed-gene-8.75-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-8.75&CDS=1-1512
359	OG0000359	YGR131W, YPR149W	-processed-gene-12.70-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-12.70&CDS=1-498
360	OG0000360	YGR136W, YPR154W	-processed-gene-12.75-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-12.75&CDS=1-897
361	OG0000361	YGR138C, YPR156C	-processed-gene-12.81-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-12.81&CDS=1-1773
362	OG0000362	YGR204W	-processed-gene-28.85-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-28.85&CDS=1-2970, -processed-gene-7.114-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-7.114&CDS=1-2838
363	OG0000363	YGR209C, YLR043C	-processed-gene-6.77-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-6.77&CDS=1-309
364	OG0000364	YGR214W, YLR048W	-processed-gene-12.78-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-12.78&CDS=1-783
365	OG0000365	YGR238C, YHR158C	-processed-gene-6.72-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-6.72&CDS=1-3237
366	OG0000366	YGR241C, YHR161C	-processed-gene-4.11-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-4.11&CDS=1-1995
367	OG0000367	YGR260W	-processed-gene-14.92-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-14.92&CDS=1-1581, -processed-gene-3.61-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-3.61&CDS=1-1602
368	OG0000368	YGR263C	-processed-gene-8.69-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-8.69&CDS=1-1158, -processed-gene-9.36-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-9.36&CDS=1-1224
369	OG0000369	YGR273C, YMR295C	-processed-gene-16.79-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-16.79&CDS=1-531
370	OG0000370	YGR281W	-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-gi|1002316296|dbj|BCGE01000008.1|-processed-gene-2.101&CDS=1-4746, -processed-gene-2.5-mRNA-1_1&gene=genemark-gi|1002316296|dbj|BCGE01000008.1|-processed-gene-2.5&CDS=1-8586
371	OG0000371	YHL001W, YKL006W	-processed-gene-2.74-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-2.74&CDS=1-387
372	OG0000372	YHL003C, YKL008C	-processed-gene-3.74-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-3.74&CDS=1-1287
373	OG0000373	YHL017W, YKL039W	-processed-gene-9.16-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-9.16&CDS=1-1740
374	OG0000374	YHR001W, YKR003W	-processed-gene-2.23-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-2.23&CDS=1-1284
375	OG0000375	YHR008C	-processed-gene-0.43-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-0.43&CDS=1-624, -processed-gene-19.42-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-19.42&CDS=1-669
376	OG0000376	YHR115C, YNL116W	-processed-gene-0.15-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-0.15&CDS=1-1593
377	OG0000377	YHR117W, YNL121C	-processed-gene-14.32-mRNA-1_1&gene=genemark-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-14.32&CDS=1-1803
378	OG0000378	YHR124W	-processed-gene-8.81-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-8.81&CDS=1-1977, -processed-gene-9.43-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-9.43&CDS=1-1875
379	OG0000379	YHR131C, YNL144C	-processed-gene-3.56-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-3.56&CDS=1-2433
380	OG0000380	YHR132W-A, YNL157W	-processed-gene-7.97-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-7.97&CDS=1-369
381	OG0000381	YHR133C, YNL156C	-processed-gene-7.112-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-7.112&CDS=1-1047
382	OG0000382	YHR135C	-augustus-gene-15.50-mRNA-1_1&gene=maker-gi|1002316302|dbj|BCGE01000002.1|-augustus-gene-15.50&CDS=1-3558, -processed-gene-9.50-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-9.50&CDS=1-1524
383	OG0000383	YHR141C, YNL162W	-snap-gene-10.81-mRNA-1_1&gene=maker-gi|1002316302|dbj|BCGE01000002.1|-snap-gene-10.81&CDS=1-318
384	OG0000384	YHR208W, YJR148W	-processed-gene-4.41-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-4.41&CDS=1-1098
