	OrthologID	Saccharomyces_cerevisiae	Zygosaccharomyces_bailii
782	OG0000782	YDL171C	genemark-ZYBA0S10-processed-gene-2.80-mRNA-1_1&gene=genemark-ZYBA0S10-processed-gene-2.80&CDS=1-6405
783	OG0000783	YDL173W	genemark-ZYBA0S10-processed-gene-2.57-mRNA-1_1&gene=genemark-ZYBA0S10-processed-gene-2.57&CDS=1-543
784	OG0000784	YDL176W	genemark-ZYBA0S04-processed-gene-2.64-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-2.64&CDS=1-2067
785	OG0000785	YDL177C	genemark-ZYBA0S04-processed-gene-2.67-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-2.67&CDS=1-474
786	OG0000786	YDL180W	snap_masked-ZYBA0S04-processed-gene-1.76-mRNA-1_1&gene=snap_masked-ZYBA0S04-processed-gene-1.76&CDS=1-1479
787	OG0000787	YDL183C	genemark-ZYBA0S04-processed-gene-1.46-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-1.46&CDS=1-837
788	OG0000788	YDL185W	genemark-ZYBA0S04-processed-gene-1.21-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-1.21&CDS=1-3219
789	OG0000789	YDL186W	augustus_masked-ZYBA0S09-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-ZYBA0S09-processed-gene-1.132&CDS=1-693
790	OG0000790	YDL189W	genemark-ZYBA0S09-processed-gene-1.42-mRNA-1_1&gene=genemark-ZYBA0S09-processed-gene-1.42&CDS=1-1311
791	OG0000791	YDL190C	genemark-ZYBA0S09-processed-gene-1.23-mRNA-1_1&gene=genemark-ZYBA0S09-processed-gene-1.23&CDS=1-2859
792	OG0000792	YDL195W	genemark-ZYBA0S09-processed-gene-2.64-mRNA-1_1&gene=genemark-ZYBA0S09-processed-gene-2.64&CDS=1-3777
793	OG0000793	YDL198C	genemark-ZYBA0S01-processed-gene-12.28-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-12.28&CDS=1-903
794	OG0000794	YDL200C	genemark-ZYBA0S01-processed-gene-12.30-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-12.30&CDS=1-564
795	OG0000795	YDL201W	genemark-ZYBA0S01-processed-gene-12.44-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-12.44&CDS=1-846
796	OG0000796	YDL202W	genemark-ZYBA0S01-processed-gene-12.45-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-12.45&CDS=1-738
797	OG0000797	YDL203C	genemark-ZYBA0S01-processed-gene-13.0-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-13.0&CDS=1-2031
798	OG0000798	YDL206W	augustus_masked-ZYBA0S01-processed-gene-13.105-mRNA-1_1&gene=augustus_masked-ZYBA0S01-processed-gene-13.105&CDS=1-1953
799	OG0000799	YDL207W	maker-ZYBA0S01-snap-gene-13.147-mRNA-1_1&gene=maker-ZYBA0S01-snap-gene-13.147&CDS=1-2109
800	OG0000800	YDL208W	genemark-ZYBA0S07-processed-gene-1.71-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-1.71&CDS=1-504
801	OG0000801	YDL209C	genemark-ZYBA0S07-processed-gene-1.48-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-1.48&CDS=1-978
802	OG0000802	YDL211C	snap_masked-ZYBA0S04-processed-gene-1.96-mRNA-1_1&gene=snap_masked-ZYBA0S04-processed-gene-1.96&CDS=1-3054
803	OG0000803	YDL212W	snap_masked-ZYBA0S04-processed-gene-1.68-mRNA-1_1&gene=snap_masked-ZYBA0S04-processed-gene-1.68&CDS=1-801
804	OG0000804	YDL215C	genemark-ZYBA0S04-processed-gene-1.38-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-1.38&CDS=1-3120
805	OG0000805	YDL216C	genemark-ZYBA0S04-processed-gene-1.37-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-1.37&CDS=1-1320
806	OG0000806	YDL217C	genemark-ZYBA0S04-processed-gene-1.36-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-1.36&CDS=1-579
807	OG0000807	YDL220C	snap_masked-ZYBA0S04-processed-gene-1.85-mRNA-1_1&gene=snap_masked-ZYBA0S04-processed-gene-1.85&CDS=1-1962
808	OG0000808	YDL225W	genemark-ZYBA0S04-processed-gene-1.9-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-1.9&CDS=1-1581
809	OG0000809	YDL226C	genemark-ZYBA0S04-processed-gene-1.7-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-1.7&CDS=1-1044
810	OG0000810	YDL227C	genemark-ZYBA0S04-processed-gene-1.5-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-1.5&CDS=1-1758
811	OG0000811	YDL230W	genemark-ZYBA0S04-processed-gene-0.65-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-0.65&CDS=1-1017
812	OG0000812	YDL231C	genemark-ZYBA0S04-processed-gene-0.84-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-0.84&CDS=1-3270
813	OG0000813	YDL234C	genemark-ZYBA0S04-processed-gene-0.82-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-0.82&CDS=1-2259
814	OG0000814	YDL235C	genemark-ZYBA0S04-processed-gene-0.81-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-0.81&CDS=1-489
815	OG0000815	YDL236W	genemark-ZYBA0S04-processed-gene-0.57-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-0.57&CDS=1-927
816	OG0000816	YDL237W	genemark-ZYBA0S04-processed-gene-0.55-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-0.55&CDS=1-1218
817	OG0000817	YDL238C	genemark-ZYBA0S04-processed-gene-0.78-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-0.78&CDS=1-1467
818	OG0000818	YDL240W	snap_masked-ZYBA0S04-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ZYBA0S04-processed-gene-0.3&CDS=1-3201
819	OG0000819	YDR002W	genemark-ZYBA0S03-processed-gene-8.53-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-8.53&CDS=1-741
820	OG0000820	YDR005C	genemark-ZYBA0S03-processed-gene-8.77-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-8.77&CDS=1-1128
821	OG0000821	YDR006C	maker-ZYBA0S03-snap-gene-8.107-mRNA-1_1&gene=maker-ZYBA0S03-snap-gene-8.107&CDS=1-2652
822	OG0000822	YDR013W	genemark-ZYBA0S03-processed-gene-7.136-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-7.136&CDS=1-624
823	OG0000823	YDR014W	snap_masked-ZYBA0S03-processed-gene-7.60-mRNA-1_1&gene=snap_masked-ZYBA0S03-processed-gene-7.60&CDS=1-1713
824	OG0000824	YDR016C	snap_masked-ZYBA0S03-processed-gene-7.82-mRNA-1_1&gene=snap_masked-ZYBA0S03-processed-gene-7.82&CDS=1-279
825	OG0000825	YDR017C	genemark-ZYBA0S03-processed-gene-7.138-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-7.138&CDS=1-2637
826	OG0000826	YDR019C	augustus_masked-ZYBA0S03-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-ZYBA0S03-processed-gene-7.35&CDS=1-2808
827	OG0000827	YDR020C	genemark-ZYBA0S03-processed-gene-7.143-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-7.143&CDS=1-687
828	OG0000828	YDR021W	snap_masked-ZYBA0S03-processed-gene-7.65-mRNA-1_1&gene=snap_masked-ZYBA0S03-processed-gene-7.65&CDS=1-1188
829	OG0000829	YDR022C	snap_masked-ZYBA0S03-processed-gene-7.89-mRNA-1_1&gene=snap_masked-ZYBA0S03-processed-gene-7.89&CDS=1-441
830	OG0000830	YDR023W	genemark-ZYBA0S03-processed-gene-7.121-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-7.121&CDS=1-1380
831	OG0000831	YDR027C	genemark-ZYBA0S03-processed-gene-7.148-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-7.148&CDS=1-2694
832	OG0000832	YDR028C	genemark-ZYBA0S03-processed-gene-7.149-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-7.149&CDS=1-3057
833	OG0000833	YDR030C	snap_masked-ZYBA0S03-processed-gene-7.95-mRNA-1_1&gene=snap_masked-ZYBA0S03-processed-gene-7.95&CDS=1-1230
834	OG0000834	YDR031W	genemark-ZYBA0S03-processed-gene-7.124-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-7.124&CDS=1-318
835	OG0000835	YDR034C	maker-ZYBA0S02-augustus-gene-5.82-mRNA-1_1&gene=maker-ZYBA0S02-augustus-gene-5.82&CDS=1-4737
836	OG0000836	YDR035W	genemark-ZYBA0S02-processed-gene-5.118-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-5.118&CDS=1-1116
837	OG0000837	YDR036C	genemark-ZYBA0S02-processed-gene-5.101-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-5.101&CDS=1-1437
838	OG0000838	YDR037W	genemark-ZYBA0S02-processed-gene-5.116-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-5.116&CDS=1-1785
839	OG0000839	YDR041W	genemark-ZYBA0S02-processed-gene-5.115-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-5.115&CDS=1-639
840	OG0000840	YDR044W	genemark-ZYBA0S01-processed-gene-15.94-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-15.94&CDS=1-942
841	OG0000841	YDR045C	genemark-ZYBA0S01-processed-gene-15.138-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-15.138&CDS=1-300
842	OG0000842	YDR047W	maker-ZYBA0S12-augustus-gene-1.294-mRNA-1_1&gene=maker-ZYBA0S12-augustus-gene-1.294&CDS=1-3072
843	OG0000843	YDR050C	genemark-ZYBA0S12-processed-gene-1.166-mRNA-1_1&gene=genemark-ZYBA0S12-processed-gene-1.166&CDS=1-744
844	OG0000844	YDR051C	genemark-ZYBA0S12-processed-gene-1.167-mRNA-1_1&gene=genemark-ZYBA0S12-processed-gene-1.167&CDS=1-930
845	OG0000845	YDR052C	genemark-ZYBA0S12-processed-gene-1.123-mRNA-1_1&gene=genemark-ZYBA0S12-processed-gene-1.123&CDS=1-1695
846	OG0000846	YDR054C	genemark-ZYBA0S12-processed-gene-1.121-mRNA-1_1&gene=genemark-ZYBA0S12-processed-gene-1.121&CDS=1-816
847	OG0000847	YDR056C	augustus_masked-ZYBA0S12-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-ZYBA0S12-processed-gene-1.26&CDS=1-600
848	OG0000848	YDR057W	augustus_masked-ZYBA0S12-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-ZYBA0S12-processed-gene-1.66&CDS=1-1644
849	OG0000849	YDR060W	genemark-ZYBA0S12-processed-gene-1.159-mRNA-1_1&gene=genemark-ZYBA0S12-processed-gene-1.159&CDS=1-3006
850	OG0000850	YDR061W	genemark-ZYBA0S05-processed-gene-6.171-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-6.171&CDS=1-1545
851	OG0000851	YDR062W	genemark-ZYBA0S05-processed-gene-6.172-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-6.172&CDS=1-1707
852	OG0000852	YDR064W	genemark-ZYBA0S05-processed-gene-6.173-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-6.173&CDS=1-873
853	OG0000853	YDR065W	augustus_masked-ZYBA0S05-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-ZYBA0S05-processed-gene-6.30&CDS=1-774
854	OG0000854	YDR067C	genemark-ZYBA0S05-processed-gene-6.206-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-6.206&CDS=1-648
855	OG0000855	YDR068W	genemark-ZYBA0S05-processed-gene-6.178-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-6.178&CDS=1-885
856	OG0000856	YDR069C	genemark-ZYBA0S05-processed-gene-6.207-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-6.207&CDS=1-2556
857	OG0000857	YDR070C	snap_masked-ZYBA0S05-processed-gene-6.137-mRNA-1_1&gene=snap_masked-ZYBA0S05-processed-gene-6.137&CDS=1-291
858	OG0000858	YDR071C	genemark-ZYBA0S05-processed-gene-6.209-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-6.209&CDS=1-570
859	OG0000859	YDR072C	maker-ZYBA0S05-snap-gene-6.6-mRNA-1_1&gene=maker-ZYBA0S05-snap-gene-6.6&CDS=1-1248
860	OG0000860	YDR073W	genemark-ZYBA0S05-processed-gene-6.180-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-6.180&CDS=1-321
861	OG0000861	YDR074W	genemark-ZYBA0S05-processed-gene-6.181-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-6.181&CDS=1-2673
862	OG0000862	YDR075W	genemark-ZYBA0S05-processed-gene-6.183-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-6.183&CDS=1-924
863	OG0000863	YDR076W	snap_masked-ZYBA0S05-processed-gene-6.109-mRNA-1_1&gene=snap_masked-ZYBA0S05-processed-gene-6.109&CDS=1-963
864	OG0000864	YDR079C-A	snap_masked-ZYBA0S02-processed-gene-10.115-mRNA-1_1&gene=snap_masked-ZYBA0S02-processed-gene-10.115&CDS=1-216
865	OG0000865	YDR079W	genemark-ZYBA0S02-processed-gene-10.82-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-10.82&CDS=1-318
866	OG0000866	YDR080W	genemark-ZYBA0S02-processed-gene-10.80-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-10.80&CDS=1-2673
867	OG0000867	YDR081C	genemark-ZYBA0S02-processed-gene-10.66-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-10.66&CDS=1-2436
868	OG0000868	YDR082W	augustus_masked-ZYBA0S02-processed-gene-10.31-mRNA-1_1&gene=augustus_masked-ZYBA0S02-processed-gene-10.31&CDS=1-1245
869	OG0000869	YDR083W	genemark-ZYBA0S02-processed-gene-10.78-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-10.78&CDS=1-1128
870	OG0000870	YDR084C	genemark-ZYBA0S02-processed-gene-10.64-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-10.64&CDS=1-597
871	OG0000871	YDR085C	snap_masked-ZYBA0S02-processed-gene-10.111-mRNA-1_1&gene=snap_masked-ZYBA0S02-processed-gene-10.111&CDS=1-2121
872	OG0000872	YDR086C	genemark-ZYBA0S02-processed-gene-10.62-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-10.62&CDS=1-621
873	OG0000873	YDR087C	genemark-ZYBA0S02-processed-gene-10.61-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-10.61&CDS=1-795
874	OG0000874	YDR088C	genemark-ZYBA0S02-processed-gene-10.60-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-10.60&CDS=1-954
875	OG0000875	YDR091C	augustus_masked-ZYBA0S02-processed-gene-10.12-mRNA-1_1&gene=augustus_masked-ZYBA0S02-processed-gene-10.12&CDS=1-3387
876	OG0000876	YDR092W	genemark-ZYBA0S02-processed-gene-10.75-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-10.75&CDS=1-459
877	OG0000877	YDR097C	augustus_masked-ZYBA0S02-processed-gene-10.10-mRNA-1_1&gene=augustus_masked-ZYBA0S02-processed-gene-10.10&CDS=1-3579
878	OG0000878	YDR098C	genemark-ZYBA0S02-processed-gene-10.52-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-10.52&CDS=1-708
879	OG0000879	YDR100W	genemark-ZYBA0S01-processed-gene-4.122-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-4.122&CDS=1-423
880	OG0000880	YDR101C	genemark-ZYBA0S01-processed-gene-4.145-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-4.145&CDS=1-1698
881	OG0000881	YDR103W	genemark-ZYBA0S01-processed-gene-4.124-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-4.124&CDS=1-2673
882	OG0000882	YDR104C	genemark-ZYBA0S01-processed-gene-4.146-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-4.146&CDS=1-3744
883	OG0000883	YDR105C	genemark-ZYBA0S01-processed-gene-5.48-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-5.48&CDS=1-1428
884	OG0000884	YDR108W	genemark-ZYBA0S01-processed-gene-5.47-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-5.47&CDS=1-2076
885	OG0000885	YDR109C	snap_masked-ZYBA0S01-processed-gene-5.120-mRNA-1_1&gene=snap_masked-ZYBA0S01-processed-gene-5.120&CDS=1-2220
886	OG0000886	YDR110W	genemark-ZYBA0S01-processed-gene-2.100-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-2.100&CDS=1-1860
887	OG0000887	YDR113C	snap_masked-ZYBA0S03-processed-gene-0.37-mRNA-1_1&gene=snap_masked-ZYBA0S03-processed-gene-0.37&CDS=1-861
888	OG0000888	YDR116C	genemark-ZYBA0S03-processed-gene-1.3-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-1.3&CDS=1-831
889	OG0000889	YDR117C	genemark-ZYBA0S03-processed-gene-1.4-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-1.4&CDS=1-1662
890	OG0000890	YDR120C	genemark-ZYBA0S07-processed-gene-2.138-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-2.138&CDS=1-1629
891	OG0000891	YDR121W	genemark-ZYBA0S07-processed-gene-2.118-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-2.118&CDS=1-543
892	OG0000892	YDR122W	genemark-ZYBA0S07-processed-gene-2.119-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-2.119&CDS=1-3603
893	OG0000893	YDR123C	augustus_masked-ZYBA0S07-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-ZYBA0S07-processed-gene-2.37&CDS=1-804
894	OG0000894	YDR124W	genemark-ZYBA0S07-processed-gene-2.120-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-2.120&CDS=1-948
895	OG0000895	YDR126W	genemark-ZYBA0S07-processed-gene-2.122-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-2.122&CDS=1-375
896	OG0000896	YDR127W	snap_masked-ZYBA0S07-processed-gene-2.69-mRNA-1_1&gene=snap_masked-ZYBA0S07-processed-gene-2.69&CDS=1-4764
897	OG0000897	YDR128W	genemark-ZYBA0S07-processed-gene-2.124-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-2.124&CDS=1-4248
898	OG0000898	YDR129C	augustus_masked-ZYBA0S07-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-ZYBA0S07-processed-gene-3.4&CDS=1-4392
899	OG0000899	YDR130C	augustus_masked-ZYBA0S07-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-ZYBA0S07-processed-gene-3.22&CDS=1-771
900	OG0000900	YDR131C	genemark-ZYBA0S07-processed-gene-3.66-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-3.66&CDS=1-1578
901	OG0000901	YDR132C	genemark-ZYBA0S07-processed-gene-3.67-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-3.67&CDS=1-1518
902	OG0000902	YDR137W	augustus_masked-ZYBA0S07-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-ZYBA0S07-processed-gene-3.10&CDS=1-1947
903	OG0000903	YDR138W	genemark-ZYBA0S07-processed-gene-3.52-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-3.52&CDS=1-2424
904	OG0000904	YDR140W	genemark-ZYBA0S07-processed-gene-3.55-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-3.55&CDS=1-675
905	OG0000905	YDR141C	genemark-ZYBA0S07-processed-gene-3.73-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-3.73&CDS=1-5730
906	OG0000906	YDR142C	genemark-ZYBA0S07-processed-gene-3.74-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-3.74&CDS=1-1110
907	OG0000907	YDR143C	augustus_masked-ZYBA0S07-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-ZYBA0S07-processed-gene-3.32&CDS=1-2028
908	OG0000908	YDR146C	genemark-ZYBA0S08-processed-gene-1.83-mRNA-1_1&gene=genemark-ZYBA0S08-processed-gene-1.83&CDS=1-2289
909	OG0000909	YDR148C	genemark-ZYBA0S08-processed-gene-1.85-mRNA-1_1&gene=genemark-ZYBA0S08-processed-gene-1.85&CDS=1-1344
910	OG0000910	YDR150W	snap_masked-ZYBA0S08-processed-gene-1.22-mRNA-1_1&gene=snap_masked-ZYBA0S08-processed-gene-1.22&CDS=1-7434
911	OG0000911	YDR152W	genemark-ZYBA0S03-processed-gene-10.140-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.140&CDS=1-771
912	OG0000912	YDR153C	genemark-ZYBA0S03-processed-gene-10.173-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.173&CDS=1-1200
913	OG0000913	YDR155C	genemark-ZYBA0S03-processed-gene-10.174-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.174&CDS=1-486
914	OG0000914	YDR156W	genemark-ZYBA0S03-processed-gene-10.141-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.141&CDS=1-354
915	OG0000915	YDR158W	genemark-ZYBA0S03-processed-gene-10.142-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.142&CDS=1-1095
916	OG0000916	YDR162C	genemark-ZYBA0S03-processed-gene-10.175-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.175&CDS=1-753
917	OG0000917	YDR163W	snap_masked-ZYBA0S03-processed-gene-10.77-mRNA-1_1&gene=snap_masked-ZYBA0S03-processed-gene-10.77&CDS=1-288
918	OG0000918	YDR164C	genemark-ZYBA0S03-processed-gene-10.177-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.177&CDS=1-2163
919	OG0000919	YDR165W	genemark-ZYBA0S03-processed-gene-10.153-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.153&CDS=1-1302
920	OG0000920	YDR166C	augustus_masked-ZYBA0S03-processed-gene-10.48-mRNA-1_1&gene=augustus_masked-ZYBA0S03-processed-gene-10.48&CDS=1-3132
921	OG0000921	YDR167W	genemark-ZYBA0S03-processed-gene-10.156-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.156&CDS=1-639
922	OG0000922	YDR168W	genemark-ZYBA0S03-processed-gene-10.157-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.157&CDS=1-1506
923	OG0000923	YDR169C	genemark-ZYBA0S03-processed-gene-10.183-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.183&CDS=1-1419
924	OG0000924	YDR170C	genemark-ZYBA0S03-processed-gene-10.187-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.187&CDS=1-5832
925	OG0000925	YDR171W	genemark-ZYBA0S03-processed-gene-10.160-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.160&CDS=1-1191
926	OG0000926	YDR172W	augustus_masked-ZYBA0S03-processed-gene-10.30-mRNA-1_1&gene=augustus_masked-ZYBA0S03-processed-gene-10.30&CDS=1-2025
927	OG0000927	YDR173C	genemark-ZYBA0S03-processed-gene-10.188-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.188&CDS=1-996
928	OG0000928	YDR174W	genemark-ZYBA0S01-processed-gene-11.64-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.64&CDS=1-741
929	OG0000929	YDR175C	genemark-ZYBA0S01-processed-gene-11.86-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.86&CDS=1-897
930	OG0000930	YDR176W	genemark-ZYBA0S01-processed-gene-11.65-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.65&CDS=1-1827
931	OG0000931	YDR177W	genemark-ZYBA0S01-processed-gene-11.66-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.66&CDS=1-648
932	OG0000932	YDR179C	genemark-ZYBA0S01-processed-gene-11.88-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.88&CDS=1-456
933	OG0000933	YDR179W-A	augustus_masked-ZYBA0S01-processed-gene-11.16-mRNA-1_1&gene=augustus_masked-ZYBA0S01-processed-gene-11.16&CDS=1-1260
934	OG0000934	YDR180W	genemark-ZYBA0S01-processed-gene-11.69-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.69&CDS=1-4407
935	OG0000935	YDR181C	genemark-ZYBA0S01-processed-gene-11.90-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.90&CDS=1-1104
936	OG0000936	YDR182W	genemark-ZYBA0S01-processed-gene-11.70-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.70&CDS=1-1443
937	OG0000937	YDR183W	genemark-ZYBA0S01-processed-gene-11.71-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.71&CDS=1-600
938	OG0000938	YDR184C	augustus_masked-ZYBA0S01-processed-gene-11.39-mRNA-1_1&gene=augustus_masked-ZYBA0S01-processed-gene-11.39&CDS=1-759
939	OG0000939	YDR186C	augustus_masked-ZYBA0S01-processed-gene-11.41-mRNA-1_1&gene=augustus_masked-ZYBA0S01-processed-gene-11.41&CDS=1-2829
940	OG0000940	YDR188W	genemark-ZYBA0S01-processed-gene-11.75-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.75&CDS=1-1638
941	OG0000941	YDR189W	genemark-ZYBA0S01-processed-gene-11.76-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.76&CDS=1-1947
942	OG0000942	YDR190C	genemark-ZYBA0S01-processed-gene-11.96-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.96&CDS=1-1389
943	OG0000943	YDR191W	genemark-ZYBA0S01-processed-gene-11.77-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.77&CDS=1-1128
944	OG0000944	YDR192C	augustus_masked-ZYBA0S01-processed-gene-11.44-mRNA-1_1&gene=augustus_masked-ZYBA0S01-processed-gene-11.44&CDS=1-1662
945	OG0000945	YDR194C	genemark-ZYBA0S01-processed-gene-11.100-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.100&CDS=1-1872
946	OG0000946	YDR195W	genemark-ZYBA0S01-processed-gene-11.78-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.78&CDS=1-1389
947	OG0000947	YDR196C	genemark-ZYBA0S01-processed-gene-11.101-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.101&CDS=1-714
948	OG0000948	YDR197W	augustus_masked-ZYBA0S01-processed-gene-11.26-mRNA-1_1&gene=augustus_masked-ZYBA0S01-processed-gene-11.26&CDS=1-1113
949	OG0000949	YDR198C	genemark-ZYBA0S01-processed-gene-11.102-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-11.102&CDS=1-1362
950	OG0000950	YDR201W	genemark-ZYBA0S01-processed-gene-12.4-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-12.4&CDS=1-471
951	OG0000951	YDR202C	genemark-ZYBA0S01-processed-gene-12.8-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-12.8&CDS=1-1017
