	OrthologID	Saccharomyces_cerevisiae	Starmerella_bombicola_JCM9596
589	OG0000589	YBR256C	-processed-gene-7.80-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-7.80&CDS=1-666
590	OG0000590	YBR257W	-processed-gene-11.74-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-11.74&CDS=1-636
591	OG0000591	YBR260C	-snap-gene-28.195-mRNA-1_1&gene=maker-gi|1002316118|dbj|BCGO01000001.1|-snap-gene-28.195&CDS=1-2022
592	OG0000592	YBR261C	-processed-gene-25.2-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-25.2&CDS=1-699
593	OG0000593	YBR265W	-processed-gene-2.81-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-2.81&CDS=1-861
594	OG0000594	YBR268W	-processed-gene-26.8-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-26.8&CDS=1-291
595	OG0000595	YBR269C	-processed-gene-27.82-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-27.82&CDS=1-294
596	OG0000596	YBR271W	-processed-gene-11.75-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-11.75&CDS=1-849
597	OG0000597	YBR279W	-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-6.108&CDS=1-1272
598	OG0000598	YBR281C	-processed-gene-3.50-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-3.50&CDS=1-2697
599	OG0000599	YBR282W	-processed-gene-3.90-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-3.90&CDS=1-414
600	OG0000600	YBR286W	-processed-gene-9.50-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-9.50&CDS=1-1491
601	OG0000601	YBR287W	-processed-gene-16.61-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-16.61&CDS=1-1323
602	OG0000602	YBR289W	-processed-gene-9.66-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-9.66&CDS=1-1626
603	OG0000603	YBR290W	-processed-gene-21.90-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-21.90&CDS=1-993
604	OG0000604	YCL001W	-processed-gene-20.69-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-20.69&CDS=1-558
605	OG0000605	YCL004W	-processed-gene-2.139-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-2.139&CDS=1-1341
606	OG0000606	YCL005W-A	-processed-gene-14.137-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-14.137&CDS=1-207
607	OG0000607	YCL009C	-processed-gene-14.75-mRNA-1_1&gene=augustus_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-14.75&CDS=1-1611
608	OG0000608	YCL010C	-processed-gene-2.122-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-2.122&CDS=1-951
609	OG0000609	YCL012C	-processed-gene-5.88-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-5.88&CDS=1-753
610	OG0000610	YCL014W	-processed-gene-6.122-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-6.122&CDS=1-3831
611	OG0000611	YCL016C	-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-6.91&CDS=1-972
612	OG0000612	YCL017C	-processed-gene-19.46-mRNA-1_1&gene=augustus_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-19.46&CDS=1-1578
613	OG0000613	YCL018W	-processed-gene-5.20-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-5.20&CDS=1-1104
614	OG0000614	YCL030C	-processed-gene-11.31-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-11.31&CDS=1-2403
615	OG0000615	YCL031C	-processed-gene-28.37-mRNA-1_1&gene=augustus_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-28.37&CDS=1-732
616	OG0000616	YCL032W	-processed-gene-14.86-mRNA-1_1&gene=augustus_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-14.86&CDS=1-1146
617	OG0000617	YCL033C	-processed-gene-9.99-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-9.99&CDS=1-393
618	OG0000618	YCL034W	-processed-gene-9.17-mRNA-1_1&gene=augustus_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-9.17&CDS=1-1167
619	OG0000619	YCL038C	-augustus-gene-14.115-mRNA-1_1&gene=maker-gi|1002316116|dbj|BCGO01000003.1|-augustus-gene-14.115&CDS=1-2154
620	OG0000620	YCL043C	-processed-gene-8.90-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-8.90&CDS=1-1500
621	OG0000621	YCL045C	-processed-gene-5.70-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-5.70&CDS=1-1908
622	OG0000622	YCL047C	-processed-gene-11.66-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-11.66&CDS=1-732
623	OG0000623	YCL052C	-processed-gene-13.150-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-13.150&CDS=1-1281
624	OG0000624	YCL054W	-processed-gene-13.60-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-13.60&CDS=1-2412
625	OG0000625	YCL055W	-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-6.40&CDS=1-957
626	OG0000626	YCL057C-A	-processed-gene-26.105-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-26.105&CDS=1-258
627	OG0000627	YCL059C	-processed-gene-25.67-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-25.67&CDS=1-921
628	OG0000628	YCR002C	-processed-gene-16.102-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-16.102&CDS=1-936
629	OG0000629	YCR003W	-processed-gene-17.87-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-17.87&CDS=1-564
630	OG0000630	YCR009C	-processed-gene-10.78-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-10.78&CDS=1-780
631	OG0000631	YCR011C	-processed-gene-12.25-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-12.25&CDS=1-2760
632	OG0000632	YCR012W	-processed-gene-11.131-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-11.131&CDS=1-1248
633	OG0000633	YCR014C	-processed-gene-11.111-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-11.111&CDS=1-1326
634	OG0000634	YCR016W	-processed-gene-11.110-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-11.110&CDS=1-693
635	OG0000635	YCR017C	-processed-gene-9.122-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-9.122&CDS=1-2811
636	OG0000636	YCR020C	-processed-gene-14.105-mRNA-1_1&gene=augustus_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-14.105&CDS=1-672
637	OG0000637	YCR026C	-processed-gene-16.94-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-16.94&CDS=1-1674
638	OG0000638	YCR027C	-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-5.13&CDS=1-558
639	OG0000639	YCR028C-A	-processed-gene-5.6-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-5.6&CDS=1-426
640	OG0000640	YCR030C	-processed-gene-2.1-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-2.1&CDS=1-2574
641	OG0000641	YCR033W	-processed-gene-7.104-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-7.104&CDS=1-3228
642	OG0000642	YCR034W	-processed-gene-17.2-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-17.2&CDS=1-1074
643	OG0000643	YCR035C	-processed-gene-0.45-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-0.45&CDS=1-762
644	OG0000644	YCR036W	-processed-gene-0.59-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-0.59&CDS=1-900
645	OG0000645	YCR042C	-processed-gene-15.108-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-15.108&CDS=1-3723
646	OG0000646	YCR044C	-processed-gene-17.5-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-17.5&CDS=1-720
647	OG0000647	YCR046C	-processed-gene-28.106-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-28.106&CDS=1-531
648	OG0000648	YCR047C	-processed-gene-21.79-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-21.79&CDS=1-795
649	OG0000649	YCR051W	-processed-gene-21.101-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-21.101&CDS=1-585
650	OG0000650	YCR053W	-processed-gene-18.74-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-18.74&CDS=1-1500
651	OG0000651	YCR054C	-processed-gene-18.81-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-18.81&CDS=1-1401
652	OG0000652	YCR057C	-processed-gene-18.58-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-18.58&CDS=1-2571
653	OG0000653	YCR059C	-processed-gene-18.82-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-18.82&CDS=1-765
654	OG0000654	YCR061W	-processed-gene-9.86-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-9.86&CDS=1-1857
655	OG0000655	YCR066W	-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-1.61&CDS=1-993
656	OG0000656	YCR068W	-processed-gene-3.51-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-3.51&CDS=1-1557
657	OG0000657	YCR071C	-processed-gene-7.63-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-7.63&CDS=1-483
658	OG0000658	YCR072C	-processed-gene-7.62-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-7.62&CDS=1-1548
659	OG0000659	YCR075C	-processed-gene-10.58-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-10.58&CDS=1-816
660	OG0000660	YCR077C	-processed-gene-13.1-mRNA-1_1&gene=augustus_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-13.1&CDS=1-2583
661	OG0000661	YCR079W	-processed-gene-10.91-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-10.91&CDS=1-999
662	OG0000662	YCR081W	-processed-gene-10.59-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-10.59&CDS=1-3753
663	OG0000663	YCR084C	-processed-gene-20.90-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-20.90&CDS=1-2181
664	OG0000664	YCR088W	-processed-gene-26.108-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-26.108&CDS=1-1896
665	OG0000665	YCR093W	-processed-gene-22.115-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-22.115&CDS=1-5361
666	OG0000666	YCR094W	-processed-gene-11.91-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-11.91&CDS=1-1128
667	OG0000667	YDL001W	-processed-gene-24.61-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-24.61&CDS=1-1221
668	OG0000668	YDL004W	-processed-gene-19.123-mRNA-1_1&gene=augustus_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-19.123&CDS=1-492
669	OG0000669	YDL006W	-processed-gene-19.224-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-19.224&CDS=1-1113
670	OG0000670	YDL007W	-processed-gene-19.223-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-19.223&CDS=1-1317
671	OG0000671	YDL014W	-processed-gene-15.139-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-15.139&CDS=1-903
672	OG0000672	YDL015C	-processed-gene-13.52-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-13.52&CDS=1-978
673	OG0000673	YDL017W	-processed-gene-15.158-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-15.158&CDS=1-1119
674	OG0000674	YDL028C	-processed-gene-22.28-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-22.28&CDS=1-1410
675	OG0000675	YDL029W	-processed-gene-11.42-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-11.42&CDS=1-1170
676	OG0000676	YDL030W	-processed-gene-8.129-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-8.129&CDS=1-1359
677	OG0000677	YDL031W	-processed-gene-4.108-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-4.108&CDS=1-2514
678	OG0000678	YDL033C	-processed-gene-12.30-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-12.30&CDS=1-1203
679	OG0000679	YDL040C	-processed-gene-8.104-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-8.104&CDS=1-2442
680	OG0000680	YDL043C	-processed-gene-1.18-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-1.18&CDS=1-534
681	OG0000681	YDL045C	-processed-gene-28.135-mRNA-1_1&gene=genemark-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-28.135&CDS=1-687
682	OG0000682	YDL045W-A	-processed-gene-8.138-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-8.138&CDS=1-216
683	OG0000683	YDL046W	-processed-gene-2.157-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-2.157&CDS=1-516
684	OG0000684	YDL047W	-processed-gene-15.88-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-15.88&CDS=1-921
685	OG0000685	YDL051W	-processed-gene-6.66-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-6.66&CDS=1-864
686	OG0000686	YDL054C	-processed-gene-2.56-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-2.56&CDS=1-1242
687	OG0000687	YDL055C	-processed-gene-5.17-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-5.17&CDS=1-1080
688	OG0000688	YDL058W	-processed-gene-23.3-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-23.3&CDS=1-3417
689	OG0000689	YDL060W	-processed-gene-12.85-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-12.85&CDS=1-2286
690	OG0000690	YDL063C	-processed-gene-26.60-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-26.60&CDS=1-1599
691	OG0000691	YDL064W	-augustus-gene-3.116-mRNA-1_1&gene=maker-gi|1002316118|dbj|BCGO01000001.1|-augustus-gene-3.116&CDS=1-1422
692	OG0000692	YDL066W	-processed-gene-2.98-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-2.98&CDS=1-1221
693	OG0000693	YDL067C	-processed-gene-19.327-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-19.327&CDS=1-192
694	OG0000694	YDL072C	-processed-gene-27.124-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-27.124&CDS=1-564
695	OG0000695	YDL074C	-processed-gene-10.54-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-10.54&CDS=1-1743
696	OG0000696	YDL076C	-processed-gene-8.98-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-8.98&CDS=1-678
697	OG0000697	YDL084W	-processed-gene-24.26-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-24.26&CDS=1-1335
698	OG0000698	YDL090C	-processed-gene-20.68-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-20.68&CDS=1-1524
699	OG0000699	YDL092W	-processed-gene-27.51-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-27.51&CDS=1-324
700	OG0000700	YDL095W	-processed-gene-24.19-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-24.19&CDS=1-2694
701	OG0000701	YDL097C	-processed-gene-20.70-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-20.70&CDS=1-1281
702	OG0000702	YDL102W	-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-1.78&CDS=1-3204
703	OG0000703	YDL103C	-processed-gene-6.92-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-6.92&CDS=1-1389
704	OG0000704	YDL104C	-processed-gene-2.30-mRNA-1_1&gene=genemark-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-2.30&CDS=1-1128
705	OG0000705	YDL107W	-processed-gene-27.10-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-27.10&CDS=1-1014
706	OG0000706	YDL111C	-processed-gene-19.306-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-19.306&CDS=1-828
707	OG0000707	YDL112W	-processed-gene-19.253-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-19.253&CDS=1-3702
708	OG0000708	YDL113C	-processed-gene-15.47-mRNA-1_1&gene=augustus_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-15.47&CDS=1-4989
709	OG0000709	YDL114W	-processed-gene-9.112-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-9.112&CDS=1-1227
710	OG0000710	YDL116W	-processed-gene-18.88-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-18.88&CDS=1-1965
711	OG0000711	YDL119C	-processed-gene-0.44-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-0.44&CDS=1-867
712	OG0000712	YDL120W	-processed-gene-9.37-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-9.37&CDS=1-438
713	OG0000713	YDL122W	-processed-gene-7.82-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-7.82&CDS=1-1533
714	OG0000714	YDL125C	-processed-gene-8.76-mRNA-1_1&gene=augustus_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-8.76&CDS=1-1278
715	OG0000715	YDL128W	-processed-gene-13.80-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-13.80&CDS=1-1185
716	OG0000716	YDL130W	-processed-gene-7.152-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-7.152&CDS=1-327
717	OG0000717	YDL133W	-processed-gene-10.79-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-10.79&CDS=1-1449
718	OG0000718	YDL134C	-processed-gene-2.133-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-2.133&CDS=1-987
719	OG0000719	YDL140C	-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-6.111&CDS=1-5175
720	OG0000720	YDL141W	-augustus-gene-6.56-mRNA-1_1&gene=maker-gi|1002316115|dbj|BCGO01000004.1|-augustus-gene-6.56&CDS=1-2700
721	OG0000721	YDL142C	-processed-gene-27.6-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-27.6&CDS=1-552
722	OG0000722	YDL144C	-processed-gene-3.4-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-3.4&CDS=1-1011
723	OG0000723	YDL145C	-processed-gene-3.39-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-3.39&CDS=1-3732
724	OG0000724	YDL146W	-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-6.99&CDS=1-1380
725	OG0000725	YDL147W	-processed-gene-6.51-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-6.51&CDS=1-1362
726	OG0000726	YDL148C	-processed-gene-4.116-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-4.116&CDS=1-2298
727	OG0000727	YDL149W	-processed-gene-4.95-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-4.95&CDS=1-2016
728	OG0000728	YDL153C	-processed-gene-18.78-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-18.78&CDS=1-1662
729	OG0000729	YDL156W	-processed-gene-26.71-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-26.71&CDS=1-1593
730	OG0000730	YDL160C	-processed-gene-26.41-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-26.41&CDS=1-1983
731	OG0000731	YDL164C	-augustus-gene-25.197-mRNA-1_1&gene=maker-gi|1002316117|dbj|BCGO01000002.1|-augustus-gene-25.197&CDS=1-2370
732	OG0000732	YDL165W	-processed-gene-7.74-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-7.74&CDS=1-1050
733	OG0000733	YDL166C	-processed-gene-2.140-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-2.140&CDS=1-621
734	OG0000734	YDL168W	-processed-gene-8.77-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-8.77&CDS=1-1161
735	OG0000735	YDL170W	-processed-gene-13.78-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-13.78&CDS=1-1872
736	OG0000736	YDL171C	-processed-gene-4.94-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-4.94&CDS=1-6357
737	OG0000737	YDL177C	-processed-gene-4.87-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-4.87&CDS=1-288
738	OG0000738	YDL178W	-processed-gene-4.105-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-4.105&CDS=1-1536
739	OG0000739	YDL182W	-processed-gene-1.64-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-1.64&CDS=1-1305
740	OG0000740	YDL183C	-processed-gene-5.68-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-5.68&CDS=1-783
741	OG0000741	YDL185W	-processed-gene-2.134-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-2.134&CDS=1-3183
742	OG0000742	YDL190C	-processed-gene-14.70-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-14.70&CDS=1-3120
743	OG0000743	YDL193W	-processed-gene-7.58-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-7.58&CDS=1-918
744	OG0000744	YDL195W	-processed-gene-5.59-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-5.59&CDS=1-3420
745	OG0000745	YDL198C	-processed-gene-16.80-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-16.80&CDS=1-900
746	OG0000746	YDL201W	-processed-gene-20.57-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-20.57&CDS=1-804
747	OG0000747	YDL202W	-processed-gene-6.156-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-6.156&CDS=1-639
748	OG0000748	YDL205C	-processed-gene-5.14-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-5.14&CDS=1-1113
749	OG0000749	YDL207W	-processed-gene-8.105-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-8.105&CDS=1-1449
750	OG0000750	YDL208W	-processed-gene-16.85-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-16.85&CDS=1-468
751	OG0000751	YDL209C	-processed-gene-2.63-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-2.63&CDS=1-912
752	OG0000752	YDL212W	-processed-gene-2.134-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-2.134&CDS=1-603
