	OrthologID	Fusarium_graminearum	Saccharomyces_cerevisiae
289	OG0000289	XP_011318440.1	YDR409W, YOR156C
290	OG0000290	XP_011318462.1	YGL133W, YPL216W
291	OG0000291	XP_011318479.1	YGL076C, YPL198W
292	OG0000292	XP_011318486.1, XP_011321013.1	YKL128C
293	OG0000293	XP_011318497.1	YJL083W, YKR019C
294	OG0000294	XP_011318502.1	YHR115C, YNL116W
295	OG0000295	XP_011318530.1	YNL302C, YOL121C
296	OG0000296	XP_011318543.1, XP_011318652.1	YGL225W
297	OG0000297	XP_011318576.1	YDL036C, YOL066C
298	OG0000298	XP_011318608.1, XP_011323279.1	YJR078W
299	OG0000299	XP_011318637.1, XP_011322347.1	YPL123C
300	OG0000300	XP_011318655.1	YKL121W, YMR102C
301	OG0000301	XP_011318669.1	YIL085C, YNL029C
302	OG0000302	XP_011318709.1	YJL079C, YKR013W
303	OG0000303	XP_011318738.1	YOR237W, YPL145C
304	OG0000304	XP_011318742.1	YLR260W, YOR171C
305	OG0000305	XP_011318768.1	YNL301C, YOL120C
306	OG0000306	XP_011318776.1	YBL027W, YBR084C-A
307	OG0000307	XP_011318786.1, XP_011327742.1	YKR070W
308	OG0000308	XP_011318834.1	YHR117W, YNL121C
309	OG0000309	XP_011318840.1	YIL114C, YNL055C
310	OG0000310	XP_011318885.1	YFL034C-A, YLR061W
311	OG0000311	XP_011318898.1	YGR141W, YPR157W
312	OG0000312	XP_011318902.1	YHR132W-A, YNL157W
313	OG0000313	XP_011318920.1, XP_011326099.1	YLR063W
314	OG0000314	XP_011318940.1	YBL085W, YER114C
315	OG0000315	XP_011318968.1	YCR094W, YNR048W
316	OG0000316	XP_011318998.1	YAR002C-A, YGL002W
317	OG0000317	XP_011319033.1, XP_011320990.1	YPL069C
318	OG0000318	XP_011319057.1, XP_011322619.1	YKL218C
319	OG0000319	XP_011319092.1	YGR038W, YLR350W
320	OG0000320	XP_011319108.1, XP_011322155.1	YAL053W
321	OG0000321	XP_011319123.1	YHR141C, YNL162W
322	OG0000322	XP_011319148.1	YAL015C, YOL043C
323	OG0000323	XP_011319188.1	YBL056W, YER089C
324	OG0000324	XP_011319254.1	YEL006W, YIL006W
325	OG0000325	XP_011319279.1	YDR185C, YLR168C
326	OG0000326	XP_011319342.1	YBL091C-A, YER120W
327	OG0000327	XP_011319348.1	YKL132C, YMR113W
328	OG0000328	XP_011319481.1, XP_011326891.1	YCL039W
329	OG0000329	XP_011319517.1	YJL098W, YKR028W
330	OG0000330	XP_011319521.1, XP_011327034.1	YJL190C
331	OG0000331	XP_011319750.1, XP_011321044.1	YFL017C
332	OG0000332	XP_011319753.1	YDR368W, YOR120W
333	OG0000333	XP_011319811.1	YBR191W, YPL079W
334	OG0000334	XP_011319849.1	YBR273C, YJL048C
335	OG0000335	XP_011319855.1, XP_011323985.1	YLR229C
336	OG0000336	XP_011319862.1	YGR136W, YPR154W
337	OG0000337	XP_011319920.1, XP_011320028.1	YDR423C
338	OG0000338	XP_011319958.1, XP_011323650.1	YBR151W
339	OG0000339	XP_011320005.1	YDR348C, YHR097C
340	OG0000340	XP_011320008.1, XP_011322519.1	YNL217W
341	OG0000341	XP_011320018.1	YHR203C, YJR145C
342	OG0000342	XP_011320031.1	YGR238C, YHR158C
343	OG0000343	XP_011320034.1	YIR031C, YNL117W
344	OG0000344	XP_011320049.1	YLR456W, YPR172W
345	OG0000345	XP_011320063.1	YGL031C, YGR148C
346	OG0000346	XP_011320065.1	YDR252W, YPL037C
347	OG0000347	XP_011320071.1	YDR500C, YLR185W
348	OG0000348	XP_011320073.1, XP_011328773.1	YJR099W
349	OG0000349	XP_011320108.1	YGR092W, YPR111W
350	OG0000350	XP_011320128.1	YDR253C, YPL038W
351	OG0000351	XP_011320164.1	YAR042W, YDL019C
352	OG0000352	XP_011320183.1	YGR243W, YHR162W
353	OG0000353	XP_011320191.1	YHL001W, YKL006W
354	OG0000354	XP_011320207.1, XP_011322504.1	YHL032C
355	OG0000355	XP_011320216.1	YCR026C, YEL016C
356	OG0000356	XP_011320276.1	YKL068W, YMR047C
357	OG0000357	XP_011320278.1	YDL161W, YLR206W
358	OG0000358	XP_011320286.1	YHL033C, YLL045C
359	OG0000359	XP_011320297.1, XP_011322636.1	YBR160W
360	OG0000360	XP_011320426.1	YGR004W, YLR324W
361	OG0000361	XP_011320432.1, XP_011328834.1	YAL044C
362	OG0000362	XP_011320454.1	YDL082W, YMR142C
363	OG0000363	XP_011320655.1	YNL299W, YOL115W
364	OG0000364	XP_011320685.1, XP_011322085.1	YMR041C
365	OG0000365	XP_011320838.1	YMR253C, YPL264C
366	OG0000366	XP_011320886.1, XP_011324378.1	YPL248C
367	OG0000367	XP_011320889.1, XP_011326999.1	YOR126C
368	OG0000368	XP_011320897.1, XP_011326033.1	YDR538W
369	OG0000369	XP_011320898.1, XP_011326032.1	YDR539W
370	OG0000370	XP_011321017.1	YKR072C, YOR054C
371	OG0000371	XP_011321108.1	YBR241C, YGL104C
372	OG0000372	XP_011321121.1	YER074W, YIL069C
373	OG0000373	XP_011321143.1	YOR389W, YPL277C
374	OG0000374	XP_011321182.1	YDL070W, YLR399C
375	OG0000375	XP_011321184.1	YHL039W, YPL208W
376	OG0000376	XP_011321200.1, XP_011325766.1	YBL057C
377	OG0000377	XP_011321300.1	YIL111W, YNL052W
378	OG0000378	XP_011321327.1	YBR010W, YNL031C
379	OG0000379	XP_011321339.1	YEL022W, YJR031C
380	OG0000380	XP_011321360.1, XP_011322052.1	YMR226C
381	OG0000381	XP_011321417.1, XP_011327364.1	YKL070W
382	OG0000382	XP_011321424.1, XP_011324487.1	YKL217W
383	OG0000383	XP_011321444.1	YBR172C, YPL105C
384	OG0000384	XP_011321474.1	YOR390W, YPL279C
385	OG0000385	XP_011321481.1	YER056C-A, YIL052C
386	OG0000386	XP_011321495.1	YDL083C, YMR143W
387	OG0000387	XP_011321505.1, XP_011323280.1	YLR231C
388	OG0000388	XP_011321555.1	YBR020W, YDR009W
389	OG0000389	XP_011321594.1, XP_011321850.1	YKR050W
390	OG0000390	XP_011321621.1	YNL293W, YOL112W
391	OG0000391	XP_011321623.1	YMR237W, YOR299W
392	OG0000392	XP_011321627.1	YDR312W, YHR066W
393	OG0000393	XP_011321681.1	YJL082W, YKR018C
394	OG0000394	XP_011321696.1, XP_011327938.1	YBR086C
395	OG0000395	XP_011321737.1, XP_011327706.1	YBR291C
396	OG0000396	XP_011321766.1, XP_011323825.1	YMR262W
397	OG0000397	XP_011321884.1	YBR161W, YPL057C
398	OG0000398	XP_011321889.1, XP_011328485.1	YOL147C
399	OG0000399	XP_011321927.1, XP_011326534.1	YMR020W
400	OG0000400	XP_011321985.1, XP_011323846.1	YML054C
401	OG0000401	XP_011322064.1, XP_011325740.1	YAL067C
402	OG0000402	XP_011322108.1, XP_011324874.1	YLR452C
403	OG0000403	XP_011322215.1, XP_011323589.1	YNL123W
404	OG0000404	XP_011322346.1	YBR015C, YJL186W
405	OG0000405	XP_011322429.1	YEL070W, YNR073C
406	OG0000406	XP_011322566.1, XP_011325357.1	YJR153W
407	OG0000407	XP_011322584.1	YDR453C, YML028W
408	OG0000408	XP_011322592.1, XP_011326065.1	YNR064C
409	OG0000409	XP_011322604.1, XP_011328588.1	YHL008C
410	OG0000410	XP_011322704.1, XP_011326993.1	YER023W
411	OG0000411	XP_011322716.1	YBR054W, YDR033W
412	OG0000412	XP_011322766.1, XP_011326469.1	YNL275W
413	OG0000413	XP_011322835.1, XP_011328215.1	YGL159W
414	OG0000414	XP_011322997.1, XP_011328453.1	YOR032C
415	OG0000415	XP_011323022.1	YAL034C, YOR338W
416	OG0000416	XP_011323031.1, XP_011324322.1	YML008C
417	OG0000417	XP_011323316.1, XP_011326620.1	YIL043C
418	OG0000418	XP_011323347.1, XP_011327050.1	YJL097W
419	OG0000419	XP_011323384.1	YLR287C-A, YOR182C
420	OG0000420	XP_011323422.1	YDR501W, YLR183C
421	OG0000421	XP_011323505.1	YDL022W, YOL059W
422	OG0000422	XP_011323528.1, XP_011328526.1	YJL108C
423	OG0000423	XP_011323558.1	YDL109C, YGL144C
424	OG0000424	XP_011323610.1, XP_011325903.1	YCR036W
425	OG0000425	XP_011323677.1, XP_011324320.1	YBL055C
426	OG0000426	XP_011323788.1	YBR021W, YIR028W
427	OG0000427	XP_011323815.1, XP_011323989.1	YJR040W
428	OG0000428	XP_011323853.1, XP_011324185.1	YEL046C
429	OG0000429	XP_011323855.1	YIL149C, YKR095W
430	OG0000430	XP_011323915.1	YIL131C, YNL068C
431	OG0000431	XP_011323929.1	YLL016W, YLR310C
432	OG0000432	XP_011323935.1	YHL017W, YKL039W
433	OG0000433	XP_011323937.1, XP_011327178.1	YPR161C
434	OG0000434	XP_011323958.1	YGL049C, YGR162W
435	OG0000435	XP_011324016.1	YGL096W, YPL177C
436	OG0000436	XP_011324052.1	YMR177W, YPL224C
437	OG0000437	XP_011324072.1	YHL003C, YKL008C
438	OG0000438	XP_011324092.1	YDR389W, YOR134W
439	OG0000439	XP_011324104.1, XP_011326395.1	YGR019W
440	OG0000440	XP_011324137.1	YHR133C, YNL156C
441	OG0000441	XP_011324148.1, XP_011325426.1	YHR067W
442	OG0000442	XP_011324156.1	YLL012W, YLR020C
443	OG0000443	XP_011324193.1	YER059W, YIL050W
444	OG0000444	XP_011324203.1	YDR447C, YML024W
445	OG0000445	XP_011324204.1	YDR066C, YER139C
446	OG0000446	XP_011324217.1, XP_011328573.1	YMR266W
447	OG0000447	XP_011324226.1, XP_011327726.1	YML123C
448	OG0000448	XP_011324242.1	YBL079W, YER105C
449	OG0000449	XP_011324273.1	YML100W, YMR261C
450	OG0000450	XP_011324316.1, XP_011327101.1	YDR523C
451	OG0000451	XP_011324362.1	YMR233W, YOR295W
452	OG0000452	XP_011324437.1, XP_011327369.1	YDR536W
453	OG0000453	XP_011324446.1	YKL126W, YMR104C
454	OG0000454	XP_011324564.1, XP_011324729.1	YHL021C
455	OG0000455	XP_011324599.1, XP_011326691.1	YCR059C
456	OG0000456	XP_011324618.1	YDR471W, YHR010W
457	OG0000457	XP_011324639.1	YGR027C, YLR333C
458	OG0000458	XP_011324645.1	YDR132C, YLR108C
459	OG0000459	XP_011324647.1	YJL134W, YKR053C
460	OG0000460	XP_011324739.1	YAL007C, YOR016C
461	OG0000461	XP_011324775.1	YDR438W, YML018C
462	OG0000462	XP_011324782.1	YBR244W, YIR037W
463	OG0000463	XP_011324799.1	YML106W, YMR271C
464	OG0000464	XP_011324834.1	YDR379W, YOR127W
465	OG0000465	XP_011324920.1	YMR230W, YOR293W
466	OG0000466	XP_011324928.1, XP_011325918.1	YIL099W
467	OG0000467	XP_011324952.1	YBR104W, YPR058W
468	OG0000468	XP_011324965.1	YDR146C, YLR131C
469	OG0000469	XP_011325007.1	YDR358W, YHR108W
470	OG0000470	XP_011325035.1	YIL105C, YNL047C
471	OG0000471	XP_011325071.1	YHR021C, YKL156W
472	OG0000472	XP_011325093.1	YBR267W, YLR387C
473	OG0000473	XP_011325335.1, XP_011327074.1	YGR281W
474	OG0000474	XP_011325416.1, XP_011325439.1	YOR320C
475	OG0000475	XP_011325432.1	YER131W, YGL189C
476	OG0000476	XP_011325465.1, XP_011328193.1	YIR023W
477	OG0000477	XP_011325475.1	YGR214W, YLR048W
478	OG0000478	XP_011325505.1	YEL039C, YJR048W
479	OG0000479	XP_011325530.1, XP_011328645.1	YLR299W
480	OG0000480	XP_011325547.1	YGR034W, YLR344W
481	OG0000481	XP_011325581.1	YBR049C, YDR026C
482	OG0000482	XP_011325676.1	YGR118W, YPR132W
483	OG0000483	XP_011325683.1, XP_011326247.1	YGL212W
484	OG0000484	XP_011325688.1	YCR052W, YNR023W
485	OG0000485	XP_011325699.1	YBR140C, YOL081W
486	OG0000486	XP_011325781.1, XP_011326845.1	YDR428C
487	OG0000487	XP_011325939.1, XP_011327795.1	YLR380W
488	OG0000488	XP_011326014.1, XP_011328563.1	YGL252C
489	OG0000489	XP_011326016.1, XP_011328543.1	YJL093C
490	OG0000490	XP_011326153.1	YDR264C, YOR034C
491	OG0000491	XP_011326203.1	YNL096C, YOR096W
492	OG0000492	XP_011326223.1	YDL242W, YPR079W
493	OG0000493	XP_011326225.1	YCL050C, YDR530C
494	OG0000494	XP_011326238.1, XP_011328830.1	YMR318C
495	OG0000495	XP_011326252.1	YNL104C, YOR108W
496	OG0000496	XP_011326328.1, XP_011327670.1	YBR265W
497	OG0000497	XP_011326343.1	YHR131C, YNL144C
498	OG0000498	XP_011326359.1	YCL036W, YDR514C
499	OG0000499	XP_011326404.1	YJR094W-A, YPR043W
500	OG0000500	XP_011326499.1	YDL130W-A, YDL181W
501	OG0000501	XP_011326518.1	YHR001W, YKR003W
502	OG0000502	XP_011326547.1	YNL087W, YOR086C
503	OG0000503	XP_011326558.1	YDR450W, YML026C
504	OG0000504	XP_011326591.1	YGL135W, YPL220W
505	OG0000505	XP_011326594.1	YHR155W, YNL257C
506	OG0000506	XP_011326599.1	YFR031C-A, YIL018W
507	OG0000507	XP_011326632.1	YJR091C, YPR042C
508	OG0000508	XP_011326646.1	YNL108C, YOR110W
509	OG0000509	XP_011326649.1	YAL017W, YOL045W
510	OG0000510	XP_011326656.1	YIL113W, YNL053W
511	OG0000511	XP_011326719.1	YCR073W-A, YNR034W
512	OG0000512	XP_011326736.1	YDR263C, YOR033C
513	OG0000513	XP_011326797.1	YER062C, YIL053W
514	OG0000514	XP_011326805.1, XP_011328185.1	YOL064C
515	OG0000515	XP_011326859.1	YDR272W, YOR040W
516	OG0000516	XP_011326879.1	YCL064C, YIL167W
517	OG0000517	XP_011326903.1	YDL061C, YLR388W
518	OG0000518	XP_011326908.1	YBR031W, YDR012W
519	OG0000519	XP_011327169.1	YKL081W, YPL048W
520	OG0000520	XP_011327176.1	YER027C, YGL208W
521	OG0000521	XP_011327196.1	YKL050C, YMR031C
522	OG0000522	XP_011327274.1	YMR180C, YPL228W
523	OG0000523	XP_011327334.1	YKR089C, YOR081C
524	OG0000524	XP_011327383.1	YEL066W, YPR193C
525	OG0000525	XP_011327785.1	YBR214W, YGL056C
526	OG0000526	XP_011327787.1	YGR279C, YMR305C
527	OG0000527	XP_011327810.1	YGR056W, YLR357W
528	OG0000528	XP_011327820.1	YBL002W, YDR224C
529	OG0000529	XP_011327825.1	YJR130C, YML082W
530	OG0000530	XP_011327833.1	YJL133W, YKR052C
531	OG0000531	XP_011327842.1	YCL011C, YNL004W
532	OG0000532	XP_011327852.1	YDR259C, YOR028C
533	OG0000533	XP_011327876.1	YLR270W, YOR173W
534	OG0000534	XP_011327925.1, XP_011328377.1	YPR022C
535	OG0000535	XP_011328041.1	YDR107C, YLR083C
536	OG0000536	XP_011328126.1	YJL105W, YKR029C
537	OG0000537	XP_011328137.1	YDR385W, YOR133W
538	OG0000538	XP_011328174.1	YBR024W, YBR037C
539	OG0000539	XP_011328177.1	YDR147W, YLR133W
540	OG0000540	XP_011328245.1	YJR054W, YML047C
541	OG0000541	XP_011328247.1	YGR010W, YLR328W
542	OG0000542	XP_011328300.1	YBL089W, YER119C
543	OG0000543	XP_011328306.1	YMR222C, YOR280C
544	OG0000544	XP_011328371.1	YCR010C, YNR002C
545	OG0000545	XP_011328493.1	YDR122W, YLR096W
546	OG0000546	XP_011328538.1	YML109W, YMR273C
547	OG0000547	XP_011328554.1	YDR200C, YLR238W
548	OG0000548	XP_011328559.1	YIR035C, YIR036C
549	OG0000549	XP_011328582.1	YLR450W, YML075C
550	OG0000550	XP_011328615.1	YGR241C, YHR161C
551	OG0000551		YCL067C, YCR039C, YCR096C
552	OG0000552	XP_011315780.1	YPR166C
553	OG0000553	XP_011315781.1	YNL245C
554	OG0000554	XP_011315782.1	YIL118W
555	OG0000555	XP_011315792.1	YBR111C
556	OG0000556	XP_011315805.1	YJR050W
557	OG0000557	XP_011315806.1	YEL002C
558	OG0000558	XP_011315808.1	YCR032W
559	OG0000559	XP_011315810.1	YEL060C
560	OG0000560	XP_011315900.1	YHR202W
561	OG0000561	XP_011315902.1	YCL045C
562	OG0000562	XP_011315905.1	YER048W-A
563	OG0000563	XP_011315911.1	YOR209C
564	OG0000564	XP_011315912.1	YDR324C
565	OG0000565	XP_011315915.1	YPL096W
566	OG0000566	XP_011315923.1	YGR286C
567	OG0000567	XP_011315926.1	YGR252W
568	OG0000568	XP_011315929.1	YDR182W
569	OG0000569	XP_011315933.1	YOL139C
570	OG0000570	XP_011315935.1	YAL044W-A
571	OG0000571	XP_011315937.1	YFR019W
572	OG0000572	XP_011315938.1	YOL009C
573	OG0000573	XP_011315939.1	YPL065W
574	OG0000574	XP_011315940.1	YOR206W
575	OG0000575	XP_011315944.1	YER086W
576	OG0000576	XP_011315946.1	YBR002C
577	OG0000577	XP_011315947.1	YMR196W
578	OG0000578	XP_011315948.1	YDR298C
579	OG0000579	XP_011315949.1	YIL106W
580	OG0000580	XP_011315950.1	YKL149C
581	OG0000581	XP_011315951.1	YPL046C
582	OG0000582	XP_011315953.1	YOR232W
583	OG0000583	XP_011315954.1	YDL097C
584	OG0000584	XP_011315957.1	YEL053C
585	OG0000585	XP_011315968.1	YML014W
586	OG0000586	XP_011315972.1	YHR068W
587	OG0000587	XP_011315974.1	YDR016C
588	OG0000588	XP_011315976.1	YOR217W
589	OG0000589	XP_011315977.1	YBL038W
590	OG0000590	XP_011315978.1	YBR087W
591	OG0000591	XP_011315983.1	YOL107W
592	OG0000592	XP_011315985.1	YPL190C
593	OG0000593	XP_011315986.1	YOL114C
594	OG0000594	XP_011315988.1	YKL004W
595	OG0000595	XP_011315992.1	YLL035W
596	OG0000596	XP_011316003.1	YNR050C
597	OG0000597	XP_011316006.1	YMR061W
598	OG0000598	XP_011316007.1	YJL115W
599	OG0000599	XP_011316009.1	YGL237C
600	OG0000600	XP_011316015.1	YDR140W
601	OG0000601	XP_011316016.1	YGR074W
602	OG0000602	XP_011316018.1	YBL026W
603	OG0000603	XP_011316019.1	YMR137C
604	OG0000604	XP_011316022.1	YGR099W
605	OG0000605	XP_011316023.1	YPR066W
606	OG0000606	XP_011316024.1	YPR110C
607	OG0000607	XP_011316027.1	YOR157C
608	OG0000608	XP_011316028.1	YBR007C
609	OG0000609	XP_011316031.1	YAL042W
610	OG0000610	XP_011316034.1	YPR144C
611	OG0000611	XP_011316035.1	YPL078C
612	OG0000612	XP_011316037.1	YGR255C
613	OG0000613	XP_011316042.1	YPL072W
614	OG0000614	XP_011316044.1	YPR049C
615	OG0000615	XP_011316049.1	YMR105C
616	OG0000616	XP_011316050.1	YLR059C
617	OG0000617	XP_011316057.1	YOL040C
618	OG0000618	XP_011316060.1	YOL041C
619	OG0000619	XP_011316061.1	YAL013W
620	OG0000620	XP_011316062.1	YAL043C
621	OG0000621	XP_011316070.1	YNL202W
622	OG0000622	XP_011316075.1	YLR245C
623	OG0000623	XP_011316083.1	YKR080W
624	OG0000624	XP_011316086.1	YLR243W
625	OG0000625	XP_011316087.1	YDR502C
626	OG0000626	XP_011316092.1	YER007W
627	OG0000627	XP_011316095.1	YDR488C
628	OG0000628	XP_011316096.1	YDR322C-A
629	OG0000629	XP_011316097.1	YGL022W
630	OG0000630	XP_011316104.1	YOR004W
631	OG0000631	XP_011316105.1	YFL034W
632	OG0000632	XP_011316108.1	YDR084C
633	OG0000633	XP_011316112.1	YER163C
634	OG0000634	XP_011316113.1	YGR058W
635	OG0000635	XP_011316117.1	YKR086W
636	OG0000636	XP_011316118.1	YLR196W
637	OG0000637	XP_011316123.1	YHR112C
638	OG0000638	XP_011316129.1	YDR191W
639	OG0000639	XP_011316136.1	YJR022W
640	OG0000640	XP_011316138.1	YPR178W
641	OG0000641	XP_011316142.1	YLR295C
642	OG0000642	XP_011316143.1	YHR205W
643	OG0000643	XP_011316148.1	YNL240C
644	OG0000644	XP_011316155.1	YDR489W
645	OG0000645	XP_011316158.1	YJL069C
646	OG0000646	XP_011316164.1	YAL058W
647	OG0000647	XP_011316167.1	YJR024C
648	OG0000648	XP_011316169.1	YMR225C
649	OG0000649	XP_011316170.1	YBR011C
650	OG0000650	XP_011316173.1	YJL002C
651	OG0000651	XP_011316175.1	YDR465C
652	OG0000652	XP_011316176.1	YJL012C
653	OG0000653	XP_011316178.1	YPR019W
654	OG0000654	XP_011316179.1	YPL010W
655	OG0000655	XP_011316180.1	YGL169W
656	OG0000656	XP_011316181.1	YPR105C
657	OG0000657	XP_011316182.1	YGL167C
658	OG0000658	XP_011316184.1	YOR265W
659	OG0000659	XP_011316200.1	YKL035W
660	OG0000660	XP_011316217.1	YGR284C
661	OG0000661	XP_011316222.1	YFR028C
662	OG0000662	XP_011316228.1	YPL169C
663	OG0000663	XP_011316229.1	YIR002C
664	OG0000664	XP_011316232.1	YMR190C
665	OG0000665	XP_011316235.1	YDR171W
666	OG0000666	XP_011316237.1	YLL009C
667	OG0000667	XP_011316239.1	YDL143W
668	OG0000668	XP_011316240.1	YKL145W
669	OG0000669	XP_011316242.1	YOR065W
670	OG0000670	XP_011316243.1	YMR235C
671	OG0000671	XP_011316245.1	YOR362C
672	OG0000672	XP_011316246.1	YEL055C
673	OG0000673	XP_011316248.1	YMR036C
674	OG0000674	XP_011316249.1	YGR093W
675	OG0000675	XP_011316250.1	YBL004W
676	OG0000676	XP_011316251.1	YNL310C
677	OG0000677	XP_011316253.1	YLR321C
678	OG0000678	XP_011316266.1	YML097C
679	OG0000679	XP_011316274.1	YHR075C
680	OG0000680	XP_011316276.1	YJL121C
681	OG0000681	XP_011316277.1	YER049W
682	OG0000682	XP_011316279.1	YKL054C
683	OG0000683	XP_011316285.1	YPR086W
684	OG0000684	XP_011316286.1	YDR354W
685	OG0000685	XP_011316292.1	YML096W
686	OG0000686	XP_011316298.1	YJR143C
687	OG0000687	XP_011316300.1	YBR234C
688	OG0000688	XP_011316301.1	YIR009W
689	OG0000689	XP_011316303.1	YJR131W
690	OG0000690	XP_011316320.1	YDL015C
691	OG0000691	XP_011316323.1	YPL249C
692	OG0000692	XP_011316325.1	YDR457W
693	OG0000693	XP_011316328.1	YIL103W
694	OG0000694	XP_011316329.1	YBR127C
695	OG0000695	XP_011316335.1	YGR178C
696	OG0000696	XP_011316336.1	YPR191W
697	OG0000697	XP_011316337.1	YPR190C
698	OG0000698	XP_011316338.1	YDL198C
699	OG0000699	XP_011316340.1	YBR233W-A
700	OG0000700	XP_011316341.1	YBR251W
701	OG0000701	XP_011316345.1	YHR040W
702	OG0000702	XP_011316346.1	YKL040C
703	OG0000703	XP_011316349.1	YPR020W
704	OG0000704	XP_011316351.1	YOR194C
705	OG0000705	XP_011316355.1	YLR403W
706	OG0000706	XP_011316360.1	YLR401C
707	OG0000707	XP_011316361.1	YLR191W
708	OG0000708	XP_011316362.1	YML102W
709	OG0000709	XP_011316374.1	YOR061W
710	OG0000710	XP_011316376.1	YPL120W
711	OG0000711	XP_011316383.1	YOR241W
712	OG0000712	XP_011316385.1	YKR016W
713	OG0000713	XP_011316388.1	YKL212W
714	OG0000714	XP_011316390.1	YPL040C
715	OG0000715	XP_011316395.1	YLR459W
716	OG0000716	XP_011316396.1	YGR103W
717	OG0000717	XP_011316398.1	YBL063W
718	OG0000718	XP_011316403.1	YJL091C
719	OG0000719	XP_011316415.1	YNL250W
720	OG0000720	XP_011316418.1	YHR178W
721	OG0000721	XP_011316421.1	YDR255C
722	OG0000722	XP_011316423.1	YHR005C-A
723	OG0000723	XP_011316428.1	YHR204W
724	OG0000724	XP_011316440.1	YNL132W
725	OG0000725	XP_011316444.1	YHR134W
726	OG0000726	XP_011316450.1	YDR176W
727	OG0000727	XP_011316453.1	YPL097W
728	OG0000728	XP_011316454.1	YEL062W
729	OG0000729	XP_011316455.1	YMR276W
730	OG0000730	XP_011316457.1	YPL125W
731	OG0000731	XP_011316458.1	YKL194C
732	OG0000732	XP_011316460.1	YOR111W
733	OG0000733	XP_011316466.1	YPR200C
734	OG0000734	XP_011316477.1	YOR027W
735	OG0000735	XP_011316487.1	YJR125C
736	OG0000736	XP_011316488.1	YDR155C
737	OG0000737	XP_011316489.1	YNR003C
738	OG0000738	XP_011316491.1	YNL330C
739	OG0000739	XP_011316497.1	YLR248W
740	OG0000740	XP_011316510.1	YOR386W
741	OG0000741	XP_011316517.1	YJL123C
742	OG0000742	XP_011316518.1	YKL029C
743	OG0000743	XP_011316528.1	YER042W
744	OG0000744	XP_011316531.1	YLR352W
745	OG0000745	XP_011316532.1	YOR270C
746	OG0000746	XP_011316533.1	YLR277C
747	OG0000747	XP_011316535.1	YJL126W
748	OG0000748	XP_011316539.1	YBL037W
749	OG0000749	XP_011316540.1	YBL036C
750	OG0000750	XP_011316548.1	YDL086W
751	OG0000751	XP_011316549.1	YOR165W
752	OG0000752	XP_011316550.1	YNL072W
753	OG0000753	XP_011316553.1	YMR302C
754	OG0000754	XP_011316554.1	YDR512C
755	OG0000755	XP_011316555.1	YLL024C
756	OG0000756	XP_011316559.1	YAR035W
757	OG0000757	XP_011316560.1	YGL014W
758	OG0000758	XP_011316563.1	YOR207C
759	OG0000759	XP_011316564.1	YDR004W
760	OG0000760	XP_011316565.1	YMR121C
761	OG0000761	XP_011316570.1	YPL183C
762	OG0000762	XP_011316584.1	YPL183W-A
763	OG0000763	XP_011316588.1	YML056C
764	OG0000764	XP_011316590.1	YLR163C
765	OG0000765	XP_011316591.1	YMR236W
766	OG0000766	XP_011316592.1	YCL030C
767	OG0000767	XP_011316593.1	YMR165C
768	OG0000768	XP_011316597.1	YJL029C
769	OG0000769	XP_011316598.1	YDR353W
770	OG0000770	XP_011316599.1	YDL103C
771	OG0000771	XP_011316603.1	YBR162C
772	OG0000772	XP_011316604.1	YGL171W
773	OG0000773	XP_011316608.1	YDR437W
774	OG0000774	XP_011316609.1	YAL002W
775	OG0000775	XP_011316617.1	YPR112C
776	OG0000776	XP_011316618.1	YDR424C
777	OG0000777	XP_011316621.1	YBR271W
778	OG0000778	XP_011316625.1	YOR210W
779	OG0000779	XP_011316626.1	YPL126W
780	OG0000780	XP_011316632.1	YDL072C
781	OG0000781	XP_011316634.1	YGR086C
782	OG0000782	XP_011316635.1	YER029C
783	OG0000783	XP_011316636.1	YGR258C
784	OG0000784	XP_011316637.1	YGL043W
785	OG0000785	XP_011316638.1	YGR012W
786	OG0000786	XP_011316639.1	YBR252W
787	OG0000787	XP_011316640.1	YKL162C
788	OG0000788	XP_011316641.1	YOR335C
789	OG0000789	XP_011316644.1	YLR207W
790	OG0000790	XP_011316645.1	YOR188W
791	OG0000791	XP_011316646.1	YML021C
792	OG0000792	XP_011316648.1	YMR269W
793	OG0000793	XP_011316649.1	YGR024C
794	OG0000794	XP_011316650.1	YAR003W
795	OG0000795	XP_011316651.1	YDL140C
796	OG0000796	XP_011316658.1	YNL209W
797	OG0000797	XP_011316667.1	YKL150W
798	OG0000798	XP_011316670.1	YDR162C
799	OG0000799	XP_011316671.1	YNL222W
800	OG0000800	XP_011316673.1	YLR313C
801	OG0000801	XP_011316691.1	YJR008W
802	OG0000802	XP_011316696.1	YPR107C
803	OG0000803	XP_011316699.1	YDR137W
804	OG0000804	XP_011316702.1	YPL175W
805	OG0000805	XP_011316703.1	YNR038W
806	OG0000806	XP_011316711.1	YMR120C
807	OG0000807	XP_011316712.1	YER173W
808	OG0000808	XP_011316714.1	YJR141W
809	OG0000809	XP_011316745.1	YLR337C
810	OG0000810	XP_011316746.1	YBR268W
811	OG0000811	XP_011316748.1	YGR159C
812	OG0000812	XP_011316753.1	YMR227C
813	OG0000813	XP_011316755.1	YPL155C
814	OG0000814	XP_011316758.1	YGR125W
815	OG0000815	XP_011316759.1	YDR013W
816	OG0000816	XP_011316760.1	YAL003W
