	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035031_Candida_kruisii
415	OG0000415	YIL068C	augustus_masked-flattened_line_0-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.100&CDS=1-4818, augustus_masked-flattened_line_0-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.19&CDS=1-4818
416	OG0000416	YIL085C, YNL029C	maker-flattened_line_40-snap-gene-0.187-mRNA-1_1&gene=maker-flattened_line_40-snap-gene-0.187&CDS=1-3165
417	OG0000417	YIL095W, YNL020C	augustus_masked-flattened_line_87-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.79&CDS=1-2139
418	OG0000418	YIL099W	augustus_masked-flattened_line_16-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.50&CDS=1-1596, augustus_masked-flattened_line_16-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.53&CDS=1-1596
419	OG0000419	YIL101C	augustus_masked-flattened_line_16-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.93&CDS=1-1800, augustus_masked-flattened_line_16-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.33&CDS=1-1800
420	OG0000420	YIL103W	augustus_masked-flattened_line_16-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.91&CDS=1-1269, augustus_masked-flattened_line_16-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.35&CDS=1-1269
421	OG0000421	YIL104C	augustus_masked-flattened_line_16-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.73&CDS=1-1554, augustus_masked-flattened_line_16-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.66&CDS=1-1554
422	OG0000422	YIL105C, YNL047C	augustus_masked-flattened_line_48-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.121&CDS=1-2361
423	OG0000423	YIL111W, YNL052W	augustus_masked-flattened_line_32-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.89&CDS=1-471
424	OG0000424	YIL113W, YNL053W	augustus_masked-flattened_line_32-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.91&CDS=1-1326
425	OG0000425	YIL131C, YNL068C	augustus_masked-flattened_line_38-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.86&CDS=1-2043
426	OG0000426	YIL135C, YNL074C	augustus_masked-flattened_line_40-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.121&CDS=1-1206
427	OG0000427	YIL147C	augustus_masked-flattened_line_3-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.118&CDS=1-3696, augustus_masked-flattened_line_3-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.50&CDS=1-3696
428	OG0000428	YIL149C, YKR095W	augustus_masked-flattened_line_30-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.19&CDS=1-5457
429	OG0000429	YIL151C, YKR096W	augustus_masked-flattened_line_30-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.49&CDS=1-3783
430	OG0000430	YIL155C	augustus_masked-flattened_line_19-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.56&CDS=1-1953, augustus_masked-flattened_line_19-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.106&CDS=1-1953
431	OG0000431	YIL156W, YKR098C	augustus_masked-flattened_line_66-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.42&CDS=1-3927
432	OG0000432	YIR001C	augustus_masked-flattened_line_36-processed-gene-1.232-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.232&CDS=1-462, augustus_masked-flattened_line_40-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.101&CDS=1-633
433	OG0000433	YIR015W	augustus_masked-flattened_line_0-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.9&CDS=1-405, augustus_masked-flattened_line_0-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.99&CDS=1-405
434	OG0000434	YIR022W	augustus_masked-flattened_line_3-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.139&CDS=1-501, augustus_masked-flattened_line_3-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.18&CDS=1-501
435	OG0000435	YIR023W	augustus_masked-flattened_line_3-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.126&CDS=1-2832, augustus_masked-flattened_line_3-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.42&CDS=1-2832
436	OG0000436	YIR027C	augustus_masked-flattened_line_0-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.16&CDS=1-1866, genemark-flattened_line_0-processed-gene-2.167-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.167&CDS=1-1866
437	OG0000437	YIR031C, YNL117W	augustus_masked-flattened_line_50-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.88&CDS=1-1653
438	OG0000438	YIR032C	augustus_masked-flattened_line_3-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-0.7&CDS=1-642, augustus_masked-flattened_line_3-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.67&CDS=1-642
439	OG0000439	YIR033W, YKL020C	maker-flattened_line_56-augustus-gene-0.8-mRNA-1_1&gene=maker-flattened_line_56-augustus-gene-0.8&CDS=1-4107
440	OG0000440	YIR035C, YIR036C	augustus_masked-flattened_line_14-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.63&CDS=1-5595
441	OG0000441	YJL026W	augustus_masked-flattened_line_0-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.63&CDS=1-1245, augustus_masked-flattened_line_0-processed-gene-5.51-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.51&CDS=1-1245
442	OG0000442	YJL033W	augustus_masked-flattened_line_3-processed-gene-2.155-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-2.155&CDS=1-2259, genemark-flattened_line_3-processed-gene-2.71-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-2.71&CDS=1-2259
443	OG0000443	YJL053W	augustus_masked-flattened_line_16-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.56&CDS=1-2061, maker-flattened_line_16-augustus-gene-0.85-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-0.85&CDS=1-3138
444	OG0000444	YJL055W	augustus_masked-flattened_line_16-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.39&CDS=1-669, augustus_masked-flattened_line_16-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.80&CDS=1-669
445	OG0000445	YJL076W, YKR010C	genemark-flattened_line_4-processed-gene-3.84-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.84&CDS=1-3390
446	OG0000446	YJL079C, YKR013W	augustus_masked-flattened_line_131-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_131-processed-gene-0.18&CDS=1-723
447	OG0000447	YJL082W, YKR018C	augustus_masked-flattened_line_20-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.147&CDS=1-2637
448	OG0000448	YJL091C	augustus_masked-flattened_line_16-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.86&CDS=1-1473, augustus_masked-flattened_line_16-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.40&CDS=1-1473
449	OG0000449	YJL098W, YKR028W	augustus_masked-flattened_line_70-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.120&CDS=1-2706
450	OG0000450	YJL105W, YKR029C	augustus_masked-flattened_line_20-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.150&CDS=1-3360
451	OG0000451	YJL133W, YKR052C	augustus_masked-flattened_line_89-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_89-processed-gene-0.46&CDS=1-963
452	OG0000452	YJL134W, YKR053C	augustus_masked-flattened_line_105-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_105-processed-gene-0.2&CDS=1-1383
453	OG0000453	YJL137C, YKR058W	augustus_masked-flattened_line_12-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.91&CDS=1-1191
454	OG0000454	YJL139C, YKR061W	genemark-flattened_line_26-processed-gene-1.126-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.126&CDS=1-1116
455	OG0000455	YJL158C, YJL160C	augustus_masked-flattened_line_36-processed-gene-1.221-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.221&CDS=1-879
456	OG0000456	YJL163C	augustus_masked-flattened_line_1-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-5.142&CDS=1-3132, genemark-flattened_line_91-processed-gene-0.85-mRNA-1_1&gene=genemark-flattened_line_91-processed-gene-0.85&CDS=1-1740
457	OG0000457	YJL172W, YOL153C	augustus_masked-flattened_line_22-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.77&CDS=1-1722
458	OG0000458	YJL177W, YKL180W	augustus_masked-flattened_line_26-processed-gene-1.264-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.264&CDS=1-555
459	OG0000459	YJL190C, YLR367W	snap_masked-flattened_line_24-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.80&CDS=1-390
460	OG0000460	YJR012C	augustus_masked-flattened_line_3-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.128&CDS=1-564, augustus_masked-flattened_line_3-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.11&CDS=1-564
461	OG0000461	YJR019C	augustus_masked-flattened_line_16-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.26&CDS=1-975, maker-flattened_line_16-snap-gene-1.115-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-1.115&CDS=1-3954
462	OG0000462	YJR032W	augustus_masked-flattened_line_16-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.46&CDS=1-1134, augustus_masked-flattened_line_16-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.57&CDS=1-1134
463	OG0000463	YJR054W, YML047C	augustus_masked-flattened_line_34-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.30&CDS=1-1782
464	OG0000464	YJR059W, YKL198C	augustus_masked-flattened_line_48-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.143&CDS=1-2226
465	OG0000465	YJR094W-A, YPR043W	maker-flattened_line_54-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_54-augustus-gene-0.2&CDS=1-846
466	OG0000466	YJR127C, YML081W	augustus_masked-flattened_line_80-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.78&CDS=1-3555
467	OG0000467	YKL013C	augustus_masked-flattened_line_3-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.144&CDS=1-2394, augustus_masked-flattened_line_3-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.13&CDS=1-2394
468	OG0000468	YKL047W	augustus_masked-flattened_line_0-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.101&CDS=1-1692, genemark-flattened_line_0-processed-gene-5.76-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.76&CDS=1-1692
469	OG0000469	YKL056C	augustus_masked-flattened_line_3-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.120&CDS=1-501, augustus_masked-flattened_line_3-processed-gene-4.48-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.48&CDS=1-501
470	OG0000470	YKL065C, YMR040W	augustus_masked-flattened_line_121-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_121-processed-gene-0.16&CDS=1-567
471	OG0000471	YKL068W, YMR047C	augustus_masked-flattened_line_12-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.92&CDS=1-3201
472	OG0000472	YKL072W, YMR053C	augustus_masked-flattened_line_1-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-4.67&CDS=1-2982
473	OG0000473	YKL073W	augustus_masked-flattened_line_0-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.74&CDS=1-2757, augustus_masked-flattened_line_0-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.25&CDS=1-2757
474	OG0000474	YKL074C	augustus_masked-flattened_line_0-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.73&CDS=1-1803, augustus_masked-flattened_line_0-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.26&CDS=1-1803
475	OG0000475	YKL088W	augustus_masked-flattened_line_3-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.123&CDS=1-1872, augustus_masked-flattened_line_3-processed-gene-4.45-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.45&CDS=1-1872
476	OG0000476	YKL095W	augustus_masked-flattened_line_0-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.83&CDS=1-882, augustus_masked-flattened_line_0-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.35&CDS=1-882
477	OG0000477	YKL121W, YMR102C	augustus_masked-flattened_line_20-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.181&CDS=1-2256
478	OG0000478	YKL126W, YMR104C	genemark-flattened_line_6-processed-gene-1.30-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.30&CDS=1-1959
479	OG0000479	YKL127W, YMR105C	augustus_masked-flattened_line_89-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_89-processed-gene-0.63&CDS=1-1659
480	OG0000480	YKL129C, YMR109W	genemark-flattened_line_66-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.80&CDS=1-8391
481	OG0000481	YKL132C, YMR113W	maker-flattened_line_24-augustus-gene-1.261-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-1.261&CDS=1-3003
482	OG0000482	YKL134C	augustus_masked-flattened_line_0-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.56&CDS=1-2406, genemark-flattened_line_0-processed-gene-6.60-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.60&CDS=1-2406
483	OG0000483	YKL141W, YMR118C	augustus_masked-flattened_line_28-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.80&CDS=1-522
484	OG0000484	YKL215C	augustus_masked-flattened_line_0-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.65&CDS=1-7278, augustus_masked-flattened_line_0-processed-gene-5.49-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.49&CDS=1-7278
485	OG0000485	YKL217W	augustus_masked-flattened_line_12-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.67&CDS=1-1542, augustus_masked-flattened_line_97-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_97-processed-gene-0.42&CDS=1-1527
486	OG0000486	YKR009C	augustus_masked-flattened_line_16-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.41&CDS=1-2706, augustus_masked-flattened_line_16-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.62&CDS=1-2706
487	OG0000487	YKR076W, YMR251W	augustus_masked-flattened_line_87-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.72&CDS=1-1005
488	OG0000488	YKR079C	maker-flattened_line_0-snap-gene-2.124-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-2.124&CDS=1-3114, maker-flattened_line_0-snap-gene-5.53-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-5.53&CDS=1-3114
489	OG0000489	YKR089C	augustus_masked-flattened_line_0-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.113&CDS=1-2799, augustus_masked-flattened_line_0-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.7&CDS=1-2799
490	OG0000490	YLL011W	augustus_masked-flattened_line_0-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.82&CDS=1-1368, snap_masked-flattened_line_0-processed-gene-2.61-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.61&CDS=1-1368
491	OG0000491	YLL012W, YLR020C	genemark-flattened_line_17-processed-gene-1.67-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-1.67&CDS=1-1479
492	OG0000492	YLL014W	augustus_masked-flattened_line_3-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.134&CDS=1-309, augustus_masked-flattened_line_3-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.88&CDS=1-309
493	OG0000493	YLL061W, YPL274W	augustus_masked-flattened_line_62-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.106&CDS=1-1809
494	OG0000494	YLR019W	augustus_masked-flattened_line_0-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.121&CDS=1-1026, augustus_masked-flattened_line_0-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.81&CDS=1-1026
495	OG0000495	YLR022C	augustus_masked-flattened_line_3-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.155&CDS=1-762, augustus_masked-flattened_line_3-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.71&CDS=1-762
496	OG0000496	YLR024C	augustus_masked-flattened_line_3-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.157&CDS=1-5637, augustus_masked-flattened_line_3-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.69&CDS=1-5637
497	OG0000497	YLR029C, YMR121C	augustus_masked-flattened_line_42-processed-gene-0.263-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.263&CDS=1-612
498	OG0000498	YLR031W, YMR124W	genemark-flattened_line_26-processed-gene-1.173-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.173&CDS=1-3291
499	OG0000499	YLR099W-A	augustus_masked-flattened_line_3-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.124&CDS=1-249, augustus_masked-flattened_line_3-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.44&CDS=1-249
500	OG0000500	YLR135W	augustus_masked-flattened_line_3-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-2.141&CDS=1-1935, augustus_masked-flattened_line_3-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.55&CDS=1-1935
501	OG0000501	YLR166C	augustus_masked-flattened_line_19-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.119&CDS=1-2427, augustus_masked-flattened_line_19-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.67&CDS=1-2427
502	OG0000502	YLR167W	genemark-flattened_line_19-processed-gene-1.74-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-1.74&CDS=1-453, genemark-flattened_line_19-processed-gene-2.5-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-2.5&CDS=1-453
503	OG0000503	YLR188W	snap_masked-flattened_line_82-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.103&CDS=1-2055, snap_masked-flattened_line_82-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.84&CDS=1-2055
504	OG0000504	YLR189C	augustus_masked-flattened_line_82-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.34&CDS=1-4890, augustus_masked-flattened_line_82-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.9&CDS=1-4890
505	OG0000505	YLR207W	augustus_masked-flattened_line_0-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.53&CDS=1-2346, genemark-flattened_line_0-processed-gene-6.63-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.63&CDS=1-2346
506	OG0000506	YLR215C	augustus_masked-flattened_line_3-processed-gene-2.153-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-2.153&CDS=1-1017, genemark-flattened_line_3-processed-gene-2.73-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-2.73&CDS=1-1017
507	OG0000507	YLR243W	augustus_masked-flattened_line_19-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.58&CDS=1-822, augustus_masked-flattened_line_19-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.104&CDS=1-822
508	OG0000508	YLR244C	augustus_masked-flattened_line_19-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.80&CDS=1-1110, augustus_masked-flattened_line_19-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.78&CDS=1-1110
509	OG0000509	YLR245C	augustus_masked-flattened_line_19-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.81&CDS=1-432, augustus_masked-flattened_line_19-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.77&CDS=1-432
510	OG0000510	YLR260W, YOR171C	augustus_masked-flattened_line_115-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_115-processed-gene-0.16&CDS=1-1491
511	OG0000511	YLR264W, YOR167C	augustus_masked-flattened_line_36-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.32&CDS=1-201
512	OG0000512	YLR270W, YOR173W	augustus_masked-flattened_line_24-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.52&CDS=1-915
513	OG0000513	YLR273C, YOR178C	augustus_masked-flattened_line_36-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.18&CDS=1-1737
514	OG0000514	YLR284C, YOR180C	augustus_masked-flattened_line_34-processed-gene-1.247-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.247&CDS=1-825
515	OG0000515	YLR287C-A, YOR182C	maker-flattened_line_42-augustus-gene-0.86-mRNA-1_1&gene=maker-flattened_line_42-augustus-gene-0.86&CDS=1-747
516	OG0000516	YLR300W, YOR190W	augustus_masked-flattened_line_72-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.84&CDS=1-1296
517	OG0000517	YLR306W	augustus_masked-flattened_line_0-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.95&CDS=1-582, augustus_masked-flattened_line_0-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.107&CDS=1-582
518	OG0000518	YLR310C	augustus_masked-flattened_line_16-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.38&CDS=1-3960, augustus_masked-flattened_line_16-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.81&CDS=1-3960
519	OG0000519	YLR330W	maker-flattened_line_16-augustus-gene-1.56-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-1.56&CDS=1-3420, maker-flattened_line_16-augustus-gene-2.246-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-2.246&CDS=1-3420
520	OG0000520	YLR370C	augustus_masked-flattened_line_0-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.113&CDS=1-528, augustus_masked-flattened_line_0-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.86&CDS=1-528
521	OG0000521	YLR372W	augustus_masked-flattened_line_0-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.100&CDS=1-969, augustus_masked-flattened_line_0-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.119&CDS=1-969
522	OG0000522	YLR395C	augustus_masked-flattened_line_16-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.96&CDS=1-255, augustus_masked-flattened_line_16-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.30&CDS=1-255
523	OG0000523	YLR396C	augustus_masked-flattened_line_16-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.97&CDS=1-1932, augustus_masked-flattened_line_16-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.29&CDS=1-1932
524	OG0000524	YLR411W	augustus_masked-flattened_line_19-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.116&CDS=1-645, augustus_masked-flattened_line_19-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.125&CDS=1-645
525	OG0000525	YLR449W, YML074C	augustus_masked-flattened_line_68-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.93&CDS=1-1284
526	OG0000526	YLR450W, YML075C	augustus_masked-flattened_line_68-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.94&CDS=1-4785
527	OG0000527	YLR456W, YPR172W	augustus_masked-flattened_line_74-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.96&CDS=1-540
