	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034946_Ambrosiozyma_oregonensis
498	OG0000498	YAL043C	augustus_masked-NODE_2_length_577604_cov_68.7021_ID_3-processed-gene-4.231-mRNA-1_1&gene=augustus_masked-NODE_2_length_577604_cov_68.7021_ID_3-processed-gene-4.231&CDS=1-2217
499	OG0000499	YAL044C	snap_masked-NODE_9_length_435884_cov_70.8235_ID_17-processed-gene-2.27-mRNA-1_1&gene=snap_masked-NODE_9_length_435884_cov_70.8235_ID_17-processed-gene-2.27&CDS=1-549
500	OG0000500	YAL044W-A	snap_masked-NODE_9_length_435884_cov_70.8235_ID_17-processed-gene-2.15-mRNA-1_1&gene=snap_masked-NODE_9_length_435884_cov_70.8235_ID_17-processed-gene-2.15&CDS=1-414
501	OG0000501	YAL046C	snap_masked-NODE_48_length_101462_cov_85.2912_ID_95-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_48_length_101462_cov_85.2912_ID_95-processed-gene-0.36&CDS=1-396
502	OG0000502	YAL048C	augustus_masked-NODE_21_length_254489_cov_70.2048_ID_41-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-NODE_21_length_254489_cov_70.2048_ID_41-processed-gene-1.71&CDS=1-2043
503	OG0000503	YAL049C	maker-NODE_30_length_175768_cov_73.1768_ID_59-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_30_length_175768_cov_73.1768_ID_59-snap-gene-0.0&CDS=1-726
504	OG0000504	YAL053W	snap_masked-NODE_30_length_175768_cov_73.1768_ID_59-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_30_length_175768_cov_73.1768_ID_59-processed-gene-0.94&CDS=1-3006
505	OG0000505	YAL059W	snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-2.8-mRNA-1_1&gene=snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-2.8&CDS=1-567
506	OG0000506	YAL060W	augustus_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-0.11&CDS=1-1149
507	OG0000507	YAR002W	snap_masked-NODE_83_length_16950_cov_134.886_ID_165-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_83_length_16950_cov_134.886_ID_165-processed-gene-0.22&CDS=1-3603
508	OG0000508	YAR003W	snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-1.35-mRNA-1_1&gene=snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-1.35&CDS=1-1263
509	OG0000509	YAR007C	snap_masked-NODE_10_length_393138_cov_68.3325_ID_19-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_10_length_393138_cov_68.3325_ID_19-processed-gene-0.41&CDS=1-1815
510	OG0000510	YAR008W	snap_masked-NODE_2_length_577604_cov_68.7021_ID_3-processed-gene-4.45-mRNA-1_1&gene=snap_masked-NODE_2_length_577604_cov_68.7021_ID_3-processed-gene-4.45&CDS=1-909
511	OG0000511	YAR009C, YPR137C-B	
512	OG0000512	YAR014C	maker-NODE_5_length_517853_cov_64.868_ID_9-snap-gene-3.51-mRNA-1_1&gene=maker-NODE_5_length_517853_cov_64.868_ID_9-snap-gene-3.51&CDS=1-1779
513	OG0000513	YAR015W	snap_masked-NODE_29_length_182628_cov_72.764_ID_57-processed-gene-0.133-mRNA-1_1&gene=snap_masked-NODE_29_length_182628_cov_72.764_ID_57-processed-gene-0.133&CDS=1-912
514	OG0000514	YAR018C	snap_masked-NODE_29_length_182628_cov_72.764_ID_57-processed-gene-0.132-mRNA-1_1&gene=snap_masked-NODE_29_length_182628_cov_72.764_ID_57-processed-gene-0.132&CDS=1-1251
515	OG0000515	YBL001C	maker-NODE_51_length_80923_cov_113.927_ID_101-snap-gene-0.100-mRNA-1_1&gene=maker-NODE_51_length_80923_cov_113.927_ID_101-snap-gene-0.100&CDS=1-321
516	OG0000516	YBL004W	snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-6.76-mRNA-1_1&gene=snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-6.76&CDS=1-7611
517	OG0000517	YBL007C	snap_masked-NODE_7_length_498213_cov_70.1258_ID_13-processed-gene-1.52-mRNA-1_1&gene=snap_masked-NODE_7_length_498213_cov_70.1258_ID_13-processed-gene-1.52&CDS=1-3528
518	OG0000518	YBL008W	snap_masked-NODE_31_length_174477_cov_101.441_ID_61-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_31_length_174477_cov_101.441_ID_61-processed-gene-0.92&CDS=1-3048
519	OG0000519	YBL013W	snap_masked-NODE_7_length_498213_cov_70.1258_ID_13-processed-gene-3.161-mRNA-1_1&gene=snap_masked-NODE_7_length_498213_cov_70.1258_ID_13-processed-gene-3.161&CDS=1-1032
520	OG0000520	YBL014C	augustus_masked-NODE_7_length_498213_cov_70.1258_ID_13-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-NODE_7_length_498213_cov_70.1258_ID_13-processed-gene-3.44&CDS=1-2433
521	OG0000521	YBL015W	snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-2.127-mRNA-1_1&gene=snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-2.127&CDS=1-1569
522	OG0000522	YBL016W	augustus_masked-NODE_43_length_119858_cov_67.8265_ID_85-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-NODE_43_length_119858_cov_67.8265_ID_85-processed-gene-0.141&CDS=1-1047
523	OG0000523	YBL018C	maker-NODE_51_length_80923_cov_113.927_ID_101-snap-gene-0.103-mRNA-1_1&gene=maker-NODE_51_length_80923_cov_113.927_ID_101-snap-gene-0.103&CDS=1-420
524	OG0000524	YBL019W	snap_masked-NODE_68_length_43719_cov_63.5871_ID_135-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_68_length_43719_cov_63.5871_ID_135-processed-gene-0.32&CDS=1-1725
525	OG0000525	YBL020W	snap_masked-NODE_42_length_127492_cov_113.867_ID_83-processed-gene-0.104-mRNA-1_1&gene=snap_masked-NODE_42_length_127492_cov_113.867_ID_83-processed-gene-0.104&CDS=1-1443
526	OG0000526	YBL021C	snap_masked-NODE_42_length_127492_cov_113.867_ID_83-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_42_length_127492_cov_113.867_ID_83-processed-gene-0.84&CDS=1-618
527	OG0000527	YBL022C	snap_masked-NODE_20_length_254648_cov_70.6085_ID_39-processed-gene-1.145-mRNA-1_1&gene=snap_masked-NODE_20_length_254648_cov_70.6085_ID_39-processed-gene-1.145&CDS=1-3483
528	OG0000528	YBL023C	snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-3.65-mRNA-1_1&gene=snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-3.65&CDS=1-2667
529	OG0000529	YBL024W	snap_masked-NODE_4_length_548857_cov_63.9947_ID_7-processed-gene-2.69-mRNA-1_1&gene=snap_masked-NODE_4_length_548857_cov_63.9947_ID_7-processed-gene-2.69&CDS=1-2040
530	OG0000530	YBL028C	augustus_masked-NODE_19_length_283276_cov_66.6713_ID_37-processed-gene-1.190-mRNA-1_1&gene=augustus_masked-NODE_19_length_283276_cov_66.6713_ID_37-processed-gene-1.190&CDS=1-306
531	OG0000531	YBL029C-A	augustus_masked-NODE_18_length_291584_cov_90.0546_ID_35-processed-gene-1.198-mRNA-1_1&gene=augustus_masked-NODE_18_length_291584_cov_90.0546_ID_35-processed-gene-1.198&CDS=1-297
532	OG0000532	YBL029W	snap_masked-NODE_15_length_340512_cov_70.3414_ID_29-processed-gene-1.82-mRNA-1_1&gene=snap_masked-NODE_15_length_340512_cov_70.3414_ID_29-processed-gene-1.82&CDS=1-1425
533	OG0000533	YBL032W	snap_masked-NODE_43_length_119858_cov_67.8265_ID_85-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_43_length_119858_cov_67.8265_ID_85-processed-gene-0.28&CDS=1-1029
534	OG0000534	YBL033C	augustus_masked-NODE_16_length_339954_cov_73.013_ID_31-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NODE_16_length_339954_cov_73.013_ID_31-processed-gene-1.35&CDS=1-1056
535	OG0000535	YBL034C	augustus_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-2.113&CDS=1-4353
536	OG0000536	YBL035C	snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-1.65&CDS=1-1902
537	OG0000537	YBL037W	maker-NODE_7_length_498213_cov_70.1258_ID_13-augustus-gene-1.36-mRNA-1_1&gene=maker-NODE_7_length_498213_cov_70.1258_ID_13-augustus-gene-1.36&CDS=1-3804
538	OG0000538	YBL038W	snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-1.60-mRNA-1_1&gene=snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-1.60&CDS=1-699
539	OG0000539	YBL039C	snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-2.135-mRNA-1_1&gene=snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-2.135&CDS=1-1725
540	OG0000540	YBL040C	augustus_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-2.26&CDS=1-639
541	OG0000541	YBL041W	genemark-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-2.90-mRNA-1_1&gene=genemark-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-2.90&CDS=1-711
542	OG0000542	YBL045C	snap_masked-NODE_60_length_56455_cov_107.281_ID_119-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_60_length_56455_cov_107.281_ID_119-processed-gene-0.37&CDS=1-1320
543	OG0000543	YBL047C	maker-NODE_20_length_254648_cov_70.6085_ID_39-snap-gene-1.2-mRNA-1_1&gene=maker-NODE_20_length_254648_cov_70.6085_ID_39-snap-gene-1.2&CDS=1-4233
544	OG0000544	YBL049W	snap_masked-NODE_70_length_41523_cov_129.416_ID_139-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_70_length_41523_cov_129.416_ID_139-processed-gene-0.12&CDS=1-774
545	OG0000545	YBL050W	snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-4.61-mRNA-1_1&gene=snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-4.61&CDS=1-897
546	OG0000546	YBL051C	maker-NODE_46_length_114931_cov_70.3255_ID_91-snap-gene-0.104-mRNA-1_1&gene=maker-NODE_46_length_114931_cov_70.3255_ID_91-snap-gene-0.104&CDS=1-2142
547	OG0000547	YBL057C	snap_masked-NODE_73_length_34107_cov_94.696_ID_145-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_73_length_34107_cov_94.696_ID_145-processed-gene-0.0&CDS=1-627
548	OG0000548	YBL058W	snap_masked-NODE_10_length_393138_cov_68.3325_ID_19-processed-gene-2.170-mRNA-1_1&gene=snap_masked-NODE_10_length_393138_cov_68.3325_ID_19-processed-gene-2.170&CDS=1-1140
549	OG0000549	YBL059C-A	snap_masked-NODE_7_length_498213_cov_70.1258_ID_13-processed-gene-2.88-mRNA-1_1&gene=snap_masked-NODE_7_length_498213_cov_70.1258_ID_13-processed-gene-2.88&CDS=1-318
550	OG0000550	YBL061C	snap_masked-NODE_21_length_254489_cov_70.2048_ID_41-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_21_length_254489_cov_70.2048_ID_41-processed-gene-0.87&CDS=1-2094
551	OG0000551	YBL064C	snap_masked-NODE_7_length_498213_cov_70.1258_ID_13-processed-gene-2.59-mRNA-1_1&gene=snap_masked-NODE_7_length_498213_cov_70.1258_ID_13-processed-gene-2.59&CDS=1-738
552	OG0000552	YBL066C	augustus_masked-NODE_7_length_498213_cov_70.1258_ID_13-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NODE_7_length_498213_cov_70.1258_ID_13-processed-gene-2.115&CDS=1-3003
553	OG0000553	YBL071W-A	snap_masked-NODE_57_length_72165_cov_65.6225_ID_113-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_57_length_72165_cov_65.6225_ID_113-processed-gene-0.55&CDS=1-228
554	OG0000554	YBL076C	snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-3.28-mRNA-1_1&gene=snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-3.28&CDS=1-3219
555	OG0000555	YBL078C	snap_masked-NODE_40_length_129560_cov_68.7669_ID_79-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_40_length_129560_cov_68.7669_ID_79-processed-gene-0.46&CDS=1-378
556	OG0000556	YBL079W	snap_masked-NODE_39_length_135585_cov_103.842_ID_77-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_39_length_135585_cov_103.842_ID_77-processed-gene-0.64&CDS=1-4293
557	OG0000557	YBL080C	snap_masked-NODE_40_length_129560_cov_68.7669_ID_79-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_40_length_129560_cov_68.7669_ID_79-processed-gene-0.20&CDS=1-1479
558	OG0000558	YBL082C	snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-3.60-mRNA-1_1&gene=snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-3.60&CDS=1-1506
559	OG0000559	YBL084C	snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-3.90-mRNA-1_1&gene=snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-3.90&CDS=1-2079
560	OG0000560	YBL088C	snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-4.144-mRNA-1_1&gene=snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-4.144&CDS=1-9201
561	OG0000561	YBL090W	augustus_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-3.20&CDS=1-492
562	OG0000562	YBL091C	snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-3.89-mRNA-1_1&gene=snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-3.89&CDS=1-1257
563	OG0000563	YBL092W	augustus_masked-NODE_33_length_156756_cov_89.183_ID_65-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_33_length_156756_cov_89.183_ID_65-processed-gene-0.10&CDS=1-393
564	OG0000564	YBL093C	snap_masked-NODE_33_length_156756_cov_89.183_ID_65-processed-gene-0.117-mRNA-1_1&gene=snap_masked-NODE_33_length_156756_cov_89.183_ID_65-processed-gene-0.117&CDS=1-585
565	OG0000565	YBL095W	snap_masked-NODE_20_length_254648_cov_70.6085_ID_39-processed-gene-1.163-mRNA-1_1&gene=snap_masked-NODE_20_length_254648_cov_70.6085_ID_39-processed-gene-1.163&CDS=1-708
566	OG0000566	YBL097W	maker-NODE_10_length_393138_cov_68.3325_ID_19-snap-gene-1.41-mRNA-1_1&gene=maker-NODE_10_length_393138_cov_68.3325_ID_19-snap-gene-1.41&CDS=1-2256
567	OG0000567	YBL098W	snap_masked-NODE_10_length_393138_cov_68.3325_ID_19-processed-gene-1.25-mRNA-1_1&gene=snap_masked-NODE_10_length_393138_cov_68.3325_ID_19-processed-gene-1.25&CDS=1-1356
568	OG0000568	YBL099W	maker-NODE_1_length_719706_cov_69.2366_ID_1-augustus-gene-0.38-mRNA-1_1&gene=maker-NODE_1_length_719706_cov_69.2366_ID_1-augustus-gene-0.38&CDS=1-1662
569	OG0000569	YBL102W	snap_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-0.119-mRNA-1_1&gene=snap_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-0.119&CDS=1-633
570	OG0000570	YBL103C	snap_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-1.81-mRNA-1_1&gene=snap_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-1.81&CDS=1-1545
571	OG0000571	YBL104C	maker-NODE_12_length_351220_cov_69.727_ID_23-snap-gene-0.115-mRNA-1_1&gene=maker-NODE_12_length_351220_cov_69.727_ID_23-snap-gene-0.115&CDS=1-4941
572	OG0000572	YBR002C	snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-2.18-mRNA-1_1&gene=snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-2.18&CDS=1-861
573	OG0000573	YBR003W	snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-2.37-mRNA-1_1&gene=snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-2.37&CDS=1-1473
574	OG0000574	YBR004C	genemark-NODE_38_length_139837_cov_106.657_ID_75-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_38_length_139837_cov_106.657_ID_75-processed-gene-0.49&CDS=1-864
575	OG0000575	YBR007C	snap_masked-NODE_29_length_182628_cov_72.764_ID_57-processed-gene-0.110-mRNA-1_1&gene=snap_masked-NODE_29_length_182628_cov_72.764_ID_57-processed-gene-0.110&CDS=1-2379
576	OG0000576	YBR011C	snap_masked-NODE_30_length_175768_cov_73.1768_ID_59-processed-gene-0.133-mRNA-1_1&gene=snap_masked-NODE_30_length_175768_cov_73.1768_ID_59-processed-gene-0.133&CDS=1-855
577	OG0000577	YBR017C	snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-3.82-mRNA-1_1&gene=snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-3.82&CDS=1-2805
578	OG0000578	YBR022W	augustus_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-4.121&CDS=1-561
579	OG0000579	YBR023C	snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-3.85-mRNA-1_1&gene=snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-3.85&CDS=1-3747
580	OG0000580	YBR025C	maker-NODE_50_length_86447_cov_77.602_ID_99-snap-gene-0.81-mRNA-1_1&gene=maker-NODE_50_length_86447_cov_77.602_ID_99-snap-gene-0.81&CDS=1-2343
581	OG0000581	YBR026C	augustus_masked-NODE_52_length_78870_cov_78.7946_ID_103-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_52_length_78870_cov_78.7946_ID_103-processed-gene-0.78&CDS=1-1122
582	OG0000582	YBR028C	snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-4.59-mRNA-1_1&gene=snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-4.59&CDS=1-1386
583	OG0000583	YBR029C	snap_masked-NODE_56_length_73519_cov_68.6095_ID_111-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_56_length_73519_cov_68.6095_ID_111-processed-gene-0.54&CDS=1-1323
584	OG0000584	YBR030W	snap_masked-NODE_13_length_350314_cov_71.6933_ID_25-processed-gene-2.95-mRNA-1_1&gene=snap_masked-NODE_13_length_350314_cov_71.6933_ID_25-processed-gene-2.95&CDS=1-1812
585	OG0000585	YBR034C	snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-2.104-mRNA-1_1&gene=snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-2.104&CDS=1-1065
586	OG0000586	YBR035C	snap_masked-NODE_26_length_203786_cov_80.1698_ID_51-processed-gene-1.87-mRNA-1_1&gene=snap_masked-NODE_26_length_203786_cov_80.1698_ID_51-processed-gene-1.87&CDS=1-678
587	OG0000587	YBR037C	snap_masked-NODE_50_length_86447_cov_77.602_ID_99-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_50_length_86447_cov_77.602_ID_99-processed-gene-0.31&CDS=1-912
588	OG0000588	YBR038W	snap_masked-NODE_7_length_498213_cov_70.1258_ID_13-processed-gene-3.130-mRNA-1_1&gene=snap_masked-NODE_7_length_498213_cov_70.1258_ID_13-processed-gene-3.130&CDS=1-2970
589	OG0000589	YBR039W	snap_masked-NODE_71_length_40569_cov_78.3866_ID_141-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_71_length_40569_cov_78.3866_ID_141-processed-gene-0.6&CDS=1-867
590	OG0000590	YBR040W	augustus_masked-NODE_61_length_52752_cov_72.8796_ID_121-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_61_length_52752_cov_72.8796_ID_121-processed-gene-0.35&CDS=1-639
591	OG0000591	YBR041W	snap_masked-NODE_33_length_156756_cov_89.183_ID_65-processed-gene-0.132-mRNA-1_1&gene=snap_masked-NODE_33_length_156756_cov_89.183_ID_65-processed-gene-0.132&CDS=1-1962
592	OG0000592	YBR046C	augustus_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-0.19&CDS=1-1119
593	OG0000593	YBR053C	augustus_masked-NODE_4_length_548857_cov_63.9947_ID_7-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-NODE_4_length_548857_cov_63.9947_ID_7-processed-gene-3.107&CDS=1-987
594	OG0000594	YBR055C	snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-1.71&CDS=1-2790
595	OG0000595	YBR056W	snap_masked-NODE_29_length_182628_cov_72.764_ID_57-processed-gene-0.116-mRNA-1_1&gene=snap_masked-NODE_29_length_182628_cov_72.764_ID_57-processed-gene-0.116&CDS=1-1458
596	OG0000596	YBR057C	snap_masked-NODE_41_length_129558_cov_66.2536_ID_81-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_41_length_129558_cov_66.2536_ID_81-processed-gene-0.11&CDS=1-1389
597	OG0000597	YBR058C	snap_masked-NODE_41_length_129558_cov_66.2536_ID_81-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_41_length_129558_cov_66.2536_ID_81-processed-gene-0.39&CDS=1-2394
598	OG0000598	YBR060C	augustus_masked-NODE_2_length_577604_cov_68.7021_ID_3-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_2_length_577604_cov_68.7021_ID_3-processed-gene-0.60&CDS=1-1833
599	OG0000599	YBR061C	snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-3.36-mRNA-1_1&gene=snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-3.36&CDS=1-906
600	OG0000600	YBR062C	augustus_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-3.91&CDS=1-567
601	OG0000601	YBR065C	snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-3.37-mRNA-1_1&gene=snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-3.37&CDS=1-1143
602	OG0000602	YBR070C	augustus_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-3.70&CDS=1-729
603	OG0000603	YBR072W	snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-3.63-mRNA-1_1&gene=snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-3.63&CDS=1-645
604	OG0000604	YBR073W	snap_masked-NODE_12_length_351220_cov_69.727_ID_23-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NODE_12_length_351220_cov_69.727_ID_23-processed-gene-2.42&CDS=1-2727
605	OG0000605	YBR074W	snap_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-4.115-mRNA-1_1&gene=snap_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-4.115&CDS=1-3015
606	OG0000606	YBR076W	snap_masked-NODE_35_length_147298_cov_77.5425_ID_69-processed-gene-0.134-mRNA-1_1&gene=snap_masked-NODE_35_length_147298_cov_77.5425_ID_69-processed-gene-0.134&CDS=1-1137
607	OG0000607	YBR079C	snap_masked-NODE_19_length_283276_cov_66.6713_ID_37-processed-gene-1.157-mRNA-1_1&gene=snap_masked-NODE_19_length_283276_cov_66.6713_ID_37-processed-gene-1.157&CDS=1-2673
608	OG0000608	YBR080C	snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-2.98-mRNA-1_1&gene=snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-2.98&CDS=1-2235
609	OG0000609	YBR081C	snap_masked-NODE_31_length_174477_cov_101.441_ID_61-processed-gene-0.115-mRNA-1_1&gene=snap_masked-NODE_31_length_174477_cov_101.441_ID_61-processed-gene-0.115&CDS=1-3777
610	OG0000610	YBR083W	augustus_masked-NODE_19_length_283276_cov_66.6713_ID_37-processed-gene-1.187-mRNA-1_1&gene=augustus_masked-NODE_19_length_283276_cov_66.6713_ID_37-processed-gene-1.187&CDS=1-2148
611	OG0000611	YBR084W	snap_masked-NODE_22_length_240944_cov_72.0822_ID_43-processed-gene-1.83-mRNA-1_1&gene=snap_masked-NODE_22_length_240944_cov_72.0822_ID_43-processed-gene-1.83&CDS=1-2925
612	OG0000612	YBR085W	snap_masked-NODE_12_length_351220_cov_69.727_ID_23-processed-gene-2.29-mRNA-1_1&gene=snap_masked-NODE_12_length_351220_cov_69.727_ID_23-processed-gene-2.29&CDS=1-918
613	OG0000613	YBR086C	augustus_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-1.94&CDS=1-2055
614	OG0000614	YBR087W	snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-1.81-mRNA-1_1&gene=snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-1.81&CDS=1-1134
615	OG0000615	YBR088C	snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-3.33-mRNA-1_1&gene=snap_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-3.33&CDS=1-777
616	OG0000616	YBR091C	snap_masked-NODE_26_length_203786_cov_80.1698_ID_51-processed-gene-1.86-mRNA-1_1&gene=snap_masked-NODE_26_length_203786_cov_80.1698_ID_51-processed-gene-1.86&CDS=1-315
617	OG0000617	YBR094W	maker-NODE_44_length_118715_cov_66.8962_ID_87-snap-gene-0.91-mRNA-1_1&gene=maker-NODE_44_length_118715_cov_66.8962_ID_87-snap-gene-0.91&CDS=1-3069
618	OG0000618	YBR095C	snap_masked-NODE_44_length_118715_cov_66.8962_ID_87-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_44_length_118715_cov_66.8962_ID_87-processed-gene-0.54&CDS=1-1146
619	OG0000619	YBR096W	snap_masked-NODE_26_length_203786_cov_80.1698_ID_51-processed-gene-1.112-mRNA-1_1&gene=snap_masked-NODE_26_length_203786_cov_80.1698_ID_51-processed-gene-1.112&CDS=1-681
620	OG0000620	YBR101C	snap_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-2.162-mRNA-1_1&gene=snap_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-2.162&CDS=1-1068
