	OrthologID	Metschnikowia_shivogae	Saccharomyces_cerevisiae
576	OG0000576	genemark-shi_s13-processed-gene-1.57-mRNA-1_1&gene=genemark-shi_s13-processed-gene-1.57&CDS=1-1797	YMR036C
577	OG0000577	genemark-shi_s13-processed-gene-1.74-mRNA-1_1&gene=genemark-shi_s13-processed-gene-1.74&CDS=1-2709	YKR009C
578	OG0000578	genemark-shi_s13-processed-gene-1.75-mRNA-1_1&gene=genemark-shi_s13-processed-gene-1.75&CDS=1-2175	YDL164C
579	OG0000579	genemark-shi_s13-processed-gene-1.59-mRNA-1_1&gene=genemark-shi_s13-processed-gene-1.59&CDS=1-1353	YMR033W
580	OG0000580	genemark-shi_s13-processed-gene-1.61-mRNA-1_1&gene=genemark-shi_s13-processed-gene-1.61&CDS=1-480	YER093C-A
581	OG0000581	genemark-shi_s13-processed-gene-1.77-mRNA-1_1&gene=genemark-shi_s13-processed-gene-1.77&CDS=1-1266	YMR034C
582	OG0000582	genemark-shi_s13-processed-gene-1.65-mRNA-1_1&gene=genemark-shi_s13-processed-gene-1.65&CDS=1-1422	YMR041C
583	OG0000583	genemark-shi_s13-processed-gene-2.44-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.44&CDS=1-1488	YKL043W
584	OG0000584	genemark-shi_s13-processed-gene-2.46-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.46&CDS=1-3186	YJR035W
585	OG0000585	genemark-shi_s13-processed-gene-2.75-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.75&CDS=1-702	YGR095C
586	OG0000586	genemark-shi_s13-processed-gene-2.49-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.49&CDS=1-1530	YGR091W
587	OG0000587	genemark-shi_s13-processed-gene-2.50-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.50&CDS=1-3405	YGR094W
588	OG0000588	snap_masked-shi_s13-processed-gene-2.124-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-2.124&CDS=1-3609	YEL031W
589	OG0000589	genemark-shi_s13-processed-gene-2.78-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.78&CDS=1-891	YGR096W
590	OG0000590	genemark-shi_s13-processed-gene-2.58-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.58&CDS=1-2109	YLR396C
591	OG0000591	genemark-shi_s13-processed-gene-2.79-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.79&CDS=1-183	YDL067C
592	OG0000592	snap_masked-shi_s13-processed-gene-2.105-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-2.105&CDS=1-246	YLR395C
593	OG0000593	snap_masked-shi_s13-processed-gene-2.107-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-2.107&CDS=1-903	YIL101C
594	OG0000594	genemark-shi_s13-processed-gene-2.61-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.61&CDS=1-2274	YNL041C
595	OG0000595	augustus_masked-shi_s13-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-shi_s13-processed-gene-2.38&CDS=1-1266	YIL103W
596	OG0000596	genemark-shi_s13-processed-gene-2.62-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.62&CDS=1-1464	YIL104C
597	OG0000597	augustus_masked-shi_s13-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-shi_s13-processed-gene-2.25&CDS=1-3318	YFR009W
598	OG0000598	genemark-shi_s13-processed-gene-2.83-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.83&CDS=1-303	YPL098C
599	OG0000599	genemark-shi_s13-processed-gene-2.66-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.66&CDS=1-444	YFR011C
600	OG0000600	genemark-shi_s13-processed-gene-2.84-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.84&CDS=1-1425	YFR010W
601	OG0000601	genemark-shi_s13-processed-gene-2.85-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.85&CDS=1-1686	YMR110C
602	OG0000602	genemark-shi_s13-processed-gene-2.68-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.68&CDS=1-1677	YFR021W
603	OG0000603	genemark-shi_s13-processed-gene-2.71-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.71&CDS=1-966	YLR354C
604	OG0000604	genemark-shi_s13-processed-gene-2.72-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.72&CDS=1-483	YDR236C
605	OG0000605	snap_masked-shi_s13-processed-gene-3.88-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-3.88&CDS=1-1410	YDR235W
606	OG0000606	genemark-shi_s13-processed-gene-3.187-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.187&CDS=1-1272	YOR303W
607	OG0000607	genemark-shi_s13-processed-gene-3.183-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.183&CDS=1-1038	YPR127W
608	OG0000608	genemark-shi_s13-processed-gene-3.226-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.226&CDS=1-1326	YKL059C
609	OG0000609	genemark-shi_s13-processed-gene-3.227-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.227&CDS=1-1113	YMR028W
610	OG0000610	genemark-shi_s13-processed-gene-3.190-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.190&CDS=1-363	YKL058W
611	OG0000611	maker-shi_s13-augustus-gene-3.283-mRNA-1_1&gene=maker-shi_s13-augustus-gene-3.283&CDS=1-1680	YMR027W
612	OG0000612	snap_masked-shi_s13-processed-gene-3.139-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-3.139&CDS=1-2010	YKL054C
613	OG0000613	genemark-shi_s13-processed-gene-3.231-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.231&CDS=1-2058	YBR094W
614	OG0000614	genemark-shi_s13-processed-gene-3.191-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.191&CDS=1-327	YBR091C
615	OG0000615	genemark-shi_s13-processed-gene-3.232-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.232&CDS=1-1071	YKL060C
616	OG0000616	genemark-shi_s13-processed-gene-3.192-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.192&CDS=1-606	YPR051W
617	OG0000617	genemark-shi_s13-processed-gene-3.193-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.193&CDS=1-1032	YBR095C
618	OG0000618	genemark-shi_s13-processed-gene-3.194-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.194&CDS=1-777	YBR088C
619	OG0000619	genemark-shi_s13-processed-gene-3.234-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.234&CDS=1-1386	YDL147W
620	OG0000620	genemark-shi_s13-processed-gene-3.235-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.235&CDS=1-912	YER055C
621	OG0000621	genemark-shi_s13-processed-gene-3.236-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.236&CDS=1-897	YBR002C
622	OG0000622	genemark-shi_s13-processed-gene-3.237-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.237&CDS=1-1101	YPR025C
623	OG0000623	genemark-shi_s13-processed-gene-3.238-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.238&CDS=1-774	YLR186W
624	OG0000624	genemark-shi_s13-processed-gene-3.241-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.241&CDS=1-1089	YML060W
625	OG0000625	maker-shi_s13-snap-gene-3.273-mRNA-1_1&gene=maker-shi_s13-snap-gene-3.273&CDS=1-2151	YNL218W
626	OG0000626	snap_masked-shi_s13-processed-gene-3.151-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-3.151&CDS=1-1773	YNL279W
627	OG0000627	snap_masked-shi_s13-processed-gene-3.106-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-3.106&CDS=1-267	YDR510W
628	OG0000628	maker-shi_s13-augustus-gene-3.285-mRNA-1_1&gene=maker-shi_s13-augustus-gene-3.285&CDS=1-2604	YLR187W
629	OG0000629	genemark-shi_s13-processed-gene-3.244-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.244&CDS=1-1434	YDL238C
630	OG0000630	genemark-shi_s13-processed-gene-3.245-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.245&CDS=1-621	YLR390W-A
631	OG0000631	genemark-shi_s13-processed-gene-3.208-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.208&CDS=1-1833	YGL095C
632	OG0000632	genemark-shi_s13-processed-gene-3.209-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.209&CDS=1-1659	YML086C
633	OG0000633	genemark-shi_s13-processed-gene-3.249-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.249&CDS=1-2622	YML093W
634	OG0000634	genemark-shi_s13-processed-gene-3.250-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.250&CDS=1-4191	YPL226W
635	OG0000635	snap_masked-shi_s13-processed-gene-3.161-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-3.161&CDS=1-774	YMR029C
636	OG0000636	genemark-shi_s13-processed-gene-3.252-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.252&CDS=1-435	YPL225W
637	OG0000637	maker-shi_s13-augustus-gene-3.287-mRNA-1_1&gene=maker-shi_s13-augustus-gene-3.287&CDS=1-1887	YMR022W
638	OG0000638	genemark-shi_s13-processed-gene-3.211-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.211&CDS=1-576	YBR106W
639	OG0000639	genemark-shi_s13-processed-gene-3.255-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.255&CDS=1-1722	YPL208W
640	OG0000640	genemark-shi_s13-processed-gene-3.212-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.212&CDS=1-924	YBR037C
641	OG0000641	genemark-shi_s13-processed-gene-3.257-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.257&CDS=1-2454	YOL148C
642	OG0000642	genemark-shi_s13-processed-gene-3.258-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.258&CDS=1-507	YOL149W
643	OG0000643	augustus_masked-shi_s13-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-shi_s13-processed-gene-3.32&CDS=1-1035	YOL114C
644	OG0000644	genemark-shi_s13-processed-gene-3.220-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.220&CDS=1-1836	YJL057C
645	OG0000645	genemark-shi_s13-processed-gene-3.221-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.221&CDS=1-1737	YOL115W
646	OG0000646	genemark-shi_s13-processed-gene-3.262-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.262&CDS=1-495	YOL143C
647	OG0000647	genemark-shi_s13-processed-gene-3.264-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.264&CDS=1-747	YIL070C
648	OG0000648	snap_masked-shi_s13-processed-gene-3.129-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-3.129&CDS=1-321	YKL084W
649	OG0000649	genemark-shi_s13-processed-gene-3.266-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.266&CDS=1-2538	YPR112C
650	OG0000650	genemark-shi_s13-processed-gene-3.267-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.267&CDS=1-3843	YNL250W
651	OG0000651	genemark-shi_s13-processed-gene-3.268-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.268&CDS=1-2559	YOR113W
652	OG0000652	genemark-shi_s13-processed-gene-3.270-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.270&CDS=1-372	YNL113W
653	OG0000653	genemark-shi_s16-processed-gene-0.114-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.114&CDS=1-1929	YJL090C
654	OG0000654	snap_masked-shi_s16-processed-gene-0.49-mRNA-1_1&gene=snap_masked-shi_s16-processed-gene-0.49&CDS=1-5781	YMR176W
655	OG0000655	genemark-shi_s16-processed-gene-0.96-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.96&CDS=1-450	YML094W
656	OG0000656	genemark-shi_s16-processed-gene-0.117-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.117&CDS=1-993	YML095C
657	OG0000657	genemark-shi_s16-processed-gene-0.97-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.97&CDS=1-213	YNL024C-A
658	OG0000658	genemark-shi_s16-processed-gene-0.118-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.118&CDS=1-2115	YIL091C
659	OG0000659	genemark-shi_s16-processed-gene-0.98-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.98&CDS=1-1368	YIL090W
660	OG0000660	genemark-shi_s16-processed-gene-0.120-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.120&CDS=1-1107	YPR035W
661	OG0000661	genemark-shi_s16-processed-gene-0.100-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.100&CDS=1-5862	YJL005W
662	OG0000662	genemark-shi_s16-processed-gene-0.103-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.103&CDS=1-3165	YMR196W
663	OG0000663	genemark-shi_s16-processed-gene-0.104-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.104&CDS=1-657	YMR197C
664	OG0000664	genemark-shi_s16-processed-gene-0.105-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.105&CDS=1-672	YPL252C
665	OG0000665	genemark-shi_s16-processed-gene-0.124-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.124&CDS=1-1068	YPL254W
666	OG0000666	augustus_masked-shi_s16-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-shi_s16-processed-gene-0.43&CDS=1-1509	YOR378W
667	OG0000667	genemark-shi_s16-processed-gene-0.126-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.126&CDS=1-435	YML077W
668	OG0000668	genemark-shi_s16-processed-gene-0.127-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.127&CDS=1-180	YML081C-A
669	OG0000669	genemark-shi_s16-processed-gene-0.108-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.108&CDS=1-1002	YIL083C
670	OG0000670	genemark-shi_s16-processed-gene-0.128-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.128&CDS=1-1485	YNL026W
671	OG0000671	genemark-shi_s16-processed-gene-0.129-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.129&CDS=1-1779	YNL027W
672	OG0000672	genemark-shi_s16-processed-gene-0.130-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.130&CDS=1-1233	YML005W
673	OG0000673	maker-shi_s16-snap-gene-0.5-mRNA-1_1&gene=maker-shi_s16-snap-gene-0.5&CDS=1-1554	YNL016W
674	OG0000674	genemark-shi_s16-processed-gene-0.110-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.110&CDS=1-1674	YDL122W
675	OG0000675	genemark-shi_s16-processed-gene-0.111-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.111&CDS=1-897	YIL096C
676	OG0000676	genemark-shi_s16-processed-gene-0.131-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.131&CDS=1-1467	YIL097W
677	OG0000677	genemark-shi_s16-processed-gene-1.3-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.3&CDS=1-858	YOL003C
678	OG0000678	maker-shi_s16-snap-gene-1.133-mRNA-1_1&gene=maker-shi_s16-snap-gene-1.133&CDS=1-711	YOR362C
679	OG0000679	genemark-shi_s16-processed-gene-1.2-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.2&CDS=1-2181	YOR361C
680	OG0000680	genemark-shi_s16-processed-gene-1.29-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.29&CDS=1-330	YAL046C
681	OG0000681	genemark-shi_s16-processed-gene-1.5-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.5&CDS=1-1890	YAL048C
682	OG0000682	genemark-shi_s16-processed-gene-1.6-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.6&CDS=1-600	YOR294W
683	OG0000683	genemark-shi_s16-processed-gene-1.8-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.8&CDS=1-3738	YOR296W
684	OG0000684	maker-shi_s16-snap-gene-1.137-mRNA-1_1&gene=maker-shi_s16-snap-gene-1.137&CDS=1-4098	YOL004W
685	OG0000685	genemark-shi_s16-processed-gene-1.9-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.9&CDS=1-360	YOL005C
686	OG0000686	genemark-shi_s16-processed-gene-1.31-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.31&CDS=1-1989	YMR001C
687	OG0000687	genemark-shi_s16-processed-gene-1.32-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.32&CDS=1-735	YMR234W
688	OG0000688	augustus_masked-shi_s16-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-shi_s16-processed-gene-1.95&CDS=1-2193	YOL006C
689	OG0000689	genemark-shi_s16-processed-gene-1.33-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.33&CDS=1-429	YMR002W
690	OG0000690	genemark-shi_s16-processed-gene-1.14-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.14&CDS=1-4266	YLR419W
691	OG0000691	genemark-shi_s16-processed-gene-1.16-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.16&CDS=1-1545	YDR145W
692	OG0000692	genemark-shi_s16-processed-gene-1.35-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.35&CDS=1-1914	YLR127C
693	OG0000693	genemark-shi_s16-processed-gene-1.17-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.17&CDS=1-765	YLR128W
694	OG0000694	genemark-shi_s16-processed-gene-1.18-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.18&CDS=1-786	YOL142W
695	OG0000695	genemark-shi_s16-processed-gene-1.19-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.19&CDS=1-1992	YOL141W
696	OG0000696	genemark-shi_s16-processed-gene-1.38-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.38&CDS=1-1917	YIL046W
697	OG0000697	genemark-shi_s16-processed-gene-1.21-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.21&CDS=1-1422	YGR211W
698	OG0000698	snap_masked-shi_s16-processed-gene-1.81-mRNA-1_1&gene=snap_masked-shi_s16-processed-gene-1.81&CDS=1-6183	YGR217W
699	OG0000699	genemark-shi_s16-processed-gene-1.22-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.22&CDS=1-300	YGR215W
700	OG0000700	genemark-shi_s16-processed-gene-1.41-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.41&CDS=1-4221	YDL195W
701	OG0000701	snap_masked-shi_s16-processed-gene-2.49-mRNA-1_1&gene=snap_masked-shi_s16-processed-gene-2.49&CDS=1-933	YGR017W
702	OG0000702	augustus_masked-shi_s16-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-shi_s16-processed-gene-2.105&CDS=1-1365	YLL002W
703	OG0000703	genemark-shi_s16-processed-gene-2.27-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.27&CDS=1-1164	YLR191W
704	OG0000704	genemark-shi_s16-processed-gene-2.6-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.6&CDS=1-894	YJL126W
705	OG0000705	genemark-shi_s16-processed-gene-2.29-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.29&CDS=1-1320	YJL123C
706	OG0000706	maker-shi_s16-snap-gene-2.98-mRNA-1_1&gene=maker-shi_s16-snap-gene-2.98&CDS=1-3564	YDR104C
707	OG0000707	genemark-shi_s16-processed-gene-2.9-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.9&CDS=1-2979	YGL241W
708	OG0000708	genemark-shi_s16-processed-gene-2.10-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.10&CDS=1-1128	YGL169W
709	OG0000709	genemark-shi_s16-processed-gene-2.11-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.11&CDS=1-1056	YNL191W
710	OG0000710	genemark-shi_s16-processed-gene-2.12-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.12&CDS=1-492	YJL096W
711	OG0000711	genemark-shi_s16-processed-gene-2.34-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.34&CDS=1-1677	YNR030W
712	OG0000712	genemark-shi_s16-processed-gene-2.14-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.14&CDS=1-1152	YNR029C
713	OG0000713	genemark-shi_s16-processed-gene-2.15-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.15&CDS=1-1329	YJL054W
714	OG0000714	genemark-shi_s16-processed-gene-2.17-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.17&CDS=1-783	YEL019C
715	OG0000715	snap_masked-shi_s16-processed-gene-2.83-mRNA-1_1&gene=snap_masked-shi_s16-processed-gene-2.83&CDS=1-780	YGL221C
716	OG0000716	genemark-shi_s16-processed-gene-2.19-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.19&CDS=1-1485	YOL137W
717	OG0000717	snap_masked-shi_s16-processed-gene-2.84-mRNA-1_1&gene=snap_masked-shi_s16-processed-gene-2.84&CDS=1-258	YGL220W
718	OG0000718	genemark-shi_s16-processed-gene-2.38-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.38&CDS=1-4161	YDL240W
719	OG0000719	genemark-shi_s16-processed-gene-2.39-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.39&CDS=1-651	YNL038W
720	OG0000720	genemark-shi_s16-processed-gene-2.40-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.40&CDS=1-2046	YNL039W
721	OG0000721	genemark-shi_s16-processed-gene-2.20-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.20&CDS=1-1104	YNL035C
722	OG0000722	genemark-shi_s16-processed-gene-2.21-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.21&CDS=1-2847	YNL021W
723	OG0000723	genemark-shi_s16-processed-gene-2.22-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.22&CDS=1-1377	YNL022C
724	OG0000724	genemark-shi_s16-processed-gene-2.42-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.42&CDS=1-1113	YIL094C
725	OG0000725	genemark-shi_s16-processed-gene-2.23-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.23&CDS=1-654	YOR232W
726	OG0000726	maker-shi_s16-augustus-gene-2.93-mRNA-1_1&gene=maker-shi_s16-augustus-gene-2.93&CDS=1-2724	YPR003C
727	OG0000727	genemark-shi_s16-processed-gene-2.44-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.44&CDS=1-2049	YBR123C
728	OG0000728	genemark-shi_s16-processed-gene-3.55-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.55&CDS=1-1257	YHR004C
729	OG0000729	augustus_masked-shi_s16-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-shi_s16-processed-gene-3.104&CDS=1-1293	YJL203W
730	OG0000730	genemark-shi_s16-processed-gene-3.79-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.79&CDS=1-1470	YBR182C
731	OG0000731	maker-shi_s16-snap-gene-3.152-mRNA-1_1&gene=maker-shi_s16-snap-gene-3.152&CDS=1-6060	YPL085W
732	OG0000732	genemark-shi_s16-processed-gene-3.81-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.81&CDS=1-894	YOR311C
733	OG0000733	genemark-shi_s16-processed-gene-3.61-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.61&CDS=1-1446	YMR023C
734	OG0000734	maker-shi_s16-snap-gene-3.153-mRNA-1_1&gene=maker-shi_s16-snap-gene-3.153&CDS=1-3885	YPR047W
735	OG0000735	maker-shi_s16-augustus-gene-3.160-mRNA-1_1&gene=maker-shi_s16-augustus-gene-3.160&CDS=1-651	YKL041W
736	OG0000736	genemark-shi_s16-processed-gene-3.85-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.85&CDS=1-1077	YBR087W
737	OG0000737	genemark-shi_s16-processed-gene-3.86-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.86&CDS=1-561	YER042W
738	OG0000738	genemark-shi_s16-processed-gene-3.89-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.89&CDS=1-615	YOR289W
739	OG0000739	genemark-shi_s16-processed-gene-3.69-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.69&CDS=1-660	YMR134W
740	OG0000740	maker-shi_s16-augustus-gene-3.162-mRNA-1_1&gene=maker-shi_s16-augustus-gene-3.162&CDS=1-3483	YGL027C
741	OG0000741	genemark-shi_s16-processed-gene-3.93-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.93&CDS=1-801	YNL056W
742	OG0000742	genemark-shi_s16-processed-gene-3.71-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.71&CDS=1-1248	YOL058W
743	OG0000743	genemark-shi_s16-processed-gene-3.95-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.95&CDS=1-1560	YER051W
744	OG0000744	genemark-shi_s16-processed-gene-3.72-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.72&CDS=1-1221	YIL042C
745	OG0000745	genemark-shi_s16-processed-gene-3.73-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.73&CDS=1-1839	YDL146W
746	OG0000746	genemark-shi_s16-processed-gene-3.96-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.96&CDS=1-3564	YGR233C
747	OG0000747	genemark-shi_s16-processed-gene-3.97-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.97&CDS=1-579	YDR002W
748	OG0000748	genemark-shi_s16-processed-gene-3.98-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.98&CDS=1-3237	YGR218W
749	OG0000749	genemark-shi_s16-processed-gene-3.75-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.75&CDS=1-1449	YBR003W
750	OG0000750	genemark-shi_s16-processed-gene-3.100-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.100&CDS=1-843	YGR220C
751	OG0000751	genemark-shi_s16-processed-gene-3.101-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.101&CDS=1-663	YHR147C
752	OG0000752	genemark-shi_s16-processed-gene-3.76-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.76&CDS=1-549	YHR148W
753	OG0000753	genemark-shi_s16-processed-gene-4.4-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.4&CDS=1-357	YJL104W
754	OG0000754	genemark-shi_s16-processed-gene-4.0-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.0&CDS=1-1959	YBR030W
755	OG0000755	genemark-shi_s16-processed-gene-4.1-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.1&CDS=1-1875	YKR017C
756	OG0000756	genemark-shi_s16-processed-gene-4.5-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.5&CDS=1-948	YKR030W
757	OG0000757	genemark-shi_s16-processed-gene-4.38-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.38&CDS=1-669	YNL129W
758	OG0000758	genemark-shi_s16-processed-gene-4.7-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.7&CDS=1-798	YNL036W
759	OG0000759	genemark-shi_s16-processed-gene-4.9-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.9&CDS=1-792	YAL014C
760	OG0000760	genemark-shi_s16-processed-gene-4.40-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.40&CDS=1-420	YJR044C
761	OG0000761	genemark-shi_s16-processed-gene-4.10-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.10&CDS=1-1533	YOL033W
