	OrthologID	Saccharomyces_cerevisiae	yHAB158_Kazachstania_viticola
306	OG0000306	YJR094W-A, YPR043W	augustus_masked-scf7180000050197-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scf7180000050197-processed-gene-0.50&CDS=1-309
307	OG0000307	YJR096W	augustus_masked-scf7180000049719-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000049719-processed-gene-0.11&CDS=1-858, augustus_masked-scf7180000049740-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.34&CDS=1-858
308	OG0000308	YJR100C	augustus_masked-scf7180000049393-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000049393-processed-gene-0.0&CDS=1-366, genemark-scf7180000050350-processed-gene-0.56-mRNA-1_1&gene=genemark-scf7180000050350-processed-gene-0.56&CDS=1-684
309	OG0000309	YJR130C, YML082W	augustus_masked-scf7180000050361-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000050361-processed-gene-0.40&CDS=1-1935
310	OG0000310	YJR148W	augustus_masked-scf7180000050208-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000050208-processed-gene-0.3&CDS=1-1134, augustus_masked-scf7180000050295-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000050295-processed-gene-0.8&CDS=1-1128
311	OG0000311	YKL001C	augustus_masked-scf7180000050206-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-scf7180000050206-processed-gene-1.53&CDS=1-594, augustus_masked-scf7180000050376-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scf7180000050376-processed-gene-0.55&CDS=1-594
312	OG0000312	YKL002W	augustus_masked-scf7180000050206-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-scf7180000050206-processed-gene-1.28&CDS=1-708, augustus_masked-scf7180000050376-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000050376-processed-gene-0.44&CDS=1-708
313	OG0000313	YKL006C-A	augustus_masked-scf7180000050206-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-scf7180000050206-processed-gene-1.24&CDS=1-291, augustus_masked-scf7180000050376-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000050376-processed-gene-0.40&CDS=1-291
314	OG0000314	YKL007W	augustus_masked-scf7180000050206-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-scf7180000050206-processed-gene-1.47&CDS=1-804, augustus_masked-scf7180000050376-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-scf7180000050376-processed-gene-0.49&CDS=1-804
315	OG0000315	YKL010C	augustus_masked-scf7180000050206-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-scf7180000050206-processed-gene-1.26&CDS=1-4650, augustus_masked-scf7180000050376-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000050376-processed-gene-0.42&CDS=1-4650
316	OG0000316	YKL011C	augustus_masked-scf7180000049726-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.32&CDS=1-939, augustus_masked-scf7180000049740-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.5&CDS=1-939
317	OG0000317	YKL013C	augustus_masked-scf7180000049726-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.34&CDS=1-513, augustus_masked-scf7180000049740-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.7&CDS=1-513
318	OG0000318	YKL014C	augustus_masked-scf7180000050273-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000050273-processed-gene-0.69&CDS=1-5097, snap_masked-scf7180000049474-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000049474-processed-gene-0.2&CDS=1-5124
319	OG0000319	YKL015W	augustus_masked-scf7180000049726-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.48&CDS=1-2949, augustus_masked-scf7180000049740-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.26&CDS=1-2949
320	OG0000320	YKL016C	augustus_masked-scf7180000049726-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.35&CDS=1-522, augustus_masked-scf7180000049740-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.8&CDS=1-522
321	OG0000321	YKL017C	augustus_masked-scf7180000049726-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.36&CDS=1-2082, augustus_masked-scf7180000049740-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.9&CDS=1-2082
322	OG0000322	YKL018C-A	augustus_masked-scf7180000049726-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.37&CDS=1-315, augustus_masked-scf7180000049740-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.10&CDS=1-315
323	OG0000323	YKL018W	augustus_masked-scf7180000049726-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.49&CDS=1-1014, augustus_masked-scf7180000049740-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.27&CDS=1-1014
324	OG0000324	YKL019W	augustus_masked-scf7180000049726-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.50&CDS=1-1047, augustus_masked-scf7180000049740-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.28&CDS=1-1047
325	OG0000325	YKL021C	augustus_masked-scf7180000049726-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.38&CDS=1-4122, augustus_masked-scf7180000049740-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.11&CDS=1-4122
326	OG0000326	YKL022C	augustus_masked-scf7180000049719-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000049719-processed-gene-0.20&CDS=1-2337, augustus_masked-scf7180000049740-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.12&CDS=1-2337
327	OG0000327	YKL023C-A	genemark-scf7180000049719-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000049719-processed-gene-0.9&CDS=1-300, genemark-scf7180000049740-processed-gene-0.90-mRNA-1_1&gene=genemark-scf7180000049740-processed-gene-0.90&CDS=1-300
328	OG0000328	YKL024C	augustus_masked-scf7180000049719-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000049719-processed-gene-0.19&CDS=1-603, augustus_masked-scf7180000049740-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.13&CDS=1-603
329	OG0000329	YKL025C	augustus_masked-scf7180000049719-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000049719-processed-gene-0.18&CDS=1-2103, augustus_masked-scf7180000049740-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.14&CDS=1-2103
330	OG0000330	YKL045W	augustus_masked-scf7180000049689-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000049689-processed-gene-0.5&CDS=1-1527, augustus_masked-scf7180000050214-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000050214-processed-gene-0.20&CDS=1-1527
331	OG0000331	YKL046C	augustus_masked-scf7180000049689-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000049689-processed-gene-0.10&CDS=1-1356, augustus_masked-scf7180000050214-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000050214-processed-gene-0.27&CDS=1-1356
332	OG0000332	YKL047W	augustus_masked-scf7180000049689-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000049689-processed-gene-0.4&CDS=1-1392, augustus_masked-scf7180000050214-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000050214-processed-gene-0.19&CDS=1-1392
333	OG0000333	YKL053C-A	augustus_masked-scf7180000049689-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049689-processed-gene-0.1&CDS=1-249, augustus_masked-scf7180000050214-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000050214-processed-gene-0.16&CDS=1-249
334	OG0000334	YKL055C	maker-scf7180000049689-augustus-gene-0.13-mRNA-1_1&gene=maker-scf7180000049689-augustus-gene-0.13&CDS=1-507, maker-scf7180000050214-augustus-gene-0.1-mRNA-1_1&gene=maker-scf7180000050214-augustus-gene-0.1&CDS=1-507
335	OG0000335	YKL056C	augustus_masked-scf7180000049689-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000049689-processed-gene-0.7&CDS=1-501, augustus_masked-scf7180000050214-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000050214-processed-gene-0.24&CDS=1-501
336	OG0000336	YKL058W	augustus_masked-scf7180000049689-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049689-processed-gene-0.2&CDS=1-381, augustus_masked-scf7180000050214-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000050214-processed-gene-0.17&CDS=1-381
337	OG0000337	YKL060C	maker-scf7180000049689-snap-gene-0.34-mRNA-1_1&gene=maker-scf7180000049689-snap-gene-0.34&CDS=1-2280, maker-scf7180000050214-snap-gene-0.41-mRNA-1_1&gene=maker-scf7180000050214-snap-gene-0.41&CDS=1-2280
338	OG0000338	YKL061W	augustus_masked-scf7180000049689-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000049689-processed-gene-0.9&CDS=1-339, augustus_masked-scf7180000050214-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000050214-processed-gene-0.26&CDS=1-339
339	OG0000339	YKL073W	augustus_masked-scf7180000049726-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.40&CDS=1-2682, augustus_masked-scf7180000049740-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.18&CDS=1-2682
340	OG0000340	YKL074C	augustus_masked-scf7180000049726-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.27&CDS=1-1557, augustus_masked-scf7180000049740-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.0&CDS=1-1557
341	OG0000341	YKL075C	genemark-scf7180000049726-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000049726-processed-gene-0.2&CDS=1-1338, genemark-scf7180000049740-processed-gene-0.77-mRNA-1_1&gene=genemark-scf7180000049740-processed-gene-0.77&CDS=1-1338
342	OG0000342	YKL077W	augustus_masked-scf7180000049726-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.41&CDS=1-1167, augustus_masked-scf7180000049740-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.19&CDS=1-1167
343	OG0000343	YKL078W	augustus_masked-scf7180000049726-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.42&CDS=1-2184, augustus_masked-scf7180000049740-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.20&CDS=1-2184
344	OG0000344	YKL079W	augustus_masked-scf7180000049726-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.43&CDS=1-2010, augustus_masked-scf7180000049740-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.21&CDS=1-2010
345	OG0000345	YKL080W	augustus_masked-scf7180000049726-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.44&CDS=1-1176, augustus_masked-scf7180000049740-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.22&CDS=1-1176
346	OG0000346	YKL081W	augustus_masked-scf7180000049726-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.45&CDS=1-1230, augustus_masked-scf7180000049740-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.23&CDS=1-1230
347	OG0000347	YKL082C	augustus_masked-scf7180000049726-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.30&CDS=1-2187, augustus_masked-scf7180000049740-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.3&CDS=1-2187
348	OG0000348	YKL084W	genemark-scf7180000049726-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000049726-processed-gene-0.20&CDS=1-330, genemark-scf7180000049740-processed-gene-0.101-mRNA-1_1&gene=genemark-scf7180000049740-processed-gene-0.101&CDS=1-330
349	OG0000349	YKL085W	augustus_masked-scf7180000049726-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.46&CDS=1-1005, augustus_masked-scf7180000049740-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.24&CDS=1-1005
350	OG0000350	YKL086W	augustus_masked-scf7180000049726-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.47&CDS=1-378, augustus_masked-scf7180000049740-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.25&CDS=1-378
351	OG0000351	YKL089W	augustus_masked-scf7180000050376-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000050376-processed-gene-0.51&CDS=1-1806, snap_masked-scf7180000050206-processed-gene-1.108-mRNA-1_1&gene=snap_masked-scf7180000050206-processed-gene-1.108&CDS=1-1806
352	OG0000352	YKL090W	augustus_masked-scf7180000050206-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-scf7180000050206-processed-gene-1.50&CDS=1-1506, augustus_masked-scf7180000050376-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000050376-processed-gene-0.52&CDS=1-1506
353	OG0000353	YKL121W, YMR102C	augustus_masked-scf7180000050206-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-scf7180000050206-processed-gene-1.10&CDS=1-2445
354	OG0000354	YKL126W, YMR104C	genemark-scf7180000050206-processed-gene-1.129-mRNA-1_1&gene=genemark-scf7180000050206-processed-gene-1.129&CDS=1-3921
355	OG0000355	YKL150W	augustus_masked-scf7180000050156-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000050156-processed-gene-0.10&CDS=1-903, augustus_masked-scf7180000050309-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000050309-processed-gene-0.18&CDS=1-903
356	OG0000356	YKL152C	augustus_masked-scf7180000049747-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049747-processed-gene-0.1&CDS=1-741, augustus_masked-scf7180000050309-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000050309-processed-gene-0.23&CDS=1-741
357	OG0000357	YKL206C	augustus_masked-scf7180000049687-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000049687-processed-gene-0.0&CDS=1-858, snap_masked-scf7180000050305-processed-gene-0.26-mRNA-1_1&gene=snap_masked-scf7180000050305-processed-gene-0.26&CDS=1-858
358	OG0000358	YKR001C	augustus_masked-scf7180000050206-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-scf7180000050206-processed-gene-1.54&CDS=1-2118, augustus_masked-scf7180000050376-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scf7180000050376-processed-gene-0.56&CDS=1-2118
359	OG0000359	YKR002W	augustus_masked-scf7180000050206-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-scf7180000050206-processed-gene-1.29&CDS=1-1701, augustus_masked-scf7180000050376-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000050376-processed-gene-0.45&CDS=1-1701
360	OG0000360	YKR004C	augustus_masked-scf7180000050376-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000050376-processed-gene-0.57&CDS=1-1161, snap_masked-scf7180000050206-processed-gene-1.114-mRNA-1_1&gene=snap_masked-scf7180000050206-processed-gene-1.114&CDS=1-1161
361	OG0000361	YKR006C	augustus_masked-scf7180000050376-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scf7180000050376-processed-gene-0.59&CDS=1-783, snap_masked-scf7180000050206-processed-gene-1.116-mRNA-1_1&gene=snap_masked-scf7180000050206-processed-gene-1.116&CDS=1-783
362	OG0000362	YKR023W	augustus_masked-scf7180000050235-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000050235-processed-gene-0.1&CDS=1-567, augustus_masked-scf7180000050332-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-scf7180000050332-processed-gene-0.178&CDS=1-1539
363	OG0000363	YKR095W	augustus_masked-scf7180000049609-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049609-processed-gene-0.2&CDS=1-825, snap_masked-scf7180000050347-processed-gene-0.59-mRNA-1_1&gene=snap_masked-scf7180000050347-processed-gene-0.59&CDS=1-5232
364	OG0000364	YKR099W	augustus_masked-scf7180000049577-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049577-processed-gene-0.1&CDS=1-435, augustus_masked-scf7180000050347-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scf7180000050347-processed-gene-0.37&CDS=1-1920
365	OG0000365	YLL017W	augustus_masked-scf7180000049495-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000049495-processed-gene-0.0&CDS=1-333, maker-scf7180000050345-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000050345-snap-gene-0.0&CDS=1-1155
366	OG0000366	YLL042C	snap_masked-scf7180000049693-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000049693-processed-gene-0.6&CDS=1-516, snap_masked-scf7180000049694-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scf7180000049694-processed-gene-0.21&CDS=1-516
367	OG0000367	YLL048C	augustus_masked-scf7180000050133-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000050133-processed-gene-0.2&CDS=1-4992, augustus_masked-scf7180000050172-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000050172-processed-gene-0.4&CDS=1-4992
368	OG0000368	YLL049W	snap_masked-scf7180000050133-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000050133-processed-gene-0.8&CDS=1-549, snap_masked-scf7180000050172-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000050172-processed-gene-0.5&CDS=1-549
369	OG0000369	YLL050C	augustus_masked-scf7180000050133-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000050133-processed-gene-0.3&CDS=1-420, augustus_masked-scf7180000050172-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000050172-processed-gene-0.3&CDS=1-420
370	OG0000370	YLL061W, YPL274W	augustus_masked-scf7180000050341-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000050341-processed-gene-0.12&CDS=1-4488
371	OG0000371	YLR028C, YMR120C	augustus_masked-scf7180000050206-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-scf7180000050206-processed-gene-0.125&CDS=1-1770
372	OG0000372	YLR029C, YMR121C	augustus_masked-scf7180000050206-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-scf7180000050206-processed-gene-0.126&CDS=1-612
373	OG0000373	YLR064W	snap_masked-scf7180000050109-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scf7180000050109-processed-gene-0.13&CDS=1-588, snap_masked-scf7180000050210-processed-gene-0.24-mRNA-1_1&gene=snap_masked-scf7180000050210-processed-gene-0.24&CDS=1-783
374	OG0000374	YLR065C	augustus_masked-scf7180000050109-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000050109-processed-gene-0.20&CDS=1-519, genemark-scf7180000050210-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000050210-processed-gene-0.3&CDS=1-519
375	OG0000375	YLR077W	augustus_masked-scf7180000050125-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000050125-processed-gene-0.1&CDS=1-573, snap_masked-scf7180000050109-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000050109-processed-gene-0.7&CDS=1-1665
376	OG0000376	YLR127C	augustus_masked-scf7180000049809-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000049809-processed-gene-0.0&CDS=1-486, augustus_masked-scf7180000050343-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000050343-processed-gene-0.42&CDS=1-2139
377	OG0000377	YLR131C	augustus_masked-scf7180000049364-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049364-processed-gene-0.2&CDS=1-387, augustus_masked-scf7180000050343-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000050343-processed-gene-0.44&CDS=1-2445
378	OG0000378	YLR178C	augustus_masked-scf7180000050358-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.52&CDS=1-588, augustus_masked-scf7180000050371-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.106&CDS=1-600
379	OG0000379	YLR195C	augustus_masked-scf7180000050211-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000050211-processed-gene-0.78&CDS=1-1374, augustus_masked-scf7180000050393-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000050393-processed-gene-0.40&CDS=1-1383
380	OG0000380	YLR258W	augustus_masked-scf7180000050199-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000050199-processed-gene-0.43&CDS=1-2130, augustus_masked-scf7180000050339-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-scf7180000050339-processed-gene-0.83&CDS=1-2130
381	OG0000381	YLR259C	augustus_masked-scf7180000049689-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000049689-processed-gene-0.11&CDS=1-1710, augustus_masked-scf7180000050214-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000050214-processed-gene-0.28&CDS=1-1710
382	OG0000382	YLR278C	augustus_masked-scf7180000050143-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-scf7180000050143-processed-gene-0.67&CDS=1-3633, snap_masked-scf7180000050204-processed-gene-0.41-mRNA-1_1&gene=snap_masked-scf7180000050204-processed-gene-0.41&CDS=1-3624
383	OG0000383	YLR284C, YOR180C	augustus_masked-scf7180000050143-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000050143-processed-gene-0.69&CDS=1-873
384	OG0000384	YLR307W, YLR308W	augustus_masked-scf7180000050400-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-scf7180000050400-processed-gene-0.95&CDS=1-1371
385	OG0000385	YLR441C	augustus_masked-scf7180000050357-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-0.64&CDS=1-765, augustus_masked-scf7180000050371-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.84&CDS=1-765
386	OG0000386	YLR450W, YML075C	genemark-scf7180000050371-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000050371-processed-gene-0.43&CDS=1-3093
387	OG0000387	YML072C	augustus_masked-scf7180000049432-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000049432-processed-gene-0.0&CDS=1-3027, augustus_masked-scf7180000050262-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000050262-processed-gene-0.29&CDS=1-2616
388	OG0000388	YML103C	augustus_masked-scf7180000049348-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.10&CDS=1-5010, augustus_masked-scf7180000049690-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049690-processed-gene-0.2&CDS=1-1071
389	OG0000389	YML111W, YMR275C	augustus_masked-scf7180000050093-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000050093-processed-gene-0.44&CDS=1-2757
390	OG0000390	YMR059W	augustus_masked-scf7180000049726-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.29&CDS=1-414, augustus_masked-scf7180000049740-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.2&CDS=1-414
391	OG0000391	YMR134W	augustus_masked-scf7180000050163-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scf7180000050163-processed-gene-0.63&CDS=1-720, genemark-scf7180000050151-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000050151-processed-gene-0.20&CDS=1-654
392	OG0000392	YMR135C	augustus_masked-scf7180000050163-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000050163-processed-gene-0.51&CDS=1-933, snap_masked-scf7180000050151-processed-gene-0.52-mRNA-1_1&gene=snap_masked-scf7180000050151-processed-gene-0.52&CDS=1-1518
393	OG0000393	YMR169C, YMR170C	augustus_masked-scf7180000050339-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-scf7180000050339-processed-gene-0.70&CDS=1-1512
394	OG0000394	YMR183C, YPL232W	snap_masked-scf7180000050273-processed-gene-1.118-mRNA-1_1&gene=snap_masked-scf7180000050273-processed-gene-1.118&CDS=1-1413
395	OG0000395	YMR186W, YPL240C	augustus_masked-scf7180000050302-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-scf7180000050302-processed-gene-1.12&CDS=1-2112
396	OG0000396	YMR194W, YPL249C-A	genemark-scf7180000050273-processed-gene-1.59-mRNA-1_1&gene=genemark-scf7180000050273-processed-gene-1.59&CDS=1-300
397	OG0000397	YMR199W, YPL256C	augustus_masked-scf7180000050273-processed-gene-1.247-mRNA-1_1&gene=augustus_masked-scf7180000050273-processed-gene-1.247&CDS=1-1578
398	OG0000398	YMR230W, YOR293W	snap_masked-scf7180000050387-processed-gene-0.54-mRNA-1_1&gene=snap_masked-scf7180000050387-processed-gene-0.54&CDS=1-318
399	OG0000399	YMR233W	augustus_masked-scf7180000050107-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000050107-processed-gene-0.4&CDS=1-642, augustus_masked-scf7180000050320-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-scf7180000050320-processed-gene-0.77&CDS=1-642
400	OG0000400	YMR237W, YOR299W	augustus_masked-scf7180000049365-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000049365-processed-gene-0.7&CDS=1-2202
401	OG0000401	YMR242C, YOR312C	snap_masked-scf7180000049348-processed-gene-0.89-mRNA-1_1&gene=snap_masked-scf7180000049348-processed-gene-0.89&CDS=1-564
402	OG0000402	YMR253C, YPL264C	augustus_masked-scf7180000050140-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000050140-processed-gene-0.44&CDS=1-1164
403	OG0000403	YMR288W	augustus_masked-scf7180000050298-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000050298-processed-gene-0.2&CDS=1-1665, augustus_masked-scf7180000050361-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000050361-processed-gene-0.0&CDS=1-2757
404	OG0000404	YNL018C, YNL034W	snap_masked-scf7180000050382-processed-gene-0.59-mRNA-1_1&gene=snap_masked-scf7180000050382-processed-gene-0.59&CDS=1-1026
