	OrthologID	Eremothecium_cymbalariae	Saccharomyces_cerevisiae
384	OG0000384	augustus_masked-NC_016449.1-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-2.47&CDS=1-852	YNL265C
385	OG0000385	maker-NC_016449.1-snap-gene-2.143-mRNA-1_1&gene=maker-NC_016449.1-snap-gene-2.143&CDS=1-3129	YGR047C
386	OG0000386	snap_masked-NC_016449.1-processed-gene-2.83-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.83&CDS=1-1047	YGR048W
387	OG0000387	snap_masked-NC_016449.1-processed-gene-2.88-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.88&CDS=1-3603	YGL140C
388	OG0000388	snap_masked-NC_016449.1-processed-gene-2.118-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.118&CDS=1-888	YNL263C
389	OG0000389	snap_masked-NC_016449.1-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.89&CDS=1-6552	YNL262W
390	OG0000390	augustus_masked-NC_016449.1-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-2.53&CDS=1-1542	YNL261W
391	OG0000391	snap_masked-NC_016449.1-processed-gene-2.91-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.91&CDS=1-1119	YHR156C
392	OG0000392	genemark-NC_016449.1-processed-gene-2.33-mRNA-1_1&gene=genemark-NC_016449.1-processed-gene-2.33&CDS=1-522	YNL260C
393	OG0000393	snap_masked-NC_016449.1-processed-gene-2.120-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.120&CDS=1-1239	YNL254C
394	OG0000394	augustus_masked-NC_016449.1-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-2.56&CDS=1-1233	YNL253W
395	OG0000395	maker-NC_016449.1-augustus-gene-2.136-mRNA-1_1&gene=maker-NC_016449.1-augustus-gene-2.136&CDS=1-2481	YNL251C
396	OG0000396	snap_masked-NC_016449.1-processed-gene-2.95-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.95&CDS=1-3894	YNL250W
397	OG0000397	snap_masked-NC_016449.1-processed-gene-2.124-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.124&CDS=1-1233	YNL248C
398	OG0000398	snap_masked-NC_016449.1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.100&CDS=1-1179	YJL203W
399	OG0000399	snap_masked-NC_016449.1-processed-gene-2.101-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.101&CDS=1-576	YNL255C
400	OG0000400	snap_masked-NC_016449.1-processed-gene-2.127-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.127&CDS=1-2373	YNL256W
401	OG0000401	augustus_masked-NC_016449.1-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-2.62&CDS=1-3537	YGR255C
402	OG0000402	snap_masked-NC_016449.1-processed-gene-2.107-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.107&CDS=1-222	YNL259C
403	OG0000403	snap_masked-NC_016449.1-processed-gene-2.108-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.108&CDS=1-1062	YIR029W
404	OG0000404	snap_masked-NC_016449.1-processed-gene-2.109-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.109&CDS=1-960	YJR129C
405	OG0000405	maker-NC_016449.1-augustus-gene-2.133-mRNA-1_1&gene=maker-NC_016449.1-augustus-gene-2.133&CDS=1-4953	YML080W
406	OG0000406	snap_masked-NC_016449.1-processed-gene-2.113-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.113&CDS=1-2370	YJR126C
407	OG0000407	snap_masked-NC_016449.1-processed-gene-2.128-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.128&CDS=1-2466	YML076C
408	OG0000408	snap_masked-NC_016449.1-processed-gene-2.129-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.129&CDS=1-3129	YML075C
409	OG0000409	snap_masked-NC_016449.1-processed-gene-2.130-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.130&CDS=1-1233	YLR449W
410	OG0000410	snap_masked-NC_016449.1-processed-gene-3.55-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.55&CDS=1-1281	YML071C
411	OG0000411	snap_masked-NC_016449.1-processed-gene-3.51-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.51&CDS=1-1041	YLR447C
412	OG0000412	augustus_masked-NC_016449.1-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-3.36&CDS=1-1563	YLR446W
413	OG0000413	snap_masked-NC_016449.1-processed-gene-3.59-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.59&CDS=1-1782	YML070W
414	OG0000414	snap_masked-NC_016449.1-processed-gene-3.60-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.60&CDS=1-1614	YML069W
415	OG0000415	maker-NC_016449.1-snap-gene-3.4-mRNA-1_1&gene=maker-NC_016449.1-snap-gene-3.4&CDS=1-495	YLR445W
416	OG0000416	genemark-NC_016449.1-processed-gene-3.131-mRNA-1_1&gene=genemark-NC_016449.1-processed-gene-3.131&CDS=1-2118	YML067C
417	OG0000417	snap_masked-NC_016449.1-processed-gene-3.86-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.86&CDS=1-1254	YLR443W
418	OG0000418	maker-NC_016449.1-snap-gene-3.0-mRNA-1_1&gene=maker-NC_016449.1-snap-gene-3.0&CDS=1-2718	YML065W
419	OG0000419	snap_masked-NC_016449.1-processed-gene-3.87-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.87&CDS=1-699	YML064C
420	OG0000420	snap_masked-NC_016449.1-processed-gene-3.62-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.62&CDS=1-765	YLR441C
421	OG0000421	snap_masked-NC_016449.1-processed-gene-3.88-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.88&CDS=1-1170	YML062C
422	OG0000422	snap_masked-NC_016449.1-processed-gene-3.63-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.63&CDS=1-2070	YLR440C
423	OG0000423	snap_masked-NC_016449.1-processed-gene-3.64-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.64&CDS=1-876	YML060W
424	OG0000424	snap_masked-NC_016449.1-processed-gene-3.90-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.90&CDS=1-960	YLR439W
425	OG0000425	snap_masked-NC_016449.1-processed-gene-3.66-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.66&CDS=1-249	YLR438C-A
426	OG0000426	snap_masked-NC_016449.1-processed-gene-3.91-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.91&CDS=1-4560	YML059C
427	OG0000427	snap_masked-NC_016449.1-processed-gene-3.92-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.92&CDS=1-1305	YLR438W
428	OG0000428	snap_masked-NC_016449.1-processed-gene-3.67-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.67&CDS=1-435	YLR437C
429	OG0000429	snap_masked-NC_016449.1-processed-gene-3.68-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.68&CDS=1-1233	YPL072W
430	OG0000430	snap_masked-NC_016449.1-processed-gene-3.69-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.69&CDS=1-1650	YBR200W
431	OG0000431	augustus_masked-NC_016449.1-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-3.44&CDS=1-480	YPL071C
432	OG0000432	snap_masked-NC_016449.1-processed-gene-3.70-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.70&CDS=1-1662	YPL070W
433	OG0000433	snap_masked-NC_016449.1-processed-gene-3.95-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.95&CDS=1-951	YPL069C
434	OG0000434	snap_masked-NC_016449.1-processed-gene-3.71-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.71&CDS=1-2439	YBR202W
435	OG0000435	snap_masked-NC_016449.1-processed-gene-3.72-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.72&CDS=1-1326	YPL066W
436	OG0000436	augustus_masked-NC_016449.1-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-3.29&CDS=1-726	YPL065W
437	OG0000437	genemark-NC_016449.1-processed-gene-3.142-mRNA-1_1&gene=genemark-NC_016449.1-processed-gene-3.142&CDS=1-810	YPL064C
438	OG0000438	snap_masked-NC_016449.1-processed-gene-3.74-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.74&CDS=1-1470	YPL063W
439	OG0000439	augustus_masked-NC_016449.1-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-3.31&CDS=1-2358	YBR203W
440	OG0000440	snap_masked-NC_016449.1-processed-gene-3.98-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.98&CDS=1-5010	YBR204C
441	OG0000441	snap_masked-NC_016449.1-processed-gene-3.99-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.99&CDS=1-5511	YBR208C
442	OG0000442	snap_masked-NC_016449.1-processed-gene-3.80-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.80&CDS=1-2271	YER015W
443	OG0000443	snap_masked-NC_016449.1-processed-gene-3.81-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.81&CDS=1-417	YPL059W
444	OG0000444	snap_masked-NC_016449.1-processed-gene-3.100-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.100&CDS=1-1650	YBR163W
445	OG0000445	snap_masked-NC_016449.1-processed-gene-4.2-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.2&CDS=1-984	YGL225W
446	OG0000446	snap_masked-NC_016449.1-processed-gene-4.3-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.3&CDS=1-1215	YER038C
447	OG0000447	snap_masked-NC_016449.1-processed-gene-4.7-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.7&CDS=1-846	YGL224C
448	OG0000448	snap_masked-NC_016449.1-processed-gene-4.4-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.4&CDS=1-1827	YER036C
449	OG0000449	snap_masked-NC_016449.1-processed-gene-4.9-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.9&CDS=1-1062	YGL222C
450	OG0000450	snap_masked-NC_016449.1-processed-gene-4.10-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.10&CDS=1-861	YGL221C
451	OG0000451	snap_masked-NC_016449.1-processed-gene-4.6-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.6&CDS=1-252	YGL220W
452	OG0000452	snap_masked-NC_016449.1-processed-gene-4.28-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.28&CDS=1-1881	YGL219C
453	OG0000453	snap_masked-NC_016449.1-processed-gene-4.11-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.11&CDS=1-2499	YGL216W
454	OG0000454	snap_masked-NC_016449.1-processed-gene-4.12-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.12&CDS=1-1332	YGL215W
455	OG0000455	augustus_masked-NC_016449.1-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-4.67&CDS=1-1254	YGL213C
456	OG0000456	augustus_masked-NC_016449.1-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-4.53&CDS=1-1050	YGL212W
457	OG0000457	snap_masked-NC_016449.1-processed-gene-4.13-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.13&CDS=1-1119	YGL211W
458	OG0000458	maker-NC_016449.1-augustus-gene-4.0-mRNA-1_1&gene=maker-NC_016449.1-augustus-gene-4.0&CDS=1-2997	YER033C
459	OG0000459	snap_masked-NC_016449.1-processed-gene-4.30-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.30&CDS=1-3354	YER032W
460	OG0000460	snap_masked-NC_016449.1-processed-gene-4.31-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.31&CDS=1-468	YER030W
461	OG0000461	snap_masked-NC_016449.1-processed-gene-4.16-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.16&CDS=1-1278	YER027C
462	OG0000462	snap_masked-NC_016449.1-processed-gene-4.17-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.17&CDS=1-3126	YGL207W
463	OG0000463	snap_masked-NC_016449.1-processed-gene-4.32-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.32&CDS=1-4953	YGL206C
464	OG0000464	snap_masked-NC_016449.1-processed-gene-4.18-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.18&CDS=1-2208	YGL205W
465	OG0000465	snap_masked-NC_016449.1-processed-gene-4.19-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.19&CDS=1-828	YER026C
466	OG0000466	snap_masked-NC_016449.1-processed-gene-4.33-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.33&CDS=1-1821	YGL203C
467	OG0000467	snap_masked-NC_016449.1-processed-gene-4.34-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.34&CDS=1-2706	YPR160W
468	OG0000468	snap_masked-NC_016449.1-processed-gene-4.35-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.35&CDS=1-3075	YGL201C
469	OG0000469	snap_masked-NC_016449.1-processed-gene-4.36-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.36&CDS=1-2184	YPR159W
470	OG0000470	snap_masked-NC_016449.1-processed-gene-4.39-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.39&CDS=1-1140	YGR142W
471	OG0000471	snap_masked-NC_016449.1-processed-gene-4.41-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.41&CDS=1-2397	YGR140W
472	OG0000472	snap_masked-NC_016449.1-processed-gene-4.22-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.22&CDS=1-1707	YPR155C
473	OG0000473	augustus_masked-NC_016449.1-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-4.79&CDS=1-1206	YPR153W
474	OG0000474	snap_masked-NC_016449.1-processed-gene-4.43-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.43&CDS=1-753	YGR135W
475	OG0000475	snap_masked-NC_016449.1-processed-gene-4.23-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.23&CDS=1-987	YPR152C
476	OG0000476	snap_masked-NC_016449.1-processed-gene-4.44-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.44&CDS=1-3612	YGR134W
477	OG0000477	snap_masked-NC_016449.1-processed-gene-4.24-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.24&CDS=1-261	YPR151C
478	OG0000478	snap_masked-NC_016449.1-processed-gene-4.45-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.45&CDS=1-483	YGR133W
479	OG0000479	snap_masked-NC_016449.1-processed-gene-4.25-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.25&CDS=1-849	YGR132C
480	OG0000480	snap_masked-NC_016449.1-processed-gene-4.27-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.27&CDS=1-2181	YGR130C
481	OG0000481	snap_masked-NC_016449.1-processed-gene-5.40-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.40&CDS=1-1179	YPR148C
482	OG0000482	snap_masked-NC_016449.1-processed-gene-5.43-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.43&CDS=1-579	YGR129W
483	OG0000483	maker-NC_016449.1-snap-gene-5.89-mRNA-1_1&gene=maker-NC_016449.1-snap-gene-5.89&CDS=1-1950	YGR128C
484	OG0000484	augustus_masked-NC_016449.1-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-5.4&CDS=1-915	YPR147C
485	OG0000485	snap_masked-NC_016449.1-processed-gene-5.44-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.44&CDS=1-933	YGR127W
486	OG0000486	genemark-NC_016449.1-processed-gene-5.100-mRNA-1_1&gene=genemark-NC_016449.1-processed-gene-5.100&CDS=1-3093	YGR125W
487	OG0000487	snap_masked-NC_016449.1-processed-gene-5.47-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.47&CDS=1-1569	YPR144C
488	OG0000488	snap_masked-NC_016449.1-processed-gene-5.59-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.59&CDS=1-684	YPR113W
489	OG0000489	snap_masked-NC_016449.1-processed-gene-5.60-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.60&CDS=1-957	YGR096W
490	OG0000490	snap_masked-NC_016449.1-processed-gene-5.48-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.48&CDS=1-660	YGR095C
491	OG0000491	genemark-NC_016449.1-processed-gene-5.114-mRNA-1_1&gene=genemark-NC_016449.1-processed-gene-5.114&CDS=1-3186	YGR094W
492	OG0000492	snap_masked-NC_016449.1-processed-gene-5.63-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.63&CDS=1-4281	YGR116W
493	OG0000493	snap_masked-NC_016449.1-processed-gene-5.64-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.64&CDS=1-1017	YPR124W
494	OG0000494	snap_masked-NC_016449.1-processed-gene-5.65-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.65&CDS=1-1059	YGR113W
495	OG0000495	maker-NC_016449.1-augustus-gene-5.0-mRNA-1_1&gene=maker-NC_016449.1-augustus-gene-5.0&CDS=1-1956	YBR251W
496	OG0000496	snap_masked-NC_016449.1-processed-gene-5.69-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.69&CDS=1-1044	YER016W
497	OG0000497	snap_masked-NC_016449.1-processed-gene-5.70-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.70&CDS=1-339	YIR009W
498	OG0000498	augustus_masked-NC_016449.1-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-5.26&CDS=1-1857	YIR008C
499	OG0000499	snap_masked-NC_016449.1-processed-gene-5.75-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.75&CDS=1-2223	YIR007W
500	OG0000500	augustus_masked-NC_016449.1-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-5.11&CDS=1-744	YIR014W
501	OG0000501	genemark-NC_016449.1-processed-gene-5.106-mRNA-1_1&gene=genemark-NC_016449.1-processed-gene-5.106&CDS=1-474	YIR015W
502	OG0000502	snap_masked-NC_016449.1-processed-gene-5.77-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.77&CDS=1-477	YOL026C
503	OG0000503	snap_masked-NC_016449.1-processed-gene-5.52-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.52&CDS=1-753	YOL038W
504	OG0000504	augustus_masked-NC_016449.1-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-5.13&CDS=1-2688	YOL036W
505	OG0000505	snap_masked-NC_016449.1-processed-gene-5.78-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.78&CDS=1-981	YIR017C
506	OG0000506	snap_masked-NC_016449.1-processed-gene-5.79-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.79&CDS=1-1353	YOL016C
507	OG0000507	snap_masked-NC_016449.1-processed-gene-5.80-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.80&CDS=1-2103	YLR258W
508	OG0000508	augustus_masked-NC_016449.1-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-5.34&CDS=1-2106	YLR257W
509	OG0000509	snap_masked-NC_016449.1-processed-gene-5.56-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.56&CDS=1-1449	YNR001C
510	OG0000510	snap_masked-NC_016449.1-processed-gene-5.84-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.84&CDS=1-564	YCR003W
511	OG0000511	snap_masked-NC_016449.1-processed-gene-5.57-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.57&CDS=1-984	YCR002C
512	OG0000512	snap_masked-NC_016449.1-processed-gene-5.85-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.85&CDS=1-1146	YNL001W
513	OG0000513	snap_masked-NC_016449.1-processed-gene-5.86-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.86&CDS=1-555	YCL001W
514	OG0000514	snap_masked-NC_016449.1-processed-gene-5.87-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.87&CDS=1-1509	YCL004W
515	OG0000515	augustus_masked-NC_016449.1-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-6.6&CDS=1-1341	YCL008C
516	OG0000516	snap_masked-NC_016449.1-processed-gene-6.40-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.40&CDS=1-1341	YLR175W
517	OG0000517	snap_masked-NC_016449.1-processed-gene-6.42-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.42&CDS=1-1041	YNL007C
518	OG0000518	snap_masked-NC_016449.1-processed-gene-6.41-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.41&CDS=1-909	YNL006W
519	OG0000519	snap_masked-NC_016449.1-processed-gene-6.44-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.44&CDS=1-2037	YLR176C
520	OG0000520	snap_masked-NC_016449.1-processed-gene-6.45-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.45&CDS=1-906	YNL002C
521	OG0000521	snap_masked-NC_016449.1-processed-gene-6.46-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.46&CDS=1-1089	YCL018W
522	OG0000522	snap_masked-NC_016449.1-processed-gene-6.59-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.59&CDS=1-1479	YCL017C
523	OG0000523	snap_masked-NC_016449.1-processed-gene-6.47-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.47&CDS=1-816	YNL003C
524	OG0000524	snap_masked-NC_016449.1-processed-gene-6.60-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.60&CDS=1-1116	YCL016C
525	OG0000525	snap_masked-NC_016449.1-processed-gene-6.48-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.48&CDS=1-4503	YCL014W
526	OG0000526	snap_masked-NC_016449.1-processed-gene-6.61-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.61&CDS=1-306	YCL012C
527	OG0000527	maker-NC_016449.1-augustus-gene-6.83-mRNA-1_1&gene=maker-NC_016449.1-augustus-gene-6.83&CDS=1-1341	YNL004W
528	OG0000528	snap_masked-NC_016449.1-processed-gene-6.63-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.63&CDS=1-735	YCL010C
529	OG0000529	augustus_masked-NC_016449.1-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-6.15&CDS=1-1080	YNL005C
530	OG0000530	snap_masked-NC_016449.1-processed-gene-6.64-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.64&CDS=1-882	YCL009C
531	OG0000531	snap_masked-NC_016449.1-processed-gene-6.66-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.66&CDS=1-708	YNL010W
532	OG0000532	snap_masked-NC_016449.1-processed-gene-6.50-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.50&CDS=1-1299	YNL011C
533	OG0000533	snap_masked-NC_016449.1-processed-gene-6.67-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.67&CDS=1-696	YLR250W
534	OG0000534	augustus_masked-NC_016449.1-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-6.30&CDS=1-3054	YNL012W
535	OG0000535	snap_masked-NC_016449.1-processed-gene-6.71-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.71&CDS=1-1740	YLR248W
536	OG0000536	maker-NC_016449.1-augustus-gene-6.81-mRNA-1_1&gene=maker-NC_016449.1-augustus-gene-6.81&CDS=1-4596	YLR247C
537	OG0000537	snap_masked-NC_016449.1-processed-gene-6.75-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.75&CDS=1-1170	YDR346C
538	OG0000538	snap_masked-NC_016449.1-processed-gene-6.53-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.53&CDS=1-864	YDR347W
539	OG0000539	snap_masked-NC_016449.1-processed-gene-6.76-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.76&CDS=1-1305	YHR097C
540	OG0000540	snap_masked-NC_016449.1-processed-gene-6.77-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.77&CDS=1-4446	YHR098C
541	OG0000541	snap_masked-NC_016449.1-processed-gene-6.54-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.54&CDS=1-11079	YHR099W
542	OG0000542	snap_masked-NC_016449.1-processed-gene-6.79-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.79&CDS=1-573	YHR100C
543	OG0000543	snap_masked-NC_016449.1-processed-gene-6.55-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.55&CDS=1-1899	YDR266C
544	OG0000544	snap_masked-NC_016449.1-processed-gene-6.80-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.80&CDS=1-960	YDR265W
545	OG0000545	snap_masked-NC_016449.1-processed-gene-6.58-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.58&CDS=1-2043	YDR263C
546	OG0000546	snap_masked-NC_016449.1-processed-gene-7.51-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-7.51&CDS=1-1509	YCR098C
547	OG0000547	snap_masked-NC_016449.1-processed-gene-7.49-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-7.49&CDS=1-2322	YOR032C
548	OG0000548	snap_masked-NC_016449.1-processed-gene-7.52-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-7.52&CDS=1-789	YDR262W
549	OG0000549	snap_masked-NC_016449.1-processed-gene-7.50-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-7.50&CDS=1-1227	YOL022C
550	OG0000550	genemark-NC_016449.1-processed-gene-7.4-mRNA-1_1&gene=genemark-NC_016449.1-processed-gene-7.4&CDS=1-1992	YOL023W
551	OG0000551	snap_masked-NC_016449.1-processed-gene-7.55-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-7.55&CDS=1-1248	YCR012W
552	OG0000552	augustus_masked-NC_016449.1-processed-gene-7.119-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-7.119&CDS=1-1593	YCR014C
