	OrthologID	Saccharomyces_cerevisiae	Wickerhamiella_domercqiae
616	OG0000616	YCL057W	-snap-gene-27.110-mRNA-1_1&gene=maker-gi|1002316081|dbj|BCGM01000001.1|-snap-gene-27.110&CDS=1-2121
617	OG0000617	YCL059C	-processed-gene-10.18-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-10.18&CDS=1-921
618	OG0000618	YCL061C	-processed-gene-19.120-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-19.120&CDS=1-2700
619	OG0000619	YCR002C	-augustus-gene-2.55-mRNA-1_1&gene=maker-gi|1002316079|dbj|BCGM01000003.1|-augustus-gene-2.55&CDS=1-2226
620	OG0000620	YCR003W	-processed-gene-24.97-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-24.97&CDS=1-570
621	OG0000621	YCR011C	-processed-gene-34.105-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-34.105&CDS=1-3141
622	OG0000622	YCR012W	-processed-gene-20.166-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-20.166&CDS=1-1245
623	OG0000623	YCR014C	-processed-gene-19.82-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-19.82&CDS=1-1566
624	OG0000624	YCR016W	-processed-gene-19.153-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-19.153&CDS=1-756
625	OG0000625	YCR017C	-processed-gene-28.39-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-28.39&CDS=1-2814
626	OG0000626	YCR019W	-processed-gene-23.49-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-23.49&CDS=1-966
627	OG0000627	YCR027C	-processed-gene-18.40-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-18.40&CDS=1-558
628	OG0000628	YCR028C	-processed-gene-30.79-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-30.79&CDS=1-1464
629	OG0000629	YCR028C-A	-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-6.14&CDS=1-1599
630	OG0000630	YCR033W	-processed-gene-33.90-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-33.90&CDS=1-4905
631	OG0000631	YCR034W	-processed-gene-22.13-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-22.13&CDS=1-1062
632	OG0000632	YCR035C	-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-3.89&CDS=1-777
633	OG0000633	YCR036W	-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-3.68&CDS=1-1161
634	OG0000634	YCR042C	-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-3.143&CDS=1-3810
635	OG0000635	YCR044C	-processed-gene-22.15-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-22.15&CDS=1-930
636	OG0000636	YCR047C	-processed-gene-14.7-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-14.7&CDS=1-792
637	OG0000637	YCR051W	-processed-gene-14.9-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-14.9&CDS=1-585
638	OG0000638	YCR053W	-augustus-gene-11.109-mRNA-1_1&gene=maker-gi|1002316080|dbj|BCGM01000002.1|-augustus-gene-11.109&CDS=1-2655
639	OG0000639	YCR054C	-processed-gene-18.22-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-18.22&CDS=1-1197
640	OG0000640	YCR057C	-processed-gene-18.41-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-18.41&CDS=1-2499
641	OG0000641	YCR059C	-processed-gene-18.21-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-18.21&CDS=1-729
642	OG0000642	YCR061W	-processed-gene-11.129-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-11.129&CDS=1-1851
643	OG0000643	YCR072C	-processed-gene-27.93-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-27.93&CDS=1-1920
644	OG0000644	YCR077C	-processed-gene-25.44-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-25.44&CDS=1-2367
645	OG0000645	YCR079W	-processed-gene-19.91-mRNA-1_1&gene=snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-19.91&CDS=1-1248
646	OG0000646	YCR087C-A	-processed-gene-16.73-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-16.73&CDS=1-450
647	OG0000647	YCR088W	-processed-gene-8.82-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-8.82&CDS=1-1917
648	OG0000648	YCR090C	-processed-gene-14.147-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-14.147&CDS=1-486
649	OG0000649	YCR091W	-processed-gene-19.42-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-19.42&CDS=1-2079
650	OG0000650	YCR093W	-processed-gene-9.3-mRNA-1_1&gene=snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-9.3&CDS=1-5145
651	OG0000651	YDL001W	-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-2.29&CDS=1-1191
652	OG0000652	YDL004W	-augustus-gene-5.66-mRNA-1_1&gene=maker-gi|1002316079|dbj|BCGM01000003.1|-augustus-gene-5.66&CDS=1-1056
653	OG0000653	YDL007W	-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-5.78&CDS=1-2274
654	OG0000654	YDL008W	-processed-gene-13.45-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-13.45&CDS=1-354
655	OG0000655	YDL014W	-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-6.10&CDS=1-1749
656	OG0000656	YDL015C	-processed-gene-34.79-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-34.79&CDS=1-1548
657	OG0000657	YDL017W	-processed-gene-13.140-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-13.140&CDS=1-3621
658	OG0000658	YDL020C	-processed-gene-26.88-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-26.88&CDS=1-1272
659	OG0000659	YDL022W	-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-4.5&CDS=1-1083
660	OG0000660	YDL028C	-processed-gene-6.44-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-6.44&CDS=1-1638
661	OG0000661	YDL029W	-processed-gene-19.69-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-19.69&CDS=1-1263
662	OG0000662	YDL030W	-processed-gene-9.146-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-9.146&CDS=1-2322
663	OG0000663	YDL031W	-processed-gene-9.62-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-9.62&CDS=1-2463
664	OG0000664	YDL033C	-processed-gene-3.152-mRNA-1_1&gene=augustus_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-3.152&CDS=1-3684
665	OG0000665	YDL040C	-processed-gene-33.81-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-33.81&CDS=1-2367
666	OG0000666	YDL043C	-processed-gene-2.133-mRNA-1_1&gene=snap_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-2.133&CDS=1-651
667	OG0000667	YDL045C	-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-2.23&CDS=1-717
668	OG0000668	YDL045W-A	-processed-gene-33.25-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-33.25&CDS=1-267
669	OG0000669	YDL046W	-processed-gene-17.158-mRNA-1_1&gene=genemark-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-17.158&CDS=1-594
670	OG0000670	YDL047W	-processed-gene-18.32-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-18.32&CDS=1-927
671	OG0000671	YDL051W	-processed-gene-9.29-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-9.29&CDS=1-885
672	OG0000672	YDL054C	-processed-gene-13.101-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-13.101&CDS=1-1230
673	OG0000673	YDL055C	-processed-gene-19.76-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-19.76&CDS=1-1086
674	OG0000674	YDL057W	-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-5.3&CDS=1-2547
675	OG0000675	YDL058W	-snap-gene-8.129-mRNA-1_1&gene=maker-gi|1002316079|dbj|BCGM01000003.1|-snap-gene-8.129&CDS=1-3420
676	OG0000676	YDL060W	-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-7.9&CDS=1-2199
677	OG0000677	YDL063C	-processed-gene-10.38-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-10.38&CDS=1-1515
678	OG0000678	YDL064W	-processed-gene-11.52-mRNA-1_1&gene=snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-11.52&CDS=1-471
679	OG0000679	YDL072C	-processed-gene-14.34-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-14.34&CDS=1-588
680	OG0000680	YDL084W	-processed-gene-5.151-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-5.151&CDS=1-1326
681	OG0000681	YDL087C	-processed-gene-21.127-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-21.127&CDS=1-693
682	OG0000682	YDL090C	-augustus-gene-11.54-mRNA-1_1&gene=maker-gi|1002316081|dbj|BCGM01000001.1|-augustus-gene-11.54&CDS=1-1419
683	OG0000683	YDL095W	-processed-gene-36.82-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-36.82&CDS=1-2475
684	OG0000684	YDL098C	-processed-gene-19.107-mRNA-1_1&gene=snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-19.107&CDS=1-267
685	OG0000685	YDL102W	-processed-gene-21.21-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-21.21&CDS=1-3165
686	OG0000686	YDL103C	-processed-gene-14.62-mRNA-1_1&gene=snap_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-14.62&CDS=1-1395
687	OG0000687	YDL104C	-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-4.17&CDS=1-1110
688	OG0000688	YDL105W	-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-4.44&CDS=1-1059
689	OG0000689	YDL108W	-augustus-gene-22.3-mRNA-1_1&gene=maker-gi|1002316081|dbj|BCGM01000001.1|-augustus-gene-22.3&CDS=1-1476
690	OG0000690	YDL111C	-processed-gene-31.32-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-31.32&CDS=1-1404
691	OG0000691	YDL112W	-processed-gene-31.11-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-31.11&CDS=1-2886
692	OG0000692	YDL113C	-processed-gene-31.29-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-31.29&CDS=1-1749
693	OG0000693	YDL114W	-processed-gene-13.70-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-13.70&CDS=1-1257
694	OG0000694	YDL117W	-processed-gene-31.28-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-31.28&CDS=1-2496
695	OG0000695	YDL119C	-processed-gene-15.112-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-15.112&CDS=1-2790
696	OG0000696	YDL120W	-processed-gene-21.119-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-21.119&CDS=1-429
697	OG0000697	YDL122W	-processed-gene-10.41-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-10.41&CDS=1-1614
698	OG0000698	YDL124W	-augustus-gene-0.28-mRNA-1_1&gene=maker-gi|1002316081|dbj|BCGM01000001.1|-augustus-gene-0.28&CDS=1-1734
699	OG0000699	YDL125C	-processed-gene-33.98-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-33.98&CDS=1-1485
700	OG0000700	YDL128W	-processed-gene-24.42-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-24.42&CDS=1-1158
701	OG0000701	YDL130W	-processed-gene-35.97-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-35.97&CDS=1-315
702	OG0000702	YDL133W	-processed-gene-34.90-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-34.90&CDS=1-858
703	OG0000703	YDL134C	-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-2.87&CDS=1-1074
704	OG0000704	YDL140C	-processed-gene-19.123-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-19.123&CDS=1-5220
705	OG0000705	YDL141W	-processed-gene-18.46-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-18.46&CDS=1-1923
706	OG0000706	YDL142C	-processed-gene-19.86-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-19.86&CDS=1-774
707	OG0000707	YDL143W	-processed-gene-19.103-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-19.103&CDS=1-1632
708	OG0000708	YDL144C	-processed-gene-13.128-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-13.128&CDS=1-1026
709	OG0000709	YDL145C	-processed-gene-3.192-mRNA-1_1&gene=augustus_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-3.192&CDS=1-3561
710	OG0000710	YDL147W	-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-1.129&CDS=1-2250
711	OG0000711	YDL148C	-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-1.110&CDS=1-2304
712	OG0000712	YDL149W	-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-1.125&CDS=1-2064
713	OG0000713	YDL153C	-processed-gene-19.105-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-19.105&CDS=1-1677
714	OG0000714	YDL160C	-augustus-gene-17.65-mRNA-1_1&gene=maker-gi|1002316079|dbj|BCGM01000003.1|-augustus-gene-17.65&CDS=1-3408
715	OG0000715	YDL164C	-processed-gene-21.114-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-21.114&CDS=1-2859
716	OG0000716	YDL165W	-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-6.34&CDS=1-1368
717	OG0000717	YDL166C	-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-6.17&CDS=1-573
718	OG0000718	YDL168W	-processed-gene-15.95-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-15.95&CDS=1-1158
719	OG0000719	YDL170W	-processed-gene-15.81-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-15.81&CDS=1-2604
720	OG0000720	YDL171C	-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-6.36&CDS=1-6576
721	OG0000721	YDL174C	-augustus-gene-3.219-mRNA-1_1&gene=maker-gi|1002316078|dbj|BCGM01000004.1|-augustus-gene-3.219&CDS=1-2292
722	OG0000722	YDL178W	-processed-gene-8.65-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-8.65&CDS=1-1536
723	OG0000723	YDL183C	-processed-gene-27.75-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-27.75&CDS=1-792
724	OG0000724	YDL185W	-processed-gene-5.42-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-5.42&CDS=1-1845
725	OG0000725	YDL190C	-augustus-gene-5.51-mRNA-1_1&gene=maker-gi|1002316081|dbj|BCGM01000001.1|-augustus-gene-5.51&CDS=1-3609
726	OG0000726	YDL193W	-processed-gene-21.10-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-21.10&CDS=1-837
727	OG0000727	YDL198C	-processed-gene-17.92-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-17.92&CDS=1-900
728	OG0000728	YDL202W	-processed-gene-16.40-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-16.40&CDS=1-699
729	OG0000729	YDL205C	-processed-gene-19.74-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-19.74&CDS=1-1125
730	OG0000730	YDL206W	-processed-gene-19.73-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-19.73&CDS=1-2064
731	OG0000731	YDL207W	-processed-gene-21.124-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-21.124&CDS=1-1623
732	OG0000732	YDL208W	-processed-gene-22.4-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-22.4&CDS=1-432
733	OG0000733	YDL212W	-processed-gene-27.100-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-27.100&CDS=1-615
734	OG0000734	YDL213C	-augustus-gene-6.0-mRNA-1_1&gene=maker-gi|1002316080|dbj|BCGM01000002.1|-augustus-gene-6.0&CDS=1-1971
735	OG0000735	YDL215C	-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-4.19&CDS=1-3123
736	OG0000736	YDL216C	-processed-gene-12.43-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-12.43&CDS=1-771
737	OG0000737	YDL217C	-processed-gene-16.16-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-16.16&CDS=1-537
738	OG0000738	YDL219W	-processed-gene-8.60-mRNA-1_1&gene=snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-8.60&CDS=1-456
739	OG0000739	YDL226C	-processed-gene-20.144-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-20.144&CDS=1-966
740	OG0000740	YDL230W	-processed-gene-7.13-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-7.13&CDS=1-1779
741	OG0000741	YDL235C	-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-1.29&CDS=1-366
742	OG0000742	YDL236W	-processed-gene-10.124-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-10.124&CDS=1-1863
743	OG0000743	YDL238C	-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-7.28&CDS=1-1323
744	OG0000744	YDL240W	-processed-gene-3.55-mRNA-1_1&gene=snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-3.55&CDS=1-4620
745	OG0000745	YDR002W	-processed-gene-14.47-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-14.47&CDS=1-666
746	OG0000746	YDR006C	-processed-gene-17.101-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-17.101&CDS=1-1617
747	OG0000747	YDR007W	-processed-gene-13.64-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-13.64&CDS=1-669
748	OG0000748	YDR013W	-processed-gene-19.132-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-19.132&CDS=1-2031
749	OG0000749	YDR017C	-processed-gene-19.81-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-19.81&CDS=1-2070
750	OG0000750	YDR019C	-processed-gene-19.71-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-19.71&CDS=1-1539
751	OG0000751	YDR020C	-processed-gene-29.72-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-29.72&CDS=1-666
752	OG0000752	YDR023W	-augustus-gene-15.50-mRNA-1_1&gene=maker-gi|1002316081|dbj|BCGM01000001.1|-augustus-gene-15.50&CDS=1-2502
753	OG0000753	YDR026C	-processed-gene-23.98-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-23.98&CDS=1-1458
754	OG0000754	YDR027C	-snap-gene-6.0-mRNA-1_1&gene=maker-gi|1002316081|dbj|BCGM01000001.1|-snap-gene-6.0&CDS=1-3399
755	OG0000755	YDR030C	-processed-gene-32.63-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-32.63&CDS=1-2547
756	OG0000756	YDR032C	-processed-gene-17.53-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-17.53&CDS=1-603
757	OG0000757	YDR036C	-processed-gene-16.83-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-16.83&CDS=1-1404
758	OG0000758	YDR037W	-processed-gene-28.4-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-28.4&CDS=1-1707
759	OG0000759	YDR041W	-processed-gene-16.45-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-16.45&CDS=1-879
760	OG0000760	YDR044W	-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-4.33&CDS=1-975
761	OG0000761	YDR045C	-processed-gene-18.96-mRNA-1_1&gene=snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-18.96&CDS=1-303
762	OG0000762	YDR047W	-processed-gene-33.86-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-33.86&CDS=1-1083
763	OG0000763	YDR050C	-augustus-gene-1.0-mRNA-1_1&gene=maker-gi|1002316079|dbj|BCGM01000003.1|-augustus-gene-1.0&CDS=1-3429
764	OG0000764	YDR051C	-processed-gene-10.41-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-10.41&CDS=1-2484
765	OG0000765	YDR054C	-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-4.47&CDS=1-654
766	OG0000766	YDR057W	-processed-gene-11.94-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-11.94&CDS=1-1302
767	OG0000767	YDR058C	-processed-gene-14.63-mRNA-1_1&gene=snap_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-14.63&CDS=1-747
768	OG0000768	YDR060W	-processed-gene-8.20-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-8.20&CDS=1-2931
769	OG0000769	YDR062W	-processed-gene-16.6-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-16.6&CDS=1-5721
770	OG0000770	YDR064W	-processed-gene-15.32-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-15.32&CDS=1-3774
771	OG0000771	YDR067C	-processed-gene-16.7-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-16.7&CDS=1-459
772	OG0000772	YDR071C	-processed-gene-19.76-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-19.76&CDS=1-642
773	OG0000773	YDR074W	-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-2.38&CDS=1-2418
774	OG0000774	YDR079C-A	-processed-gene-18.5-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-18.5&CDS=1-213
775	OG0000775	YDR079W	-processed-gene-32.85-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-32.85&CDS=1-270
776	OG0000776	YDR080W	-processed-gene-18.6-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-18.6&CDS=1-2904
777	OG0000777	YDR083W	-processed-gene-18.1-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-18.1&CDS=1-1173
778	OG0000778	YDR084C	-processed-gene-32.86-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-32.86&CDS=1-645
