	OrthologID	Metschnikowia_hawaiiensis	Saccharomyces_cerevisiae
154	OG0000154	augustus_masked-haw-_s209-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-haw-_s209-processed-gene-0.100&CDS=1-1512, augustus_masked-haw-_s578-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-haw-_s578-processed-gene-0.31&CDS=1-1068, augustus_masked-haw-_s582-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s582-processed-gene-0.0&CDS=1-942	YPR048W
155	OG0000155	augustus_masked-haw-_s308-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-haw-_s308-processed-gene-0.10&CDS=1-927, snap_masked-haw-_s22-processed-gene-0.25-mRNA-1_1&gene=snap_masked-haw-_s22-processed-gene-0.25&CDS=1-903, snap_masked-haw-_s270-processed-gene-0.19-mRNA-1_1&gene=snap_masked-haw-_s270-processed-gene-0.19&CDS=1-903	YER175C
156	OG0000156	augustus_masked-haw-_s22-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-haw-_s22-processed-gene-0.18&CDS=1-498, snap_masked-haw-_s72-processed-gene-0.156-mRNA-1_1&gene=snap_masked-haw-_s72-processed-gene-0.156&CDS=1-1164	YGR133W, YMR022W
157	OG0000157	maker-haw-_s229-snap-gene-0.33-mRNA-1_1&gene=maker-haw-_s229-snap-gene-0.33&CDS=1-2733, maker-haw-_s31-augustus-gene-1.2-mRNA-1_1&gene=maker-haw-_s31-augustus-gene-1.2&CDS=1-3135	YHR203C, YJR145C
158	OG0000158	snap_masked-haw-_s232-processed-gene-0.25-mRNA-1_1&gene=snap_masked-haw-_s232-processed-gene-0.25&CDS=1-462, snap_masked-haw-_s256-processed-gene-0.49-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.49&CDS=1-8187, snap_masked-haw-_s553-processed-gene-0.4-mRNA-1_1&gene=snap_masked-haw-_s553-processed-gene-0.4&CDS=1-237	YPR117W
159	OG0000159	snap_masked-haw-_s236-processed-gene-0.20-mRNA-1_1&gene=snap_masked-haw-_s236-processed-gene-0.20&CDS=1-1545, snap_masked-haw-_s34-processed-gene-1.47-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-1.47&CDS=1-2427	YBL052C, YOR244W
160	OG0000160	genemark-haw-_s4-processed-gene-1.168-mRNA-1_1&gene=genemark-haw-_s4-processed-gene-1.168&CDS=1-2802, maker-haw-_s247-snap-gene-0.2-mRNA-1_1&gene=maker-haw-_s247-snap-gene-0.2&CDS=1-2808	YJL098W, YKR028W
161	OG0000161	snap_masked-haw-_s249-processed-gene-0.7-mRNA-1_1&gene=snap_masked-haw-_s249-processed-gene-0.7&CDS=1-2322, snap_masked-haw-_s98-processed-gene-0.34-mRNA-1_1&gene=snap_masked-haw-_s98-processed-gene-0.34&CDS=1-2679	YJL212C, YPR194C
162	OG0000162	augustus_masked-haw-_s250-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-haw-_s250-processed-gene-0.15&CDS=1-576, snap_masked-haw-_s93-processed-gene-0.46-mRNA-1_1&gene=snap_masked-haw-_s93-processed-gene-0.46&CDS=1-3555	YDR379W, YOR127W
163	OG0000163	snap_masked-haw-_s253-processed-gene-0.6-mRNA-1_1&gene=snap_masked-haw-_s253-processed-gene-0.6&CDS=1-2265, snap_masked-haw-_s371-processed-gene-0.25-mRNA-1_1&gene=snap_masked-haw-_s371-processed-gene-0.25&CDS=1-3492	YDR517W, YOR373W
164	OG0000164	augustus_masked-haw-_s257-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-haw-_s257-processed-gene-0.28&CDS=1-2556, snap_masked-haw-_s425-processed-gene-0.27-mRNA-1_1&gene=snap_masked-haw-_s425-processed-gene-0.27&CDS=1-939	YFR004W, YHL024W
165	OG0000165	snap_masked-haw-_s280-processed-gene-0.28-mRNA-1_1&gene=snap_masked-haw-_s280-processed-gene-0.28&CDS=1-1911, snap_masked-haw-_s30-processed-gene-2.189-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-2.189&CDS=1-1527, snap_masked-haw-_s4-processed-gene-1.124-mRNA-1_1&gene=snap_masked-haw-_s4-processed-gene-1.124&CDS=1-1305	YLR380W
166	OG0000166	snap_masked-haw-_s298-processed-gene-1.101-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-1.101&CDS=1-309, snap_masked-haw-_s586-processed-gene-0.37-mRNA-1_1&gene=snap_masked-haw-_s586-processed-gene-0.37&CDS=1-309	YBR009C, YNL030W
167	OG0000167	snap_masked-haw-_s30-processed-gene-2.206-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-2.206&CDS=1-1323, snap_masked-haw-_s663-processed-gene-0.3-mRNA-1_1&gene=snap_masked-haw-_s663-processed-gene-0.3&CDS=1-1332	YOL062C, YPL259C
168	OG0000168	snap_masked-haw-_s300-processed-gene-0.239-mRNA-1_1&gene=snap_masked-haw-_s300-processed-gene-0.239&CDS=1-1320, snap_masked-haw-_s360-processed-gene-0.41-mRNA-1_1&gene=snap_masked-haw-_s360-processed-gene-0.41&CDS=1-1242	YOR334W, YPL060W
169	OG0000169	augustus_masked-haw-_s31-processed-gene-2.207-mRNA-1_1&gene=augustus_masked-haw-_s31-processed-gene-2.207&CDS=1-2163, maker-haw-_s329-snap-gene-2.102-mRNA-1_1&gene=maker-haw-_s329-snap-gene-2.102&CDS=1-5400, snap_masked-haw-_s542-processed-gene-0.12-mRNA-1_1&gene=snap_masked-haw-_s542-processed-gene-0.12&CDS=1-2277	YBR155W
170	OG0000170	snap_masked-haw-_s31-processed-gene-2.24-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-2.24&CDS=1-2115, snap_masked-haw-_s31-processed-gene-2.25-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-2.25&CDS=1-2109, snap_masked-haw-_s58-processed-gene-0.6-mRNA-1_1&gene=snap_masked-haw-_s58-processed-gene-0.6&CDS=1-2121	YGL205W
171	OG0000171	augustus_masked-haw-_s442-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-haw-_s442-processed-gene-0.96&CDS=1-1890, augustus_masked-haw-_s644-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s644-processed-gene-0.0&CDS=1-978, snap_masked-haw-_s31-processed-gene-2.60-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-2.60&CDS=1-2487	YEL061C
172	OG0000172	snap_masked-haw-_s313-processed-gene-0.96-mRNA-1_1&gene=snap_masked-haw-_s313-processed-gene-0.96&CDS=1-1890, snap_masked-haw-_s462-processed-gene-0.2-mRNA-1_1&gene=snap_masked-haw-_s462-processed-gene-0.2&CDS=1-1446	YKL221W, YNL125C
173	OG0000173	snap_masked-haw-_s313-processed-gene-0.71-mRNA-1_1&gene=snap_masked-haw-_s313-processed-gene-0.71&CDS=1-657, snap_masked-haw-_s4-processed-gene-1.84-mRNA-1_1&gene=snap_masked-haw-_s4-processed-gene-1.84&CDS=1-693	YFR042W, YJL097W
174	OG0000174	snap_masked-haw-_s319-processed-gene-0.11-mRNA-1_1&gene=snap_masked-haw-_s319-processed-gene-0.11&CDS=1-1353, snap_masked-haw-_s456-processed-gene-0.117-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.117&CDS=1-1227	YLR090W, YNL064C
175	OG0000175	maker-haw-_s326-snap-gene-0.3-mRNA-1_1&gene=maker-haw-_s326-snap-gene-0.3&CDS=1-4641, snap_masked-haw-_s482-processed-gene-0.7-mRNA-1_1&gene=snap_masked-haw-_s482-processed-gene-0.7&CDS=1-5493	YHR023W, YOR326W
176	OG0000176	augustus_masked-haw-_s4-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-haw-_s4-processed-gene-1.12&CDS=1-2088, snap_masked-haw-_s329-processed-gene-2.81-mRNA-1_1&gene=snap_masked-haw-_s329-processed-gene-2.81&CDS=1-1194	YCL039W, YKL021C
177	OG0000177	snap_masked-haw-_s329-processed-gene-2.93-mRNA-1_1&gene=snap_masked-haw-_s329-processed-gene-2.93&CDS=1-2247, snap_masked-haw-_s543-processed-gene-0.5-mRNA-1_1&gene=snap_masked-haw-_s543-processed-gene-0.5&CDS=1-2472	YAR035W, YER024W
178	OG0000178	snap_masked-haw-_s34-processed-gene-0.23-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-0.23&CDS=1-267, snap_masked-haw-_s663-processed-gene-0.20-mRNA-1_1&gene=snap_masked-haw-_s663-processed-gene-0.20&CDS=1-324	YBR091C, YHR005C-A
179	OG0000179	augustus_masked-haw-_s4-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-haw-_s4-processed-gene-1.53&CDS=1-2595, snap_masked-haw-_s34-processed-gene-0.29-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-0.29&CDS=1-2172	YOR018W, YPL094C
180	OG0000180	snap_masked-haw-_s34-processed-gene-0.13-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-0.13&CDS=1-3249	YDR038C, YDR039C, YDR040C
181	OG0000181	snap_masked-haw-_s34-processed-gene-2.81-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-2.81&CDS=1-1371, snap_masked-haw-_s93-processed-gene-0.47-mRNA-1_1&gene=snap_masked-haw-_s93-processed-gene-0.47&CDS=1-1371	YEL036C, YML115C
182	OG0000182	augustus_masked-haw-_s344-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-haw-_s344-processed-gene-0.55&CDS=1-711, maker-haw-_s426-augustus-gene-0.1-mRNA-1_1&gene=maker-haw-_s426-augustus-gene-0.1&CDS=1-804	YHR090C, YOR064C
183	OG0000183	snap_masked-haw-_s359-processed-gene-0.144-mRNA-1_1&gene=snap_masked-haw-_s359-processed-gene-0.144&CDS=1-2361	YBL005W, YER184C, YGL013C
184	OG0000184	snap_masked-haw-_s39-processed-gene-0.23-mRNA-1_1&gene=snap_masked-haw-_s39-processed-gene-0.23&CDS=1-2016, snap_masked-haw-_s586-processed-gene-0.40-mRNA-1_1&gene=snap_masked-haw-_s586-processed-gene-0.40&CDS=1-2034	YAL054C, YLR153C
185	OG0000185	maker-haw-_s451-augustus-gene-0.3-mRNA-1_1&gene=maker-haw-_s451-augustus-gene-0.3&CDS=1-4410, snap_masked-haw-_s4-processed-gene-1.90-mRNA-1_1&gene=snap_masked-haw-_s4-processed-gene-1.90&CDS=1-1878	YLR188W, YOL057W
186	OG0000186	snap_masked-haw-_s4-processed-gene-1.95-mRNA-1_1&gene=snap_masked-haw-_s4-processed-gene-1.95&CDS=1-1386, snap_masked-haw-_s81-processed-gene-0.60-mRNA-1_1&gene=snap_masked-haw-_s81-processed-gene-0.60&CDS=1-1422	YJL081C, YPR034W
187	OG0000187	maker-haw-_s442-snap-gene-1.150-mRNA-1_1&gene=maker-haw-_s442-snap-gene-1.150&CDS=1-1533, snap_masked-haw-_s4-processed-gene-1.161-mRNA-1_1&gene=snap_masked-haw-_s4-processed-gene-1.161&CDS=1-1326	YBR239C, YJL103C
188	OG0000188	augustus_masked-haw-_s4-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-haw-_s4-processed-gene-1.79&CDS=1-1032	YCR102C, YLR460C, YNL134C
189	OG0000189	augustus_masked-haw-_s43-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-haw-_s43-processed-gene-0.68&CDS=1-2382, snap_masked-haw-_s463-processed-gene-0.38-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.38&CDS=1-1305	YGR159C, YPL190C
190	OG0000190	snap_masked-haw-_s43-processed-gene-0.54-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.54&CDS=1-993, snap_masked-haw-_s49-processed-gene-0.64-mRNA-1_1&gene=snap_masked-haw-_s49-processed-gene-0.64&CDS=1-1032	YDR541C, YOL151W
191	OG0000191	maker-haw-_s82-snap-gene-0.2-mRNA-1_1&gene=maker-haw-_s82-snap-gene-0.2&CDS=1-1314, snap_masked-haw-_s442-processed-gene-1.33-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.33&CDS=1-606	YDR002W, YLR335W
192	OG0000192	maker-haw-_s89-augustus-gene-0.1-mRNA-1_1&gene=maker-haw-_s89-augustus-gene-0.1&CDS=1-2229, snap_masked-haw-_s45-processed-gene-0.33-mRNA-1_1&gene=snap_masked-haw-_s45-processed-gene-0.33&CDS=1-1467	YBR263W, YLR058C
193	OG0000193	augustus_masked-haw-_s463-processed-gene-1.170-mRNA-1_1&gene=augustus_masked-haw-_s463-processed-gene-1.170&CDS=1-1506, snap_masked-haw-_s605-processed-gene-0.2-mRNA-1_1&gene=snap_masked-haw-_s605-processed-gene-0.2&CDS=1-783	YLR285W, YNL320W
194	OG0000194	snap_masked-haw-_s463-processed-gene-1.104-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.104&CDS=1-1281, snap_masked-haw-_s560-processed-gene-0.47-mRNA-1_1&gene=snap_masked-haw-_s560-processed-gene-0.47&CDS=1-336	YHR179W, YPL171C
195	OG0000195	snap_masked-haw-_s463-processed-gene-1.159-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.159&CDS=1-897, snap_masked-haw-_s463-processed-gene-1.160-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.160&CDS=1-780	YCL036W, YDR514C
196	OG0000196	maker-haw-_s494-snap-gene-0.1-mRNA-1_1&gene=maker-haw-_s494-snap-gene-0.1&CDS=1-2517, snap_masked-haw-_s47-processed-gene-0.86-mRNA-1_1&gene=snap_masked-haw-_s47-processed-gene-0.86&CDS=1-2067	YKR001C, YLL001W
197	OG0000197	augustus_masked-haw-_s485-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-haw-_s485-processed-gene-0.1&CDS=1-2571, snap_masked-haw-_s74-processed-gene-0.1-mRNA-1_1&gene=snap_masked-haw-_s74-processed-gene-0.1&CDS=1-2574	YLL005C, YMR266W
198	OG0000198	snap_masked-haw-_s560-processed-gene-0.82-mRNA-1_1&gene=snap_masked-haw-_s560-processed-gene-0.82&CDS=1-996	YGR192C, YJL052W, YJR009C
199	OG0000199	snap_masked-haw-_s586-processed-gene-0.35-mRNA-1_1&gene=snap_masked-haw-_s586-processed-gene-0.35&CDS=1-1326, snap_masked-haw-_s98-processed-gene-0.36-mRNA-1_1&gene=snap_masked-haw-_s98-processed-gene-0.36&CDS=1-2307, snap_masked-haw-_s98-processed-gene-0.37-mRNA-1_1&gene=snap_masked-haw-_s98-processed-gene-0.37&CDS=1-1494	YDL020C
200	OG0000200	augustus_masked-haw-_s699-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-haw-_s699-processed-gene-0.4&CDS=1-1650	YOL055C, YPL258C, YPR121W
201	OG0000201	snap_masked-haw-_s89-processed-gene-0.46-mRNA-1_1&gene=snap_masked-haw-_s89-processed-gene-0.46&CDS=1-1056, snap_masked-haw-_s89-processed-gene-0.47-mRNA-1_1&gene=snap_masked-haw-_s89-processed-gene-0.47&CDS=1-1008, snap_masked-haw-_s89-processed-gene-0.48-mRNA-1_1&gene=snap_masked-haw-_s89-processed-gene-0.48&CDS=1-999	YJR019C
202	OG0000202		YKL222C, YLR266C, YOR162C, YOR172W
203	OG0000203	augustus_masked-haw-_C44506-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_C44506-processed-gene-0.0&CDS=1-210, snap_masked-haw-_s34-processed-gene-2.67-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-2.67&CDS=1-675	YJL218W
204	OG0000204	augustus_masked-haw-_C44570-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_C44570-processed-gene-0.0&CDS=1-306, snap_masked-haw-_s366-processed-gene-0.16-mRNA-1_1&gene=snap_masked-haw-_s366-processed-gene-0.16&CDS=1-3696	YML002W
205	OG0000205	augustus_masked-haw-_C45080-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_C45080-processed-gene-0.2&CDS=1-339, snap_masked-haw-_s456-processed-gene-0.98-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.98&CDS=1-999	YIR026C
206	OG0000206	augustus_masked-haw-_C45258-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_C45258-processed-gene-0.2&CDS=1-351, snap_masked-haw-_s360-processed-gene-0.42-mRNA-1_1&gene=snap_masked-haw-_s360-processed-gene-0.42&CDS=1-1116	YNL307C
207	OG0000207	augustus_masked-haw-_C46184-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_C46184-processed-gene-0.2&CDS=1-285, snap_masked-haw-_s187-processed-gene-0.25-mRNA-1_1&gene=snap_masked-haw-_s187-processed-gene-0.25&CDS=1-2196	YJR110W
208	OG0000208	augustus_masked-haw-_C51762-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_C51762-processed-gene-0.0&CDS=1-1257, snap_masked-haw-_s41-processed-gene-0.3-mRNA-1_1&gene=snap_masked-haw-_s41-processed-gene-0.3&CDS=1-183	YCL074W
209	OG0000209	snap_masked-haw-_C52170-processed-gene-0.5-mRNA-1_1&gene=snap_masked-haw-_C52170-processed-gene-0.5&CDS=1-2700	YDR206W, YLR233C
210	OG0000210	snap_masked-haw-_C52532-processed-gene-0.4-mRNA-1_1&gene=snap_masked-haw-_C52532-processed-gene-0.4&CDS=1-819	YDL049C, YJL174W
211	OG0000211	snap_masked-haw-_s1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-haw-_s1-processed-gene-0.71&CDS=1-1728	YGR138C, YPR156C
212	OG0000212	augustus_masked-haw-_s1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-haw-_s1-processed-gene-0.19&CDS=1-324, snap_masked-haw-_s1-processed-gene-0.81-mRNA-1_1&gene=snap_masked-haw-_s1-processed-gene-0.81&CDS=1-795	YEL009C
213	OG0000213	snap_masked-haw-_s1-processed-gene-0.73-mRNA-1_1&gene=snap_masked-haw-_s1-processed-gene-0.73&CDS=1-2520	YDR351W, YHR103W
214	OG0000214	snap_masked-haw-_s1-processed-gene-0.76-mRNA-1_1&gene=snap_masked-haw-_s1-processed-gene-0.76&CDS=1-1146	YPR013C, YPR015C
215	OG0000215	augustus_masked-haw-_s1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-haw-_s1-processed-gene-0.22&CDS=1-369, augustus_masked-haw-_s195-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-haw-_s195-processed-gene-1.164&CDS=1-5052	YGR170W
216	OG0000216	augustus_masked-haw-_s1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-haw-_s1-processed-gene-0.32&CDS=1-2793	YJL084C, YKR021W
217	OG0000217	maker-haw-_s30-augustus-gene-2.6-mRNA-1_1&gene=maker-haw-_s30-augustus-gene-2.6&CDS=1-1767, snap_masked-haw-_s100-processed-gene-0.13-mRNA-1_1&gene=snap_masked-haw-_s100-processed-gene-0.13&CDS=1-1692	YKR093W
218	OG0000218	augustus_masked-haw-_s613-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_s613-processed-gene-0.2&CDS=1-426, genemark-haw-_s100-processed-gene-0.33-mRNA-1_1&gene=genemark-haw-_s100-processed-gene-0.33&CDS=1-1851	YPL155C
219	OG0000219	augustus_masked-haw-_s109-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-haw-_s109-processed-gene-0.18&CDS=1-5307	YIL149C, YKR095W
220	OG0000220	snap_masked-haw-_s109-processed-gene-0.39-mRNA-1_1&gene=snap_masked-haw-_s109-processed-gene-0.39&CDS=1-3744	YIL151C, YKR096W
221	OG0000221	snap_masked-haw-_s109-processed-gene-0.57-mRNA-1_1&gene=snap_masked-haw-_s109-processed-gene-0.57&CDS=1-1698, snap_masked-haw-_s298-processed-gene-1.119-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-1.119&CDS=1-1740	YBR132C
222	OG0000222	maker-haw-_s109-snap-gene-0.116-mRNA-1_1&gene=maker-haw-_s109-snap-gene-0.116&CDS=1-5343, snap_masked-haw-_s644-processed-gene-0.12-mRNA-1_1&gene=snap_masked-haw-_s644-processed-gene-0.12&CDS=1-6057	YNL271C
223	OG0000223	augustus_masked-haw-_s109-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-haw-_s109-processed-gene-0.7&CDS=1-3000, maker-haw-_s560-augustus-gene-0.138-mRNA-1_1&gene=maker-haw-_s560-augustus-gene-0.138&CDS=1-3336	YGR204W
224	OG0000224	maker-haw-_s109-snap-gene-0.118-mRNA-1_1&gene=maker-haw-_s109-snap-gene-0.118&CDS=1-426	YNL302C, YOL121C
225	OG0000225	maker-haw-_s109-snap-gene-0.119-mRNA-1_1&gene=maker-haw-_s109-snap-gene-0.119&CDS=1-558	YNL301C, YOL120C
226	OG0000226	snap_masked-haw-_s111-processed-gene-0.1-mRNA-1_1&gene=snap_masked-haw-_s111-processed-gene-0.1&CDS=1-1425, snap_masked-haw-_s463-processed-gene-1.108-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.108&CDS=1-1275	YHR135C
227	OG0000227	genemark-haw-_s113-processed-gene-0.54-mRNA-1_1&gene=genemark-haw-_s113-processed-gene-0.54&CDS=1-573	YBL027W, YBR084C-A
228	OG0000228	snap_masked-haw-_s113-processed-gene-0.129-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-0.129&CDS=1-1257	YDR132C, YLR108C
229	OG0000229	snap_masked-haw-_s113-processed-gene-0.131-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-0.131&CDS=1-1911	YDR107C, YLR083C
230	OG0000230	snap_masked-haw-_s113-processed-gene-1.112-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-1.112&CDS=1-2523	YOR233W, YPL141C
231	OG0000231	snap_masked-haw-_s113-processed-gene-1.138-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-1.138&CDS=1-951, snap_masked-haw-_s344-processed-gene-0.6-mRNA-1_1&gene=snap_masked-haw-_s344-processed-gene-0.6&CDS=1-180	YOR174W
232	OG0000232	augustus_masked-haw-_s113-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-haw-_s113-processed-gene-2.66&CDS=1-1926	YEL047C, YJR051W
233	OG0000233	augustus_masked-haw-_s375-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_s375-processed-gene-0.2&CDS=1-237, snap_masked-haw-_s114-processed-gene-0.2-mRNA-1_1&gene=snap_masked-haw-_s114-processed-gene-0.2&CDS=1-960	YHR070W
234	OG0000234	augustus_masked-haw-_s424-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s424-processed-gene-0.0&CDS=1-690, maker-haw-_s117-augustus-gene-0.0-mRNA-1_1&gene=maker-haw-_s117-augustus-gene-0.0&CDS=1-3342	YNL256W
235	OG0000235	snap_masked-haw-_s117-processed-gene-0.50-mRNA-1_1&gene=snap_masked-haw-_s117-processed-gene-0.50&CDS=1-2322, snap_masked-haw-_s185-processed-gene-0.9-mRNA-1_1&gene=snap_masked-haw-_s185-processed-gene-0.9&CDS=1-189	YLR417W
236	OG0000236	maker-haw-_s119-snap-gene-0.19-mRNA-1_1&gene=maker-haw-_s119-snap-gene-0.19&CDS=1-249, snap_masked-haw-_s719-processed-gene-0.18-mRNA-1_1&gene=snap_masked-haw-_s719-processed-gene-0.18&CDS=1-336	YLR104W
237	OG0000237	snap_masked-haw-_s119-processed-gene-0.8-mRNA-1_1&gene=snap_masked-haw-_s119-processed-gene-0.8&CDS=1-1941, snap_masked-haw-_s463-processed-gene-1.88-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.88&CDS=1-1869	YNL101W
238	OG0000238	snap_masked-haw-_s121-processed-gene-0.63-mRNA-1_1&gene=snap_masked-haw-_s121-processed-gene-0.63&CDS=1-2301	YIL131C, YNL068C
239	OG0000239	maker-haw-_s232-snap-gene-0.48-mRNA-1_1&gene=maker-haw-_s232-snap-gene-0.48&CDS=1-1716, snap_masked-haw-_s125-processed-gene-0.42-mRNA-1_1&gene=snap_masked-haw-_s125-processed-gene-0.42&CDS=1-2019	YHR124W
240	OG0000240	snap_masked-haw-_s125-processed-gene-0.46-mRNA-1_1&gene=snap_masked-haw-_s125-processed-gene-0.46&CDS=1-1239, snap_masked-haw-_s274-processed-gene-0.32-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.32&CDS=1-1167	YGR263C
241	OG0000241	genemark-haw-_s442-processed-gene-0.31-mRNA-1_1&gene=genemark-haw-_s442-processed-gene-0.31&CDS=1-1878, snap_masked-haw-_s128-processed-gene-0.7-mRNA-1_1&gene=snap_masked-haw-_s128-processed-gene-0.7&CDS=1-2625	YOR208W
242	OG0000242	augustus_masked-haw-_s128-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-haw-_s128-processed-gene-0.4&CDS=1-315	YGR209C, YLR043C
243	OG0000243	snap_masked-haw-_s131-processed-gene-0.21-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-0.21&CDS=1-1572	YEL041W, YJR049C
244	OG0000244	snap_masked-haw-_s131-processed-gene-0.39-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-0.39&CDS=1-921, snap_masked-haw-_s243-processed-gene-0.7-mRNA-1_1&gene=snap_masked-haw-_s243-processed-gene-0.7&CDS=1-363	YFR025C
245	OG0000245	genemark-haw-_s131-processed-gene-0.53-mRNA-1_1&gene=genemark-haw-_s131-processed-gene-0.53&CDS=1-1359, snap_masked-haw-_s708-processed-gene-0.4-mRNA-1_1&gene=snap_masked-haw-_s708-processed-gene-0.4&CDS=1-2694	YDL170W
246	OG0000246	augustus_masked-haw-_s675-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s675-processed-gene-0.0&CDS=1-453, snap_masked-haw-_s131-processed-gene-1.41-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-1.41&CDS=1-3441	YHL007C
247	OG0000247	augustus_masked-haw-_s89-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-haw-_s89-processed-gene-0.89&CDS=1-1275, snap_masked-haw-_s131-processed-gene-1.43-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-1.43&CDS=1-1224	YLR174W
248	OG0000248	snap_masked-haw-_s131-processed-gene-1.60-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-1.60&CDS=1-381	YGR034W, YLR344W
249	OG0000249	maker-haw-_s131-augustus-gene-2.94-mRNA-1_1&gene=maker-haw-_s131-augustus-gene-2.94&CDS=1-3426, snap_masked-haw-_s23-processed-gene-0.74-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.74&CDS=1-864	YNL202W
250	OG0000250	snap_masked-haw-_s131-processed-gene-2.42-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-2.42&CDS=1-237, snap_masked-haw-_s253-processed-gene-0.15-mRNA-1_1&gene=snap_masked-haw-_s253-processed-gene-0.15&CDS=1-495	YBR282W
251	OG0000251	augustus_masked-haw-_s131-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-haw-_s131-processed-gene-2.91&CDS=1-2571	YKL121W, YMR102C
252	OG0000252	maker-haw-_s143-snap-gene-0.0-mRNA-1_1&gene=maker-haw-_s143-snap-gene-0.0&CDS=1-798, maker-haw-_s456-snap-gene-0.146-mRNA-1_1&gene=maker-haw-_s456-snap-gene-0.146&CDS=1-2535	YCR068W
253	OG0000253	snap_masked-haw-_s151-processed-gene-0.93-mRNA-1_1&gene=snap_masked-haw-_s151-processed-gene-0.93&CDS=1-1041, snap_masked-haw-_s329-processed-gene-1.65-mRNA-1_1&gene=snap_masked-haw-_s329-processed-gene-1.65&CDS=1-1140	YNL231C
