	OrthologID	Lachancea_quebecensis	Saccharomyces_cerevisiae
834	OG0000834	genemark-LAQU0S02-processed-gene-0.102-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.102&CDS=1-4950	YLL048C
835	OG0000835	snap_masked-LAQU0S02-processed-gene-0.40-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-0.40&CDS=1-2121	YMR154C
836	OG0000836	genemark-LAQU0S02-processed-gene-0.82-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.82&CDS=1-1776	YDL089W
837	OG0000837	genemark-LAQU0S02-processed-gene-0.103-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.103&CDS=1-1353	YMR153W
838	OG0000838	genemark-LAQU0S02-processed-gene-0.104-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.104&CDS=1-1080	YMR152W
839	OG0000839	genemark-LAQU0S02-processed-gene-0.105-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.105&CDS=1-855	YDL087C
840	OG0000840	genemark-LAQU0S02-processed-gene-0.83-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.83&CDS=1-588	YMR150C
841	OG0000841	snap_masked-LAQU0S02-processed-gene-0.66-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-0.66&CDS=1-843	YMR149W
842	OG0000842	snap_masked-LAQU0S02-processed-gene-0.68-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-0.68&CDS=1-585	YPL034W
843	OG0000843	augustus_masked-LAQU0S02-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-0.10&CDS=1-1893	YMR146C
844	OG0000844	genemark-LAQU0S02-processed-gene-0.86-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.86&CDS=1-1623	YMR145C
845	OG0000845	genemark-LAQU0S02-processed-gene-0.87-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.87&CDS=1-1317	YDL084W
846	OG0000846	snap_masked-LAQU0S02-processed-gene-0.70-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-0.70&CDS=1-1002	YMR144W
847	OG0000847	maker-LAQU0S02-augustus-gene-0.33-mRNA-1_1&gene=maker-LAQU0S02-augustus-gene-0.33&CDS=1-1668	YMR140W
848	OG0000848	genemark-LAQU0S02-processed-gene-0.89-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.89&CDS=1-327	YMR244C-A
849	OG0000849	genemark-LAQU0S02-processed-gene-0.90-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.90&CDS=1-999	YCR021C
850	OG0000850	genemark-LAQU0S02-processed-gene-0.114-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.114&CDS=1-1101	YMR244W
851	OG0000851	genemark-LAQU0S02-processed-gene-0.91-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.91&CDS=1-1284	YMR243C
852	OG0000852	snap_masked-LAQU0S02-processed-gene-0.76-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-0.76&CDS=1-942	YOR315W
853	OG0000853	genemark-LAQU0S02-processed-gene-0.92-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.92&CDS=1-813	YOR313C
854	OG0000854	genemark-LAQU0S02-processed-gene-0.94-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.94&CDS=1-825	YOR311C
855	OG0000855	genemark-LAQU0S02-processed-gene-0.95-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.95&CDS=1-1533	YOR310C
856	OG0000856	snap_masked-LAQU0S02-processed-gene-0.55-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-0.55&CDS=1-1713	YOR308C
857	OG0000857	genemark-LAQU0S02-processed-gene-1.49-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.49&CDS=1-1344	YOR307C
858	OG0000858	maker-LAQU0S02-augustus-gene-1.0-mRNA-1_1&gene=maker-LAQU0S02-augustus-gene-1.0&CDS=1-1785	YMR241W
859	OG0000859	snap_masked-LAQU0S02-processed-gene-1.2-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-1.2&CDS=1-207	YOR304C-A
860	OG0000860	snap_masked-LAQU0S02-processed-gene-1.3-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-1.3&CDS=1-1482	YMR240C
861	OG0000861	genemark-LAQU0S02-processed-gene-1.51-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.51&CDS=1-1482	YMR239C
862	OG0000862	snap_masked-LAQU0S02-processed-gene-1.25-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-1.25&CDS=1-1197	YOR303W
863	OG0000863	genemark-LAQU0S02-processed-gene-1.71-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.71&CDS=1-1314	YOR301W
864	OG0000864	genemark-LAQU0S02-processed-gene-1.55-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.55&CDS=1-1110	YHR075C
865	OG0000865	genemark-LAQU0S02-processed-gene-1.73-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.73&CDS=1-2142	YHR074W
866	OG0000866	augustus_masked-LAQU0S02-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-1.116&CDS=1-3912	YDR321W
867	OG0000867	snap_masked-LAQU0S02-processed-gene-1.9-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-1.9&CDS=1-216	YDR320C-A
868	OG0000868	snap_masked-LAQU0S02-processed-gene-1.10-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-1.10&CDS=1-1908	YDR320C
869	OG0000869	genemark-LAQU0S02-processed-gene-1.77-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.77&CDS=1-2178	YHR072W
870	OG0000870	genemark-LAQU0S02-processed-gene-1.57-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.57&CDS=1-753	YDR319C
871	OG0000871	snap_masked-LAQU0S02-processed-gene-1.34-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-1.34&CDS=1-1038	YDR318W
872	OG0000872	snap_masked-LAQU0S02-processed-gene-1.35-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-1.35&CDS=1-1536	YDR317W
873	OG0000873	genemark-LAQU0S02-processed-gene-1.79-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.79&CDS=1-696	YHR071W
874	OG0000874	genemark-LAQU0S02-processed-gene-1.80-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.80&CDS=1-1446	YHR070W
875	OG0000875	genemark-LAQU0S02-processed-gene-1.58-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.58&CDS=1-1062	YHR069C
876	OG0000876	genemark-LAQU0S02-processed-gene-1.81-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.81&CDS=1-1323	YDR316W
877	OG0000877	genemark-LAQU0S02-processed-gene-1.82-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.82&CDS=1-1140	YHR068W
878	OG0000878	snap_masked-LAQU0S02-processed-gene-1.12-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-1.12&CDS=1-864	YDR315C
879	OG0000879	genemark-LAQU0S02-processed-gene-1.84-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.84&CDS=1-912	YEL029C
880	OG0000880	snap_masked-LAQU0S02-processed-gene-1.14-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-1.14&CDS=1-1098	YJR043C
881	OG0000881	genemark-LAQU0S02-processed-gene-1.62-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.62&CDS=1-486	YEL027W
882	OG0000882	genemark-LAQU0S02-processed-gene-1.85-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.85&CDS=1-2217	YJR042W
883	OG0000883	snap_masked-LAQU0S02-processed-gene-1.16-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-1.16&CDS=1-3453	YJR041C
884	OG0000884	genemark-LAQU0S02-processed-gene-1.86-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.86&CDS=1-2283	YJR040W
885	OG0000885	genemark-LAQU0S02-processed-gene-1.64-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.64&CDS=1-381	YEL026W
886	OG0000886	snap_masked-LAQU0S02-processed-gene-1.43-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-1.43&CDS=1-3312	YJR039W
887	OG0000887	genemark-LAQU0S02-processed-gene-1.65-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.65&CDS=1-2556	YJR036C
888	OG0000888	genemark-LAQU0S02-processed-gene-1.66-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.66&CDS=1-642	YEL024W
889	OG0000889	genemark-LAQU0S02-processed-gene-1.88-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.88&CDS=1-2046	YEL023C
890	OG0000890	genemark-LAQU0S02-processed-gene-1.89-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.89&CDS=1-3111	YJR035W
891	OG0000891	genemark-LAQU0S02-processed-gene-1.90-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.90&CDS=1-324	YJR034W
892	OG0000892	snap_masked-LAQU0S02-processed-gene-1.20-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-1.20&CDS=1-3792	YJR033C
893	OG0000893	genemark-LAQU0S02-processed-gene-1.91-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.91&CDS=1-1185	YJR032W
894	OG0000894	genemark-LAQU0S02-processed-gene-1.68-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.68&CDS=1-4143	YEL022W
895	OG0000895	augustus_masked-LAQU0S02-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-1.111&CDS=1-1083	YEL021W
896	OG0000896	augustus_masked-LAQU0S02-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-2.13&CDS=1-2988	YEL020C
897	OG0000897	augustus_masked-LAQU0S02-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-2.14&CDS=1-792	YEL019C
898	OG0000898	augustus_masked-LAQU0S02-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-2.9&CDS=1-660	YEL018W
899	OG0000899	augustus_masked-LAQU0S02-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-2.10&CDS=1-957	YEL017W
900	OG0000900	genemark-LAQU0S02-processed-gene-2.57-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.57&CDS=1-576	YCR027C
901	OG0000901	genemark-LAQU0S02-processed-gene-2.53-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.53&CDS=1-1491	YEL015W
902	OG0000902	genemark-LAQU0S02-processed-gene-2.58-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.58&CDS=1-1695	YEL013W
903	OG0000903	augustus_masked-LAQU0S02-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-2.17&CDS=1-1044	YCR019W
904	OG0000904	genemark-LAQU0S02-processed-gene-2.77-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.77&CDS=1-870	YCR020C
905	OG0000905	augustus_masked-LAQU0S02-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-2.18&CDS=1-213	YCR020W-B
906	OG0000906	maker-LAQU0S02-augustus-gene-2.137-mRNA-1_1&gene=maker-LAQU0S02-augustus-gene-2.137&CDS=1-2952	YEL011W
907	OG0000907	genemark-LAQU0S02-processed-gene-2.62-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.62&CDS=1-3042	YCR017C
908	OG0000908	snap_masked-LAQU0S02-processed-gene-2.125-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-2.125&CDS=1-780	YCR016W
909	OG0000909	augustus_masked-LAQU0S02-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-2.22&CDS=1-903	YCR015C
910	OG0000910	genemark-LAQU0S02-processed-gene-2.64-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.64&CDS=1-1668	YCR014C
911	OG0000911	genemark-LAQU0S02-processed-gene-2.81-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.81&CDS=1-1248	YCR012W
912	OG0000912	augustus_masked-LAQU0S02-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-2.24&CDS=1-1980	YOL025W
913	OG0000913	augustus_masked-LAQU0S02-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-2.25&CDS=1-603	YFR017C
914	OG0000914	genemark-LAQU0S02-processed-gene-2.82-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.82&CDS=1-1632	YMR319C
915	OG0000915	snap_masked-LAQU0S02-processed-gene-2.112-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-2.112&CDS=1-1935	YOL023W
916	OG0000916	genemark-LAQU0S02-processed-gene-2.83-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.83&CDS=1-1212	YOL022C
917	OG0000917	genemark-LAQU0S02-processed-gene-2.69-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.69&CDS=1-2256	YFR009W
918	OG0000918	genemark-LAQU0S02-processed-gene-2.84-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.84&CDS=1-2958	YOL021C
919	OG0000919	genemark-LAQU0S02-processed-gene-2.70-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.70&CDS=1-1761	YOL020W
920	OG0000920	genemark-LAQU0S02-processed-gene-2.86-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.86&CDS=1-459	YFR011C
921	OG0000921	genemark-LAQU0S02-processed-gene-2.72-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.72&CDS=1-1794	YOL019W
922	OG0000922	genemark-LAQU0S02-processed-gene-2.87-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.87&CDS=1-1062	YOL018C
923	OG0000923	genemark-LAQU0S02-processed-gene-2.73-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.73&CDS=1-1515	YFR028C
924	OG0000924	genemark-LAQU0S02-processed-gene-2.90-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.90&CDS=1-861	YFR027W
925	OG0000925	genemark-LAQU0S02-processed-gene-2.74-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.74&CDS=1-1011	YFR025C
926	OG0000926	genemark-LAQU0S02-processed-gene-2.92-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.92&CDS=1-2025	YHR020W
927	OG0000927	genemark-LAQU0S02-processed-gene-2.75-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-2.75&CDS=1-1662	YHR019C
928	OG0000928	snap_masked-LAQU0S02-processed-gene-2.136-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-2.136&CDS=1-1089	YHR017W
929	OG0000929	maker-LAQU0S02-augustus-gene-2.139-mRNA-1_1&gene=maker-LAQU0S02-augustus-gene-2.139&CDS=1-1215	YHR016C
930	OG0000930	genemark-LAQU0S02-processed-gene-3.1-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.1&CDS=1-1920	YFR023W
931	OG0000931	genemark-LAQU0S02-processed-gene-3.3-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.3&CDS=1-2295	YOR018W
932	OG0000932	genemark-LAQU0S02-processed-gene-3.4-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.4&CDS=1-1584	YFR021W
933	OG0000933	genemark-LAQU0S02-processed-gene-3.21-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.21&CDS=1-6387	YFR019W
934	OG0000934	genemark-LAQU0S02-processed-gene-3.5-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.5&CDS=1-972	YFR018C
935	OG0000935	augustus_masked-LAQU0S02-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-3.106&CDS=1-3060	YCR011C
936	OG0000936	genemark-LAQU0S02-processed-gene-3.7-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.7&CDS=1-930	YNR003C
937	OG0000937	genemark-LAQU0S02-processed-gene-3.8-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.8&CDS=1-795	YCR009C
938	OG0000938	genemark-LAQU0S02-processed-gene-3.10-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.10&CDS=1-1431	YNR001C
939	OG0000939	genemark-LAQU0S02-processed-gene-3.11-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.11&CDS=1-735	YCR004C
940	OG0000940	genemark-LAQU0S02-processed-gene-3.25-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.25&CDS=1-540	YCR003W
941	OG0000941	genemark-LAQU0S02-processed-gene-3.12-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.12&CDS=1-993	YCR002C
942	OG0000942	maker-LAQU0S02-augustus-gene-3.46-mRNA-1_1&gene=maker-LAQU0S02-augustus-gene-3.46&CDS=1-1515	YNL001W
943	OG0000943	genemark-LAQU0S02-processed-gene-3.28-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.28&CDS=1-1482	YCL004W
944	OG0000944	genemark-LAQU0S02-processed-gene-3.13-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.13&CDS=1-903	YCL009C
945	OG0000945	genemark-LAQU0S02-processed-gene-3.30-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.30&CDS=1-1116	YNL005C
946	OG0000946	genemark-LAQU0S02-processed-gene-3.14-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.14&CDS=1-999	YCL010C
947	OG0000947	genemark-LAQU0S02-processed-gene-3.31-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.31&CDS=1-4815	YCL014W
948	OG0000948	genemark-LAQU0S02-processed-gene-3.15-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.15&CDS=1-1125	YCL016C
949	OG0000949	genemark-LAQU0S02-processed-gene-3.32-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.32&CDS=1-822	YNL003C
950	OG0000950	genemark-LAQU0S02-processed-gene-3.16-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.16&CDS=1-1434	YCL017C
951	OG0000951	genemark-LAQU0S02-processed-gene-3.33-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.33&CDS=1-1092	YCL018W
952	OG0000952	genemark-LAQU0S02-processed-gene-3.34-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.34&CDS=1-930	YNL002C
953	OG0000953	genemark-LAQU0S02-processed-gene-3.17-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.17&CDS=1-2217	YLR176C
954	OG0000954	genemark-LAQU0S02-processed-gene-3.35-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.35&CDS=1-909	YNL006W
955	OG0000955	genemark-LAQU0S02-processed-gene-3.18-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.18&CDS=1-1050	YNL007C
956	OG0000956	genemark-LAQU0S02-processed-gene-3.36-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.36&CDS=1-1449	YLR175W
957	OG0000957	genemark-LAQU0S02-processed-gene-3.37-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.37&CDS=1-1416	YCL008C
958	OG0000958	genemark-LAQU0S02-processed-gene-3.39-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.39&CDS=1-711	YNL010W
959	OG0000959	genemark-LAQU0S02-processed-gene-3.19-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.19&CDS=1-1431	YNL011C
960	OG0000960	genemark-LAQU0S02-processed-gene-3.40-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.40&CDS=1-690	YLR250W
961	OG0000961	snap_masked-LAQU0S02-processed-gene-3.88-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-3.88&CDS=1-1830	YNL012W
962	OG0000962	genemark-LAQU0S02-processed-gene-3.42-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.42&CDS=1-3132	YNL014W
963	OG0000963	genemark-LAQU0S02-processed-gene-3.43-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.43&CDS=1-1716	YLR248W
964	OG0000964	genemark-LAQU0S02-processed-gene-3.20-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.20&CDS=1-366	YMR252C
965	OG0000965	genemark-LAQU0S02-processed-gene-3.44-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.44&CDS=1-468	YLR170C
966	OG0000966	genemark-LAQU0S02-processed-gene-3.45-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.45&CDS=1-897	YLR172C
967	OG0000967	snap_masked-LAQU0S02-processed-gene-4.92-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-4.92&CDS=1-1809	YLR173W
968	OG0000968	genemark-LAQU0S02-processed-gene-4.46-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.46&CDS=1-600	YLR251W
969	OG0000969	genemark-LAQU0S02-processed-gene-4.47-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.47&CDS=1-1695	YLR253W
970	OG0000970	augustus_masked-LAQU0S02-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-4.6&CDS=1-573	YLR254C
971	OG0000971	genemark-LAQU0S02-processed-gene-4.71-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.71&CDS=1-999	YGL159W
972	OG0000972	genemark-LAQU0S02-processed-gene-4.50-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.50&CDS=1-3567	YLR256W
973	OG0000973	genemark-LAQU0S02-processed-gene-4.72-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.72&CDS=1-1599	YGL160W
974	OG0000974	augustus_masked-LAQU0S02-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-4.8&CDS=1-912	YLR257W
975	OG0000975	snap_masked-LAQU0S02-processed-gene-4.100-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-4.100&CDS=1-2880	YFR016C
976	OG0000976	genemark-LAQU0S02-processed-gene-4.54-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.54&CDS=1-1326	YOL016C
977	OG0000977	augustus_masked-LAQU0S02-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-4.28&CDS=1-2514	YFR013W
978	OG0000978	genemark-LAQU0S02-processed-gene-4.55-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.55&CDS=1-1920	YFR029W
979	OG0000979	snap_masked-LAQU0S02-processed-gene-4.126-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-4.126&CDS=1-1080	YJL046W
980	OG0000980	genemark-LAQU0S02-processed-gene-4.56-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.56&CDS=1-822	YBR257W
981	OG0000981	genemark-LAQU0S02-processed-gene-4.76-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.76&CDS=1-390	YBR258C
982	OG0000982	genemark-LAQU0S02-processed-gene-4.77-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.77&CDS=1-2115	YBR260C
983	OG0000983	genemark-LAQU0S02-processed-gene-4.78-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.78&CDS=1-690	YBR261C
984	OG0000984	genemark-LAQU0S02-processed-gene-4.79-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.79&CDS=1-306	YBR262C
985	OG0000985	genemark-LAQU0S02-processed-gene-4.59-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.59&CDS=1-1470	YBR283C
986	OG0000986	augustus_masked-LAQU0S02-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-4.35&CDS=1-2109	YJL069C
987	OG0000987	genemark-LAQU0S02-processed-gene-4.60-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.60&CDS=1-2589	YBR281C
988	OG0000988	genemark-LAQU0S02-processed-gene-4.61-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.61&CDS=1-1734	YBR280C
989	OG0000989	augustus_masked-LAQU0S02-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-4.36&CDS=1-2097	YJL068C
990	OG0000990	augustus_masked-LAQU0S02-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-4.37&CDS=1-861	YJL066C
991	OG0000991	genemark-LAQU0S02-processed-gene-4.85-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.85&CDS=1-612	YJL065C
992	OG0000992	genemark-LAQU0S02-processed-gene-4.62-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.62&CDS=1-2349	YBR276C
993	OG0000993	genemark-LAQU0S02-processed-gene-4.87-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.87&CDS=1-729	YJL063C
994	OG0000994	augustus_masked-LAQU0S02-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-4.20&CDS=1-5172	YJL062W
995	OG0000995	augustus_masked-LAQU0S02-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-4.21&CDS=1-1941	YJL061W
996	OG0000996	genemark-LAQU0S02-processed-gene-4.88-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.88&CDS=1-405	YBR269C
997	OG0000997	genemark-LAQU0S02-processed-gene-4.67-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.67&CDS=1-1299	YJL060W
998	OG0000998	genemark-LAQU0S02-processed-gene-4.68-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.68&CDS=1-1206	YJL059W
999	OG0000999	snap_masked-LAQU0S02-processed-gene-4.141-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-4.141&CDS=1-1176	YJL057C
1000	OG0001000	augustus_masked-LAQU0S02-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-4.24&CDS=1-1242	YBR271W
1001	OG0001001	genemark-LAQU0S02-processed-gene-4.91-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.91&CDS=1-2046	YJL056C
1002	OG0001002	genemark-LAQU0S02-processed-gene-4.70-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-4.70&CDS=1-726	YJL055W
1003	OG0001003	genemark-LAQU0S02-processed-gene-5.1-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-5.1&CDS=1-1449	YJL054W
1004	OG0001004	genemark-LAQU0S02-processed-gene-5.2-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-5.2&CDS=1-936	YJL053W
1005	OG0001005	augustus_masked-LAQU0S02-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-5.89&CDS=1-2241	YJL051W
1006	OG0001006	genemark-LAQU0S02-processed-gene-5.4-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-5.4&CDS=1-3225	YJL050W
1007	OG0001007	snap_masked-LAQU0S02-processed-gene-5.66-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-5.66&CDS=1-1440	YBR272C
