	OrthologID	Saccharomyces_cerevisiae	Spathaspora_girioi
122	OG0000122	YJR017C, YKL024C	genemark-LQMS01002330.1-processed-gene-0.37-mRNA-1_1&gene=genemark-LQMS01002330.1-processed-gene-0.37&CDS=1-531, maker-LQMS01002365.1-augustus-gene-0.16-mRNA-1_1&gene=maker-LQMS01002365.1-augustus-gene-0.16&CDS=1-1401
123	OG0000123	YJR052W	augustus_masked-LQMS01000782.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMS01000782.1-processed-gene-0.1&CDS=1-315, augustus_masked-LQMS01001398.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMS01001398.1-processed-gene-0.2&CDS=1-456, genemark-LQMS01002241.1-processed-gene-0.30-mRNA-1_1&gene=genemark-LQMS01002241.1-processed-gene-0.30&CDS=1-1665
124	OG0000124	YKL072W, YMR053C	augustus_masked-LQMS01000914.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMS01000914.1-processed-gene-0.2&CDS=1-354, genemark-LQMS01002337.1-processed-gene-0.30-mRNA-1_1&gene=genemark-LQMS01002337.1-processed-gene-0.30&CDS=1-3006
125	OG0000125	YLL012W, YLR020C	augustus_masked-LQMS01000313.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMS01000313.1-processed-gene-0.0&CDS=1-246, genemark-LQMS01002371.1-processed-gene-0.59-mRNA-1_1&gene=genemark-LQMS01002371.1-processed-gene-0.59&CDS=1-1575
126	OG0000126	YLL062C, YMR321C, YPL273W	genemark-LQMS01002201.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQMS01002201.1-processed-gene-0.8&CDS=1-888
127	OG0000127	YLR090W, YNL064C	genemark-LQMS01002366.1-processed-gene-0.153-mRNA-1_1&gene=genemark-LQMS01002366.1-processed-gene-0.153&CDS=1-1173, genemark-LQMS01002372.1-processed-gene-0.167-mRNA-1_1&gene=genemark-LQMS01002372.1-processed-gene-0.167&CDS=1-1212
128	OG0000128	YML111W, YMR275C, YNR069C	genemark-LQMS01002346.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQMS01002346.1-processed-gene-0.1&CDS=1-2559
129	OG0000129	YMR006C, YMR008C, YOL011W	augustus_masked-LQMS01002320.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-LQMS01002320.1-processed-gene-0.97&CDS=1-4191
130	OG0000130	YMR155W	augustus_masked-LQMS01002371.1-processed-gene-0.216-mRNA-1_1&gene=augustus_masked-LQMS01002371.1-processed-gene-0.216&CDS=1-2181, genemark-LQMS01002271.1-processed-gene-0.36-mRNA-1_1&gene=genemark-LQMS01002271.1-processed-gene-0.36&CDS=1-1836, genemark-LQMS01002353.1-processed-gene-0.135-mRNA-1_1&gene=genemark-LQMS01002353.1-processed-gene-0.135&CDS=1-1599
131	OG0000131	YMR234W	augustus_masked-LQMS01002304.1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-LQMS01002304.1-processed-gene-0.66&CDS=1-1836, genemark-LQMS01002204.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQMS01002204.1-processed-gene-0.19&CDS=1-894, genemark-LQMS01002261.1-processed-gene-0.65-mRNA-1_1&gene=genemark-LQMS01002261.1-processed-gene-0.65&CDS=1-690
132	OG0000132	YMR238W	genemark-LQMS01002021.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQMS01002021.1-processed-gene-0.2&CDS=1-1380, genemark-LQMS01002207.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQMS01002207.1-processed-gene-0.14&CDS=1-1377, maker-LQMS01002295.1-augustus-gene-0.82-mRNA-1_1&gene=maker-LQMS01002295.1-augustus-gene-0.82&CDS=1-3234
133	OG0000133	YMR303C, YOL086C	genemark-LQMS01002296.1-processed-gene-0.36-mRNA-1_1&gene=genemark-LQMS01002296.1-processed-gene-0.36&CDS=1-1038, genemark-LQMS01002296.1-processed-gene-0.37-mRNA-1_1&gene=genemark-LQMS01002296.1-processed-gene-0.37&CDS=1-1044
134	OG0000134	YNL322C, YOL139C	augustus_masked-LQMS01002342.1-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-LQMS01002342.1-processed-gene-0.137&CDS=1-981, genemark-LQMS01002341.1-processed-gene-0.53-mRNA-1_1&gene=genemark-LQMS01002341.1-processed-gene-0.53&CDS=1-390
135	OG0000135	YOL076W	augustus_masked-LQMS01001190.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMS01001190.1-processed-gene-0.0&CDS=1-426, augustus_masked-LQMS01001464.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMS01001464.1-processed-gene-0.0&CDS=1-606, genemark-LQMS01002308.1-processed-gene-0.43-mRNA-1_1&gene=genemark-LQMS01002308.1-processed-gene-0.43&CDS=1-2145
136	OG0000136	YOR049C	genemark-LQMS01002288.1-processed-gene-0.31-mRNA-1_1&gene=genemark-LQMS01002288.1-processed-gene-0.31&CDS=1-1329, genemark-LQMS01002323.1-processed-gene-0.95-mRNA-1_1&gene=genemark-LQMS01002323.1-processed-gene-0.95&CDS=1-1368, maker-LQMS01002357.1-snap-gene-0.14-mRNA-1_1&gene=maker-LQMS01002357.1-snap-gene-0.14&CDS=1-2685
137	OG0000137	YOR099W	genemark-LQMS01002337.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQMS01002337.1-processed-gene-0.13&CDS=1-1335, genemark-LQMS01002350.1-processed-gene-0.44-mRNA-1_1&gene=genemark-LQMS01002350.1-processed-gene-0.44&CDS=1-1287, genemark-LQMS01002358.1-processed-gene-0.84-mRNA-1_1&gene=genemark-LQMS01002358.1-processed-gene-0.84&CDS=1-1116
138	OG0000138	YOR153W	augustus_masked-LQMS01002259.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LQMS01002259.1-processed-gene-0.6&CDS=1-4443, genemark-LQMS01002316.1-processed-gene-0.45-mRNA-1_1&gene=genemark-LQMS01002316.1-processed-gene-0.45&CDS=1-4497, genemark-LQMS01002379.1-processed-gene-0.76-mRNA-1_1&gene=genemark-LQMS01002379.1-processed-gene-0.76&CDS=1-4059
139	OG0000139	YPL048W	genemark-LQMS01002294.1-processed-gene-0.22-mRNA-1_1&gene=genemark-LQMS01002294.1-processed-gene-0.22&CDS=1-1242, genemark-LQMS01002339.1-processed-gene-0.64-mRNA-1_1&gene=genemark-LQMS01002339.1-processed-gene-0.64&CDS=1-1224, genemark-LQMS01002376.1-processed-gene-0.109-mRNA-1_1&gene=genemark-LQMS01002376.1-processed-gene-0.109&CDS=1-1230
140	OG0000140	YPL135C-A	augustus_masked-LQMS01002313.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-LQMS01002313.1-processed-gene-0.76&CDS=1-606, snap_masked-LQMS01002239.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-LQMS01002239.1-processed-gene-0.10&CDS=1-555, snap_masked-LQMS01002306.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-LQMS01002306.1-processed-gene-0.10&CDS=1-726
141	OG0000141	YPR159W	genemark-LQMS01002376.1-processed-gene-0.125-mRNA-1_1&gene=genemark-LQMS01002376.1-processed-gene-0.125&CDS=1-2139, genemark-LQMS01002376.1-processed-gene-0.89-mRNA-1_1&gene=genemark-LQMS01002376.1-processed-gene-0.89&CDS=1-1902, maker-LQMS01002376.1-snap-gene-0.239-mRNA-1_1&gene=maker-LQMS01002376.1-snap-gene-0.239&CDS=1-4149
142	OG0000142	YAL015C, YOL043C	genemark-LQMS01002334.1-processed-gene-0.20-mRNA-1_1&gene=genemark-LQMS01002334.1-processed-gene-0.20&CDS=1-1014
143	OG0000143	YAL017W, YOL045W	genemark-LQMS01002362.1-processed-gene-0.88-mRNA-1_1&gene=genemark-LQMS01002362.1-processed-gene-0.88&CDS=1-3891
144	OG0000144	YAL034C, YOR338W	genemark-LQMS01002377.1-processed-gene-1.46-mRNA-1_1&gene=genemark-LQMS01002377.1-processed-gene-1.46&CDS=1-960
145	OG0000145	YAL040C	genemark-LQMS01002208.1-processed-gene-0.11-mRNA-1_1&gene=genemark-LQMS01002208.1-processed-gene-0.11&CDS=1-1434, genemark-LQMS01002366.1-processed-gene-0.134-mRNA-1_1&gene=genemark-LQMS01002366.1-processed-gene-0.134&CDS=1-1413
146	OG0000146	YAL049C	augustus_masked-LQMS01002357.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-LQMS01002357.1-processed-gene-0.45&CDS=1-1344, genemark-LQMS01002261.1-processed-gene-0.67-mRNA-1_1&gene=genemark-LQMS01002261.1-processed-gene-0.67&CDS=1-732
147	OG0000147	YAL056W, YOR371C	snap_masked-LQMS01002159.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LQMS01002159.1-processed-gene-0.3&CDS=1-4002
148	OG0000148	YAL060W, YAL061W	genemark-LQMS01002266.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQMS01002266.1-processed-gene-0.17&CDS=1-1155
149	OG0000149	YAL062W, YOR375C	genemark-LQMS01002167.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQMS01002167.1-processed-gene-0.13&CDS=1-1365
150	OG0000150	YAL067C	genemark-LQMS01002261.1-processed-gene-0.55-mRNA-1_1&gene=genemark-LQMS01002261.1-processed-gene-0.55&CDS=1-1725, genemark-LQMS01002377.1-processed-gene-1.22-mRNA-1_1&gene=genemark-LQMS01002377.1-processed-gene-1.22&CDS=1-1737
151	OG0000151	YBL002W, YDR224C	genemark-LQMS01002182.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQMS01002182.1-processed-gene-0.8&CDS=1-390
152	OG0000152	YBL003C, YDR225W	genemark-LQMS01002182.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQMS01002182.1-processed-gene-0.12&CDS=1-393
153	OG0000153	YBL005W, YER184C, YGL013C	
154	OG0000154	YBL026W, YER112W	augustus_masked-LQMS01002372.1-processed-gene-0.245-mRNA-1_1&gene=augustus_masked-LQMS01002372.1-processed-gene-0.245&CDS=1-1647
155	OG0000155	YBL027W, YBR084C-A	genemark-LQMS01002297.1-processed-gene-0.37-mRNA-1_1&gene=genemark-LQMS01002297.1-processed-gene-0.37&CDS=1-600
156	OG0000156	YBL054W, YER088C	genemark-LQMS01002335.1-processed-gene-0.68-mRNA-1_1&gene=genemark-LQMS01002335.1-processed-gene-0.68&CDS=1-1902
157	OG0000157	YBL056W, YER089C	genemark-LQMS01002335.1-processed-gene-0.87-mRNA-1_1&gene=genemark-LQMS01002335.1-processed-gene-0.87&CDS=1-1527
158	OG0000158	YBL068W, YER099C	genemark-LQMS01002330.1-processed-gene-0.55-mRNA-1_1&gene=genemark-LQMS01002330.1-processed-gene-0.55&CDS=1-978
159	OG0000159	YBL072C, YER102W	genemark-LQMS01002356.1-processed-gene-0.139-mRNA-1_1&gene=genemark-LQMS01002356.1-processed-gene-0.139&CDS=1-603
160	OG0000160	YBL087C, YER117W	snap_masked-LQMS01002343.1-processed-gene-0.115-mRNA-1_1&gene=snap_masked-LQMS01002343.1-processed-gene-0.115&CDS=1-411
161	OG0000161	YBL101C, YPR030W	genemark-LQMS01002380.1-processed-gene-2.79-mRNA-1_1&gene=genemark-LQMS01002380.1-processed-gene-2.79&CDS=1-2967
162	OG0000162	YBL106C, YPR032W	genemark-LQMS01002367.1-processed-gene-0.81-mRNA-1_1&gene=genemark-LQMS01002367.1-processed-gene-0.81&CDS=1-3231
163	OG0000163	YBR001C, YDR001C	genemark-LQMS01002368.1-processed-gene-0.69-mRNA-1_1&gene=genemark-LQMS01002368.1-processed-gene-0.69&CDS=1-2859
164	OG0000164	YBR005W, YDR003W	genemark-LQMS01002198.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQMS01002198.1-processed-gene-0.9&CDS=1-1230
165	OG0000165	YBR016W, YDL012C	genemark-LQMS01002285.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQMS01002285.1-processed-gene-0.12&CDS=1-333
166	OG0000166	YBR031W, YDR012W	genemark-LQMS01002352.1-processed-gene-0.141-mRNA-1_1&gene=genemark-LQMS01002352.1-processed-gene-0.141&CDS=1-1077
167	OG0000167	YBR033W, YKL038W	genemark-LQMS01002349.1-processed-gene-0.79-mRNA-1_1&gene=genemark-LQMS01002349.1-processed-gene-0.79&CDS=1-2886
168	OG0000168	YBR048W, YDR025W	genemark-LQMS01002294.1-processed-gene-0.28-mRNA-1_1&gene=genemark-LQMS01002294.1-processed-gene-0.28&CDS=1-465
169	OG0000169	YBR078W, YDR055W	genemark-LQMS01002344.1-processed-gene-0.25-mRNA-1_1&gene=genemark-LQMS01002344.1-processed-gene-0.25&CDS=1-1245
170	OG0000170	YBR084W	augustus_masked-LQMS01002374.1-processed-gene-0.241-mRNA-1_1&gene=augustus_masked-LQMS01002374.1-processed-gene-0.241&CDS=1-3786, snap_masked-LQMS01002302.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-LQMS01002302.1-processed-gene-0.18&CDS=1-2970
171	OG0000171	YBR104W, YPR058W	genemark-LQMS01002264.1-processed-gene-0.40-mRNA-1_1&gene=genemark-LQMS01002264.1-processed-gene-0.40&CDS=1-906
172	OG0000172	YBR105C, YGR066C	genemark-LQMS01002362.1-processed-gene-0.92-mRNA-1_1&gene=genemark-LQMS01002362.1-processed-gene-0.92&CDS=1-1245
173	OG0000173	YBR118W, YPR080W	augustus_masked-LQMS01001882.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMS01001882.1-processed-gene-0.2&CDS=1-1320
174	OG0000174	YBR147W, YOL092W	snap_masked-LQMS01002376.1-processed-gene-0.167-mRNA-1_1&gene=snap_masked-LQMS01002376.1-processed-gene-0.167&CDS=1-1014
175	OG0000175	YBR149W	augustus_masked-LQMS01002334.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-LQMS01002334.1-processed-gene-0.77&CDS=1-807, genemark-LQMS01002238.1-processed-gene-0.18-mRNA-1_1&gene=genemark-LQMS01002238.1-processed-gene-0.18&CDS=1-975
176	OG0000176	YBR161W, YPL057C	genemark-LQMS01002239.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQMS01002239.1-processed-gene-0.14&CDS=1-1317
177	OG0000177	YBR169C, YPL106C	maker-LQMS01002345.1-augustus-gene-0.149-mRNA-1_1&gene=maker-LQMS01002345.1-augustus-gene-0.149&CDS=1-3825
178	OG0000178	YBR172C, YPL105C	genemark-LQMS01002324.1-processed-gene-0.18-mRNA-1_1&gene=genemark-LQMS01002324.1-processed-gene-0.18&CDS=1-2496
179	OG0000179	YBR173C	maker-LQMS01002324.1-snap-gene-0.4-mRNA-1_1&gene=maker-LQMS01002324.1-snap-gene-0.4&CDS=1-1557, snap_masked-LQMS01001656.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMS01001656.1-processed-gene-0.1&CDS=1-441
180	OG0000180	YBR177C, YPL095C	genemark-LQMS01002378.1-processed-gene-1.65-mRNA-1_1&gene=genemark-LQMS01002378.1-processed-gene-1.65&CDS=1-1287
181	OG0000181	YBR181C, YPL090C	snap_masked-LQMS01002258.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-LQMS01002258.1-processed-gene-0.20&CDS=1-708
182	OG0000182	YBR183W, YPL087W	maker-LQMS01002242.1-augustus-gene-0.0-mRNA-1_1&gene=maker-LQMS01002242.1-augustus-gene-0.0&CDS=1-2673
183	OG0000183	YBR189W, YPL081W	genemark-LQMS01002340.1-processed-gene-0.74-mRNA-1_1&gene=genemark-LQMS01002340.1-processed-gene-0.74&CDS=1-666
184	OG0000184	YBR214W, YGL056C	genemark-LQMS01002245.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQMS01002245.1-processed-gene-0.6&CDS=1-1686
185	OG0000185	YBR216C, YGL060W	genemark-LQMS01002375.1-processed-gene-0.118-mRNA-1_1&gene=genemark-LQMS01002375.1-processed-gene-0.118&CDS=1-2061
186	OG0000186	YBR238C, YGL107C	genemark-LQMS01002362.1-processed-gene-0.49-mRNA-1_1&gene=genemark-LQMS01002362.1-processed-gene-0.49&CDS=1-1929
187	OG0000187	YBR241C, YGL104C	augustus_masked-LQMS01002354.1-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-LQMS01002354.1-processed-gene-0.148&CDS=1-3603
188	OG0000188	YBR242W, YGL101W	augustus_masked-LQMS01002354.1-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-LQMS01002354.1-processed-gene-0.147&CDS=1-759
189	OG0000189	YBR244W, YIR037W	genemark-LQMS01002367.1-processed-gene-0.97-mRNA-1_1&gene=genemark-LQMS01002367.1-processed-gene-0.97&CDS=1-486
190	OG0000190	YBR273C, YJL048C	genemark-LQMS01002378.1-processed-gene-1.7-mRNA-1_1&gene=genemark-LQMS01002378.1-processed-gene-1.7&CDS=1-1524
191	OG0000191	YBR286W	augustus_masked-LQMS01002233.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-LQMS01002233.1-processed-gene-0.26&CDS=1-2412, maker-LQMS01002055.1-augustus-gene-0.0-mRNA-1_1&gene=maker-LQMS01002055.1-augustus-gene-0.0&CDS=1-1674
192	OG0000192	YBR293W, YMR088C	genemark-LQMS01002353.1-processed-gene-0.124-mRNA-1_1&gene=genemark-LQMS01002353.1-processed-gene-0.124&CDS=1-1812
193	OG0000193	YBR294W, YLR092W	genemark-LQMS01002349.1-processed-gene-0.75-mRNA-1_1&gene=genemark-LQMS01002349.1-processed-gene-0.75&CDS=1-2460
194	OG0000194	YCL011C, YNL004W	genemark-LQMS01002339.1-processed-gene-0.94-mRNA-1_1&gene=genemark-LQMS01002339.1-processed-gene-0.94&CDS=1-1383
195	OG0000195	YCL035C, YDR513W	genemark-LQMS01002308.1-processed-gene-0.33-mRNA-1_1&gene=genemark-LQMS01002308.1-processed-gene-0.33&CDS=1-312
196	OG0000196	YCL036W, YDR514C	genemark-LQMS01002339.1-processed-gene-0.83-mRNA-1_1&gene=genemark-LQMS01002339.1-processed-gene-0.83&CDS=1-1359
197	OG0000197	YCL040W, YDR516C	snap_masked-LQMS01002270.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-LQMS01002270.1-processed-gene-0.5&CDS=1-1428
198	OG0000198	YCL048W, YDR522C	snap_masked-LQMS01002315.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-LQMS01002315.1-processed-gene-0.40&CDS=1-1335
199	OG0000199	YCL050C, YDR530C	genemark-LQMS01002236.1-processed-gene-0.31-mRNA-1_1&gene=genemark-LQMS01002236.1-processed-gene-0.31&CDS=1-957
200	OG0000200	YCL074W	augustus_masked-LQMS01002261.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-LQMS01002261.1-processed-gene-0.19&CDS=1-789, snap_masked-LQMS01002367.1-processed-gene-0.174-mRNA-1_1&gene=snap_masked-LQMS01002367.1-processed-gene-0.174&CDS=1-804
201	OG0000201	YCR026C, YEL016C	genemark-LQMS01002167.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQMS01002167.1-processed-gene-0.12&CDS=1-2094
202	OG0000202	YCR031C, YJL191W	snap_masked-LQMS01002364.1-processed-gene-0.168-mRNA-1_1&gene=snap_masked-LQMS01002364.1-processed-gene-0.168&CDS=1-408
203	OG0000203	YCR044C	augustus_masked-LQMS01002251.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-LQMS01002251.1-processed-gene-0.39&CDS=1-2829, augustus_masked-LQMS01002278.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-LQMS01002278.1-processed-gene-0.40&CDS=1-3864
204	OG0000204	YCR048W, YNR019W	genemark-LQMS01002273.1-processed-gene-0.56-mRNA-1_1&gene=genemark-LQMS01002273.1-processed-gene-0.56&CDS=1-1743
205	OG0000205	YCR067C, YNR026C	genemark-LQMS01002328.1-processed-gene-0.32-mRNA-1_1&gene=genemark-LQMS01002328.1-processed-gene-0.32&CDS=1-2748
206	OG0000206	YCR073C, YNR031C	genemark-LQMS01002325.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQMS01002325.1-processed-gene-0.5&CDS=1-4443
207	OG0000207	YCR073W-A, YNR034W	genemark-LQMS01002377.1-processed-gene-0.106-mRNA-1_1&gene=genemark-LQMS01002377.1-processed-gene-0.106&CDS=1-1005
208	OG0000208	YCR091W, YNR047W	genemark-LQMS01002317.1-processed-gene-0.70-mRNA-1_1&gene=genemark-LQMS01002317.1-processed-gene-0.70&CDS=1-2619
209	OG0000209	YCR105W, YMR318C	genemark-LQMS01002343.1-processed-gene-0.64-mRNA-1_1&gene=genemark-LQMS01002343.1-processed-gene-0.64&CDS=1-1101
210	OG0000210	YDL022W	genemark-LQMS01002343.1-processed-gene-0.71-mRNA-1_1&gene=genemark-LQMS01002343.1-processed-gene-0.71&CDS=1-1122, genemark-LQMS01002377.1-processed-gene-1.12-mRNA-1_1&gene=genemark-LQMS01002377.1-processed-gene-1.12&CDS=1-1179
211	OG0000211	YDL048C, YLR375W	augustus_masked-LQMS01002369.1-processed-gene-0.183-mRNA-1_1&gene=augustus_masked-LQMS01002369.1-processed-gene-0.183&CDS=1-1131
212	OG0000212	YDL049C, YJL174W	genemark-LQMS01002325.1-processed-gene-0.26-mRNA-1_1&gene=genemark-LQMS01002325.1-processed-gene-0.26&CDS=1-816
213	OG0000213	YDL075W, YLR406C	genemark-LQMS01002263.1-processed-gene-0.26-mRNA-1_1&gene=genemark-LQMS01002263.1-processed-gene-0.26&CDS=1-336
214	OG0000214	YDL079C, YMR139W	augustus_masked-LQMS01002360.1-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-LQMS01002360.1-processed-gene-0.130&CDS=1-2193
215	OG0000215	YDL082W, YMR142C	genemark-LQMS01002370.1-processed-gene-0.78-mRNA-1_1&gene=genemark-LQMS01002370.1-processed-gene-0.78&CDS=1-606
216	OG0000216	YDL083C, YMR143W	snap_masked-LQMS01002370.1-processed-gene-0.118-mRNA-1_1&gene=snap_masked-LQMS01002370.1-processed-gene-0.118&CDS=1-426
217	OG0000217	YDL088C, YMR153W	genemark-LQMS01002353.1-processed-gene-0.131-mRNA-1_1&gene=genemark-LQMS01002353.1-processed-gene-0.131&CDS=1-1233
218	OG0000218	YDL127W, YDL179W	genemark-LQMS01002364.1-processed-gene-0.96-mRNA-1_1&gene=genemark-LQMS01002364.1-processed-gene-0.96&CDS=1-876
219	OG0000219	YDL131W	genemark-LQMS01002360.1-processed-gene-0.77-mRNA-1_1&gene=genemark-LQMS01002360.1-processed-gene-0.77&CDS=1-1242, genemark-LQMS01002365.1-processed-gene-0.127-mRNA-1_1&gene=genemark-LQMS01002365.1-processed-gene-0.127&CDS=1-1338
220	OG0000220	YDL136W, YDL191W	augustus_masked-LQMS01002200.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LQMS01002200.1-processed-gene-0.21&CDS=1-360
221	OG0000221	YDL155W, YLR210W	augustus_masked-LQMS01002333.1-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-LQMS01002333.1-processed-gene-0.101&CDS=1-2418
222	OG0000222	YDL161W, YLR206W	genemark-LQMS01002376.1-processed-gene-0.98-mRNA-1_1&gene=genemark-LQMS01002376.1-processed-gene-0.98&CDS=1-1548
223	OG0000223	YDL170W	genemark-LQMS01002312.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQMS01002312.1-processed-gene-0.12&CDS=1-2130, genemark-LQMS01002370.1-processed-gene-0.44-mRNA-1_1&gene=genemark-LQMS01002370.1-processed-gene-0.44&CDS=1-1686
224	OG0000224	YDL175C, YIL079C	genemark-LQMS01002292.1-processed-gene-0.11-mRNA-1_1&gene=genemark-LQMS01002292.1-processed-gene-0.11&CDS=1-1125
225	OG0000225	YDL206W	augustus_masked-LQMS01002341.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-LQMS01002341.1-processed-gene-0.30&CDS=1-1707, genemark-LQMS01002311.1-processed-gene-0.79-mRNA-1_1&gene=genemark-LQMS01002311.1-processed-gene-0.79&CDS=1-1986
226	OG0000226	YDL210W	augustus_masked-LQMS01002346.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-LQMS01002346.1-processed-gene-0.89&CDS=1-1686, genemark-LQMS01002279.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQMS01002279.1-processed-gene-0.1&CDS=1-1668
227	OG0000227	YDL224C, YNL197C	genemark-LQMS01002373.1-processed-gene-0.122-mRNA-1_1&gene=genemark-LQMS01002373.1-processed-gene-0.122&CDS=1-2400
228	OG0000228	YDL229W, YNL209W	genemark-LQMS01002305.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQMS01002305.1-processed-gene-0.13&CDS=1-1839
229	OG0000229	YDL234C	augustus_masked-LQMS01001747.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMS01001747.1-processed-gene-0.2&CDS=1-966, augustus_masked-LQMS01001944.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMS01001944.1-processed-gene-0.0&CDS=1-978
230	OG0000230	YDR066C, YER139C	genemark-LQMS01002336.1-processed-gene-0.88-mRNA-1_1&gene=genemark-LQMS01002336.1-processed-gene-0.88&CDS=1-936
231	OG0000231	YDR069C, YER144C	genemark-LQMS01002352.1-processed-gene-0.126-mRNA-1_1&gene=genemark-LQMS01002352.1-processed-gene-0.126&CDS=1-2487
232	OG0000232	YDR085C, YER158C	genemark-LQMS01002266.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQMS01002266.1-processed-gene-0.2&CDS=1-3708
233	OG0000233	YDR098C, YER174C	genemark-LQMS01002251.1-processed-gene-0.22-mRNA-1_1&gene=genemark-LQMS01002251.1-processed-gene-0.22&CDS=1-729
234	OG0000234	YDR099W, YER177W	genemark-LQMS01002378.1-processed-gene-1.38-mRNA-1_1&gene=genemark-LQMS01002378.1-processed-gene-1.38&CDS=1-774
235	OG0000235	YDR122W, YLR096W	genemark-LQMS01002168.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQMS01002168.1-processed-gene-0.4&CDS=1-4488
236	OG0000236	YDR125C, YLR099C	genemark-LQMS01002337.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQMS01002337.1-processed-gene-0.4&CDS=1-1512
237	OG0000237	YDR132C, YLR108C	snap_masked-LQMS01002349.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-LQMS01002349.1-processed-gene-0.11&CDS=1-1311
238	OG0000238	YDR134C, YLR110C	genemark-LQMS01002380.1-processed-gene-1.35-mRNA-1_1&gene=genemark-LQMS01002380.1-processed-gene-1.35&CDS=1-540
239	OG0000239	YDR146C, YLR131C	genemark-LQMS01002289.1-processed-gene-0.25-mRNA-1_1&gene=genemark-LQMS01002289.1-processed-gene-0.25&CDS=1-2127
240	OG0000240	YDR151C, YLR136C	genemark-LQMS01002268.1-processed-gene-0.15-mRNA-1_1&gene=genemark-LQMS01002268.1-processed-gene-0.15&CDS=1-1020
241	OG0000241	YDR185C, YLR168C	maker-LQMS01002199.1-snap-gene-0.29-mRNA-1_1&gene=maker-LQMS01002199.1-snap-gene-0.29&CDS=1-3915
242	OG0000242	YDR198C	augustus_masked-LQMS01002324.1-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-LQMS01002324.1-processed-gene-0.75&CDS=1-888, genemark-LQMS01002296.1-processed-gene-0.53-mRNA-1_1&gene=genemark-LQMS01002296.1-processed-gene-0.53&CDS=1-1485
243	OG0000243	YDR200C, YLR238W	maker-LQMS01002378.1-snap-gene-1.223-mRNA-1_1&gene=maker-LQMS01002378.1-snap-gene-1.223&CDS=1-1821
