	OrthologID	Metschnikowia_kamakouana	Saccharomyces_cerevisiae
249	OG0000249	snap_masked-kam_s119-processed-gene-0.1-mRNA-1_1&gene=snap_masked-kam_s119-processed-gene-0.1&CDS=1-297, snap_masked-kam_s16-processed-gene-4.55-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-4.55&CDS=1-1404	YIL063C
250	OG0000250	snap_masked-kam_s12-processed-gene-1.55-mRNA-1_1&gene=snap_masked-kam_s12-processed-gene-1.55&CDS=1-1368	YDR247W, YPL026C
251	OG0000251	augustus_masked-kam_s12-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-kam_s12-processed-gene-1.120&CDS=1-387, genemark-kam_s265-processed-gene-0.52-mRNA-1_1&gene=genemark-kam_s265-processed-gene-0.52&CDS=1-3303	YBL022C
252	OG0000252	snap_masked-kam_s120-processed-gene-0.2-mRNA-1_1&gene=snap_masked-kam_s120-processed-gene-0.2&CDS=1-327, snap_masked-kam_s62-processed-gene-2.86-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-2.86&CDS=1-342	YGR074W
253	OG0000253	snap_masked-kam_s120-processed-gene-0.34-mRNA-1_1&gene=snap_masked-kam_s120-processed-gene-0.34&CDS=1-1527, snap_masked-kam_s6-processed-gene-3.149-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-3.149&CDS=1-1539	YKL103C
254	OG0000254	snap_masked-kam_s120-processed-gene-0.20-mRNA-1_1&gene=snap_masked-kam_s120-processed-gene-0.20&CDS=1-1533	YBR020W, YDR009W
255	OG0000255	augustus_masked-kam_s154-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-kam_s154-processed-gene-0.16&CDS=1-201	YLR264W, YOR167C
256	OG0000256	snap_masked-kam_s154-processed-gene-0.11-mRNA-1_1&gene=snap_masked-kam_s154-processed-gene-0.11&CDS=1-474, snap_masked-kam_s275-processed-gene-0.15-mRNA-1_1&gene=snap_masked-kam_s275-processed-gene-0.15&CDS=1-300	YLR050C
257	OG0000257	snap_masked-kam_s16-processed-gene-0.37-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-0.37&CDS=1-2103, snap_masked-kam_s62-processed-gene-3.33-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-3.33&CDS=1-2094	YLL029W
258	OG0000258	snap_masked-kam_s16-processed-gene-0.38-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-0.38&CDS=1-1533	YJR054W, YML047C
259	OG0000259	augustus_masked-kam_s2-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-kam_s2-processed-gene-3.55&CDS=1-291, snap_masked-kam_s16-processed-gene-0.27-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-0.27&CDS=1-3225	YBR276C
260	OG0000260	snap_masked-kam_s16-processed-gene-0.30-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-0.30&CDS=1-864, snap_masked-kam_s74-processed-gene-0.10-mRNA-1_1&gene=snap_masked-kam_s74-processed-gene-0.10&CDS=1-801	YDR284C
261	OG0000261	snap_masked-kam_s16-processed-gene-0.50-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-0.50&CDS=1-399	YBR082C, YDR059C
262	OG0000262	maker-kam_s16-augustus-gene-0.24-mRNA-1_1&gene=maker-kam_s16-augustus-gene-0.24&CDS=1-2394, snap_masked-kam_s18-processed-gene-0.140-mRNA-1_1&gene=snap_masked-kam_s18-processed-gene-0.140&CDS=1-1644	YDL170W
263	OG0000263	genemark-kam_s16-processed-gene-1.22-mRNA-1_1&gene=genemark-kam_s16-processed-gene-1.22&CDS=1-1716	YEL034W, YJR047C
264	OG0000264	augustus_masked-kam_s16-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-kam_s16-processed-gene-1.31&CDS=1-804, snap_masked-kam_s16-processed-gene-16.14-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-16.14&CDS=1-3534	YKL092C
265	OG0000265	snap_masked-kam_s16-processed-gene-3.82-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-3.82&CDS=1-207, snap_masked-kam_s62-processed-gene-0.80-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-0.80&CDS=1-990	YNL230C
266	OG0000266	snap_masked-kam_s16-processed-gene-3.83-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-3.83&CDS=1-3678	YDR122W, YLR096W
267	OG0000267	snap_masked-kam_s16-processed-gene-3.76-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-3.76&CDS=1-2130	YGR056W, YLR357W
268	OG0000268	snap_masked-kam_s16-processed-gene-4.49-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-4.49&CDS=1-1392	YJL139C, YKR061W
269	OG0000269	snap_masked-kam_s16-processed-gene-4.69-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-4.69&CDS=1-510	YJL177W, YKL180W
270	OG0000270	snap_masked-kam_s16-processed-gene-5.76-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-5.76&CDS=1-1995, snap_masked-kam_s167-processed-gene-7.38-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.38&CDS=1-837	YDR332W
271	OG0000271	snap_masked-kam_s16-processed-gene-5.100-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-5.100&CDS=1-2400, snap_masked-kam_s27-processed-gene-1.41-mRNA-1_1&gene=snap_masked-kam_s27-processed-gene-1.41&CDS=1-2832	YOR270C
272	OG0000272	snap_masked-kam_s16-processed-gene-5.102-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-5.102&CDS=1-4119	YCR073C, YNR031C
273	OG0000273	snap_masked-kam_s16-processed-gene-6.34-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-6.34&CDS=1-2964	YGL049C, YGR162W
274	OG0000274	snap_masked-kam_s16-processed-gene-6.18-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-6.18&CDS=1-966	YJL133W, YKR052C
275	OG0000275	snap_masked-kam_s16-processed-gene-6.19-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-6.19&CDS=1-1545	YLL012W, YLR020C
276	OG0000276	snap_masked-kam_s16-processed-gene-6.22-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-6.22&CDS=1-1470, snap_masked-kam_s245-processed-gene-1.33-mRNA-1_1&gene=snap_masked-kam_s245-processed-gene-1.33&CDS=1-1362	YHR176W
277	OG0000277	snap_masked-kam_s16-processed-gene-6.43-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-6.43&CDS=1-921	YHR198C, YHR199C
278	OG0000278	snap_masked-kam_s16-processed-gene-7.126-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-7.126&CDS=1-390	YBL002W, YDR224C
279	OG0000279	augustus_masked-kam_s16-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-kam_s16-processed-gene-7.8&CDS=1-1278	YBL003C, YDR225W
280	OG0000280	maker-kam_s16-augustus-gene-7.95-mRNA-1_1&gene=maker-kam_s16-augustus-gene-7.95&CDS=1-2052	YIL114C, YNL055C
281	OG0000281	snap_masked-kam_s16-processed-gene-7.144-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-7.144&CDS=1-2733, snap_masked-kam_s27-processed-gene-1.11-mRNA-1_1&gene=snap_masked-kam_s27-processed-gene-1.11&CDS=1-2538	YHR028C
282	OG0000282	snap_masked-kam_s16-processed-gene-8.14-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-8.14&CDS=1-855	YHR133C, YNL156C
283	OG0000283	snap_masked-kam_s16-processed-gene-8.30-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-8.30&CDS=1-369	YHR132W-A, YNL157W
284	OG0000284	snap_masked-kam_s16-processed-gene-8.34-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-8.34&CDS=1-624, snap_masked-kam_s167-processed-gene-4.19-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.19&CDS=1-609	YBL102W
285	OG0000285	snap_masked-kam_s16-processed-gene-8.20-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-8.20&CDS=1-2625, snap_masked-kam_s24-processed-gene-0.20-mRNA-1_1&gene=snap_masked-kam_s24-processed-gene-0.20&CDS=1-2637	YLR241W
286	OG0000286	snap_masked-kam_s16-processed-gene-16.24-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-16.24&CDS=1-1377, snap_masked-kam_s16-processed-gene-9.120-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-9.120&CDS=1-1347	YBR028C
287	OG0000287	genemark-kam_s47-processed-gene-0.38-mRNA-1_1&gene=genemark-kam_s47-processed-gene-0.38&CDS=1-390, snap_masked-kam_s16-processed-gene-9.127-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-9.127&CDS=1-390	YJL190C
288	OG0000288	snap_masked-kam_s16-processed-gene-9.128-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-9.128&CDS=1-393	YCR031C, YJL191W
289	OG0000289	maker-kam_s16-augustus-gene-9.111-mRNA-1_1&gene=maker-kam_s16-augustus-gene-9.111&CDS=1-1746	YDR358W, YHR108W
290	OG0000290	snap_masked-kam_s16-processed-gene-9.139-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-9.139&CDS=1-1314, snap_masked-kam_s162-processed-gene-3.124-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-3.124&CDS=1-1407	YDR182W
291	OG0000291	snap_masked-kam_s16-processed-gene-9.161-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-9.161&CDS=1-678	YDR185C, YLR168C
292	OG0000292	snap_masked-kam_s16-processed-gene-9.141-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-9.141&CDS=1-588	YDR453C, YML028W
293	OG0000293	augustus_masked-kam_s16-processed-gene-10.86-mRNA-1_1&gene=augustus_masked-kam_s16-processed-gene-10.86&CDS=1-2622	YMR237W, YOR299W
294	OG0000294	snap_masked-kam_s16-processed-gene-10.12-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-10.12&CDS=1-3873	YDR409W, YOR156C
295	OG0000295	snap_masked-kam_s16-processed-gene-10.43-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-10.43&CDS=1-1185	YHR123W, YNL130C
296	OG0000296	snap_masked-kam_s16-processed-gene-10.45-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-10.45&CDS=1-1782	YHR117W, YNL121C
297	OG0000297	genemark-kam_s16-processed-gene-10.155-mRNA-1_1&gene=genemark-kam_s16-processed-gene-10.155&CDS=1-2505	YFR015C, YLR258W
298	OG0000298	maker-kam_s16-snap-gene-11.163-mRNA-1_1&gene=maker-kam_s16-snap-gene-11.163&CDS=1-5154, snap_masked-kam_s18-processed-gene-0.159-mRNA-1_1&gene=snap_masked-kam_s18-processed-gene-0.159&CDS=1-5655	YGR032W
299	OG0000299	snap_masked-kam_s16-processed-gene-11.114-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-11.114&CDS=1-1020	YAL034C, YOR338W
300	OG0000300	augustus_masked-kam_s16-processed-gene-11.34-mRNA-1_1&gene=augustus_masked-kam_s16-processed-gene-11.34&CDS=1-357	YFL034C-A, YLR061W
301	OG0000301	genemark-kam_s16-processed-gene-11.67-mRNA-1_1&gene=genemark-kam_s16-processed-gene-11.67&CDS=1-3153	YML100W, YMR261C
302	OG0000302	snap_masked-kam_s16-processed-gene-11.154-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-11.154&CDS=1-768	YDR066C, YER139C
303	OG0000303	snap_masked-kam_s16-processed-gene-11.138-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-11.138&CDS=1-612	YLR029C, YMR121C
304	OG0000304	snap_masked-kam_s16-processed-gene-12.59-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-12.59&CDS=1-1248, snap_masked-kam_s275-processed-gene-0.36-mRNA-1_1&gene=snap_masked-kam_s275-processed-gene-0.36&CDS=1-1062	YGL247W
305	OG0000305	augustus_masked-kam_s16-processed-gene-12.41-mRNA-1_1&gene=augustus_masked-kam_s16-processed-gene-12.41&CDS=1-2553	YBR172C, YPL105C
306	OG0000306	snap_masked-kam_s16-processed-gene-13.106-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-13.106&CDS=1-762, snap_masked-kam_s245-processed-gene-2.68-mRNA-1_1&gene=snap_masked-kam_s245-processed-gene-2.68&CDS=1-675	YBL064C
307	OG0000307	snap_masked-kam_s16-processed-gene-13.108-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-13.108&CDS=1-990	YKR076W, YMR251W
308	OG0000308	snap_masked-kam_s16-processed-gene-13.149-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-13.149&CDS=1-615, snap_masked-kam_s38-processed-gene-1.19-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-1.19&CDS=1-618	YNR018W
309	OG0000309	snap_masked-kam_s16-processed-gene-14.128-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-14.128&CDS=1-1263, snap_masked-kam_s85-processed-gene-0.44-mRNA-1_1&gene=snap_masked-kam_s85-processed-gene-0.44&CDS=1-1284	YDL131W
310	OG0000310	maker-kam_s16-augustus-gene-15.5-mRNA-1_1&gene=maker-kam_s16-augustus-gene-15.5&CDS=1-2679	YBL098W, YIL022W
311	OG0000311	snap_masked-kam_s16-processed-gene-15.31-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-15.31&CDS=1-1185, snap_masked-kam_s18-processed-gene-0.181-mRNA-1_1&gene=snap_masked-kam_s18-processed-gene-0.181&CDS=1-1104	YBR026C
312	OG0000312	snap_masked-kam_s16-processed-gene-16.21-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-16.21&CDS=1-1368, snap_masked-kam_s167-processed-gene-9.74-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-9.74&CDS=1-1350	YAL040C
313	OG0000313	snap_masked-kam_s16-processed-gene-17.7-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-17.7&CDS=1-1167, snap_masked-kam_s73-processed-gene-0.4-mRNA-1_1&gene=snap_masked-kam_s73-processed-gene-0.4&CDS=1-1239	YGR263C
314	OG0000314	snap_masked-kam_s16-processed-gene-17.38-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-17.38&CDS=1-7599	YBR140C, YOL081W
315	OG0000315	snap_masked-kam_s16-processed-gene-17.28-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-17.28&CDS=1-573	YBL027W, YBR084C-A
316	OG0000316	snap_masked-kam_s16-processed-gene-18.33-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-18.33&CDS=1-1260	YDR132C, YLR108C
317	OG0000317	snap_masked-kam_s16-processed-gene-18.15-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-18.15&CDS=1-2529	YBR033W, YKL038W
318	OG0000318	snap_masked-kam_s16-processed-gene-19.245-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-19.245&CDS=1-1593, snap_masked-kam_s66-processed-gene-0.87-mRNA-1_1&gene=snap_masked-kam_s66-processed-gene-0.87&CDS=1-270	YHR086W
319	OG0000319	snap_masked-kam_s16-processed-gene-19.280-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-19.280&CDS=1-1914	YEL047C, YJR051W
320	OG0000320	genemark-kam_s162-processed-gene-1.113-mRNA-1_1&gene=genemark-kam_s162-processed-gene-1.113&CDS=1-1938	YDR475C, YOR019W
321	OG0000321	snap_masked-kam_s162-processed-gene-1.20-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-1.20&CDS=1-459	YGL031C, YGR148C
322	OG0000322	snap_masked-kam_s162-processed-gene-2.8-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-2.8&CDS=1-978	YDL175C, YIL079C
323	OG0000323	snap_masked-kam_s162-processed-gene-2.35-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-2.35&CDS=1-1707, snap_masked-kam_s245-processed-gene-3.90-mRNA-1_1&gene=snap_masked-kam_s245-processed-gene-3.90&CDS=1-1689	YNR055C
324	OG0000324	genemark-kam_s162-processed-gene-2.118-mRNA-1_1&gene=genemark-kam_s162-processed-gene-2.118&CDS=1-1125	YMR253C, YPL264C
325	OG0000325	snap_masked-kam_s162-processed-gene-2.50-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-2.50&CDS=1-2814	YKR089C, YOR081C
326	OG0000326	snap_masked-kam_s162-processed-gene-3.89-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-3.89&CDS=1-3297	YIR033W, YKL020C
327	OG0000327	snap_masked-kam_s162-processed-gene-3.99-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-3.99&CDS=1-1422	YMR182C, YPL230W
328	OG0000328	snap_masked-kam_s162-processed-gene-4.22-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-4.22&CDS=1-2148	YER066W, YFL009W
329	OG0000329	snap_masked-kam_s162-processed-gene-4.58-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-4.58&CDS=1-654	YML106W, YMR271C
330	OG0000330	snap_masked-kam_s162-processed-gene-4.60-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-4.60&CDS=1-3690	YML109W, YMR273C
331	OG0000331	maker-kam_s162-augustus-gene-4.9-mRNA-1_1&gene=maker-kam_s162-augustus-gene-4.9&CDS=1-1251	YDR348C, YHR097C
332	OG0000332	snap_masked-kam_s162-processed-gene-4.76-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-4.76&CDS=1-1623, snap_masked-kam_s74-processed-gene-1.80-mRNA-1_1&gene=snap_masked-kam_s74-processed-gene-1.80&CDS=1-1827	YGL186C
333	OG0000333	snap_masked-kam_s167-processed-gene-0.38-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-0.38&CDS=1-1674, snap_masked-kam_s17-processed-gene-1.47-mRNA-1_1&gene=snap_masked-kam_s17-processed-gene-1.47&CDS=1-1719	YDR242W
334	OG0000334	snap_masked-kam_s167-processed-gene-0.40-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-0.40&CDS=1-1440	YFL048C, YLR080W
335	OG0000335	genemark-kam_s167-processed-gene-0.11-mRNA-1_1&gene=genemark-kam_s167-processed-gene-0.11&CDS=1-1752, snap_masked-kam_s262-processed-gene-0.85-mRNA-1_1&gene=snap_masked-kam_s262-processed-gene-0.85&CDS=1-1689	YML054C
336	OG0000336	snap_masked-kam_s167-processed-gene-1.16-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.16&CDS=1-1929, snap_masked-kam_s62-processed-gene-1.39-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-1.39&CDS=1-1869	YNL101W
337	OG0000337	snap_masked-kam_s167-processed-gene-1.23-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.23&CDS=1-753, snap_masked-kam_s38-processed-gene-2.77-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-2.77&CDS=1-738	YKL040C
338	OG0000338	snap_masked-kam_s167-processed-gene-2.107-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.107&CDS=1-297	YOR234C, YPL143W
339	OG0000339	snap_masked-kam_s167-processed-gene-2.108-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.108&CDS=1-1263	YOR237W, YPL145C
340	OG0000340	snap_masked-kam_s167-processed-gene-2.134-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.134&CDS=1-1410, snap_masked-kam_s245-processed-gene-3.80-mRNA-1_1&gene=snap_masked-kam_s245-processed-gene-3.80&CDS=1-1461	YGR019W
341	OG0000341	snap_masked-kam_s167-processed-gene-2.139-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.139&CDS=1-2058, snap_masked-kam_s271-processed-gene-1.14-mRNA-1_1&gene=snap_masked-kam_s271-processed-gene-1.14&CDS=1-1230	YOR049C
342	OG0000342	snap_masked-kam_s167-processed-gene-2.140-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.140&CDS=1-1929	YER059W, YIL050W
343	OG0000343	snap_masked-kam_s167-processed-gene-2.143-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.143&CDS=1-1167, snap_masked-kam_s19-processed-gene-1.135-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-1.135&CDS=1-501	YGL058W
344	OG0000344	maker-kam_s62-augustus-gene-3.3-mRNA-1_1&gene=maker-kam_s62-augustus-gene-3.3&CDS=1-4047, snap_masked-kam_s167-processed-gene-2.150-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.150&CDS=1-1326	YDL020C
345	OG0000345	snap_masked-kam_s167-processed-gene-2.128-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.128&CDS=1-3237, snap_masked-kam_s6-processed-gene-9.82-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-9.82&CDS=1-2079	YGL179C
346	OG0000346	snap_masked-kam_s167-processed-gene-3.9-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.9&CDS=1-2790, snap_masked-kam_s3-processed-gene-1.21-mRNA-1_1&gene=snap_masked-kam_s3-processed-gene-1.21&CDS=1-2187	YDL095W
347	OG0000347	snap_masked-kam_s167-processed-gene-3.11-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.11&CDS=1-3495	YJR127C, YML081W
348	OG0000348	augustus_masked-kam_s24-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-kam_s24-processed-gene-1.77&CDS=1-432, snap_masked-kam_s167-processed-gene-3.35-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.35&CDS=1-870	YER118C
349	OG0000349	snap_masked-kam_s167-processed-gene-3.23-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.23&CDS=1-651	YGL135W, YPL220W
350	OG0000350	maker-kam_s167-augustus-gene-4.1-mRNA-1_1&gene=maker-kam_s167-augustus-gene-4.1&CDS=1-1827	YNL293W, YOL112W
351	OG0000351	snap_masked-kam_s167-processed-gene-4.22-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.22&CDS=1-1035	YEL006W, YIL006W
352	OG0000352	snap_masked-kam_s167-processed-gene-4.52-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.52&CDS=1-2439	YFL004W, YPL019C
353	OG0000353	snap_masked-kam_s167-processed-gene-5.14-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.14&CDS=1-2370	YMR119W, YNL008C
354	OG0000354	snap_masked-kam_s167-processed-gene-5.32-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.32&CDS=1-360	YGR243W, YHR162W
355	OG0000355	snap_masked-kam_s167-processed-gene-7.31-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.31&CDS=1-1515	YMR199W, YPL256C
356	OG0000356	snap_masked-kam_s167-processed-gene-7.40-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.40&CDS=1-768, snap_masked-kam_s245-processed-gene-2.89-mRNA-1_1&gene=snap_masked-kam_s245-processed-gene-2.89&CDS=1-768	YLR441C
357	OG0000357	snap_masked-kam_s167-processed-gene-7.43-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.43&CDS=1-1200	YLR449W, YML074C
358	OG0000358	snap_masked-kam_s167-processed-gene-8.26-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-8.26&CDS=1-1518	YKL133C, YMR115W
359	OG0000359	snap_masked-kam_s167-processed-gene-9.60-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-9.60&CDS=1-2079, snap_masked-kam_s212-processed-gene-0.3-mRNA-1_1&gene=snap_masked-kam_s212-processed-gene-0.3&CDS=1-2406	YBL011W
360	OG0000360	snap_masked-kam_s167-processed-gene-9.79-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-9.79&CDS=1-1263	YHR001W, YKR003W
361	OG0000361	snap_masked-kam_s167-processed-gene-10.94-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-10.94&CDS=1-894, snap_masked-kam_s27-processed-gene-1.20-mRNA-1_1&gene=snap_masked-kam_s27-processed-gene-1.20&CDS=1-2580	YOR032C
362	OG0000362	genemark-kam_s167-processed-gene-10.55-mRNA-1_1&gene=genemark-kam_s167-processed-gene-10.55&CDS=1-942	YCL050C, YDR530C
363	OG0000363	augustus_masked-kam_s167-processed-gene-10.33-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-10.33&CDS=1-1149, snap_masked-kam_s6-processed-gene-1.101-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-1.101&CDS=1-831	YGR189C
364	OG0000364	genemark-kam_s168-processed-gene-0.13-mRNA-1_1&gene=genemark-kam_s168-processed-gene-0.13&CDS=1-390	YHL001W, YKL006W
365	OG0000365	snap_masked-kam_s17-processed-gene-0.68-mRNA-1_1&gene=snap_masked-kam_s17-processed-gene-0.68&CDS=1-543	YDL137W, YDL192W
366	OG0000366	genemark-kam_s17-processed-gene-0.2-mRNA-1_1&gene=genemark-kam_s17-processed-gene-0.2&CDS=1-360	YDL136W, YDL191W
367	OG0000367	snap_masked-kam_s17-processed-gene-0.89-mRNA-1_1&gene=snap_masked-kam_s17-processed-gene-0.89&CDS=1-930	YGR136W, YPR154W
368	OG0000368	snap_masked-kam_s17-processed-gene-0.74-mRNA-1_1&gene=snap_masked-kam_s17-processed-gene-0.74&CDS=1-489, snap_masked-kam_s265-processed-gene-0.165-mRNA-1_1&gene=snap_masked-kam_s265-processed-gene-0.165&CDS=1-750	YBL021C
369	OG0000369	snap_masked-kam_s17-processed-gene-0.81-mRNA-1_1&gene=snap_masked-kam_s17-processed-gene-0.81&CDS=1-2439	YBR294W, YLR092W
370	OG0000370	snap_masked-kam_s17-processed-gene-0.92-mRNA-1_1&gene=snap_masked-kam_s17-processed-gene-0.92&CDS=1-1563	YJL137C, YKR058W
371	OG0000371	maker-kam_s17-augustus-gene-0.65-mRNA-1_1&gene=maker-kam_s17-augustus-gene-0.65&CDS=1-261	YJL136C, YKR057W
372	OG0000372	maker-kam_s17-snap-gene-0.60-mRNA-1_1&gene=maker-kam_s17-snap-gene-0.60&CDS=1-1476	YJL134W, YKR053C
373	OG0000373	augustus_masked-kam_s17-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-kam_s17-processed-gene-1.115&CDS=1-3729	YJL076W, YKR010C
374	OG0000374	snap_masked-kam_s17-processed-gene-2.9-mRNA-1_1&gene=snap_masked-kam_s17-processed-gene-2.9&CDS=1-1473, snap_masked-kam_s19-processed-gene-2.14-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-2.14&CDS=1-1509	YBR006W
375	OG0000375	snap_masked-kam_s17-processed-gene-2.37-mRNA-1_1&gene=snap_masked-kam_s17-processed-gene-2.37&CDS=1-2184	YJR059W, YKL198C
376	OG0000376	snap_masked-kam_s17-processed-gene-2.12-mRNA-1_1&gene=snap_masked-kam_s17-processed-gene-2.12&CDS=1-3345	YCR067C, YNR026C
377	OG0000377	augustus_masked-kam_s245-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-kam_s245-processed-gene-1.121&CDS=1-2034, snap_masked-kam_s17-processed-gene-2.19-mRNA-1_1&gene=snap_masked-kam_s17-processed-gene-2.19&CDS=1-195	YBR255W
378	OG0000378	snap_masked-kam_s170-processed-gene-0.10-mRNA-1_1&gene=snap_masked-kam_s170-processed-gene-0.10&CDS=1-1521	YBR214W, YGL056C
379	OG0000379	snap_masked-kam_s172-processed-gene-0.36-mRNA-1_1&gene=snap_masked-kam_s172-processed-gene-0.36&CDS=1-3576	YHR155W, YNL257C
