	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034990_Candida_corydali
513	OG0000513	YOR237W, YPL145C	snap_masked-flattened_line_17-processed-gene-2.71-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.71&CDS=1-1632
514	OG0000514	YOR256C, YPL176C	maker-flattened_line_27-augustus-gene-0.103-mRNA-1_1&gene=maker-flattened_line_27-augustus-gene-0.103&CDS=1-3399
515	OG0000515	YOR283W	snap_masked-flattened_line_0-processed-gene-4.43-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.43&CDS=1-666, snap_masked-flattened_line_0-processed-gene-6.118-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.118&CDS=1-666
516	OG0000516	YPL067C	genemark-flattened_line_0-processed-gene-2.56-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.56&CDS=1-747, genemark-flattened_line_0-processed-gene-9.140-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.140&CDS=1-747
517	OG0000517	YPL098C	snap_masked-flattened_line_0-processed-gene-4.45-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.45&CDS=1-312, snap_masked-flattened_line_0-processed-gene-6.116-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.116&CDS=1-312
518	OG0000518	YPL103C	snap_masked-flattened_line_0-processed-gene-4.27-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.27&CDS=1-1293, snap_masked-flattened_line_0-processed-gene-6.132-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.132&CDS=1-1293
519	OG0000519	YPL104W	snap_masked-flattened_line_0-processed-gene-1.16-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.16&CDS=1-1893, snap_masked-flattened_line_0-processed-gene-9.54-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.54&CDS=1-1893
520	OG0000520	YPL207W	genemark-flattened_line_0-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.128&CDS=1-1953, genemark-flattened_line_0-processed-gene-10.41-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.41&CDS=1-2028
521	OG0000521	YPL218W	genemark-flattened_line_0-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.127&CDS=1-570, genemark-flattened_line_0-processed-gene-10.42-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.42&CDS=1-570
522	OG0000522	YPR013C, YPR015C	snap_masked-flattened_line_39-processed-gene-1.110-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-1.110&CDS=1-1467
523	OG0000523	YPR056W	snap_masked-flattened_line_0-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.57&CDS=1-996, snap_masked-flattened_line_0-processed-gene-10.139-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.139&CDS=1-996
524	OG0000524	YPR062W	snap_masked-flattened_line_0-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.61&CDS=1-516, snap_masked-flattened_line_0-processed-gene-10.135-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.135&CDS=1-516
525	OG0000525	YPR063C	snap_masked-flattened_line_0-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.82&CDS=1-321, snap_masked-flattened_line_0-processed-gene-10.107-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.107&CDS=1-321
526	OG0000526	YPR094W	snap_masked-flattened_line_0-processed-gene-3.93-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.93&CDS=1-330, snap_masked-flattened_line_0-processed-gene-8.4-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.4&CDS=1-330
527	OG0000527	YPR103W	maker-flattened_line_0-snap-gene-3.106-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-3.106&CDS=1-4782, maker-flattened_line_0-snap-gene-8.140-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-8.140&CDS=1-4782
528	OG0000528	YPR169W-A, YPR170W-B	snap_masked-flattened_line_21-processed-gene-2.138-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-2.138&CDS=1-252
529	OG0000529	Q0050, Q0055	maker-flattened_line_65-snap-gene-0.20-mRNA-1_1&gene=maker-flattened_line_65-snap-gene-0.20&CDS=1-804
530	OG0000530	YAL001C	snap_masked-flattened_line_23-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.94&CDS=1-3990
531	OG0000531	YAL002W	genemark-flattened_line_11-processed-gene-1.32-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-1.32&CDS=1-3699
532	OG0000532	YAL003W	maker-flattened_line_23-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_23-snap-gene-0.0&CDS=1-651
533	OG0000533	YAL008W	genemark-flattened_line_31-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-0.10&CDS=1-540
534	OG0000534	YAL009W	snap_masked-flattened_line_17-processed-gene-2.51-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.51&CDS=1-1437
535	OG0000535	YAL010C	snap_masked-flattened_line_17-processed-gene-3.45-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-3.45&CDS=1-1230
536	OG0000536	YAL012W	snap_masked-flattened_line_47-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.97&CDS=1-1197
537	OG0000537	YAL013W	snap_masked-flattened_line_17-processed-gene-2.69-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.69&CDS=1-1863
538	OG0000538	YAL014C	snap_masked-flattened_line_47-processed-gene-0.130-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.130&CDS=1-735
539	OG0000539	YAL016W	snap_masked-flattened_line_13-processed-gene-3.70-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.70&CDS=1-1875
540	OG0000540	YAL019W	genemark-flattened_line_47-processed-gene-0.221-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.221&CDS=1-3681
541	OG0000541	YAL020C	snap_masked-flattened_line_47-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.95&CDS=1-1068
542	OG0000542	YAL021C	snap_masked-flattened_line_7-processed-gene-6.81-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-6.81&CDS=1-2328
543	OG0000543	YAL022C	genemark-flattened_line_27-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.3&CDS=1-1296
544	OG0000544	YAL023C	snap_masked-flattened_line_13-processed-gene-3.30-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.30&CDS=1-2676
545	OG0000545	YAL026C	maker-flattened_line_45-augustus-gene-0.266-mRNA-1_1&gene=maker-flattened_line_45-augustus-gene-0.266&CDS=1-4986
546	OG0000546	YAL032C	snap_masked-flattened_line_37-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.54&CDS=1-657
547	OG0000547	YAL034W-A	augustus_masked-flattened_line_41-processed-gene-1.172-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.172&CDS=1-936
548	OG0000548	YAL035W	snap_masked-flattened_line_21-processed-gene-2.123-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-2.123&CDS=1-3015
549	OG0000549	YAL036C	snap_masked-flattened_line_21-processed-gene-2.120-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-2.120&CDS=1-1101
550	OG0000550	YAL038W	snap_masked-flattened_line_7-processed-gene-1.43-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.43&CDS=1-1512
551	OG0000551	YAL039C	snap_masked-flattened_line_15-processed-gene-2.118-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.118&CDS=1-780
552	OG0000552	YAL041W	augustus_masked-flattened_line_15-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-2.80&CDS=1-3324
553	OG0000553	YAL042W	snap_masked-flattened_line_15-processed-gene-2.103-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.103&CDS=1-1239
554	OG0000554	YAL043C	genemark-flattened_line_9-processed-gene-1.106-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-1.106&CDS=1-2163
555	OG0000555	YAL044W-A	snap_masked-flattened_line_21-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.82&CDS=1-321
556	OG0000556	YAL046C	snap_masked-flattened_line_11-processed-gene-4.107-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.107&CDS=1-294
557	OG0000557	YAL048C	augustus_masked-flattened_line_41-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-0.21&CDS=1-8178
558	OG0000558	YAL049C	snap_masked-flattened_line_1-processed-gene-5.51-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.51&CDS=1-726
559	OG0000559	YAL053W	snap_masked-flattened_line_3-processed-gene-7.46-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-7.46&CDS=1-2265
560	OG0000560	YAL054C	snap_masked-flattened_line_51-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.102&CDS=1-2004
561	OG0000561	YAL059W	genemark-flattened_line_23-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.5&CDS=1-564
562	OG0000562	YAL067C	maker-flattened_line_19-snap-gene-2.83-mRNA-1_1&gene=maker-flattened_line_19-snap-gene-2.83&CDS=1-3504
563	OG0000563	YAR002W	snap_masked-flattened_line_53-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.51&CDS=1-1086
564	OG0000564	YAR003W	snap_masked-flattened_line_11-processed-gene-1.53-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-1.53&CDS=1-1344
565	OG0000565	YAR007C	maker-flattened_line_7-augustus-gene-5.153-mRNA-1_1&gene=maker-flattened_line_7-augustus-gene-5.153&CDS=1-3042
566	OG0000566	YAR008W	snap_masked-flattened_line_17-processed-gene-2.60-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.60&CDS=1-753
567	OG0000567	YAR014C	snap_masked-flattened_line_5-processed-gene-3.88-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-3.88&CDS=1-1788
568	OG0000568	YAR015W	snap_masked-flattened_line_1-processed-gene-3.48-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.48&CDS=1-891
569	OG0000569	YAR018C	snap_masked-flattened_line_1-processed-gene-3.24-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.24&CDS=1-1302
570	OG0000570	YAR042W	snap_masked-flattened_line_5-processed-gene-5.65-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.65&CDS=1-3735
571	OG0000571	YBL001C	snap_masked-flattened_line_13-processed-gene-2.89-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.89&CDS=1-348
572	OG0000572	YBL004W	snap_masked-flattened_line_11-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.29&CDS=1-7302
573	OG0000573	YBL010C	snap_masked-flattened_line_7-processed-gene-3.8-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.8&CDS=1-795
574	OG0000574	YBL011W	augustus_masked-flattened_line_7-processed-gene-4.141-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-4.141&CDS=1-2208
575	OG0000575	YBL013W	genemark-flattened_line_27-processed-gene-1.183-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.183&CDS=1-1062
576	OG0000576	YBL014C	snap_masked-flattened_line_27-processed-gene-1.284-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.284&CDS=1-2157
577	OG0000577	YBL015W	snap_masked-flattened_line_15-processed-gene-3.143-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-3.143&CDS=1-1575
578	OG0000578	YBL019W	genemark-flattened_line_5-processed-gene-4.5-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-4.5&CDS=1-1404
579	OG0000579	YBL020W	genemark-flattened_line_3-processed-gene-7.71-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-7.71&CDS=1-1659
580	OG0000580	YBL021C	snap_masked-flattened_line_3-processed-gene-7.11-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-7.11&CDS=1-762
581	OG0000581	YBL022C	snap_masked-flattened_line_3-processed-gene-6.105-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.105&CDS=1-3060
582	OG0000582	YBL023C	snap_masked-flattened_line_19-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.40&CDS=1-3471
583	OG0000583	YBL024W	maker-flattened_line_3-augustus-gene-7.1-mRNA-1_1&gene=maker-flattened_line_3-augustus-gene-7.1&CDS=1-3432
584	OG0000584	YBL025W	snap_masked-flattened_line_3-processed-gene-6.82-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.82&CDS=1-537
585	OG0000585	YBL026W	snap_masked-flattened_line_3-processed-gene-7.12-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-7.12&CDS=1-1524
586	OG0000586	YBL029C-A	maker-flattened_line_25-snap-gene-1.90-mRNA-1_1&gene=maker-flattened_line_25-snap-gene-1.90&CDS=1-315
587	OG0000587	YBL029W	snap_masked-flattened_line_5-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.56&CDS=1-1152
588	OG0000588	YBL032W	snap_masked-flattened_line_37-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.83&CDS=1-1110
589	OG0000589	YBL033C	snap_masked-flattened_line_3-processed-gene-3.84-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.84&CDS=1-1215
590	OG0000590	YBL034C	snap_masked-flattened_line_7-processed-gene-3.23-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.23&CDS=1-3681
591	OG0000591	YBL036C	snap_masked-flattened_line_7-processed-gene-2.99-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.99&CDS=1-711
592	OG0000592	YBL037W	snap_masked-flattened_line_7-processed-gene-2.128-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.128&CDS=1-2883
593	OG0000593	YBL039C	snap_masked-flattened_line_43-processed-gene-0.122-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.122&CDS=1-1719
594	OG0000594	YBL040C	snap_masked-flattened_line_1-processed-gene-4.19-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-4.19&CDS=1-639
595	OG0000595	YBL041W	snap_masked-flattened_line_1-processed-gene-4.42-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-4.42&CDS=1-729
596	OG0000596	YBL045C	snap_masked-flattened_line_43-processed-gene-0.131-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.131&CDS=1-1344
597	OG0000597	YBL047C	snap_masked-flattened_line_31-processed-gene-1.217-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.217&CDS=1-3798
598	OG0000598	YBL049W	snap_masked-flattened_line_1-processed-gene-3.3-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.3&CDS=1-756
599	OG0000599	YBL050W	snap_masked-flattened_line_3-processed-gene-3.77-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.77&CDS=1-879
600	OG0000600	YBL051C	snap_masked-flattened_line_3-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-0.95&CDS=1-1389
601	OG0000601	YBL052C	snap_masked-flattened_line_3-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-0.74&CDS=1-1650
602	OG0000602	YBL055C	genemark-flattened_line_3-processed-gene-0.138-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-0.138&CDS=1-927
603	OG0000603	YBL057C	maker-flattened_line_3-augustus-gene-0.50-mRNA-1_1&gene=maker-flattened_line_3-augustus-gene-0.50&CDS=1-990
604	OG0000604	YBL058W	genemark-flattened_line_3-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-0.103&CDS=1-984
605	OG0000605	YBL059C-A	snap_masked-flattened_line_9-processed-gene-1.6-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-1.6&CDS=1-291
606	OG0000606	YBL060W	snap_masked-flattened_line_9-processed-gene-1.21-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-1.21&CDS=1-2535
607	OG0000607	YBL061C	genemark-flattened_line_13-processed-gene-3.147-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-3.147&CDS=1-1914
608	OG0000608	YBL064C	snap_masked-flattened_line_11-processed-gene-4.108-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.108&CDS=1-666
609	OG0000609	YBL066C	augustus_masked-flattened_line_3-processed-gene-1.161-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.161&CDS=1-2673
610	OG0000610	YBL071W-A	snap_masked-flattened_line_17-processed-gene-3.43-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-3.43&CDS=1-204
611	OG0000611	YBL076C	snap_masked-flattened_line_55-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.65&CDS=1-3252
612	OG0000612	YBL078C	maker-flattened_line_29-snap-gene-0.156-mRNA-1_1&gene=maker-flattened_line_29-snap-gene-0.156&CDS=1-405
613	OG0000613	YBL079W	snap_masked-flattened_line_29-processed-gene-1.85-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.85&CDS=1-4209
614	OG0000614	YBL082C	snap_masked-flattened_line_55-processed-gene-0.75-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.75&CDS=1-1353
615	OG0000615	YBL086C	snap_masked-flattened_line_11-processed-gene-4.96-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.96&CDS=1-1368
616	OG0000616	YBL088C	genemark-flattened_line_37-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.118&CDS=1-9081
617	OG0000617	YBL090W	snap_masked-flattened_line_3-processed-gene-6.60-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.60&CDS=1-528
618	OG0000618	YBL092W	augustus_masked-flattened_line_23-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.147&CDS=1-402
619	OG0000619	YBL095W	snap_masked-flattened_line_7-processed-gene-2.136-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.136&CDS=1-675
620	OG0000620	YBL097W	augustus_masked-flattened_line_53-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.149&CDS=1-2082
621	OG0000621	YBL102W	snap_masked-flattened_line_31-processed-gene-1.205-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.205&CDS=1-624
622	OG0000622	YBL103C	snap_masked-flattened_line_31-processed-gene-1.240-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.240&CDS=1-1551
623	OG0000623	YBL104C	snap_masked-flattened_line_9-processed-gene-5.153-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.153&CDS=1-4605
624	OG0000624	YBL107C	snap_masked-flattened_line_37-processed-gene-1.125-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-1.125&CDS=1-498
625	OG0000625	YBR002C	snap_masked-flattened_line_43-processed-gene-0.139-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.139&CDS=1-876
626	OG0000626	YBR003W	snap_masked-flattened_line_3-processed-gene-3.58-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.58&CDS=1-1422
627	OG0000627	YBR006W	snap_masked-flattened_line_13-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-0.63&CDS=1-1527
628	OG0000628	YBR007C	augustus_masked-flattened_line_5-processed-gene-6.179-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-6.179&CDS=1-1281
629	OG0000629	YBR011C	snap_masked-flattened_line_39-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-0.14&CDS=1-861
630	OG0000630	YBR017C	snap_masked-flattened_line_5-processed-gene-3.87-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-3.87&CDS=1-2793
631	OG0000631	YBR018C	snap_masked-flattened_line_25-processed-gene-1.122-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.122&CDS=1-1140
632	OG0000632	YBR019C	genemark-flattened_line_25-processed-gene-1.236-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-1.236&CDS=1-2493
633	OG0000633	YBR023C	snap_masked-flattened_line_21-processed-gene-1.35-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.35&CDS=1-3588
634	OG0000634	YBR025C	snap_masked-flattened_line_29-processed-gene-1.158-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.158&CDS=1-1188
635	OG0000635	YBR028C	genemark-flattened_line_5-processed-gene-6.66-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-6.66&CDS=1-1278
636	OG0000636	YBR029C	snap_masked-flattened_line_15-processed-gene-1.33-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.33&CDS=1-1296
637	OG0000637	YBR030W	genemark-flattened_line_5-processed-gene-2.109-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-2.109&CDS=1-1722
638	OG0000638	YBR034C	augustus_masked-flattened_line_41-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.153&CDS=1-1254
639	OG0000639	YBR035C	snap_masked-flattened_line_3-processed-gene-6.73-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.73&CDS=1-714
640	OG0000640	YBR037C	augustus_masked-flattened_line_33-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.55&CDS=1-885
641	OG0000641	YBR038W	snap_masked-flattened_line_9-processed-gene-1.38-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-1.38&CDS=1-3135
642	OG0000642	YBR039W	maker-flattened_line_3-snap-gene-4.103-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-4.103&CDS=1-1221
643	OG0000643	YBR046C	snap_masked-flattened_line_41-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.48&CDS=1-1008
644	OG0000644	YBR053C	snap_masked-flattened_line_23-processed-gene-1.106-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-1.106&CDS=1-969
645	OG0000645	YBR055C	snap_masked-flattened_line_5-processed-gene-1.66-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.66&CDS=1-2568
646	OG0000646	YBR056W	snap_masked-flattened_line_5-processed-gene-2.78-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-2.78&CDS=1-1479
647	OG0000647	YBR057C	maker-flattened_line_35-snap-gene-0.44-mRNA-1_1&gene=maker-flattened_line_35-snap-gene-0.44&CDS=1-642
648	OG0000648	YBR058C	snap_masked-flattened_line_7-processed-gene-6.59-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-6.59&CDS=1-2343
649	OG0000649	YBR060C	snap_masked-flattened_line_51-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.95&CDS=1-1659
650	OG0000650	YBR061C	snap_masked-flattened_line_45-processed-gene-0.194-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-0.194&CDS=1-846
651	OG0000651	YBR070C	genemark-flattened_line_51-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.4&CDS=1-4854
652	OG0000652	YBR073W	maker-flattened_line_51-snap-gene-0.164-mRNA-1_1&gene=maker-flattened_line_51-snap-gene-0.164&CDS=1-2217
653	OG0000653	YBR074W	snap_masked-flattened_line_51-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.126&CDS=1-2385
654	OG0000654	YBR079C	snap_masked-flattened_line_5-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.60&CDS=1-2673
655	OG0000655	YBR080C	snap_masked-flattened_line_5-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.55&CDS=1-2379
656	OG0000656	YBR081C	maker-flattened_line_33-augustus-gene-0.45-mRNA-1_1&gene=maker-flattened_line_33-augustus-gene-0.45&CDS=1-6558
657	OG0000657	YBR083W	snap_masked-flattened_line_9-processed-gene-5.151-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.151&CDS=1-1116
658	OG0000658	YBR084W	augustus_masked-flattened_line_3-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-0.25&CDS=1-2907
659	OG0000659	YBR085W	snap_masked-flattened_line_15-processed-gene-2.98-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.98&CDS=1-903
660	OG0000660	YBR086C	snap_masked-flattened_line_7-processed-gene-2.125-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.125&CDS=1-2595
661	OG0000661	YBR087W	augustus_masked-flattened_line_17-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-0.124&CDS=1-3858
662	OG0000662	YBR088C	snap_masked-flattened_line_27-processed-gene-1.249-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.249&CDS=1-777
663	OG0000663	YBR094W	snap_masked-flattened_line_27-processed-gene-1.207-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.207&CDS=1-2001
664	OG0000664	YBR095C	snap_masked-flattened_line_27-processed-gene-1.205-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.205&CDS=1-993
665	OG0000665	YBR096W	snap_masked-flattened_line_7-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.23&CDS=1-708
666	OG0000666	YBR098W	snap_masked-flattened_line_1-processed-gene-1.54-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-1.54&CDS=1-1590
667	OG0000667	YBR101C	snap_masked-flattened_line_1-processed-gene-1.69-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-1.69&CDS=1-858
668	OG0000668	YBR106W	snap_masked-flattened_line_33-processed-gene-1.252-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-1.252&CDS=1-576
669	OG0000669	YBR109C	genemark-flattened_line_53-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_53-processed-gene-0.110&CDS=1-447
670	OG0000670	YBR110W	snap_masked-flattened_line_1-processed-gene-7.115-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-7.115&CDS=1-1281
671	OG0000671	YBR111C	snap_masked-flattened_line_13-processed-gene-3.72-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.72&CDS=1-636
672	OG0000672	YBR111W-A	maker-flattened_line_13-snap-gene-3.269-mRNA-1_1&gene=maker-flattened_line_13-snap-gene-3.269&CDS=1-885
