	OrthologID	Saccharomyces_cerevisiae	yHAB164_Kazachstania_aerobia
1011	OG0001011	YDR150W	augustus_masked-scf7180000020227-processed-gene-2.203-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-2.203&CDS=1-10734
1012	OG0001012	YDR152W	augustus_masked-scf7180000020227-processed-gene-2.202-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-2.202&CDS=1-846
1013	OG0001013	YDR153C	genemark-scf7180000020227-processed-gene-2.99-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.99&CDS=1-1281
1014	OG0001014	YDR155C	genemark-scf7180000020227-processed-gene-2.129-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.129&CDS=1-486
1015	OG0001015	YDR156W	genemark-scf7180000020227-processed-gene-2.92-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.92&CDS=1-408
1016	OG0001016	YDR158W	genemark-scf7180000020227-processed-gene-2.93-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.93&CDS=1-1095
1017	OG0001017	YDR159W	genemark-scf7180000020227-processed-gene-2.94-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.94&CDS=1-7311
1018	OG0001018	YDR162C	genemark-scf7180000020227-processed-gene-2.130-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.130&CDS=1-843
1019	OG0001019	YDR163W	genemark-scf7180000020227-processed-gene-2.95-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.95&CDS=1-477
1020	OG0001020	YDR164C	genemark-scf7180000020227-processed-gene-2.131-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.131&CDS=1-2136
1021	OG0001021	YDR165W	genemark-scf7180000020227-processed-gene-2.96-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.96&CDS=1-1212
1022	OG0001022	YDR166C	genemark-scf7180000020227-processed-gene-2.132-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.132&CDS=1-3108
1023	OG0001023	YDR167W	genemark-scf7180000020227-processed-gene-2.97-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.97&CDS=1-627
1024	OG0001024	YDR168W	genemark-scf7180000020227-processed-gene-2.98-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.98&CDS=1-1509
1025	OG0001025	YDR169C	snap_masked-scf7180000020227-processed-gene-2.13-mRNA-1_1&gene=snap_masked-scf7180000020227-processed-gene-2.13&CDS=1-1272
1026	OG0001026	YDR170C	augustus_masked-scf7180000020227-processed-gene-2.161-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-2.161&CDS=1-5652
1027	OG0001027	YDR171W	genemark-scf7180000020227-processed-gene-2.127-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.127&CDS=1-1119
1028	OG0001028	YDR172W	genemark-scf7180000020227-processed-gene-2.126-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.126&CDS=1-2052
1029	OG0001029	YDR173C	genemark-scf7180000020227-processed-gene-2.88-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.88&CDS=1-1071
1030	OG0001030	YDR174W	genemark-scf7180000020227-processed-gene-2.125-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.125&CDS=1-756
1031	OG0001031	YDR175C	genemark-scf7180000020227-processed-gene-2.87-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.87&CDS=1-951
1032	OG0001032	YDR176W	genemark-scf7180000020227-processed-gene-2.124-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.124&CDS=1-2556
1033	OG0001033	YDR177W	genemark-scf7180000020227-processed-gene-2.123-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.123&CDS=1-639
1034	OG0001034	YDR178W	genemark-scf7180000020227-processed-gene-2.122-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.122&CDS=1-531
1035	OG0001035	YDR179C	snap_masked-scf7180000020227-processed-gene-2.7-mRNA-1_1&gene=snap_masked-scf7180000020227-processed-gene-2.7&CDS=1-486
1036	OG0001036	YDR179W-A	snap_masked-scf7180000020227-processed-gene-2.46-mRNA-1_1&gene=snap_masked-scf7180000020227-processed-gene-2.46&CDS=1-471
1037	OG0001037	YDR180W	snap_masked-scf7180000020227-processed-gene-2.43-mRNA-1_1&gene=snap_masked-scf7180000020227-processed-gene-2.43&CDS=1-2145
1038	OG0001038	YDR181C	augustus_masked-scf7180000020227-processed-gene-2.158-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-2.158&CDS=1-1272
1039	OG0001039	YDR182W	augustus_masked-scf7180000020227-processed-gene-2.190-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-2.190&CDS=1-2034
1040	OG0001040	YDR184C	snap_masked-scf7180000020227-processed-gene-2.5-mRNA-1_1&gene=snap_masked-scf7180000020227-processed-gene-2.5&CDS=1-1152
1041	OG0001041	YDR188W	genemark-scf7180000020193-processed-gene-0.160-mRNA-1_1&gene=genemark-scf7180000020193-processed-gene-0.160&CDS=1-1596
1042	OG0001042	YDR189W	genemark-scf7180000020193-processed-gene-0.159-mRNA-1_1&gene=genemark-scf7180000020193-processed-gene-0.159&CDS=1-1923
1043	OG0001043	YDR190C	genemark-scf7180000020193-processed-gene-0.120-mRNA-1_1&gene=genemark-scf7180000020193-processed-gene-0.120&CDS=1-1395
1044	OG0001044	YDR191W	genemark-scf7180000020227-processed-gene-2.83-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.83&CDS=1-1221
1045	OG0001045	YDR194C	maker-scf7180000020227-augustus-gene-2.145-mRNA-1_1&gene=maker-scf7180000020227-augustus-gene-2.145&CDS=1-2640
1046	OG0001046	YDR195W	genemark-scf7180000020227-processed-gene-2.82-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-2.82&CDS=1-1875
1047	OG0001047	YDR196C	genemark-scf7180000020227-processed-gene-1.70-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.70&CDS=1-717
1048	OG0001048	YDR197W	augustus_masked-scf7180000020227-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.42&CDS=1-975
1049	OG0001049	YDR198C	maker-scf7180000020227-augustus-gene-1.43-mRNA-1_1&gene=maker-scf7180000020227-augustus-gene-1.43&CDS=1-1365
1050	OG0001050	YDR200C	genemark-scf7180000020227-processed-gene-1.67-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.67&CDS=1-2049
1051	OG0001051	YDR201W	augustus_masked-scf7180000020227-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.41&CDS=1-474
1052	OG0001052	YDR204W	genemark-scf7180000020227-processed-gene-1.89-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.89&CDS=1-1026
1053	OG0001053	YDR205W	genemark-scf7180000020227-processed-gene-1.88-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.88&CDS=1-2211
1054	OG0001054	YDR207C	augustus_masked-scf7180000020227-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.17&CDS=1-3300
1055	OG0001055	YDR208W	augustus_masked-scf7180000020227-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.37&CDS=1-2073
1056	OG0001056	YDR211W	augustus_masked-scf7180000020227-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.35&CDS=1-2193
1057	OG0001057	YDR212W	genemark-scf7180000020227-processed-gene-1.83-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.83&CDS=1-1677
1058	OG0001058	YDR216W	genemark-scf7180000020227-processed-gene-1.81-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.81&CDS=1-3867
1059	OG0001059	YDR217C	augustus_masked-scf7180000020227-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.16&CDS=1-3609
1060	OG0001060	YDR221W	augustus_masked-scf7180000020227-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.30&CDS=1-2019
1061	OG0001061	YDR226W	genemark-scf7180000020227-processed-gene-1.77-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.77&CDS=1-666
1062	OG0001062	YDR227W	augustus_masked-scf7180000020227-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.26&CDS=1-4251
1063	OG0001063	YDR228C	genemark-scf7180000020227-processed-gene-1.60-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.60&CDS=1-1995
1064	OG0001064	YDR229W	snap_masked-scf7180000020227-processed-gene-1.119-mRNA-1_1&gene=snap_masked-scf7180000020227-processed-gene-1.119&CDS=1-1500
1065	OG0001065	YDR231C	genemark-scf7180000020227-processed-gene-1.58-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.58&CDS=1-627
1066	OG0001066	YDR232W	genemark-scf7180000020227-processed-gene-1.74-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.74&CDS=1-1605
1067	OG0001067	YDR233C	genemark-scf7180000020227-processed-gene-1.57-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.57&CDS=1-813
1068	OG0001068	YDR234W	maker-scf7180000020227-augustus-gene-1.44-mRNA-1_1&gene=maker-scf7180000020227-augustus-gene-1.44&CDS=1-2082
1069	OG0001069	YDR235W	genemark-scf7180000020227-processed-gene-1.72-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.72&CDS=1-1662
1070	OG0001070	YDR236C	snap_masked-scf7180000020227-processed-gene-1.98-mRNA-1_1&gene=snap_masked-scf7180000020227-processed-gene-1.98&CDS=1-615
1071	OG0001071	YDR237W	genemark-scf7180000020227-processed-gene-1.71-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.71&CDS=1-909
1072	OG0001072	YDR238C	genemark-scf7180000020227-processed-gene-1.55-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.55&CDS=1-2925
1073	OG0001073	YDR239C	augustus_masked-scf7180000020227-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.5&CDS=1-2613
1074	OG0001074	YDR240C	augustus_masked-scf7180000020227-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.4&CDS=1-1404
1075	OG0001075	YDR244W	genemark-scf7180000020227-processed-gene-1.54-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.54&CDS=1-1866
1076	OG0001076	YDR245W	genemark-scf7180000020227-processed-gene-0.87-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.87&CDS=1-1131
1077	OG0001077	YDR246W	genemark-scf7180000020227-processed-gene-0.86-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.86&CDS=1-753
1078	OG0001078	YDR248C	genemark-scf7180000020227-processed-gene-0.65-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.65&CDS=1-567
1079	OG0001079	YDR249C	augustus_masked-scf7180000020227-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-0.20&CDS=1-1812
1080	OG0001080	YDR253C	genemark-scf7180000020227-processed-gene-0.63-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.63&CDS=1-624
1081	OG0001081	YDR254W	augustus_masked-scf7180000020227-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-0.38&CDS=1-1140
1082	OG0001082	YDR255C	genemark-scf7180000020227-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.62&CDS=1-1311
1083	OG0001083	YDR256C	genemark-scf7180000020227-processed-gene-0.61-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.61&CDS=1-1539
1084	OG0001084	YDR257C	genemark-scf7180000020120-processed-gene-0.8-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.8&CDS=1-1524
1085	OG0001085	YDR258C	genemark-scf7180000020120-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.7&CDS=1-2247
1086	OG0001086	YDR260C	snap_masked-scf7180000020120-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scf7180000020120-processed-gene-0.45&CDS=1-564
1087	OG0001087	YDR261C	genemark-scf7180000020163-processed-gene-1.74-mRNA-1_1&gene=genemark-scf7180000020163-processed-gene-1.74&CDS=1-1728
1088	OG0001088	YDR264C	genemark-scf7180000020120-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.4&CDS=1-2319
1089	OG0001089	YDR265W	genemark-scf7180000020120-processed-gene-0.27-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.27&CDS=1-975
1090	OG0001090	YDR266C	maker-scf7180000020163-augustus-gene-1.60-mRNA-1_1&gene=maker-scf7180000020163-augustus-gene-1.60&CDS=1-1875
1091	OG0001091	YDR267C	genemark-scf7180000020120-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.3&CDS=1-1041
1092	OG0001092	YDR268W	genemark-scf7180000020120-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.26&CDS=1-1080
1093	OG0001093	YDR270W	genemark-scf7180000020120-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.25&CDS=1-2790
1094	OG0001094	YDR272W	genemark-scf7180000020163-processed-gene-1.98-mRNA-1_1&gene=genemark-scf7180000020163-processed-gene-1.98&CDS=1-819
1095	OG0001095	YDR279W	snap_masked-scf7180000020140-processed-gene-0.50-mRNA-1_1&gene=snap_masked-scf7180000020140-processed-gene-0.50&CDS=1-1008
1096	OG0001096	YDR280W	genemark-scf7180000020178-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.40&CDS=1-921
1097	OG0001097	YDR284C	genemark-scf7180000020140-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000020140-processed-gene-0.31&CDS=1-903
1098	OG0001098	YDR285W	snap_masked-scf7180000020140-processed-gene-0.64-mRNA-1_1&gene=snap_masked-scf7180000020140-processed-gene-0.64&CDS=1-2616
1099	OG0001099	YDR286C	genemark-scf7180000020140-processed-gene-0.30-mRNA-1_1&gene=genemark-scf7180000020140-processed-gene-0.30&CDS=1-363
1100	OG0001100	YDR287W	genemark-scf7180000020140-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000020140-processed-gene-0.43&CDS=1-885
1101	OG0001101	YDR288W	genemark-scf7180000020140-processed-gene-0.42-mRNA-1_1&gene=genemark-scf7180000020140-processed-gene-0.42&CDS=1-909
1102	OG0001102	YDR289C	augustus_masked-scf7180000020178-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scf7180000020178-processed-gene-0.89&CDS=1-1170
1103	OG0001103	YDR291W	genemark-scf7180000020178-processed-gene-0.47-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.47&CDS=1-3192
1104	OG0001104	YDR292C	genemark-scf7180000020178-processed-gene-0.59-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.59&CDS=1-1839
1105	OG0001105	YDR293C	genemark-scf7180000020210-processed-gene-0.54-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.54&CDS=1-4008
1106	OG0001106	YDR294C	augustus_masked-scf7180000020210-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scf7180000020210-processed-gene-0.97&CDS=1-1719
1107	OG0001107	YDR295C	snap_masked-scf7180000020210-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scf7180000020210-processed-gene-0.17&CDS=1-2298
1108	OG0001108	YDR296W	genemark-scf7180000020210-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.40&CDS=1-582
1109	OG0001109	YDR297W	genemark-scf7180000020178-processed-gene-0.45-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.45&CDS=1-1029
1110	OG0001110	YDR298C	genemark-scf7180000020210-processed-gene-0.57-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.57&CDS=1-390
1111	OG0001111	YDR299W	genemark-scf7180000020210-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.41&CDS=1-1644
1112	OG0001112	YDR300C	genemark-scf7180000020210-processed-gene-0.58-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.58&CDS=1-1278
1113	OG0001113	YDR301W	maker-scf7180000020210-snap-gene-0.75-mRNA-1_1&gene=maker-scf7180000020210-snap-gene-0.75&CDS=1-4122
1114	OG0001114	YDR302W	genemark-scf7180000020210-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.43&CDS=1-654
1115	OG0001115	YDR303C	genemark-scf7180000020210-processed-gene-0.59-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.59&CDS=1-2559
1116	OG0001116	YDR304C	genemark-scf7180000020178-processed-gene-0.56-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.56&CDS=1-648
1117	OG0001117	YDR306C	genemark-scf7180000020178-processed-gene-0.57-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.57&CDS=1-1863
1118	OG0001118	YDR307W	snap_masked-scf7180000020192-processed-gene-0.178-mRNA-1_1&gene=snap_masked-scf7180000020192-processed-gene-0.178&CDS=1-1974
1119	OG0001119	YDR308C	genemark-scf7180000020192-processed-gene-0.83-mRNA-1_1&gene=genemark-scf7180000020192-processed-gene-0.83&CDS=1-597
1120	OG0001120	YDR309C	snap_masked-scf7180000020210-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scf7180000020210-processed-gene-0.21&CDS=1-1182
1121	OG0001121	YDR310C	augustus_masked-scf7180000020155-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000020155-processed-gene-0.24&CDS=1-3081
1122	OG0001122	YDR311W	genemark-scf7180000020210-processed-gene-0.46-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.46&CDS=1-1839
1123	OG0001123	YDR314C	augustus_masked-scf7180000020155-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000020155-processed-gene-0.25&CDS=1-2040
1124	OG0001124	YDR315C	snap_masked-scf7180000020155-processed-gene-0.65-mRNA-1_1&gene=snap_masked-scf7180000020155-processed-gene-0.65&CDS=1-183
1125	OG0001125	YDR316W	genemark-scf7180000020155-processed-gene-0.94-mRNA-1_1&gene=genemark-scf7180000020155-processed-gene-0.94&CDS=1-1290
1126	OG0001126	YDR318W	genemark-scf7180000020219-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.5&CDS=1-1290
1127	OG0001127	YDR320C	augustus_masked-scf7180000020219-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-scf7180000020219-processed-gene-0.117&CDS=1-2091
1128	OG0001128	YDR321W	augustus_masked-scf7180000020219-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-scf7180000020219-processed-gene-0.96&CDS=1-1080
1129	OG0001129	YDR322W	genemark-scf7180000020219-processed-gene-0.8-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.8&CDS=1-1083
1130	OG0001130	YDR324C	genemark-scf7180000020219-processed-gene-0.30-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.30&CDS=1-4278
1131	OG0001131	YDR325W	genemark-scf7180000020219-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.9&CDS=1-3108
1132	OG0001132	YDR328C	augustus_masked-scf7180000020219-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-scf7180000020219-processed-gene-0.121&CDS=1-561
1133	OG0001133	YDR329C	augustus_masked-scf7180000020219-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-scf7180000020219-processed-gene-0.122&CDS=1-1146
1134	OG0001134	YDR330W	genemark-scf7180000020219-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.10&CDS=1-1545
1135	OG0001135	YDR331W	augustus_masked-scf7180000020219-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-scf7180000020219-processed-gene-0.100&CDS=1-1236
1136	OG0001136	YDR332W	genemark-scf7180000020219-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.12&CDS=1-2154
1137	OG0001137	YDR333C	genemark-scf7180000020219-processed-gene-0.33-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.33&CDS=1-2163
1138	OG0001138	YDR334W	augustus_masked-scf7180000020219-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-scf7180000020219-processed-gene-0.104&CDS=1-4515
1139	OG0001139	YDR335W	genemark-scf7180000020210-processed-gene-1.6-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-1.6&CDS=1-3633
1140	OG0001140	YDR336W	augustus_masked-scf7180000020219-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-scf7180000020219-processed-gene-0.105&CDS=1-990
1141	OG0001141	YDR337W	genemark-scf7180000020219-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.16&CDS=1-867
1142	OG0001142	YDR338C	genemark-scf7180000020219-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.34&CDS=1-2181
1143	OG0001143	YDR339C	genemark-scf7180000020219-processed-gene-0.35-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.35&CDS=1-567
1144	OG0001144	YDR341C	genemark-scf7180000020219-processed-gene-0.36-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.36&CDS=1-1821
1145	OG0001145	YDR346C	genemark-scf7180000020217-processed-gene-0.45-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.45&CDS=1-1401
1146	OG0001146	YDR347W	genemark-scf7180000020217-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.9&CDS=1-975
1147	OG0001147	YDR349C	genemark-scf7180000020217-processed-gene-0.47-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.47&CDS=1-1842
1148	OG0001148	YDR350C	augustus_masked-scf7180000020217-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.173&CDS=1-2151
1149	OG0001149	YDR354W	genemark-scf7180000020217-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.15&CDS=1-1182
1150	OG0001150	YDR356W	snap_masked-scf7180000020217-processed-gene-0.78-mRNA-1_1&gene=snap_masked-scf7180000020217-processed-gene-0.78&CDS=1-3048
1151	OG0001151	YDR357C	genemark-scf7180000020217-processed-gene-0.49-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.49&CDS=1-357
1152	OG0001152	YDR359C	genemark-scf7180000020217-processed-gene-0.50-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.50&CDS=1-3510
1153	OG0001153	YDR361C	genemark-scf7180000020217-processed-gene-0.51-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.51&CDS=1-855
1154	OG0001154	YDR362C	genemark-scf7180000020217-processed-gene-0.52-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.52&CDS=1-2259
1155	OG0001155	YDR363W	genemark-scf7180000020217-processed-gene-0.19-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.19&CDS=1-1368
1156	OG0001156	YDR363W-A	augustus_masked-scf7180000020217-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.146&CDS=1-249
1157	OG0001157	YDR364C	genemark-scf7180000020217-processed-gene-0.53-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.53&CDS=1-1374
1158	OG0001158	YDR365C	genemark-scf7180000020217-processed-gene-0.54-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.54&CDS=1-1893
1159	OG0001159	YDR367W	genemark-scf7180000020217-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.22&CDS=1-603
1160	OG0001160	YDR369C	augustus_masked-scf7180000020217-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.181&CDS=1-2496
1161	OG0001161	YDR370C	augustus_masked-scf7180000020217-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.182&CDS=1-1110
1162	OG0001162	YDR371W	genemark-scf7180000020217-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.25&CDS=1-1368
1163	OG0001163	YDR372C	genemark-scf7180000020210-processed-gene-1.33-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-1.33&CDS=1-1038
1164	OG0001164	YDR374C	genemark-scf7180000020217-processed-gene-0.57-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.57&CDS=1-1101
1165	OG0001165	YDR375C	genemark-scf7180000020210-processed-gene-1.36-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-1.36&CDS=1-1449
1166	OG0001166	YDR376W	augustus_masked-scf7180000020217-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.153&CDS=1-1398
1167	OG0001167	YDR378C	augustus_masked-scf7180000020217-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.184&CDS=1-249
1168	OG0001168	YDR379C-A	augustus_masked-scf7180000020217-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.185&CDS=1-234
1169	OG0001169	YDR380W	augustus_masked-scf7180000020217-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.155&CDS=1-1905
1170	OG0001170	YDR381C-A	augustus_masked-scf7180000020217-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.186&CDS=1-384
1171	OG0001171	YDR381W	maker-scf7180000020217-augustus-gene-0.1-mRNA-1_1&gene=maker-scf7180000020217-augustus-gene-0.1&CDS=1-738
1172	OG0001172	YDR382W	genemark-scf7180000020217-processed-gene-0.32-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.32&CDS=1-330
1173	OG0001173	YDR383C	augustus_masked-scf7180000020217-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.188&CDS=1-741
1174	OG0001174	YDR384C	genemark-scf7180000020217-processed-gene-0.61-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.61&CDS=1-804
1175	OG0001175	YDR386W	genemark-scf7180000020217-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.34&CDS=1-1821
1176	OG0001176	YDR387C	genemark-scf7180000020207-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000020207-processed-gene-0.31&CDS=1-1671
1177	OG0001177	YDR388W	augustus_masked-scf7180000020207-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000020207-processed-gene-0.42&CDS=1-1455
1178	OG0001178	YDR389W	snap_masked-scf7180000020207-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000020207-processed-gene-0.6&CDS=1-1956
1179	OG0001179	YDR390C	genemark-scf7180000020207-processed-gene-0.32-mRNA-1_1&gene=genemark-scf7180000020207-processed-gene-0.32&CDS=1-1866
1180	OG0001180	YDR391C	genemark-scf7180000020230-processed-gene-0.160-mRNA-1_1&gene=genemark-scf7180000020230-processed-gene-0.160&CDS=1-870
1181	OG0001181	YDR392W	genemark-scf7180000020184-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000020184-processed-gene-0.7&CDS=1-1062
