	OrthologID	Metschnikowia_kipukae	Saccharomyces_cerevisiae
174	OG0000174	snap_masked-kipT_s24-processed-gene-5.64-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-5.64&CDS=1-2217, snap_masked-kipT_s25-processed-gene-1.41-mRNA-1_1&gene=snap_masked-kipT_s25-processed-gene-1.41&CDS=1-2076, snap_masked-kipT_s8-processed-gene-15.88-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-15.88&CDS=1-2166	YER015W
175	OG0000175	snap_masked-kipT_s24-processed-gene-5.70-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-5.70&CDS=1-933, snap_masked-kipT_s38-processed-gene-1.114-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-1.114&CDS=1-900, snap_masked-kipT_s8-processed-gene-20.77-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-20.77&CDS=1-912	YDL124W
176	OG0000176	snap_masked-kipT_s24-processed-gene-6.86-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-6.86&CDS=1-2070, snap_masked-kipT_s8-processed-gene-20.71-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-20.71&CDS=1-2580	YBL011W, YKR067W
177	OG0000177	snap_masked-kipT_s24-processed-gene-6.124-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-6.124&CDS=1-5502, snap_masked-kipT_s63-processed-gene-0.81-mRNA-1_1&gene=snap_masked-kipT_s63-processed-gene-0.81&CDS=1-4644	YHR023W, YOR326W
178	OG0000178	maker-kipT_s25-snap-gene-1.2-mRNA-1_1&gene=maker-kipT_s25-snap-gene-1.2&CDS=1-2226, snap_masked-kipT_s42-processed-gene-2.148-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-2.148&CDS=1-3237	YHL007C, YNL298W
179	OG0000179	augustus_masked-kipT_s25-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-kipT_s25-processed-gene-2.1&CDS=1-1377, snap_masked-kipT_s8-processed-gene-5.43-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.43&CDS=1-675	YBL095W, YER182W
180	OG0000180	snap_masked-kipT_s27-processed-gene-0.13-mRNA-1_1&gene=snap_masked-kipT_s27-processed-gene-0.13&CDS=1-1068	YCR102C, YLR460C, YNL134C
181	OG0000181	maker-kipT_s42-augustus-gene-0.0-mRNA-1_1&gene=maker-kipT_s42-augustus-gene-0.0&CDS=1-5367, snap_masked-kipT_s3-processed-gene-0.186-mRNA-1_1&gene=snap_masked-kipT_s3-processed-gene-0.186&CDS=1-4884	YAL026C, YMR162C
182	OG0000182	snap_masked-kipT_s36-processed-gene-0.49-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-0.49&CDS=1-807, snap_masked-kipT_s36-processed-gene-0.50-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-0.50&CDS=1-924	YCL036W, YDR514C
183	OG0000183	genemark-kipT_s36-processed-gene-0.103-mRNA-1_1&gene=genemark-kipT_s36-processed-gene-0.103&CDS=1-450	YBR067C, YIL011W, YOR010C
184	OG0000184	augustus_masked-kipT_s8-processed-gene-20.6-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-20.6&CDS=1-2325, genemark-kipT_s36-processed-gene-1.103-mRNA-1_1&gene=genemark-kipT_s36-processed-gene-1.103&CDS=1-2904	YAL023C, YGR199W
185	OG0000185	genemark-kipT_s63-processed-gene-1.43-mRNA-1_1&gene=genemark-kipT_s63-processed-gene-1.43&CDS=1-2592, snap_masked-kipT_s36-processed-gene-2.56-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-2.56&CDS=1-1227	YGR159C, YPL190C
186	OG0000186	augustus_masked-kipT_s8-processed-gene-8.8-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-8.8&CDS=1-2619, snap_masked-kipT_s38-processed-gene-0.93-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-0.93&CDS=1-720	YNL148C, YPL174C
187	OG0000187	snap_masked-kipT_s38-processed-gene-1.98-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-1.98&CDS=1-1284, snap_masked-kipT_s62-processed-gene-5.179-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-5.179&CDS=1-2322	YER047C, YPR173C
188	OG0000188	augustus_masked-kipT_s38-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-kipT_s38-processed-gene-1.56&CDS=1-1785, snap_masked-kipT_s38-processed-gene-5.26-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-5.26&CDS=1-1437	YKL221W, YNL125C
189	OG0000189	genemark-kipT_s8-processed-gene-9.2-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-9.2&CDS=1-1329, snap_masked-kipT_s38-processed-gene-2.44-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-2.44&CDS=1-1218	YOR334W, YPL060W
190	OG0000190	snap_masked-kipT_s38-processed-gene-4.97-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-4.97&CDS=1-2133, snap_masked-kipT_s38-processed-gene-5.31-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-5.31&CDS=1-2103	YJR005W, YKL135C
191	OG0000191	maker-kipT_s42-augustus-gene-2.8-mRNA-1_1&gene=maker-kipT_s42-augustus-gene-2.8&CDS=1-1731, snap_masked-kipT_s38-processed-gene-4.77-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-4.77&CDS=1-1182	YGL038C, YJR075W
192	OG0000192	maker-kipT_s58-snap-gene-3.0-mRNA-1_1&gene=maker-kipT_s58-snap-gene-3.0&CDS=1-1983, snap_masked-kipT_s38-processed-gene-5.9-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-5.9&CDS=1-2034	YDR172W, YKR084C
193	OG0000193	snap_masked-kipT_s38-processed-gene-5.62-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-5.62&CDS=1-2424, snap_masked-kipT_s8-processed-gene-4.92-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.92&CDS=1-2067	YKR001C, YLL001W
194	OG0000194	snap_masked-kipT_s38-processed-gene-5.83-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-5.83&CDS=1-1731, snap_masked-kipT_s63-processed-gene-2.98-mRNA-1_1&gene=snap_masked-kipT_s63-processed-gene-2.98&CDS=1-2709	YDR160W, YPL265W
195	OG0000195	snap_masked-kipT_s42-processed-gene-0.49-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-0.49&CDS=1-1788, snap_masked-kipT_s8-processed-gene-1.61-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.61&CDS=1-1656	YBR212W, YHR086W
196	OG0000196	snap_masked-kipT_s42-processed-gene-0.58-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-0.58&CDS=1-1674, snap_masked-kipT_s62-processed-gene-5.119-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-5.119&CDS=1-2457	YFR037C, YJL176C
197	OG0000197	genemark-kipT_s62-processed-gene-2.38-mRNA-1_1&gene=genemark-kipT_s62-processed-gene-2.38&CDS=1-1017, snap_masked-kipT_s42-processed-gene-0.86-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-0.86&CDS=1-1287	YHL028W, YOR008C
198	OG0000198	augustus_masked-kipT_s8-processed-gene-9.62-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-9.62&CDS=1-12288, snap_masked-kipT_s42-processed-gene-1.31-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-1.31&CDS=1-5652	YLR342W, YNR016C
199	OG0000199	snap_masked-kipT_s42-processed-gene-2.165-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-2.165&CDS=1-1119, snap_masked-kipT_s8-processed-gene-11.71-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.71&CDS=1-687, snap_masked-kipT_s8-processed-gene-13.69-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.69&CDS=1-1389	YDR207C
200	OG0000200	maker-kipT_s8-augustus-gene-12.155-mRNA-1_1&gene=maker-kipT_s8-augustus-gene-12.155&CDS=1-4938, snap_masked-kipT_s42-processed-gene-2.173-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-2.173&CDS=1-2556	YHR028C, YOR206W
201	OG0000201	maker-kipT_s53-snap-gene-0.3-mRNA-1_1&gene=maker-kipT_s53-snap-gene-0.3&CDS=1-237	Q0045, Q0065, Q0070
202	OG0000202	snap_masked-kipT_s55-processed-gene-0.13-mRNA-1_1&gene=snap_masked-kipT_s55-processed-gene-0.13&CDS=1-1353, snap_masked-kipT_s8-processed-gene-3.47-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.47&CDS=1-3090	YOL087C, YOR272W
203	OG0000203	genemark-kipT_s62-processed-gene-5.104-mRNA-1_1&gene=genemark-kipT_s62-processed-gene-5.104&CDS=1-1602, snap_masked-kipT_s58-processed-gene-1.76-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-1.76&CDS=1-1527	YER048C, YIR004W
204	OG0000204	snap_masked-kipT_s58-processed-gene-2.99-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-2.99&CDS=1-3249	YDR038C, YDR039C, YDR040C
205	OG0000205	augustus_masked-kipT_s58-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-kipT_s58-processed-gene-2.87&CDS=1-5595, snap_masked-kipT_s58-processed-gene-2.115-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-2.115&CDS=1-5472	YGR184C, YLR024C
206	OG0000206	snap_masked-kipT_s58-processed-gene-3.141-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-3.141&CDS=1-1386, snap_masked-kipT_s8-processed-gene-0.115-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-0.115&CDS=1-1128	YFL039C, YPR034W
207	OG0000207	snap_masked-kipT_s58-processed-gene-3.156-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-3.156&CDS=1-1896, snap_masked-kipT_s8-processed-gene-14.45-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-14.45&CDS=1-1722	YDR194C, YMR290C
208	OG0000208	genemark-kipT_s8-processed-gene-3.126-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-3.126&CDS=1-2964, snap_masked-kipT_s62-processed-gene-0.80-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-0.80&CDS=1-1242	YGR263C, YJR002W
209	OG0000209	maker-kipT_s64-augustus-gene-0.27-mRNA-1_1&gene=maker-kipT_s64-augustus-gene-0.27&CDS=1-2580, snap_masked-kipT_s62-processed-gene-1.72-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-1.72&CDS=1-939	YFR004W, YHL024W
210	OG0000210	augustus_masked-kipT_s62-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-kipT_s62-processed-gene-2.41&CDS=1-1779, genemark-kipT_s8-processed-gene-15.38-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-15.38&CDS=1-6714	YGL158W, YLR248W
211	OG0000211	augustus_masked-kipT_s62-processed-gene-5.245-mRNA-1_1&gene=augustus_masked-kipT_s62-processed-gene-5.245&CDS=1-789, snap_masked-kipT_s8-processed-gene-0.108-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-0.108&CDS=1-858	YIR013C, YLR013W
212	OG0000212	maker-kipT_s8-augustus-gene-1.101-mRNA-1_1&gene=maker-kipT_s8-augustus-gene-1.101&CDS=1-2946, snap_masked-kipT_s63-processed-gene-0.69-mRNA-1_1&gene=snap_masked-kipT_s63-processed-gene-0.69&CDS=1-2505	YBR073W, YGL163C
213	OG0000213	snap_masked-kipT_s63-processed-gene-2.99-mRNA-1_1&gene=snap_masked-kipT_s63-processed-gene-2.99&CDS=1-1044, snap_masked-kipT_s8-processed-gene-14.52-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-14.52&CDS=1-1044	YMR303C, YOL086C
214	OG0000214	augustus_masked-kipT_s7-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-kipT_s7-processed-gene-0.3&CDS=1-414, snap_masked-kipT_s8-processed-gene-0.91-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-0.91&CDS=1-1908	YEL047C, YJR051W
215	OG0000215	snap_masked-kipT_s8-processed-gene-2.63-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.63&CDS=1-1437, snap_masked-kipT_s8-processed-gene-2.90-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.90&CDS=1-1365	YDR463W, YHR006W
216	OG0000216	snap_masked-kipT_s8-processed-gene-11.98-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.98&CDS=1-2469, snap_masked-kipT_s8-processed-gene-18.27-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-18.27&CDS=1-2307	YDL126C, YLR397C
217	OG0000217	genemark-kipT_s8-processed-gene-11.56-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-11.56&CDS=1-996	YGR192C, YJL052W, YJR009C
218	OG0000218		YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
219	OG0000219		YKL222C, YLR266C, YOR162C, YOR172W
220	OG0000220	genemark-kipT_C3411-processed-gene-0.0-mRNA-1_1&gene=genemark-kipT_C3411-processed-gene-0.0&CDS=1-471	YHR203C, YJR145C
221	OG0000221	augustus_masked-kipT_C3417-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-kipT_C3417-processed-gene-0.1&CDS=1-501	YHL033C, YLL045C
222	OG0000222	augustus_masked-kipT_C3559-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-kipT_C3559-processed-gene-0.1&CDS=1-1125	YBR118W, YPR080W
223	OG0000223	snap_masked-kipT_s11-processed-gene-0.48-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-0.48&CDS=1-813	YMR222C, YOR280C
224	OG0000224	snap_masked-kipT_s11-processed-gene-0.73-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-0.73&CDS=1-1494	YIL113W, YNL053W
225	OG0000225	snap_masked-kipT_s11-processed-gene-0.56-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-0.56&CDS=1-759	YER062C, YIL053W
226	OG0000226	snap_masked-kipT_s11-processed-gene-1.41-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-1.41&CDS=1-3042	YJR091C, YPR042C
227	OG0000227	snap_masked-kipT_s11-processed-gene-1.43-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-1.43&CDS=1-321	YJR094W-A, YPR043W
228	OG0000228	snap_masked-kipT_s11-processed-gene-2.71-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-2.71&CDS=1-1218	YHL003C, YKL008C
229	OG0000229	snap_masked-kipT_s11-processed-gene-2.75-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-2.75&CDS=1-924, snap_masked-kipT_s8-processed-gene-13.72-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.72&CDS=1-933	YDL236W
230	OG0000230	snap_masked-kipT_s11-processed-gene-3.101-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-3.101&CDS=1-3300	YDR379W, YOR127W
231	OG0000231	snap_masked-kipT_s11-processed-gene-3.106-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-3.106&CDS=1-357	YER131W, YGL189C
232	OG0000232	snap_masked-kipT_s11-processed-gene-3.79-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-3.79&CDS=1-1314, snap_masked-kipT_s8-processed-gene-6.70-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.70&CDS=1-1263	YDL131W
233	OG0000233	augustus_masked-kipT_s11-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-kipT_s11-processed-gene-3.21&CDS=1-2274, snap_masked-kipT_s2-processed-gene-9.25-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.25&CDS=1-1404	YML046W
234	OG0000234	snap_masked-kipT_s11-processed-gene-3.116-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-3.116&CDS=1-507	YKL141W, YMR118C
235	OG0000235	snap_masked-kipT_s13-processed-gene-0.58-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-0.58&CDS=1-723	YGL076C, YPL198W
236	OG0000236	genemark-kipT_s13-processed-gene-1.105-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-1.105&CDS=1-1854	YER054C, YIL045W
237	OG0000237	maker-kipT_s13-snap-gene-1.84-mRNA-1_1&gene=maker-kipT_s13-snap-gene-1.84&CDS=1-414	YER057C, YIL051C
238	OG0000238	snap_masked-kipT_s13-processed-gene-1.62-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-1.62&CDS=1-786	YER037W, YGL224C
239	OG0000239	snap_masked-kipT_s13-processed-gene-1.63-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-1.63&CDS=1-339	YER056C-A, YIL052C
240	OG0000240	snap_masked-kipT_s13-processed-gene-2.62-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-2.62&CDS=1-1353	YAL062W, YOR375C
241	OG0000241	augustus_masked-kipT_s13-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-2.108&CDS=1-1953	YCR026C, YEL016C
242	OG0000242	snap_masked-kipT_s13-processed-gene-2.89-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-2.89&CDS=1-1749	YBR021W, YIR028W
243	OG0000243	genemark-kipT_s13-processed-gene-2.24-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-2.24&CDS=1-2115, snap_masked-kipT_s62-processed-gene-1.89-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-1.89&CDS=1-2343	YPR003C
244	OG0000244	genemark-kipT_s13-processed-gene-3.125-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-3.125&CDS=1-2046	YBR181C, YPL090C
245	OG0000245	snap_masked-kipT_s13-processed-gene-3.80-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.80&CDS=1-2247	YBL067C, YER098W
246	OG0000246	augustus_masked-kipT_s13-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-3.16&CDS=1-858	YDR272W, YOR040W
247	OG0000247	snap_masked-kipT_s13-processed-gene-3.87-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.87&CDS=1-1668	YER064C, YIL056W
248	OG0000248	snap_masked-kipT_s13-processed-gene-3.69-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.69&CDS=1-2088	YBR001C, YDR001C
249	OG0000249	augustus_masked-kipT_s13-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-4.56&CDS=1-2892	YJL105W, YKR029C
250	OG0000250	snap_masked-kipT_s13-processed-gene-4.124-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.124&CDS=1-2574	YJL082W, YKR018C
251	OG0000251	snap_masked-kipT_s13-processed-gene-4.127-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.127&CDS=1-1083	YBR031W, YDR012W
252	OG0000252	snap_masked-kipT_s13-processed-gene-4.141-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.141&CDS=1-447	YIL111W, YNL052W
253	OG0000253	snap_masked-kipT_s13-processed-gene-4.123-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.123&CDS=1-1428	YLR260W, YOR171C
254	OG0000254	snap_masked-kipT_s13-processed-gene-5.46-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.46&CDS=1-3222	YBL101C, YPR030W
255	OG0000255	snap_masked-kipT_s13-processed-gene-5.56-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.56&CDS=1-1182	YDL088C, YMR153W
256	OG0000256	snap_masked-kipT_s13-processed-gene-5.61-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.61&CDS=1-1551, snap_masked-kipT_s58-processed-gene-3.209-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-3.209&CDS=1-1446	YMR155W
257	OG0000257	snap_masked-kipT_s13-processed-gene-5.81-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.81&CDS=1-1941, snap_masked-kipT_s38-processed-gene-5.80-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-5.80&CDS=1-1929	YJR045C
258	OG0000258	genemark-kipT_s13-processed-gene-5.28-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-5.28&CDS=1-1959	YKL126W, YMR104C
259	OG0000259	snap_masked-kipT_s13-processed-gene-6.34-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.34&CDS=1-1767	YJR130C, YML082W
260	OG0000260	snap_masked-kipT_s13-processed-gene-6.35-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.35&CDS=1-3075	YLR450W, YML075C
261	OG0000261	snap_masked-kipT_s13-processed-gene-7.124-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.124&CDS=1-1176	YMR243C, YOR316C
262	OG0000262	snap_masked-kipT_s13-processed-gene-7.97-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.97&CDS=1-369	YMR230W, YOR293W
263	OG0000263	snap_masked-kipT_s19-processed-gene-0.3-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.3&CDS=1-1176, snap_masked-kipT_s8-processed-gene-13.64-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.64&CDS=1-1716	YEL046C
264	OG0000264	snap_masked-kipT_s19-processed-gene-0.4-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.4&CDS=1-1695	YGR138C, YPR156C
265	OG0000265	snap_masked-kipT_s19-processed-gene-0.6-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.6&CDS=1-2454	YDR351W, YHR103W
266	OG0000266	genemark-kipT_s19-processed-gene-0.83-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-0.83&CDS=1-834	YPR013C, YPR015C
267	OG0000267	genemark-kipT_s19-processed-gene-0.110-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-0.110&CDS=1-2868	YJL084C, YKR021W
268	OG0000268	snap_masked-kipT_s19-processed-gene-1.59-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.59&CDS=1-3378, snap_masked-kipT_s3-processed-gene-0.152-mRNA-1_1&gene=snap_masked-kipT_s3-processed-gene-0.152&CDS=1-3555	YDR270W
269	OG0000269	snap_masked-kipT_s19-processed-gene-1.90-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.90&CDS=1-1338	YCL011C, YNL004W
270	OG0000270	snap_masked-kipT_s19-processed-gene-2.56-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.56&CDS=1-1011	YBR161W, YPL057C
271	OG0000271	maker-kipT_s19-snap-gene-2.49-mRNA-1_1&gene=maker-kipT_s19-snap-gene-2.49&CDS=1-2037	YEL039C, YJR048W
272	OG0000272	snap_masked-kipT_s19-processed-gene-2.96-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.96&CDS=1-990	YCR073W-A, YNR034W
273	OG0000273	snap_masked-kipT_s19-processed-gene-3.104-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.104&CDS=1-1698, snap_masked-kipT_s8-processed-gene-17.87-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-17.87&CDS=1-1737	YKR093W
274	OG0000274	snap_masked-kipT_s19-processed-gene-3.108-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.108&CDS=1-1623	YHL017W, YKL039W
275	OG0000275	snap_masked-kipT_s19-processed-gene-3.98-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.98&CDS=1-1443	YDL161W, YLR206W
276	OG0000276	maker-kipT_s62-snap-gene-4.48-mRNA-1_1&gene=maker-kipT_s62-snap-gene-4.48&CDS=1-1185, snap_masked-kipT_s19-processed-gene-3.99-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.99&CDS=1-1008	YMR305C
277	OG0000277	snap_masked-kipT_s19-processed-gene-4.39-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.39&CDS=1-2643, snap_masked-kipT_s8-processed-gene-11.97-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.97&CDS=1-2637	YLR241W
278	OG0000278	maker-kipT_s19-augustus-gene-5.92-mRNA-1_1&gene=maker-kipT_s19-augustus-gene-5.92&CDS=1-201	YLR264W, YOR167C
279	OG0000279	snap_masked-kipT_s19-processed-gene-5.68-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.68&CDS=1-435	YDR450W, YML026C
280	OG0000280	snap_masked-kipT_s19-processed-gene-6.91-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.91&CDS=1-1233	YLR300W, YOR190W
281	OG0000281	snap_masked-kipT_s19-processed-gene-6.62-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.62&CDS=1-1689, snap_masked-kipT_s25-processed-gene-1.49-mRNA-1_1&gene=snap_masked-kipT_s25-processed-gene-1.49&CDS=1-1755	YNR055C
282	OG0000282	snap_masked-kipT_s19-processed-gene-6.92-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.92&CDS=1-588	YDL082W, YMR142C
283	OG0000283	snap_masked-kipT_s19-processed-gene-6.64-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.64&CDS=1-426	YDL083C, YMR143W
284	OG0000284	snap_masked-kipT_s19-processed-gene-6.73-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.73&CDS=1-1470, snap_masked-kipT_s24-processed-gene-1.157-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-1.157&CDS=1-1410	YGR019W
285	OG0000285	snap_masked-kipT_s19-processed-gene-6.97-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.97&CDS=1-1134, snap_masked-kipT_s22-processed-gene-3.46-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-3.46&CDS=1-1110	YDL022W
286	OG0000286	snap_masked-kipT_s19-processed-gene-6.98-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.98&CDS=1-852	YDR253C, YPL038W
287	OG0000287	snap_masked-kipT_s19-processed-gene-6.80-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.80&CDS=1-483	YBR244W, YIR037W
288	OG0000288	snap_masked-kipT_s19-processed-gene-6.83-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.83&CDS=1-768, snap_masked-kipT_s24-processed-gene-6.65-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-6.65&CDS=1-768	YLR441C
289	OG0000289	snap_masked-kipT_s19-processed-gene-6.101-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.101&CDS=1-675, snap_masked-kipT_s8-processed-gene-7.89-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.89&CDS=1-762	YBL064C
290	OG0000290	snap_masked-kipT_s19-processed-gene-7.46-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.46&CDS=1-1155	YIL135C, YNL074C
291	OG0000291	snap_masked-kipT_s19-processed-gene-7.51-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.51&CDS=1-1713	YIL085C, YNL029C
292	OG0000292	snap_masked-kipT_s19-processed-gene-7.54-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.54&CDS=1-1092	YER027C, YGL208W
