	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034625_Pichia_kudriavzevii
614	OG0000614	YBR115C	genemark-scf7180000023344-processed-gene-0.58-mRNA-1_1&gene=genemark-scf7180000023344-processed-gene-0.58&CDS=1-4170
615	OG0000615	YBR120C	genemark-scf7180000023365-processed-gene-1.158-mRNA-1_1&gene=genemark-scf7180000023365-processed-gene-1.158&CDS=1-474
616	OG0000616	YBR121C	maker-scf7180000022358-augustus-gene-0.74-mRNA-1_1&gene=maker-scf7180000022358-augustus-gene-0.74&CDS=1-2823
617	OG0000617	YBR122C	genemark-scf7180000023399-processed-gene-0.105-mRNA-1_1&gene=genemark-scf7180000023399-processed-gene-0.105&CDS=1-549
618	OG0000618	YBR123C	genemark-scf7180000023392-processed-gene-1.104-mRNA-1_1&gene=genemark-scf7180000023392-processed-gene-1.104&CDS=1-1896
619	OG0000619	YBR125C	genemark-scf7180000023344-processed-gene-0.72-mRNA-1_1&gene=genemark-scf7180000023344-processed-gene-0.72&CDS=1-1173
620	OG0000620	YBR126C	augustus_masked-scf7180000023344-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000023344-processed-gene-0.26&CDS=1-5289
621	OG0000621	YBR127C	maker-scf7180000023366-augustus-gene-2.91-mRNA-1_1&gene=maker-scf7180000023366-augustus-gene-2.91&CDS=1-2934
622	OG0000622	YBR132C	genemark-scf7180000023395-processed-gene-4.57-mRNA-1_1&gene=genemark-scf7180000023395-processed-gene-4.57&CDS=1-1926
623	OG0000623	YBR133C	augustus_masked-scf7180000023399-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000023399-processed-gene-0.42&CDS=1-2337
624	OG0000624	YBR136W	genemark-scf7180000023399-processed-gene-0.73-mRNA-1_1&gene=genemark-scf7180000023399-processed-gene-0.73&CDS=1-7443
625	OG0000625	YBR139W	genemark-scf7180000023377-processed-gene-0.188-mRNA-1_1&gene=genemark-scf7180000023377-processed-gene-0.188&CDS=1-1647
626	OG0000626	YBR141C	genemark-scf7180000023343-processed-gene-0.45-mRNA-1_1&gene=genemark-scf7180000023343-processed-gene-0.45&CDS=1-1065
627	OG0000627	YBR142W	genemark-scf7180000023343-processed-gene-0.67-mRNA-1_1&gene=genemark-scf7180000023343-processed-gene-0.67&CDS=1-2511
628	OG0000628	YBR143C	genemark-scf7180000023343-processed-gene-0.44-mRNA-1_1&gene=genemark-scf7180000023343-processed-gene-0.44&CDS=1-1287
629	OG0000629	YBR146W	snap_masked-scf7180000023355-processed-gene-0.24-mRNA-1_1&gene=snap_masked-scf7180000023355-processed-gene-0.24&CDS=1-1812
630	OG0000630	YBR149W	genemark-scf7180000023395-processed-gene-3.5-mRNA-1_1&gene=genemark-scf7180000023395-processed-gene-3.5&CDS=1-939
631	OG0000631	YBR153W	genemark-scf7180000023355-processed-gene-0.69-mRNA-1_1&gene=genemark-scf7180000023355-processed-gene-0.69&CDS=1-702
632	OG0000632	YBR154C	genemark-scf7180000023355-processed-gene-0.56-mRNA-1_1&gene=genemark-scf7180000023355-processed-gene-0.56&CDS=1-642
633	OG0000633	YBR155W	genemark-scf7180000023346-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000023346-processed-gene-0.20&CDS=1-1203
634	OG0000634	YBR158W	genemark-scf7180000023338-processed-gene-0.135-mRNA-1_1&gene=genemark-scf7180000023338-processed-gene-0.135&CDS=1-1809
635	OG0000635	YBR160W	maker-scf7180000023395-snap-gene-0.114-mRNA-1_1&gene=maker-scf7180000023395-snap-gene-0.114&CDS=1-1980
636	OG0000636	YBR162C	genemark-scf7180000023355-processed-gene-0.51-mRNA-1_1&gene=genemark-scf7180000023355-processed-gene-0.51&CDS=1-1353
637	OG0000637	YBR162W-A	snap_masked-scf7180000023345-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000023345-processed-gene-0.11&CDS=1-225
638	OG0000638	YBR163W	snap_masked-scf7180000023341-processed-gene-0.181-mRNA-1_1&gene=snap_masked-scf7180000023341-processed-gene-0.181&CDS=1-2052
639	OG0000639	YBR166C	genemark-scf7180000023378-processed-gene-1.67-mRNA-1_1&gene=genemark-scf7180000023378-processed-gene-1.67&CDS=1-1323
640	OG0000640	YBR167C	snap_masked-scf7180000023366-processed-gene-2.17-mRNA-1_1&gene=snap_masked-scf7180000023366-processed-gene-2.17&CDS=1-483
641	OG0000641	YBR171W	genemark-scf7180000023344-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000023344-processed-gene-0.62&CDS=1-750
642	OG0000642	YBR173C	genemark-scf7180000023344-processed-gene-0.79-mRNA-1_1&gene=genemark-scf7180000023344-processed-gene-0.79&CDS=1-447
643	OG0000643	YBR176W	genemark-scf7180000023405-processed-gene-0.11-mRNA-1_1&gene=genemark-scf7180000023405-processed-gene-0.11&CDS=1-906
644	OG0000644	YBR185C	genemark-scf7180000023140-processed-gene-0.80-mRNA-1_1&gene=genemark-scf7180000023140-processed-gene-0.80&CDS=1-861
645	OG0000645	YBR187W	genemark-scf7180000023412-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000023412-processed-gene-0.4&CDS=1-945
646	OG0000646	YBR189W	snap_masked-scf7180000023414-processed-gene-0.152-mRNA-1_1&gene=snap_masked-scf7180000023414-processed-gene-0.152&CDS=1-567
647	OG0000647	YBR192W	maker-scf7180000023414-augustus-gene-0.236-mRNA-1_1&gene=maker-scf7180000023414-augustus-gene-0.236&CDS=1-1533
648	OG0000648	YBR195C	augustus_masked-scf7180000023378-processed-gene-1.187-mRNA-1_1&gene=augustus_masked-scf7180000023378-processed-gene-1.187&CDS=1-1584
649	OG0000649	YBR196C	genemark-scf7180000023344-processed-gene-0.50-mRNA-1_1&gene=genemark-scf7180000023344-processed-gene-0.50&CDS=1-1638
650	OG0000650	YBR198C	genemark-scf7180000023344-processed-gene-0.69-mRNA-1_1&gene=genemark-scf7180000023344-processed-gene-0.69&CDS=1-2751
651	OG0000651	YBR199W	augustus_masked-scf7180000023373-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-scf7180000023373-processed-gene-1.66&CDS=1-1263
652	OG0000652	YBR200W	genemark-scf7180000023199-processed-gene-1.100-mRNA-1_1&gene=genemark-scf7180000023199-processed-gene-1.100&CDS=1-1800
653	OG0000653	YBR202W	snap_masked-scf7180000023398-processed-gene-0.208-mRNA-1_1&gene=snap_masked-scf7180000023398-processed-gene-0.208&CDS=1-2481
654	OG0000654	YBR203W	snap_masked-scf7180000023330-processed-gene-2.24-mRNA-1_1&gene=snap_masked-scf7180000023330-processed-gene-2.24&CDS=1-2916
655	OG0000655	YBR204C	genemark-scf7180000023330-processed-gene-1.22-mRNA-1_1&gene=genemark-scf7180000023330-processed-gene-1.22&CDS=1-1866
656	OG0000656	YBR207W	genemark-scf7180000022352-processed-gene-0.17-mRNA-1_1&gene=genemark-scf7180000022352-processed-gene-0.17&CDS=1-1170
657	OG0000657	YBR208C	genemark-scf7180000023396-processed-gene-1.59-mRNA-1_1&gene=genemark-scf7180000023396-processed-gene-1.59&CDS=1-5517
658	OG0000658	YBR212W	genemark-scf7180000023354-processed-gene-0.74-mRNA-1_1&gene=genemark-scf7180000023354-processed-gene-0.74&CDS=1-1932
659	OG0000659	YBR213W	genemark-scf7180000023354-processed-gene-0.52-mRNA-1_1&gene=genemark-scf7180000023354-processed-gene-0.52&CDS=1-828
660	OG0000660	YBR220C	genemark-scf7180000023373-processed-gene-0.72-mRNA-1_1&gene=genemark-scf7180000023373-processed-gene-0.72&CDS=1-1686
661	OG0000661	YBR221C	genemark-scf7180000023392-processed-gene-1.69-mRNA-1_1&gene=genemark-scf7180000023392-processed-gene-1.69&CDS=1-1113
662	OG0000662	YBR228W	snap_masked-scf7180000023403-processed-gene-0.49-mRNA-1_1&gene=snap_masked-scf7180000023403-processed-gene-0.49&CDS=1-1014
663	OG0000663	YBR229C	genemark-scf7180000023347-processed-gene-2.84-mRNA-1_1&gene=genemark-scf7180000023347-processed-gene-2.84&CDS=1-2808
664	OG0000664	YBR231C	genemark-scf7180000023410-processed-gene-0.143-mRNA-1_1&gene=genemark-scf7180000023410-processed-gene-0.143&CDS=1-1044
665	OG0000665	YBR233W	genemark-scf7180000023410-processed-gene-0.173-mRNA-1_1&gene=genemark-scf7180000023410-processed-gene-0.173&CDS=1-1410
666	OG0000666	YBR234C	genemark-scf7180000023399-processed-gene-0.84-mRNA-1_1&gene=genemark-scf7180000023399-processed-gene-0.84&CDS=1-1083
667	OG0000667	YBR235W	snap_masked-scf7180000023336-processed-gene-0.111-mRNA-1_1&gene=snap_masked-scf7180000023336-processed-gene-0.111&CDS=1-3261
668	OG0000668	YBR236C	genemark-scf7180000023336-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000023336-processed-gene-0.7&CDS=1-1299
669	OG0000669	YBR239C	maker-scf7180000023345-snap-gene-0.58-mRNA-1_1&gene=maker-scf7180000023345-snap-gene-0.58&CDS=1-1632
670	OG0000670	YBR243C	genemark-scf7180000023345-processed-gene-0.47-mRNA-1_1&gene=genemark-scf7180000023345-processed-gene-0.47&CDS=1-1317
671	OG0000671	YBR246W	genemark-scf7180000023338-processed-gene-0.163-mRNA-1_1&gene=genemark-scf7180000023338-processed-gene-0.163&CDS=1-1140
672	OG0000672	YBR247C	genemark-scf7180000023338-processed-gene-0.106-mRNA-1_1&gene=genemark-scf7180000023338-processed-gene-0.106&CDS=1-1476
673	OG0000673	YBR248C	genemark-scf7180000023338-processed-gene-0.105-mRNA-1_1&gene=genemark-scf7180000023338-processed-gene-0.105&CDS=1-1665
674	OG0000674	YBR249C	genemark-scf7180000023338-processed-gene-0.104-mRNA-1_1&gene=genemark-scf7180000023338-processed-gene-0.104&CDS=1-1089
675	OG0000675	YBR251W	genemark-scf7180000023378-processed-gene-0.97-mRNA-1_1&gene=genemark-scf7180000023378-processed-gene-0.97&CDS=1-921
676	OG0000676	YBR255C-A	genemark-scf7180000023333-processed-gene-0.28-mRNA-1_1&gene=genemark-scf7180000023333-processed-gene-0.28&CDS=1-429
677	OG0000677	YBR255W	snap_masked-scf7180000023391-processed-gene-0.101-mRNA-1_1&gene=snap_masked-scf7180000023391-processed-gene-0.101&CDS=1-1569
678	OG0000678	YBR256C	genemark-scf7180000023233-processed-gene-0.162-mRNA-1_1&gene=genemark-scf7180000023233-processed-gene-0.162&CDS=1-705
679	OG0000679	YBR257W	genemark-scf7180000023417-processed-gene-0.177-mRNA-1_1&gene=genemark-scf7180000023417-processed-gene-0.177&CDS=1-867
680	OG0000680	YBR258C	genemark-scf7180000023325-processed-gene-0.93-mRNA-1_1&gene=genemark-scf7180000023325-processed-gene-0.93&CDS=1-468
681	OG0000681	YBR261C	augustus_masked-scf7180000023367-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-scf7180000023367-processed-gene-0.118&CDS=1-729
682	OG0000682	YBR263W	snap_masked-scf7180000023365-processed-gene-0.72-mRNA-1_1&gene=snap_masked-scf7180000023365-processed-gene-0.72&CDS=1-1470
683	OG0000683	YBR265W	maker-scf7180000023346-augustus-gene-1.204-mRNA-1_1&gene=maker-scf7180000023346-augustus-gene-1.204&CDS=1-1329
684	OG0000684	YBR267W	genemark-scf7180000023370-processed-gene-0.53-mRNA-1_1&gene=genemark-scf7180000023370-processed-gene-0.53&CDS=1-1194
685	OG0000685	YBR268W	snap_masked-scf7180000023370-processed-gene-2.292-mRNA-1_1&gene=snap_masked-scf7180000023370-processed-gene-2.292&CDS=1-279
686	OG0000686	YBR269C	genemark-scf7180000023150-processed-gene-0.24-mRNA-1_1&gene=genemark-scf7180000023150-processed-gene-0.24&CDS=1-384
687	OG0000687	YBR271W	genemark-scf7180000023140-processed-gene-0.94-mRNA-1_1&gene=genemark-scf7180000023140-processed-gene-0.94&CDS=1-1233
688	OG0000688	YBR276C	snap_masked-scf7180000023325-processed-gene-0.152-mRNA-1_1&gene=snap_masked-scf7180000023325-processed-gene-0.152&CDS=1-3789
689	OG0000689	YBR279W	genemark-scf7180000022355-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000022355-processed-gene-0.15&CDS=1-1158
690	OG0000690	YBR281C	genemark-scf7180000023346-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000023346-processed-gene-0.13&CDS=1-2874
691	OG0000691	YBR282W	snap_masked-scf7180000023365-processed-gene-1.84-mRNA-1_1&gene=snap_masked-scf7180000023365-processed-gene-1.84&CDS=1-435
692	OG0000692	YBR283C	genemark-scf7180000023367-processed-gene-0.53-mRNA-1_1&gene=genemark-scf7180000023367-processed-gene-0.53&CDS=1-1458
693	OG0000693	YBR286W	genemark-scf7180000023347-processed-gene-0.98-mRNA-1_1&gene=genemark-scf7180000023347-processed-gene-0.98&CDS=1-1512
694	OG0000694	YBR287W	maker-scf7180000023341-snap-gene-0.138-mRNA-1_1&gene=maker-scf7180000023341-snap-gene-0.138&CDS=1-1590
695	OG0000695	YBR288C	genemark-scf7180000023331-processed-gene-0.17-mRNA-1_1&gene=genemark-scf7180000023331-processed-gene-0.17&CDS=1-2016
696	OG0000696	YBR289W	maker-scf7180000023366-snap-gene-1.38-mRNA-1_1&gene=maker-scf7180000023366-snap-gene-1.38&CDS=1-3399
697	OG0000697	YBR291C	snap_masked-scf7180000023366-processed-gene-1.80-mRNA-1_1&gene=snap_masked-scf7180000023366-processed-gene-1.80&CDS=1-879
698	OG0000698	YCL001W	genemark-scf7180000023372-processed-gene-0.111-mRNA-1_1&gene=genemark-scf7180000023372-processed-gene-0.111&CDS=1-561
699	OG0000699	YCL004W	genemark-scf7180000023417-processed-gene-0.194-mRNA-1_1&gene=genemark-scf7180000023417-processed-gene-0.194&CDS=1-1491
700	OG0000700	YCL009C	genemark-scf7180000023338-processed-gene-0.118-mRNA-1_1&gene=genemark-scf7180000023338-processed-gene-0.118&CDS=1-894
701	OG0000701	YCL010C	genemark-scf7180000023417-processed-gene-0.197-mRNA-1_1&gene=genemark-scf7180000023417-processed-gene-0.197&CDS=1-960
702	OG0000702	YCL014W	genemark-scf7180000023417-processed-gene-0.161-mRNA-1_1&gene=genemark-scf7180000023417-processed-gene-0.161&CDS=1-3408
703	OG0000703	YCL016C	snap_masked-scf7180000023339-processed-gene-0.112-mRNA-1_1&gene=snap_masked-scf7180000023339-processed-gene-0.112&CDS=1-1233
704	OG0000704	YCL017C	genemark-scf7180000023358-processed-gene-0.70-mRNA-1_1&gene=genemark-scf7180000023358-processed-gene-0.70&CDS=1-1377
705	OG0000705	YCL018W	genemark-scf7180000023358-processed-gene-0.89-mRNA-1_1&gene=genemark-scf7180000023358-processed-gene-0.89&CDS=1-1089
706	OG0000706	YCL029C	genemark-scf7180000023346-processed-gene-1.148-mRNA-1_1&gene=genemark-scf7180000023346-processed-gene-1.148&CDS=1-1080
707	OG0000707	YCL030C	genemark-scf7180000023346-processed-gene-1.199-mRNA-1_1&gene=genemark-scf7180000023346-processed-gene-1.199&CDS=1-2511
708	OG0000708	YCL031C	snap_masked-scf7180000023146-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000023146-processed-gene-0.10&CDS=1-876
709	OG0000709	YCL032W	genemark-scf7180000023146-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000023146-processed-gene-0.9&CDS=1-1029
710	OG0000710	YCL033C	genemark-scf7180000023375-processed-gene-0.66-mRNA-1_1&gene=genemark-scf7180000023375-processed-gene-0.66&CDS=1-405
711	OG0000711	YCL034W	genemark-scf7180000023341-processed-gene-0.54-mRNA-1_1&gene=genemark-scf7180000023341-processed-gene-0.54&CDS=1-1275
712	OG0000712	YCL038C	genemark-scf7180000023319-processed-gene-0.89-mRNA-1_1&gene=genemark-scf7180000023319-processed-gene-0.89&CDS=1-1524
713	OG0000713	YCL043C	genemark-scf7180000023399-processed-gene-0.80-mRNA-1_1&gene=genemark-scf7180000023399-processed-gene-0.80&CDS=1-1566
714	OG0000714	YCL045C	genemark-scf7180000023358-processed-gene-1.4-mRNA-1_1&gene=genemark-scf7180000023358-processed-gene-1.4&CDS=1-2379
715	OG0000715	YCL054W	genemark-scf7180000023373-processed-gene-0.66-mRNA-1_1&gene=genemark-scf7180000023373-processed-gene-0.66&CDS=1-2562
716	OG0000716	YCL055W	snap_masked-scf7180000023366-processed-gene-2.19-mRNA-1_1&gene=snap_masked-scf7180000023366-processed-gene-2.19&CDS=1-1419
717	OG0000717	YCL057C-A	genemark-scf7180000022811-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000022811-processed-gene-0.0&CDS=1-225
718	OG0000718	YCL057W	genemark-scf7180000023365-processed-gene-1.136-mRNA-1_1&gene=genemark-scf7180000023365-processed-gene-1.136&CDS=1-2016
719	OG0000719	YCL059C	genemark-scf7180000023377-processed-gene-0.139-mRNA-1_1&gene=genemark-scf7180000023377-processed-gene-0.139&CDS=1-1038
720	OG0000720	YCR002C	genemark-scf7180000023358-processed-gene-0.86-mRNA-1_1&gene=genemark-scf7180000023358-processed-gene-0.86&CDS=1-1008
721	OG0000721	YCR003W	genemark-scf7180000023358-processed-gene-0.68-mRNA-1_1&gene=genemark-scf7180000023358-processed-gene-0.68&CDS=1-543
722	OG0000722	YCR008W	maker-scf7180000023333-snap-gene-0.22-mRNA-1_1&gene=maker-scf7180000023333-snap-gene-0.22&CDS=1-2415
723	OG0000723	YCR009C	genemark-scf7180000023417-processed-gene-0.152-mRNA-1_1&gene=genemark-scf7180000023417-processed-gene-0.152&CDS=1-789
724	OG0000724	YCR011C	maker-scf7180000023389-snap-gene-0.25-mRNA-1_1&gene=maker-scf7180000023389-snap-gene-0.25&CDS=1-3042
725	OG0000725	YCR012W	genemark-scf7180000023233-processed-gene-0.124-mRNA-1_1&gene=genemark-scf7180000023233-processed-gene-0.124&CDS=1-1248
726	OG0000726	YCR017C	genemark-scf7180000023321-processed-gene-0.86-mRNA-1_1&gene=genemark-scf7180000023321-processed-gene-0.86&CDS=1-2916
727	OG0000727	YCR019W	genemark-scf7180000023150-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000023150-processed-gene-0.13&CDS=1-1014
728	OG0000728	YCR028C-A	genemark-scf7180000023398-processed-gene-0.68-mRNA-1_1&gene=genemark-scf7180000023398-processed-gene-0.68&CDS=1-372
729	OG0000729	YCR030C	genemark-scf7180000023358-processed-gene-0.78-mRNA-1_1&gene=genemark-scf7180000023358-processed-gene-0.78&CDS=1-2721
730	OG0000730	YCR032W	genemark-scf7180000023378-processed-gene-1.49-mRNA-1_1&gene=genemark-scf7180000023378-processed-gene-1.49&CDS=1-6183
731	OG0000731	YCR033W	genemark-scf7180000023199-processed-gene-1.92-mRNA-1_1&gene=genemark-scf7180000023199-processed-gene-1.92&CDS=1-3447
732	OG0000732	YCR034W	genemark-scf7180000023378-processed-gene-1.48-mRNA-1_1&gene=genemark-scf7180000023378-processed-gene-1.48&CDS=1-912
733	OG0000733	YCR036W	maker-scf7180000023414-snap-gene-0.80-mRNA-1_1&gene=maker-scf7180000023414-snap-gene-0.80&CDS=1-1149
734	OG0000734	YCR042C	genemark-scf7180000023399-processed-gene-0.106-mRNA-1_1&gene=genemark-scf7180000023399-processed-gene-0.106&CDS=1-4884
735	OG0000735	YCR045C	augustus_masked-scf7180000023410-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scf7180000023410-processed-gene-0.36&CDS=1-1164
736	OG0000736	YCR047C	genemark-scf7180000023373-processed-gene-0.81-mRNA-1_1&gene=genemark-scf7180000023373-processed-gene-0.81&CDS=1-822
737	OG0000737	YCR051W	genemark-scf7180000023373-processed-gene-0.60-mRNA-1_1&gene=genemark-scf7180000023373-processed-gene-0.60&CDS=1-648
738	OG0000738	YCR053W	maker-scf7180000023346-snap-gene-1.1-mRNA-1_1&gene=maker-scf7180000023346-snap-gene-1.1&CDS=1-3012
739	OG0000739	YCR054C	genemark-scf7180000023365-processed-gene-1.111-mRNA-1_1&gene=genemark-scf7180000023365-processed-gene-1.111&CDS=1-1566
740	OG0000740	YCR057C	genemark-scf7180000023365-processed-gene-1.112-mRNA-1_1&gene=genemark-scf7180000023365-processed-gene-1.112&CDS=1-2781
741	OG0000741	YCR059C	genemark-scf7180000023365-processed-gene-1.113-mRNA-1_1&gene=genemark-scf7180000023365-processed-gene-1.113&CDS=1-990
742	OG0000742	YCR060W	genemark-scf7180000023365-processed-gene-1.108-mRNA-1_1&gene=genemark-scf7180000023365-processed-gene-1.108&CDS=1-1011
743	OG0000743	YCR061W	genemark-scf7180000023395-processed-gene-0.97-mRNA-1_1&gene=genemark-scf7180000023395-processed-gene-0.97&CDS=1-1899
744	OG0000744	YCR063W	genemark-scf7180000023321-processed-gene-0.91-mRNA-1_1&gene=genemark-scf7180000023321-processed-gene-0.91&CDS=1-597
745	OG0000745	YCR065W	genemark-scf7180000023346-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000023346-processed-gene-0.22&CDS=1-1839
746	OG0000746	YCR066W	genemark-scf7180000023330-processed-gene-1.35-mRNA-1_1&gene=genemark-scf7180000023330-processed-gene-1.35&CDS=1-1143
747	OG0000747	YCR068W	augustus_masked-scf7180000023410-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scf7180000023410-processed-gene-0.32&CDS=1-6933
748	OG0000748	YCR071C	snap_masked-scf7180000023336-processed-gene-0.125-mRNA-1_1&gene=snap_masked-scf7180000023336-processed-gene-0.125&CDS=1-342
749	OG0000749	YCR072C	maker-scf7180000023140-snap-gene-0.64-mRNA-1_1&gene=maker-scf7180000023140-snap-gene-0.64&CDS=1-2706
750	OG0000750	YCR075C	genemark-scf7180000023365-processed-gene-1.145-mRNA-1_1&gene=genemark-scf7180000023365-processed-gene-1.145&CDS=1-759
751	OG0000751	YCR079W	augustus_masked-scf7180000023354-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000023354-processed-gene-0.1&CDS=1-2940
752	OG0000752	YCR081W	genemark-scf7180000023332-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000023332-processed-gene-0.55&CDS=1-4152
753	OG0000753	YCR084C	maker-scf7180000023398-snap-gene-0.77-mRNA-1_1&gene=maker-scf7180000023398-snap-gene-0.77&CDS=1-2001
754	OG0000754	YCR088W	genemark-scf7180000023330-processed-gene-2.76-mRNA-1_1&gene=genemark-scf7180000023330-processed-gene-2.76&CDS=1-1974
755	OG0000755	YCR090C	genemark-scf7180000023419-processed-gene-0.79-mRNA-1_1&gene=genemark-scf7180000023419-processed-gene-0.79&CDS=1-483
756	OG0000756	YCR091W	genemark-scf7180000023419-processed-gene-0.100-mRNA-1_1&gene=genemark-scf7180000023419-processed-gene-0.100&CDS=1-2787
757	OG0000757	YCR092C	genemark-scf7180000023419-processed-gene-0.78-mRNA-1_1&gene=genemark-scf7180000023419-processed-gene-0.78&CDS=1-3000
758	OG0000758	YCR093W	maker-scf7180000023372-snap-gene-0.62-mRNA-1_1&gene=maker-scf7180000023372-snap-gene-0.62&CDS=1-8013
759	OG0000759	YCR095C	snap_masked-scf7180000023398-processed-gene-0.193-mRNA-1_1&gene=snap_masked-scf7180000023398-processed-gene-0.193&CDS=1-546
760	OG0000760	YCR098C	maker-scf7180000023377-snap-gene-0.132-mRNA-1_1&gene=maker-scf7180000023377-snap-gene-0.132&CDS=1-3150
761	OG0000761	YCR106W, YLL054C	
762	OG0000762	YDL001W	genemark-scf7180000023254-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000023254-processed-gene-0.41&CDS=1-1329
763	OG0000763	YDL004W	genemark-scf7180000023378-processed-gene-0.131-mRNA-1_1&gene=genemark-scf7180000023378-processed-gene-0.131&CDS=1-468
764	OG0000764	YDL006W	genemark-scf7180000023233-processed-gene-0.178-mRNA-1_1&gene=genemark-scf7180000023233-processed-gene-0.178&CDS=1-1206
765	OG0000765	YDL007W	genemark-scf7180000023233-processed-gene-0.179-mRNA-1_1&gene=genemark-scf7180000023233-processed-gene-0.179&CDS=1-1320
766	OG0000766	YDL014W	genemark-scf7180000023365-processed-gene-2.91-mRNA-1_1&gene=genemark-scf7180000023365-processed-gene-2.91&CDS=1-942
767	OG0000767	YDL015C	genemark-scf7180000023398-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000023398-processed-gene-0.15&CDS=1-936
768	OG0000768	YDL017W	genemark-scf7180000023346-processed-gene-1.115-mRNA-1_1&gene=genemark-scf7180000023346-processed-gene-1.115&CDS=1-1617
769	OG0000769	YDL018C	genemark-scf7180000023391-processed-gene-0.70-mRNA-1_1&gene=genemark-scf7180000023391-processed-gene-0.70&CDS=1-636
770	OG0000770	YDL020C	genemark-scf7180000023199-processed-gene-0.45-mRNA-1_1&gene=genemark-scf7180000023199-processed-gene-0.45&CDS=1-1980
771	OG0000771	YDL022W	genemark-scf7180000023395-processed-gene-4.90-mRNA-1_1&gene=genemark-scf7180000023395-processed-gene-4.90&CDS=1-1164
772	OG0000772	YDL028C	genemark-scf7180000023395-processed-gene-2.62-mRNA-1_1&gene=genemark-scf7180000023395-processed-gene-2.62&CDS=1-2121
773	OG0000773	YDL029W	augustus_masked-scf7180000023395-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-scf7180000023395-processed-gene-2.31&CDS=1-1782
774	OG0000774	YDL030W	snap_masked-scf7180000023344-processed-gene-1.93-mRNA-1_1&gene=snap_masked-scf7180000023344-processed-gene-1.93&CDS=1-1533
775	OG0000775	YDL031W	genemark-scf7180000023346-processed-gene-1.190-mRNA-1_1&gene=genemark-scf7180000023346-processed-gene-1.190&CDS=1-2895
776	OG0000776	YDL033C	snap_masked-scf7180000023337-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scf7180000023337-processed-gene-0.17&CDS=1-1299
777	OG0000777	YDL035C	genemark-scf7180000023414-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000023414-processed-gene-0.26&CDS=1-1686
778	OG0000778	YDL040C	genemark-scf7180000023321-processed-gene-0.69-mRNA-1_1&gene=genemark-scf7180000023321-processed-gene-0.69&CDS=1-2367
779	OG0000779	YDL045C	genemark-scf7180000023417-processed-gene-0.195-mRNA-1_1&gene=genemark-scf7180000023417-processed-gene-0.195&CDS=1-900
780	OG0000780	YDL045W-A	snap_masked-scf7180000023346-processed-gene-1.238-mRNA-1_1&gene=snap_masked-scf7180000023346-processed-gene-1.238&CDS=1-273
781	OG0000781	YDL046W	genemark-scf7180000022352-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000022352-processed-gene-0.7&CDS=1-453
782	OG0000782	YDL047W	genemark-scf7180000023383-processed-gene-0.110-mRNA-1_1&gene=genemark-scf7180000023383-processed-gene-0.110&CDS=1-945
783	OG0000783	YDL051W	genemark-scf7180000023347-processed-gene-0.93-mRNA-1_1&gene=genemark-scf7180000023347-processed-gene-0.93&CDS=1-732
784	OG0000784	YDL052C	genemark-scf7180000023367-processed-gene-0.64-mRNA-1_1&gene=genemark-scf7180000023367-processed-gene-0.64&CDS=1-885
785	OG0000785	YDL054C	genemark-scf7180000023138-processed-gene-0.68-mRNA-1_1&gene=genemark-scf7180000023138-processed-gene-0.68&CDS=1-1377
786	OG0000786	YDL055C	snap_masked-scf7180000023373-processed-gene-2.105-mRNA-1_1&gene=snap_masked-scf7180000023373-processed-gene-2.105&CDS=1-1086
787	OG0000787	YDL056W	genemark-scf7180000023330-processed-gene-1.0-mRNA-1_1&gene=genemark-scf7180000023330-processed-gene-1.0&CDS=1-2700
788	OG0000788	YDL057W	genemark-scf7180000023330-processed-gene-1.1-mRNA-1_1&gene=genemark-scf7180000023330-processed-gene-1.1&CDS=1-1518
789	OG0000789	YDL058W	genemark-scf7180000023358-processed-gene-1.24-mRNA-1_1&gene=genemark-scf7180000023358-processed-gene-1.24&CDS=1-7251
