	OrthologID	Hyphopichia_burtonii	Saccharomyces_cerevisiae
428	OG0000428	genemark-scaffold_5-processed-gene-9.92-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-9.92&CDS=1-2658, genemark-scaffold_7-processed-gene-1.67-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.67&CDS=1-2241	YEL061C
429	OG0000429	genemark-scaffold_6-processed-gene-0.95-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.95&CDS=1-747	YDR259C, YOR028C
430	OG0000430	augustus_masked-scaffold_6-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.4&CDS=1-2199	YMR177W, YPL224C
431	OG0000431	genemark-scaffold_6-processed-gene-1.63-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.63&CDS=1-1263	YGL166W, YPR008W
432	OG0000432	genemark-scaffold_6-processed-gene-2.0-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.0&CDS=1-2118	YDL224C, YNL197C
433	OG0000433	genemark-scaffold_6-processed-gene-2.1-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.1&CDS=1-891	YDL222C, YNL194C
434	OG0000434	genemark-scaffold_6-processed-gene-2.8-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.8&CDS=1-2613, genemark-scaffold_6-processed-gene-8.12-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.12&CDS=1-2661	YLR241W
435	OG0000435	snap_masked-scaffold_6-processed-gene-3.40-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.40&CDS=1-1035	YBR147W, YOL092W
436	OG0000436	genemark-scaffold_6-processed-gene-3.129-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.129&CDS=1-1176	YDL175C, YIL079C
437	OG0000437	genemark-scaffold_6-processed-gene-3.112-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.112&CDS=1-1575, genemark-scaffold_7-processed-gene-1.75-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.75&CDS=1-1605	YOR374W
438	OG0000438	genemark-scaffold_6-processed-gene-4.48-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.48&CDS=1-1890	YBR238C, YGL107C
439	OG0000439	genemark-scaffold_6-processed-gene-4.66-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.66&CDS=1-6795	YAL017W, YOL045W
440	OG0000440	genemark-scaffold_6-processed-gene-4.53-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.53&CDS=1-1059	YAL015C, YOL043C
441	OG0000441	genemark-scaffold_6-processed-gene-5.46-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.46&CDS=1-1539	YBR214W, YGL056C
442	OG0000442	genemark-scaffold_6-processed-gene-5.79-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.79&CDS=1-729	YDR151C, YLR136C
443	OG0000443	genemark-scaffold_6-processed-gene-6.122-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.122&CDS=1-1557	YDR501W, YLR183C
444	OG0000444	genemark-scaffold_6-processed-gene-6.99-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.99&CDS=1-261	YDR500C, YLR185W
445	OG0000445	augustus_masked-scaffold_6-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.66&CDS=1-951, genemark-scaffold_7-processed-gene-4.123-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.123&CDS=1-1227	YGR263C
446	OG0000446	genemark-scaffold_6-processed-gene-7.56-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.56&CDS=1-3459	YGL049C, YGR162W
447	OG0000447	genemark-scaffold_6-processed-gene-7.83-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.83&CDS=1-864, genemark-scaffold_7-processed-gene-5.22-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.22&CDS=1-594	YNL103W
448	OG0000448	genemark-scaffold_6-processed-gene-7.64-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.64&CDS=1-3567	YBR218C, YGL062W
449	OG0000449	maker-scaffold_6-snap-gene-8.220-mRNA-1_1&gene=maker-scaffold_6-snap-gene-8.220&CDS=1-642	YBL027W, YBR084C-A
450	OG0000450	genemark-scaffold_6-processed-gene-8.17-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.17&CDS=1-5268	YML109W, YMR273C
451	OG0000451	genemark-scaffold_6-processed-gene-8.19-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.19&CDS=1-660	YML106W, YMR271C
452	OG0000452	augustus_masked-scaffold_6-processed-gene-8.128-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.128&CDS=1-2535	YER066W, YFL009W
453	OG0000453	genemark-scaffold_6-processed-gene-8.62-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.62&CDS=1-405	YER074W, YIL069C
454	OG0000454	augustus_masked-scaffold_7-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.65&CDS=1-1293	YDR247W, YPL026C
455	OG0000455	genemark-scaffold_7-processed-gene-0.28-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.28&CDS=1-1518	YBR020W, YDR009W
456	OG0000456	genemark-scaffold_7-processed-gene-0.38-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.38&CDS=1-381	YGR034W, YLR344W
457	OG0000457	genemark-scaffold_7-processed-gene-2.117-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.117&CDS=1-3465	YLR031W, YMR124W
458	OG0000458	genemark-scaffold_7-processed-gene-3.37-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.37&CDS=1-795	YJL177W, YKL180W
459	OG0000459	genemark-scaffold_7-processed-gene-3.74-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.74&CDS=1-4143	YDL079C, YMR139W
460	OG0000460	genemark-scaffold_7-processed-gene-4.111-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.111&CDS=1-1236	YDR253C, YPL038W
461	OG0000461	genemark-scaffold_7-processed-gene-5.13-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.13&CDS=1-603	YLR287C-A, YOR182C
462	OG0000462	genemark-scaffold_7-processed-gene-5.37-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.37&CDS=1-435	YDR450W, YML026C
463	OG0000463	genemark-scaffold_7-processed-gene-5.45-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.45&CDS=1-363	YER056C-A, YIL052C
464	OG0000464	genemark-scaffold_7-processed-gene-5.46-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.46&CDS=1-201	YLR264W, YOR167C
465	OG0000465	genemark-scaffold_7-processed-gene-5.28-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.28&CDS=1-849	YLR273C, YOR178C
466	OG0000466	maker-scaffold_7-augustus-gene-6.2-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-6.2&CDS=1-714	YGL076C, YPL198W
467	OG0000467	genemark-scaffold_7-processed-gene-6.32-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.32&CDS=1-1209	YHL003C, YKL008C
468	OG0000468	genemark-scaffold_7-processed-gene-7.91-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.91&CDS=1-2580	YDR223W, YLR223C
469	OG0000469	genemark-scaffold_7-processed-gene-8.45-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.45&CDS=1-4026	YIL151C, YKR096W
470	OG0000470	augustus_masked-scaffold_8-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.53&CDS=1-2115	YER175C, YHR209W
471	OG0000471	genemark-scaffold_8-processed-gene-0.43-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-0.43&CDS=1-480	YBR191W, YPL079W
472	OG0000472	genemark-scaffold_8-processed-gene-0.26-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-0.26&CDS=1-1860	YGR092W, YPR111W
473	OG0000473	genemark-scaffold_8-processed-gene-1.27-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.27&CDS=1-2376	YKL050C, YMR031C
474	OG0000474	augustus_masked-scaffold_8-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.114&CDS=1-2799	YIL156W, YKR098C
475	OG0000475	genemark-scaffold_8-processed-gene-2.85-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.85&CDS=1-1242	YIL113W, YNL053W
476	OG0000476	augustus_masked-scaffold_8-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.130&CDS=1-573	YGL031C, YGR148C
477	OG0000477	genemark-scaffold_8-processed-gene-5.193-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.193&CDS=1-1206	YHR001W, YKR003W
478	OG0000478	augustus_masked-scaffold_8-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.111&CDS=1-555	YCL066W, YCR040W
479	OG0000479	genemark-scaffold_8-processed-gene-5.200-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.200&CDS=1-546	YLR456W, YPR172W
480	OG0000480	genemark-scaffold_8-processed-gene-5.224-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.224&CDS=1-804	YLL053C, YPR192W
481	OG0000481	genemark-scaffold_8-processed-gene-5.228-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.228&CDS=1-2880	YDR351W, YHR103W
482	OG0000482	genemark-scaffold_9-processed-gene-1.99-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.99&CDS=1-2130	YGR141W, YPR157W
483	OG0000483	augustus_masked-scaffold_9-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-1.65&CDS=1-2727	YDR069C, YER144C
484	OG0000484	genemark-scaffold_9-processed-gene-2.98-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.98&CDS=1-747	YIR013C, YLR013W
485	OG0000485	genemark-scaffold_9-processed-gene-3.57-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.57&CDS=1-411	YBL087C, YER117W
486	OG0000486	genemark-scaffold_9-processed-gene-3.71-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.71&CDS=1-2460	YIL105C, YNL047C
487	OG0000487	genemark-scaffold_9-processed-gene-3.68-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.68&CDS=1-3879	YHR155W, YNL257C
488	OG0000488	augustus_masked-scaffold_9-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-4.97&CDS=1-1842	YNL093W, YOR089C
489	OG0000489	genemark-scaffold_9-processed-gene-4.169-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.169&CDS=1-1839	YDL229W, YNL209W
490	OG0000490	genemark-scaffold_9-processed-gene-4.210-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.210&CDS=1-189	YDL061C, YLR388W
491	OG0000491	genemark-scaffold_1-processed-gene-0.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.71&CDS=1-1788	YMR092C
492	OG0000492	genemark-scaffold_1-processed-gene-0.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.48&CDS=1-2106	YEL011W
493	OG0000493	genemark-scaffold_1-processed-gene-0.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.49&CDS=1-1974	YMR106C
494	OG0000494	augustus_masked-scaffold_1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.34&CDS=1-1092	YMR097C
495	OG0000495	genemark-scaffold_1-processed-gene-0.50-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.50&CDS=1-867	YKL110C
496	OG0000496	genemark-scaffold_1-processed-gene-0.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.75&CDS=1-744	YKL099C
497	OG0000497	snap_masked-scaffold_1-processed-gene-0.98-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.98&CDS=1-3018	YMR098C
498	OG0000498	genemark-scaffold_1-processed-gene-0.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.76&CDS=1-1542	YKR023W
499	OG0000499	maker-scaffold_1-augustus-gene-0.5-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.5&CDS=1-2682	YJL106W
500	OG0000500	genemark-scaffold_1-processed-gene-0.55-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.55&CDS=1-999	YPR147C
501	OG0000501	maker-scaffold_1-augustus-gene-0.6-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.6&CDS=1-3207	YBR034C
502	OG0000502	augustus_masked-scaffold_1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.21&CDS=1-387	YCL033C
503	OG0000503	genemark-scaffold_1-processed-gene-0.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.77&CDS=1-939	YDL015C
504	OG0000504	genemark-scaffold_1-processed-gene-0.61-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.61&CDS=1-453	YOR298C-A
505	OG0000505	genemark-scaffold_1-processed-gene-0.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.78&CDS=1-645	YKR014C
506	OG0000506	augustus_masked-scaffold_1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.39&CDS=1-318	YOR020C
507	OG0000507	genemark-scaffold_1-processed-gene-0.63-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.63&CDS=1-1140	YOR388C
508	OG0000508	augustus_masked-scaffold_1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.40&CDS=1-5601	YJL109C
509	OG0000509	genemark-scaffold_1-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.83&CDS=1-2721	YKR030W
510	OG0000510	genemark-scaffold_1-processed-gene-0.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.84&CDS=1-1698	YKR017C
511	OG0000511	genemark-scaffold_1-processed-gene-0.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.85&CDS=1-2319	YBR030W
512	OG0000512	genemark-scaffold_1-processed-gene-0.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.67&CDS=1-381	YJL104W
513	OG0000513	augustus_masked-scaffold_1-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.89&CDS=1-3228	YPR179C
514	OG0000514	augustus_masked-scaffold_1-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.101&CDS=1-3252	YPR181C
515	OG0000515	genemark-scaffold_1-processed-gene-1.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.66&CDS=1-924	YIL164C
516	OG0000516	genemark-scaffold_1-processed-gene-1.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.67&CDS=1-2349	YLR304C
517	OG0000517	genemark-scaffold_1-processed-gene-1.55-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.55&CDS=1-1749	YHR166C
518	OG0000518	genemark-scaffold_1-processed-gene-1.69-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.69&CDS=1-1734	YMR296C
519	OG0000519	genemark-scaffold_1-processed-gene-1.56-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.56&CDS=1-7272	YHR165C
520	OG0000520	genemark-scaffold_1-processed-gene-1.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.71&CDS=1-2535	YHL023C
521	OG0000521	genemark-scaffold_1-processed-gene-1.58-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.58&CDS=1-2949	YFL047W
522	OG0000522	genemark-scaffold_1-processed-gene-1.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.75&CDS=1-2460	YLR361C
523	OG0000523	genemark-scaffold_1-processed-gene-1.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.76&CDS=1-2142	YKL179C
524	OG0000524	genemark-scaffold_1-processed-gene-1.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.60&CDS=1-1830	YLR143W
525	OG0000525	genemark-scaffold_1-processed-gene-1.61-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.61&CDS=1-1068	YJR062C
526	OG0000526	genemark-scaffold_1-processed-gene-1.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.62&CDS=1-408	YGL191W
527	OG0000527	genemark-scaffold_1-processed-gene-1.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.81&CDS=1-1545	YGL190C
528	OG0000528	genemark-scaffold_1-processed-gene-2.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.62&CDS=1-471	YGL187C
529	OG0000529	maker-scaffold_1-augustus-gene-2.54-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.54&CDS=1-2916	YPL113C
530	OG0000530	maker-scaffold_1-augustus-gene-2.55-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.55&CDS=1-3633	YBL007C
531	OG0000531	genemark-scaffold_1-processed-gene-2.65-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.65&CDS=1-1605	YGL192W
532	OG0000532	genemark-scaffold_1-processed-gene-2.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.66&CDS=1-573	YGL010W
533	OG0000533	genemark-scaffold_1-processed-gene-2.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.67&CDS=1-2235	YGL022W
534	OG0000534	genemark-scaffold_1-processed-gene-2.68-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.68&CDS=1-2499	YGL023C
535	OG0000535	genemark-scaffold_1-processed-gene-2.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.90&CDS=1-1740	YPL265W
536	OG0000536	genemark-scaffold_1-processed-gene-2.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.71&CDS=1-3090	YGR014W
537	OG0000537	genemark-scaffold_1-processed-gene-2.94-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.94&CDS=1-1737	YGR013W
538	OG0000538	genemark-scaffold_1-processed-gene-2.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.72&CDS=1-2223	YML046W
539	OG0000539	genemark-scaffold_1-processed-gene-2.95-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.95&CDS=1-1914	YJR052W
540	OG0000540	genemark-scaffold_1-processed-gene-2.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.73&CDS=1-1095	YEL037C
541	OG0000541	genemark-scaffold_1-processed-gene-2.96-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.96&CDS=1-735	YEL038W
542	OG0000542	genemark-scaffold_1-processed-gene-2.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.77&CDS=1-1167	YGR012W
543	OG0000543	genemark-scaffold_1-processed-gene-2.99-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.99&CDS=1-1431	YPL112C
544	OG0000544	genemark-scaffold_1-processed-gene-2.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.100&CDS=1-1332	YDR531W
545	OG0000545	maker-scaffold_1-snap-gene-2.48-mRNA-1_1&gene=maker-scaffold_1-snap-gene-2.48&CDS=1-1320	YPL209C
546	OG0000546	genemark-scaffold_1-processed-gene-2.101-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.101&CDS=1-1566	YGL066W
547	OG0000547	augustus_masked-scaffold_1-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.124&CDS=1-3687	YPL207W
548	OG0000548	genemark-scaffold_1-processed-gene-2.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.81&CDS=1-1953	YPL104W
549	OG0000549	genemark-scaffold_1-processed-gene-2.108-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.108&CDS=1-2115	YJL010C
550	OG0000550	genemark-scaffold_1-processed-gene-2.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.82&CDS=1-1428	YOR056C
551	OG0000551	genemark-scaffold_1-processed-gene-2.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.84&CDS=1-2253	YDR295C
552	OG0000552	genemark-scaffold_1-processed-gene-2.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.85&CDS=1-1464	YDR294C
553	OG0000553	genemark-scaffold_1-processed-gene-3.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.36&CDS=1-2994	YOR058C
554	OG0000554	augustus_masked-scaffold_1-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.2&CDS=1-2928	YGL099W
555	OG0000555	maker-scaffold_1-snap-gene-3.121-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.121&CDS=1-1911	YPL218W
556	OG0000556	genemark-scaffold_1-processed-gene-3.40-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.40&CDS=1-1929	YER080W
557	OG0000557	genemark-scaffold_1-processed-gene-3.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.60&CDS=1-519	YBR254C
558	OG0000558	genemark-scaffold_1-processed-gene-3.63-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.63&CDS=1-2448	YBR255W
559	OG0000559	genemark-scaffold_1-processed-gene-3.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.44&CDS=1-1533	YOL027C
560	OG0000560	maker-scaffold_1-snap-gene-3.122-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.122&CDS=1-3654	YKR056W
561	OG0000561	genemark-scaffold_1-processed-gene-3.69-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.69&CDS=1-1728	YOL116W
562	OG0000562	genemark-scaffold_1-processed-gene-3.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.71&CDS=1-954	YKR055W
563	OG0000563	genemark-scaffold_1-processed-gene-3.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.45&CDS=1-1365	YBR162C
564	OG0000564	genemark-scaffold_1-processed-gene-3.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.47&CDS=1-1035	YDL134C
565	OG0000565	maker-scaffold_1-augustus-gene-3.75-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.75&CDS=1-4134	YDL185W
566	OG0000566	augustus_masked-scaffold_1-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.32&CDS=1-1020	YDL183C
567	OG0000567	genemark-scaffold_1-processed-gene-3.51-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.51&CDS=1-1605	YDL133W
568	OG0000568	snap_masked-scaffold_1-processed-gene-3.101-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.101&CDS=1-2814	YPL084W
569	OG0000569	maker-scaffold_1-snap-gene-3.120-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.120&CDS=1-4914	YDL145C
570	OG0000570	genemark-scaffold_1-processed-gene-3.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.57&CDS=1-1593	YGR123C
571	OG0000571	augustus_masked-scaffold_1-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.19&CDS=1-228	YLR218C
572	OG0000572	augustus_masked-scaffold_1-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.20&CDS=1-1878	YDL139C
573	OG0000573	genemark-scaffold_1-processed-gene-4.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.46&CDS=1-2124	YMR216C
574	OG0000574	genemark-scaffold_1-processed-gene-4.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.71&CDS=1-1686	YPL086C
575	OG0000575	genemark-scaffold_1-processed-gene-4.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.47&CDS=1-885	YPR069C
576	OG0000576	maker-scaffold_1-augustus-gene-4.84-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.84&CDS=1-3180	YMR186W
577	OG0000577	genemark-scaffold_1-processed-gene-4.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.73&CDS=1-2988	YMR185W
578	OG0000578	genemark-scaffold_1-processed-gene-4.50-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.50&CDS=1-606	YPL239W
579	OG0000579	genemark-scaffold_1-processed-gene-4.51-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.51&CDS=1-825	YPL237W
580	OG0000580	augustus_masked-scaffold_1-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.32&CDS=1-1527	YPL236C
581	OG0000581	genemark-scaffold_1-processed-gene-4.53-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.53&CDS=1-855	YPL246C
582	OG0000582	genemark-scaffold_1-processed-gene-4.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.76&CDS=1-1170	YMR203W
583	OG0000583	genemark-scaffold_1-processed-gene-4.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.57&CDS=1-1851	YDR380W
584	OG0000584	genemark-scaffold_1-processed-gene-4.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.77&CDS=1-489	YPL234C
585	OG0000585	genemark-scaffold_1-processed-gene-4.59-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.59&CDS=1-708	YPL233W
586	OG0000586	genemark-scaffold_1-processed-gene-4.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.60&CDS=1-5331	YPL242C
587	OG0000587	genemark-scaffold_1-processed-gene-4.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.78&CDS=1-1953	YLR429W
588	OG0000588	genemark-scaffold_1-processed-gene-4.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.79&CDS=1-2046	YNR008W
589	OG0000589	genemark-scaffold_1-processed-gene-4.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.80&CDS=1-861	YNR007C
590	OG0000590	genemark-scaffold_1-processed-gene-4.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.62&CDS=1-933	YDL124W
591	OG0000591	genemark-scaffold_1-processed-gene-4.63-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.63&CDS=1-654	YMR202W
592	OG0000592	genemark-scaffold_1-processed-gene-4.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.66&CDS=1-732	YMR200W
593	OG0000593	genemark-scaffold_1-processed-gene-4.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.67&CDS=1-2196	YNR006W
594	OG0000594	genemark-scaffold_1-processed-gene-4.68-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.68&CDS=1-1371	YKL184W
595	OG0000595	maker-scaffold_1-augustus-gene-5.80-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.80&CDS=1-2592	YLR433C
596	OG0000596	genemark-scaffold_1-processed-gene-5.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.41&CDS=1-615	YLR435W
597	OG0000597	maker-scaffold_1-augustus-gene-5.82-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.82&CDS=1-3177	YML064C
598	OG0000598	genemark-scaffold_1-processed-gene-5.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.48&CDS=1-3171	YML075C
