	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034876_Tetrapisispora_iriomotensis
478	OG0000478	YAL013W	augustus_masked-flattened_line_37-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.123&CDS=1-1662
479	OG0000479	YAL014C	augustus_masked-flattened_line_37-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.104&CDS=1-783
480	OG0000480	YAL016W	augustus_masked-flattened_line_13-processed-gene-3.208-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.208&CDS=1-1827
481	OG0000481	YAL018C	augustus_masked-flattened_line_13-processed-gene-3.178-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.178&CDS=1-948
482	OG0000482	YAL019W	augustus_masked-flattened_line_13-processed-gene-3.211-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.211&CDS=1-3099
483	OG0000483	YAL020C	augustus_masked-flattened_line_13-processed-gene-3.179-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.179&CDS=1-1083
484	OG0000484	YAL021C	snap_masked-flattened_line_13-processed-gene-3.101-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.101&CDS=1-2445
485	OG0000485	YAL022C	snap_masked-flattened_line_13-processed-gene-3.102-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.102&CDS=1-1311
486	OG0000486	YAL023C	augustus_masked-flattened_line_13-processed-gene-3.181-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.181&CDS=1-2295
487	OG0000487	YAL024C	augustus_masked-flattened_line_29-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.60&CDS=1-4284
488	OG0000488	YAL025C	augustus_masked-flattened_line_29-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.59&CDS=1-882
489	OG0000489	YAL026C	augustus_masked-flattened_line_13-processed-gene-3.182-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.182&CDS=1-4095
490	OG0000490	YAL027W	snap_masked-flattened_line_29-processed-gene-1.185-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.185&CDS=1-786
491	OG0000491	YAL031C	augustus_masked-flattened_line_29-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.106&CDS=1-2433
492	OG0000492	YAL032C	augustus_masked-flattened_line_29-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.105&CDS=1-1410
493	OG0000493	YAL033W	augustus_masked-flattened_line_29-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.89&CDS=1-492
494	OG0000494	YAL034W-A	augustus_masked-flattened_line_29-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.87&CDS=1-858
495	OG0000495	YAL035W	augustus_masked-flattened_line_29-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.86&CDS=1-2967
496	OG0000496	YAL036C	augustus_masked-flattened_line_29-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.102&CDS=1-1104
497	OG0000497	YAL038W	augustus_masked-flattened_line_13-processed-gene-3.219-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.219&CDS=1-1503
498	OG0000498	YAL039C	augustus_masked-flattened_line_29-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.100&CDS=1-828
499	OG0000499	YAL040C	augustus_masked-flattened_line_13-processed-gene-3.188-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.188&CDS=1-1623
500	OG0000500	YAL041W	augustus_masked-flattened_line_13-processed-gene-3.222-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.222&CDS=1-2352
501	OG0000501	YAL042W	augustus_masked-flattened_line_29-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.81&CDS=1-1221
502	OG0000502	YAL043C	augustus_masked-flattened_line_29-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.96&CDS=1-2448
503	OG0000503	YAL044C	augustus_masked-flattened_line_29-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.95&CDS=1-504
504	OG0000504	YAL046C	snap_masked-flattened_line_13-processed-gene-3.117-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.117&CDS=1-234
505	OG0000505	YAL047C	snap_masked-flattened_line_13-processed-gene-3.118-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.118&CDS=1-2226
506	OG0000506	YAL048C	augustus_masked-flattened_line_13-processed-gene-3.193-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.193&CDS=1-1959
507	OG0000507	YAL049C	augustus_masked-flattened_line_13-processed-gene-3.194-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.194&CDS=1-741
508	OG0000508	YAL053W	augustus_masked-flattened_line_13-processed-gene-3.225-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.225&CDS=1-2427
509	OG0000509	YAL054C	augustus_masked-flattened_line_29-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.94&CDS=1-2145
510	OG0000510	YAL055W	snap_masked-flattened_line_13-processed-gene-3.149-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.149&CDS=1-516
511	OG0000511	YAL059W	augustus_masked-flattened_line_13-processed-gene-3.231-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.231&CDS=1-612
512	OG0000512	YAL061W	augustus_masked-flattened_line_13-processed-gene-3.232-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.232&CDS=1-1206
513	OG0000513	YAR002W	augustus_masked-flattened_line_45-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.37&CDS=1-1713
514	OG0000514	YAR003W	maker-flattened_line_45-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_45-snap-gene-0.0&CDS=1-1278
515	OG0000515	YAR007C	augustus_masked-flattened_line_37-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.118&CDS=1-1863
516	OG0000516	YAR008W	augustus_masked-flattened_line_45-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.33&CDS=1-675
517	OG0000517	YAR014C	snap_masked-flattened_line_15-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-0.16&CDS=1-2016
518	OG0000518	YAR015W	augustus_masked-flattened_line_51-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.41&CDS=1-918
519	OG0000519	YAR018C	maker-flattened_line_51-snap-gene-0.71-mRNA-1_1&gene=maker-flattened_line_51-snap-gene-0.71&CDS=1-2163
520	OG0000520	YAR035W	augustus_masked-flattened_line_25-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.68&CDS=1-2223
521	OG0000521	YAR042W	augustus_masked-flattened_line_51-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.40&CDS=1-3666
522	OG0000522	YBL001C	augustus_masked-flattened_line_15-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-1.7&CDS=1-318
523	OG0000523	YBL004W	augustus_masked-flattened_line_15-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-1.25&CDS=1-7476
524	OG0000524	YBL006C	augustus_masked-flattened_line_45-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.16&CDS=1-567
525	OG0000525	YBL007C	augustus_masked-flattened_line_33-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.53&CDS=1-3477
526	OG0000526	YBL009W	augustus_masked-flattened_line_45-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.20&CDS=1-1989
527	OG0000527	YBL010C	augustus_masked-flattened_line_33-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.50&CDS=1-864
528	OG0000528	YBL011W	augustus_masked-flattened_line_33-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.18&CDS=1-2178
529	OG0000529	YBL013W	augustus_masked-flattened_line_45-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.19&CDS=1-1185
530	OG0000530	YBL014C	augustus_masked-flattened_line_45-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.44&CDS=1-2745
531	OG0000531	YBL015W	augustus_masked-flattened_line_25-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.30&CDS=1-1578
532	OG0000532	YBL016W	augustus_masked-flattened_line_25-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.29&CDS=1-1053
533	OG0000533	YBL018C	augustus_masked-flattened_line_33-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.28&CDS=1-423
534	OG0000534	YBL020W	maker-flattened_line_33-augustus-gene-1.67-mRNA-1_1&gene=maker-flattened_line_33-augustus-gene-1.67&CDS=1-2916
535	OG0000535	YBL022C	augustus_masked-flattened_line_33-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.29&CDS=1-3261
536	OG0000536	YBL023C	augustus_masked-flattened_line_33-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.30&CDS=1-2601
537	OG0000537	YBL024W	augustus_masked-flattened_line_25-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.28&CDS=1-2001
538	OG0000538	YBL025W	augustus_masked-flattened_line_25-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.27&CDS=1-423
539	OG0000539	YBL026W	maker-flattened_line_25-augustus-gene-1.57-mRNA-1_1&gene=maker-flattened_line_25-augustus-gene-1.57&CDS=1-285
540	OG0000540	YBL028C	augustus_masked-flattened_line_19-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.42&CDS=1-333
541	OG0000541	YBL029C-A	augustus_masked-flattened_line_55-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_55-processed-gene-0.15&CDS=1-432
542	OG0000542	YBL029W	augustus_masked-flattened_line_19-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.23&CDS=1-924
543	OG0000543	YBL031W	snap_masked-flattened_line_55-processed-gene-0.143-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.143&CDS=1-1056
544	OG0000544	YBL032W	augustus_masked-flattened_line_19-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.22&CDS=1-996
545	OG0000545	YBL033C	augustus_masked-flattened_line_19-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.40&CDS=1-906
546	OG0000546	YBL034C	augustus_masked-flattened_line_19-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.39&CDS=1-4404
547	OG0000547	YBL035C	augustus_masked-flattened_line_19-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.38&CDS=1-2007
548	OG0000548	YBL036C	augustus_masked-flattened_line_19-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.37&CDS=1-735
549	OG0000549	YBL037W	augustus_masked-flattened_line_55-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_55-processed-gene-0.43&CDS=1-3138
550	OG0000550	YBL038W	snap_masked-flattened_line_19-processed-gene-1.77-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.77&CDS=1-666
551	OG0000551	YBL039C	augustus_masked-flattened_line_41-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-0.31&CDS=1-1728
552	OG0000552	YBL040C	augustus_masked-flattened_line_41-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-0.30&CDS=1-657
553	OG0000553	YBL041W	snap_masked-flattened_line_41-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.88&CDS=1-723
554	OG0000554	YBL042C	augustus_masked-flattened_line_3-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.46&CDS=1-1839
555	OG0000555	YBL045C	augustus_masked-flattened_line_3-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.45&CDS=1-1365
556	OG0000556	YBL046W	augustus_masked-flattened_line_3-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.19&CDS=1-1305
557	OG0000557	YBL047C	augustus_masked-flattened_line_3-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.43&CDS=1-3756
558	OG0000558	YBL049W	snap_masked-flattened_line_3-processed-gene-1.116-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-1.116&CDS=1-513
559	OG0000559	YBL050W	augustus_masked-flattened_line_3-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.14&CDS=1-990
560	OG0000560	YBL051C	augustus_masked-flattened_line_41-processed-gene-1.168-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.168&CDS=1-1914
561	OG0000561	YBL052C	augustus_masked-flattened_line_41-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.167&CDS=1-2538
562	OG0000562	YBL055C	augustus_masked-flattened_line_17-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-1.32&CDS=1-1146
563	OG0000563	YBL057C	snap_masked-flattened_line_17-processed-gene-1.74-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.74&CDS=1-588
564	OG0000564	YBL058W	augustus_masked-flattened_line_41-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.138&CDS=1-1098
565	OG0000565	YBL059W	genemark-flattened_line_17-processed-gene-1.99-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-1.99&CDS=1-447
566	OG0000566	YBL060W	augustus_masked-flattened_line_41-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.134&CDS=1-2184
567	OG0000567	YBL061C	augustus_masked-flattened_line_17-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-1.30&CDS=1-1989
568	OG0000568	YBL063W	augustus_masked-flattened_line_41-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.133&CDS=1-3630
569	OG0000569	YBL066C	augustus_masked-flattened_line_41-processed-gene-1.162-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.162&CDS=1-3219
570	OG0000570	YBL071W-A	augustus_masked-flattened_line_29-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.75&CDS=1-246
571	OG0000571	YBL074C	augustus_masked-flattened_line_41-processed-gene-1.159-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.159&CDS=1-1107
572	OG0000572	YBL076C	augustus_masked-flattened_line_41-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.157&CDS=1-3213
573	OG0000573	YBL078C	augustus_masked-flattened_line_41-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.155&CDS=1-354
574	OG0000574	YBL079W	augustus_masked-flattened_line_29-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.76&CDS=1-4401
575	OG0000575	YBL080C	augustus_masked-flattened_line_29-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.43&CDS=1-1623
576	OG0000576	YBL081W	augustus_masked-flattened_line_41-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.131&CDS=1-1344
577	OG0000577	YBL082C	augustus_masked-flattened_line_29-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.79&CDS=1-1389
578	OG0000578	YBL084C	snap_masked-flattened_line_41-processed-gene-1.36-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-1.36&CDS=1-2259
579	OG0000579	YBL085W	augustus_masked-flattened_line_41-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.127&CDS=1-3039
580	OG0000580	YBL086C	augustus_masked-flattened_line_41-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.152&CDS=1-1083
581	OG0000581	YBL088C	snap_masked-flattened_line_29-processed-gene-1.208-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.208&CDS=1-8187
582	OG0000582	YBL091C	augustus_masked-flattened_line_29-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.47&CDS=1-1257
583	OG0000583	YBL092W	augustus_masked-flattened_line_41-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.126&CDS=1-393
584	OG0000584	YBL093C	augustus_masked-flattened_line_29-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.49&CDS=1-606
585	OG0000585	YBL095W	augustus_masked-flattened_line_41-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.124&CDS=1-822
586	OG0000586	YBL097W	augustus_masked-flattened_line_29-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.86&CDS=1-2337
587	OG0000587	YBL098W	augustus_masked-flattened_line_29-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.87&CDS=1-1419
588	OG0000588	YBL101C	augustus_masked-flattened_line_31-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.4&CDS=1-3174
589	OG0000589	YBL102W	augustus_masked-flattened_line_41-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.118&CDS=1-651
590	OG0000590	YBL103C	augustus_masked-flattened_line_41-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.121&CDS=1-1473
591	OG0000591	YBL104C	maker-flattened_line_31-augustus-gene-0.40-mRNA-1_1&gene=maker-flattened_line_31-augustus-gene-0.40&CDS=1-5532
592	OG0000592	YBL107C	snap_masked-flattened_line_31-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-0.52&CDS=1-663
593	OG0000593	YBR002C	genemark-flattened_line_15-processed-gene-1.48-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.48&CDS=1-831
594	OG0000594	YBR003W	augustus_masked-flattened_line_15-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-1.6&CDS=1-2808
595	OG0000595	YBR004C	augustus_masked-flattened_line_51-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.44&CDS=1-1437
596	OG0000596	YBR006W	augustus_masked-flattened_line_51-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.9&CDS=1-1494
597	OG0000597	YBR007C	augustus_masked-flattened_line_15-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-1.3&CDS=1-2355
598	OG0000598	YBR011C	augustus_masked-flattened_line_15-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.90&CDS=1-861
599	OG0000599	YBR015C	augustus_masked-flattened_line_15-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.89&CDS=1-1857
600	OG0000600	YBR017C	augustus_masked-flattened_line_15-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.85&CDS=1-2739
601	OG0000601	YBR018C	augustus_masked-flattened_line_15-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.80&CDS=1-1095
602	OG0000602	YBR019C	augustus_masked-flattened_line_19-processed-gene-3.155-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-3.155&CDS=1-2070
603	OG0000603	YBR020W	augustus_masked-flattened_line_15-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.101&CDS=1-1545
604	OG0000604	YBR021W	augustus_masked-flattened_line_19-processed-gene-3.136-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-3.136&CDS=1-1917
605	OG0000605	YBR023C	augustus_masked-flattened_line_15-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.79&CDS=1-3699
606	OG0000606	YBR025C	augustus_masked-flattened_line_19-processed-gene-3.158-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-3.158&CDS=1-1179
607	OG0000607	YBR026C	augustus_masked-flattened_line_19-processed-gene-3.159-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-3.159&CDS=1-1245
608	OG0000608	YBR028C	augustus_masked-flattened_line_15-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.78&CDS=1-1545
609	OG0000609	YBR029C	augustus_masked-flattened_line_15-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.77&CDS=1-1302
610	OG0000610	YBR030W	augustus_masked-flattened_line_19-processed-gene-3.137-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-3.137&CDS=1-1668
611	OG0000611	YBR034C	augustus_masked-flattened_line_15-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.76&CDS=1-1044
612	OG0000612	YBR035C	augustus_masked-flattened_line_19-processed-gene-3.160-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-3.160&CDS=1-684
613	OG0000613	YBR036C	augustus_masked-flattened_line_15-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.97&CDS=1-1497
614	OG0000614	YBR037C	augustus_masked-flattened_line_15-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.98&CDS=1-954
615	OG0000615	YBR038W	maker-flattened_line_19-snap-gene-3.181-mRNA-1_1&gene=maker-flattened_line_19-snap-gene-3.181&CDS=1-6153
616	OG0000616	YBR039W	augustus_masked-flattened_line_19-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.37&CDS=1-918
617	OG0000617	YBR040W	augustus_masked-flattened_line_15-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.96&CDS=1-924
618	OG0000618	YBR041W	augustus_masked-flattened_line_19-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.36&CDS=1-2007
619	OG0000619	YBR042C	genemark-flattened_line_15-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-0.39&CDS=1-1065
620	OG0000620	YBR044C	snap_masked-flattened_line_15-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-0.4&CDS=1-1725
621	OG0000621	YBR045C	snap_masked-flattened_line_15-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-0.3&CDS=1-1623
622	OG0000622	YBR046C	augustus_masked-flattened_line_19-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.21&CDS=1-1029
623	OG0000623	YBR053C	augustus_masked-flattened_line_19-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.15&CDS=1-1044
624	OG0000624	YBR055C	snap_masked-flattened_line_19-processed-gene-2.60-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-2.60&CDS=1-2685
625	OG0000625	YBR056W	augustus_masked-flattened_line_19-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.31&CDS=1-1416
626	OG0000626	YBR057C	augustus_masked-flattened_line_15-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.72&CDS=1-864
627	OG0000627	YBR058C	augustus_masked-flattened_line_19-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.11&CDS=1-2340
628	OG0000628	YBR058C-A	snap_masked-flattened_line_19-processed-gene-2.56-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-2.56&CDS=1-282
629	OG0000629	YBR059C	augustus_masked-flattened_line_19-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.9&CDS=1-2541
630	OG0000630	YBR061C	augustus_masked-flattened_line_19-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.8&CDS=1-2808
631	OG0000631	YBR062C	augustus_masked-flattened_line_55-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_55-processed-gene-0.32&CDS=1-495
632	OG0000632	YBR065C	augustus_masked-flattened_line_19-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.6&CDS=1-1086
633	OG0000633	YBR070C	augustus_masked-flattened_line_55-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_55-processed-gene-0.35&CDS=1-711
634	OG0000634	YBR071W	snap_masked-flattened_line_19-processed-gene-2.48-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-2.48&CDS=1-672
635	OG0000635	YBR073W	augustus_masked-flattened_line_19-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.2&CDS=1-2949
636	OG0000636	YBR074W	augustus_masked-flattened_line_55-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_55-processed-gene-0.8&CDS=1-2886
637	OG0000637	YBR076W	augustus_masked-flattened_line_19-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.46&CDS=1-1329
638	OG0000638	YBR077C	genemark-flattened_line_19-processed-gene-1.133-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-1.133&CDS=1-537
639	OG0000639	YBR078W	augustus_masked-flattened_line_19-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.45&CDS=1-1278
640	OG0000640	YBR079C	augustus_masked-flattened_line_19-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.25&CDS=1-2859
641	OG0000641	YBR080C	snap_masked-flattened_line_55-processed-gene-0.139-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.139&CDS=1-2280
642	OG0000642	YBR081C	augustus_masked-flattened_line_55-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_55-processed-gene-0.38&CDS=1-4029
