	OrthologID	Naumovozyma_castellii	Saccharomyces_cerevisiae
526	OG0000526	augustus_masked-HE576752-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.60&CDS=1-2571	YLL034C
527	OG0000527	genemark-HE576752-processed-gene-5.41-mRNA-1_1&gene=genemark-HE576752-processed-gene-5.41&CDS=1-3339	YLL035W
528	OG0000528	snap_masked-HE576752-processed-gene-5.105-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-5.105&CDS=1-10104	YLL040C
529	OG0000529	snap_masked-HE576752-processed-gene-5.106-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-5.106&CDS=1-372	YLL042C
530	OG0000530	augustus_masked-HE576752-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.81&CDS=1-2037	YLL043W
531	OG0000531	snap_masked-HE576752-processed-gene-6.2-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-6.2&CDS=1-417	YPR200C
532	OG0000532	augustus_masked-HE576752-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.94&CDS=1-1239	YPR201W
533	OG0000533	augustus_masked-HE576752-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.96&CDS=1-870	YHR209W
534	OG0000534	augustus_masked-HE576752-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.97&CDS=1-1632	YBR008C
535	OG0000535	augustus_masked-HE576752-processed-gene-6.114-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.114&CDS=1-1233	YIL160C
536	OG0000536	augustus_masked-HE576752-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.98&CDS=1-1017	YKR100C
537	OG0000537	augustus_masked-HE576752-processed-gene-6.115-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.115&CDS=1-2259	YKR099W
538	OG0000538	augustus_masked-HE576752-processed-gene-6.116-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.116&CDS=1-1656	YKR097W
539	OG0000539	snap_masked-HE576752-processed-gene-6.31-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-6.31&CDS=1-246	YKR095W-A
540	OG0000540	augustus_masked-HE576752-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.120&CDS=1-1833	YKR093W
541	OG0000541	augustus_masked-HE576752-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.100&CDS=1-1116	YKR092C
542	OG0000542	snap_masked-HE576752-processed-gene-6.34-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-6.34&CDS=1-1797	YKR090W
543	OG0000543	augustus_masked-HE576752-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.102&CDS=1-996	YKR088C
544	OG0000544	augustus_masked-HE576752-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.103&CDS=1-1041	YKR087C
545	OG0000545	augustus_masked-HE576752-processed-gene-6.122-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.122&CDS=1-3342	YKR086W
546	OG0000546	augustus_masked-HE576752-processed-gene-6.123-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.123&CDS=1-2490	YKR079C
547	OG0000547	augustus_masked-HE576752-processed-gene-6.105-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.105&CDS=1-441	YKR083C
548	OG0000548	augustus_masked-HE576752-processed-gene-6.124-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.124&CDS=1-3423	YKR082W
549	OG0000549	augustus_masked-HE576752-processed-gene-6.125-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.125&CDS=1-1557	YKR080W
550	OG0000550	augustus_masked-HE576752-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.107&CDS=1-1053	YOR075W
551	OG0000551	augustus_masked-HE576752-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.126&CDS=1-1824	YKR084C
552	OG0000552	augustus_masked-HE576752-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.127&CDS=1-660	YGR201C
553	OG0000553	augustus_masked-HE576752-processed-gene-6.129-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.129&CDS=1-1104	YKR076W
554	OG0000554	augustus_masked-HE576752-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.131&CDS=1-876	YBL010C
555	OG0000555	snap_masked-HE576752-processed-gene-6.22-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-6.22&CDS=1-2433	YBL009W
556	OG0000556	augustus_masked-HE576752-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.110&CDS=1-2448	YBL008W
557	OG0000557	augustus_masked-HE576752-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.47&CDS=1-3705	YBL007C
558	OG0000558	snap_masked-HE576752-processed-gene-7.4-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-7.4&CDS=1-510	YBL006C
559	OG0000559	snap_masked-HE576752-processed-gene-7.6-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-7.6&CDS=1-1404	YGL012W
560	OG0000560	augustus_masked-HE576752-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.49&CDS=1-2580	YLR347C
561	OG0000561	augustus_masked-HE576752-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.68&CDS=1-906	YLR348C
562	OG0000562	augustus_masked-HE576752-processed-gene-7.50-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.50&CDS=1-2556	YLR352W
563	OG0000563	augustus_masked-HE576752-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.52&CDS=1-3708	YPL012W
564	OG0000564	augustus_masked-HE576752-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.71&CDS=1-1062	YPL011C
565	OG0000565	genemark-HE576752-processed-gene-7.87-mRNA-1_1&gene=genemark-HE576752-processed-gene-7.87&CDS=1-654	YPL010W
566	OG0000566	snap_masked-HE576752-processed-gene-7.13-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-7.13&CDS=1-1968	YPR007C
567	OG0000567	genemark-HE576752-processed-gene-7.89-mRNA-1_1&gene=genemark-HE576752-processed-gene-7.89&CDS=1-1662	YPR006C
568	OG0000568	augustus_masked-HE576752-processed-gene-7.55-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.55&CDS=1-1071	YPR005C
569	OG0000569	augustus_masked-HE576752-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.74&CDS=1-1725	YER165W
570	OG0000570	augustus_masked-HE576752-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.75&CDS=1-4371	YER164W
571	OG0000571	augustus_masked-HE576752-processed-gene-7.56-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.56&CDS=1-1137	YMR021C
572	OG0000572	genemark-HE576752-processed-gene-7.92-mRNA-1_1&gene=genemark-HE576752-processed-gene-7.92&CDS=1-711	YER163C
573	OG0000573	augustus_masked-HE576752-processed-gene-7.58-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.58&CDS=1-2337	YER162C
574	OG0000574	augustus_masked-HE576752-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.59&CDS=1-1047	YER161C
575	OG0000575	augustus_masked-HE576752-processed-gene-7.60-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.60&CDS=1-360	YER159C
576	OG0000576	augustus_masked-HE576752-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.62&CDS=1-1944	YER158C
577	OG0000577	augustus_masked-HE576752-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.76&CDS=1-2532	YER157W
578	OG0000578	augustus_masked-HE576752-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.63&CDS=1-1017	YER156C
579	OG0000579	augustus_masked-HE576752-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.64&CDS=1-6378	YER155C
580	OG0000580	augustus_masked-HE576752-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.78&CDS=1-1152	YER154W
581	OG0000581	augustus_masked-HE576752-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.65&CDS=1-4851	YER151C
582	OG0000582	augustus_masked-HE576752-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.79&CDS=1-927	YDR075W
583	OG0000583	augustus_masked-HE576752-processed-gene-7.66-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.66&CDS=1-1260	YER149C
584	OG0000584	augustus_masked-HE576752-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.80&CDS=1-756	YER148W
585	OG0000585	augustus_masked-HE576752-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.67&CDS=1-1884	YER147C
586	OG0000586	augustus_masked-HE576752-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.81&CDS=1-270	YER146W
587	OG0000587	augustus_masked-HE576752-processed-gene-8.0-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.0&CDS=1-1248	YER145C
588	OG0000588	augustus_masked-HE576752-processed-gene-8.5-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.5&CDS=1-1272	YER143W
589	OG0000589	augustus_masked-HE576752-processed-gene-8.4-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.4&CDS=1-1338	YDL084W
590	OG0000590	snap_masked-HE576752-processed-gene-8.74-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-8.74&CDS=1-939	YMR144W
591	OG0000591	augustus_masked-HE576752-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.26&CDS=1-321	YDL081C
592	OG0000592	genemark-HE576752-processed-gene-8.127-mRNA-1_1&gene=genemark-HE576752-processed-gene-8.127&CDS=1-1875	YDL080C
593	OG0000593	snap_masked-HE576752-processed-gene-8.78-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-8.78&CDS=1-1134	YMR139W
594	OG0000594	genemark-HE576752-processed-gene-8.129-mRNA-1_1&gene=genemark-HE576752-processed-gene-8.129&CDS=1-1029	YDL078C
595	OG0000595	augustus_masked-HE576752-processed-gene-8.8-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.8&CDS=1-786	YLR040C
596	OG0000596	augustus_masked-HE576752-processed-gene-8.9-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.9&CDS=1-2991	YLR039C
597	OG0000597	snap_masked-HE576752-processed-gene-8.58-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-8.58&CDS=1-246	YLR038C
598	OG0000598	snap_masked-HE576752-processed-gene-8.59-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-8.59&CDS=1-2136	YLR035C
599	OG0000599	augustus_masked-HE576752-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.11&CDS=1-1428	YLR034C
600	OG0000600	augustus_masked-HE576752-processed-gene-8.29-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.29&CDS=1-1452	YLR033W
601	OG0000601	augustus_masked-HE576752-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.30&CDS=1-7137	YMR128W
602	OG0000602	augustus_masked-HE576752-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.32&CDS=1-1785	YNL008C
603	OG0000603	augustus_masked-HE576752-processed-gene-8.14-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.14&CDS=1-1263	YLR027C
604	OG0000604	augustus_masked-HE576752-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.15&CDS=1-1131	YLR026C
605	OG0000605	augustus_masked-HE576752-processed-gene-8.33-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.33&CDS=1-717	YLR025W
606	OG0000606	genemark-HE576752-processed-gene-8.115-mRNA-1_1&gene=genemark-HE576752-processed-gene-8.115&CDS=1-609	YKL141W
607	OG0000607	augustus_masked-HE576752-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.17&CDS=1-1791	YKL140W
608	OG0000608	genemark-HE576752-processed-gene-8.117-mRNA-1_1&gene=genemark-HE576752-processed-gene-8.117&CDS=1-1560	YKL139W
609	OG0000609	augustus_masked-HE576752-processed-gene-8.34-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.34&CDS=1-558	YKL138C
610	OG0000610	augustus_masked-HE576752-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.19&CDS=1-333	YKL137W
611	OG0000611	augustus_masked-HE576752-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.35&CDS=1-2166	YKL135C
612	OG0000612	augustus_masked-HE576752-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.36&CDS=1-2319	YKL134C
613	OG0000613	augustus_masked-HE576752-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.37&CDS=1-1317	YMR113W
614	OG0000614	augustus_masked-HE576752-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.38&CDS=1-735	YKL130C
615	OG0000615	augustus_masked-HE576752-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.39&CDS=1-3696	YMR109W
616	OG0000616	genemark-HE576752-processed-gene-8.142-mRNA-1_1&gene=genemark-HE576752-processed-gene-8.142&CDS=1-891	YKL128C
617	OG0000617	augustus_masked-HE576752-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.41&CDS=1-327	YMR107W
618	OG0000618	augustus_masked-HE576752-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.22&CDS=1-2745	YKL125W
619	OG0000619	augustus_masked-HE576752-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.23&CDS=1-1719	YKL124W
620	OG0000620	augustus_masked-HE576752-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.42&CDS=1-471	YKL122C
621	OG0000621	augustus_masked-HE576752-processed-gene-9.126-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.126&CDS=1-2553	YMR102C
622	OG0000622	augustus_masked-HE576752-processed-gene-9.127-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.127&CDS=1-969	YKL120W
623	OG0000623	augustus_masked-HE576752-processed-gene-9.130-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.130&CDS=1-636	YKL119C
624	OG0000624	augustus_masked-HE576752-processed-gene-9.128-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.128&CDS=1-714	YKL117W
625	OG0000625	augustus_masked-HE576752-processed-gene-9.131-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.131&CDS=1-1587	YKL116C
626	OG0000626	augustus_masked-HE576752-processed-gene-9.132-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.132&CDS=1-1077	YKL114C
627	OG0000627	augustus_masked-HE576752-processed-gene-9.157-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.157&CDS=1-936	YKL110C
628	OG0000628	augustus_masked-HE576752-processed-gene-9.134-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.134&CDS=1-1101	YKL108W
629	OG0000629	augustus_masked-HE576752-processed-gene-9.135-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.135&CDS=1-1326	YNR029C
630	OG0000630	augustus_masked-HE576752-processed-gene-9.159-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.159&CDS=1-987	YNR027W
631	OG0000631	augustus_masked-HE576752-processed-gene-9.136-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.136&CDS=1-1764	YNR026C
632	OG0000632	augustus_masked-HE576752-processed-gene-9.137-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.137&CDS=1-447	YNR022C
633	OG0000633	augustus_masked-HE576752-processed-gene-9.138-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.138&CDS=1-687	YNR020C
634	OG0000634	augustus_masked-HE576752-processed-gene-9.162-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.162&CDS=1-669	YNR018W
635	OG0000635	augustus_masked-HE576752-processed-gene-9.163-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.163&CDS=1-648	YNR017W
636	OG0000636	augustus_masked-HE576752-processed-gene-9.139-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.139&CDS=1-786	YMR206W
637	OG0000637	augustus_masked-HE576752-processed-gene-9.140-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.140&CDS=1-1140	YNR015W
638	OG0000638	maker-HE576752-snap-gene-9.62-mRNA-1_1&gene=maker-HE576752-snap-gene-9.62&CDS=1-2616	YNR013C
639	OG0000639	augustus_masked-HE576752-processed-gene-9.164-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.164&CDS=1-1407	YNR012W
640	OG0000640	maker-HE576752-augustus-gene-9.56-mRNA-1_1&gene=maker-HE576752-augustus-gene-9.56&CDS=1-3375	YNR011C
641	OG0000641	augustus_masked-HE576752-processed-gene-9.165-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.165&CDS=1-459	YNR010W
642	OG0000642	augustus_masked-HE576752-processed-gene-9.167-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.167&CDS=1-789	YNR009W
643	OG0000643	augustus_masked-HE576752-processed-gene-9.143-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.143&CDS=1-1572	YKL045W
644	OG0000644	augustus_masked-HE576752-processed-gene-9.144-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.144&CDS=1-1563	YKL043W
645	OG0000645	snap_masked-HE576752-processed-gene-9.86-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-9.86&CDS=1-906	YKL042W
646	OG0000646	augustus_masked-HE576752-processed-gene-9.146-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.146&CDS=1-2238	YKL039W
647	OG0000647	augustus_masked-HE576752-processed-gene-9.147-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.147&CDS=1-3423	YKL038W
648	OG0000648	maker-HE576752-snap-gene-9.63-mRNA-1_1&gene=maker-HE576752-snap-gene-9.63&CDS=1-2961	YKL034W
649	OG0000649	augustus_masked-HE576752-processed-gene-9.149-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.149&CDS=1-3183	YKL033W
650	OG0000650	augustus_masked-HE576752-processed-gene-9.169-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.169&CDS=1-1665	YKL032C
651	OG0000651	augustus_masked-HE576752-processed-gene-9.171-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.171&CDS=1-1977	YKL029C
652	OG0000652	augustus_masked-HE576752-processed-gene-9.150-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.150&CDS=1-1413	YKL028W
653	OG0000653	maker-HE576752-augustus-gene-9.58-mRNA-1_1&gene=maker-HE576752-augustus-gene-9.58&CDS=1-2163	YBR291C
654	OG0000654	augustus_masked-HE576752-processed-gene-9.172-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.172&CDS=1-951	YBR290W
655	OG0000655	augustus_masked-HE576752-processed-gene-9.173-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.173&CDS=1-2799	YBR289W
656	OG0000656	augustus_masked-HE576752-processed-gene-9.153-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.153&CDS=1-3930	YKR009C
657	OG0000657	augustus_masked-HE576752-processed-gene-9.174-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.174&CDS=1-234	YHR001W-A
658	OG0000658	augustus_masked-HE576752-processed-gene-9.175-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.175&CDS=1-1800	YKR008W
659	OG0000659	augustus_masked-HE576752-processed-gene-9.176-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.176&CDS=1-522	YKR007W
660	OG0000660	augustus_masked-HE576752-processed-gene-9.154-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.154&CDS=1-747	YKR006C
661	OG0000661	augustus_masked-HE576752-processed-gene-9.155-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.155&CDS=1-1773	YKR005C
662	OG0000662	augustus_masked-HE576752-processed-gene-9.156-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.156&CDS=1-1212	YKR004C
663	OG0000663	augustus_masked-HE576752-processed-gene-9.178-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.178&CDS=1-1743	YKR002W
664	OG0000664	augustus_masked-HE576752-processed-gene-10.57-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.57&CDS=1-2166	YKR001C
665	OG0000665	augustus_masked-HE576752-processed-gene-10.58-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.58&CDS=1-606	YKL001C
666	OG0000666	augustus_masked-HE576752-processed-gene-10.62-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.62&CDS=1-699	YKL002W
667	OG0000667	snap_masked-HE576752-processed-gene-10.6-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.6&CDS=1-1470	YKL090W
668	OG0000668	augustus_masked-HE576752-processed-gene-10.63-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.63&CDS=1-1626	YKL089W
669	OG0000669	snap_masked-HE576752-processed-gene-10.35-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.35&CDS=1-2679	YHL007C
670	OG0000670	snap_masked-HE576752-processed-gene-10.36-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.36&CDS=1-4284	YKL010C
671	OG0000671	augustus_masked-HE576752-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.64&CDS=1-1350	YHL002W
672	OG0000672	augustus_masked-HE576752-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.65&CDS=1-2625	YGL163C
673	OG0000673	augustus_masked-HE576752-processed-gene-10.66-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.66&CDS=1-1236	YGL164C
674	OG0000674	augustus_masked-HE576752-processed-gene-10.91-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.91&CDS=1-873	YGL166W
675	OG0000675	snap_masked-HE576752-processed-gene-10.13-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.13&CDS=1-2277	YGR003W
676	OG0000676	augustus_masked-HE576752-processed-gene-10.68-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.68&CDS=1-1539	YGR004W
677	OG0000677	augustus_masked-HE576752-processed-gene-10.92-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.92&CDS=1-234	YLR325C
678	OG0000678	maker-HE576752-snap-gene-10.55-mRNA-1_1&gene=maker-HE576752-snap-gene-10.55&CDS=1-1248	YGR005C
679	OG0000679	augustus_masked-HE576752-processed-gene-10.69-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.69&CDS=1-765	YGR006W
680	OG0000680	snap_masked-HE576752-processed-gene-10.16-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.16&CDS=1-1077	YGR007W
681	OG0000681	maker-HE576752-augustus-gene-10.153-mRNA-1_1&gene=maker-HE576752-augustus-gene-10.153&CDS=1-714	YGR001C
682	OG0000682	maker-HE576752-augustus-gene-10.154-mRNA-1_1&gene=maker-HE576752-augustus-gene-10.154&CDS=1-2217	YGL001C
683	OG0000683	snap_masked-HE576752-processed-gene-10.21-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.21&CDS=1-2355	YGR014W
684	OG0000684	augustus_masked-HE576752-processed-gene-10.94-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.94&CDS=1-918	YGR015C
685	OG0000685	augustus_masked-HE576752-processed-gene-10.95-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.95&CDS=1-1407	YGR002C
686	OG0000686	augustus_masked-HE576752-processed-gene-10.72-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.72&CDS=1-1731	YMR319C
687	OG0000687	augustus_masked-HE576752-processed-gene-10.73-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.73&CDS=1-834	YKL095W
688	OG0000688	augustus_masked-HE576752-processed-gene-10.74-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.74&CDS=1-963	YKL094W
689	OG0000689	snap_masked-HE576752-processed-gene-10.45-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.45&CDS=1-3261	YKL092C
690	OG0000690	augustus_masked-HE576752-processed-gene-10.76-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.76&CDS=1-651	YMR077C
691	OG0000691	augustus_masked-HE576752-processed-gene-10.77-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.77&CDS=1-1683	YNR030W
692	OG0000692	augustus_masked-HE576752-processed-gene-10.78-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.78&CDS=1-1080	YNR032W
693	OG0000693	snap_masked-HE576752-processed-gene-10.47-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.47&CDS=1-219	YNR032C-A
694	OG0000694	augustus_masked-HE576752-processed-gene-10.79-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.79&CDS=1-2307	YNR033W
695	OG0000695	augustus_masked-HE576752-processed-gene-10.80-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.80&CDS=1-948	YNR034W
696	OG0000696	augustus_masked-HE576752-processed-gene-10.101-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.101&CDS=1-570	YNR036C
697	OG0000697	augustus_masked-HE576752-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.83&CDS=1-1947	YNR038W
698	OG0000698	augustus_masked-HE576752-processed-gene-10.102-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.102&CDS=1-1878	YNR039C
699	OG0000699	augustus_masked-HE576752-processed-gene-10.84-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.84&CDS=1-774	YNR040W
700	OG0000700	augustus_masked-HE576752-processed-gene-10.103-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.103&CDS=1-1113	YNR041C
701	OG0000701	augustus_masked-HE576752-processed-gene-10.85-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.85&CDS=1-1200	YNR043W
702	OG0000702	augustus_masked-HE576752-processed-gene-10.104-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.104&CDS=1-2013	YCR084C
703	OG0000703	genemark-HE576752-processed-gene-11.100-mRNA-1_1&gene=genemark-HE576752-processed-gene-11.100&CDS=1-405	YNR046W
704	OG0000704	augustus_masked-HE576752-processed-gene-11.2-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-11.2&CDS=1-669	YNR049C
