	OrthologID	Komagataella_pastoris	Saccharomyces_cerevisiae
367	OG0000367	genemark-chromosome_2-processed-gene-22.190-mRNA-1_1&gene=genemark-chromosome_2-processed-gene-22.190&CDS=1-2466	YJR059W, YKL198C
368	OG0000368	snap_masked-chromosome_2-processed-gene-22.312-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-22.312&CDS=1-1563, snap_masked-chromosome_4-processed-gene-0.25-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-0.25&CDS=1-1518	YMR319C
369	OG0000369	snap_masked-chromosome_3-processed-gene-1.114-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-1.114&CDS=1-552	YMR242C, YOR312C
370	OG0000370	snap_masked-chromosome_3-processed-gene-2.125-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-2.125&CDS=1-612	YBL027W, YBR084C-A
371	OG0000371	snap_masked-chromosome_3-processed-gene-2.130-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-2.130&CDS=1-1818, snap_masked-chromosome_4-processed-gene-6.55-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-6.55&CDS=1-1806	YDR380W
372	OG0000372	genemark-chromosome_3-processed-gene-2.109-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-2.109&CDS=1-2151	YKL126W, YMR104C
373	OG0000373	snap_masked-chromosome_3-processed-gene-2.179-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-2.179&CDS=1-1764, snap_masked-chromosome_4-processed-gene-7.63-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-7.63&CDS=1-1725	YML123C
374	OG0000374	snap_masked-chromosome_3-processed-gene-3.89-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-3.89&CDS=1-7860	YBR140C, YOL081W
375	OG0000375	genemark-chromosome_3-processed-gene-3.37-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-3.37&CDS=1-405	YDR471W, YHR010W
376	OG0000376	snap_masked-chromosome_3-processed-gene-3.102-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-3.102&CDS=1-1620, snap_masked-chromosome_4-processed-gene-5.112-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-5.112&CDS=1-1776	YPL265W
377	OG0000377	snap_masked-chromosome_3-processed-gene-16.142-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.142&CDS=1-840, snap_masked-chromosome_3-processed-gene-4.130-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.130&CDS=1-867	YDR284C
378	OG0000378	snap_masked-chromosome_3-processed-gene-4.146-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.146&CDS=1-2106, snap_masked-chromosome_4-processed-gene-15.14-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-15.14&CDS=1-1854	YDL206W
379	OG0000379	snap_masked-chromosome_3-processed-gene-4.149-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.149&CDS=1-1470	YEL047C, YJR051W
380	OG0000380	snap_masked-chromosome_3-processed-gene-4.178-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.178&CDS=1-4086	YGR070W, YLR371W
381	OG0000381	genemark-chromosome_3-processed-gene-5.105-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-5.105&CDS=1-1518	YLR270W, YOR173W
382	OG0000382	snap_masked-chromosome_3-processed-gene-19.3-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-19.3&CDS=1-744, snap_masked-chromosome_3-processed-gene-5.141-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-5.141&CDS=1-285	YNL322C
383	OG0000383	maker-chromosome_3-snap-gene-5.57-mRNA-1_1&gene=maker-chromosome_3-snap-gene-5.57&CDS=1-849	YLR287C-A, YOR182C
384	OG0000384	augustus_masked-chromosome_3-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-6.8&CDS=1-3627	YGR238C, YHR158C
385	OG0000385	snap_masked-chromosome_3-processed-gene-6.71-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-6.71&CDS=1-333	YJR094W-A, YPR043W
386	OG0000386	snap_masked-chromosome_3-processed-gene-6.78-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-6.78&CDS=1-3318	YDR122W, YLR096W
387	OG0000387	augustus_masked-chromosome_3-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-7.15&CDS=1-1935	YBR216C, YGL060W
388	OG0000388	snap_masked-chromosome_3-processed-gene-7.102-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-7.102&CDS=1-1941, snap_masked-chromosome_3-processed-gene-7.96-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-7.96&CDS=1-1842	YJR045C
389	OG0000389	snap_masked-chromosome_3-processed-gene-7.92-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-7.92&CDS=1-1809	YDR463W, YHR006W
390	OG0000390	snap_masked-chromosome_3-processed-gene-19.0-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-19.0&CDS=1-1581, snap_masked-chromosome_3-processed-gene-7.119-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-7.119&CDS=1-969	YDL225W
391	OG0000391	snap_masked-chromosome_3-processed-gene-7.122-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-7.122&CDS=1-1467	YLR260W, YOR171C
392	OG0000392	augustus_masked-chromosome_3-processed-gene-9.117-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-9.117&CDS=1-1341	YDR200C, YLR238W
393	OG0000393	maker-chromosome_3-augustus-gene-9.151-mRNA-1_1&gene=maker-chromosome_3-augustus-gene-9.151&CDS=1-3981	YBR294W, YLR092W
394	OG0000394	snap_masked-chromosome_3-processed-gene-9.98-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-9.98&CDS=1-1071	YAL034C, YOR338W
395	OG0000395	augustus_masked-chromosome_3-processed-gene-10.118-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-10.118&CDS=1-1356	YHR115C, YNL116W
396	OG0000396	snap_masked-chromosome_3-processed-gene-11.75-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-11.75&CDS=1-732	YGL096W, YPL177C
397	OG0000397	maker-chromosome_3-augustus-gene-11.5-mRNA-1_1&gene=maker-chromosome_3-augustus-gene-11.5&CDS=1-4647	YIL109C, YNL049C
398	OG0000398	snap_masked-chromosome_3-processed-gene-11.88-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-11.88&CDS=1-456	YIL111W, YNL052W
399	OG0000399	augustus_masked-chromosome_3-processed-gene-12.115-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-12.115&CDS=1-3666	YKL091C, YMR079W
400	OG0000400	snap_masked-chromosome_3-processed-gene-12.39-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.39&CDS=1-4809	YCL068C, YCR038C
401	OG0000401	snap_masked-chromosome_3-processed-gene-13.142-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.142&CDS=1-2268, snap_masked-chromosome_3-processed-gene-13.154-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.154&CDS=1-2892	YOR032C
402	OG0000402	augustus_masked-chromosome_3-processed-gene-14.39-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-14.39&CDS=1-1812	YGR092W, YPR111W
403	OG0000403	snap_masked-chromosome_3-processed-gene-15.32-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.32&CDS=1-771	YDR272W, YOR040W
404	OG0000404	snap_masked-chromosome_3-processed-gene-16.117-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.117&CDS=1-990, snap_masked-chromosome_4-processed-gene-11.34-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-11.34&CDS=1-1023	YNL231C
405	OG0000405	snap_masked-chromosome_3-processed-gene-18.87-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-18.87&CDS=1-2679	YFR022W, YOR018W
406	OG0000406	augustus_masked-chromosome_3-processed-gene-19.72-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-19.72&CDS=1-1491	YDL224C, YNL197C
407	OG0000407	snap_masked-chromosome_3-processed-gene-19.53-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-19.53&CDS=1-2436, snap_masked-chromosome_4-processed-gene-9.74-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-9.74&CDS=1-2388	YLR241W
408	OG0000408	snap_masked-chromosome_3-processed-gene-20.43-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-20.43&CDS=1-2496	YDL109C, YGL144C
409	OG0000409	snap_masked-chromosome_3-processed-gene-20.21-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-20.21&CDS=1-2130, snap_masked-chromosome_3-processed-gene-21.191-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-21.191&CDS=1-1665	YML020W
410	OG0000410	snap_masked-chromosome_3-processed-gene-20.30-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-20.30&CDS=1-378	YGR243W, YHR162W
411	OG0000411	snap_masked-chromosome_3-processed-gene-21.221-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-21.221&CDS=1-1623	YHL017W, YKL039W
412	OG0000412	snap_masked-chromosome_3-processed-gene-21.202-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-21.202&CDS=1-747	YGR248W, YHR163W
413	OG0000413	snap_masked-chromosome_3-processed-gene-21.247-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-21.247&CDS=1-399	YHL001W, YKL006W
414	OG0000414	snap_masked-chromosome_4-processed-gene-0.6-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-0.6&CDS=1-330	YEL039C, YJR048W
415	OG0000415	snap_masked-chromosome_4-processed-gene-0.9-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-0.9&CDS=1-1734	YEL041W, YJR049C
416	OG0000416	snap_masked-chromosome_4-processed-gene-1.3-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-1.3&CDS=1-387	YFL034C-A, YLR061W
417	OG0000417	snap_masked-chromosome_4-processed-gene-1.22-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-1.22&CDS=1-3648	YAL017W, YOL045W
418	OG0000418	snap_masked-chromosome_4-processed-gene-2.40-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-2.40&CDS=1-1308	YDR132C, YLR108C
419	OG0000419	snap_masked-chromosome_4-processed-gene-3.38-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-3.38&CDS=1-351	YDL075W, YLR406C
420	OG0000420	maker-chromosome_4-augustus-gene-3.107-mRNA-1_1&gene=maker-chromosome_4-augustus-gene-3.107&CDS=1-5082, snap_masked-chromosome_4-processed-gene-3.28-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-3.28&CDS=1-3954	YGR281W
421	OG0000421	snap_masked-chromosome_4-processed-gene-4.2-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-4.2&CDS=1-1680	YIR031C, YNL117W
422	OG0000422	snap_masked-chromosome_4-processed-gene-4.13-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-4.13&CDS=1-597	YIL133C, YNL069C
423	OG0000423	snap_masked-chromosome_4-processed-gene-4.38-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-4.38&CDS=1-564	YNL096C, YOR096W
424	OG0000424	snap_masked-chromosome_4-processed-gene-4.47-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-4.47&CDS=1-1803	YNL299W, YOL115W
425	OG0000425	augustus_masked-chromosome_4-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-5.17&CDS=1-792	YHR203C, YJR145C
426	OG0000426	maker-chromosome_4-augustus-gene-5.69-mRNA-1_1&gene=maker-chromosome_4-augustus-gene-5.69&CDS=1-1482	YHR208W, YJR148W
427	OG0000427	snap_masked-chromosome_4-processed-gene-5.127-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-5.127&CDS=1-381	YGR034W, YLR344W
428	OG0000428	maker-chromosome_4-snap-gene-5.2-mRNA-1_1&gene=maker-chromosome_4-snap-gene-5.2&CDS=1-1326	YIR013C, YLR013W
429	OG0000429	snap_masked-chromosome_4-processed-gene-5.104-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-5.104&CDS=1-2730	YKL072W, YMR053C
430	OG0000430	snap_masked-chromosome_4-processed-gene-5.109-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-5.109&CDS=1-306	YGR209C, YLR043C
431	OG0000431	genemark-chromosome_4-processed-gene-5.179-mRNA-1_1&gene=genemark-chromosome_4-processed-gene-5.179&CDS=1-618	YER074W, YIL069C
432	OG0000432	augustus_masked-chromosome_4-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-6.15&CDS=1-5064	YIL149C, YKR095W
433	OG0000433	snap_masked-chromosome_4-processed-gene-6.64-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-6.64&CDS=1-3915	YER132C, YGL197W
434	OG0000434	snap_masked-chromosome_4-processed-gene-6.66-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-6.66&CDS=1-732	YDR151C, YLR136C
435	OG0000435	snap_masked-chromosome_4-processed-gene-7.71-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-7.71&CDS=1-435	YGR118W, YPR132W
436	OG0000436	maker-chromosome_4-snap-gene-7.189-mRNA-1_1&gene=maker-chromosome_4-snap-gene-7.189&CDS=1-1383	YNL108C, YOR110W
437	OG0000437	snap_masked-chromosome_4-processed-gene-8.104-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-8.104&CDS=1-2037	YBL009W, YGL021W
438	OG0000438	snap_masked-chromosome_4-processed-gene-8.81-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-8.81&CDS=1-309	YGR008C, YLR327C
439	OG0000439	snap_masked-chromosome_4-processed-gene-8.107-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-8.107&CDS=1-591	YDL082W, YMR142C
440	OG0000440	snap_masked-chromosome_4-processed-gene-8.86-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-8.86&CDS=1-441	YDL083C, YMR143W
441	OG0000441	maker-chromosome_4-augustus-gene-8.9-mRNA-1_1&gene=maker-chromosome_4-augustus-gene-8.9&CDS=1-1332	YGR038W, YLR350W
442	OG0000442	snap_masked-chromosome_4-processed-gene-8.117-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-8.117&CDS=1-1233	YCR094W, YNR048W
443	OG0000443	snap_masked-chromosome_4-processed-gene-8.96-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-8.96&CDS=1-1413	YFL048C, YLR080W
444	OG0000444	augustus_masked-chromosome_4-processed-gene-9.136-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-9.136&CDS=1-2310	YCL051W, YDR528W
445	OG0000445	augustus_masked-chromosome_4-processed-gene-9.145-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-9.145&CDS=1-1707	YDR206W, YLR233C
446	OG0000446	snap_masked-chromosome_4-processed-gene-9.75-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-9.75&CDS=1-1701	YDR263C, YOR033C
447	OG0000447	snap_masked-chromosome_4-processed-gene-9.83-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-9.83&CDS=1-786	YGR136W, YPR154W
448	OG0000448	snap_masked-chromosome_4-processed-gene-9.84-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-9.84&CDS=1-513	YGR131W, YPR149W
449	OG0000449	snap_masked-chromosome_4-processed-gene-10.150-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-10.150&CDS=1-768	YLR441C, YML063W
450	OG0000450	snap_masked-chromosome_4-processed-gene-10.152-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-10.152&CDS=1-582	YBR067C, YIL011W
451	OG0000451	snap_masked-chromosome_4-processed-gene-10.129-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-10.129&CDS=1-2019	YMR119W, YNL008C
452	OG0000452	snap_masked-chromosome_4-processed-gene-11.45-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-11.45&CDS=1-987	YJL133W, YKR052C
453	OG0000453	maker-chromosome_4-snap-gene-11.1-mRNA-1_1&gene=maker-chromosome_4-snap-gene-11.1&CDS=1-3804	YCR067C, YNR026C
454	OG0000454	maker-chromosome_4-snap-gene-11.2-mRNA-1_1&gene=maker-chromosome_4-snap-gene-11.2&CDS=1-291	YPR169W-A, YPR170W-B
455	OG0000455	snap_masked-chromosome_4-processed-gene-12.31-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-12.31&CDS=1-1437	YCL040W, YDR516C
456	OG0000456	snap_masked-chromosome_4-processed-gene-13.72-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-13.72&CDS=1-498	YGR085C, YPR102C
457	OG0000457	snap_masked-chromosome_4-processed-gene-13.81-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-13.81&CDS=1-1773	YJL172W, YOL153C
458	OG0000458	genemark-chromosome_4-processed-gene-13.20-mRNA-1_1&gene=genemark-chromosome_4-processed-gene-13.20&CDS=1-2771	YJL084C, YKR021W
459	OG0000459	snap_masked-chromosome_4-processed-gene-13.130-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-13.130&CDS=1-471	YHL034C, YLL046C
460	OG0000460	genemark-chromosome_4-processed-gene-14.131-mRNA-1_1&gene=genemark-chromosome_4-processed-gene-14.131&CDS=1-849	YDR287W, YHR046C
461	OG0000461	snap_masked-chromosome_4-processed-gene-14.21-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-14.21&CDS=1-2484	YJR091C, YPR042C
462	OG0000462	snap_masked-chromosome_4-processed-gene-15.49-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-15.49&CDS=1-2343	YBR001C, YDR001C
463	OG0000463	snap_masked-chromosome_4-processed-gene-15.23-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-15.23&CDS=1-807	YCL036W, YDR514C
464	OG0000464	snap_masked-chromosome_4-processed-gene-15.30-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-15.30&CDS=1-2094	YML109W, YMR273C
465	OG0000465	snap_masked-chromosome_4-processed-gene-15.34-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-15.34&CDS=1-306	YCL035C, YDR513W
466	OG0000466	augustus_masked-chromosome_4-processed-gene-16.219-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-16.219&CDS=1-1227	YJL137C, YKR058W
467	OG0000467	snap_masked-chromosome_4-processed-gene-16.92-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-16.92&CDS=1-627	YDL127W, YDL179W
468	OG0000468	maker-chromosome_4-snap-gene-16.208-mRNA-1_1&gene=maker-chromosome_4-snap-gene-16.208&CDS=1-333	YMR230W, YOR293W
469	OG0000469	snap_masked-chromosome_4-processed-gene-16.56-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-16.56&CDS=1-1272	YGR141W, YPR157W
470	OG0000470	snap_masked-chromosome_4-processed-gene-16.103-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-16.103&CDS=1-3285	YIR033W, YKL020C
471	OG0000471	snap_masked-chromosome_1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.48&CDS=1-1620	YLL055W
472	OG0000472	snap_masked-chromosome_1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.51&CDS=1-2772	YBR017C
473	OG0000473	snap_masked-chromosome_1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.71&CDS=1-1983	YIR027C
474	OG0000474	snap_masked-chromosome_1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.52&CDS=1-1485	YBR006W
475	OG0000475	snap_masked-chromosome_1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.53&CDS=1-1542	YDR004W
476	OG0000476	augustus_masked-chromosome_1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-0.32&CDS=1-987	YDR005C
477	OG0000477	snap_masked-chromosome_1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.55&CDS=1-858	YBR011C
478	OG0000478	snap_masked-chromosome_1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.72&CDS=1-711	YDR007W
479	OG0000479	snap_masked-chromosome_1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.56&CDS=1-972	YOL094C
480	OG0000480	snap_masked-chromosome_1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.57&CDS=1-1755	YDR484W
481	OG0000481	augustus_masked-chromosome_1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-0.19&CDS=1-1029	YBR034C
482	OG0000482	maker-chromosome_1-augustus-gene-0.2-mRNA-1_1&gene=maker-chromosome_1-augustus-gene-0.2&CDS=1-3720	YEL011W
483	OG0000483	augustus_masked-chromosome_1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-0.21&CDS=1-384	YJL104W
484	OG0000484	snap_masked-chromosome_1-processed-gene-0.60-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.60&CDS=1-1587	YKR023W
485	OG0000485	snap_masked-chromosome_1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.77&CDS=1-2133	YJL106W
486	OG0000486	maker-chromosome_1-snap-gene-0.1-mRNA-1_1&gene=maker-chromosome_1-snap-gene-0.1&CDS=1-5142	YJL108C
487	OG0000487	snap_masked-chromosome_1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.63&CDS=1-3024	YJL080C
488	OG0000488	snap_masked-chromosome_1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.64&CDS=1-1665	YFR016C
489	OG0000489	snap_masked-chromosome_1-processed-gene-1.0-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.0&CDS=1-705	YDR054C
490	OG0000490	snap_masked-chromosome_1-processed-gene-1.1-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.1&CDS=1-1494	YDR052C
491	OG0000491	snap_masked-chromosome_1-processed-gene-1.6-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.6&CDS=1-1188	YGR286C
492	OG0000492	snap_masked-chromosome_1-processed-gene-1.7-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.7&CDS=1-1077	YPL096W
493	OG0000493	snap_masked-chromosome_1-processed-gene-1.9-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.9&CDS=1-2499	YDR074W
494	OG0000494	snap_masked-chromosome_1-processed-gene-1.10-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.10&CDS=1-1560	YBL019W
495	OG0000495	augustus_masked-chromosome_1-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-1.155&CDS=1-876	YLR208W
496	OG0000496	snap_masked-chromosome_1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.15&CDS=1-1908	YIL067C
497	OG0000497	augustus_masked-chromosome_1-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-1.156&CDS=1-2838	YKL073W
498	OG0000498	snap_masked-chromosome_1-processed-gene-1.17-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.17&CDS=1-1881	YKL074C
499	OG0000499	snap_masked-chromosome_1-processed-gene-1.43-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.43&CDS=1-969	YMR055C
500	OG0000500	snap_masked-chromosome_1-processed-gene-1.45-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.45&CDS=1-936	YLR340W
501	OG0000501	snap_masked-chromosome_1-processed-gene-1.21-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.21&CDS=1-4644	YML103C
502	OG0000502	snap_masked-chromosome_1-processed-gene-1.46-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.46&CDS=1-2595	YMR268C
503	OG0000503	snap_masked-chromosome_1-processed-gene-1.22-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.22&CDS=1-483	YMR269W
504	OG0000504	augustus_masked-chromosome_1-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-1.140&CDS=1-1470	YOR046C
505	OG0000505	snap_masked-chromosome_1-processed-gene-1.24-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.24&CDS=1-669	YOR052C
506	OG0000506	augustus_masked-chromosome_1-processed-gene-1.161-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-1.161&CDS=1-1128	YKR070W
507	OG0000507	snap_masked-chromosome_1-processed-gene-1.48-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.48&CDS=1-1626	YKR069W
508	OG0000508	snap_masked-chromosome_1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.25&CDS=1-1314	YOR051C
509	OG0000509	maker-chromosome_1-snap-gene-1.118-mRNA-1_1&gene=maker-chromosome_1-snap-gene-1.118&CDS=1-570	YKR068C
510	OG0000510	snap_masked-chromosome_1-processed-gene-1.50-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.50&CDS=1-1029	YNL263C
511	OG0000511	snap_masked-chromosome_1-processed-gene-1.27-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.27&CDS=1-6618	YNL262W
512	OG0000512	snap_masked-chromosome_1-processed-gene-1.28-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.28&CDS=1-1389	YNL261W
513	OG0000513	snap_masked-chromosome_1-processed-gene-1.29-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.29&CDS=1-903	YHR156C
514	OG0000514	snap_masked-chromosome_1-processed-gene-1.52-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.52&CDS=1-222	YNL259C
515	OG0000515	snap_masked-chromosome_1-processed-gene-1.54-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.54&CDS=1-609	YHR013C
516	OG0000516	snap_masked-chromosome_1-processed-gene-1.32-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.32&CDS=1-717	YDR472W
517	OG0000517	snap_masked-chromosome_1-processed-gene-1.34-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.34&CDS=1-1377	YOR023C
518	OG0000518	snap_masked-chromosome_1-processed-gene-1.35-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.35&CDS=1-606	YOR021C
519	OG0000519	snap_masked-chromosome_1-processed-gene-1.55-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.55&CDS=1-2142	YOR022C
520	OG0000520	snap_masked-chromosome_1-processed-gene-1.56-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.56&CDS=1-456	YML030W
521	OG0000521	snap_masked-chromosome_1-processed-gene-1.57-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.57&CDS=1-1323	YDR148C
