	OrthologID	Saccharomyces_cerevisiae	Spathaspora_arborariae
298	OG0000298	YFL061W, YNL335W	genemark-KI547140.1-processed-gene-5.64-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.64&CDS=1-681
299	OG0000299	YFR013W, YOL017W	augustus_masked-KI547153.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-KI547153.1-processed-gene-0.78&CDS=1-1989
300	OG0000300	YGL031C, YGR148C	genemark-KI547139.1-processed-gene-2.55-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-2.55&CDS=1-465
301	OG0000301	YGL049C, YGR162W	genemark-KI547153.1-processed-gene-0.248-mRNA-1_1&gene=genemark-KI547153.1-processed-gene-0.248&CDS=1-3189
302	OG0000302	YGL071W, YPL202C	genemark-KI547155.1-processed-gene-0.259-mRNA-1_1&gene=genemark-KI547155.1-processed-gene-0.259&CDS=1-2145
303	OG0000303	YGL076C, YPL198W	maker-KI547139.1-snap-gene-6.153-mRNA-1_1&gene=maker-KI547139.1-snap-gene-6.153&CDS=1-723
304	OG0000304	YGL082W, YPL191C	genemark-KI547153.1-processed-gene-0.260-mRNA-1_1&gene=genemark-KI547153.1-processed-gene-0.260&CDS=1-1248
305	OG0000305	YGL096W, YPL177C	genemark-KI547159.1-processed-gene-0.35-mRNA-1_1&gene=genemark-KI547159.1-processed-gene-0.35&CDS=1-816
306	OG0000306	YGL133W, YPL216W	augustus_masked-KI547138.1-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-KI547138.1-processed-gene-4.41&CDS=1-3513
307	OG0000307	YGL135W, YPL220W	genemark-KI547138.1-processed-gene-4.97-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-4.97&CDS=1-651
308	OG0000308	YGL139W, YPL221W	augustus_masked-KI547141.1-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-KI547141.1-processed-gene-2.41&CDS=1-2112
309	OG0000309	YGL147C, YNL067W	genemark-KI547147.1-processed-gene-0.89-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-0.89&CDS=1-573
310	OG0000310	YGL162W, YPR009W	snap_masked-KI547143.1-processed-gene-3.11-mRNA-1_1&gene=snap_masked-KI547143.1-processed-gene-3.11&CDS=1-1065
311	OG0000311	YGL185C	genemark-KI547136.1-processed-gene-4.7-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-4.7&CDS=1-1086, maker-KI547144.1-augustus-gene-3.76-mRNA-1_1&gene=maker-KI547144.1-augustus-gene-3.76&CDS=1-2211
312	OG0000312	YGL186C	genemark-KI547135.1-processed-gene-6.103-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-6.103&CDS=1-1656, genemark-KI547142.1-processed-gene-2.86-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-2.86&CDS=1-1593
313	OG0000313	YGL205W	genemark-KI547141.1-processed-gene-1.47-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-1.47&CDS=1-2169, genemark-KI547141.1-processed-gene-1.63-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-1.63&CDS=1-2127
314	OG0000314	YGL209W	genemark-KI547146.1-processed-gene-3.11-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-3.11&CDS=1-1365, genemark-KI547150.1-processed-gene-0.39-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-0.39&CDS=1-1500
315	OG0000315	YGR008C, YLR327C	augustus_masked-KI547156.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-KI547156.1-processed-gene-0.8&CDS=1-267
316	OG0000316	YGR010W, YLR328W	genemark-KI547152.1-processed-gene-0.68-mRNA-1_1&gene=genemark-KI547152.1-processed-gene-0.68&CDS=1-1266
317	OG0000317	YGR027C, YLR333C	genemark-KI547157.1-processed-gene-0.92-mRNA-1_1&gene=genemark-KI547157.1-processed-gene-0.92&CDS=1-828
318	OG0000318	YGR038W, YLR350W	genemark-KI547138.1-processed-gene-6.36-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-6.36&CDS=1-726
319	OG0000319	YGR056W, YLR357W	maker-KI547134.1-augustus-gene-8.145-mRNA-1_1&gene=maker-KI547134.1-augustus-gene-8.145&CDS=1-2421
320	OG0000320	YGR070W, YLR371W	genemark-KI547140.1-processed-gene-5.47-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.47&CDS=1-4263
321	OG0000321	YGR092W, YPR111W	genemark-KI547136.1-processed-gene-1.76-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-1.76&CDS=1-1956
322	OG0000322	YGR108W, YPR119W	snap_masked-KI547140.1-processed-gene-5.233-mRNA-1_1&gene=snap_masked-KI547140.1-processed-gene-5.233&CDS=1-3531
323	OG0000323	YGR118W, YPR132W	genemark-KI547145.1-processed-gene-0.3-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-0.3&CDS=1-435
324	OG0000324	YGR121C, YPR138C	genemark-KI547141.1-processed-gene-2.59-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-2.59&CDS=1-1623
325	OG0000325	YGR131W, YPR149W	genemark-KI547141.1-processed-gene-0.41-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-0.41&CDS=1-510
326	OG0000326	YGR134W	genemark-KI547136.1-processed-gene-7.132-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.132&CDS=1-1332, maker-KI547134.1-snap-gene-1.1-mRNA-1_1&gene=maker-KI547134.1-snap-gene-1.1&CDS=1-4065
327	OG0000327	YGR136W, YPR154W	genemark-KI547141.1-processed-gene-0.47-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-0.47&CDS=1-792
328	OG0000328	YGR138C, YPR156C	genemark-KI547135.1-processed-gene-7.103-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-7.103&CDS=1-1797
329	OG0000329	YGR141W, YPR157W	genemark-KI547144.1-processed-gene-2.67-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-2.67&CDS=1-1311
330	OG0000330	YGR209C, YLR043C	genemark-KI547142.1-processed-gene-1.109-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-1.109&CDS=1-309
331	OG0000331	YGR212W	genemark-KI547141.1-processed-gene-3.48-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-3.48&CDS=1-1455, genemark-KI547141.1-processed-gene-5.131-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-5.131&CDS=1-1389
332	OG0000332	YGR214W, YLR048W	maker-KI547141.1-augustus-gene-1.74-mRNA-1_1&gene=maker-KI547141.1-augustus-gene-1.74&CDS=1-783
333	OG0000333	YGR238C, YHR158C	genemark-KI547134.1-processed-gene-12.181-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.181&CDS=1-2865
334	OG0000334	YGR241C, YHR161C	genemark-KI547145.1-processed-gene-2.66-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-2.66&CDS=1-1986
335	OG0000335	YGR248W, YHR163W	genemark-KI547148.1-processed-gene-3.107-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-3.107&CDS=1-783
336	OG0000336	YHL001W, YKL006W	genemark-KI547135.1-processed-gene-5.43-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-5.43&CDS=1-399
337	OG0000337	YHL003C, YKL008C	maker-KI547137.1-augustus-gene-0.39-mRNA-1_1&gene=maker-KI547137.1-augustus-gene-0.39&CDS=1-2124
338	OG0000338	YHL017W, YKL039W	snap_masked-KI547141.1-processed-gene-5.226-mRNA-1_1&gene=snap_masked-KI547141.1-processed-gene-5.226&CDS=1-2940
339	OG0000339	YHL034C, YLL046C	augustus_masked-KI547141.1-processed-gene-4.108-mRNA-1_1&gene=augustus_masked-KI547141.1-processed-gene-4.108&CDS=1-789
340	OG0000340	YHR008C	genemark-KI547134.1-processed-gene-12.156-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.156&CDS=1-678, genemark-KI547154.1-processed-gene-0.268-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.268&CDS=1-690
341	OG0000341	YHR115C, YNL116W	genemark-KI547138.1-processed-gene-0.20-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-0.20&CDS=1-1311
342	OG0000342	YHR117W, YNL121C	genemark-KI547151.1-processed-gene-0.78-mRNA-1_1&gene=genemark-KI547151.1-processed-gene-0.78&CDS=1-1815
343	OG0000343	YHR123W, YNL130C	genemark-KI547151.1-processed-gene-1.168-mRNA-1_1&gene=genemark-KI547151.1-processed-gene-1.168&CDS=1-1182
344	OG0000344	YHR124W	genemark-KI547137.1-processed-gene-6.76-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-6.76&CDS=1-1323, genemark-KI547156.1-processed-gene-0.170-mRNA-1_1&gene=genemark-KI547156.1-processed-gene-0.170&CDS=1-1773
345	OG0000345	YHR131C, YNL144C	genemark-KI547157.1-processed-gene-0.93-mRNA-1_1&gene=genemark-KI547157.1-processed-gene-0.93&CDS=1-1764
346	OG0000346	YHR132W-A, YNL157W	maker-KI547141.1-augustus-gene-3.1-mRNA-1_1&gene=maker-KI547141.1-augustus-gene-3.1&CDS=1-2271
347	OG0000347	YHR133C, YNL156C	genemark-KI547141.1-processed-gene-3.49-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-3.49&CDS=1-951
348	OG0000348	YHR135C	genemark-KI547140.1-processed-gene-4.67-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-4.67&CDS=1-1551, genemark-KI547153.1-processed-gene-0.216-mRNA-1_1&gene=genemark-KI547153.1-processed-gene-0.216&CDS=1-1305
349	OG0000349	YHR141C, YNL162W	augustus_masked-KI547135.1-processed-gene-11.25-mRNA-1_1&gene=augustus_masked-KI547135.1-processed-gene-11.25&CDS=1-318
350	OG0000350	YHR146W, YNL173C	snap_masked-KI547135.1-processed-gene-1.125-mRNA-1_1&gene=snap_masked-KI547135.1-processed-gene-1.125&CDS=1-1344
351	OG0000351	YHR155W, YNL257C	genemark-KI547134.1-processed-gene-7.124-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-7.124&CDS=1-6504
352	OG0000352	YHR198C, YHR199C	maker-KI547140.1-augustus-gene-0.48-mRNA-1_1&gene=maker-KI547140.1-augustus-gene-0.48&CDS=1-2916
353	OG0000353	YHR203C, YJR145C	maker-KI547134.1-augustus-gene-12.189-mRNA-1_1&gene=maker-KI547134.1-augustus-gene-12.189&CDS=1-786
354	OG0000354	YIL085C, YNL029C	genemark-KI547148.1-processed-gene-1.65-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-1.65&CDS=1-1728
355	OG0000355	YIL095W, YNL020C	genemark-KI547137.1-processed-gene-2.19-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-2.19&CDS=1-1935
356	OG0000356	YIL105C, YNL047C	genemark-KI547138.1-processed-gene-4.60-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-4.60&CDS=1-2319
357	OG0000357	YIL111W, YNL052W	genemark-KI547135.1-processed-gene-7.113-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-7.113&CDS=1-450
358	OG0000358	YIL113W, YNL053W	genemark-KI547135.1-processed-gene-7.120-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-7.120&CDS=1-1392
359	OG0000359	YIL131C, YNL068C	genemark-KI547147.1-processed-gene-1.48-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-1.48&CDS=1-2019
360	OG0000360	YIL133C, YNL069C	genemark-KI547134.1-processed-gene-12.179-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.179&CDS=1-594
361	OG0000361	YIL135C, YNL074C	genemark-KI547148.1-processed-gene-1.72-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-1.72&CDS=1-1089
362	OG0000362	YIL149C, YKR095W	genemark-KI547145.1-processed-gene-2.51-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-2.51&CDS=1-5325
363	OG0000363	YIL151C, YKR096W	genemark-KI547145.1-processed-gene-2.67-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-2.67&CDS=1-4083
364	OG0000364	YIL156W, YKR098C	genemark-KI547144.1-processed-gene-4.47-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-4.47&CDS=1-2553
365	OG0000365	YIL160C	genemark-KI547147.1-processed-gene-2.45-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-2.45&CDS=1-1221, genemark-KI547152.1-processed-gene-1.66-mRNA-1_1&gene=genemark-KI547152.1-processed-gene-1.66&CDS=1-1224
366	OG0000366	YIR033W, YKL020C	genemark-KI547150.1-processed-gene-1.94-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-1.94&CDS=1-3390
367	OG0000367	YIR035C, YIR036C	snap_masked-KI547134.1-processed-gene-5.37-mRNA-1_1&gene=snap_masked-KI547134.1-processed-gene-5.37&CDS=1-765
368	OG0000368	YJL076W, YKR010C	genemark-KI547141.1-processed-gene-2.87-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-2.87&CDS=1-3093
369	OG0000369	YJL079C, YKR013W	genemark-KI547135.1-processed-gene-0.89-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-0.89&CDS=1-807
370	OG0000370	YJL082W, YKR018C	genemark-KI547135.1-processed-gene-1.48-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-1.48&CDS=1-2610
371	OG0000371	YJL105W, YKR029C	genemark-KI547135.1-processed-gene-1.55-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-1.55&CDS=1-3375
372	OG0000372	YJL133W, YKR052C	genemark-KI547153.1-processed-gene-0.212-mRNA-1_1&gene=genemark-KI547153.1-processed-gene-0.212&CDS=1-966
373	OG0000373	YJL134W, YKR053C	genemark-KI547134.1-processed-gene-12.153-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.153&CDS=1-1446
374	OG0000374	YJL137C, YKR058W	genemark-KI547140.1-processed-gene-3.0-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-3.0&CDS=1-1209
375	OG0000375	YJL139C, YKR061W	genemark-KI547136.1-processed-gene-0.45-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.45&CDS=1-1236
376	OG0000376	YJL163C	genemark-KI547135.1-processed-gene-7.122-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-7.122&CDS=1-1806, snap_masked-KI547141.1-processed-gene-1.76-mRNA-1_1&gene=snap_masked-KI547141.1-processed-gene-1.76&CDS=1-1713
377	OG0000377	YJL172W, YOL153C	genemark-KI547142.1-processed-gene-0.59-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-0.59&CDS=1-1716
378	OG0000378	YJL177W, YKL180W	genemark-KI547136.1-processed-gene-0.68-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.68&CDS=1-555
379	OG0000379	YJL212C	genemark-KI547154.1-processed-gene-0.257-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.257&CDS=1-2340, maker-KI547137.1-snap-gene-2.140-mRNA-1_1&gene=maker-KI547137.1-snap-gene-2.140&CDS=1-4884
380	OG0000380	YJL218W	genemark-KI547134.1-processed-gene-8.97-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-8.97&CDS=1-756, genemark-KI547140.1-processed-gene-2.88-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-2.88&CDS=1-768
381	OG0000381	YJR054W, YML047C	genemark-KI547154.1-processed-gene-0.199-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.199&CDS=1-1752
382	OG0000382	YJR059W, YKL198C	genemark-KI547138.1-processed-gene-3.132-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-3.132&CDS=1-2676
383	OG0000383	YJR085C	genemark-KI547137.1-processed-gene-7.164-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-7.164&CDS=1-315, genemark-KI547137.1-processed-gene-7.165-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-7.165&CDS=1-327
384	OG0000384	YJR091C, YPR042C	genemark-KI547146.1-processed-gene-2.75-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-2.75&CDS=1-3189
385	OG0000385	YJR094W-A, YPR043W	maker-KI547146.1-snap-gene-2.105-mRNA-1_1&gene=maker-KI547146.1-snap-gene-2.105&CDS=1-369
386	OG0000386	YJR127C, YML081W	genemark-KI547135.1-processed-gene-2.6-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-2.6&CDS=1-3387
387	OG0000387	YJR130C, YML082W	snap_masked-KI547134.1-processed-gene-10.124-mRNA-1_1&gene=snap_masked-KI547134.1-processed-gene-10.124&CDS=1-1773
388	OG0000388	YKL050C, YMR031C	genemark-KI547147.1-processed-gene-0.100-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-0.100&CDS=1-2253
389	OG0000389	YKL072W, YMR053C	genemark-KI547141.1-processed-gene-3.56-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-3.56&CDS=1-3132
390	OG0000390	YKL121W, YMR102C	genemark-KI547135.1-processed-gene-1.76-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-1.76&CDS=1-2640
391	OG0000391	YKL126W, YMR104C	genemark-KI547135.1-processed-gene-11.62-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-11.62&CDS=1-2169
392	OG0000392	YKL141W, YMR118C	genemark-KI547136.1-processed-gene-4.12-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-4.12&CDS=1-534
393	OG0000393	YKL148C	genemark-KI547134.1-processed-gene-4.11-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-4.11&CDS=1-1896, genemark-KI547144.1-processed-gene-1.60-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-1.60&CDS=1-1947
394	OG0000394	YKL192C	augustus_masked-KI547136.1-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-KI547136.1-processed-gene-3.32&CDS=1-330, genemark-KI547134.1-processed-gene-0.82-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-0.82&CDS=1-378
395	OG0000395	YKL195W	augustus_masked-KI547149.1-processed-gene-2.251-mRNA-1_1&gene=augustus_masked-KI547149.1-processed-gene-2.251&CDS=1-351, genemark-KI547134.1-processed-gene-10.10-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-10.10&CDS=1-1077
396	OG0000396	YKR076W, YMR251W	genemark-KI547137.1-processed-gene-2.26-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-2.26&CDS=1-1011
397	OG0000397	YKR089C, YOR081C	genemark-KI547147.1-processed-gene-3.22-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-3.22&CDS=1-2631
398	OG0000398	YKR093W	genemark-KI547135.1-processed-gene-11.77-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-11.77&CDS=1-1701, genemark-KI547147.1-processed-gene-3.11-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-3.11&CDS=1-1707
399	OG0000399	YLL012W, YLR020C	augustus_masked-KI547155.1-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-KI547155.1-processed-gene-0.163&CDS=1-1497
400	OG0000400	YLL053C, YPR192W	genemark-KI547137.1-processed-gene-3.73-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-3.73&CDS=1-816
401	OG0000401	YLL057C	genemark-KI547135.1-processed-gene-6.88-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-6.88&CDS=1-1158, genemark-KI547142.1-processed-gene-4.153-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-4.153&CDS=1-1143
402	OG0000402	YLR031W, YMR124W	genemark-KI547136.1-processed-gene-0.76-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.76&CDS=1-3450
403	OG0000403	YLR044C	genemark-KI547139.1-processed-gene-4.87-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-4.87&CDS=1-1785, genemark-KI547144.1-processed-gene-1.84-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-1.84&CDS=1-1698
404	OG0000404	YLR178C, YLR179C	genemark-KI547157.1-processed-gene-0.131-mRNA-1_1&gene=genemark-KI547157.1-processed-gene-0.131&CDS=1-759
405	OG0000405	YLR260W, YOR171C	genemark-KI547135.1-processed-gene-9.56-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-9.56&CDS=1-1467
406	OG0000406	YLR264W, YOR167C	augustus_masked-KI547146.1-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-KI547146.1-processed-gene-0.114&CDS=1-201
407	OG0000407	YLR270W, YOR173W	genemark-KI547161.1-processed-gene-0.2-mRNA-1_1&gene=genemark-KI547161.1-processed-gene-0.2&CDS=1-888
408	OG0000408	YLR287C-A, YOR182C	genemark-KI547137.1-processed-gene-5.33-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-5.33&CDS=1-663
409	OG0000409	YLR300W, YOR190W	genemark-KI547134.1-processed-gene-10.34-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-10.34&CDS=1-1302
410	OG0000410	YLR308W	genemark-KI547149.1-processed-gene-1.54-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-1.54&CDS=1-975, genemark-KI547152.1-processed-gene-1.42-mRNA-1_1&gene=genemark-KI547152.1-processed-gene-1.42&CDS=1-915
411	OG0000411	YLR380W	genemark-KI547138.1-processed-gene-6.48-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-6.48&CDS=1-1722, snap_masked-KI547157.1-processed-gene-0.177-mRNA-1_1&gene=snap_masked-KI547157.1-processed-gene-0.177&CDS=1-1827
412	OG0000412	YLR441C	genemark-KI547134.1-processed-gene-10.49-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-10.49&CDS=1-768, genemark-KI547138.1-processed-gene-1.67-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-1.67&CDS=1-768
413	OG0000413	YLR449W, YML074C	genemark-KI547134.1-processed-gene-10.47-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-10.47&CDS=1-1221
414	OG0000414	YLR456W, YPR172W	genemark-KI547157.1-processed-gene-0.80-mRNA-1_1&gene=genemark-KI547157.1-processed-gene-0.80&CDS=1-543
415	OG0000415	YML068W	augustus_masked-KI547151.1-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-KI547151.1-processed-gene-1.3&CDS=1-1422, genemark-KI547138.1-processed-gene-3.119-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-3.119&CDS=1-1062
416	OG0000416	YML100W, YMR261C	genemark-KI547150.1-processed-gene-0.49-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-0.49&CDS=1-3249
417	OG0000417	YML106W, YMR271C	genemark-KI547137.1-processed-gene-1.68-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-1.68&CDS=1-660
418	OG0000418	YML109W, YMR273C	genemark-KI547139.1-processed-gene-2.48-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-2.48&CDS=1-3441
419	OG0000419	YML131W	genemark-KI547136.1-processed-gene-4.15-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-4.15&CDS=1-1089, genemark-KI547136.1-processed-gene-6.49-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-6.49&CDS=1-1101
420	OG0000420	YMR020W	genemark-KI547142.1-processed-gene-3.46-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-3.46&CDS=1-1428, genemark-KI547145.1-processed-gene-1.92-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-1.92&CDS=1-1410
421	OG0000421	YMR034C	genemark-KI547134.1-processed-gene-0.107-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-0.107&CDS=1-1248, genemark-KI547145.1-processed-gene-3.136-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-3.136&CDS=1-1314
422	OG0000422	YMR119W, YNL008C	genemark-KI547142.1-processed-gene-4.135-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-4.135&CDS=1-2205
423	OG0000423	YMR155W	genemark-KI547136.1-processed-gene-7.123-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.123&CDS=1-1902, genemark-KI547139.1-processed-gene-2.85-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-2.85&CDS=1-1542
424	OG0000424	YMR169C, YMR170C	genemark-KI547137.1-processed-gene-7.186-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-7.186&CDS=1-1503
425	OG0000425	YMR177W, YPL224C	genemark-KI547134.1-processed-gene-4.22-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-4.22&CDS=1-1266
426	OG0000426	YMR182C, YPL230W	snap_masked-KI547148.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-KI547148.1-processed-gene-0.38&CDS=1-1554
427	OG0000427	YMR183C, YPL232W	genemark-KI547150.1-processed-gene-2.41-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-2.41&CDS=1-873
428	OG0000428	YMR194W, YPL249C-A	genemark-KI547136.1-processed-gene-3.77-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-3.77&CDS=1-927
429	OG0000429	YMR199W, YPL256C	snap_masked-KI547134.1-processed-gene-11.30-mRNA-1_1&gene=snap_masked-KI547134.1-processed-gene-11.30&CDS=1-1473
430	OG0000430	YMR222C, YOR280C	genemark-KI547146.1-processed-gene-2.66-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-2.66&CDS=1-849
431	OG0000431	YMR226C	augustus_masked-KI547145.1-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-KI547145.1-processed-gene-1.22&CDS=1-720, genemark-KI547145.1-processed-gene-1.72-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-1.72&CDS=1-807
432	OG0000432	YMR233W, YOR295W	maker-KI547134.1-augustus-gene-11.139-mRNA-1_1&gene=maker-KI547134.1-augustus-gene-11.139&CDS=1-741
433	OG0000433	YMR234W	genemark-KI547138.1-processed-gene-6.19-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-6.19&CDS=1-927, genemark-KI547141.1-processed-gene-1.67-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-1.67&CDS=1-609
434	OG0000434	YMR237W, YOR299W	genemark-KI547146.1-processed-gene-3.59-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-3.59&CDS=1-2190
435	OG0000435	YMR242C, YOR312C	genemark-KI547145.1-processed-gene-1.73-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-1.73&CDS=1-516
436	OG0000436	YMR243C, YOR316C	genemark-KI547136.1-processed-gene-5.54-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-5.54&CDS=1-1440
437	OG0000437	YMR253C, YPL264C	genemark-KI547155.1-processed-gene-0.247-mRNA-1_1&gene=genemark-KI547155.1-processed-gene-0.247&CDS=1-1419
438	OG0000438	YMR307W	genemark-KI547134.1-processed-gene-12.178-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.178&CDS=1-1638, genemark-KI547139.1-processed-gene-0.40-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-0.40&CDS=1-1584
439	OG0000439	YNL036W	genemark-KI547141.1-processed-gene-0.44-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-0.44&CDS=1-1035, genemark-KI547158.1-processed-gene-0.85-mRNA-1_1&gene=genemark-KI547158.1-processed-gene-0.85&CDS=1-801
440	OG0000440	YNL045W	genemark-KI547135.1-processed-gene-12.191-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-12.191&CDS=1-1890, genemark-KI547135.1-processed-gene-7.109-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-7.109&CDS=1-1863
441	OG0000441	YNL066W	genemark-KI547135.1-processed-gene-2.29-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-2.29&CDS=1-1056, genemark-KI547138.1-processed-gene-1.91-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-1.91&CDS=1-1155
