	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034604_Sporopachydermia_lactativora
732	OG0000732	YCR027C	snap_masked-NODE_290_length_3884_cov_36.7923_ID_579-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_290_length_3884_cov_36.7923_ID_579-processed-gene-0.0&CDS=1-552
733	OG0000733	YCR028C-A	maker-NODE_3_length_278811_cov_36.2391_ID_5-snap-gene-1.9-mRNA-1_1&gene=maker-NODE_3_length_278811_cov_36.2391_ID_5-snap-gene-1.9&CDS=1-372
734	OG0000734	YCR030C	snap_masked-NODE_3_length_278811_cov_36.2391_ID_5-processed-gene-1.200-mRNA-1_1&gene=snap_masked-NODE_3_length_278811_cov_36.2391_ID_5-processed-gene-1.200&CDS=1-2907
735	OG0000735	YCR031C	snap_masked-NODE_87_length_65432_cov_36.5929_ID_173-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_87_length_65432_cov_36.5929_ID_173-processed-gene-0.63&CDS=1-426
736	OG0000736	YCR032W	genemark-NODE_215_length_13331_cov_30.2588_ID_429-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_215_length_13331_cov_30.2588_ID_429-processed-gene-0.1&CDS=1-7488
737	OG0000737	YCR033W	snap_masked-NODE_88_length_65403_cov_29.8738_ID_175-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_88_length_65403_cov_29.8738_ID_175-processed-gene-0.72&CDS=1-3714
738	OG0000738	YCR034W	maker-NODE_88_length_65403_cov_29.8738_ID_175-snap-gene-0.26-mRNA-1_1&gene=maker-NODE_88_length_65403_cov_29.8738_ID_175-snap-gene-0.26&CDS=1-960
739	OG0000739	YCR035C	snap_masked-NODE_88_length_65403_cov_29.8738_ID_175-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_88_length_65403_cov_29.8738_ID_175-processed-gene-0.85&CDS=1-1089
740	OG0000740	YCR036W	snap_masked-NODE_64_length_83804_cov_29.1141_ID_127-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_64_length_83804_cov_29.1141_ID_127-processed-gene-0.16&CDS=1-1020
741	OG0000741	YCR042C	snap_masked-NODE_118_length_45418_cov_40.5475_ID_235-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_118_length_45418_cov_40.5475_ID_235-processed-gene-0.8&CDS=1-4479
742	OG0000742	YCR044C	snap_masked-NODE_162_length_27562_cov_30.3922_ID_323-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_162_length_27562_cov_30.3922_ID_323-processed-gene-0.24&CDS=1-1125
743	OG0000743	YCR045C	maker-NODE_11_length_219143_cov_32.1848_ID_21-snap-gene-0.52-mRNA-1_1&gene=maker-NODE_11_length_219143_cov_32.1848_ID_21-snap-gene-0.52&CDS=1-1191
744	OG0000744	YCR046C	maker-NODE_1_length_289408_cov_29.0569_ID_1-snap-gene-1.94-mRNA-1_1&gene=maker-NODE_1_length_289408_cov_29.0569_ID_1-snap-gene-1.94&CDS=1-495
745	OG0000745	YCR047C	snap_masked-NODE_1_length_289408_cov_29.0569_ID_1-processed-gene-1.205-mRNA-1_1&gene=snap_masked-NODE_1_length_289408_cov_29.0569_ID_1-processed-gene-1.205&CDS=1-801
746	OG0000746	YCR051W	maker-NODE_111_length_47527_cov_31.4148_ID_221-snap-gene-0.33-mRNA-1_1&gene=maker-NODE_111_length_47527_cov_31.4148_ID_221-snap-gene-0.33&CDS=1-636
747	OG0000747	YCR053W	snap_masked-NODE_130_length_40359_cov_45.354_ID_259-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_130_length_40359_cov_45.354_ID_259-processed-gene-0.5&CDS=1-1560
748	OG0000748	YCR054C	maker-NODE_130_length_40359_cov_45.354_ID_259-snap-gene-0.17-mRNA-1_1&gene=maker-NODE_130_length_40359_cov_45.354_ID_259-snap-gene-0.17&CDS=1-1671
749	OG0000749	YCR057C	snap_masked-NODE_148_length_31732_cov_41.1755_ID_295-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_148_length_31732_cov_41.1755_ID_295-processed-gene-0.5&CDS=1-2820
750	OG0000750	YCR059C	maker-NODE_148_length_31732_cov_41.1755_ID_295-snap-gene-0.29-mRNA-1_1&gene=maker-NODE_148_length_31732_cov_41.1755_ID_295-snap-gene-0.29&CDS=1-957
751	OG0000751	YCR060W	maker-NODE_148_length_31732_cov_41.1755_ID_295-snap-gene-0.28-mRNA-1_1&gene=maker-NODE_148_length_31732_cov_41.1755_ID_295-snap-gene-0.28&CDS=1-960
752	OG0000752	YCR061W	snap_masked-NODE_148_length_31732_cov_41.1755_ID_295-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_148_length_31732_cov_41.1755_ID_295-processed-gene-0.4&CDS=1-1920
753	OG0000753	YCR063W	snap_masked-NODE_117_length_45734_cov_36.3533_ID_233-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_117_length_45734_cov_36.3533_ID_233-processed-gene-0.35&CDS=1-441
754	OG0000754	YCR065W	snap_masked-NODE_148_length_31732_cov_41.1755_ID_295-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_148_length_31732_cov_41.1755_ID_295-processed-gene-0.1&CDS=1-2565
755	OG0000755	YCR066W	maker-NODE_10_length_233323_cov_32.9491_ID_19-snap-gene-1.126-mRNA-1_1&gene=maker-NODE_10_length_233323_cov_32.9491_ID_19-snap-gene-1.126&CDS=1-1284
756	OG0000756	YCR068W	snap_masked-NODE_10_length_233323_cov_32.9491_ID_19-processed-gene-1.24-mRNA-1_1&gene=snap_masked-NODE_10_length_233323_cov_32.9491_ID_19-processed-gene-1.24&CDS=1-1917
757	OG0000757	YCR071C	maker-NODE_2_length_287206_cov_30.0926_ID_3-snap-gene-1.168-mRNA-1_1&gene=maker-NODE_2_length_287206_cov_30.0926_ID_3-snap-gene-1.168&CDS=1-378
758	OG0000758	YCR072C	snap_masked-NODE_2_length_287206_cov_30.0926_ID_3-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NODE_2_length_287206_cov_30.0926_ID_3-processed-gene-1.69&CDS=1-1539
759	OG0000759	YCR075C	maker-NODE_5_length_271561_cov_29.3437_ID_9-snap-gene-1.75-mRNA-1_1&gene=maker-NODE_5_length_271561_cov_29.3437_ID_9-snap-gene-1.75&CDS=1-798
760	OG0000760	YCR077C	snap_masked-NODE_66_length_79812_cov_35.0127_ID_131-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_66_length_79812_cov_35.0127_ID_131-processed-gene-0.81&CDS=1-2301
761	OG0000761	YCR079W	snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-0.5&CDS=1-1191
762	OG0000762	YCR081W	snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-1.147-mRNA-1_1&gene=snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-1.147&CDS=1-5043
763	OG0000763	YCR084C	snap_masked-NODE_120_length_44029_cov_29.5558_ID_239-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_120_length_44029_cov_29.5558_ID_239-processed-gene-0.16&CDS=1-2175
764	OG0000764	YCR087C-A	snap_masked-NODE_88_length_65403_cov_29.8738_ID_175-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_88_length_65403_cov_29.8738_ID_175-processed-gene-0.74&CDS=1-528
765	OG0000765	YCR088W	snap_masked-NODE_25_length_138518_cov_48.3242_ID_49-processed-gene-0.193-mRNA-1_1&gene=snap_masked-NODE_25_length_138518_cov_48.3242_ID_49-processed-gene-0.193&CDS=1-2052
766	OG0000766	YCR090C	genemark-NODE_29_length_128192_cov_37.8004_ID_57-processed-gene-0.76-mRNA-1_1&gene=genemark-NODE_29_length_128192_cov_37.8004_ID_57-processed-gene-0.76&CDS=1-477
767	OG0000767	YCR092C	snap_masked-NODE_29_length_128192_cov_37.8004_ID_57-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_29_length_128192_cov_37.8004_ID_57-processed-gene-0.13&CDS=1-3279
768	OG0000768	YCR093W	genemark-NODE_247_length_7999_cov_25.2881_ID_493-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_247_length_7999_cov_25.2881_ID_493-processed-gene-0.3&CDS=1-5271
769	OG0000769	YCR095C	snap_masked-NODE_159_length_29150_cov_46.5125_ID_317-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_159_length_29150_cov_46.5125_ID_317-processed-gene-0.31&CDS=1-1125
770	OG0000770	YDL001W	maker-NODE_58_length_90356_cov_32.0248_ID_115-snap-gene-0.59-mRNA-1_1&gene=maker-NODE_58_length_90356_cov_32.0248_ID_115-snap-gene-0.59&CDS=1-1338
771	OG0000771	YDL003W	snap_masked-NODE_10_length_233323_cov_32.9491_ID_19-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_10_length_233323_cov_32.9491_ID_19-processed-gene-0.22&CDS=1-1941
772	OG0000772	YDL004W	maker-NODE_10_length_233323_cov_32.9491_ID_19-snap-gene-0.77-mRNA-1_1&gene=maker-NODE_10_length_233323_cov_32.9491_ID_19-snap-gene-0.77&CDS=1-489
773	OG0000773	YDL006W	snap_masked-NODE_30_length_126226_cov_40.344_ID_59-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_30_length_126226_cov_40.344_ID_59-processed-gene-0.23&CDS=1-1257
774	OG0000774	YDL007W	genemark-NODE_30_length_126226_cov_40.344_ID_59-processed-gene-0.70-mRNA-1_1&gene=genemark-NODE_30_length_126226_cov_40.344_ID_59-processed-gene-0.70&CDS=1-1323
775	OG0000775	YDL008W	maker-NODE_91_length_63259_cov_32.7231_ID_181-snap-gene-0.20-mRNA-1_1&gene=maker-NODE_91_length_63259_cov_32.7231_ID_181-snap-gene-0.20&CDS=1-291
776	OG0000776	YDL010W	snap_masked-NODE_34_length_121550_cov_28.5488_ID_67-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_34_length_121550_cov_28.5488_ID_67-processed-gene-0.19&CDS=1-582
777	OG0000777	YDL013W	snap_masked-NODE_17_length_160593_cov_33.6237_ID_33-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_17_length_160593_cov_33.6237_ID_33-processed-gene-0.43&CDS=1-1248
778	OG0000778	YDL014W	snap_masked-NODE_18_length_157026_cov_29.9254_ID_35-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_18_length_157026_cov_29.9254_ID_35-processed-gene-0.58&CDS=1-942
779	OG0000779	YDL015C	snap_masked-NODE_56_length_90915_cov_30.3303_ID_111-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_56_length_90915_cov_30.3303_ID_111-processed-gene-0.86&CDS=1-990
780	OG0000780	YDL017W	maker-NODE_277_length_4401_cov_48.7578_ID_553-snap-gene-0.7-mRNA-1_1&gene=maker-NODE_277_length_4401_cov_48.7578_ID_553-snap-gene-0.7&CDS=1-2235
781	OG0000781	YDL020C	snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-1.65&CDS=1-1392
782	OG0000782	YDL028C	snap_masked-NODE_40_length_114049_cov_32.9565_ID_79-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_40_length_114049_cov_32.9565_ID_79-processed-gene-0.16&CDS=1-2169
783	OG0000783	YDL029W	snap_masked-NODE_40_length_114049_cov_32.9565_ID_79-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_40_length_114049_cov_32.9565_ID_79-processed-gene-0.36&CDS=1-1164
784	OG0000784	YDL030W	genemark-NODE_217_length_12918_cov_32.5926_ID_433-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_217_length_12918_cov_32.5926_ID_433-processed-gene-0.8&CDS=1-1683
785	OG0000785	YDL031W	snap_masked-NODE_2_length_287206_cov_30.0926_ID_3-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_2_length_287206_cov_30.0926_ID_3-processed-gene-0.87&CDS=1-2952
786	OG0000786	YDL033C	snap_masked-NODE_20_length_152376_cov_30.1479_ID_39-processed-gene-0.200-mRNA-1_1&gene=snap_masked-NODE_20_length_152376_cov_30.1479_ID_39-processed-gene-0.200&CDS=1-1365
787	OG0000787	YDL040C	snap_masked-NODE_93_length_61265_cov_33.4472_ID_185-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_93_length_61265_cov_33.4472_ID_185-processed-gene-0.62&CDS=1-2862
788	OG0000788	YDL043C	snap_masked-NODE_225_length_11358_cov_30.6162_ID_449-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_225_length_11358_cov_30.6162_ID_449-processed-gene-0.23&CDS=1-729
789	OG0000789	YDL044C	genemark-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-1.41-mRNA-1_1&gene=genemark-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-1.41&CDS=1-1815
790	OG0000790	YDL045C	genemark-NODE_134_length_37939_cov_42.9514_ID_267-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_134_length_37939_cov_42.9514_ID_267-processed-gene-0.31&CDS=1-1125
791	OG0000791	YDL045W-A	snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-1.181-mRNA-1_1&gene=snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-1.181&CDS=1-276
792	OG0000792	YDL046W	snap_masked-NODE_209_length_14973_cov_29.2366_ID_417-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_209_length_14973_cov_29.2366_ID_417-processed-gene-0.14&CDS=1-597
793	OG0000793	YDL047W	genemark-NODE_4_length_277153_cov_35.8334_ID_7-processed-gene-1.114-mRNA-1_1&gene=genemark-NODE_4_length_277153_cov_35.8334_ID_7-processed-gene-1.114&CDS=1-948
794	OG0000794	YDL051W	snap_masked-NODE_50_length_98806_cov_33.862_ID_99-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_50_length_98806_cov_33.862_ID_99-processed-gene-0.5&CDS=1-1014
795	OG0000795	YDL052C	maker-NODE_50_length_98806_cov_33.862_ID_99-snap-gene-0.105-mRNA-1_1&gene=maker-NODE_50_length_98806_cov_33.862_ID_99-snap-gene-0.105&CDS=1-867
796	OG0000796	YDL054C	maker-NODE_103_length_52931_cov_31.6312_ID_205-snap-gene-0.25-mRNA-1_1&gene=maker-NODE_103_length_52931_cov_31.6312_ID_205-snap-gene-0.25&CDS=1-1587
797	OG0000797	YDL055C	genemark-NODE_131_length_39675_cov_31.7286_ID_261-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_131_length_39675_cov_31.7286_ID_261-processed-gene-0.18&CDS=1-1092
798	OG0000798	YDL057W	snap_masked-NODE_12_length_215069_cov_32.3968_ID_23-processed-gene-1.120-mRNA-1_1&gene=snap_masked-NODE_12_length_215069_cov_32.3968_ID_23-processed-gene-1.120&CDS=1-2007
799	OG0000799	YDL058W	maker-NODE_27_length_132354_cov_39.7331_ID_53-snap-gene-0.106-mRNA-1_1&gene=maker-NODE_27_length_132354_cov_39.7331_ID_53-snap-gene-0.106&CDS=1-2862
800	OG0000800	YDL060W	snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-0.8&CDS=1-2391
801	OG0000801	YDL063C	snap_masked-NODE_133_length_38376_cov_30.9779_ID_265-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_133_length_38376_cov_30.9779_ID_265-processed-gene-0.6&CDS=1-1980
802	OG0000802	YDL064W	maker-NODE_133_length_38376_cov_30.9779_ID_265-augustus-gene-0.26-mRNA-1_1&gene=maker-NODE_133_length_38376_cov_30.9779_ID_265-augustus-gene-0.26&CDS=1-489
803	OG0000803	YDL067C	genemark-NODE_6_length_266345_cov_30.7293_ID_11-processed-gene-1.159-mRNA-1_1&gene=genemark-NODE_6_length_266345_cov_30.7293_ID_11-processed-gene-1.159&CDS=1-177
804	OG0000804	YDL072C	snap_masked-NODE_45_length_103464_cov_30.7022_ID_89-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_45_length_103464_cov_30.7022_ID_89-processed-gene-0.84&CDS=1-615
805	OG0000805	YDL074C	snap_masked-NODE_37_length_120084_cov_30.4625_ID_73-processed-gene-0.130-mRNA-1_1&gene=snap_masked-NODE_37_length_120084_cov_30.4625_ID_73-processed-gene-0.130&CDS=1-2154
806	OG0000806	YDL076C	snap_masked-NODE_31_length_125216_cov_30.9394_ID_61-processed-gene-0.140-mRNA-1_1&gene=snap_masked-NODE_31_length_125216_cov_30.9394_ID_61-processed-gene-0.140&CDS=1-1872
807	OG0000807	YDL077C	snap_masked-NODE_14_length_184108_cov_30.7701_ID_27-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_14_length_184108_cov_30.7701_ID_27-processed-gene-0.46&CDS=1-3000
808	OG0000808	YDL084W	snap_masked-NODE_24_length_144559_cov_30.1636_ID_47-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_24_length_144559_cov_30.1636_ID_47-processed-gene-0.45&CDS=1-1308
809	OG0000809	YDL086W	maker-NODE_5_length_271561_cov_29.3437_ID_9-snap-gene-0.34-mRNA-1_1&gene=maker-NODE_5_length_271561_cov_29.3437_ID_9-snap-gene-0.34&CDS=1-801
810	OG0000810	YDL087C	genemark-NODE_24_length_144559_cov_30.1636_ID_47-processed-gene-0.72-mRNA-1_1&gene=genemark-NODE_24_length_144559_cov_30.1636_ID_47-processed-gene-0.72&CDS=1-813
811	OG0000811	YDL090C	snap_masked-NODE_3_length_278811_cov_36.2391_ID_5-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_3_length_278811_cov_36.2391_ID_5-processed-gene-0.40&CDS=1-1419
812	OG0000812	YDL092W	maker-NODE_3_length_278811_cov_36.2391_ID_5-snap-gene-0.131-mRNA-1_1&gene=maker-NODE_3_length_278811_cov_36.2391_ID_5-snap-gene-0.131&CDS=1-417
813	OG0000813	YDL097C	snap_masked-NODE_47_length_101368_cov_33.3512_ID_93-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_47_length_101368_cov_33.3512_ID_93-processed-gene-0.118&CDS=1-1260
814	OG0000814	YDL098C	maker-NODE_50_length_98806_cov_33.862_ID_99-snap-gene-0.97-mRNA-1_1&gene=maker-NODE_50_length_98806_cov_33.862_ID_99-snap-gene-0.97&CDS=1-636
815	OG0000815	YDL100C	snap_masked-NODE_45_length_103464_cov_30.7022_ID_89-processed-gene-0.116-mRNA-1_1&gene=snap_masked-NODE_45_length_103464_cov_30.7022_ID_89-processed-gene-0.116&CDS=1-1044
816	OG0000816	YDL102W	snap_masked-NODE_126_length_41577_cov_35.9495_ID_251-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_126_length_41577_cov_35.9495_ID_251-processed-gene-0.6&CDS=1-3165
817	OG0000817	YDL103C	snap_masked-NODE_126_length_41577_cov_35.9495_ID_251-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_126_length_41577_cov_35.9495_ID_251-processed-gene-0.7&CDS=1-1428
818	OG0000818	YDL104C	snap_masked-NODE_240_length_8742_cov_43.8748_ID_479-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_240_length_8742_cov_43.8748_ID_479-processed-gene-0.0&CDS=1-1572
819	OG0000819	YDL105W	snap_masked-NODE_240_length_8742_cov_43.8748_ID_479-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_240_length_8742_cov_43.8748_ID_479-processed-gene-0.2&CDS=1-1236
820	OG0000820	YDL107W	maker-NODE_15_length_173774_cov_29.5314_ID_29-snap-gene-0.9-mRNA-1_1&gene=maker-NODE_15_length_173774_cov_29.5314_ID_29-snap-gene-0.9&CDS=1-1302
821	OG0000821	YDL108W	maker-NODE_6_length_266345_cov_30.7293_ID_11-snap-gene-1.190-mRNA-1_1&gene=maker-NODE_6_length_266345_cov_30.7293_ID_11-snap-gene-1.190&CDS=1-1059
822	OG0000822	YDL110C	snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-0.96&CDS=1-456
823	OG0000823	YDL111C	snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-0.95&CDS=1-813
824	OG0000824	YDL112W	snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-0.97&CDS=1-4659
825	OG0000825	YDL113C	maker-NODE_8_length_245876_cov_35.5678_ID_15-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_8_length_245876_cov_35.5678_ID_15-snap-gene-0.3&CDS=1-1671
826	OG0000826	YDL114W	genemark-NODE_64_length_83804_cov_29.1141_ID_127-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_64_length_83804_cov_29.1141_ID_127-processed-gene-0.69&CDS=1-852
827	OG0000827	YDL117W	snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-0.77&CDS=1-2919
828	OG0000828	YDL119C	genemark-NODE_1_length_289408_cov_29.0569_ID_1-processed-gene-0.101-mRNA-1_1&gene=genemark-NODE_1_length_289408_cov_29.0569_ID_1-processed-gene-0.101&CDS=1-936
829	OG0000829	YDL120W	genemark-NODE_98_length_58255_cov_29.0698_ID_195-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_98_length_58255_cov_29.0698_ID_195-processed-gene-0.29&CDS=1-522
830	OG0000830	YDL124W	snap_masked-NODE_31_length_125216_cov_30.9394_ID_61-processed-gene-0.171-mRNA-1_1&gene=snap_masked-NODE_31_length_125216_cov_30.9394_ID_61-processed-gene-0.171&CDS=1-903
831	OG0000831	YDL125C	maker-NODE_4_length_277153_cov_35.8334_ID_7-snap-gene-1.12-mRNA-1_1&gene=maker-NODE_4_length_277153_cov_35.8334_ID_7-snap-gene-1.12&CDS=1-1017
832	OG0000832	YDL126C	maker-NODE_217_length_12918_cov_32.5926_ID_433-snap-gene-0.12-mRNA-1_1&gene=maker-NODE_217_length_12918_cov_32.5926_ID_433-snap-gene-0.12&CDS=1-2448
833	OG0000833	YDL128W	snap_masked-NODE_4_length_277153_cov_35.8334_ID_7-processed-gene-1.211-mRNA-1_1&gene=snap_masked-NODE_4_length_277153_cov_35.8334_ID_7-processed-gene-1.211&CDS=1-1203
834	OG0000834	YDL130W	snap_masked-NODE_179_length_23607_cov_31.3364_ID_357-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_179_length_23607_cov_31.3364_ID_357-processed-gene-0.0&CDS=1-318
835	OG0000835	YDL131W	snap_masked-NODE_37_length_120084_cov_30.4625_ID_73-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_37_length_120084_cov_30.4625_ID_73-processed-gene-0.109&CDS=1-1356
836	OG0000836	YDL133W	maker-NODE_37_length_120084_cov_30.4625_ID_73-snap-gene-0.84-mRNA-1_1&gene=maker-NODE_37_length_120084_cov_30.4625_ID_73-snap-gene-0.84&CDS=1-1050
837	OG0000837	YDL134C	snap_masked-NODE_195_length_18468_cov_31.3756_ID_389-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_195_length_18468_cov_31.3756_ID_389-processed-gene-0.2&CDS=1-1071
838	OG0000838	YDL135C	maker-NODE_212_length_14432_cov_41.2236_ID_423-augustus-gene-0.6-mRNA-1_1&gene=maker-NODE_212_length_14432_cov_41.2236_ID_423-augustus-gene-0.6&CDS=1-642
839	OG0000839	YDL139C	snap_masked-NODE_19_length_153673_cov_30.6289_ID_37-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NODE_19_length_153673_cov_30.6289_ID_37-processed-gene-0.127&CDS=1-2145
840	OG0000840	YDL140C	maker-NODE_13_length_185540_cov_30.9026_ID_25-snap-gene-0.185-mRNA-1_1&gene=maker-NODE_13_length_185540_cov_30.9026_ID_25-snap-gene-0.185&CDS=1-5187
841	OG0000841	YDL141W	augustus_masked-NODE_13_length_185540_cov_30.9026_ID_25-processed-gene-0.244-mRNA-1_1&gene=augustus_masked-NODE_13_length_185540_cov_30.9026_ID_25-processed-gene-0.244&CDS=1-2085
842	OG0000842	YDL142C	genemark-NODE_13_length_185540_cov_30.9026_ID_25-processed-gene-0.120-mRNA-1_1&gene=genemark-NODE_13_length_185540_cov_30.9026_ID_25-processed-gene-0.120&CDS=1-834
843	OG0000843	YDL143W	maker-NODE_13_length_185540_cov_30.9026_ID_25-snap-gene-0.173-mRNA-1_1&gene=maker-NODE_13_length_185540_cov_30.9026_ID_25-snap-gene-0.173&CDS=1-1587
844	OG0000844	YDL144C	snap_masked-NODE_175_length_24653_cov_36.4582_ID_349-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_175_length_24653_cov_36.4582_ID_349-processed-gene-0.29&CDS=1-1014
845	OG0000845	YDL145C	maker-NODE_13_length_185540_cov_30.9026_ID_25-augustus-gene-0.77-mRNA-1_1&gene=maker-NODE_13_length_185540_cov_30.9026_ID_25-augustus-gene-0.77&CDS=1-3651
846	OG0000846	YDL146W	genemark-NODE_13_length_185540_cov_30.9026_ID_25-processed-gene-0.145-mRNA-1_1&gene=genemark-NODE_13_length_185540_cov_30.9026_ID_25-processed-gene-0.145&CDS=1-2478
847	OG0000847	YDL147W	snap_masked-NODE_13_length_185540_cov_30.9026_ID_25-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_13_length_185540_cov_30.9026_ID_25-processed-gene-0.51&CDS=1-1344
848	OG0000848	YDL148C	snap_masked-NODE_13_length_185540_cov_30.9026_ID_25-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_13_length_185540_cov_30.9026_ID_25-processed-gene-0.20&CDS=1-2583
849	OG0000849	YDL149W	snap_masked-NODE_13_length_185540_cov_30.9026_ID_25-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_13_length_185540_cov_30.9026_ID_25-processed-gene-0.52&CDS=1-2976
850	OG0000850	YDL150W	maker-NODE_13_length_185540_cov_30.9026_ID_25-snap-gene-0.184-mRNA-1_1&gene=maker-NODE_13_length_185540_cov_30.9026_ID_25-snap-gene-0.184&CDS=1-1284
851	OG0000851	YDL153C	snap_masked-NODE_13_length_185540_cov_30.9026_ID_25-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_13_length_185540_cov_30.9026_ID_25-processed-gene-0.21&CDS=1-1797
852	OG0000852	YDL155W	genemark-NODE_179_length_23607_cov_31.3364_ID_357-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_179_length_23607_cov_31.3364_ID_357-processed-gene-0.18&CDS=1-1620
853	OG0000853	YDL156W	snap_masked-NODE_20_length_152376_cov_30.1479_ID_39-processed-gene-0.194-mRNA-1_1&gene=snap_masked-NODE_20_length_152376_cov_30.1479_ID_39-processed-gene-0.194&CDS=1-1665
854	OG0000854	YDL157C	snap_masked-NODE_200_length_16917_cov_49.8224_ID_399-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_200_length_16917_cov_49.8224_ID_399-processed-gene-0.14&CDS=1-270
855	OG0000855	YDL159W	snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-1.195-mRNA-1_1&gene=snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-1.195&CDS=1-1407
