	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035671_Phaffomyces_antillensis
884	OG0000884	YDL130W	maker-flattened_line_24-snap-gene-1.180-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-1.180&CDS=1-309
885	OG0000885	YDL131W	snap_masked-flattened_line_48-processed-gene-0.256-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.256&CDS=1-1344
886	OG0000886	YDL132W	snap_masked-flattened_line_187-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_187-processed-gene-0.14&CDS=1-2325
887	OG0000887	YDL133W	genemark-flattened_line_2-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.24&CDS=1-1197
888	OG0000888	YDL134C	snap_masked-flattened_line_28-processed-gene-1.130-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.130&CDS=1-1062
889	OG0000889	YDL135C	snap_masked-flattened_line_28-processed-gene-1.129-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.129&CDS=1-588
890	OG0000890	YDL140C	maker-flattened_line_10-snap-gene-2.157-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-2.157&CDS=1-5196
891	OG0000891	YDL141W	snap_masked-flattened_line_10-processed-gene-2.42-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.42&CDS=1-1995
892	OG0000892	YDL142C	snap_masked-flattened_line_10-processed-gene-2.11-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.11&CDS=1-813
893	OG0000893	YDL143W	snap_masked-flattened_line_10-processed-gene-2.43-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.43&CDS=1-1584
894	OG0000894	YDL144C	snap_masked-flattened_line_4-processed-gene-3.101-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.101&CDS=1-1020
895	OG0000895	YDL145C	maker-flattened_line_10-snap-gene-2.164-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-2.164&CDS=1-3600
896	OG0000896	YDL146W	augustus_masked-flattened_line_10-processed-gene-2.198-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.198&CDS=1-1233
897	OG0000897	YDL147W	snap_masked-flattened_line_10-processed-gene-2.16-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.16&CDS=1-1341
898	OG0000898	YDL148C	snap_masked-flattened_line_10-processed-gene-2.45-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.45&CDS=1-2451
899	OG0000899	YDL149W	snap_masked-flattened_line_10-processed-gene-2.15-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.15&CDS=1-2583
900	OG0000900	YDL150W	snap_masked-flattened_line_10-processed-gene-2.14-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.14&CDS=1-1134
901	OG0000901	YDL153C	snap_masked-flattened_line_10-processed-gene-2.44-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.44&CDS=1-1725
902	OG0000902	YDL154W	snap_masked-flattened_line_10-processed-gene-2.13-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.13&CDS=1-2289
903	OG0000903	YDL156W	snap_masked-flattened_line_120-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_120-processed-gene-0.36&CDS=1-1563
904	OG0000904	YDL157C	snap_masked-flattened_line_120-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_120-processed-gene-0.54&CDS=1-300
905	OG0000905	YDL159W	snap_masked-flattened_line_120-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_120-processed-gene-0.35&CDS=1-1461
906	OG0000906	YDL160C	snap_masked-flattened_line_120-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_120-processed-gene-0.53&CDS=1-1647
907	OG0000907	YDL164C	snap_masked-flattened_line_6-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.68&CDS=1-1830
908	OG0000908	YDL165W	augustus_masked-flattened_line_98-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.2&CDS=1-741
909	OG0000909	YDL166C	snap_masked-flattened_line_98-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_98-processed-gene-0.54&CDS=1-552
910	OG0000910	YDL167C	snap_masked-flattened_line_60-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.111&CDS=1-1836
911	OG0000911	YDL168W	snap_masked-flattened_line_60-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.82&CDS=1-1146
912	OG0000912	YDL169C	snap_masked-flattened_line_104-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.17&CDS=1-636
913	OG0000913	YDL171C	snap_masked-flattened_line_14-processed-gene-2.8-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.8&CDS=1-6423
914	OG0000914	YDL177C	genemark-flattened_line_14-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.94&CDS=1-471
915	OG0000915	YDL178W	snap_masked-flattened_line_14-processed-gene-0.123-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.123&CDS=1-1512
916	OG0000916	YDL181W	snap_masked-flattened_line_48-processed-gene-0.254-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.254&CDS=1-258
917	OG0000917	YDL183C	genemark-flattened_line_2-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.9&CDS=1-900
918	OG0000918	YDL185W	maker-flattened_line_2-snap-gene-0.80-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-0.80&CDS=1-3354
919	OG0000919	YDL189W	snap_masked-flattened_line_28-processed-gene-1.93-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.93&CDS=1-1338
920	OG0000920	YDL190C	snap_masked-flattened_line_28-processed-gene-1.128-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.128&CDS=1-3099
921	OG0000921	YDL195W	snap_masked-flattened_line_10-processed-gene-2.41-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.41&CDS=1-3768
922	OG0000922	YDL198C	snap_masked-flattened_line_34-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.72&CDS=1-903
923	OG0000923	YDL201W	snap_masked-flattened_line_22-processed-gene-0.120-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.120&CDS=1-888
924	OG0000924	YDL202W	augustus_masked-flattened_line_34-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.2&CDS=1-672
925	OG0000925	YDL203C	augustus_masked-flattened_line_8-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.39&CDS=1-1605
926	OG0000926	YDL205C	augustus_masked-flattened_line_12-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.19&CDS=1-1257
927	OG0000927	YDL207W	maker-flattened_line_0-augustus-gene-4.1-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-4.1&CDS=1-2310
928	OG0000928	YDL208W	snap_masked-flattened_line_0-processed-gene-4.16-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.16&CDS=1-450
929	OG0000929	YDL209C	snap_masked-flattened_line_12-processed-gene-0.112-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.112&CDS=1-1053
930	OG0000930	YDL212W	maker-flattened_line_36-snap-gene-0.137-mRNA-1_1&gene=maker-flattened_line_36-snap-gene-0.137&CDS=1-666
931	OG0000931	YDL213C	snap_masked-flattened_line_36-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.83&CDS=1-660
932	OG0000932	YDL215C	snap_masked-flattened_line_36-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.56&CDS=1-3051
933	OG0000933	YDL217C	maker-flattened_line_64-snap-gene-0.14-mRNA-1_1&gene=maker-flattened_line_64-snap-gene-0.14&CDS=1-555
934	OG0000934	YDL219W	maker-flattened_line_12-augustus-gene-2.1-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-2.1&CDS=1-468
935	OG0000935	YDL225W	snap_masked-flattened_line_0-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.101&CDS=1-1557
936	OG0000936	YDL226C	snap_masked-flattened_line_20-processed-gene-1.256-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.256&CDS=1-1095
937	OG0000937	YDL231C	snap_masked-flattened_line_20-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.39&CDS=1-3327
938	OG0000938	YDL233W	snap_masked-flattened_line_20-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.18&CDS=1-1911
939	OG0000939	YDL234C	snap_masked-flattened_line_20-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.35&CDS=1-2052
940	OG0000940	YDL235C	snap_masked-flattened_line_132-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_132-processed-gene-0.47&CDS=1-390
941	OG0000941	YDL236W	snap_masked-flattened_line_132-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_132-processed-gene-0.34&CDS=1-882
942	OG0000942	YDL237W	augustus_masked-flattened_line_42-processed-gene-0.267-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.267&CDS=1-933
943	OG0000943	YDL238C	augustus_masked-flattened_line_132-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.23&CDS=1-1371
944	OG0000944	YDL240W	snap_masked-flattened_line_36-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.74&CDS=1-3882
945	OG0000945	YDR001C	snap_masked-flattened_line_2-processed-gene-4.107-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.107&CDS=1-2274
946	OG0000946	YDR002W	snap_masked-flattened_line_2-processed-gene-4.81-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.81&CDS=1-612
947	OG0000947	YDR004W	snap_masked-flattened_line_0-processed-gene-0.110-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.110&CDS=1-1140
948	OG0000948	YDR005C	genemark-flattened_line_0-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.40&CDS=1-939
949	OG0000949	YDR006C	snap_masked-flattened_line_2-processed-gene-3.91-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.91&CDS=1-1899
950	OG0000950	YDR007W	snap_masked-flattened_line_118-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.72&CDS=1-708
951	OG0000951	YDR013W	snap_masked-flattened_line_4-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.58&CDS=1-543
952	OG0000952	YDR016C	genemark-flattened_line_52-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.14&CDS=1-369
953	OG0000953	YDR017C	snap_masked-flattened_line_10-processed-gene-1.126-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.126&CDS=1-2421
954	OG0000954	YDR019C	snap_masked-flattened_line_16-processed-gene-2.157-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.157&CDS=1-1173
955	OG0000955	YDR020C	snap_masked-flattened_line_16-processed-gene-2.184-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.184&CDS=1-642
956	OG0000956	YDR021W	genemark-flattened_line_16-processed-gene-2.91-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.91&CDS=1-1188
957	OG0000957	YDR023W	snap_masked-flattened_line_16-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.51&CDS=1-1374
958	OG0000958	YDR026C	snap_masked-flattened_line_2-processed-gene-1.61-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.61&CDS=1-1686
959	OG0000959	YDR027C	genemark-flattened_line_2-processed-gene-1.101-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.101&CDS=1-2385
960	OG0000960	YDR030C	snap_masked-flattened_line_16-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.53&CDS=1-1179
961	OG0000961	YDR031W	maker-flattened_line_0-snap-gene-2.130-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-2.130&CDS=1-321
962	OG0000962	YDR034C	snap_masked-flattened_line_104-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.15&CDS=1-1785
963	OG0000963	YDR036C	snap_masked-flattened_line_22-processed-gene-1.272-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.272&CDS=1-1389
964	OG0000964	YDR041W	snap_masked-flattened_line_60-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.84&CDS=1-765
965	OG0000965	YDR044W	snap_masked-flattened_line_22-processed-gene-1.229-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.229&CDS=1-957
966	OG0000966	YDR045C	snap_masked-flattened_line_22-processed-gene-1.273-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.273&CDS=1-333
967	OG0000967	YDR047W	snap_masked-flattened_line_4-processed-gene-1.132-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.132&CDS=1-1086
968	OG0000968	YDR049W	snap_masked-flattened_line_4-processed-gene-1.131-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.131&CDS=1-1833
969	OG0000969	YDR050C	genemark-flattened_line_22-processed-gene-1.183-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.183&CDS=1-744
970	OG0000970	YDR051C	maker-flattened_line_22-augustus-gene-1.96-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-1.96&CDS=1-1617
971	OG0000971	YDR052C	snap_masked-flattened_line_32-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.40&CDS=1-1347
972	OG0000972	YDR054C	snap_masked-flattened_line_82-processed-gene-0.154-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.154&CDS=1-726
973	OG0000973	YDR058C	snap_masked-flattened_line_8-processed-gene-2.208-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.208&CDS=1-1194
974	OG0000974	YDR059C	maker-flattened_line_6-snap-gene-2.1-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-2.1&CDS=1-441
975	OG0000975	YDR060W	snap_masked-flattened_line_6-processed-gene-2.88-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.88&CDS=1-3315
976	OG0000976	YDR062W	snap_masked-flattened_line_26-processed-gene-1.139-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.139&CDS=1-1695
977	OG0000977	YDR064W	genemark-flattened_line_4-processed-gene-2.79-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.79&CDS=1-846
978	OG0000978	YDR071C	genemark-flattened_line_28-processed-gene-0.126-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.126&CDS=1-972
979	OG0000979	YDR074W	snap_masked-flattened_line_16-processed-gene-2.151-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.151&CDS=1-2607
980	OG0000980	YDR075W	genemark-flattened_line_16-processed-gene-2.84-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.84&CDS=1-918
981	OG0000981	YDR079C-A	snap_masked-flattened_line_4-processed-gene-3.114-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.114&CDS=1-222
982	OG0000982	YDR079W	maker-flattened_line_4-snap-gene-3.276-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-3.276&CDS=1-318
983	OG0000983	YDR080W	snap_masked-flattened_line_68-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.79&CDS=1-2724
984	OG0000984	YDR081C	snap_masked-flattened_line_4-processed-gene-3.113-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.113&CDS=1-1917
985	OG0000985	YDR083W	snap_masked-flattened_line_4-processed-gene-3.170-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.170&CDS=1-1176
986	OG0000986	YDR084C	genemark-flattened_line_4-processed-gene-3.248-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.248&CDS=1-609
987	OG0000987	YDR086C	snap_masked-flattened_line_2-processed-gene-3.59-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.59&CDS=1-204
988	OG0000988	YDR087C	snap_masked-flattened_line_2-processed-gene-3.58-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.58&CDS=1-858
989	OG0000989	YDR088C	genemark-flattened_line_2-processed-gene-3.27-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.27&CDS=1-1056
990	OG0000990	YDR091C	snap_masked-flattened_line_2-processed-gene-3.84-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.84&CDS=1-1836
991	OG0000991	YDR092W	snap_masked-flattened_line_38-processed-gene-1.148-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.148&CDS=1-447
992	OG0000992	YDR097C	snap_masked-flattened_line_38-processed-gene-1.174-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.174&CDS=1-3726
993	OG0000993	YDR100W	maker-flattened_line_200-snap-gene-0.7-mRNA-1_1&gene=maker-flattened_line_200-snap-gene-0.7&CDS=1-378
994	OG0000994	YDR101C	snap_masked-flattened_line_200-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_200-processed-gene-0.14&CDS=1-1725
995	OG0000995	YDR103W	snap_masked-flattened_line_64-processed-gene-0.78-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.78&CDS=1-2151
996	OG0000996	YDR104C	snap_masked-flattened_line_200-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_200-processed-gene-0.11&CDS=1-3258
997	OG0000997	YDR105C	augustus_masked-flattened_line_4-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.58&CDS=1-1245
998	OG0000998	YDR108W	snap_masked-flattened_line_4-processed-gene-3.149-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.149&CDS=1-1932
999	OG0000999	YDR116C	augustus_masked-flattened_line_100-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.89&CDS=1-1032
1000	OG0001000	YDR120C	snap_masked-flattened_line_68-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.50&CDS=1-1497
1001	OG0001001	YDR121W	snap_masked-flattened_line_30-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.83&CDS=1-594
1002	OG0001002	YDR124W	augustus_masked-flattened_line_0-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.105&CDS=1-996
1003	OG0001003	YDR127W	snap_masked-flattened_line_14-processed-gene-1.73-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.73&CDS=1-4596
1004	OG0001004	YDR128W	genemark-flattened_line_0-processed-gene-3.10-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.10&CDS=1-2955
1005	OG0001005	YDR129C	maker-flattened_line_0-snap-gene-3.90-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-3.90&CDS=1-1899
1006	OG0001006	YDR137W	snap_masked-flattened_line_16-processed-gene-1.139-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.139&CDS=1-1770
1007	OG0001007	YDR138W	snap_masked-flattened_line_36-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.53&CDS=1-1800
1008	OG0001008	YDR140W	genemark-flattened_line_100-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.8&CDS=1-519
1009	OG0001009	YDR141C	snap_masked-flattened_line_100-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.64&CDS=1-4974
1010	OG0001010	YDR142C	augustus_masked-flattened_line_100-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.102&CDS=1-1047
1011	OG0001011	YDR145W	snap_masked-flattened_line_2-processed-gene-3.87-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.87&CDS=1-1830
1012	OG0001012	YDR148C	snap_masked-flattened_line_108-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.20&CDS=1-1296
1013	OG0001013	YDR150W	snap_masked-flattened_line_0-processed-gene-2.128-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.128&CDS=1-8955
1014	OG0001014	YDR152W	genemark-flattened_line_52-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.48&CDS=1-699
1015	OG0001015	YDR155C	snap_masked-flattened_line_52-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.81&CDS=1-486
1016	OG0001016	YDR156W	snap_masked-flattened_line_100-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.73&CDS=1-1494
1017	OG0001017	YDR158W	snap_masked-flattened_line_100-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.55&CDS=1-1089
1018	OG0001018	YDR159W	snap_masked-flattened_line_56-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.68&CDS=1-3594
1019	OG0001019	YDR160W	genemark-flattened_line_68-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.1&CDS=1-2310
1020	OG0001020	YDR161W	snap_masked-flattened_line_52-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.82&CDS=1-1113
1021	OG0001021	YDR162C	genemark-flattened_line_52-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.49&CDS=1-435
1022	OG0001022	YDR164C	genemark-flattened_line_52-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.45&CDS=1-2082
1023	OG0001023	YDR165W	snap_masked-flattened_line_52-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.77&CDS=1-1260
1024	OG0001024	YDR166C	snap_masked-flattened_line_4-processed-gene-3.155-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.155&CDS=1-2553
1025	OG0001025	YDR167W	maker-flattened_line_4-snap-gene-3.275-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-3.275&CDS=1-558
1026	OG0001026	YDR168W	snap_masked-flattened_line_4-processed-gene-3.108-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.108&CDS=1-1536
1027	OG0001027	YDR169C	snap_masked-flattened_line_88-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.84&CDS=1-1119
1028	OG0001028	YDR170C	genemark-flattened_line_88-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.52&CDS=1-6975
1029	OG0001029	YDR171W	snap_masked-flattened_line_50-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.129&CDS=1-1095
1030	OG0001030	YDR172W	snap_masked-flattened_line_50-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.96&CDS=1-2052
1031	OG0001031	YDR173C	snap_masked-flattened_line_50-processed-gene-0.130-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.130&CDS=1-996
1032	OG0001032	YDR174W	maker-flattened_line_194-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_194-snap-gene-0.3&CDS=1-744
1033	OG0001033	YDR175C	augustus_masked-flattened_line_194-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_194-processed-gene-0.18&CDS=1-2946
1034	OG0001034	YDR177W	snap_masked-flattened_line_74-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.129&CDS=1-642
1035	OG0001035	YDR179W-A	snap_masked-flattened_line_12-processed-gene-2.142-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.142&CDS=1-1140
1036	OG0001036	YDR180W	snap_masked-flattened_line_12-processed-gene-2.141-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.141&CDS=1-4482
1037	OG0001037	YDR181C	snap_masked-flattened_line_12-processed-gene-2.143-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.143&CDS=1-864
1038	OG0001038	YDR182W	genemark-flattened_line_18-processed-gene-1.179-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.179&CDS=1-1395
1039	OG0001039	YDR183W	snap_masked-flattened_line_18-processed-gene-1.281-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.281&CDS=1-633
1040	OG0001040	YDR188W	snap_masked-flattened_line_135-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_135-processed-gene-0.22&CDS=1-1632
1041	OG0001041	YDR189W	genemark-flattened_line_135-processed-gene-0.41-mRNA-1_1&gene=genemark-flattened_line_135-processed-gene-0.41&CDS=1-1905
1042	OG0001042	YDR190C	snap_masked-flattened_line_135-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_135-processed-gene-0.11&CDS=1-1368
1043	OG0001043	YDR191W	snap_masked-flattened_line_135-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_135-processed-gene-0.19&CDS=1-1266
1044	OG0001044	YDR194C	augustus_masked-flattened_line_135-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_135-processed-gene-0.58&CDS=1-2910
1045	OG0001045	YDR196C	genemark-flattened_line_135-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_135-processed-gene-0.37&CDS=1-720
1046	OG0001046	YDR197W	snap_masked-flattened_line_135-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_135-processed-gene-0.8&CDS=1-1119
1047	OG0001047	YDR198C	snap_masked-flattened_line_135-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_135-processed-gene-0.17&CDS=1-1272
1048	OG0001048	YDR202C	genemark-flattened_line_149-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_149-processed-gene-0.54&CDS=1-945
1049	OG0001049	YDR204W	genemark-flattened_line_149-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_149-processed-gene-0.44&CDS=1-837
1050	OG0001050	YDR208W	snap_masked-flattened_line_4-processed-gene-3.156-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.156&CDS=1-1869
1051	OG0001051	YDR211W	snap_masked-flattened_line_0-processed-gene-3.50-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.50&CDS=1-1869
1052	OG0001052	YDR212W	snap_masked-flattened_line_0-processed-gene-3.69-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.69&CDS=1-1662
1053	OG0001053	YDR214W	snap_masked-flattened_line_0-processed-gene-3.67-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.67&CDS=1-1005
