	OrthologID	Lachancea_dasiensis	Saccharomyces_cerevisiae
539	OG0000539	genemark-LADA0A-processed-gene-6.6-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.6&CDS=1-357	YPL013C
540	OG0000540	snap_masked-LADA0A-processed-gene-6.116-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-6.116&CDS=1-1098	YPL014W
541	OG0000541	genemark-LADA0A-processed-gene-6.7-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.7&CDS=1-2463	YPL008W
542	OG0000542	genemark-LADA0A-processed-gene-6.27-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.27&CDS=1-1713	YPL007C
543	OG0000543	augustus_masked-LADA0A-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-6.54&CDS=1-3531	YPL006W
544	OG0000544	snap_masked-LADA0A-processed-gene-6.99-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-6.99&CDS=1-1800	YPL005W
545	OG0000545	snap_masked-LADA0A-processed-gene-6.100-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-6.100&CDS=1-1335	YPL003W
546	OG0000546	genemark-LADA0A-processed-gene-6.29-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.29&CDS=1-1794	YFL002C
547	OG0000547	genemark-LADA0A-processed-gene-6.11-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.11&CDS=1-1311	YFL001W
548	OG0000548	genemark-LADA0A-processed-gene-6.30-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.30&CDS=1-702	YPL002C
549	OG0000549	genemark-LADA0A-processed-gene-6.12-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.12&CDS=1-1173	YPL001W
550	OG0000550	genemark-LADA0A-processed-gene-6.13-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.13&CDS=1-630	YFR001W
551	OG0000551	genemark-LADA0A-processed-gene-6.14-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.14&CDS=1-2541	YFR002W
552	OG0000552	genemark-LADA0A-processed-gene-6.15-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.15&CDS=1-936	YFR004W
553	OG0000553	snap_masked-LADA0A-processed-gene-6.122-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-6.122&CDS=1-1470	YFR005C
554	OG0000554	genemark-LADA0A-processed-gene-6.16-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.16&CDS=1-1551	YFR006W
555	OG0000555	genemark-LADA0A-processed-gene-6.19-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.19&CDS=1-552	YBR022W
556	OG0000556	genemark-LADA0A-processed-gene-6.34-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.34&CDS=1-3219	YBR023C
557	OG0000557	genemark-LADA0A-processed-gene-6.21-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.21&CDS=1-912	YBR037C
558	OG0000558	genemark-LADA0A-processed-gene-6.36-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.36&CDS=1-1179	YBR025C
559	OG0000559	genemark-LADA0A-processed-gene-6.22-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.22&CDS=1-1263	YLR449W
560	OG0000560	genemark-LADA0A-processed-gene-6.23-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.23&CDS=1-3135	YML075C
561	OG0000561	genemark-LADA0A-processed-gene-6.24-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.24&CDS=1-2532	YML076C
562	OG0000562	maker-LADA0A-snap-gene-6.89-mRNA-1_1&gene=maker-LADA0A-snap-gene-6.89&CDS=1-474	YML077W
563	OG0000563	genemark-LADA0A-processed-gene-6.38-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.38&CDS=1-1170	YJR125C
564	OG0000564	augustus_masked-LADA0A-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-6.84&CDS=1-555	YML078W
565	OG0000565	genemark-LADA0A-processed-gene-6.41-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.41&CDS=1-657	YML079W
566	OG0000566	maker-LADA0A-augustus-gene-6.136-mRNA-1_1&gene=maker-LADA0A-augustus-gene-6.136&CDS=1-4965	YML080W
567	OG0000567	genemark-LADA0A-processed-gene-7.140-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.140&CDS=1-951	YJR129C
568	OG0000568	genemark-LADA0A-processed-gene-7.141-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.141&CDS=1-1026	YIR029W
569	OG0000569	snap_masked-LADA0A-processed-gene-7.66-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-7.66&CDS=1-177	YML081C-A
570	OG0000570	genemark-LADA0A-processed-gene-7.138-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.138&CDS=1-1608	YJR131W
571	OG0000571	genemark-LADA0A-processed-gene-7.143-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.143&CDS=1-387	YHR191C
572	OG0000572	augustus_masked-LADA0A-processed-gene-7.1-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.1&CDS=1-843	YHR192W
573	OG0000573	genemark-LADA0A-processed-gene-7.174-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.174&CDS=1-534	YHR193C
574	OG0000574	snap_masked-LADA0A-processed-gene-7.73-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-7.73&CDS=1-1608	YHR194W
575	OG0000575	augustus_masked-LADA0A-processed-gene-7.7-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.7&CDS=1-3156	YJR132W
576	OG0000576	augustus_masked-LADA0A-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.8&CDS=1-1659	YHR196W
577	OG0000577	genemark-LADA0A-processed-gene-7.147-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.147&CDS=1-639	YJR133W
578	OG0000578	augustus_masked-LADA0A-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.32&CDS=1-1947	YJR134C
579	OG0000579	genemark-LADA0A-processed-gene-7.148-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.148&CDS=1-2307	YHR197W
580	OG0000580	augustus_masked-LADA0A-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.33&CDS=1-717	YJR135C
581	OG0000581	augustus_masked-LADA0A-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.11&CDS=1-261	YJR135W-A
582	OG0000582	augustus_masked-LADA0A-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.34&CDS=1-1260	YJR136C
583	OG0000583	augustus_masked-LADA0A-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.35&CDS=1-5022	YJR137C
584	OG0000584	genemark-LADA0A-processed-gene-7.151-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.151&CDS=1-783	YHR200W
585	OG0000585	genemark-LADA0A-processed-gene-7.152-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.152&CDS=1-4617	YJR138W
586	OG0000586	genemark-LADA0A-processed-gene-7.181-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.181&CDS=1-5940	YJR140C
587	OG0000587	augustus_masked-LADA0A-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.15&CDS=1-1056	YJR141W
588	OG0000588	augustus_masked-LADA0A-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.38&CDS=1-1161	YHR201C
589	OG0000589	genemark-LADA0A-processed-gene-7.154-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.154&CDS=1-1020	YJR142W
590	OG0000590	genemark-LADA0A-processed-gene-7.183-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.183&CDS=1-2274	YJR143C
591	OG0000591	genemark-LADA0A-processed-gene-7.155-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.155&CDS=1-780	YJR144W
592	OG0000592	genemark-LADA0A-processed-gene-7.156-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.156&CDS=1-1770	YHR202W
593	OG0000593	genemark-LADA0A-processed-gene-7.157-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.157&CDS=1-2370	YHR204W
594	OG0000594	genemark-LADA0A-processed-gene-7.158-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.158&CDS=1-2259	YHR205W
595	OG0000595	genemark-LADA0A-processed-gene-7.159-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.159&CDS=1-1404	YHR206W
596	OG0000596	genemark-LADA0A-processed-gene-7.185-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.185&CDS=1-1458	YHR207C
597	OG0000597	augustus_masked-LADA0A-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.20&CDS=1-717	YER182W
598	OG0000598	genemark-LADA0A-processed-gene-7.186-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.186&CDS=1-648	YER183C
599	OG0000599	genemark-LADA0A-processed-gene-7.161-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.161&CDS=1-516	YAL044C
600	OG0000600	genemark-LADA0A-processed-gene-7.187-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.187&CDS=1-357	YAL044W-A
601	OG0000601	snap_masked-LADA0A-processed-gene-7.92-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-7.92&CDS=1-279	YAL046C
602	OG0000602	genemark-LADA0A-processed-gene-7.188-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.188&CDS=1-2208	YOR361C
603	OG0000603	augustus_masked-LADA0A-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.22&CDS=1-2253	YAL047C
604	OG0000604	genemark-LADA0A-processed-gene-7.189-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.189&CDS=1-843	YOR362C
605	OG0000605	genemark-LADA0A-processed-gene-7.163-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.163&CDS=1-1992	YAL048C
606	OG0000606	genemark-LADA0A-processed-gene-7.190-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.190&CDS=1-2292	YAL053W
607	OG0000607	genemark-LADA0A-processed-gene-7.164-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.164&CDS=1-621	YOR367W
608	OG0000608	genemark-LADA0A-processed-gene-7.165-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.165&CDS=1-1167	YOR368W
609	OG0000609	genemark-LADA0A-processed-gene-7.192-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.192&CDS=1-420	YOR369C
610	OG0000610	augustus_masked-LADA0A-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.47&CDS=1-1842	YOR370C
611	OG0000611	augustus_masked-LADA0A-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.49&CDS=1-1473	YOR372C
612	OG0000612	augustus_masked-LADA0A-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.25&CDS=1-2184	YOR373W
613	OG0000613	genemark-LADA0A-processed-gene-7.197-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.197&CDS=1-561	YAL059W
614	OG0000614	augustus_masked-LADA0A-processed-gene-7.53-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.53&CDS=1-603	YJR115W
615	OG0000615	snap_masked-LADA0A-processed-gene-7.137-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-7.137&CDS=1-801	YDL241W
616	OG0000616	snap_masked-LADA0B-processed-gene-0.67-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-0.67&CDS=1-4680	YNL242W
617	OG0000617	snap_masked-LADA0B-processed-gene-0.68-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-0.68&CDS=1-3144	YDL240W
618	OG0000618	genemark-LADA0B-processed-gene-0.44-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.44&CDS=1-1545	YNL241C
619	OG0000619	genemark-LADA0B-processed-gene-0.45-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.45&CDS=1-1422	YNL240C
620	OG0000620	genemark-LADA0B-processed-gene-0.31-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.31&CDS=1-2388	YNL238W
621	OG0000621	genemark-LADA0B-processed-gene-0.32-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.32&CDS=1-1287	YNL237W
622	OG0000622	genemark-LADA0B-processed-gene-0.33-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.33&CDS=1-2811	YNL236W
623	OG0000623	genemark-LADA0B-processed-gene-0.34-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.34&CDS=1-783	YGR253C
624	OG0000624	augustus_masked-LADA0B-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-0.18&CDS=1-1308	YGR252W
625	OG0000625	genemark-LADA0B-processed-gene-0.47-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.47&CDS=1-1896	YHR171W
626	OG0000626	genemark-LADA0B-processed-gene-0.48-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.48&CDS=1-1539	YHR170W
627	OG0000627	genemark-LADA0B-processed-gene-0.49-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.49&CDS=1-606	YGR251W
628	OG0000628	maker-LADA0B-snap-gene-0.62-mRNA-1_1&gene=maker-LADA0B-snap-gene-0.62&CDS=1-2928	YHR169W
629	OG0000629	augustus_masked-LADA0B-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-0.23&CDS=1-780	YHR167W
630	OG0000630	genemark-LADA0B-processed-gene-0.35-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.35&CDS=1-1887	YHR166C
631	OG0000631	augustus_masked-LADA0B-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-0.9&CDS=1-7281	YHR165C
632	OG0000632	snap_masked-LADA0B-processed-gene-0.76-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-0.76&CDS=1-4575	YHR164C
633	OG0000633	genemark-LADA0B-processed-gene-0.37-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.37&CDS=1-2280	YGR250C
634	OG0000634	genemark-LADA0B-processed-gene-0.53-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.53&CDS=1-1194	YGR249W
635	OG0000635	genemark-LADA0B-processed-gene-0.54-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.54&CDS=1-765	YHR163W
636	OG0000636	snap_masked-LADA0B-processed-gene-1.47-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-1.47&CDS=1-1359	YJL213W
637	OG0000637	genemark-LADA0B-processed-gene-1.2-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.2&CDS=1-1248	YGR244C
638	OG0000638	genemark-LADA0B-processed-gene-1.3-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.3&CDS=1-2181	YGR245C
639	OG0000639	genemark-LADA0B-processed-gene-1.24-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.24&CDS=1-1743	YGR246C
640	OG0000640	genemark-LADA0B-processed-gene-1.4-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.4&CDS=1-645	YGR247W
641	OG0000641	genemark-LADA0B-processed-gene-1.25-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.25&CDS=1-2487	YMR309C
642	OG0000642	genemark-LADA0B-processed-gene-1.26-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.26&CDS=1-921	YGR282C
643	OG0000643	genemark-LADA0B-processed-gene-1.27-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.27&CDS=1-1167	YMR310C
644	OG0000644	genemark-LADA0B-processed-gene-1.28-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.28&CDS=1-654	YMR311C
645	OG0000645	genemark-LADA0B-processed-gene-1.29-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.29&CDS=1-912	YGR284C
646	OG0000646	genemark-LADA0B-processed-gene-1.30-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.30&CDS=1-1284	YGR285C
647	OG0000647	genemark-LADA0B-processed-gene-1.6-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.6&CDS=1-834	YMR312W
648	OG0000648	augustus_masked-LADA0B-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-1.121&CDS=1-1740	YMR313C
649	OG0000649	maker-LADA0B-augustus-gene-1.44-mRNA-1_1&gene=maker-LADA0B-augustus-gene-1.44&CDS=1-2619	YMR301C
650	OG0000650	genemark-LADA0B-processed-gene-1.9-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.9&CDS=1-1530	YMR300C
651	OG0000651	snap_masked-LADA0B-processed-gene-1.58-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-1.58&CDS=1-1014	YMR299C
652	OG0000652	genemark-LADA0B-processed-gene-1.11-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.11&CDS=1-1995	YGR276C
653	OG0000653	augustus_masked-LADA0B-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-1.122&CDS=1-594	YGR275W
654	OG0000654	genemark-LADA0B-processed-gene-1.12-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.12&CDS=1-3012	YGR274C
655	OG0000655	snap_masked-LADA0B-processed-gene-1.81-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-1.81&CDS=1-420	YMR298W
656	OG0000656	genemark-LADA0B-processed-gene-1.13-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.13&CDS=1-1650	YMR296C
657	OG0000657	augustus_masked-LADA0B-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-1.107&CDS=1-1152	YGR271C-A
658	OG0000658	augustus_masked-LADA0B-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-1.126&CDS=1-1122	YMR294W
659	OG0000659	genemark-LADA0B-processed-gene-1.16-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.16&CDS=1-1413	YMR293C
660	OG0000660	augustus_masked-LADA0B-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-1.127&CDS=1-4065	YGR270W
661	OG0000661	snap_masked-LADA0B-processed-gene-1.86-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-1.86&CDS=1-423	YMR292W
662	OG0000662	genemark-LADA0B-processed-gene-1.17-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.17&CDS=1-615	YGR268C
663	OG0000663	genemark-LADA0B-processed-gene-1.18-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.18&CDS=1-732	YGR267C
664	OG0000664	genemark-LADA0B-processed-gene-1.38-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.38&CDS=1-1557	YMR291W
665	OG0000665	genemark-LADA0B-processed-gene-1.39-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.39&CDS=1-2079	YGR266W
666	OG0000666	maker-LADA0B-augustus-gene-1.45-mRNA-1_1&gene=maker-LADA0B-augustus-gene-1.45&CDS=1-3795	YGR264C
667	OG0000667	genemark-LADA0B-processed-gene-1.21-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.21&CDS=1-783	YGR262C
668	OG0000668	genemark-LADA0B-processed-gene-1.40-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.40&CDS=1-1170	YMR289W
669	OG0000669	genemark-LADA0B-processed-gene-1.22-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.22&CDS=1-2412	YGR261C
670	OG0000670	genemark-LADA0B-processed-gene-1.41-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.41&CDS=1-2973	YMR288W
671	OG0000671	genemark-LADA0B-processed-gene-1.23-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.23&CDS=1-1980	YHR188C
672	OG0000672	genemark-LADA0B-processed-gene-1.42-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.42&CDS=1-900	YHR187W
673	OG0000673	genemark-LADA0B-processed-gene-2.102-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.102&CDS=1-4536	YHR186C
674	OG0000674	maker-LADA0B-snap-gene-2.47-mRNA-1_1&gene=maker-LADA0B-snap-gene-2.47&CDS=1-2400	YGR258C
675	OG0000675	snap_masked-LADA0B-processed-gene-2.52-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-2.52&CDS=1-735	YHR185C
676	OG0000676	genemark-LADA0B-processed-gene-2.101-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.101&CDS=1-1038	YGR257C
677	OG0000677	augustus_masked-LADA0B-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.22&CDS=1-1791	YHR184W
678	OG0000678	genemark-LADA0B-processed-gene-2.120-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.120&CDS=1-1476	YHR183W
679	OG0000679	genemark-LADA0B-processed-gene-2.121-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.121&CDS=1-1290	YOR301W
680	OG0000680	genemark-LADA0B-processed-gene-2.103-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.103&CDS=1-1086	YHR075C
681	OG0000681	genemark-LADA0B-processed-gene-2.123-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.123&CDS=1-2142	YHR074W
682	OG0000682	maker-LADA0B-augustus-gene-2.49-mRNA-1_1&gene=maker-LADA0B-augustus-gene-2.49&CDS=1-2157	YDR321W
683	OG0000683	genemark-LADA0B-processed-gene-2.126-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.126&CDS=1-2670	YHR073W
684	OG0000684	snap_masked-LADA0B-processed-gene-2.56-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-2.56&CDS=1-216	YDR320C-A
685	OG0000685	augustus_masked-LADA0B-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.8&CDS=1-1923	YDR320C
686	OG0000686	genemark-LADA0B-processed-gene-2.127-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.127&CDS=1-2190	YHR072W
687	OG0000687	snap_masked-LADA0B-processed-gene-2.80-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-2.80&CDS=1-1044	YDR318W
688	OG0000688	snap_masked-LADA0B-processed-gene-2.81-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-2.81&CDS=1-1518	YDR317W
689	OG0000689	genemark-LADA0B-processed-gene-2.130-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.130&CDS=1-723	YHR071W
690	OG0000690	genemark-LADA0B-processed-gene-2.131-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.131&CDS=1-1449	YHR070W
691	OG0000691	genemark-LADA0B-processed-gene-2.105-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.105&CDS=1-1062	YHR069C
692	OG0000692	maker-LADA0B-augustus-gene-2.50-mRNA-1_1&gene=maker-LADA0B-augustus-gene-2.50&CDS=1-2487	YHR068W
693	OG0000693	augustus_masked-LADA0B-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.10&CDS=1-864	YDR315C
694	OG0000694	augustus_masked-LADA0B-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.33&CDS=1-783	YHR067W
695	OG0000695	genemark-LADA0B-processed-gene-2.134-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.134&CDS=1-915	YEL029C
696	OG0000696	genemark-LADA0B-processed-gene-2.136-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.136&CDS=1-3111	YKL197C
697	OG0000697	genemark-LADA0B-processed-gene-2.137-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.137&CDS=1-642	YJR057W
698	OG0000698	augustus_masked-LADA0B-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.11&CDS=1-447	YJR056C
699	OG0000699	genemark-LADA0B-processed-gene-2.108-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.108&CDS=1-873	YML052W
700	OG0000700	augustus_masked-LADA0B-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.13&CDS=1-1296	YML051W
701	OG0000701	genemark-LADA0B-processed-gene-2.139-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.139&CDS=1-480	YJR055W
702	OG0000702	genemark-LADA0B-processed-gene-2.110-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.110&CDS=1-960	YML050W
703	OG0000703	genemark-LADA0B-processed-gene-2.140-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.140&CDS=1-3750	YML049C
704	OG0000704	genemark-LADA0B-processed-gene-2.111-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.111&CDS=1-1158	YML048W
705	OG0000705	genemark-LADA0B-processed-gene-2.141-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.141&CDS=1-1377	YJR054W
706	OG0000706	augustus_masked-LADA0B-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.42&CDS=1-1617	YJR053W
707	OG0000707	genemark-LADA0B-processed-gene-2.113-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.113&CDS=1-1407	YBR247C
708	OG0000708	augustus_masked-LADA0B-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.43&CDS=1-807	YGL098W
709	OG0000709	genemark-LADA0B-processed-gene-2.114-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.114&CDS=1-1098	YDR354W
710	OG0000710	genemark-LADA0B-processed-gene-2.115-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.115&CDS=1-2478	YDR356W
711	OG0000711	genemark-LADA0B-processed-gene-2.144-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.144&CDS=1-342	YDR357C
712	OG0000712	genemark-LADA0B-processed-gene-2.116-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.116&CDS=1-1713	YHR108W
713	OG0000713	genemark-LADA0B-processed-gene-2.145-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.145&CDS=1-2673	YDR359C
714	OG0000714	genemark-LADA0B-processed-gene-2.146-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.146&CDS=1-810	YDR361C
715	OG0000715	augustus_masked-LADA0B-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.20&CDS=1-1749	YHR109W
716	OG0000716	genemark-LADA0B-processed-gene-3.111-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.111&CDS=1-1308	YHR111W
717	OG0000717	augustus_masked-LADA0B-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-3.3&CDS=1-2037	YDR362C
718	OG0000718	genemark-LADA0B-processed-gene-3.112-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.112&CDS=1-1593	YHR113W
719	OG0000719	augustus_masked-LADA0B-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-3.2&CDS=1-1605	YDR363W
720	OG0000720	genemark-LADA0B-processed-gene-3.115-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.115&CDS=1-4380	YOR116C
721	OG0000721	snap_masked-LADA0B-processed-gene-3.59-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-3.59&CDS=1-204	YDR363W-A
