	OrthologID	Metschnikowia_ipomoeae	Saccharomyces_cerevisiae
665	OG0000665	snap_masked-ipo_s106-processed-gene-1.226-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.226&CDS=1-639	YGR167W
666	OG0000666	snap_masked-ipo_s106-processed-gene-1.227-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.227&CDS=1-2361	YGR200C
667	OG0000667	maker-ipo_s106-augustus-gene-1.2-mRNA-1_1&gene=maker-ipo_s106-augustus-gene-1.2&CDS=1-693	YHR041C
668	OG0000668	snap_masked-ipo_s106-processed-gene-1.188-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.188&CDS=1-2268	YJL033W
669	OG0000669	snap_masked-ipo_s106-processed-gene-1.189-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.189&CDS=1-1677	YDL153C
670	OG0000670	snap_masked-ipo_s106-processed-gene-1.229-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.229&CDS=1-1596	YDL143W
671	OG0000671	snap_masked-ipo_s106-processed-gene-1.190-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.190&CDS=1-993	YLR215C
672	OG0000672	snap_masked-ipo_s106-processed-gene-1.191-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.191&CDS=1-957	YBR053C
673	OG0000673	snap_masked-ipo_s106-processed-gene-1.230-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.230&CDS=1-480	YJR055W
674	OG0000674	maker-ipo_s106-snap-gene-1.159-mRNA-1_1&gene=maker-ipo_s106-snap-gene-1.159&CDS=1-2199	YMR019W
675	OG0000675	snap_masked-ipo_s106-processed-gene-1.194-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.194&CDS=1-999	YGL215W
676	OG0000676	augustus_masked-ipo_s106-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-ipo_s106-processed-gene-1.112&CDS=1-411	YER029C
677	OG0000677	snap_masked-ipo_s106-processed-gene-1.234-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.234&CDS=1-3090	YGL207W
678	OG0000678	snap_masked-ipo_s106-processed-gene-1.235-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.235&CDS=1-1527	YKL045W
679	OG0000679	snap_masked-ipo_s106-processed-gene-1.237-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.237&CDS=1-777	YJR060W
680	OG0000680	snap_masked-ipo_s106-processed-gene-1.198-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.198&CDS=1-1686	YLR044C
681	OG0000681	snap_masked-ipo_s106-processed-gene-1.199-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.199&CDS=1-2130	YMR301C
682	OG0000682	snap_masked-ipo_s106-processed-gene-1.238-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.238&CDS=1-2787	YIL137C
683	OG0000683	snap_masked-ipo_s106-processed-gene-1.201-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.201&CDS=1-1548	YPL204W
684	OG0000684	snap_masked-ipo_s106-processed-gene-1.239-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.239&CDS=1-1437	YPL212C
685	OG0000685	snap_masked-ipo_s106-processed-gene-1.202-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.202&CDS=1-543	YPL211W
686	OG0000686	snap_masked-ipo_s106-processed-gene-1.203-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.203&CDS=1-1716	YGL064C
687	OG0000687	snap_masked-ipo_s106-processed-gene-1.204-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.204&CDS=1-1290	YGL067W
688	OG0000688	snap_masked-ipo_s106-processed-gene-1.205-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.205&CDS=1-1098	YPL206C
689	OG0000689	snap_masked-ipo_s106-processed-gene-1.206-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.206&CDS=1-981	YAL032C
690	OG0000690	snap_masked-ipo_s107-processed-gene-0.21-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.21&CDS=1-564	YLR109W
691	OG0000691	augustus_masked-ipo_s107-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-ipo_s107-processed-gene-0.61&CDS=1-3393	YDR165W
692	OG0000692	snap_masked-ipo_s107-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.22&CDS=1-4641	YDR135C
693	OG0000693	snap_masked-ipo_s107-processed-gene-0.23-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.23&CDS=1-2232	YDR164C
694	OG0000694	snap_masked-ipo_s107-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.4&CDS=1-1098	YML038C
695	OG0000695	augustus_masked-ipo_s107-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-ipo_s107-processed-gene-0.80&CDS=1-1644	YDR349C
696	OG0000696	snap_masked-ipo_s107-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.5&CDS=1-3483	YIL147C
697	OG0000697	genemark-ipo_s107-processed-gene-0.36-mRNA-1_1&gene=genemark-ipo_s107-processed-gene-0.36&CDS=1-2535	YHR028C
698	OG0000698	snap_masked-ipo_s107-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.7&CDS=1-504	YKL056C
699	OG0000699	snap_masked-ipo_s107-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.25&CDS=1-1398	YOL125W
700	OG0000700	snap_masked-ipo_s107-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.8&CDS=1-1344	YMR014W
701	OG0000701	snap_masked-ipo_s107-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.26&CDS=1-1485	YDR221W
702	OG0000702	augustus_masked-ipo_s107-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-ipo_s107-processed-gene-0.83&CDS=1-732	YKL055C
703	OG0000703	snap_masked-ipo_s107-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.28&CDS=1-501	YIR022W
704	OG0000704	snap_masked-ipo_s107-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.14&CDS=1-1977	YPR175W
705	OG0000705	snap_masked-ipo_s107-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.15&CDS=1-969	YPR176C
706	OG0000706	snap_masked-ipo_s107-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.18&CDS=1-2343	YLR207W
707	OG0000707	snap_masked-ipo_s107-processed-gene-0.31-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.31&CDS=1-4353	YHR164C
708	OG0000708	snap_masked-ipo_s107-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.19&CDS=1-1545	YOR310C
709	OG0000709	augustus_masked-ipo_s107-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-ipo_s107-processed-gene-1.125&CDS=1-285	YJR022W
710	OG0000710	snap_masked-ipo_s107-processed-gene-1.6-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.6&CDS=1-753	YJR024C
711	OG0000711	snap_masked-ipo_s107-processed-gene-1.7-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.7&CDS=1-2355	YLL004W
712	OG0000712	snap_masked-ipo_s107-processed-gene-1.4-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.4&CDS=1-1656	YOR245C
713	OG0000713	augustus_masked-ipo_s107-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-ipo_s107-processed-gene-1.131&CDS=1-1068	YLR017W
714	OG0000714	snap_masked-ipo_s107-processed-gene-1.11-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.11&CDS=1-1443	YOR155C
715	OG0000715	augustus_masked-ipo_s107-processed-gene-1.161-mRNA-1_1&gene=augustus_masked-ipo_s107-processed-gene-1.161&CDS=1-429	YNL260C
716	OG0000716	augustus_masked-ipo_s107-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-ipo_s107-processed-gene-1.137&CDS=1-1089	YHR156C
717	OG0000717	snap_masked-ipo_s107-processed-gene-1.40-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.40&CDS=1-1422	YNL261W
718	OG0000718	augustus_masked-ipo_s107-processed-gene-1.163-mRNA-1_1&gene=augustus_masked-ipo_s107-processed-gene-1.163&CDS=1-7782	YNL262W
719	OG0000719	snap_masked-ipo_s107-processed-gene-1.17-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.17&CDS=1-1416	YBR126C
720	OG0000720	snap_masked-ipo_s107-processed-gene-1.43-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.43&CDS=1-1515	YPR083W
721	OG0000721	snap_masked-ipo_s107-processed-gene-1.44-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.44&CDS=1-999	YBR125C
722	OG0000722	snap_masked-ipo_s107-processed-gene-1.19-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.19&CDS=1-1119	YPR084W
723	OG0000723	snap_masked-ipo_s107-processed-gene-1.21-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.21&CDS=1-1527	YBR127C
724	OG0000724	snap_masked-ipo_s107-processed-gene-1.45-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.45&CDS=1-2403	YJL200C
725	OG0000725	snap_masked-ipo_s107-processed-gene-1.22-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.22&CDS=1-3201	YER176W
726	OG0000726	snap_masked-ipo_s107-processed-gene-1.47-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.47&CDS=1-1509	YDR434W
727	OG0000727	snap_masked-ipo_s107-processed-gene-1.23-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.23&CDS=1-1743	YDR117C
728	OG0000728	snap_masked-ipo_s107-processed-gene-1.49-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.49&CDS=1-831	YDR116C
729	OG0000729	snap_masked-ipo_s107-processed-gene-1.26-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.26&CDS=1-1794	YLR088W
730	OG0000730	snap_masked-ipo_s107-processed-gene-1.51-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.51&CDS=1-1512	YDR111C
731	OG0000731	snap_masked-ipo_s107-processed-gene-1.52-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.52&CDS=1-1569	YNR012W
732	OG0000732	snap_masked-ipo_s107-processed-gene-1.56-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.56&CDS=1-669	YHR189W
733	OG0000733	snap_masked-ipo_s107-processed-gene-1.57-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.57&CDS=1-2091	YKL188C
734	OG0000734	snap_masked-ipo_s107-processed-gene-1.31-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.31&CDS=1-1731	YHR150W
735	OG0000735	snap_masked-ipo_s107-processed-gene-1.32-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.32&CDS=1-1044	YML067C
736	OG0000736	genemark-ipo_s107-processed-gene-1.95-mRNA-1_1&gene=genemark-ipo_s107-processed-gene-1.95&CDS=1-5679	YLR430W
737	OG0000737	snap_masked-ipo_s107-processed-gene-1.60-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.60&CDS=1-522	YKL190W
738	OG0000738	snap_masked-ipo_s107-processed-gene-1.36-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.36&CDS=1-507	YLR221C
739	OG0000739	snap_masked-ipo_s107-processed-gene-1.37-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.37&CDS=1-1623	YGL186C
740	OG0000740	snap_masked-ipo_s107-processed-gene-1.63-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-1.63&CDS=1-1239	YMR235C
741	OG0000741	genemark-ipo_s107-processed-gene-1.100-mRNA-1_1&gene=genemark-ipo_s107-processed-gene-1.100&CDS=1-144	YOR045W
742	OG0000742	snap_masked-ipo_s108-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ipo_s108-processed-gene-0.22&CDS=1-432	YMR002W
743	OG0000743	snap_masked-ipo_s108-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s108-processed-gene-0.2&CDS=1-4491	YLR419W
744	OG0000744	snap_masked-ipo_s108-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s108-processed-gene-0.4&CDS=1-1761	YDR145W
745	OG0000745	maker-ipo_s108-snap-gene-0.97-mRNA-1_1&gene=maker-ipo_s108-snap-gene-0.97&CDS=1-1842	YLR127C
746	OG0000746	augustus_masked-ipo_s108-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-ipo_s108-processed-gene-0.68&CDS=1-846	YLR128W
747	OG0000747	snap_masked-ipo_s108-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s108-processed-gene-0.6&CDS=1-807	YOL142W
748	OG0000748	snap_masked-ipo_s108-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_s108-processed-gene-0.7&CDS=1-1992	YOL141W
749	OG0000749	snap_masked-ipo_s108-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ipo_s108-processed-gene-0.28&CDS=1-1980	YIL046W
750	OG0000750	snap_masked-ipo_s108-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ipo_s108-processed-gene-0.9&CDS=1-1512	YGR211W
751	OG0000751	snap_masked-ipo_s108-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ipo_s108-processed-gene-0.29&CDS=1-6594	YGR217W
752	OG0000752	snap_masked-ipo_s108-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_s108-processed-gene-0.10&CDS=1-300	YGR215W
753	OG0000753	snap_masked-ipo_s108-processed-gene-0.31-mRNA-1_1&gene=snap_masked-ipo_s108-processed-gene-0.31&CDS=1-4365	YDL195W
754	OG0000754	snap_masked-ipo_s108-processed-gene-0.32-mRNA-1_1&gene=snap_masked-ipo_s108-processed-gene-0.32&CDS=1-936	YGR017W
755	OG0000755	snap_masked-ipo_s108-processed-gene-0.20-mRNA-1_1&gene=snap_masked-ipo_s108-processed-gene-0.20&CDS=1-1353	YLL002W
756	OG0000756	snap_masked-ipo_s109-processed-gene-0.114-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.114&CDS=1-468	YMR158W
757	OG0000757	augustus_masked-ipo_s109-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ipo_s109-processed-gene-0.1&CDS=1-786	YMR157C
758	OG0000758	snap_masked-ipo_s109-processed-gene-0.115-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.115&CDS=1-732	YMR156C
759	OG0000759	genemark-ipo_s109-processed-gene-0.46-mRNA-1_1&gene=genemark-ipo_s109-processed-gene-0.46&CDS=1-672	YDL098C
760	OG0000760	augustus_masked-ipo_s109-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-ipo_s109-processed-gene-0.27&CDS=1-6411	YDR159W
761	OG0000761	snap_masked-ipo_s109-processed-gene-0.120-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.120&CDS=1-1095	YDR158W
762	OG0000762	snap_masked-ipo_s109-processed-gene-0.94-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.94&CDS=1-1626	YML069W
763	OG0000763	snap_masked-ipo_s109-processed-gene-0.96-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.96&CDS=1-1752	YLR152C
764	OG0000764	snap_masked-ipo_s109-processed-gene-0.97-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.97&CDS=1-588	YDL072C
765	OG0000765	snap_masked-ipo_s109-processed-gene-0.121-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.121&CDS=1-1836	YLR401C
766	OG0000766	snap_masked-ipo_s109-processed-gene-0.98-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.98&CDS=1-2808	YLR409C
767	OG0000767	augustus_masked-ipo_s109-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ipo_s109-processed-gene-0.10&CDS=1-1467	YDL076C
768	OG0000768	snap_masked-ipo_s109-processed-gene-0.101-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.101&CDS=1-822	YLR407W
769	OG0000769	snap_masked-ipo_s109-processed-gene-0.123-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.123&CDS=1-1128	YOR388C
770	OG0000770	snap_masked-ipo_s109-processed-gene-0.124-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.124&CDS=1-780	YLL041C
771	OG0000771	snap_masked-ipo_s109-processed-gene-0.125-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.125&CDS=1-1161	YGR234W
772	OG0000772	snap_masked-ipo_s109-processed-gene-0.126-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.126&CDS=1-1140	YJR149W
773	OG0000773	snap_masked-ipo_s109-processed-gene-0.127-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.127&CDS=1-285	YMR225C
774	OG0000774	snap_masked-ipo_s109-processed-gene-0.130-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.130&CDS=1-693	YFR042W
775	OG0000775	snap_masked-ipo_s109-processed-gene-0.105-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.105&CDS=1-930	YFR041C
776	OG0000776	snap_masked-ipo_s109-processed-gene-0.132-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.132&CDS=1-3693	YJR089W
777	OG0000777	augustus_masked-ipo_s109-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-ipo_s109-processed-gene-0.40&CDS=1-1431	YPR036W
778	OG0000778	augustus_masked-ipo_s109-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ipo_s109-processed-gene-0.16&CDS=1-2283	YKR084C
779	OG0000779	augustus_masked-ipo_s109-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-ipo_s109-processed-gene-0.19&CDS=1-2148	YLR188W
780	OG0000780	snap_masked-ipo_s109-processed-gene-0.110-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.110&CDS=1-4947	YLR189C
781	OG0000781	snap_masked-ipo_s109-processed-gene-0.111-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.111&CDS=1-1392	YNL277W
782	OG0000782	snap_masked-ipo_s109-processed-gene-0.113-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.113&CDS=1-2088	YCL039W
783	OG0000783	snap_masked-ipo_s109-processed-gene-1.5-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.5&CDS=1-1662	YCL043C
784	OG0000784	snap_masked-ipo_s109-processed-gene-1.3-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.3&CDS=1-1980	YLR214W
785	OG0000785	snap_masked-ipo_s109-processed-gene-1.6-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.6&CDS=1-1404	YDR036C
786	OG0000786	augustus_masked-ipo_s109-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-ipo_s109-processed-gene-1.92&CDS=1-2601	YPL094C
787	OG0000787	snap_masked-ipo_s109-processed-gene-1.54-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.54&CDS=1-2625	YDR074W
788	OG0000788	snap_masked-ipo_s109-processed-gene-1.55-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.55&CDS=1-1851	YER165W
789	OG0000789	snap_masked-ipo_s109-processed-gene-1.56-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.56&CDS=1-4080	YER164W
790	OG0000790	augustus_masked-ipo_s109-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-ipo_s109-processed-gene-1.93&CDS=1-5214	YDR091C
791	OG0000791	snap_masked-ipo_s109-processed-gene-1.57-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.57&CDS=1-330	YMR059W
792	OG0000792	snap_masked-ipo_s109-processed-gene-1.12-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.12&CDS=1-852	YMR244W
793	OG0000793	snap_masked-ipo_s109-processed-gene-1.58-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.58&CDS=1-2439	YDR421W
794	OG0000794	snap_masked-ipo_s109-processed-gene-1.59-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.59&CDS=1-1158	YHR107C
795	OG0000795	snap_masked-ipo_s109-processed-gene-1.61-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.61&CDS=1-1683	YDR101C
796	OG0000796	snap_masked-ipo_s109-processed-gene-1.62-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.62&CDS=1-1539	YMR239C
797	OG0000797	snap_masked-ipo_s109-processed-gene-1.14-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.14&CDS=1-759	YDL202W
798	OG0000798	snap_masked-ipo_s109-processed-gene-1.15-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.15&CDS=1-897	YDL201W
799	OG0000799	snap_masked-ipo_s109-processed-gene-1.63-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.63&CDS=1-927	YDR233C
800	OG0000800	snap_masked-ipo_s109-processed-gene-1.65-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.65&CDS=1-2997	YMR231W
801	OG0000801	snap_masked-ipo_s109-processed-gene-1.17-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.17&CDS=1-351	YDR493W
802	OG0000802	snap_masked-ipo_s109-processed-gene-1.18-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.18&CDS=1-609	YOL102C
803	OG0000803	snap_masked-ipo_s109-processed-gene-1.19-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.19&CDS=1-2586	YMR212C
804	OG0000804	snap_masked-ipo_s109-processed-gene-1.66-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.66&CDS=1-504	YOR276W
805	OG0000805	snap_masked-ipo_s109-processed-gene-1.20-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.20&CDS=1-519	YOR252W
806	OG0000806	snap_masked-ipo_s109-processed-gene-1.22-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.22&CDS=1-2574	YER069W
807	OG0000807	snap_masked-ipo_s109-processed-gene-1.23-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.23&CDS=1-1368	YCR095C
808	OG0000808	snap_masked-ipo_s109-processed-gene-1.24-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.24&CDS=1-2115	YDR194C
809	OG0000809	snap_masked-ipo_s109-processed-gene-1.69-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.69&CDS=1-1446	YOR154W
810	OG0000810	snap_masked-ipo_s109-processed-gene-1.25-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.25&CDS=1-1167	YGL246C
811	OG0000811	snap_masked-ipo_s109-processed-gene-1.26-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.26&CDS=1-1455	YDR256C
812	OG0000812	snap_masked-ipo_s109-processed-gene-1.28-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.28&CDS=1-1044	YDL209C
813	OG0000813	augustus_masked-ipo_s109-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-ipo_s109-processed-gene-1.148&CDS=1-1686	YDR243C
814	OG0000814	snap_masked-ipo_s109-processed-gene-1.29-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.29&CDS=1-444	YPL037C
815	OG0000815	augustus_masked-ipo_s109-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-ipo_s109-processed-gene-1.150&CDS=1-1611	YMR300C
816	OG0000816	augustus_masked-ipo_s109-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-ipo_s109-processed-gene-1.151&CDS=1-1737	YDL160C
817	OG0000817	snap_masked-ipo_s109-processed-gene-1.30-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.30&CDS=1-3126	YNL163C
818	OG0000818	snap_masked-ipo_s109-processed-gene-1.76-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.76&CDS=1-1881	YGR276C
819	OG0000819	augustus_masked-ipo_s11-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-ipo_s11-processed-gene-0.39&CDS=1-915	YMR281W
820	OG0000820	snap_masked-ipo_s11-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ipo_s11-processed-gene-0.13&CDS=1-1209	YLR085C
821	OG0000821	snap_masked-ipo_s11-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s11-processed-gene-0.4&CDS=1-2007	YOR322C
822	OG0000822	snap_masked-ipo_s11-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s11-processed-gene-0.6&CDS=1-3786	YBR235W
823	OG0000823	snap_masked-ipo_s11-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_s11-processed-gene-0.7&CDS=1-312	YBR233W-A
824	OG0000824	snap_masked-ipo_s11-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s11-processed-gene-0.8&CDS=1-1443	YLR359W
825	OG0000825	snap_masked-ipo_s112-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ipo_s112-processed-gene-0.11&CDS=1-1278	YMR034C
826	OG0000826	snap_masked-ipo_s112-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_s112-processed-gene-0.10&CDS=1-1044	YMR041C
827	OG0000827	snap_masked-ipo_s113-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s113-processed-gene-0.1&CDS=1-2586	YPR162C
828	OG0000828	snap_masked-ipo_s113-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s113-processed-gene-0.2&CDS=1-1908	YLR452C
829	OG0000829	snap_masked-ipo_s113-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s113-processed-gene-0.4&CDS=1-1581	YER025W
830	OG0000830	snap_masked-ipo_s113-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s113-processed-gene-0.6&CDS=1-2289	YKL213C
831	OG0000831	snap_masked-ipo_s117-processed-gene-0.118-mRNA-1_1&gene=snap_masked-ipo_s117-processed-gene-0.118&CDS=1-3627	YEL031W
832	OG0000832	augustus_masked-ipo_s117-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-ipo_s117-processed-gene-0.71&CDS=1-906	YGR096W
833	OG0000833	snap_masked-ipo_s117-processed-gene-0.98-mRNA-1_1&gene=snap_masked-ipo_s117-processed-gene-0.98&CDS=1-2106	YLR396C
834	OG0000834	snap_masked-ipo_s117-processed-gene-0.119-mRNA-1_1&gene=snap_masked-ipo_s117-processed-gene-0.119&CDS=1-183	YDL067C
835	OG0000835	snap_masked-ipo_s117-processed-gene-0.99-mRNA-1_1&gene=snap_masked-ipo_s117-processed-gene-0.99&CDS=1-249	YLR395C
836	OG0000836	snap_masked-ipo_s117-processed-gene-0.101-mRNA-1_1&gene=snap_masked-ipo_s117-processed-gene-0.101&CDS=1-1707	YIL101C
