	OrthologID	Brettanomyces_anomalus	Saccharomyces_cerevisiae
434	OG0000434	augustus_masked-LCTY01000020.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-LCTY01000020.1-processed-gene-0.49&CDS=1-1440	YER027C, YGL208W
435	OG0000435		YOL055C, YPL258C, YPR121W
436	OG0000436	augustus_masked-LCTY01000016.1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-0.94&CDS=1-1296, snap_masked-LCTY01000001.1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-0.84&CDS=1-1395	
437	OG0000437	augustus_masked-LCTY01000001.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.51&CDS=1-3513	YFR031C
438	OG0000438	augustus_masked-LCTY01000001.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.37&CDS=1-1719	YPL194W
439	OG0000439	augustus_masked-LCTY01000001.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.52&CDS=1-375	YGL080W
440	OG0000440	snap_masked-LCTY01000001.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-0.72&CDS=1-1020	YDR245W
441	OG0000441	snap_masked-LCTY01000001.1-processed-gene-0.73-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-0.73&CDS=1-3549	YPL016W
442	OG0000442	augustus_masked-LCTY01000001.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.53&CDS=1-3123	YPL022W
443	OG0000443	augustus_masked-LCTY01000001.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.40&CDS=1-1956	YPL023C
444	OG0000444	augustus_masked-LCTY01000001.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.41&CDS=1-1152	YNL084C
445	OG0000445	augustus_masked-LCTY01000001.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.56&CDS=1-3255	YIL128W
446	OG0000446	maker-LCTY01000001.1-snap-gene-0.2-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-0.2&CDS=1-1878	YPR165W
447	OG0000447	augustus_masked-LCTY01000001.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.42&CDS=1-1371	YBR138C
448	OG0000448	augustus_masked-LCTY01000001.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.60&CDS=1-1425	YNL040W
449	OG0000449	augustus_masked-LCTY01000001.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.43&CDS=1-1851	YAR002W
450	OG0000450	augustus_masked-LCTY01000001.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.44&CDS=1-2103	YDR333C
451	OG0000451	augustus_masked-LCTY01000001.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.62&CDS=1-1371	YJR019C
452	OG0000452	augustus_masked-LCTY01000001.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.45&CDS=1-2160	YKL213C
453	OG0000453	augustus_masked-LCTY01000001.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.64&CDS=1-873	YKL024C
454	OG0000454	augustus_masked-LCTY01000001.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.65&CDS=1-1335	YBL045C
455	OG0000455	augustus_masked-LCTY01000001.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.46&CDS=1-369	YPR166C
456	OG0000456	maker-LCTY01000001.1-augustus-gene-0.0-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-0.0&CDS=1-3642	YHR072W
457	OG0000457	augustus_masked-LCTY01000001.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.67&CDS=1-1152	YBL010C
458	OG0000458	augustus_masked-LCTY01000001.1-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.60&CDS=1-1116	YDR202C
459	OG0000459	augustus_masked-LCTY01000001.1-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.42&CDS=1-4824	YDR180W
460	OG0000460	augustus_masked-LCTY01000001.1-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.61&CDS=1-2634	YLR166C
461	OG0000461	augustus_masked-LCTY01000001.1-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.62&CDS=1-1458	YDR182W
462	OG0000462	augustus_masked-LCTY01000001.1-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.44&CDS=1-1587	YHR045W
463	OG0000463	snap_masked-LCTY01000001.1-processed-gene-1.7-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-1.7&CDS=1-8538	YIL129C
464	OG0000464	augustus_masked-LCTY01000001.1-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.46&CDS=1-906	YML004C
465	OG0000465	augustus_masked-LCTY01000001.1-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.63&CDS=1-420	YCL033C
466	OG0000466	augustus_masked-LCTY01000001.1-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.64&CDS=1-2487	YOR165W
467	OG0000467	maker-LCTY01000001.1-augustus-gene-1.109-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-1.109&CDS=1-1002	YOR164C
468	OG0000468	augustus_masked-LCTY01000001.1-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.65&CDS=1-708	YOR163W
469	OG0000469	maker-LCTY01000001.1-snap-gene-1.115-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-1.115&CDS=1-2664	YLR290C
470	OG0000470	snap_masked-LCTY01000001.1-processed-gene-1.29-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-1.29&CDS=1-1170	YNR041C
471	OG0000471	snap_masked-LCTY01000001.1-processed-gene-1.31-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-1.31&CDS=1-2157	YKL188C
472	OG0000472	maker-LCTY01000001.1-augustus-gene-1.113-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-1.113&CDS=1-408	YOL026C
473	OG0000473	genemark-LCTY01000001.1-processed-gene-1.89-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-1.89&CDS=1-1590	YGL252C
474	OG0000474	augustus_masked-LCTY01000001.1-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.55&CDS=1-1272	YGR285C
475	OG0000475	augustus_masked-LCTY01000001.1-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.72&CDS=1-867	YOR194C
476	OG0000476	augustus_masked-LCTY01000001.1-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.56&CDS=1-2628	YOR195W
477	OG0000477	augustus_masked-LCTY01000001.1-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.58&CDS=1-2265	YJL128C
478	OG0000478	augustus_masked-LCTY01000001.1-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.59&CDS=1-1266	YOR196C
479	OG0000479	augustus_masked-LCTY01000001.1-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.73&CDS=1-1482	YOR198C
480	OG0000480	augustus_masked-LCTY01000001.1-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.42&CDS=1-861	YGL161C
481	OG0000481	augustus_masked-LCTY01000001.1-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.40&CDS=1-2739	YGR014W
482	OG0000482	augustus_masked-LCTY01000001.1-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.41&CDS=1-1122	YMR152W
483	OG0000483	maker-LCTY01000001.1-snap-gene-2.1-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-2.1&CDS=1-2436	YJL094C
484	OG0000484	augustus_masked-LCTY01000001.1-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.56&CDS=1-2796	YOR219C
485	OG0000485	augustus_masked-LCTY01000001.1-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.45&CDS=1-441	YOR224C
486	OG0000486	genemark-LCTY01000001.1-processed-gene-2.27-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-2.27&CDS=1-870	YOR223W
487	OG0000487	genemark-LCTY01000001.1-processed-gene-2.29-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-2.29&CDS=1-411	YLR363W-A
488	OG0000488	maker-LCTY01000001.1-snap-gene-2.0-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-2.0&CDS=1-1857	YDR531W
489	OG0000489	genemark-LCTY01000001.1-processed-gene-2.17-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-2.17&CDS=1-1950	YDL029W
490	OG0000490	augustus_masked-LCTY01000001.1-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.62&CDS=1-2367	YDL028C
491	OG0000491	augustus_masked-LCTY01000001.1-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.63&CDS=1-909	YER118C
492	OG0000492	augustus_masked-LCTY01000001.1-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.50&CDS=1-3093	YDL215C
493	OG0000493	maker-LCTY01000001.1-augustus-gene-2.6-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-2.6&CDS=1-2397	YNL238W
494	OG0000494	augustus_masked-LCTY01000001.1-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.65&CDS=1-1338	YNL239W
495	OG0000495	augustus_masked-LCTY01000001.1-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.66&CDS=1-1722	YDL225W
496	OG0000496	augustus_masked-LCTY01000001.1-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.51&CDS=1-735	YNL200C
497	OG0000497	snap_masked-LCTY01000001.1-processed-gene-2.106-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-2.106&CDS=1-525	YNL197C
498	OG0000498	augustus_masked-LCTY01000001.1-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.53&CDS=1-3501	YFL037W
499	OG0000499	augustus_masked-LCTY01000001.1-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.70&CDS=1-1521	YMR131C
500	OG0000500	augustus_masked-LCTY01000001.1-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.1&CDS=1-2760	YBR055C
501	OG0000501	augustus_masked-LCTY01000001.1-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.2&CDS=1-1872	YGR112W
502	OG0000502	augustus_masked-LCTY01000001.1-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.4&CDS=1-864	YER026C
503	OG0000503	augustus_masked-LCTY01000001.1-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.5&CDS=1-1263	YLR027C
504	OG0000504	maker-LCTY01000001.1-snap-gene-3.81-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-3.81&CDS=1-1380	YDR527W
505	OG0000505	augustus_masked-LCTY01000001.1-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.6&CDS=1-3921	YNL250W
506	OG0000506	genemark-LCTY01000001.1-processed-gene-3.92-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-3.92&CDS=1-2319	YNL247W
507	OG0000507	augustus_masked-LCTY01000001.1-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.25&CDS=1-963	YKL094W
508	OG0000508	augustus_masked-LCTY01000001.1-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.26&CDS=1-1995	YLR116W
509	OG0000509	maker-LCTY01000001.1-augustus-gene-3.80-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-3.80&CDS=1-3792	YPL260W
510	OG0000510	augustus_masked-LCTY01000001.1-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.29&CDS=1-1725	YDL178W
511	OG0000511	augustus_masked-LCTY01000001.1-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.14&CDS=1-1791	YOR070C
512	OG0000512	augustus_masked-LCTY01000001.1-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.16&CDS=1-1425	YER019W
513	OG0000513	augustus_masked-LCTY01000001.1-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.17&CDS=1-3675	YLR189C
514	OG0000514	genemark-LCTY01000001.1-processed-gene-3.117-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-3.117&CDS=1-1569	YNL277W
515	OG0000515	snap_masked-LCTY01000001.1-processed-gene-3.71-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-3.71&CDS=1-2079	YLR188W
516	OG0000516	augustus_masked-LCTY01000001.1-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.35&CDS=1-684	YER170W
517	OG0000517	augustus_masked-LCTY01000001.1-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.36&CDS=1-861	YPL157W
518	OG0000518	augustus_masked-LCTY01000001.1-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.19&CDS=1-1476	YJL025W
519	OG0000519	augustus_masked-LCTY01000001.1-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.37&CDS=1-2196	YOR275C
520	OG0000520	augustus_masked-LCTY01000001.1-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.38&CDS=1-2754	YMR266W
521	OG0000521	snap_masked-LCTY01000001.1-processed-gene-3.59-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-3.59&CDS=1-1107	YEL036C
522	OG0000522	augustus_masked-LCTY01000001.1-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.49&CDS=1-3339	YEL043W
523	OG0000523	maker-LCTY01000001.1-snap-gene-4.140-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-4.140&CDS=1-1389	YEL046C
524	OG0000524	augustus_masked-LCTY01000001.1-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.74&CDS=1-2568	YLL034C
525	OG0000525	augustus_masked-LCTY01000001.1-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.78&CDS=1-279	YLR038C
526	OG0000526	augustus_masked-LCTY01000001.1-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.54&CDS=1-2316	YLL035W
527	OG0000527	augustus_masked-LCTY01000001.1-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.55&CDS=1-1038	YGL040C
528	OG0000528	augustus_masked-LCTY01000001.1-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.79&CDS=1-774	YMR077C
529	OG0000529	augustus_masked-LCTY01000001.1-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.57&CDS=1-855	YMR269W
530	OG0000530	augustus_masked-LCTY01000001.1-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.60&CDS=1-4977	YML103C
531	OG0000531	snap_masked-LCTY01000001.1-processed-gene-4.15-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-4.15&CDS=1-2124	YBL011W
532	OG0000532	augustus_masked-LCTY01000001.1-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.62&CDS=1-2235	YGL022W
533	OG0000533	augustus_masked-LCTY01000001.1-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.82&CDS=1-216	YJL205C
534	OG0000534	augustus_masked-LCTY01000001.1-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.65&CDS=1-1845	YHL032C
535	OG0000535	augustus_masked-LCTY01000001.1-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.67&CDS=1-1035	YOR311C
536	OG0000536	genemark-LCTY01000001.1-processed-gene-4.128-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-4.128&CDS=1-1683	YBL039C
537	OG0000537	augustus_masked-LCTY01000001.1-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.84&CDS=1-708	YJR102C
538	OG0000538	genemark-LCTY01000001.1-processed-gene-4.130-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-4.130&CDS=1-714	YJR101W
539	OG0000539	augustus_masked-LCTY01000001.1-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.69&CDS=1-1017	YJR100C
540	OG0000540	augustus_masked-LCTY01000001.1-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.86&CDS=1-462	YJR104C
541	OG0000541	augustus_masked-LCTY01000001.1-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.71&CDS=1-636	YBL040C
542	OG0000542	maker-LCTY01000001.1-augustus-gene-4.146-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-4.146&CDS=1-729	YBL041W
543	OG0000543	augustus_masked-LCTY01000001.1-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.88&CDS=1-2286	YDR205W
544	OG0000544	augustus_masked-LCTY01000001.1-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.89&CDS=1-1332	YER152C
545	OG0000545	maker-LCTY01000001.1-snap-gene-4.139-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-4.139&CDS=1-966	YMR234W
546	OG0000546	snap_masked-LCTY01000001.1-processed-gene-4.48-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-4.48&CDS=1-2217	YLL019C
547	OG0000547	augustus_masked-LCTY01000001.1-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.107&CDS=1-291	YLL018C-A
548	OG0000548	augustus_masked-LCTY01000001.1-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.109&CDS=1-1728	YDL113C
549	OG0000549	augustus_masked-LCTY01000001.1-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.127&CDS=1-759	YPR037C
550	OG0000550	augustus_masked-LCTY01000001.1-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.112&CDS=1-1248	YPR040W
551	OG0000551	augustus_masked-LCTY01000001.1-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.113&CDS=1-1467	YDR376W
552	OG0000552	augustus_masked-LCTY01000001.1-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.128&CDS=1-297	YDR377W
553	OG0000553	maker-LCTY01000001.1-augustus-gene-5.54-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-5.54&CDS=1-264	YNL211C
554	OG0000554	augustus_masked-LCTY01000001.1-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.129&CDS=1-2382	YNL212W
555	OG0000555	augustus_masked-LCTY01000001.1-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.115&CDS=1-732	YNL213C
556	OG0000556	augustus_masked-LCTY01000001.1-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.130&CDS=1-3546	YGL151W
557	OG0000557	augustus_masked-LCTY01000001.1-processed-gene-5.134-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.134&CDS=1-483	YDR512C
558	OG0000558	augustus_masked-LCTY01000001.1-processed-gene-5.135-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.135&CDS=1-834	YDL052C
559	OG0000559	maker-LCTY01000001.1-augustus-gene-5.59-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-5.59&CDS=1-363	YNL081C
560	OG0000560	augustus_masked-LCTY01000001.1-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.137&CDS=1-1146	YNL080C
561	OG0000561	maker-LCTY01000001.1-snap-gene-5.47-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-5.47&CDS=1-2799	YIL137C
562	OG0000562	augustus_masked-LCTY01000001.1-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.142&CDS=1-273	YDR510W
563	OG0000563	snap_masked-LCTY01000001.1-processed-gene-5.79-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-5.79&CDS=1-591	YOL114C
564	OG0000564	augustus_masked-LCTY01000001.1-processed-gene-5.145-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.145&CDS=1-1107	YMR265C
565	OG0000565	augustus_masked-LCTY01000001.1-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.146&CDS=1-741	YBR261C
566	OG0000566	augustus_masked-LCTY01000001.1-processed-gene-5.123-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.123&CDS=1-1500	YBR283C
567	OG0000567	genemark-LCTY01000001.1-processed-gene-5.44-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-5.44&CDS=1-483	YBR004C
568	OG0000568	augustus_masked-LCTY01000001.1-processed-gene-6.48-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.48&CDS=1-2256	YBR080C
569	OG0000569	augustus_masked-LCTY01000001.1-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.49&CDS=1-1194	YGL048C
570	OG0000570	augustus_masked-LCTY01000001.1-processed-gene-6.71-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.71&CDS=1-918	YJL053W
571	OG0000571	augustus_masked-LCTY01000001.1-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.72&CDS=1-666	YDR226W
572	OG0000572	augustus_masked-LCTY01000001.1-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.74&CDS=1-1566	YBL015W
573	OG0000573	augustus_masked-LCTY01000001.1-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.52&CDS=1-1257	YJL210W
574	OG0000574	augustus_masked-LCTY01000001.1-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.53&CDS=1-4389	YMR190C
575	OG0000575	maker-LCTY01000001.1-augustus-gene-6.4-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-6.4&CDS=1-2313	YGL234W
576	OG0000576	augustus_masked-LCTY01000001.1-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.57&CDS=1-1707	YIL001W
577	OG0000577	augustus_masked-LCTY01000001.1-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.58&CDS=1-315	YIL008W
578	OG0000578	augustus_masked-LCTY01000001.1-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.79&CDS=1-660	YIL007C
579	OG0000579	snap_masked-LCTY01000001.1-processed-gene-6.101-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-6.101&CDS=1-762	YEL001C
580	OG0000580	snap_masked-LCTY01000001.1-processed-gene-6.103-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-6.103&CDS=1-747	YKL152C
581	OG0000581	augustus_masked-LCTY01000001.1-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.61&CDS=1-237	YGR105W
582	OG0000582	augustus_masked-LCTY01000001.1-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.81&CDS=1-270	YJL166W
583	OG0000583	augustus_masked-LCTY01000001.1-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.62&CDS=1-1674	YNR030W
584	OG0000584	augustus_masked-LCTY01000001.1-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.84&CDS=1-1878	YJL041W
585	OG0000585	augustus_masked-LCTY01000001.1-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.85&CDS=1-2451	YFR038W
586	OG0000586	augustus_masked-LCTY01000001.1-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.67&CDS=1-1818	YFR037C
587	OG0000587	augustus_masked-LCTY01000001.1-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.68&CDS=1-1260	YLR191W
588	OG0000588	augustus_masked-LCTY01000001.1-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.69&CDS=1-891	YIL084C
589	OG0000589	augustus_masked-LCTY01000001.1-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.70&CDS=1-768	YOL032W
590	OG0000590	snap_masked-LCTY01000001.1-processed-gene-7.88-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-7.88&CDS=1-1650	YOL033W
591	OG0000591	snap_masked-LCTY01000001.1-processed-gene-7.89-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-7.89&CDS=1-1011	YAL014C
592	OG0000592	augustus_masked-LCTY01000001.1-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.46&CDS=1-1929	YAL048C
