	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034901_Ogataea_methylivora
615	OG0000615	YPR169W-A, YPR170W-B	maker-flattened_line_12-augustus-gene-2.213-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-2.213&CDS=1-252
616	OG0000616	YAL001C	augustus_masked-flattened_line_86-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.26&CDS=1-3633
617	OG0000617	YAL002W	genemark-flattened_line_28-processed-gene-1.9-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.9&CDS=1-4377
618	OG0000618	YAL003W	genemark-flattened_line_44-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.62&CDS=1-645
619	OG0000619	YAL008W	genemark-flattened_line_94-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.108&CDS=1-618
620	OG0000620	YAL009W	genemark-flattened_line_94-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.83&CDS=1-1245
621	OG0000621	YAL010C	genemark-flattened_line_94-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.104&CDS=1-1275
622	OG0000622	YAL011W	genemark-flattened_line_2-processed-gene-1.48-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.48&CDS=1-2652
623	OG0000623	YAL013W	snap_masked-flattened_line_20-processed-gene-1.143-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.143&CDS=1-1086
624	OG0000624	YAL014C	genemark-flattened_line_2-processed-gene-1.46-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.46&CDS=1-867
625	OG0000625	YAL016W	augustus_masked-flattened_line_60-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.30&CDS=1-1866
626	OG0000626	YAL019W	genemark-flattened_line_94-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.82&CDS=1-3180
627	OG0000627	YAL020C	genemark-flattened_line_94-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.103&CDS=1-1032
628	OG0000628	YAL021C	maker-flattened_line_60-snap-gene-0.255-mRNA-1_1&gene=maker-flattened_line_60-snap-gene-0.255&CDS=1-3492
629	OG0000629	YAL022C	augustus_masked-flattened_line_18-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.99&CDS=1-2178
630	OG0000630	YAL023C	genemark-flattened_line_18-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.33&CDS=1-2358
631	OG0000631	YAL024C	augustus_masked-flattened_line_26-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.15&CDS=1-4011
632	OG0000632	YAL025C	genemark-flattened_line_38-processed-gene-1.89-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.89&CDS=1-927
633	OG0000633	YAL026C	genemark-flattened_line_4-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.31&CDS=1-4080
634	OG0000634	YAL031C	maker-flattened_line_82-snap-gene-0.54-mRNA-1_1&gene=maker-flattened_line_82-snap-gene-0.54&CDS=1-2670
635	OG0000635	YAL032C	genemark-flattened_line_34-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.30&CDS=1-1176
636	OG0000636	YAL033W	genemark-flattened_line_128-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_128-processed-gene-0.31&CDS=1-468
637	OG0000637	YAL034W-A	genemark-flattened_line_82-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.117&CDS=1-924
638	OG0000638	YAL035W	genemark-flattened_line_94-processed-gene-0.107-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.107&CDS=1-3039
639	OG0000639	YAL036C	genemark-flattened_line_94-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.88&CDS=1-1104
640	OG0000640	YAL038W	genemark-flattened_line_40-processed-gene-1.166-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.166&CDS=1-1515
641	OG0000641	YAL039C	genemark-flattened_line_16-processed-gene-1.154-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.154&CDS=1-792
642	OG0000642	YAL042W	maker-flattened_line_16-augustus-gene-1.286-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-1.286&CDS=1-3051
643	OG0000643	YAL043C	genemark-flattened_line_38-processed-gene-1.94-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.94&CDS=1-2196
644	OG0000644	YAL044C	genemark-flattened_line_26-processed-gene-1.185-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.185&CDS=1-546
645	OG0000645	YAL044W-A	genemark-flattened_line_26-processed-gene-1.156-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.156&CDS=1-375
646	OG0000646	YAL046C	augustus_masked-flattened_line_14-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.99&CDS=1-267
647	OG0000647	YAL048C	genemark-flattened_line_14-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.2&CDS=1-1929
648	OG0000648	YAL049C	genemark-flattened_line_40-processed-gene-1.136-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.136&CDS=1-732
649	OG0000649	YAL053W	genemark-flattened_line_40-processed-gene-1.165-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.165&CDS=1-2235
650	OG0000650	YAL054C	genemark-flattened_line_40-processed-gene-1.137-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.137&CDS=1-2025
651	OG0000651	YAL059W	genemark-flattened_line_6-processed-gene-1.82-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.82&CDS=1-522
652	OG0000652	YAL060W	genemark-flattened_line_6-processed-gene-2.94-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.94&CDS=1-1134
653	OG0000653	YAR002W	augustus_masked-flattened_line_112-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.70&CDS=1-4191
654	OG0000654	YAR003W	genemark-flattened_line_60-processed-gene-0.226-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.226&CDS=1-1278
655	OG0000655	YAR007C	genemark-flattened_line_14-processed-gene-2.63-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.63&CDS=1-1809
656	OG0000656	YAR008W	genemark-flattened_line_90-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.83&CDS=1-927
657	OG0000657	YAR014C	snap_masked-flattened_line_18-processed-gene-1.156-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.156&CDS=1-1650
658	OG0000658	YAR015W	maker-flattened_line_2-augustus-gene-3.102-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-3.102&CDS=1-2274
659	OG0000659	YAR019C	snap_masked-flattened_line_92-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.96&CDS=1-2745
660	OG0000660	YAR035W	genemark-flattened_line_10-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.77&CDS=1-2268
661	OG0000661	YBL001C	genemark-flattened_line_2-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.75&CDS=1-321
662	OG0000662	YBL004W	augustus_masked-flattened_line_2-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.122&CDS=1-7596
663	OG0000663	YBL007C	genemark-flattened_line_56-processed-gene-0.205-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.205&CDS=1-3576
664	OG0000664	YBL008W	genemark-flattened_line_60-processed-gene-0.167-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.167&CDS=1-2799
665	OG0000665	YBL010C	genemark-flattened_line_98-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.44&CDS=1-930
666	OG0000666	YBL011W	genemark-flattened_line_108-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_108-processed-gene-0.27&CDS=1-2187
667	OG0000667	YBL013W	augustus_masked-flattened_line_8-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.48&CDS=1-1038
668	OG0000668	YBL014C	augustus_masked-flattened_line_8-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.14&CDS=1-2307
669	OG0000669	YBL015W	genemark-flattened_line_68-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.112&CDS=1-1569
670	OG0000670	YBL016W	genemark-flattened_line_64-processed-gene-0.229-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.229&CDS=1-1050
671	OG0000671	YBL018C	snap_masked-flattened_line_14-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.84&CDS=1-354
672	OG0000672	YBL019W	augustus_masked-flattened_line_100-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.78&CDS=1-1953
673	OG0000673	YBL020W	genemark-flattened_line_110-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.35&CDS=1-1704
674	OG0000674	YBL021C	genemark-flattened_line_110-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.51&CDS=1-1035
675	OG0000675	YBL022C	maker-flattened_line_52-augustus-gene-0.237-mRNA-1_1&gene=maker-flattened_line_52-augustus-gene-0.237&CDS=1-4920
676	OG0000676	YBL023C	genemark-flattened_line_10-processed-gene-1.57-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.57&CDS=1-2649
677	OG0000677	YBL024W	genemark-flattened_line_110-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.53&CDS=1-2079
678	OG0000678	YBL028C	genemark-flattened_line_22-processed-gene-1.84-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.84&CDS=1-300
679	OG0000679	YBL029C-A	snap_masked-flattened_line_28-processed-gene-1.129-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.129&CDS=1-681
680	OG0000680	YBL029W	genemark-flattened_line_84-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.86&CDS=1-816
681	OG0000681	YBL032W	maker-flattened_line_8-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-0.3&CDS=1-2295
682	OG0000682	YBL034C	augustus_masked-flattened_line_32-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.16&CDS=1-4269
683	OG0000683	YBL035C	genemark-flattened_line_68-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.97&CDS=1-1938
684	OG0000684	YBL036C	genemark-flattened_line_68-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.93&CDS=1-714
685	OG0000685	YBL037W	genemark-flattened_line_68-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.92&CDS=1-2895
686	OG0000686	YBL038W	genemark-flattened_line_20-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.46&CDS=1-687
687	OG0000687	YBL039C	genemark-flattened_line_48-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.56&CDS=1-1731
688	OG0000688	YBL040C	genemark-flattened_line_48-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.24&CDS=1-633
689	OG0000689	YBL041W	genemark-flattened_line_48-processed-gene-0.60-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.60&CDS=1-732
690	OG0000690	YBL045C	genemark-flattened_line_12-processed-gene-2.103-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.103&CDS=1-1329
691	OG0000691	YBL047C	genemark-flattened_line_4-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.48&CDS=1-4350
692	OG0000692	YBL049W	genemark-flattened_line_12-processed-gene-2.134-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.134&CDS=1-741
693	OG0000693	YBL050W	genemark-flattened_line_8-processed-gene-1.98-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.98&CDS=1-894
694	OG0000694	YBL051C	genemark-flattened_line_46-processed-gene-0.181-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.181&CDS=1-2289
695	OG0000695	YBL052C	genemark-flattened_line_46-processed-gene-0.156-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.156&CDS=1-2364
696	OG0000696	YBL054W	genemark-flattened_line_46-processed-gene-0.204-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.204&CDS=1-744
697	OG0000697	YBL055C	genemark-flattened_line_46-processed-gene-0.157-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.157&CDS=1-1125
698	OG0000698	YBL057C	genemark-flattened_line_46-processed-gene-0.206-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.206&CDS=1-654
699	OG0000699	YBL076C	genemark-flattened_line_20-processed-gene-1.232-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.232&CDS=1-3216
700	OG0000700	YBL078C	augustus_masked-flattened_line_20-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.48&CDS=1-378
701	OG0000701	YBL079W	genemark-flattened_line_20-processed-gene-1.253-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.253&CDS=1-4401
702	OG0000702	YBL080C	genemark-flattened_line_20-processed-gene-1.289-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.289&CDS=1-1437
703	OG0000703	YBL082C	genemark-flattened_line_20-processed-gene-1.275-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.275&CDS=1-1431
704	OG0000704	YBL084C	genemark-flattened_line_4-processed-gene-1.39-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.39&CDS=1-1998
705	OG0000705	YBL086C	augustus_masked-flattened_line_12-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.105&CDS=1-1164
706	OG0000706	YBL088C	genemark-flattened_line_42-processed-gene-0.234-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.234&CDS=1-9033
707	OG0000707	YBL090W	genemark-flattened_line_4-processed-gene-1.37-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.37&CDS=1-564
708	OG0000708	YBL091C	genemark-flattened_line_4-processed-gene-1.52-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.52&CDS=1-1293
709	OG0000709	YBL092W	genemark-flattened_line_4-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.30&CDS=1-393
710	OG0000710	YBL093C	genemark-flattened_line_4-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.50&CDS=1-537
711	OG0000711	YBL095W	genemark-flattened_line_56-processed-gene-0.223-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.223&CDS=1-687
712	OG0000712	YBL097W	genemark-flattened_line_46-processed-gene-0.191-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.191&CDS=1-2130
713	OG0000713	YBL098W	genemark-flattened_line_46-processed-gene-0.142-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.142&CDS=1-1377
714	OG0000714	YBL099W	genemark-flattened_line_2-processed-gene-3.48-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.48&CDS=1-1632
715	OG0000715	YBL102W	augustus_masked-flattened_line_54-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.66&CDS=1-648
716	OG0000716	YBL103C	genemark-flattened_line_54-processed-gene-0.163-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.163&CDS=1-1419
717	OG0000717	YBL104C	maker-flattened_line_38-snap-gene-0.69-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-0.69&CDS=1-4929
718	OG0000718	YBL107C	genemark-flattened_line_96-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.97&CDS=1-615
719	OG0000719	YBR002C	genemark-flattened_line_18-processed-gene-1.262-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.262&CDS=1-831
720	OG0000720	YBR003W	genemark-flattened_line_18-processed-gene-1.218-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.218&CDS=1-1446
721	OG0000721	YBR004C	genemark-flattened_line_24-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.81&CDS=1-1260
722	OG0000722	YBR006W	genemark-flattened_line_6-processed-gene-2.181-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.181&CDS=1-1464
723	OG0000723	YBR007C	snap_masked-flattened_line_44-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.124&CDS=1-1947
724	OG0000724	YBR011C	genemark-flattened_line_16-processed-gene-0.102-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.102&CDS=1-852
725	OG0000725	YBR015C	genemark-flattened_line_16-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.103&CDS=1-2121
726	OG0000726	YBR017C	genemark-flattened_line_18-processed-gene-1.255-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.255&CDS=1-2772
727	OG0000727	YBR019C	maker-flattened_line_141-augustus-gene-0.23-mRNA-1_1&gene=maker-flattened_line_141-augustus-gene-0.23&CDS=1-3201
728	OG0000728	YBR022W	genemark-flattened_line_10-processed-gene-1.70-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.70&CDS=1-558
729	OG0000729	YBR023C	genemark-flattened_line_10-processed-gene-1.73-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.73&CDS=1-3657
730	OG0000730	YBR025C	genemark-flattened_line_22-processed-gene-1.108-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.108&CDS=1-1185
731	OG0000731	YBR026C	maker-flattened_line_18-snap-gene-1.103-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-1.103&CDS=1-1542
732	OG0000732	YBR028C	genemark-flattened_line_16-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.106&CDS=1-1431
733	OG0000733	YBR029C	genemark-flattened_line_10-processed-gene-1.68-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.68&CDS=1-1305
734	OG0000734	YBR030W	genemark-flattened_line_116-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.58&CDS=1-2019
735	OG0000735	YBR034C	genemark-flattened_line_24-processed-gene-1.83-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.83&CDS=1-1044
736	OG0000736	YBR035C	snap_masked-flattened_line_66-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.11&CDS=1-648
737	OG0000737	YBR037C	genemark-flattened_line_22-processed-gene-1.109-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.109&CDS=1-921
738	OG0000738	YBR039W	genemark-flattened_line_34-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.8&CDS=1-879
739	OG0000739	YBR040W	augustus_masked-flattened_line_10-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.23&CDS=1-1614
740	OG0000740	YBR041W	genemark-flattened_line_116-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.33&CDS=1-1938
741	OG0000741	YBR042C	genemark-flattened_line_10-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.58&CDS=1-1224
742	OG0000742	YBR043C	genemark-flattened_line_10-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.81&CDS=1-1968
743	OG0000743	YBR045C	augustus_masked-flattened_line_34-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.96&CDS=1-765
744	OG0000744	YBR046C	genemark-flattened_line_16-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.118&CDS=1-1008
745	OG0000745	YBR053C	genemark-flattened_line_58-processed-gene-0.156-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.156&CDS=1-975
746	OG0000746	YBR056W	genemark-flattened_line_10-processed-gene-2.106-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.106&CDS=1-1497
747	OG0000747	YBR057C	genemark-flattened_line_28-processed-gene-1.14-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.14&CDS=1-1335
748	OG0000748	YBR058C	genemark-flattened_line_28-processed-gene-1.38-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.38&CDS=1-2352
749	OG0000749	YBR060C	genemark-flattened_line_14-processed-gene-1.19-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.19&CDS=1-2073
750	OG0000750	YBR061C	genemark-flattened_line_135-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_135-processed-gene-0.19&CDS=1-909
751	OG0000751	YBR062C	genemark-flattened_line_135-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_135-processed-gene-0.18&CDS=1-660
752	OG0000752	YBR065C	genemark-flattened_line_135-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_135-processed-gene-0.17&CDS=1-1122
753	OG0000753	YBR070C	genemark-flattened_line_135-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_135-processed-gene-0.25&CDS=1-702
754	OG0000754	YBR072W	genemark-flattened_line_26-processed-gene-1.173-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.173&CDS=1-708
755	OG0000755	YBR073W	genemark-flattened_line_10-processed-gene-2.111-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.111&CDS=1-2535
756	OG0000756	YBR074W	genemark-flattened_line_10-processed-gene-2.112-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.112&CDS=1-2937
757	OG0000757	YBR079C	maker-flattened_line_38-snap-gene-1.12-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-1.12&CDS=1-3261
758	OG0000758	YBR080C	genemark-flattened_line_12-processed-gene-2.91-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.91&CDS=1-2241
759	OG0000759	YBR081C	genemark-flattened_line_74-processed-gene-0.210-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.210&CDS=1-3930
760	OG0000760	YBR082C	genemark-flattened_line_22-processed-gene-1.141-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.141&CDS=1-441
761	OG0000761	YBR083W	genemark-flattened_line_22-processed-gene-1.83-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.83&CDS=1-2121
762	OG0000762	YBR084W	genemark-flattened_line_110-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.46&CDS=1-2934
763	OG0000763	YBR085W	genemark-flattened_line_24-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.74&CDS=1-906
764	OG0000764	YBR086C	genemark-flattened_line_68-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.128&CDS=1-2301
765	OG0000765	YBR087W	genemark-flattened_line_20-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.68&CDS=1-1137
766	OG0000766	YBR088C	genemark-flattened_line_20-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.70&CDS=1-774
767	OG0000767	YBR091C	genemark-flattened_line_66-processed-gene-0.116-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.116&CDS=1-327
768	OG0000768	YBR094W	genemark-flattened_line_20-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.71&CDS=1-2151
769	OG0000769	YBR095C	genemark-flattened_line_20-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.48&CDS=1-1149
770	OG0000770	YBR097W	genemark-flattened_line_66-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.88&CDS=1-5712
771	OG0000771	YBR098W	snap_masked-flattened_line_66-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.25&CDS=1-2319
772	OG0000772	YBR101C	genemark-flattened_line_66-processed-gene-0.125-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.125&CDS=1-888
773	OG0000773	YBR102C	genemark-flattened_line_145-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_145-processed-gene-0.2&CDS=1-1935
774	OG0000774	YBR103W	genemark-flattened_line_4-processed-gene-1.47-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.47&CDS=1-1689
775	OG0000775	YBR105C	genemark-flattened_line_66-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.87&CDS=1-960
776	OG0000776	YBR106W	genemark-flattened_line_88-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.6&CDS=1-570
777	OG0000777	YBR109C	genemark-flattened_line_40-processed-gene-1.167-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.167&CDS=1-450
778	OG0000778	YBR110W	genemark-flattened_line_40-processed-gene-1.140-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.140&CDS=1-1512
779	OG0000779	YBR111C	genemark-flattened_line_40-processed-gene-1.171-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.171&CDS=1-627
780	OG0000780	YBR111W-A	genemark-flattened_line_40-processed-gene-1.141-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.141&CDS=1-309
781	OG0000781	YBR112C	snap_masked-flattened_line_60-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.111&CDS=1-2349
782	OG0000782	YBR114W	genemark-flattened_line_6-processed-gene-2.102-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.102&CDS=1-2616
783	OG0000783	YBR115C	genemark-flattened_line_6-processed-gene-2.146-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.146&CDS=1-4197
784	OG0000784	YBR119W	genemark-flattened_line_4-processed-gene-3.157-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.157&CDS=1-741
785	OG0000785	YBR120C	genemark-flattened_line_4-processed-gene-3.117-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.117&CDS=1-465
786	OG0000786	YBR121C	genemark-flattened_line_16-processed-gene-1.94-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.94&CDS=1-1953
787	OG0000787	YBR122C	genemark-flattened_line_2-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.65&CDS=1-558
788	OG0000788	YBR123C	genemark-flattened_line_104-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_104-processed-gene-0.77&CDS=1-1779
789	OG0000789	YBR125C	genemark-flattened_line_104-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_104-processed-gene-0.82&CDS=1-1272
