	OrthologID	Saccharomyces_cerevisiae	yHAB155_Kazachstania_spencerorum
167	OG0000167	YNL295W	augustus_masked-scf7180000055645-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000055645-processed-gene-0.19&CDS=1-1488, snap_masked-scf7180000055122-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000055122-processed-gene-0.0&CDS=1-285, snap_masked-scf7180000055192-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000055192-processed-gene-0.1&CDS=1-285
168	OG0000168	YNL301C, YOL120C	augustus_masked-scf7180000055639-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-scf7180000055639-processed-gene-2.124&CDS=1-990, maker-scf7180000055662-augustus-gene-4.289-mRNA-1_1&gene=maker-scf7180000055662-augustus-gene-4.289&CDS=1-1014
169	OG0000169	YNL311C	augustus_masked-scf7180000054099-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054099-processed-gene-0.2&CDS=1-852, augustus_masked-scf7180000055662-processed-gene-4.132-mRNA-1_1&gene=augustus_masked-scf7180000055662-processed-gene-4.132&CDS=1-2694, snap_masked-scf7180000054110-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000054110-processed-gene-0.2&CDS=1-765
170	OG0000170	YNL316C, YNL318C	augustus_masked-scf7180000055397-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055397-processed-gene-0.0&CDS=1-390, augustus_masked-scf7180000055662-processed-gene-4.135-mRNA-1_1&gene=augustus_masked-scf7180000055662-processed-gene-4.135&CDS=1-2589
171	OG0000171	YOL036W	augustus_masked-scf7180000055631-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-scf7180000055631-processed-gene-0.88&CDS=1-2244, snap_masked-scf7180000054407-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000054407-processed-gene-0.0&CDS=1-261, snap_masked-scf7180000054425-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000054425-processed-gene-0.1&CDS=1-261
172	OG0000172	YOL041C	augustus_masked-scf7180000054146-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054146-processed-gene-0.2&CDS=1-786, augustus_masked-scf7180000054156-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054156-processed-gene-0.0&CDS=1-780, genemark-scf7180000055639-processed-gene-0.27-mRNA-1_1&gene=genemark-scf7180000055639-processed-gene-0.27&CDS=1-1296
173	OG0000173	YOR054C	augustus_masked-scf7180000053893-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053893-processed-gene-0.0&CDS=1-945, augustus_masked-scf7180000053899-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053899-processed-gene-0.0&CDS=1-948, genemark-scf7180000055664-processed-gene-0.175-mRNA-1_1&gene=genemark-scf7180000055664-processed-gene-0.175&CDS=1-1947
174	OG0000174	YOR083W	augustus_masked-scf7180000054152-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054152-processed-gene-0.0&CDS=1-783, augustus_masked-scf7180000054447-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054447-processed-gene-0.0&CDS=1-513, snap_masked-scf7180000055664-processed-gene-0.81-mRNA-1_1&gene=snap_masked-scf7180000055664-processed-gene-0.81&CDS=1-1116
175	OG0000175	YOR162C, YOR172W	augustus_masked-scf7180000054184-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054184-processed-gene-0.0&CDS=1-564, snap_masked-scf7180000055673-processed-gene-2.99-mRNA-1_1&gene=snap_masked-scf7180000055673-processed-gene-2.99&CDS=1-2523
176	OG0000176	YOR287C, YOR288C	augustus_masked-scf7180000053657-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053657-processed-gene-0.0&CDS=1-642, augustus_masked-scf7180000055605-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-scf7180000055605-processed-gene-0.61&CDS=1-1944
177	OG0000177	YOR336W	augustus_masked-scf7180000053777-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053777-processed-gene-0.0&CDS=1-1503, augustus_masked-scf7180000055440-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000055440-processed-gene-0.23&CDS=1-1476, genemark-scf7180000055669-processed-gene-0.84-mRNA-1_1&gene=genemark-scf7180000055669-processed-gene-0.84&CDS=1-4071
178	OG0000178	YOR342C	augustus_masked-scf7180000053764-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000053764-processed-gene-0.1&CDS=1-291, snap_masked-scf7180000053765-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000053765-processed-gene-0.1&CDS=1-291, snap_masked-scf7180000055669-processed-gene-0.59-mRNA-1_1&gene=snap_masked-scf7180000055669-processed-gene-0.59&CDS=1-819
179	OG0000179	YPL020C	augustus_masked-scf7180000054496-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054496-processed-gene-0.0&CDS=1-480, augustus_masked-scf7180000054544-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054544-processed-gene-0.0&CDS=1-459, augustus_masked-scf7180000055577-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-scf7180000055577-processed-gene-0.117&CDS=1-1629
180	OG0000180	YPL068C	augustus_masked-scf7180000054045-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054045-processed-gene-0.0&CDS=1-738, augustus_masked-scf7180000054049-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054049-processed-gene-0.2&CDS=1-741, snap_masked-scf7180000055569-processed-gene-0.73-mRNA-1_1&gene=snap_masked-scf7180000055569-processed-gene-0.73&CDS=1-1023
181	OG0000181	YPL088W	augustus_masked-scf7180000055538-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055538-processed-gene-0.2&CDS=1-2082, augustus_masked-scf7180000055594-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-scf7180000055594-processed-gene-1.128&CDS=1-2082, genemark-scf7180000055359-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000055359-processed-gene-0.31&CDS=1-1035
182	OG0000182	YPL127C	genemark-scf7180000053792-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000053792-processed-gene-0.4&CDS=1-696, genemark-scf7180000053793-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000053793-processed-gene-0.3&CDS=1-696, maker-scf7180000055605-snap-gene-0.152-mRNA-1_1&gene=maker-scf7180000055605-snap-gene-0.152&CDS=1-1284
183	OG0000183	YPL173W	augustus_masked-scf7180000055413-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055413-processed-gene-0.0&CDS=1-654, genemark-scf7180000053762-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000053762-processed-gene-0.2&CDS=1-879, genemark-scf7180000055610-processed-gene-0.71-mRNA-1_1&gene=genemark-scf7180000055610-processed-gene-0.71&CDS=1-879
184	OG0000184	YPL181W	augustus_masked-scf7180000054186-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054186-processed-gene-0.0&CDS=1-726, augustus_masked-scf7180000054203-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054203-processed-gene-0.0&CDS=1-705, snap_masked-scf7180000055600-processed-gene-0.56-mRNA-1_1&gene=snap_masked-scf7180000055600-processed-gene-0.56&CDS=1-1200
185	OG0000185	YPL202C	augustus_masked-scf7180000053930-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000053930-processed-gene-0.4&CDS=1-195, augustus_masked-scf7180000055587-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000055587-processed-gene-0.21&CDS=1-1095, snap_masked-scf7180000053931-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000053931-processed-gene-0.4&CDS=1-198
186	OG0000186	YPR073C	augustus_masked-scf7180000054262-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000054262-processed-gene-0.3&CDS=1-333, augustus_masked-scf7180000054277-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054277-processed-gene-0.0&CDS=1-318, genemark-scf7180000055639-processed-gene-1.126-mRNA-1_1&gene=genemark-scf7180000055639-processed-gene-1.126&CDS=1-477
187	OG0000187	YPR122W	augustus_masked-scf7180000053830-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000053830-processed-gene-0.2&CDS=1-1467, augustus_masked-scf7180000053835-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053835-processed-gene-0.0&CDS=1-1329, genemark-scf7180000055588-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000055588-processed-gene-0.41&CDS=1-3651
188	OG0000188	YPR186C	genemark-scf7180000054016-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000054016-processed-gene-0.1&CDS=1-783, genemark-scf7180000054017-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000054017-processed-gene-0.0&CDS=1-783, genemark-scf7180000055570-processed-gene-0.44-mRNA-1_1&gene=genemark-scf7180000055570-processed-gene-0.44&CDS=1-1359
189	OG0000189	YAL007C, YOR016C	genemark-scf7180000055633-processed-gene-0.11-mRNA-1_1&gene=genemark-scf7180000055633-processed-gene-0.11&CDS=1-636
190	OG0000190	YAL040C	augustus_masked-scf7180000053658-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053658-processed-gene-0.0&CDS=1-255, genemark-scf7180000055587-processed-gene-0.68-mRNA-1_1&gene=genemark-scf7180000055587-processed-gene-0.68&CDS=1-1533
191	OG0000191	YAL062W, YOR375C	genemark-scf7180000055525-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000055525-processed-gene-0.18&CDS=1-1371
192	OG0000192	YBL002W, YDR224C	genemark-scf7180000055649-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000055649-processed-gene-0.16&CDS=1-375
193	OG0000193	YBL003C, YDR225W	genemark-scf7180000055642-processed-gene-1.116-mRNA-1_1&gene=genemark-scf7180000055642-processed-gene-1.116&CDS=1-393
194	OG0000194	YBL005W	augustus_masked-scf7180000055552-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scf7180000055552-processed-gene-0.39&CDS=1-3393, snap_masked-scf7180000055552-processed-gene-0.79-mRNA-1_1&gene=snap_masked-scf7180000055552-processed-gene-0.79&CDS=1-2823
195	OG0000195	YBL009W, YGL021W	snap_masked-scf7180000054561-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000054561-processed-gene-0.1&CDS=1-411
196	OG0000196	YBL027W, YBR084C-A	genemark-scf7180000055547-processed-gene-0.23-mRNA-1_1&gene=genemark-scf7180000055547-processed-gene-0.23&CDS=1-567
197	OG0000197	YBL029C-A	augustus_masked-scf7180000054473-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054473-processed-gene-0.0&CDS=1-267, augustus_masked-scf7180000055647-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000055647-processed-gene-0.38&CDS=1-267
198	OG0000198	YBL030C, YBR085W	genemark-scf7180000055656-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000055656-processed-gene-0.3&CDS=1-906
199	OG0000199	YBL047C	augustus_masked-scf7180000053843-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000053843-processed-gene-0.2&CDS=1-1407, genemark-scf7180000055403-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000055403-processed-gene-0.2&CDS=1-4485
200	OG0000200	YBL059W, YER093C-A	maker-scf7180000055651-augustus-gene-0.67-mRNA-1_1&gene=maker-scf7180000055651-augustus-gene-0.67&CDS=1-435
201	OG0000201	YBL063W	augustus_masked-scf7180000053994-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053994-processed-gene-0.0&CDS=1-921, genemark-scf7180000055618-processed-gene-0.56-mRNA-1_1&gene=genemark-scf7180000055618-processed-gene-0.56&CDS=1-3363
202	OG0000202	YBL068W, YER099C	genemark-scf7180000055618-processed-gene-2.1-mRNA-1_1&gene=genemark-scf7180000055618-processed-gene-2.1&CDS=1-978
203	OG0000203	YBL069W, YER101C	genemark-scf7180000055618-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000055618-processed-gene-0.55&CDS=1-1290
204	OG0000204	YBL072C, YER102W	genemark-scf7180000055618-processed-gene-0.71-mRNA-1_1&gene=genemark-scf7180000055618-processed-gene-0.71&CDS=1-597
205	OG0000205	YBL088C	augustus_masked-scf7180000053755-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053755-processed-gene-0.0&CDS=1-1845, genemark-scf7180000055637-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000055637-processed-gene-0.0&CDS=1-3306
206	OG0000206	YBL092W	genemark-scf7180000055579-processed-gene-0.38-mRNA-1_1&gene=genemark-scf7180000055579-processed-gene-0.38&CDS=1-393, genemark-scf7180000055637-processed-gene-0.28-mRNA-1_1&gene=genemark-scf7180000055637-processed-gene-0.28&CDS=1-393
207	OG0000207	YBL103C	augustus_masked-scf7180000054073-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054073-processed-gene-0.0&CDS=1-360, snap_masked-scf7180000055637-processed-gene-0.91-mRNA-1_1&gene=snap_masked-scf7180000055637-processed-gene-0.91&CDS=1-1314
208	OG0000208	YBR005W, YDR003W	augustus_masked-scf7180000055607-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-scf7180000055607-processed-gene-1.44&CDS=1-675
209	OG0000209	YBR007C	genemark-scf7180000055607-processed-gene-1.203-mRNA-1_1&gene=genemark-scf7180000055607-processed-gene-1.203&CDS=1-2532, snap_masked-scf7180000054566-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000054566-processed-gene-0.0&CDS=1-387
210	OG0000210	YBR008C	genemark-scf7180000055558-processed-gene-0.95-mRNA-1_1&gene=genemark-scf7180000055558-processed-gene-0.95&CDS=1-1695, genemark-scf7180000055618-processed-gene-0.59-mRNA-1_1&gene=genemark-scf7180000055618-processed-gene-0.59&CDS=1-1686
211	OG0000211	YBR020W, YDR009W	genemark-scf7180000055653-processed-gene-0.71-mRNA-1_1&gene=genemark-scf7180000055653-processed-gene-0.71&CDS=1-1551
212	OG0000212	YBR054W, YDR033W	genemark-scf7180000055607-processed-gene-0.67-mRNA-1_1&gene=genemark-scf7180000055607-processed-gene-0.67&CDS=1-966
213	OG0000213	YBR070C	genemark-scf7180000054416-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000054416-processed-gene-0.0&CDS=1-342, genemark-scf7180000055547-processed-gene-0.38-mRNA-1_1&gene=genemark-scf7180000055547-processed-gene-0.38&CDS=1-684
214	OG0000214	YBR082C, YDR059C	snap_masked-scf7180000055656-processed-gene-0.59-mRNA-1_1&gene=snap_masked-scf7180000055656-processed-gene-0.59&CDS=1-441
215	OG0000215	YBR083W	augustus_masked-scf7180000055656-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-scf7180000055656-processed-gene-0.81&CDS=1-2361, snap_masked-scf7180000055547-processed-gene-0.52-mRNA-1_1&gene=snap_masked-scf7180000055547-processed-gene-0.52&CDS=1-1452
216	OG0000216	YBR086C	augustus_masked-scf7180000055656-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-scf7180000055656-processed-gene-0.103&CDS=1-2763, snap_masked-scf7180000055647-processed-gene-0.49-mRNA-1_1&gene=snap_masked-scf7180000055647-processed-gene-0.49&CDS=1-2760
217	OG0000217	YBR089C-A, YPR052C	augustus_masked-scf7180000055647-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000055647-processed-gene-0.22&CDS=1-279
218	OG0000218	YBR095C	genemark-scf7180000054218-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000054218-processed-gene-0.1&CDS=1-657, genemark-scf7180000055656-processed-gene-0.27-mRNA-1_1&gene=genemark-scf7180000055656-processed-gene-0.27&CDS=1-1128
219	OG0000219	YBR097W	augustus_masked-scf7180000053810-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053810-processed-gene-0.0&CDS=1-1497, augustus_masked-scf7180000055656-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scf7180000055656-processed-gene-0.89&CDS=1-4710
220	OG0000220	YBR098W	genemark-scf7180000055648-processed-gene-0.17-mRNA-1_1&gene=genemark-scf7180000055648-processed-gene-0.17&CDS=1-2148, snap_masked-scf7180000053933-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000053933-processed-gene-0.2&CDS=1-1113
221	OG0000221	YBR118W, YPR080W	genemark-scf7180000055672-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000055672-processed-gene-0.9&CDS=1-1347
222	OG0000222	YBR121C, YPR081C	augustus_masked-scf7180000055672-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-scf7180000055672-processed-gene-0.72&CDS=1-6261
223	OG0000223	YBR128C, YBR130C	snap_masked-scf7180000055672-processed-gene-0.126-mRNA-1_1&gene=snap_masked-scf7180000055672-processed-gene-0.126&CDS=1-1833
224	OG0000224	YBR156C	genemark-scf7180000055548-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000055548-processed-gene-0.1&CDS=1-2226, snap_masked-scf7180000054530-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000054530-processed-gene-0.0&CDS=1-438
225	OG0000225	YBR157C	augustus_masked-scf7180000054878-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054878-processed-gene-0.0&CDS=1-303, augustus_masked-scf7180000055548-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scf7180000055548-processed-gene-0.55&CDS=1-627
226	OG0000226	YBR172C, YPL105C	genemark-scf7180000055448-processed-gene-0.52-mRNA-1_1&gene=genemark-scf7180000055448-processed-gene-0.52&CDS=1-2373
227	OG0000227	YBR177C, YPL095C	maker-scf7180000055448-augustus-gene-0.37-mRNA-1_1&gene=maker-scf7180000055448-augustus-gene-0.37&CDS=1-3807
228	OG0000228	YBR181C, YPL090C	genemark-scf7180000055569-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000055569-processed-gene-0.10&CDS=1-708
229	OG0000229	YBR183W, YPL087W	genemark-scf7180000055569-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000055569-processed-gene-0.26&CDS=1-957
230	OG0000230	YBR191W, YPL079W	augustus_masked-scf7180000055519-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000055519-processed-gene-0.34&CDS=1-294
231	OG0000231	YBR192W	augustus_masked-scf7180000055448-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000055448-processed-gene-0.6&CDS=1-840, genemark-scf7180000055519-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000055519-processed-gene-0.1&CDS=1-1116
232	OG0000232	YBR210W, YGL054C	augustus_masked-scf7180000055639-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-scf7180000055639-processed-gene-2.106&CDS=1-1083
233	OG0000233	YBR211C	augustus_masked-scf7180000054538-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054538-processed-gene-0.2&CDS=1-378, snap_masked-scf7180000055607-processed-gene-1.160-mRNA-1_1&gene=snap_masked-scf7180000055607-processed-gene-1.160&CDS=1-972
234	OG0000234	YBR218C, YGL062W	maker-scf7180000055607-augustus-gene-1.179-mRNA-1_1&gene=maker-scf7180000055607-augustus-gene-1.179&CDS=1-5280
235	OG0000235	YBR225W	augustus_masked-scf7180000054229-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054229-processed-gene-0.2&CDS=1-681, augustus_masked-scf7180000055607-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-scf7180000055607-processed-gene-1.35&CDS=1-2805
236	OG0000236	YBR242W, YGL101W	maker-scf7180000055625-augustus-gene-0.110-mRNA-1_1&gene=maker-scf7180000055625-augustus-gene-0.110&CDS=1-1089
237	OG0000237	YBR244W, YIR037W	genemark-scf7180000053993-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000053993-processed-gene-0.2&CDS=1-483
238	OG0000238	YBR268W	genemark-scf7180000055558-processed-gene-0.103-mRNA-1_1&gene=genemark-scf7180000055558-processed-gene-0.103&CDS=1-321, genemark-scf7180000055589-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000055589-processed-gene-0.22&CDS=1-321
239	OG0000239	YBR276C	augustus_masked-scf7180000053725-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053725-processed-gene-0.0&CDS=1-1257, genemark-scf7180000055589-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000055589-processed-gene-0.20&CDS=1-2547
240	OG0000240	YCL001W-B	augustus_masked-scf7180000054396-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054396-processed-gene-0.2&CDS=1-417, genemark-scf7180000055668-processed-gene-1.67-mRNA-1_1&gene=genemark-scf7180000055668-processed-gene-1.67&CDS=1-1182
241	OG0000241	YCL008C	augustus_masked-scf7180000054874-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054874-processed-gene-0.0&CDS=1-312, snap_masked-scf7180000055668-processed-gene-1.220-mRNA-1_1&gene=snap_masked-scf7180000055668-processed-gene-1.220&CDS=1-1152
242	OG0000242	YCL010C	augustus_masked-scf7180000055639-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-scf7180000055639-processed-gene-0.79&CDS=1-783, genemark-scf7180000053988-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000053988-processed-gene-0.1&CDS=1-597
243	OG0000243	YCL025C	augustus_masked-scf7180000053724-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000053724-processed-gene-0.2&CDS=1-1377, genemark-scf7180000055595-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000055595-processed-gene-0.0&CDS=1-1938
244	OG0000244	YCL035C, YDR513W	genemark-scf7180000055595-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000055595-processed-gene-0.7&CDS=1-318
245	OG0000245	YCL047C	genemark-scf7180000054177-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000054177-processed-gene-0.0&CDS=1-465, genemark-scf7180000055595-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000055595-processed-gene-0.13&CDS=1-825
246	OG0000246	YCL050C, YDR530C	genemark-scf7180000055595-processed-gene-0.14-mRNA-1_1&gene=genemark-scf7180000055595-processed-gene-0.14&CDS=1-954
247	OG0000247	YCL057C-A	augustus_masked-scf7180000054268-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054268-processed-gene-0.2&CDS=1-279, augustus_masked-scf7180000055595-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-scf7180000055595-processed-gene-0.49&CDS=1-279
248	OG0000248	YCL061C	augustus_masked-scf7180000055603-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000055603-processed-gene-0.14&CDS=1-3273, snap_masked-scf7180000053794-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000053794-processed-gene-0.2&CDS=1-1614
249	OG0000249	YCL066W, YCR040W	snap_masked-scf7180000055374-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000055374-processed-gene-0.2&CDS=1-450
250	OG0000250	YCL068C, YCR038C	augustus_masked-scf7180000055617-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000055617-processed-gene-0.52&CDS=1-4344
251	OG0000251	YCR005C, YNR001C	maker-scf7180000055668-augustus-gene-1.197-mRNA-1_1&gene=maker-scf7180000055668-augustus-gene-1.197&CDS=1-2220
252	OG0000252	YCR010C, YNR002C	genemark-scf7180000055599-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000055599-processed-gene-0.6&CDS=1-846
253	OG0000253	YCR024C	augustus_masked-scf7180000054585-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054585-processed-gene-0.0&CDS=1-450, genemark-scf7180000055561-processed-gene-0.84-mRNA-1_1&gene=genemark-scf7180000055561-processed-gene-0.84&CDS=1-1377
254	OG0000254	YCR024C-A, YEL017C-A	snap_masked-scf7180000054046-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000054046-processed-gene-0.0&CDS=1-213
255	OG0000255	YCR031C, YJL191W	augustus_masked-scf7180000055609-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000055609-processed-gene-0.10&CDS=1-402
256	OG0000256	YCR054C	genemark-scf7180000055662-processed-gene-4.70-mRNA-1_1&gene=genemark-scf7180000055662-processed-gene-4.70&CDS=1-1611, snap_masked-scf7180000054839-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000054839-processed-gene-0.0&CDS=1-363
257	OG0000257	YCR081W	augustus_masked-scf7180000053986-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053986-processed-gene-0.0&CDS=1-1017, augustus_masked-scf7180000055611-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-scf7180000055611-processed-gene-0.62&CDS=1-4956
258	OG0000258	YCR106W	augustus_masked-scf7180000055600-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000055600-processed-gene-0.78&CDS=1-2715, snap_masked-scf7180000055561-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scf7180000055561-processed-gene-0.45&CDS=1-2559
259	OG0000259	YDL003W	genemark-scf7180000055607-processed-gene-1.208-mRNA-1_1&gene=genemark-scf7180000055607-processed-gene-1.208&CDS=1-1740, snap_masked-scf7180000055649-processed-gene-0.75-mRNA-1_1&gene=snap_masked-scf7180000055649-processed-gene-0.75&CDS=1-1725
260	OG0000260	YDL020C	augustus_masked-scf7180000054050-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054050-processed-gene-0.0&CDS=1-690, augustus_masked-scf7180000055607-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-scf7180000055607-processed-gene-1.21&CDS=1-1062
261	OG0000261	YDL029W	augustus_masked-scf7180000053997-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000053997-processed-gene-0.2&CDS=1-927, snap_masked-scf7180000054002-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000054002-processed-gene-0.1&CDS=1-930
262	OG0000262	YDL036C, YOL066C	augustus_masked-scf7180000055607-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-scf7180000055607-processed-gene-1.23&CDS=1-5487
263	OG0000263	YDL037C	augustus_masked-scf7180000055576-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-scf7180000055576-processed-gene-0.73&CDS=1-1389, genemark-scf7180000055668-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000055668-processed-gene-0.13&CDS=1-1956
264	OG0000264	YDL044C	augustus_masked-scf7180000053948-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000053948-processed-gene-0.2&CDS=1-774, snap_masked-scf7180000055575-processed-gene-0.113-mRNA-1_1&gene=snap_masked-scf7180000055575-processed-gene-0.113&CDS=1-2664
265	OG0000265	YDL061C, YLR388W	maker-scf7180000055662-augustus-gene-1.101-mRNA-1_1&gene=maker-scf7180000055662-augustus-gene-1.101&CDS=1-297
266	OG0000266	YDL073W	augustus_masked-scf7180000054039-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054039-processed-gene-0.2&CDS=1-903, augustus_masked-scf7180000055662-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-scf7180000055662-processed-gene-1.7&CDS=1-2583
