accession	strain	species	genus	family	order	class	subphylum	phylum	kingdom	superkingdom
EAN09059.1	Enterococcus faecium DO	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
QEU59498.1	Kluyveromyces lactis	Kluyveromyces lactis	Kluyveromyces	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Saccharomycotina	Ascomycota	Fungi	Eukaryota
WP_088745351.1	Enterococcus hirae	Enterococcus hirae	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_098393476.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_130123563.1	Lactococcus sp. S-13	Lactococcus sp. S-13	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_109991084.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_086284052.1	Enterococcus	None	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_039115655.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
XP_022466826.1	Kazachstania naganishii CBS 8797	Kazachstania naganishii	Kazachstania	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Saccharomycotina	Ascomycota	Fungi	Eukaryota
WP_058204298.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_095587032.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_038601491.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_033901048.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_124137270.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_003130679.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_060416174.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_086274540.1	Enterococcus sp. 8G7_MSG3316	Enterococcus sp. 8G7_MSG3316	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_085623285.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_057719948.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_141920900.1	Lactococcus garvieae	Lactococcus garvieae	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_143458737.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_023188730.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_047206471.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_082272311.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_017864745.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_058210942.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_124156127.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_029344091.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_061414638.1	Lactococcus sp. DD01	Lactococcus sp. DD01	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_071868402.1	Bacilli	None	None	None	None	Bacilli	None	Firmicutes	None	Bacteria
WP_086583092.1	Lactococcus petauri	Lactococcus petauri	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_058205775.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_067482136.1	Enterococcus	None	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_058209276.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_015426714.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_014025232.1	Lactococcus garvieae	Lactococcus garvieae	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
OJG95973.1	Enterococcus thailandicus	Enterococcus thailandicus	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_161900568.1	Enterococcus sp. CU9D	Enterococcus sp. CU9D	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_098383964.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_153242196.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_019299583.1	Lactococcus garvieae	Lactococcus garvieae	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_044051734.1	Enterococcus faecium	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_058217262.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_012898158.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_103054897.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_095345579.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_117517840.1	Lactococcus	None	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_124005576.1	Tetragenococcus koreensis	Tetragenococcus koreensis	Tetragenococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_003134335.1	Lactococcus	None	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_058208295.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_019294248.1	Lactococcus	None	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_023889957.1	Lactococcus garvieae	Lactococcus garvieae	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_011834894.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_021037526.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_104661614.1	Enterococcus	None	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_015082621.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_123862812.1	Enterococcus durans	Enterococcus durans	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EJV43671.1	Enterococcus faecium TX1337RF	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_046124715.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_071854440.1	Enterococcus ratti	Enterococcus ratti	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_096815755.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_042747920.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_063282411.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_138301973.1	Enterococcus sp. BSD2780061688st2 D3	Enterococcus sp. BSD2780061688st2 D3	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_011676580.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
1JQV_A	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
1JUB_A	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_144776022.1	Enterococcus durans	Enterococcus durans	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_053109023.1	Enterococcus durans	Enterococcus durans	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_101961885.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_074535281.1	Enterococcus casseliflavus	Enterococcus casseliflavus	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_121261200.1	Enterococcus casseliflavus	Enterococcus casseliflavus	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_115251845.1	Enterococcus durans	Enterococcus durans	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
1JRC_A	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EJY47395.1	Enterococcus faecium 505	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_043735217.1	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_010749657.1	Enterococcus casseliflavus	Enterococcus casseliflavus	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
1JQX_A	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
1JRB_A	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_074932577.1	Enterococcus	None	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_142427357.1	Enterococcus durans	Enterococcus durans	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_081166051.1	Lactococcus garvieae	Lactococcus garvieae	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_016611134.1	Enterococcus casseliflavus	Enterococcus casseliflavus	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_005230205.1	Enterococcus casseliflavus	Enterococcus casseliflavus	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_017368532.1	Lactococcus garvieae	Lactococcus garvieae	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_142422006.1	Enterococcus durans	Enterococcus durans	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_096369205.1	Lactococcus garvieae	Lactococcus garvieae	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
SCU81172.1	Lachancea dasiensis CBS 10888	Lachancea dasiensis	Lachancea	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Saccharomycotina	Ascomycota	Fungi	Eukaryota
WP_016176630.1	Enterococcus durans	Enterococcus durans	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_115232385.1	Enterococcus casseliflavus	Enterococcus casseliflavus	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_005877624.1	Enterococcus durans	Enterococcus durans	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_131500945.1	Enterococcus durans	Enterococcus durans	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_003136678.1	Lactococcus garvieae	Lactococcus garvieae	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_115235701.1	Enterococcus durans	Enterococcus durans	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
HBC90576.1	Lactococcus sp.	Lactococcus sp.	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EPH95561.1	Enterococcus faecalis 13-SD-W-01	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_088762850.1	Enterococcus hirae	Enterococcus hirae	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_156237329.1	Enterococcus casseliflavus	Enterococcus casseliflavus	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_010759821.1	Enterococcus pallens	Enterococcus pallens	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
OJG83968.1	Enterococcus ratti	Enterococcus ratti	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
PST74400.1	Lactococcus garvieae	Lactococcus garvieae	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_160769848.1	Enterococcus faecium	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_034562021.1	Carnobacterium gallinarum	Carnobacterium gallinarum	Carnobacterium	Carnobacteriaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EJX95259.1	Enterococcus faecium ERV26	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_002321151.1	Enterococcus faecium	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_123936410.1	Tetragenococcus osmophilus	Tetragenococcus osmophilus	Tetragenococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_007208259.1	Enterococcus italicus	Enterococcus italicus	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
OJG31465.1	Enterococcus casseliflavus	Enterococcus casseliflavus	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_068710429.1	Tetragenococcus solitarius	Tetragenococcus solitarius	Tetragenococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_078778224.1	Elizabethkingia ursingii	Elizabethkingia ursingii	Elizabethkingia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
WP_078795856.1	Elizabethkingia miricola	Elizabethkingia miricola	Elizabethkingia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
EJX44074.1	Enterococcus faecium V689	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EFF62384.1	Enterococcus faecium PC4.1	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_078396037.1	Elizabethkingia anophelis	Elizabethkingia anophelis	Elizabethkingia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
WP_016172066.1	Enterococcus dispar	Enterococcus dispar	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_078678433.1	Elizabethkingia	None	Elizabethkingia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
WP_009085557.1	Elizabethkingia anophelis	Elizabethkingia anophelis	Elizabethkingia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
WP_103103478.1	Tetragenococcus halophilus	Tetragenococcus halophilus	Tetragenococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_160337415.1	Elizabethkingia anophelis	Elizabethkingia anophelis	Elizabethkingia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
WP_034867922.1	Elizabethkingia bruuniana	Elizabethkingia bruuniana	Elizabethkingia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
WP_107807649.1	unclassified Elizabethkingia	None	Elizabethkingia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
WP_045182302.1	Elizabethkingia miricola	Elizabethkingia miricola	Elizabethkingia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
WP_063131989.1	Elizabethkingia anophelis	Elizabethkingia anophelis	Elizabethkingia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
WP_078798882.1	Elizabethkingia miricola	Elizabethkingia miricola	Elizabethkingia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
OJG51883.1	Enterococcus hirae	Enterococcus hirae	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_103913438.1	Chryseobacterium humi	Chryseobacterium humi	Chryseobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
SEG00263.1	Chryseobacterium humi	Chryseobacterium humi	Chryseobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
WP_103091688.1	Tetragenococcus halophilus	Tetragenococcus halophilus	Tetragenococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
KSU21129.1	Lactococcus lactis subsp. lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
ARR86859.1	Lactococcus lactis subsp. lactis bv. diacetylactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
RKW64100.1	Riemerella sp.	Riemerella sp.	Riemerella	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
WP_102170208.1	Streptococcus sp. UMB1385	Streptococcus sp. UMB1385	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_155224170.1	Tetragenococcus halophilus	Tetragenococcus halophilus	Tetragenococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
KST79119.1	Lactococcus lactis subsp. lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_154774841.1	Erwinia sp. CPCC 100877	Erwinia sp. CPCC 100877	Erwinia	Erwiniaceae	Enterobacterales	Gammaproteobacteria	None	Proteobacteria	None	Bacteria
WP_103083514.1	Tetragenococcus halophilus	Tetragenococcus halophilus	Tetragenococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_060914151.1	Gemella haemolysans	Gemella haemolysans	Gemella	None	Bacillales	Bacilli	None	Firmicutes	None	Bacteria
TKW63686.1	Gemella sp.	Gemella sp.	Gemella	None	Bacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_014124815.1	Tetragenococcus halophilus	Tetragenococcus halophilus	Tetragenococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_065377970.1	Gemella sanguinis	Gemella sanguinis	Gemella	None	Bacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_073552219.1	Elizabethkingia meningoseptica	Elizabethkingia meningoseptica	Elizabethkingia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
WP_067627151.1	Enterococcus pseudoavium	Enterococcus pseudoavium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_048803519.1	Staphylococcus pasteuri	Staphylococcus pasteuri	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_003146907.1	Gemella haemolysans	Gemella haemolysans	Gemella	None	Bacillales	Bacilli	None	Firmicutes	None	Bacteria
EHN01579.1	Saccharomyces cerevisiae x Saccharomyces kudriavzevii VIN7	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	Saccharomyces	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Saccharomycotina	Ascomycota	Fungi	Eukaryota
KZK41978.1	Lactococcus lactis subsp. cremoris	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
AEU40135.1	Lactococcus lactis subsp. cremoris A76	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
KZK04794.1	Lactococcus lactis subsp. cremoris	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
KZK42136.1	Lactococcus lactis subsp. cremoris	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_027826544.1	Lactobacillus saerimneri	Lactobacillus saerimneri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_064524636.1	Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_060972367.1	Streptococcus sp. CCH8-H5	Streptococcus sp. CCH8-H5	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
HBJ22782.1	Streptococcus salivarius	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_009554409.1	Lactobacillus saerimneri	Lactobacillus saerimneri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
KRL74481.1	Lactobacillus saerimneri DSM 16049	Lactobacillus saerimneri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_070655678.1	Streptococcus sp. HMSC078H12	Streptococcus sp. HMSC078H12	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_038675839.1	Streptococcus salivarius	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_021144297.1	Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_159723483.1	Enterococcus sp. CSURQ0835	Enterococcus sp. CSURQ0835	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EIC80918.1	Streptococcus salivarius PS4	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
HBY91532.1	Streptococcus sp.	Streptococcus sp.	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EJO16965.1	Streptococcus salivarius K12	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_021145533.1	Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_060971492.1	Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_080611402.1	Streptococcus salivarius	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
KXT64648.1	Streptococcus sp. DD04	Streptococcus sp. DD04	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_014634326.1	Streptococcus salivarius	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_037597706.1	Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
KGM36531.1	Streptococcus sinensis	Streptococcus sinensis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_155222228.1	Streptococcus salivarius	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_118171968.1	Streptococcus salivarius	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_037601112.1	Streptococcus salivarius	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_022496502.1	Streptococcus sp. SR4	Streptococcus sp. SR4	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EFX96234.1	Streptococcus vestibularis ATCC 49124	Streptococcus vestibularis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_084869921.1	Streptococcus salivarius	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_107372975.1	Streptococcus equinus	Streptococcus equinus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
