"UniProtKB_ac"	"iso_id"	"uniprot_seq_length"	"uniprot_seq_md5"	"coordinate_id"	"provider"	"sstart2"	"send2"	"template"	"qmean"	"qmean_norm"	"seqid"	"url"	"mapid"	"Seq_similarity"	"Seq_identity"	"pdb_id2"	"Resolution"	"pdb_length"	"Coverage"	"locus"	"note"
"P00549"	""	500	"f2e96c850aeeb9f48a004ff9d67b5509"	"5cd664f71a200bee024c7493"	"SWISSMODEL"	2	500	"1a3w.1.A"	-1.8862902157	0.6995723713	100	"https://swissmodel.expasy.org/repository/uniprot/P00549.pdb?provider=swissmodel&from=2&to=500&template=1a3w.1.A&provider=swissmodel"	"2_500_1a3w.1.A_5cd664f71a200bee024c7493"	NA	NA	"1a3w"	NA	498	0.996	"YAL038W"	NA
"P52489"	""	506	"87d2c8852a16c188d711fe6c685cfcb0"	"5cd67852732c1ec9f4e4666b"	"SWISSMODEL"	4	502	"1a3w.1.A"	-2.0178943402	0.6947685546	70.9418869019	"https://swissmodel.expasy.org/repository/uniprot/P52489.pdb?provider=swissmodel&from=4&to=502&template=1a3w.1.A&provider=swissmodel"	"4_502_1a3w.1.A_5cd67852732c1ec9f4e4666b"	NA	NA	"1a3w"	NA	498	0.984189723320158	"YOR347C"	NA
"Q12265"	""	496	"cede00cb07e9f28db77a5490debef3c6"	"5a7e2a13a52be74777550bff"	"SWISSMODEL"	4	109	"3dah.1.A"	-1.1740842779	0.7353858557	39.8148155212	"https://swissmodel.expasy.org/repository/uniprot/Q12265.pdb?provider=swissmodel&from=4&to=109&template=3dah.1.A&provider=swissmodel"	"4_109_3dah.1.A_5a7e2a13a52be74777550bff"	NA	NA	"3dah"	NA	105	0.211693548387097	"YOL061W"	NA
"Q05471"	""	1514	"1c48a008a6791562d92c104890a7a512"	"5cdb81d68fd6f9470181b892"	"SWISSMODEL"	682	1396	"6gen.1.L"	-3.4584828291	0.6421841613	100	"https://swissmodel.expasy.org/repository/uniprot/Q05471.pdb?provider=swissmodel&from=682&to=1396&template=6gen.1.L&provider=swissmodel"	"682_1396_6gen.1.L_5cdb81d68fd6f9470181b892"	NA	NA	"6gen"	NA	714	0.471598414795244	"YDR334W"	NA
"Q05471"	""	1514	"1c48a008a6791562d92c104890a7a512"	"5cdb81d68fd6f9470181b88e"	"SWISSMODEL"	350	390	"5i9e.1.C"	0.0910702636	0.7860454549	100	"https://swissmodel.expasy.org/repository/uniprot/Q05471.pdb?provider=swissmodel&from=350&to=390&template=5i9e.1.C&provider=swissmodel"	"350_390_5i9e.1.C_5cdb81d68fd6f9470181b88e"	NA	NA	"5i9e"	NA	40	0.0264200792602378	"YDR334W"	NA
"P38063"	""	326	"c374e235f925b1fc2f5003e238027c4b"	"5cd4cdfba03a1b78f85c50e2"	"SWISSMODEL"	13	325	"2h07.1.B"	-1.7033818837	0.7062488953	63.4615402222	"https://swissmodel.expasy.org/repository/uniprot/P38063.pdb?provider=swissmodel&from=13&to=325&template=2h07.1.B&provider=swissmodel"	"13_325_2h07.1.B_5cd4cdfba03a1b78f85c50e2"	NA	NA	"2h07"	NA	312	0.957055214723926	"YBL068W"	NA
"P48361"	""	1146	"869d51b756c348175fece9f75b2a4db0"	"5a57ce68573f2092c46641b0"	"SWISSMODEL"	483	517	"4a6k.1.A"	-3.7734583012	0.5828912645	45.7142868042	"https://swissmodel.expasy.org/repository/uniprot/P48361.pdb?provider=swissmodel&from=483&to=517&template=4a6k.1.A&provider=swissmodel"	"483_517_4a6k.1.A_5a57ce68573f2092c46641b0"	NA	NA	"4a6k"	NA	34	0.0296684118673647	"YGR097W"	NA
"P53253"	""	936	"33f5435a86940eabeaa97b1e26b41199"	"5cd9a55208cc8f8e2b494829"	"SWISSMODEL"	713	927	"6ian.1.B"	-1.4509893669	0.7229960266	13.0841121674	"https://swissmodel.expasy.org/repository/uniprot/P53253.pdb?provider=swissmodel&from=713&to=927&template=6ian.1.B&provider=swissmodel"	"713_927_6ian.1.B_5cd9a55208cc8f8e2b494829"	NA	NA	"6ian"	NA	214	0.228632478632479	"YGR089W"	NA
"P25583"	""	335	"c95d5744d3234e491ae1a5df4885cd06"	"5cd4a62c08cc8f613ee96d1c"	"SWISSMODEL"	46	329	"5k7m.1.B"	-3.8541959795	0.6195296906	29.8181819916	"https://swissmodel.expasy.org/repository/uniprot/P25583.pdb?provider=swissmodel&from=46&to=329&template=5k7m.1.B&provider=swissmodel"	"46_329_5k7m.1.B_5cd4a62c08cc8f613ee96d1c"	NA	NA	"5k7m"	NA	283	0.844776119402985	"YCL055W"	NA
"P38689"	""	320	"a1e06df2ee0af38b428b35c40d0e2b7f"	"5cd4ee22a03a1b24b0b4944a"	"SWISSMODEL"	5	319	"2h07.1.B"	-1.6050467798	0.7098383255	60.8832817078	"https://swissmodel.expasy.org/repository/uniprot/P38689.pdb?provider=swissmodel&from=5&to=319&template=2h07.1.B&provider=swissmodel"	"5_319_2h07.1.B_5cd4ee22a03a1b24b0b4944a"	NA	NA	"2h07"	NA	314	0.98125	"YHL011C"	NA
"P32350"	""	737	"5bd8d0f93300622a5a12d59474f57ff2"	"5cd873751a200b3fc3b97e59"	"SWISSMODEL"	294	624	"3llt.1.A"	-2.9618924614	0.6697406554	38.9261741638	"https://swissmodel.expasy.org/repository/uniprot/P32350.pdb?provider=swissmodel&from=294&to=624&template=3llt.1.A&provider=swissmodel"	"294_624_3llt.1.A_5cd873751a200b3fc3b97e59"	NA	NA	"3llt"	NA	330	0.447761194029851	"YLL019C"	NA
"Q06201"	""	188	"181ad4dea621844c95e1de8e2e62fc39"	"5a7f372e573f2056f6bab876"	"SWISSMODEL"	151	187	"1a92.1.B"	-3.6366658547	0.6340218081	31.25	"https://swissmodel.expasy.org/repository/uniprot/Q06201.pdb?provider=swissmodel&from=151&to=187&template=1a92.1.B&provider=swissmodel"	"151_187_1a92.1.B_5a7f372e573f2056f6bab876"	NA	NA	"1a92"	NA	36	0.191489361702128	"YLR445W"	NA
"P50112"	""	268	"ff7ce05264c39fec868b63e428072a97"	"5cd5face08cc8f3a9dfa44e1"	"SWISSMODEL"	19	134	"5n1t.1.C"	-2.2129316255	0.6692741363	12.844037056	"https://swissmodel.expasy.org/repository/uniprot/P50112.pdb?provider=swissmodel&from=19&to=134&template=5n1t.1.C&provider=swissmodel"	"19_134_5n1t.1.C_5cd5face08cc8f3a9dfa44e1"	NA	NA	"5n1t"	NA	115	0.42910447761194	"YDL049C"	NA
"P20449"	""	482	"39dd91f24dec881601d7011452c0cbe1"	"5cd625328fd6f9cf4f88d969"	"SWISSMODEL"	55	476	"6b4i.1.C"	-2.0055457666	0.7027963797	51.0791358948	"https://swissmodel.expasy.org/repository/uniprot/P20449.pdb?provider=swissmodel&from=55&to=476&template=6b4i.1.C&provider=swissmodel"	"55_476_6b4i.1.C_5cd625328fd6f9cf4f88d969"	NA	NA	"6b4i"	NA	421	0.87344398340249	"YOR046C"	NA
"Q07794"	""	436	"c9f80c581e63b2f399ce36ec646f87bf"	"5cd58b511a200bd495e1409e"	"SWISSMODEL"	1	426	"3q66.1.B"	-0.961931786	0.7409691152	100	"https://swissmodel.expasy.org/repository/uniprot/Q07794.pdb?provider=swissmodel&from=1&to=426&template=3q66.1.B&provider=swissmodel"	"1_426_3q66.1.B_5cd58b511a200bd495e1409e"	NA	NA	"3q66"	NA	425	0.974770642201835	"YLL002W"	NA
"P53863"	""	590	"a6548bf5981aa2c7dca7f76325811dbc"	"5cd7519b8fd6f98799dedec7"	"SWISSMODEL"	3	77	"2dmx.1.A"	-0.4759661536	0.7680866949	52	"https://swissmodel.expasy.org/repository/uniprot/P53863.pdb?provider=swissmodel&from=3&to=77&template=2dmx.1.A&provider=swissmodel"	"3_77_2dmx.1.A_5cd7519b8fd6f98799dedec7"	NA	NA	"2dmx"	NA	74	0.125423728813559	"YNL227C"	NA
"P13186"	""	1147	"e90897e96b25e7f638d93b25295d7d83"	"5cda932f732c1e4b72be4fd1"	"SWISSMODEL"	93	446	"6b1u.2.A"	-3.3620625014	0.6574225891	38.4375	"https://swissmodel.expasy.org/repository/uniprot/P13186.pdb?provider=swissmodel&from=93&to=446&template=6b1u.2.A&provider=swissmodel"	"93_446_6b1u.2.A_5cda932f732c1e4b72be4fd1"	NA	NA	"6b1u"	NA	353	0.307759372275501	"YLR096W"	NA
"P07255"	""	59	"1255fd125b0e5c2557bfe5ebd72a9770"	"5cdbebcea03a1be73a6a3ffa"	"SWISSMODEL"	2	56	"6hu9.1.2"	-0.7625519646	0.7283747563	100	"https://swissmodel.expasy.org/repository/uniprot/P07255.pdb?provider=swissmodel&from=2&to=56&template=6hu9.1.2&provider=swissmodel"	"2_56_6hu9.1.2_5cdbebcea03a1be73a6a3ffa"	NA	NA	"6hu9"	NA	54	0.915254237288136	"YDL067C"	NA
"Q03430"	""	361	"3727b6eea411a1dd1f60c4c0b9130b33"	"5cdd49c73b85d1901fc4466e"	"SWISSMODEL"	197	361	"5mrc.72.A"	-2.2963987643	0.6769293742	100	"https://swissmodel.expasy.org/repository/uniprot/Q03430.pdb?provider=swissmodel&from=197&to=361&template=5mrc.72.A&provider=swissmodel"	"197_361_5mrc.72.A_5cdd49c73b85d1901fc4466e"	NA	NA	"5mrc"	NA	164	0.454293628808864	"YDR494W"	NA
"P46948"	""	246	"84a07ca6c3a085d84a91faf7fda0b982"	"5cd667d98fd6f9910fbf4e15"	"SWISSMODEL"	3	244	"5okz.2.B"	-1.1055941997	0.7340366333	100	"https://swissmodel.expasy.org/repository/uniprot/P46948.pdb?provider=swissmodel&from=3&to=244&template=5okz.2.B&provider=swissmodel"	"3_244_5okz.2.B_5cd667d98fd6f9910fbf4e15"	NA	NA	"5okz"	NA	241	0.979674796747967	"YGR195W"	NA
"Q04377"	""	747	"8336572ca984a2bbd40b7c5083b3b2c7"	"5cd88301a03a1bea6b81eb8f"	"SWISSMODEL"	14	134	"5omb.1.C"	-1.5325546875	0.7057800033	37.8640785217	"https://swissmodel.expasy.org/repository/uniprot/Q04377.pdb?provider=swissmodel&from=14&to=134&template=5omb.1.C&provider=swissmodel"	"14_134_5omb.1.C_5cd88301a03a1bea6b81eb8f"	NA	NA	"5omb"	NA	120	0.160642570281124	"YDR499W"	NA
"P15454"	""	187	"3e2ccdc9ec49118596d015dbff5f725a"	"5cd7a09d8fd6f9c0ca37093e"	"SWISSMODEL"	1	185	"4f4j.1.A"	1.3994801713	0.8296070716	99.4652404785	"https://swissmodel.expasy.org/repository/uniprot/P15454.pdb?provider=swissmodel&from=1&to=185&template=4f4j.1.A&provider=swissmodel"	"1_185_4f4j.1.A_5cd7a09d8fd6f9c0ca37093e"	NA	NA	"4f4j"	NA	184	0.983957219251337	"YDR454C"	NA
"Q04066"	""	261	"208c7c5492023446b25f264d51a37330"	"5cd61933d60c593418397e9a"	"SWISSMODEL"	1	261	"1vkh.1.A"	-0.9924464779	0.7397776368	99.616859436	"https://swissmodel.expasy.org/repository/uniprot/Q04066.pdb?provider=swissmodel&from=1&to=261&template=1vkh.1.A&provider=swissmodel"	"1_261_1vkh.1.A_5cd61933d60c593418397e9a"	NA	NA	"1vkh"	NA	260	0.996168582375479	"YDR428C"	NA
"P35844"	""	434	"e5f503f7436b8f068597aba0654d255b"	"5cd5854d08cc8fd0336f7942"	"SWISSMODEL"	2	434	"4f4b.1.A"	0.2282106392	0.7826465516	100	"https://swissmodel.expasy.org/repository/uniprot/P35844.pdb?provider=swissmodel&from=2&to=434&template=4f4b.1.A&provider=swissmodel"	"2_434_4f4b.1.A_5cd5854d08cc8fd0336f7942"	NA	NA	"4f4b"	NA	432	0.995391705069124	"YPL145C"	NA
"Q08908"	""	694	"401b13874d53c0b44b94daba52e705f2"	"5cd825451a200b2639b209a2"	"SWISSMODEL"	427	692	"5o0x.1.A"	-3.8633020253	0.616563721	19.6000003815	"https://swissmodel.expasy.org/repository/uniprot/Q08908.pdb?provider=swissmodel&from=427&to=692&template=5o0x.1.A&provider=swissmodel"	"427_692_5o0x.1.A_5cd825451a200b2639b209a2"	NA	NA	"5o0x"	NA	265	0.381844380403458	"YOR384W"	NA
"Q12473"	""	712	"e08862b5e7d54da484576a1207c8dfcd"	"5cd8442e1a200bd90e463335"	"SWISSMODEL"	454	710	"5o0x.1.A"	-2.5231655732	0.6740504331	17.7215194702	"https://swissmodel.expasy.org/repository/uniprot/Q12473.pdb?provider=swissmodel&from=454&to=710&template=5o0x.1.A&provider=swissmodel"	"454_710_5o0x.1.A_5cd8442e1a200bd90e463335"	NA	NA	"5o0x"	NA	256	0.359550561797753	"YLL051C"	NA
"P36005"	""	433	"0643b25b49dfa7d6689a81e361a97a5e"	"5cd581e43b85d134167e36fd"	"SWISSMODEL"	7	364	"5z33.1.A"	-2.175825945	0.6978914192	54.2134819031	"https://swissmodel.expasy.org/repository/uniprot/P36005.pdb?provider=swissmodel&from=7&to=364&template=5z33.1.A&provider=swissmodel"	"7_364_5z33.1.A_5cd581e43b85d134167e36fd"	NA	NA	"5z33"	NA	357	0.824480369515012	"YKL161C"	NA
"P25389"	""	1037	"4e8876003cd568941b87bb3d3185565f"	"5cda17f28fd6f9c05ffdd9d4"	"SWISSMODEL"	14	364	"4yom.1.A"	-3.0685450468	0.6672450533	46.4831809998	"https://swissmodel.expasy.org/repository/uniprot/P25389.pdb?provider=swissmodel&from=14&to=364&template=4yom.1.A&provider=swissmodel"	"14_364_4yom.1.A_5cda17f28fd6f9c05ffdd9d4"	NA	NA	"4yom"	NA	350	0.337512054001929	"YCL024W"	NA
"P25389"	""	1037	"4e8876003cd568941b87bb3d3185565f"	"5cda17f28fd6f9c05ffdd9d0"	"SWISSMODEL"	14	364	"5iso.1.A"	-3.0951045948	0.6662799608	39.0092887878	"https://swissmodel.expasy.org/repository/uniprot/P25389.pdb?provider=swissmodel&from=14&to=364&template=5iso.1.A&provider=swissmodel"	"14_364_5iso.1.A_5cda17f28fd6f9c05ffdd9d0"	NA	NA	"5iso"	NA	350	0.337512054001929	"YCL024W"	NA
"P22517"	""	447	"073618d926ab06c681e31dc7b9bfcb34"	"5cd5b24d8fd6f9217d75a3ea"	"SWISSMODEL"	47	370	"4ynz.1.B"	-3.0109631731	0.6668693347	32.4590148926	"https://swissmodel.expasy.org/repository/uniprot/P22517.pdb?provider=swissmodel&from=47&to=370&template=4ynz.1.B&provider=swissmodel"	"47_370_4ynz.1.B_5cd5b24d8fd6f9217d75a3ea"	NA	NA	"4ynz"	NA	323	0.722595078299776	"YOL016C"	NA
"Q12349"	""	124	"5bc3d8e15dda2c12acf2163462026147"	"5cd95eced60c5947b5773160"	"SWISSMODEL"	36	124	"6cp3.1.W"	-3.9288831373	0.5445809842	100	"https://swissmodel.expasy.org/repository/uniprot/Q12349.pdb?provider=swissmodel&from=36&to=124&template=6cp3.1.W&provider=swissmodel"	"36_124_6cp3.1.W_5cd95eced60c5947b5773160"	NA	NA	"6cp3"	NA	88	0.709677419354839	"YLR295C"	NA
"P39104"	""	1066	"472f4db8dec56cefed99286ab18f4dee"	"5cda366c08cc8fcced170eaf"	"SWISSMODEL"	700	1063	"4bfr.1.A"	-3.3322735695	0.6533096585	23.6151599884	"https://swissmodel.expasy.org/repository/uniprot/P39104.pdb?provider=swissmodel&from=700&to=1063&template=4bfr.1.A&provider=swissmodel"	"700_1063_4bfr.1.A_5cda366c08cc8fcced170eaf"	NA	NA	"4bfr"	NA	363	0.340525328330206	"YNL267W"	NA
"P27466"	""	446	"28c35e993eb2764dee35415582b70cef"	"5cd5ad718fd6f91c6c9406f9"	"SWISSMODEL"	26	326	"4ysm.1.A"	-2.2724031874	0.6913404175	37.8378372192	"https://swissmodel.expasy.org/repository/uniprot/P27466.pdb?provider=swissmodel&from=26&to=326&template=4ysm.1.A&provider=swissmodel"	"26_326_4ysm.1.A_5cd5ad718fd6f91c6c9406f9"	NA	NA	"4ysm"	NA	300	0.672645739910314	"YFR014C"	NA
"P23291"	""	538	"0ac0f5917f4ccbde784ebf2fff137f90"	"5cd6d9da3b85d1f70a161bb1"	"SWISSMODEL"	64	355	"5x18.1.A"	-0.4157198655	0.7619279229	100	"https://swissmodel.expasy.org/repository/uniprot/P23291.pdb?provider=swissmodel&from=64&to=355&template=5x18.1.A&provider=swissmodel"	"64_355_5x18.1.A_5cd6d9da3b85d1f70a161bb1"	NA	NA	"5x18"	NA	291	0.54089219330855	"YHR135C"	NA
"P36088"	""	180	"9651852698d5c703ca84a448089290d4"	"5cd7c59cd60c59466a1bfdd8"	"SWISSMODEL"	3	179	"1f5m.1.B"	-0.2781125555	0.768842321	100	"https://swissmodel.expasy.org/repository/uniprot/P36088.pdb?provider=swissmodel&from=3&to=179&template=1f5m.1.B&provider=swissmodel"	"3_179_1f5m.1.B_5cd7c59cd60c59466a1bfdd8"	NA	NA	"1f5m"	NA	176	0.977777777777778	"YKL069W"	NA
"P53242"	""	292	"6edf1b4a51f4e6c541faafacb4677066"	"5cd593b008cc8f3585568bc0"	"SWISSMODEL"	73	291	"6ccr.1.A"	-3.4425090795	0.6404544073	33.6956520081	"https://swissmodel.expasy.org/repository/uniprot/P53242.pdb?provider=swissmodel&from=73&to=291&template=6ccr.1.A&provider=swissmodel"	"73_291_6ccr.1.A_5cd593b008cc8f3585568bc0"	NA	NA	"6ccr"	NA	218	0.746575342465753	"YGR066C"	NA
"P23292"	""	546	"be9b5ba9c164d23af0e4c8e6d710b01f"	"5cd6ed7f08cc8f8dc94b8cf0"	"SWISSMODEL"	70	362	"5x18.1.A"	-0.4885881085	0.7592775196	94.1979522705	"https://swissmodel.expasy.org/repository/uniprot/P23292.pdb?provider=swissmodel&from=70&to=362&template=5x18.1.A&provider=swissmodel"	"70_362_5x18.1.A_5cd6ed7f08cc8f8dc94b8cf0"	NA	NA	"5x18"	NA	292	0.534798534798535	"YNL154C"	NA
"P17119"	""	729	"9c7efd7e8a1b27d05d9ee6b6273bc65f"	"5cd860ac08cc8f5845912ee1"	"SWISSMODEL"	334	726	"3u06.1.B"	-2.1301684113	0.6967498094	40.9090919495	"https://swissmodel.expasy.org/repository/uniprot/P17119.pdb?provider=swissmodel&from=334&to=726&template=3u06.1.B&provider=swissmodel"	"334_726_3u06.1.B_5cd860ac08cc8f5845912ee1"	NA	NA	"3u06"	NA	392	0.537722908093278	"YPR141C"	NA
"Q03667"	""	156	"9ac927a9acd99cee935c6a2da7cffa88"	"5cd8618f732c1e5463d3da5a"	"SWISSMODEL"	116	152	"2lqt.1.A"	0.2945142024	0.803859793	33.3333320618	"https://swissmodel.expasy.org/repository/uniprot/Q03667.pdb?provider=swissmodel&from=116&to=152&template=2lqt.1.A&provider=swissmodel"	"116_152_2lqt.1.A_5cd8618f732c1e5463d3da5a"	NA	NA	"2lqt"	NA	36	0.230769230769231	"YMR002W"	NA
"Q03667"	""	156	"9ac927a9acd99cee935c6a2da7cffa88"	"5cd8618f732c1e5463d3da5e"	"SWISSMODEL"	66	85	"3haf.1.A"	-3.1427960152	0.4155174551	33.3333320618	"https://swissmodel.expasy.org/repository/uniprot/Q03667.pdb?provider=swissmodel&from=66&to=85&template=3haf.1.A&provider=swissmodel"	"66_85_3haf.1.A_5cd8618f732c1e5463d3da5e"	NA	NA	"3haf"	NA	19	0.121794871794872	"YMR002W"	NA
"P07278"	""	416	"6262d95d95ce4adaca9aed64528b22e5"	"5cdd5329c4494f3438076eda"	"SWISSMODEL"	8	413	"3j4q.1.B"	-3.7790305426	0.6385509868	34.6260375977	"https://swissmodel.expasy.org/repository/uniprot/P07278.pdb?provider=swissmodel&from=8&to=413&template=3j4q.1.B&provider=swissmodel"	"8_413_3j4q.1.B_5cdd5329c4494f3438076eda"	NA	NA	"3j4q"	NA	405	0.973557692307692	"YIL033C"	NA
"P05319"	""	106	"bf99c17763c2d2e23a25e54f70cc1c1c"	"5a57b046c730d478f1c35ac0"	"SWISSMODEL"	1	58	"4v7e.65.A"	-0.9152970959	0.7223189443	49.1803283691	"https://swissmodel.expasy.org/repository/uniprot/P05319.pdb?provider=swissmodel&from=1&to=58&template=4v7e.65.A&provider=swissmodel"	"1_58_4v7e.65.A_5a57b046c730d478f1c35ac0"	NA	NA	"4v7e"	NA	57	0.537735849056604	"YOL039W"	NA
"Q02196"	""	202	"0aec25e74fcb6d740f45fc0a64b3608a"	"5cd749d49ffd12ff3c6188a9"	"SWISSMODEL"	5	198	"6c6b.2.B"	-0.7639563641	0.7468537843	67.6767654419	"https://swissmodel.expasy.org/repository/uniprot/Q02196.pdb?provider=swissmodel&from=5&to=198&template=6c6b.2.B&provider=swissmodel"	"5_198_6c6b.2.B_5cd749d49ffd12ff3c6188a9"	NA	NA	"6c6b"	NA	193	0.955445544554455	"YKL001C"	NA
"P05986"	""	398	"0ffb746dd52fad58d913474f8f4ac341"	"5cd4f65c08cc8f76dd0b2b02"	"SWISSMODEL"	13	361	"5x3f.1.B"	-2.9247520068	0.6723592406	45.5999984741	"https://swissmodel.expasy.org/repository/uniprot/P05986.pdb?provider=swissmodel&from=13&to=361&template=5x3f.1.B&provider=swissmodel"	"13_361_5x3f.1.B_5cd4f65c08cc8f76dd0b2b02"	NA	NA	"5x3f"	NA	348	0.874371859296482	"YKL166C"	NA
"P05986"	""	398	"0ffb746dd52fad58d913474f8f4ac341"	"5cd4f65c08cc8f76dd0b2afe"	"SWISSMODEL"	83	398	"1fot.1.A"	-2.1798676873	0.6965869647	87.6971588135	"https://swissmodel.expasy.org/repository/uniprot/P05986.pdb?provider=swissmodel&from=83&to=398&template=1fot.1.A&provider=swissmodel"	"83_398_1fot.1.A_5cd4f65c08cc8f76dd0b2afe"	NA	NA	"1fot"	NA	315	0.791457286432161	"YKL166C"	NA
"P06244"	""	397	"0fea7f01d8cd0420ddb5d61914ed9981"	"5cd4f3d108cc8f0870a62611"	"SWISSMODEL"	65	384	"1bx6.1.A"	-2.6434076054	0.678526899	49.8432617188	"https://swissmodel.expasy.org/repository/uniprot/P06244.pdb?provider=swissmodel&from=65&to=384&template=1bx6.1.A&provider=swissmodel"	"65_384_1bx6.1.A_5cd4f3d108cc8f0870a62611"	NA	NA	"1bx6"	NA	319	0.80352644836272	"YJL164C"	NA
"Q00402"	""	2748	"d7bae5aff1f9a1685d3ea2a62439f258"	"5cc88a4a9ffd128549b7abbd"	"SWISSMODEL"	105	251	"5xg2.1.A"	-0.7296380707	0.7468300639	19.8529415131	"https://swissmodel.expasy.org/repository/uniprot/Q00402.pdb?provider=swissmodel&from=105&to=251&template=5xg2.1.A&provider=swissmodel"	"105_251_5xg2.1.A_5cc88a4a9ffd128549b7abbd"	NA	NA	"5xg2"	NA	146	0.0531295487627365	"YDR150W"	NA
"Q12039"	""	706	"90063f9a6c47af19685d749fc853b8ed"	"5cd83cdc08cc8f8334ceea08"	"SWISSMODEL"	2	639	"3lfu.1.A"	-3.5185487823	0.6399916325	22.0689659119	"https://swissmodel.expasy.org/repository/uniprot/Q12039.pdb?provider=swissmodel&from=2&to=639&template=3lfu.1.A&provider=swissmodel"	"2_639_3lfu.1.A_5cd83cdc08cc8f8334ceea08"	NA	NA	"3lfu"	NA	637	0.902266288951841	"YOL095C"	NA
"Q08989"	""	487	"504cb02bbfcb6100cb4c586e2da7cd8e"	"5cd632a108cc8f8d6305994f"	"SWISSMODEL"	239	267	"5ef4.1.A"	-0.0401424864	0.7660507642	31.0344829559	"https://swissmodel.expasy.org/repository/uniprot/Q08989.pdb?provider=swissmodel&from=239&to=267&template=5ef4.1.A&provider=swissmodel"	"239_267_5ef4.1.A_5cd632a108cc8f8d6305994f"	NA	NA	"5ef4"	NA	28	0.0574948665297741	"YPL277C"	NA
"P08518"	""	1224	"bd8d030350353b447e95128b8d9d9d99"	"5cdae18ea03a1b9bde48a658"	"SWISSMODEL"	19	1221	"5xog.1.B"	-1.6286313551	0.7089774408	78.5833358765	"https://swissmodel.expasy.org/repository/uniprot/P08518.pdb?provider=swissmodel&from=19&to=1221&template=5xog.1.B&provider=swissmodel"	"19_1221_5xog.1.B_5cdae18ea03a1b9bde48a658"	NA	NA	"5xog"	NA	1202	0.98202614379085	"YOR151C"	NA
"P07170"	""	222	"01c904d46e329ce26a72291aabe60bad"	"5cd6de6308cc8fc1f7f206db"	"SWISSMODEL"	5	222	"3aky.1.A"	0.5083333937	0.8045852941	99.0909118652	"https://swissmodel.expasy.org/repository/uniprot/P07170.pdb?provider=swissmodel&from=5&to=222&template=3aky.1.A&provider=swissmodel"	"5_222_3aky.1.A_5cd6de6308cc8fc1f7f206db"	NA	NA	"3aky"	NA	217	0.977477477477477	"YDR226W"	NA
"Q02983"	""	363	"2f4b30def8dfaf06b85ded9ac4cf364f"	"5cdd50808fd6f9459c77c863"	"SWISSMODEL"	238	288	"6nmi.1.D"	-2.8810659937	0.4857153937	35.2941169739	"https://swissmodel.expasy.org/repository/uniprot/Q02983.pdb?provider=swissmodel&from=238&to=288&template=6nmi.1.D&provider=swissmodel"	"238_288_6nmi.1.D_5cdd50808fd6f9459c77c863"	NA	NA	"6nmi"	NA	50	0.137741046831956	"YLR141W"	NA
"P43582"	""	211	"8fffdb500d459a78e20bdd433222760f"	"5cd71d911a200b45232198c4"	"SWISSMODEL"	5	44	"2mdc.1.A"	-2.3522083355	0.5048369079	33.3333320618	"https://swissmodel.expasy.org/repository/uniprot/P43582.pdb?provider=swissmodel&from=5&to=44&template=2mdc.1.A&provider=swissmodel"	"5_44_2mdc.1.A_5cd71d911a200b45232198c4"	NA	NA	"2mdc"	NA	39	0.184834123222749	"YFL010C"	NA
"P32767"	""	1081	"1737817fad6b46d181ae6b6cb7f77fed"	"5cda4486a03a1bc63d5ba925"	"SWISSMODEL"	3	1076	"6q82.1.A"	-2.7317408091	0.6687117148	100	"https://swissmodel.expasy.org/repository/uniprot/P32767.pdb?provider=swissmodel&from=3&to=1076&template=6q82.1.A&provider=swissmodel"	"3_1076_6q82.1.A_5cda4486a03a1bc63d5ba925"	NA	NA	"6q82"	NA	1073	0.992599444958372	"YGL016W"	NA
"P38241"	""	364	"6ac6fc267cec3c4eb8c7a2553e4d105c"	"5cdd572c9ffd129b9b3b7bbc"	"SWISSMODEL"	3	325	"6j6q.1.F"	-2.8880158917	0.6721581767	100	"https://swissmodel.expasy.org/repository/uniprot/P38241.pdb?provider=swissmodel&from=3&to=325&template=6j6q.1.F&provider=swissmodel"	"3_325_6j6q.1.F_5cdd572c9ffd129b9b3b7bbc"	NA	NA	"6j6q"	NA	322	0.884615384615385	"YBR065C"	NA
"P40206"	""	208	"2dcec0940717d6d01ba59a8426c39c5b"	"5cd72e1ea03a1b3f8b6bb21d"	"SWISSMODEL"	14	138	"5h3w.1.B"	-3.9010252678	0.5759836819	23.2142848969	"https://swissmodel.expasy.org/repository/uniprot/P40206.pdb?provider=swissmodel&from=14&to=138&template=5h3w.1.B&provider=swissmodel"	"14_138_5h3w.1.B_5cd72e1ea03a1b3f8b6bb21d"	NA	NA	"5h3w"	NA	124	0.596153846153846	"YMR132C"	NA
"Q02892"	""	647	"57d35deed085ec3cabb6d831f98d15aa"	"5cd7c818732c1e718c44bbbd"	"SWISSMODEL"	1	647	"3jct.1.1"	-2.9614317298	0.6603275317	100	"https://swissmodel.expasy.org/repository/uniprot/Q02892.pdb?provider=swissmodel&from=1&to=647&template=3jct.1.1&provider=swissmodel"	"1_647_3jct.1.1_5cd7c818732c1e718c44bbbd"	NA	NA	"3jct"	NA	646	0.998454404945904	"YPL093W"	NA
