"locus"	"pdbid"	"sstart2"	"send2"	"qstart2"	"qend2"	"strain_type"	"p_value"
"YNL200C"	"4_246_1jzt.1.A_5cd66770d60c5910242c0b5f"	4	246	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR195C"	"24_455_2p6e.1.A_5cd5cd3b732c1e390d48d773"	24	455	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YHR114W"	"5_344_4dyl.1.A_5cd7acf4a03a1ba686a54150"	5	344	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR363C"	"4_157_2hwx.1.A_5cd6f4d408cc8f0caea3a4d2"	4	157	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGR010W"	"157_382_5z9r.1.B_5cd4e9c2732c1ea12b4d26f2"	157	382	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGR085C"	"6_173_4v7f.1.H_5cd7e7063b85d179a2b6f7eb"	6	173	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR328W"	"163_388_5z9r.1.B_5cd4ffcb08cc8f366e353ceb"	163	388	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOR128C"	"1_384_3k5i.1.A_5cd7296c732c1e5fb8b761d1"	1	384	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR351C"	"2_282_1f89.1.A_5cd597a09ffd1295cee01af8"	2	282	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJL126W"	"5_307_4h5u.2.B_5cd544829ffd1204c9950f81"	5	307	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YER138C"	"636_837_3oyi.1.A_5903a377d823cc9f88ce834f"	636	837	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPL174C"	"212_378_5ghe.1.A_5cd93bc7d60c59b2c0cf3945"	212	378	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YPL174C"	"155_319_6f1t.1.h_5cd93bc7d60c59b2c0cf394d"	155	319	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YPL174C"	"105_226_2v71.1.B_5cd93bc7d60c59b2c0cf3951"	105	226	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YGL221C"	"9_288_3lnl.1.A_5cd5a8add60c5902cdce3ef5"	9	288	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL251C"	"118_939_5urm.1.A_5cdaba379ffd1264f6479f45"	118	939	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOR056C"	"19_111_2lcq.1.A_5a96e7c8262325896bbd4e8f"	19	111	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YFR002W"	"335_498_6j6q.1.L_5cd912909ffd12c091fad5ce"	335	498	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR052C"	"1_93_1lwm.1.A_5cda9c358fd6f9ad4b06f21f"	1	93	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YPR052C"	"1_93_1cg7.1.A_5cda9c358fd6f9ad4b06f21b"	1	93	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YJL063C"	"2_238_5mrc.11.A_5cd68f35732c1ec3ae36f229"	2	238	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR106W"	"3_273_6f1t.1.J_5cd5b5b808cc8ff545d135a8"	3	273	NA	NA	"dN_dS_max_gap_ratio_0.3"	"0.0027"
"YKL040C"	"17_124_2ltl.1.A_5cd63416a03a1bd547149aec"	17	124	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKL040C"	"147_232_2m5o.1.A_5cd63416a03a1bd547149af0"	147	232	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPL031C"	"2_302_4krc.1.A_5cd54ba29ffd1265da514748"	2	302	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR531W"	"19_359_5kpr.1.A_5cd47b0f9ffd1229a9ae9344"	19	359	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJR108W"	"74_113_3i6x.1.A_59acb0d7e6291d938ce185a0"	74	113	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGR035W-A"	"23_64_2rqx.1.A_5a8cf4b6afa35829876ad2ff"	23	64	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR186W"	"28_252_3oij.1.B_5cd644c8a03a1bfb0b3ed564"	28	252	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKL163W"	"233_258_3oer.1.A_5a9a08a62623257047a7bbba"	233	258	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOR070C"	"249_630_1fkm.1.A_5cd7b3f73b85d1f7a74fc9a9"	249	630	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR048W"	"4_623_3fjo.1.A_5cd79a2e9ffd12e2280d4a45"	4	623	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR048W"	"4_623_3ojw.1.A_5cd79a2e9ffd12e2280d4a41"	4	623	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJL037W"	"196_222_2kr6.1.A_5cd6d8279ffd12bb602b3911"	196	222	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YDR023W"	"1_449_3qne.1.A_5cd5e47008cc8f9a8aba11c4"	1	449	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YML120C"	"33_513_5yjw.1.A_5cd68dae1a200b3dc4ac5f99"	33	513	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YCR066W"	"18_85_5h7r.1.A_5cd635001a200b5be47dfe6f"	18	85	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YIL144W"	"309_654_3kbu.2.A_5cd822e09ffd128a0619558e"	309	654	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YIL144W"	"115_396_5td8.1.A_5cd822e09ffd128a061955ba"	115	396	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YIL144W"	"516_682_4dyl.1.A_5cd822e09ffd128a061955c6"	516	682	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOR372C"	"264_295_3qdr.1.B_5cd6ff12732c1edce3998d6c"	264	295	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YHR174W"	"2_437_1ebh.1.A_5cd58eeb732c1e03923b7ea4"	2	437	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL147C"	"1_191_5tga.117.A_5cd784f4a03a1bd00189d411"	1	191	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL178W"	"208_599_5bz1.1.A_5cd92dfc1a200bb0b72b059e"	208	599	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR149W"	"92_122_4jgl.1.A_5cb3cead3b85d1e8974e048f"	92	122	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YPL178W"	"42_157_6d0y.1.B_5cd729ebd60c59a2c3d262f7"	42	157	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR397C"	"6_134_1jfi.1.D_5cd8a39e3b85d1697b85b524"	6	134	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNL221C"	"54_875_6ah3.1.B_5cd94643732c1e0ddd64b1d8"	54	875	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR364C"	"67_455_6qdv.1.h_5cd5d1a908cc8f7bfded3288"	67	455	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YJL116C"	"131_161_5jqp.1.B_5cd498f13b85d1491b30bb8a"	131	161	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR162C"	"110_172_2lcs.1.A_5cd6965b9ffd123c83e7d796"	110	172	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YAL035W"	"401_1002_3wbi.1.A_5cd9f68ed60c5924bf0c363b"	401	1002	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGR123C"	"8_508_5obl.1.A_5cd68b27a03a1b3565989944"	8	508	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOL089C"	"128_173_3alc.1.A_5cda0df21a200b4dccd3c487"	128	173	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YDL040C"	"17_854_6hd7.1.l_5cd92a0b08cc8fc8ddcb6693"	17	854	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YML125C"	"62_301_2eix.1.A_5cd51c2fd60c5916a047a7f6"	62	301	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOR253W"	"3_176_6hd7.1.n_5cd7dd6e732c1e40e327ec75"	3	176	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YBR167C"	"13_140_6ah3.1.G_5cd8d3573b85d1b68de6ac59"	13	140	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR131C"	"2_195_5k18.1.B_5cd76fefd60c5923df7b9648"	2	195	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR080C"	"60_850_2xzl.1.A_5cd9d31008cc8f906da7f868"	60	850	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNL137C"	"24_156_4v61.1.D_589e399d14055053b1540e30"	24	156	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJL002C"	"25_474_6ezn.1.A_5cd6112a732c1e5979c99eb4"	25	474	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YFL059W"	"3_282_3fem.1.A_5cd575c38fd6f9b1e30bf3d5"	3	282	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YHR086W"	"54_386_2ghp.1.A_5cd6add5d60c5987e4783214"	54	386	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YEL054C"	"13_143_4v4b.1.3_57ef2b1cafa3585111b2759d"	13	143	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YGL068W"	"52_194_1rqu.1.A_5cd778261a200b2e5db93b54"	52	194	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL068W"	"52_194_1rqu.1.B_5cd778261a200b2e5db93b50"	52	194	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR073C"	"2_123_2xze.2.A_5cd75784a03a1b6abee761d1"	2	123	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR252W"	"53_118_3lkx.1.A_5cd893f8a03a1bbad94be17f"	53	118	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL122C"	"1_102_2jps.1.A_5cd6b1b88fd6f911219c23b0"	1	102	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL122C"	"253_333_3zj1.1.A_5cd6b1b88fd6f911219c23ac"	253	333	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL122C"	"409_483_2lhn.1.A_5cd6b1b88fd6f911219c23b4"	409	483	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKR061W"	"84_415_5a07.1.A_5cd55f9e1a200b17a7aded50"	84	415	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOL076W"	"8_724_5k04.1.A_5cdd34b2c4494f1ee55225b2"	8	724	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR208W"	"4_409_2r3v.1.A_5cd5a3f0732c1e0fddcd08bf"	4	409	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR130W"	"22_238_3k1z.1.A_5cd55c78a03a1b39f155bb3f"	22	238	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR109W"	"35_777_2dfs.1.A_5cdade7ea03a1b2faf5d368a"	35	777	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YAL029C"	"7_975_2dfs.1.A_5cdb71ac8fd6f9b0083b2de4"	7	975	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YAL029C"	"7_975_2dfs.1.H_5cdb71ad8fd6f9b0083b2de8"	7	975	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR117C"	"8_115_5cj0.1.B_5cd712418fd6f9389ee74f1e"	8	115	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR117C"	"20_125_4l3i.1.A_5cd712418fd6f9389ee74f1a"	20	125	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOR326W"	"7_989_2dfs.1.H_5cdba27bd60c592735ed420c"	7	989	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOR326W"	"7_989_2dfs.1.A_5cdba27ad60c592735ed4204"	7	989	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJR009C"	"1_332_3pym.1.A_5cd4b37ad60c593a99594822"	1	332	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YHR023W"	"8_939_1i84.1.D_5cc7cf979ffd1241c3a0ee15"	8	939	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YHR023W"	"8_939_1i84.1.A_5cc7cf979ffd1241c3a0ee31"	8	939	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YCL033C"	"37_168_3hcg.1.D_5a7f934ba52be79317835916"	37	168	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNR043W"	"3_393_1fi4.1.A_5cd4ef0b732c1ea214f850ca"	3	393	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGR206W"	"4_81_2p22.1.D_5cda3dd78fd6f9a2f3c6e9f3"	4	81	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR386W"	"339_631_4p0q.1.A_5cd7ac2d3b85d1a4c30dd39f"	339	631	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR100W"	"26_146_4yjl.5.A_5cd79330a03a1baf46fb7cb1"	26	146	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YAL034W-A"	"2_233_5t58.1.A_5cd5a0ecd60c59b1b3d201f8"	2	233	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJL050W"	"81_1073_2xgj.1.A_5cda3e693b85d173868ca70f"	81	1073	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJL050W"	"81_1073_6ft6.1.t_5cda3e693b85d173868ca707"	81	1073	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKL192C"	"37_124_6g2j.1.U_5cd956538fd6f9ae3716fa2c"	37	124	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR140W"	"7_210_2fca.1.A_5cd6e4ea732c1ef2ec3d37af"	7	210	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YER002W"	"1_228_6cb1.1.V_5cd6afe49ffd12dd3b781400"	1	228	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNL063W"	"31_281_1t43.1.A_5cd511b808cc8fc0e52898d7"	31	281	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR009W"	"1_176_5i8s.1.A_5cd7c819732c1e718c44bbd9"	1	176	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL125W"	"1_599_6fcx.1.A_5cd765a908cc8f99122d03e2"	1	599	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YJR140C"	"26_188_4hou.2.A_5cdbb8a3d60c59810edf8464"	26	188	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR099W"	"4_238_5lvz.1.B_5cd5e80c08cc8f610ee27fdd"	4	238	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKR080W"	"3_319_1edz.1.A_5cd4ef0b732c1ea214f850b2"	3	319	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YBR221C"	"39_365_2ozl.1.B_5cd475981a200bf7c901c4f4"	39	365	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YHR055C"	"13_48_1rju.1.A_5cdbdb3cd60c599e450159d5"	13	48	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YML024W"	"2_130_5it9.1.R_5cd8f34d732c1e41da65f1f1"	2	130	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YER142C"	"28_218_2yg8.1.A_5a7d198d7aaa0d5d5125c7b8"	28	218	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDL069C"	"182_219_5xyv.1.C_5cd6b71c08cc8fabc7230106"	182	219	NA	NA	"dN_dS_max_gap_ratio_0.3"	"0.946"
"YBL057C"	"88_208_2zv3.3.B_5cd72cd5d60c593a3cee083e"	88	208	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YCR039C"	"128_205_1akh.1.D_5cd723759ffd12d7885c8be3"	128	205	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJL088W"	"10_334_3sds.1.A_5cd497ead60c59e8a38b0953"	10	334	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YFR031C-A"	"2_253_5dat.35.A_589e4537c730d4826781a5e3"	2	253	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOR058C"	"97_616_4l6y.1.A_5cd959aba03a1b2f324fc313"	97	616	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKL186C"	"8_184_4wwu.1.C_5cd7b0a8d60c59b597bed2ab"	8	184	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGR158C"	"8_248_5k36.1.F_5cd654d5a03a1bd396b8867f"	8	248	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YIR031C"	"25_541_3cuz.1.A_5cd6ff11732c1edce3998cf4"	25	541	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR023C"	"38_526_1xzp.1.A_5cd6b489732c1e20526b25ae"	38	526	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDL107W"	"78_323_6af0.1.A_5cdd41a18fd6f9b5426f0525"	78	323	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR164C"	"51_83_1uuj.1.A_5cd891bca03a1b5b6ac91ff2"	51	83	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YOR298C-A"	"55_151_2jvl.1.A_5cd8867aa03a1b6bc9ceb074"	55	151	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YER042W"	"2_183_3pil.1.A_5cd7af819ffd128d6c4d9d2f"	2	183	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGR028W"	"51_345_5w0t.1.A_5cdd4f7b9ffd1232200db391"	51	345	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKL062W"	"555_630_5k5h.1.A_5cd7a758732c1ed55a0d6868"	555	630	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YMR037C"	"623_700_4x9j.1.A_5cd836351a200b4f24b20dd8"	623	700	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YIR009W"	"24_110_6exn.1.W_5cd9e2ef8fd6f9ff53f76edf"	24	110	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR097C"	"269_1171_2o8e.1.D_5cdaf79ca03a1bb93cf2c8c9"	269	1171	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNL069C"	"1_119_4wqr.2.7_5a7f0a19ad01f07c48bf9b00"	1	119	NA	NA	"dN_dS_max_gap_ratio_0.3"	"0.148"
"YDL154W"	"633_764_5xu1.1.A_5cd971d208cc8f51135998d4"	633	764	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPL203W"	"65_380_1fot.1.A_5cd4af799ffd123d78dbad55"	65	380	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNL053W"	"228_375_2j16.2.A_5cd63c6e1a200ba1a7ae2d24"	228	375	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR065W"	"152_298_4k1p.1.A_5cd66efb9ffd1211946f0759"	152	298	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR065W"	"132_260_4k1p.1.A_5cd66efb9ffd1211946f0755"	132	260	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR065W"	"333_443_6f1u.1.H_5cd66efb9ffd1211946f074d"	333	443	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR244W"	"300_612_2c0m.1.A_5cd784f7a03a1bd00189d4f5"	300	612	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR244W"	"272_544_6eou.1.A_5cd784f7a03a1bd00189d4ed"	272	544	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YIL136W"	"249_275_5x42.1.B_5cd4e0519ffd12906812a6f4"	249	275	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YFL033C"	"755_938_4aw2.1.A_5903a53da52be735b3a00255"	755	938	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YFL033C"	"774_951_5dyk.1.A_5903a53ea52be735b3a0025d"	774	951	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJR088C"	"23_285_5ctq.1.A_5cd594d28fd6f90fe8a3f844"	23	285	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR368W"	"5_311_3uzw.1.A_5cd519d4d60c598bb030a27e"	5	311	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJL053W"	"5_377_6h7w.1.A_5cd4ade6d60c593deb0e6add"	5	377	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJR046W"	"302_449_2wvr.1.C_58913113ad01f05c3d9e1d76"	302	449	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR139W"	"28_357_3sd0.1.B_5cd489601a200bc215c7de2e"	28	357	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YBR299W"	"4_582_3axh.1.A_5cd7470b732c1eee957e91eb"	4	582	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPL262W"	"27_485_1yfm.1.A_5cd639119ffd12c50747a38b"	27	485	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YBR297W"	"2_47_2alc.1.A_5cd5f9929ffd12b1cd9a62ac"	2	47	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKL009W"	"1_235_4v7f.1.g_5cd697228fd6f9f2c05282eb"	1	235	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGR292W"	"4_582_3axh.1.A_5cd747189ffd127e9189eae7"	4	582	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR329W"	"205_239_1tg2.1.A_5cd60b4d08cc8f51ae77a06a"	205	239	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YLL004W"	"15_616_5zr1.1.C_5cd78ae79ffd1228d9a4a50a"	15	616	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDL045W-A"	"5_95_5mrc.65.A_5cda8c439ffd1237efac182b"	5	95	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGR078C"	"35_179_2zdi.1.C_5cd75a21d60c5922b00099ba"	35	179	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR406W"	"882_1515_6hij.1.B_5cdb8c2e08cc8fc4791f145a"	882	1515	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR375C"	"233_420_1xwi.1.A_5b87ac299ffd1236231b32a7"	233	420	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR398C"	"301_1287_4a4z.1.A_5cdb177a732c1e9e5c70a17e"	301	1287	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR112C"	"533_843_4p6q.1.A_5cd9602d08cc8fb66d94fb64"	533	843	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
