Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Candida&Intermedia	5 (5)	11	2.2	0 (0)	0	0	19	0.0287356
Yhmpu5000035639&Wickerhamomyces&Canadensis	3 (3)	5	1.67	0 (0)	0	0	21	0.0229885
Kluyveromyces&Lactis	4 (4)	6	1.5	0 (0)	0	0	20	0.0344828
Yhmpu5000034754&Lipomyces&Arxii	1 (0)	1	1.0	2 (0)	2	1.0	21	0.109195
Candida&Albicans	7 (6)	8	1.14	0 (0)	0	0	17	0.0862069
Ogataea&Parapolymorpha	3 (3)	6	2.0	0 (0)	0	0	21	0.0229885
Metschnikowia&Matae&Maris	10 (10)	17	1.7	0 (0)	0	0	14	0.0977011
Yhmpu5000034655&Botryozyma&Nematodophila	9 (3)	11	1.22	0 (0)	0	0	15	0.0689655
Yhmpu5000034947&Ambrosiozyma&Philentoma	5 (4)	13	2.6	0 (0)	0	0	19	0.155172
Yhmpu5000035662&Meyerozyma&Caribbica	5 (5)	7	1.4	1 (0)	1	1.0	18	0.0229885
Yhmpu5000034979&Cyberlindnera&Misumaiensis	3 (3)	4	1.33	0 (0)	0	0	21	0.0114943
Metschnikowia&Bowlesiae	10 (10)	16	1.6	1 (1)	1	1.0	13	0.0862069
Candida&Sorboxylosa	2 (2)	2	1.0	2 (0)	2	1.0	20	-0.00574713
Arxula&Adeninivorans	3 (3)	3	1.0	1 (0)	1	1.0	20	0
Yhmpu5000035033&Candida&Cretensis	4 (4)	5	1.25	0 (0)	0	0	20	0.0114943
Yhmpu5000041713&Debaryomyces&Maramus	5 (5)	6	1.2	1 (0)	1	1.0	18	-0.0747126
Yhmpu5000034710&Kluyveromyces&Dobzhanskii	4 (4)	4	1.0	0 (0)	0	0	20	0.0172414
Yhmpu5000034903&Ogataea&Naganishii	6 (5)	9	1.5	0 (0)	0	0	18	0.0689655
Yhmpu5000035654&Tortispora&Ganteri	3 (3)	3	1.0	0 (0)	0	0	21	0.0344828
Yhmpu5000034597&Candida&Stellimalicola	4 (4)	4	1.0	1 (0)	1	1.0	19	-0.0114943
Nadsonia&Fulvescens&Var&Elongata	3 (3)	4	1.33	1 (0)	1	1.0	20	0.0287356
Metschnikowia&Dekortum	9 (9)	16	1.78	1 (1)	1	1.0	14	0.091954
Yhmpu5000035658&Starmera&Amethionina	3 (3)	3	1.0	0 (0)	0	0	21	0.0344828
Eremothecium&Sinecaudum	1 (1)	1	1.0	2 (0)	2	1.0	21	-0.0689655
Yhmpu5000035041&Ambrosiozyma&Pseudovanderkliftii	5 (4)	5	1.0	1 (0)	1	1.0	18	0.0229885
Yhmpu5000034742&Lipomyces&Suomiensis	3 (0)	3	1.0	0 (0)	0	0	21	-0.0172414
Yhmpu5000035671&Phaffomyces&Antillensis	4 (4)	5	1.25	1 (0)	1	1.0	19	0.0114943
Yhmpu5000034631&Martiniozyma&Abiesophila	3 (2)	3	1.0	0 (0)	0	0	21	0.0747126
Yhmpu5000035325&Cyberlindnera&Petersonii	4 (4)	7	1.75	1 (0)	1	1.0	19	-0.0114943
Saccharomyces&Cerevisiae	5 (4)	6	1.2	0 (0)	0	0	19	0.0632184
Nakaseomyces&Bacillisporus	1 (1)	1	1.0	1 (0)	1	1.0	22	0.0172414
Hanseniaspora&Valbyensis	4 (3)	5	1.25	0 (0)	0	0	20	0.0287356
Kazachstania&Naganishii	3 (3)	3	1.0	2 (0)	2	1.0	19	0
Yhmpu5000034636&Ogataea&Nitratoaversa	3 (3)	6	2.0	0 (0)	0	0	21	0.0344828
Yarrowia&Deformans	3 (3)	3	1.0	0 (0)	0	0	21	0.0287356
Yhmpu5000035040&Ambrosiozyma&Maleeae	2 (2)	2	1.0	1 (0)	1	1.0	21	-0.0747126
Yhmpu5000035688&Cyberlindnera&Xylosilytica	6 (4)	15	2.5	0 (0)	0	0	18	0.126437
Nakaseomyces&Bracarensis	1 (1)	1	1.0	0 (0)	0	0	23	0.00574713
Yhmpu5000034986&Candida&Oregonensis	8 (4)	10	1.25	6 (2)	8	1.33	10	-0.045977
Yhmpu5000035691&Candida&Salmanticensis	7 (3)	7	1.0	2 (0)	2	1.0	15	-0.0344828
Yhmpu5000034627&Pichia&Heedii	3 (3)	5	1.67	1 (0)	1	1.0	20	0
Yhmpu5000034667&Blastobotrys&Serpentis	6 (3)	6	1.0	1 (0)	1	1.0	17	0.091954
Yhab164&Kazachstania&Aerobia	3 (3)	3	1.0	1 (0)	1	1.0	20	0.0172414
Spathaspora&Girioi	8 (6)	17	2.13	3 (0)	3	1.0	13	0.0689655
Nakaseomyces&Delphensis	1 (1)	1	1.0	1 (0)	1	1.0	22	0
Hanseniaspora&Vinae	2 (2)	3	1.5	1 (0)	1	1.0	21	0.0172414
Lachancea&Waltii	2 (1)	4	2.0	1 (0)	1	1.0	21	0.00574713
Yhab158&Kazachstania&Viticola	5 (3)	12	2.4	0 (0)	0	0	19	0.0804598
Metschnikowia&Santaceciliae	9 (9)	17	1.89	2 (2)	2	1.0	13	0.0862069
Yhmpu5000035677&Kodamaea&Ohmeri	7 (5)	9	1.29	1 (0)	1	1.0	16	0.0632184
Candida&Versatilis	6 (4)	9	1.5	0 (0)	0	0	18	0.114943
Yhmpu5000026256&Zygotorulaspora&Mrakii	3 (3)	3	1.0	0 (0)	0	0	21	-0.0229885
Cyberlindnera&Jadinii	5 (5)	8	1.6	0 (0)	0	0	19	0.0862069
Yhab155&Kazachstania&Spencerorum	7 (4)	11	1.57	0 (0)	0	0	17	0.091954
Cyberlindnera&Fabianii&Jcm3601	4 (4)	8	2.0	1 (0)	1	1.0	19	0
Yhmpu5000035046&Barnettozyma&Populi	4 (3)	7	1.75	0 (0)	0	0	20	0.0172414
Yhmpu5000041824&Debaryomyces&Subglobosus	6 (6)	10	1.67	1 (0)	1	1.0	17	0.0402299
Yhmpu5000034625&Pichia&Kudriavzevii	4 (2)	6	1.5	1 (0)	1	1.0	19	0.0287356
Yhmpu5000034622&Pichia&Occidentalis	3 (2)	3	1.0	0 (0)	0	0	21	0.0172414
