# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
loss	11	Vibrio_cholerae	0.2741	0.6781	0	1	0.8932	0.939
gain	11	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1682	0.1786
loss	11	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.9595	1.12
gain	11	N17	1.124	1.34	0.001039	2	0.5135	0.657
loss	11	N17	1.124	1.34	0.001039	2	0.9809	1.598
loss	11	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.9438	0.9622
loss	11	N18	0.08709	0.3028	0.08119	2	0.05233	0.05258
gain	11	N19	0.04472	0.3475	0.03648	3	0.06915	0.06925
gain	11	Brucella_melitensis	0.3466	0.6941	0	1	0.2566	0.2689
loss	11	Brucella_melitensis	0.3466	0.6941	0	1	0.252	0.2638
loss	11	Caulobacter_vibrioides	0.1842	0.487	0	1	0.9348	0.9569
gain	11	N22	1.46	1.676	4.898e-06	2	0.6568	0.9535
loss	11	N22	1.46	1.676	4.898e-06	2	0.9876	1.894
gain	11	N23	0.8467	2.523	2.697e-11	2	0.5222	0.6401
loss	11	N23	0.8467	2.523	2.697e-11	2	0.5222	0.6401
gain	11	N25	1.647	1.787	0.4354	2	0.7768	1.296
loss	11	N25	1.647	1.787	0.4354	2	0.9768	1.971
gain	11	Fusobacterium_nucleatum	1.445	3.232	0	1	0.7339	1.127
loss	11	Fusobacterium_nucleatum	1.445	3.232	0	1	0.8155	1.365
gain	11	N26	0.1288	1.916	0.3067	2	0.09473	0.09573
loss	11	N26	0.1288	1.916	0.3067	2	0.1247	0.1261
gain	11	Aquifex_aeolicus	2.838	4.754	0	1	0.9394	2.406
loss	11	Aquifex_aeolicus	2.838	4.754	0	1	0.9546	2.614
gain	11	Thermotoga_maritima	0.3067	2.222	0	1	0.1263	0.1304
loss	11	Thermotoga_maritima	0.3067	2.222	0	1	0.3203	0.3379
loss	11	N27	0.05299	0.193	0.2036	2	0.06567	0.0658
gain	11	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1148	0.1194
loss	11	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.8954	0.9853
gain	11	N28	0.2036	0.3966	8.132e-08	2	0.2143	0.2197
loss	11	N28	0.2036	0.3966	8.132e-08	2	0.0843	0.08563
loss	11	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	1	1.029
gain	11	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.2965	0.3131
loss	11	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.2596	0.2725
gain	11	N30	0.08246	0.2819	2.435e-11	2	0.05511	0.05535
gain	11	N31	0.3418	0.3418	0.174	2	0.1723	0.1809
loss	11	N31	0.3418	0.3418	0.174	2	0.5776	0.6191
loss	11	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.2387	0.2434
gain	11	N32	0.1448	0.4867	0.1437	3	0.1315	0.1333
loss	11	N32	0.1448	0.4867	0.1437	3	0.1085	0.1098
gain	11	Listeria_innocua	0.243	0.7296	0	1	0.08475	0.08649
loss	11	Listeria_innocua	0.243	0.7296	0	1	0.294	0.305
gain	11	N35	0.1284	0.6151	0.01528	2	0.5664	0.5729
loss	11	Bacillus_halodurans	0.1233	0.7384	0	1	0.7704	0.7787
gain	11	Bacillus_subtilis	0.01528	0.6304	0	1	0.2365	0.2365
loss	11	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.2482	0.2518
gain	11	N36	0.675	1.162	0.09281	2	0.3853	0.4412
loss	11	N36	0.675	1.162	0.09281	2	0.5386	0.6498
gain	12	N15	0.8811	1.379	1.882e-11	2	0.07659	0.07942
loss	12	N15	0.8811	1.379	1.882e-11	2	0.0764	0.0792
loss	12	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.9974	1.006
gain	12	N17	1.124	1.34	0.001039	2	0.1193	0.126
loss	12	N17	1.124	1.34	0.001039	2	0.1167	0.1232
loss	12	N18	0.08709	0.3028	0.08119	2	0.9391	0.9393
loss	12	N19	0.04472	0.3475	0.03648	3	0.05092	0.05093
gain	12	Agrobacterium_tumefaciens_Cereon	0.1172	0.5599	0	1	0.9769	0.9774
loss	12	Caulobacter_vibrioides	0.1842	0.487	0	1	0.06102	0.06113
gain	12	N22	1.46	1.676	4.898e-06	2	0.06162	0.06512
loss	12	N22	1.46	1.676	4.898e-06	2	0.9979	1.062
gain	12	N23	0.8467	2.523	2.697e-11	2	0.05364	0.05517
loss	12	N23	0.8467	2.523	2.697e-11	2	0.05364	0.05517
gain	12	N25	1.647	1.787	0.4354	2	0.1952	0.2124
loss	12	N25	1.647	1.787	0.4354	2	0.2494	0.2801
gain	12	Fusobacterium_nucleatum	1.445	3.232	0	1	0.2187	0.2419
loss	12	Fusobacterium_nucleatum	1.445	3.232	0	1	0.1557	0.1666
gain	12	Aquifex_aeolicus	2.838	4.754	0	1	0.1886	0.2235
loss	12	Aquifex_aeolicus	2.838	4.754	0	1	0.9704	1.16
gain	12	Thermotoga_maritima	0.3067	2.222	0	1	0.07158	0.07218
loss	12	N28	0.2036	0.3966	8.132e-08	2	0.9655	0.9668
gain	13	N2	0.1189	0.1189	0.1629	3	0.1438	0.1446
loss	13	N4	0.09654	0.2155	0.1023	3	0.5843	0.5855
loss	13	N8	0.102	0.3178	7.569e-08	2	0.3466	0.3478
gain	13	N15	0.8811	1.379	1.882e-11	2	0.2832	0.3265
loss	13	N15	0.8811	1.379	1.882e-11	2	0.288	0.3339
gain	13	Vibrio_cholerae	0.2741	0.6781	0	1	0.05094	0.05194
loss	13	Vibrio_cholerae	0.2741	0.6781	0	1	0.05917	0.06057
gain	13	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1118	0.118
loss	13	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.4273	0.4596
gain	13	N17	1.124	1.34	0.001039	2	0.3227	0.3907
loss	13	N17	1.124	1.34	0.001039	2	0.5731	0.7323
gain	13	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.6683	0.6732
loss	13	N18	0.08709	0.3028	0.08119	2	0.2981	0.2988
gain	13	Brucella_melitensis	0.3466	0.6941	0	1	0.07591	0.07823
loss	13	Brucella_melitensis	0.3466	0.6941	0	1	0.08079	0.08348
loss	13	Caulobacter_vibrioides	0.1842	0.487	0	1	0.07291	0.07386
gain	13	N22	1.46	1.676	4.898e-06	2	0.4235	0.5566
loss	13	N22	1.46	1.676	4.898e-06	2	0.6394	0.899
gain	13	N23	0.8467	2.523	2.697e-11	2	0.2714	0.3107
loss	13	N23	0.8467	2.523	2.697e-11	2	0.2714	0.3107
gain	13	N25	1.647	1.787	0.4354	2	0.4499	0.6351
loss	13	N25	1.647	1.787	0.4354	2	0.9362	1.378
gain	13	Fusobacterium_nucleatum	1.445	3.232	0	1	0.4436	0.5837
loss	13	Fusobacterium_nucleatum	1.445	3.232	0	1	0.5558	0.7646
loss	13	N26	0.1288	1.916	0.3067	2	0.07811	0.07858
gain	13	Aquifex_aeolicus	2.838	4.754	0	1	0.7227	1.319
loss	13	Aquifex_aeolicus	2.838	4.754	0	1	0.7672	1.466
gain	13	Thermotoga_maritima	0.3067	2.222	0	1	0.05566	0.05695
loss	13	Thermotoga_maritima	0.3067	2.222	0	1	0.1974	0.2036
gain	13	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1734	0.1836
loss	13	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1188	0.1238
gain	13	N28	0.2036	0.3966	8.132e-08	2	0.09262	0.09453
gain	13	N29	0.08048	0.1994	0.08246	2	0.05848	0.05866
gain	13	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.1349	0.1412
loss	13	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.1058	0.1097
gain	13	N31	0.3418	0.3418	0.174	2	0.1239	0.1291
loss	13	N31	0.3418	0.3418	0.174	2	0.2667	0.2766
loss	13	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.6585	0.6631
gain	13	N32	0.1448	0.4867	0.1437	3	0.2571	0.2592
loss	13	Listeria_innocua	0.243	0.7296	0	1	0.8915	0.9056
gain	13	N35	0.1284	0.6151	0.01528	2	0.1258	0.1266
gain	13	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.1308	0.1319
gain	13	N36	0.675	1.162	0.09281	2	0.124	0.1346
loss	13	N36	0.675	1.162	0.09281	2	0.9132	1.015
gain	14	N2	0.1189	0.1189	0.1629	3	0.08012	0.08085
loss	14	N2	0.1189	0.1189	0.1629	3	0.112	0.1131
gain	14	N4	0.09654	0.2155	0.1023	3	0.2589	0.2606
loss	14	N8	0.102	0.3178	7.569e-08	2	0.4043	0.4074
gain	14	Salmonella_typhimurium	0.04607	0.6092	0	1	0.9787	0.9802
gain	14	Yersinia_pestis	0.2301	0.7426	0	1	0.09063	0.09238
loss	14	Yersinia_pestis	0.2301	0.7426	0	1	0.1178	0.1207
gain	14	N15	0.8811	1.379	1.882e-11	2	0.5498	0.6838
loss	14	N15	0.8811	1.379	1.882e-11	2	0.5694	0.7164
gain	14	Vibrio_cholerae	0.2741	0.6781	0	1	0.1215	0.1248
loss	14	Vibrio_cholerae	0.2741	0.6781	0	1	0.1489	0.1538
gain	14	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.2513	0.2718
loss	14	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.5767	0.6635
gain	14	N17	1.124	1.34	0.001039	2	0.6112	0.8193
loss	14	N17	1.124	1.34	0.001039	2	0.7946	1.211
gain	14	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.6345	0.6469
gain	14	N18	0.08709	0.3028	0.08119	2	0.2615	0.2629
gain	14	N19	0.04472	0.3475	0.03648	3	0.3248	0.3252
gain	14	N20	0.09521	0.4427	0.03546	2	0.07183	0.07224
gain	14	Brucella_melitensis	0.3466	0.6941	0	1	0.08764	0.09019
loss	14	Brucella_melitensis	0.3466	0.6941	0	1	0.9542	1.034
gain	14	Mesorhizobium_loti	0.03647	0.384	0	1	0.05854	0.0586
loss	14	Caulobacter_vibrioides	0.1842	0.487	0	1	0.6465	0.6624
gain	14	N22	1.46	1.676	4.898e-06	2	0.7377	1.131
loss	14	N22	1.46	1.676	4.898e-06	2	0.8619	1.523
gain	14	N23	0.8467	2.523	2.697e-11	2	0.5363	0.6589
loss	14	N23	0.8467	2.523	2.697e-11	2	0.5363	0.659
gain	14	N25	1.647	1.787	0.4354	2	0.854	1.544
loss	14	N25	1.647	1.787	0.4354	2	0.8301	1.458
gain	14	Fusobacterium_nucleatum	1.445	3.232	0	1	0.7499	1.159
loss	14	Fusobacterium_nucleatum	1.445	3.232	0	1	0.8283	1.398
gain	14	N26	0.1288	1.916	0.3067	2	0.09771	0.09874
loss	14	N26	0.1288	1.916	0.3067	2	0.1268	0.1282
gain	14	Aquifex_aeolicus	2.838	4.754	0	1	0.9499	2.468
loss	14	Aquifex_aeolicus	2.838	4.754	0	1	0.9629	2.677
gain	14	Thermotoga_maritima	0.3067	2.222	0	1	0.1305	0.1347
loss	14	Thermotoga_maritima	0.3067	2.222	0	1	0.3262	0.3445
loss	14	N27	0.05299	0.193	0.2036	2	0.05286	0.05297
gain	14	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1999	0.2105
loss	14	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.3149	0.3393
gain	14	N28	0.2036	0.3966	8.132e-08	2	0.0686	0.06962
loss	14	N28	0.2036	0.3966	8.132e-08	2	0.1934	0.1984
gain	14	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	1	1.03
loss	14	N29	0.08048	0.1994	0.08246	2	0.109	0.1095
gain	14	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.1801	0.1883
loss	14	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.2521	0.2674
loss	14	N30	0.08246	0.2819	2.435e-11	2	0.092	0.09244
gain	14	N31	0.3418	0.3418	0.174	2	0.24	0.2538
loss	14	N31	0.3418	0.3418	0.174	2	0.289	0.3073
gain	14	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.05144	0.052
loss	14	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.1882	0.1919
gain	14	N32	0.1448	0.4867	0.1437	3	0.1431	0.1451
loss	14	N32	0.1448	0.4867	0.1437	3	0.08884	0.08995
gain	14	Listeria_innocua	0.243	0.7296	0	1	0.08918	0.09103
loss	14	Listeria_innocua	0.243	0.7296	0	1	0.2757	0.286
gain	14	N35	0.1284	0.6151	0.01528	2	0.588	0.595
loss	14	Bacillus_halodurans	0.1233	0.7384	0	1	0.7697	0.7783
gain	14	Bacillus_subtilis	0.01528	0.6304	0	1	0.2376	0.2376
loss	14	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.2268	0.2301
gain	14	N36	0.675	1.162	0.09281	2	0.401	0.4603
loss	14	N36	0.675	1.162	0.09281	2	0.5357	0.6451
gain	15	N2	0.1189	0.1189	0.1629	3	0.08018	0.08033
gain	15	N15	0.8811	1.379	1.882e-11	2	0.07386	0.0766
loss	15	N15	0.8811	1.379	1.882e-11	2	0.9942	1.069
loss	15	Vibrio_cholerae	0.2741	0.6781	0	1	0.9792	0.9867
gain	15	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.0842	0.08603
loss	15	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.08417	0.08599
gain	15	N17	1.124	1.34	0.001039	2	0.1132	0.1196
loss	15	N17	1.124	1.34	0.001039	2	1	1.12
gain	15	N22	1.46	1.676	4.898e-06	2	0.1758	0.192
loss	15	N22	1.46	1.676	4.898e-06	2	1	1.192
gain	15	N23	0.8467	2.523	2.697e-11	2	0.1467	0.1538
loss	15	N23	0.8467	2.523	2.697e-11	2	0.1467	0.1538
gain	15	N25	1.647	1.787	0.4354	2	0.2643	0.3015
loss	15	N25	1.647	1.787	0.4354	2	0.9392	1.153
gain	15	Fusobacterium_nucleatum	1.445	3.232	0	1	0.2821	0.3162
loss	15	Fusobacterium_nucleatum	1.445	3.232	0	1	0.3999	0.4629
loss	15	N26	0.1288	1.916	0.3067	2	0.05518	0.05529
gain	15	Aquifex_aeolicus	2.838	4.754	0	1	0.5602	0.7725
loss	15	Aquifex_aeolicus	2.838	4.754	0	1	0.616	0.8842
loss	15	Thermotoga_maritima	0.3067	2.222	0	1	0.1341	0.1355
gain	15	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.0528	0.05355
loss	15	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	1	1.004
gain	15	N31	0.3418	0.3418	0.174	2	0.05435	0.05503
loss	15	N31	0.3418	0.3418	0.174	2	0.1571	0.1593
loss	15	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.8212	0.8236
gain	15	N32	0.1448	0.4867	0.1437	3	0.1848	0.1853
gain	15	N36	0.675	1.162	0.09281	2	0.141	0.1461
loss	15	N36	0.675	1.162	0.09281	2	0.1548	0.1609
loss	15	Lactococcus_lactis	0.1139	1.276	0	1	0.9839	0.9852
gain	16	N2	0.1189	0.1189	0.1629	3	0.2688	0.2691
gain	16	N15	0.8811	1.379	1.882e-11	2	0.05344	0.05544
loss	16	N15	0.8811	1.379	1.882e-11	2	0.9987	1.054
gain	16	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.06107	0.06244
loss	16	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.061	0.06236
gain	16	N17	1.124	1.34	0.001039	2	0.242	0.2636
loss	16	N17	1.124	1.34	0.001039	2	0.242	0.2636
gain	16	N22	1.46	1.676	4.898e-06	2	0.1284	0.1401
loss	16	N22	1.46	1.676	4.898e-06	2	0.9999	1.14
gain	16	N23	0.8467	2.523	2.697e-11	2	0.1082	0.1133
loss	16	N23	0.8467	2.523	2.697e-11	2	0.1082	0.1133
gain	16	N25	1.647	1.787	0.4354	2	0.1997	0.2281
loss	16	N25	1.647	1.787	0.4354	2	0.8983	1.047
gain	16	Fusobacterium_nucleatum	1.445	3.232	0	1	0.2132	0.2373
loss	16	Fusobacterium_nucleatum	1.445	3.232	0	1	0.3188	0.3631
gain	16	Aquifex_aeolicus	2.838	4.754	0	1	0.4484	0.5969
loss	16	Aquifex_aeolicus	2.838	4.754	0	1	0.5025	0.6902
loss	16	Thermotoga_maritima	0.3067	2.222	0	1	0.1098	0.1108
gain	16	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1265	0.1284
loss	16	N28	0.2036	0.3966	8.132e-08	2	0.9061	0.9088
loss	16	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.9649	0.9741
loss	16	N31	0.3418	0.3418	0.174	2	0.6701	0.6756
gain	16	N36	0.675	1.162	0.09281	2	0.07566	0.07808
loss	16	N36	0.675	1.162	0.09281	2	0.07646	0.07897
gain	17	N15	0.8811	1.379	1.882e-11	2	0.0821	0.08747
loss	17	N15	0.8811	1.379	1.882e-11	2	0.08287	0.08848
gain	17	N17	1.124	1.34	0.001039	2	0.1173	0.1283
loss	17	N17	1.124	1.34	0.001039	2	0.1174	0.1285
gain	17	N22	1.46	1.676	4.898e-06	2	0.1672	0.1896
loss	17	N22	1.46	1.676	4.898e-06	2	0.1673	0.1898
gain	17	N23	0.8467	2.523	2.697e-11	2	1	1.038
gain	17	N25	1.647	1.787	0.4354	2	0.7142	0.7981
loss	17	N25	1.647	1.787	0.4354	2	0.1435	0.1673
gain	17	Fusobacterium_nucleatum	1.445	3.232	0	1	0.1195	0.1358
loss	17	Fusobacterium_nucleatum	1.445	3.232	0	1	0.7028	0.7685
gain	17	N26	0.1288	1.916	0.3067	2	0.13	0.1301
gain	17	Aquifex_aeolicus	2.838	4.754	0	1	0.6066	0.815
loss	17	Aquifex_aeolicus	2.838	4.754	0	1	0.4332	0.5681
gain	17	Thermotoga_maritima	0.3067	2.222	0	1	0.2574	0.2596
gain	17	N36	0.675	1.162	0.09281	2	0.05448	0.0569
loss	17	N36	0.675	1.162	0.09281	2	0.05472	0.05723
loss	18	N2	0.1189	0.1189	0.1629	3	0.2104	0.2116
gain	18	N9	0.08611	0.4039	0.162	2	0.1573	0.1578
gain	18	N10	0.09368	0.4976	0.06827	3	0.3907	0.3921
gain	18	N12	0.05066	0.5631	0.002765	2	0.4251	0.4256
loss	18	Yersinia_pestis	0.2301	0.7426	0	1	0.5979	0.6114
gain	18	N15	0.8811	1.379	1.882e-11	2	0.7608	0.9526
loss	18	N15	0.8811	1.379	1.882e-11	2	0.398	0.482
gain	18	Vibrio_cholerae	0.2741	0.6781	0	1	0.06601	0.06749
loss	18	Vibrio_cholerae	0.2741	0.6781	0	1	0.2105	0.2175
gain	18	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1909	0.205
loss	18	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1955	0.2106
gain	18	N17	1.124	1.34	0.001039	2	0.4664	0.6
loss	18	N17	1.124	1.34	0.001039	2	0.469	0.6055
gain	18	N20	0.09521	0.4427	0.03546	2	0.06138	0.06166
gain	18	Agrobacterium_tumefaciens_Cereon	0.1172	0.5599	0	1	0.9472	0.9526
loss	18	Sinorhizobium_meliloti	0.03546	0.4781	0	1	0.05558	0.05562
gain	18	Brucella_melitensis	0.3466	0.6941	0	1	0.1076	0.1116
loss	18	Brucella_melitensis	0.3466	0.6941	0	1	0.1114	0.1157
gain	18	N22	1.46	1.676	4.898e-06	2	0.5747	0.8217
loss	18	N22	1.46	1.676	4.898e-06	2	0.5765	0.8273
gain	18	N23	0.8467	2.523	2.697e-11	2	1	1.251
loss	18	N23	0.8467	2.523	2.697e-11	2	0.2216	0.2512
gain	18	N25	1.647	1.787	0.4354	2	0.6784	1.075
loss	18	N25	1.647	1.787	0.4354	2	0.6118	0.9283
gain	18	Fusobacterium_nucleatum	1.445	3.232	0	1	0.546	0.7673
loss	18	Fusobacterium_nucleatum	1.445	3.232	0	1	0.6389	0.9546
gain	18	N26	0.1288	1.916	0.3067	2	0.06096	0.06149
loss	18	N26	0.1288	1.916	0.3067	2	0.08893	0.08966
gain	18	Aquifex_aeolicus	2.838	4.754	0	1	0.8071	1.686
loss	18	Aquifex_aeolicus	2.838	4.754	0	1	0.8382	1.845
gain	18	Thermotoga_maritima	0.3067	2.222	0	1	0.07884	0.08101
loss	18	Thermotoga_maritima	0.3067	2.222	0	1	0.2304	0.2402
gain	18	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1263	0.132
loss	18	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1636	0.173
loss	18	N28	0.2036	0.3966	8.132e-08	2	0.08224	0.08387
gain	18	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.9567	1.006
loss	18	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.05864	0.06037
loss	18	N30	0.08246	0.2819	2.435e-11	2	0.06218	0.0624
gain	18	N31	0.3418	0.3418	0.174	2	0.7311	0.764
loss	18	N31	0.3418	0.3418	0.174	2	0.08305	0.08619
gain	18	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.1289	0.131
gain	18	N32	0.1448	0.4867	0.1437	3	0.1121	0.1134
gain	18	Listeria_innocua	0.243	0.7296	0	1	0.08677	0.08875
loss	18	Listeria_innocua	0.243	0.7296	0	1	0.07784	0.07941
gain	18	N36	0.675	1.162	0.09281	2	0.3832	0.4381
loss	18	N36	0.675	1.162	0.09281	2	0.443	0.5157
loss	18	Streptococcus_pyogenes_M1	0.09281	1.254	0	1	0.9144	0.9175
gain	18	Streptococcus_pneumoniae_TIGR4	0.09392	1.256	0	1	0.09712	0.09765
gain	18	Lactococcus_lactis	0.1139	1.276	0	1	0.102	0.1028
gain	19	N2	0.1189	0.1189	0.1629	3	0.1298	0.1303
gain	19	N15	0.8811	1.379	1.882e-11	2	0.1179	0.1264
loss	19	N15	0.8811	1.379	1.882e-11	2	0.9926	1.116
loss	19	Vibrio_cholerae	0.2741	0.6781	0	1	0.9715	0.9842
gain	19	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1369	0.1429
loss	19	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1368	0.1427
gain	19	N17	1.124	1.34	0.001039	2	0.1743	0.193
loss	19	N17	1.124	1.34	0.001039	2	0.9999	1.193
loss	19	Brucella_melitensis	0.3466	0.6941	0	1	0.9996	1.021
gain	19	N22	1.46	1.676	4.898e-06	2	0.2597	0.3021
loss	19	N22	1.46	1.676	4.898e-06	2	0.9999	1.302
gain	19	N23	0.8467	2.523	2.697e-11	2	0.2141	0.2321
loss	19	N23	0.8467	2.523	2.697e-11	2	0.2141	0.2321
gain	19	N25	1.647	1.787	0.4354	2	0.3744	0.4601
loss	19	N25	1.647	1.787	0.4354	2	0.949	1.283
gain	19	Fusobacterium_nucleatum	1.445	3.232	0	1	0.3851	0.4579
loss	19	Fusobacterium_nucleatum	1.445	3.232	0	1	0.5098	0.6298
loss	19	N26	0.1288	1.916	0.3067	2	0.06776	0.06799
gain	19	Aquifex_aeolicus	2.838	4.754	0	1	0.6989	1.074
loss	19	Aquifex_aeolicus	2.838	4.754	0	1	0.7521	1.209
loss	19	Thermotoga_maritima	0.3067	2.222	0	1	0.1711	0.1742
gain	19	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.09057	0.09335
loss	19	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.08296	0.08512
gain	19	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.07397	0.07578
loss	19	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.07075	0.07234
loss	19	Mycobacterium_tuberculosis_CDC1551	0.009861	0.2917	0	1	1	1
gain	19	N31	0.3418	0.3418	0.174	2	0.08024	0.08211
loss	19	N31	0.3418	0.3418	0.174	2	0.2493	0.255
loss	19	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.7073	0.7108
gain	19	N32	0.1448	0.4867	0.1437	3	0.2181	0.2191
loss	19	Listeria_innocua	0.243	0.7296	0	1	0.909	0.9182
gain	19	N35	0.1284	0.6151	0.01528	2	0.1013	0.1017
gain	19	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.1044	0.1049
gain	19	N36	0.675	1.162	0.09281	2	0.08217	0.08633
loss	19	N36	0.675	1.162	0.09281	2	0.921	0.9892
loss	20	Yersinia_pestis	0.2301	0.7426	0	1	0.9965	0.9986
gain	20	N15	0.8811	1.379	1.882e-11	2	0.09521	0.09944
loss	20	N15	0.8811	1.379	1.882e-11	2	0.09265	0.09662
gain	20	N17	1.124	1.34	0.001039	2	0.141	0.1503
loss	20	N17	1.124	1.34	0.001039	2	0.141	0.1503
gain	20	N22	1.46	1.676	4.898e-06	2	0.2106	0.2318
loss	20	N22	1.46	1.676	4.898e-06	2	0.2106	0.2318
loss	20	N23	0.8467	2.523	2.697e-11	2	1	1.028
gain	20	N25	1.647	1.787	0.4354	2	0.2186	0.2416
loss	20	N25	1.647	1.787	0.4354	2	0.2908	0.3343
gain	20	Fusobacterium_nucleatum	1.445	3.232	0	1	0.2565	0.2889
loss	20	Fusobacterium_nucleatum	1.445	3.232	0	1	0.1793	0.1945
gain	20	Aquifex_aeolicus	2.838	4.754	0	1	0.2193	0.2681
loss	20	Aquifex_aeolicus	2.838	4.754	0	1	0.967	1.189
gain	20	Thermotoga_maritima	0.3067	2.222	0	1	0.08849	0.08935
loss	20	N29	0.08048	0.1994	0.08246	2	0.09332	0.09336
gain	20	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.1079	0.1088
loss	20	N30	0.08246	0.2819	2.435e-11	2	0.906	0.9063
loss	20	Listeria_innocua	0.243	0.7296	0	1	0.9973	0.9997
loss	20	N36	0.675	1.162	0.09281	2	0.7458	0.7597
loss	20	Streptococcus_pyogenes_M1	0.09281	1.254	0	1	0.267	0.267
gain	20	Streptococcus_pneumoniae_TIGR4	0.09392	1.256	0	1	0.7341	0.7344
loss	20	Lactococcus_lactis	0.1139	1.276	0	1	0.2673	0.2675
gain	21	N2	0.1189	0.1189	0.1629	3	0.1817	0.1827
loss	21	N4	0.09654	0.2155	0.1023	3	0.5331	0.5347
gain	21	N9	0.08611	0.4039	0.162	2	0.1089	0.1094
gain	21	N10	0.09368	0.4976	0.06827	3	0.263	0.264
gain	21	N11	0.01484	0.5125	0.05343	2	0.05399	0.054
gain	21	N12	0.05066	0.5631	0.002765	2	0.5916	0.592
loss	21	Yersinia_pestis	0.2301	0.7426	0	1	0.429	0.4387
gain	21	N15	0.8811	1.379	1.882e-11	2	0.258	0.2979
loss	21	N15	0.8811	1.379	1.882e-11	2	0.5255	0.6545
gain	21	Vibrio_cholerae	0.2741	0.6781	0	1	0.05348	0.05461
loss	21	Vibrio_cholerae	0.2741	0.6781	0	1	0.1526	0.1577
gain	21	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1522	0.1626
loss	21	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1731	0.1873
gain	21	N17	1.124	1.34	0.001039	2	0.3897	0.4901
loss	21	N17	1.124	1.34	0.001039	2	0.4025	0.5147
gain	21	Brucella_melitensis	0.3466	0.6941	0	1	0.08659	0.08955
loss	21	Brucella_melitensis	0.3466	0.6941	0	1	0.08823	0.09134
gain	21	N22	1.46	1.676	4.898e-06	2	0.4896	0.6773
loss	21	N22	1.46	1.676	4.898e-06	2	0.4995	0.7028
gain	21	N23	0.8467	2.523	2.697e-11	2	0.2943	0.3432
loss	21	N23	0.8467	2.523	2.697e-11	2	0.2943	0.3432
gain	21	N25	1.647	1.787	0.4354	2	0.5221	0.7793
loss	21	N25	1.647	1.787	0.4354	2	0.7594	1.162
gain	21	Fusobacterium_nucleatum	1.445	3.232	0	1	0.4648	0.6352
